Orthogroup	Bicyclus_anynana	Danaus_plexippus
OG0000028	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA	DPOGS205336-PA
OG0000031	Bany_03256-RA	DPOGS212301-PA
OG0000031	Bany_11193-RA	DPOGS211828-PA
OG0000032	Bany_00996-RA, Bany_08618-RA, Bany_04078-RA, Bany_12187-RA, Bany_05278-RA, Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA, Bany_17242-RA, Bany_16906-RA, Bany_09161-RA, Bany_13902-RA, Bany_08322-RA, Bany_12629-RA	DPOGS200472-PA
OG0000034	Bany_05845-RA	DPOGS205642-PA
OG0000034	Bany_05846-RA, Bany_05861-RA	DPOGS205643-PA
OG0000034	Bany_05253-RA	DPOGS202647-PA
OG0000034	Bany_05243-RA	DPOGS202676-PA
OG0000034	Bany_05248-RA	DPOGS202644-PA
OG0000035	Bany_01586-RA, Bany_17576-RA	DPOGS204320-PA
OG0000035	Bany_17488-RA	DPOGS215450-PA
OG0000035	Bany_03344-RA	DPOGS209410-PA
OG0000036	Bany_07167-RA, Bany_18121-RA, Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	DPOGS213885-PA
OG0000038	Bany_01919-RA, Bany_01918-RA	DPOGS214966-PA
OG0000039	Bany_01637-RA	DPOGS201809-PA, DPOGS201793-PA, DPOGS201808-PA
OG0000039	Bany_01356-RA	DPOGS201794-PA, DPOGS201792-PA
OG0000041	Bany_11570-RA	DPOGS210496-PA
OG0000041	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA	DPOGS206520-PA
OG0000044	Bany_01938-RA	DPOGS209116-PA
OG0000044	Bany_12753-RA	DPOGS216008-PA
OG0000046	Bany_15454-RA	DPOGS209144-PA
OG0000046	Bany_15455-RA	DPOGS209146-PA
OG0000049	Bany_06008-RA, Bany_05882-RA, Bany_05877-RA, Bany_06021-RA	DPOGS201061-PA
OG0000050	Bany_14321-RA	DPOGS205333-PA
OG0000052	Bany_00561-RA	DPOGS210331-PA
OG0000053	Bany_05073-RA	DPOGS201540-PA
OG0000053	Bany_05075-RA	DPOGS201419-PA
OG0000053	Bany_05076-RA	DPOGS201423-PA
OG0000054	Bany_08678-RA	DPOGS201193-PA
OG0000054	Bany_08681-RA, Bany_08727-RA	DPOGS201177-PA
OG0000054	Bany_08680-RA	DPOGS201176-PA, DPOGS201175-PA
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA, DPOGS203178-PA
OG0000055	Bany_12890-RA, Bany_05677-RA, Bany_04762-RA	DPOGS213967-PA
OG0000056	Bany_17818-RA	DPOGS210281-PA
OG0000056	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA	DPOGS206182-PA
OG0000057	Bany_11764-RA	DPOGS209909-PA
OG0000057	Bany_11763-RA	DPOGS209884-PA
OG0000057	Bany_10000-RA	DPOGS209997-PA
OG0000058	Bany_02266-RA	DPOGS212355-PA
OG0000058	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA	DPOGS215426-PA
OG0000060	Bany_15282-RA	DPOGS208010-PA, DPOGS208061-PA
OG0000060	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA	DPOGS200035-PA, DPOGS208060-PA
OG0000061	Bany_08018-RA, Bany_08020-RA, Bany_08022-RA, Bany_08021-RA, Bany_08019-RA	DPOGS201160-PA
OG0000062	Bany_10506-RA	DPOGS202468-PA, DPOGS202469-PA
OG0000062	Bany_06854-RA	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA
OG0000062	Bany_15127-RA	DPOGS207201-PA
OG0000063	Bany_06319-RA	DPOGS201994-PA
OG0000063	Bany_12190-RA	DPOGS208887-PA
OG0000066	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA	DPOGS210132-PA
OG0000067	Bany_02338-RA	DPOGS204359-PA
OG0000067	Bany_16557-RA, Bany_16558-RA, Bany_06790-RA	DPOGS204360-PA
OG0000068	Bany_02228-RA, Bany_02226-RA, Bany_02214-RA	DPOGS213409-PA, DPOGS212680-PA
OG0000069	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA, Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	DPOGS206989-PA
OG0000071	Bany_13125-RA	DPOGS205454-PA
OG0000071	Bany_13126-RA	DPOGS200879-PA
OG0000073	Bany_06221-RA	DPOGS205799-PA
OG0000073	Bany_06084-RA	DPOGS208534-PA
OG0000073	Bany_06086-RA, Bany_06085-RA, Bany_06087-RA, Bany_06075-RA	DPOGS213705-PA
OG0000075	Bany_07998-RA	DPOGS201167-PA
OG0000075	Bany_08015-RA	DPOGS201162-PA
OG0000075	Bany_08220-RA	DPOGS209261-PA
OG0000076	Bany_10910-RA, Bany_16165-RA	DPOGS206203-PA
OG0000076	Bany_16171-RA, Bany_16169-RA	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA
OG0000078	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA	DPOGS207021-PA
OG0000082	Bany_06988-RA	DPOGS211069-PA
OG0000082	Bany_06982-RA	DPOGS203868-PA
OG0000082	Bany_06548-RA	DPOGS212546-PA
OG0000084	Bany_12323-RA, Bany_12325-RA	DPOGS200123-PA
OG0000084	Bany_12320-RA	DPOGS200058-PA
OG0000084	Bany_12318-RA	DPOGS200124-PA
OG0000084	Bany_12324-RA	DPOGS200060-PA
OG0000085	Bany_15468-RA, Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	DPOGS215579-PA
OG0000088	Bany_16383-RA	DPOGS215149-PA
OG0000088	Bany_06437-RA	DPOGS202814-PA
OG0000090	Bany_09928-RA, Bany_09929-RA, Bany_09926-RA, Bany_09927-RA, Bany_11038-RA, Bany_15880-RA, Bany_09933-RA, Bany_09930-RA, Bany_17936-RA, Bany_17933-RA, Bany_17935-RA, Bany_09932-RA, Bany_08771-RA, Bany_09931-RA	DPOGS210053-PA, DPOGS210052-PA
OG0000091	Bany_10128-RA	DPOGS203557-PA
OG0000091	Bany_05733-RA	DPOGS213963-PA
OG0000091	Bany_10777-RA	DPOGS203556-PA
OG0000092	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA	DPOGS209254-PA
OG0000092	Bany_08213-RA	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA
OG0000092	Bany_08203-RA	DPOGS209259-PA, DPOGS209253-PA
OG0000093	Bany_07027-RA	DPOGS202427-PA
OG0000093	Bany_06973-RA, Bany_06974-RA	DPOGS202426-PA, DPOGS203872-PA
OG0000093	Bany_07030-RA, Bany_07031-RA	DPOGS202424-PA
OG0000094	Bany_02330-RA, Bany_02336-RA, Bany_02337-RA	DPOGS213975-PA
OG0000095	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA	DPOGS204282-PA
OG0000096	Bany_05878-RA	DPOGS212592-PA
OG0000096	Bany_05883-RA	DPOGS212590-PA
OG0000096	Bany_05880-RA	DPOGS212591-PA
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	Bany_15791-RA, Bany_15790-RA, Bany_15822-RA, Bany_15823-RA, Bany_15793-RA, Bany_15792-RA, Bany_14920-RA, Bany_14950-RA, Bany_15794-RA, Bany_09166-RA, Bany_14951-RA, Bany_14952-RA, Bany_14953-RA	DPOGS209226-PA, DPOGS209225-PA
OG0000100	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	Bany_14503-RA	DPOGS215475-PA
OG0000100	Bany_14500-RA	DPOGS215477-PA
OG0000101	Bany_15315-RA	DPOGS200031-PA
OG0000101	Bany_06155-RA	DPOGS200026-PA
OG0000102	Bany_01509-RA, Bany_01511-RA	DPOGS206942-PA
OG0000103	Bany_01667-RA	DPOGS207082-PA
OG0000108	Bany_16502-RA	DPOGS212246-PA
OG0000108	Bany_04119-RA, Bany_10373-RA	DPOGS208199-PA
OG0000108	Bany_07404-RA	DPOGS209435-PA
OG0000109	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA, Bany_08600-RA, Bany_11580-RA, Bany_08603-RA, Bany_08602-RA	DPOGS209375-PA
OG0000110	Bany_01227-RA, Bany_01228-RA	DPOGS212705-PA
OG0000110	Bany_01226-RA, Bany_01225-RA	DPOGS212706-PA
OG0000110	Bany_01235-RA	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	Bany_10939-RA	DPOGS202624-PA
OG0000111	Bany_10437-RA	DPOGS215827-PA
OG0000111	Bany_10438-RA	DPOGS215826-PA
OG0000112	Bany_03560-RA	DPOGS200671-PA
OG0000112	Bany_03561-RA	DPOGS200675-PA, DPOGS200676-PA
OG0000112	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA
OG0000113	Bany_15687-RA	DPOGS203349-PA, DPOGS203350-PA
OG0000113	Bany_16241-RA	DPOGS203348-PA
OG0000113	Bany_05360-RA	DPOGS205179-PA
OG0000114	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA, Bany_01222-RA, Bany_01450-RA, Bany_01444-RA, Bany_01446-RA	DPOGS206960-PA
OG0000115	Bany_02238-RA	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	Bany_06385-RA, Bany_02241-RA	DPOGS201101-PA
OG0000116	Bany_10490-RA	DPOGS211429-PA
OG0000116	Bany_17622-RA	DPOGS214479-PA
OG0000116	Bany_07549-RA	DPOGS203334-PA
OG0000117	Bany_01550-RA	DPOGS206946-PA
OG0000117	Bany_01547-RA, Bany_01546-RA, Bany_01549-RA, Bany_01548-RA	DPOGS206945-PA
OG0000118	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA, Bany_02158-RA	DPOGS216140-PA
OG0000119	Bany_15451-RA, Bany_15452-RA	DPOGS203233-PA
OG0000120	Bany_09173-RA, Bany_14910-RA	DPOGS202536-PA
OG0000122	Bany_08302-RA	DPOGS200373-PA
OG0000122	Bany_01663-RA, Bany_16424-RA, Bany_01640-RA, Bany_17292-RA, Bany_17291-RA, Bany_05652-RA, Bany_15645-RA, Bany_14514-RA, Bany_16882-RA, Bany_16881-RA, Bany_00527-RA, Bany_13318-RA	DPOGS200374-PA
OG0000123	Bany_07450-RA	DPOGS204956-PA
OG0000124	Bany_11544-RA, Bany_11546-RA	DPOGS206009-PA
OG0000124	Bany_10467-RA, Bany_10468-RA	DPOGS211433-PA
OG0000125	Bany_02581-RA, Bany_02575-RA, Bany_02580-RA, Bany_02579-RA, Bany_02576-RA, Bany_02578-RA	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	Bany_02582-RA	DPOGS214825-PA
OG0000127	Bany_12868-RA, Bany_12837-RA, Bany_16156-RA, Bany_13810-RA, Bany_13611-RA	DPOGS210351-PA
OG0000128	Bany_11636-RA	DPOGS210158-PA
OG0000128	Bany_11151-RA	DPOGS211778-PA
OG0000128	Bany_11631-RA	DPOGS210161-PA
OG0000129	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA	DPOGS210178-PA
OG0000130	Bany_17026-RA	DPOGS215233-PA
OG0000131	Bany_12626-RA	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA
OG0000132	Bany_09628-RA, Bany_03286-RA, Bany_15311-RA, Bany_08048-RA	DPOGS214570-PA
OG0000133	Bany_12678-RA	DPOGS204619-PA, DPOGS215001-PA
OG0000133	Bany_12676-RA	DPOGS201589-PA
OG0000134	Bany_02357-RA	DPOGS206558-PA
OG0000134	Bany_02392-RA	DPOGS213998-PA
OG0000134	Bany_02358-RA	DPOGS206556-PA
OG0000136	Bany_08639-RA, Bany_08641-RA	DPOGS203111-PA, DPOGS213873-PA, DPOGS208765-PA, DPOGS201207-PA, DPOGS208126-PA
OG0000136	Bany_07446-RA	DPOGS203777-PA, DPOGS200805-PA, DPOGS200808-PA, DPOGS215502-PA, DPOGS201206-PA, DPOGS203467-PA, DPOGS213849-PA, DPOGS208148-PA, DPOGS209408-PA
OG0000137	Bany_00008-RA, Bany_15166-RA, Bany_00005-RA	DPOGS213158-PA
OG0000138	Bany_03566-RA	DPOGS201307-PA, DPOGS201308-PA
OG0000138	Bany_09914-RA	DPOGS210044-PA
OG0000139	Bany_09402-RA	DPOGS204151-PA
OG0000139	Bany_17102-RA	DPOGS211466-PA
OG0000139	Bany_09407-RA	DPOGS204150-PA
OG0000140	Bany_17563-RA	DPOGS208587-PA
OG0000140	Bany_17491-RA	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA
OG0000140	Bany_17568-RA	DPOGS215443-PA
OG0000140	Bany_17569-RA	DPOGS215439-PA
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	DPOGS205275-PA
OG0000142	Bany_01108-RA, Bany_01109-RA	DPOGS210763-PA
OG0000142	Bany_01116-RA	DPOGS208850-PA
OG0000142	Bany_01110-RA	DPOGS211692-PA
OG0000143	Bany_01334-RA	DPOGS207066-PA
OG0000143	Bany_01332-RA, Bany_01256-RA	DPOGS207067-PA
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	DPOGS216148-PA
OG0000148	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA	DPOGS212460-PA
OG0000148	Bany_12306-RA	DPOGS211269-PA
OG0000149	Bany_10899-RA	DPOGS211600-PA
OG0000149	Bany_11924-RA	DPOGS209815-PA
OG0000150	Bany_10410-RA, Bany_01083-RA, Bany_01082-RA, Bany_15649-RA, Bany_15123-RA, Bany_05527-RA	DPOGS200229-PA
OG0000152	Bany_04680-RA	DPOGS203652-PA
OG0000152	Bany_04673-RA	DPOGS203849-PA
OG0000152	Bany_04678-RA	DPOGS203651-PA
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	DPOGS200298-PA
OG0000154	Bany_17666-RA, Bany_17667-RA	DPOGS203730-PA
OG0000155	Bany_17353-RA, Bany_17351-RA, Bany_17350-RA, Bany_17354-RA	DPOGS209068-PA
OG0000156	Bany_14780-RA, Bany_14779-RA	DPOGS201022-PA, DPOGS201021-PA
OG0000160	Bany_02510-RA, Bany_02935-RA, Bany_09324-RA	DPOGS211357-PA
OG0000160	Bany_13021-RA	DPOGS205216-PA
OG0000162	Bany_11202-RA, Bany_11201-RA	DPOGS214379-PA, DPOGS212215-PA
OG0000162	Bany_11203-RA	DPOGS213682-PA
OG0000163	Bany_11267-RA	DPOGS208397-PA, DPOGS208398-PA
OG0000164	Bany_01420-RA	DPOGS207033-PA
OG0000164	Bany_17803-RA, Bany_01418-RA	DPOGS207032-PA
OG0000165	Bany_05347-RA	DPOGS214443-PA, DPOGS214442-PA
OG0000165	Bany_05348-RA, Bany_05345-RA, Bany_05323-RA, Bany_05322-RA	DPOGS202039-PA
OG0000166	Bany_15015-RA	DPOGS204571-PA
OG0000166	Bany_15344-RA	DPOGS215383-PA
OG0000167	Bany_08543-RA	DPOGS200276-PA
OG0000167	Bany_06853-RA	DPOGS212517-PA, DPOGS212471-PA
OG0000168	Bany_10238-RA, Bany_10241-RA	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA
OG0000169	Bany_11620-RA	DPOGS209399-PA
OG0000169	Bany_11622-RA	DPOGS209397-PA
OG0000169	Bany_11612-RA	DPOGS209416-PA, DPOGS209415-PA
OG0000170	Bany_15232-RA, Bany_15234-RA, Bany_15233-RA	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	Bany_06399-RA, Bany_06398-RA, Bany_06397-RA	DPOGS207651-PA
OG0000171	Bany_06400-RA, Bany_06401-RA	DPOGS207652-PA
OG0000172	Bany_01720-RA	DPOGS207109-PA
OG0000172	Bany_01725-RA, Bany_01726-RA	DPOGS211762-PA
OG0000172	Bany_01776-RA	DPOGS207119-PA
OG0000174	Bany_07483-RA	DPOGS201355-PA
OG0000175	Bany_17401-RA	DPOGS213653-PA
OG0000175	Bany_02772-RA	DPOGS212172-PA
OG0000175	Bany_07033-RA	DPOGS201184-PA
OG0000176	Bany_16878-RA, Bany_16877-RA	DPOGS212237-PA
OG0000177	Bany_07445-RA, Bany_07443-RA, Bany_01572-RA, Bany_14997-RA, Bany_09958-RA, Bany_12748-RA, Bany_11507-RA	DPOGS215539-PA
OG0000177	Bany_14912-RA, Bany_02577-RA	DPOGS213999-PA
OG0000178	Bany_17428-RA	DPOGS213916-PA
OG0000178	Bany_17535-RA	DPOGS202584-PA, DPOGS208620-PA
OG0000179	Bany_14923-RA	DPOGS215239-PA
OG0000180	Bany_09947-RA, Bany_07642-RA	DPOGS202992-PA
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA
OG0000182	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA	DPOGS210084-PA
OG0000183	Bany_11605-RA	DPOGS211358-PA
OG0000183	Bany_04948-RA	DPOGS210612-PA
OG0000183	Bany_05295-RA	DPOGS202050-PA
OG0000184	Bany_10003-RA	DPOGS210000-PA
OG0000184	Bany_10868-RA	DPOGS210945-PA
OG0000184	Bany_10869-RA	DPOGS211022-PA
OG0000185	Bany_13249-RA	DPOGS207886-PA
OG0000185	Bany_13247-RA	DPOGS207876-PA
OG0000186	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA	DPOGS200588-PA
OG0000187	Bany_01200-RA	DPOGS203099-PA
OG0000187	Bany_01201-RA	DPOGS203100-PA, DPOGS203101-PA
OG0000187	Bany_12865-RA	DPOGS205242-PA
OG0000188	Bany_17928-RA	DPOGS200256-PA
OG0000188	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA	DPOGS210269-PA, DPOGS210268-PA, DPOGS210271-PA, DPOGS210270-PA, DPOGS210265-PA
OG0000189	Bany_14114-RA	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	Bany_11035-RA, Bany_11034-RA, Bany_11033-RA	DPOGS210733-PA
OG0000191	Bany_07730-RA	DPOGS203394-PA, DPOGS212004-PA
OG0000193	Bany_10556-RA	DPOGS208229-PA
OG0000193	Bany_10955-RA	DPOGS211597-PA
OG0000194	Bany_15533-RA, Bany_05542-RA, Bany_12901-RA	DPOGS208929-PA
OG0000196	Bany_17044-RA, Bany_04640-RA, Bany_04860-RA	DPOGS215622-PA
OG0000197	Bany_04457-RA	DPOGS215734-PA
OG0000197	Bany_00477-RA	DPOGS204239-PA
OG0000198	Bany_02797-RA	DPOGS212099-PA
OG0000198	Bany_02793-RA, Bany_02792-RA, Bany_02791-RA	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA
OG0000199	Bany_05597-RA	DPOGS200655-PA
OG0000200	Bany_08251-RA	DPOGS209916-PA
OG0000201	Bany_14127-RA, Bany_14125-RA	DPOGS204865-PA, DPOGS204864-PA
OG0000202	Bany_10409-RA	DPOGS211423-PA
OG0000205	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA	DPOGS209148-PA, DPOGS209147-PA
OG0000206	Bany_16059-RA	DPOGS205019-PA
OG0000207	Bany_13641-RA	DPOGS207952-PA, DPOGS207950-PA
OG0000208	Bany_03552-RA	DPOGS210915-PA
OG0000208	Bany_03551-RA	DPOGS210914-PA, DPOGS210912-PA
OG0000209	Bany_16584-RA	DPOGS214010-PA
OG0000209	Bany_14066-RA	DPOGS204840-PA
OG0000209	Bany_16586-RA	DPOGS216112-PA
OG0000210	Bany_06149-RA	DPOGS208562-PA
OG0000210	Bany_06148-RA	DPOGS208561-PA
OG0000212	Bany_10229-RA	DPOGS207987-PA
OG0000213	Bany_00465-RA	DPOGS208066-PA
OG0000213	Bany_00463-RA	DPOGS208084-PA
OG0000213	Bany_00461-RA	DPOGS208065-PA
OG0000214	Bany_06287-RA	DPOGS214058-PA
OG0000215	Bany_02488-RA	DPOGS211555-PA
OG0000215	Bany_02487-RA	DPOGS211556-PA
OG0000216	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	Bany_04902-RA	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA, Bany_03224-RA	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	Bany_02621-RA	DPOGS207542-PA
OG0000219	Bany_08468-RA	DPOGS200327-PA
OG0000219	Bany_08466-RA	DPOGS200328-PA
OG0000220	Bany_10486-RA	DPOGS211390-PA
OG0000220	Bany_10494-RA	DPOGS205839-PA, DPOGS205840-PA
OG0000221	Bany_10492-RA	DPOGS211394-PA
