Orthogroup	Bicyclus_anynana	Junonia_coenia
OG0000017	Bany_02945-RA	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA, JC_15131-RA
OG0000017	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA
OG0000018	Bany_16974-RA	JC_13020-RA
OG0000018	Bany_04504-RA	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA
OG0000020	Bany_17011-RA	JC_14441-RA
OG0000020	Bany_12664-RA, Bany_12667-RA	JC_12860-RA, JC_08804-RA, JC_15272-RA
OG0000021	Bany_12775-RA	JC_15264-RA
OG0000022	Bany_00839-RA	JC_00074-RA
OG0000022	Bany_16283-RA	JC_16481-RA
OG0000022	Bany_17573-RA	JC_15640-RA
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	JC_14602-RA
OG0000024	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA	JC_07395-RA
OG0000024	Bany_08736-RA	JC_07382-RA
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	JC_16102-RA, JC_16101-RA
OG0000026	Bany_00115-RA	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA
OG0000028	Bany_14335-RA	JC_16613-RA
OG0000028	Bany_07987-RA, Bany_01182-RA	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA
OG0000029	Bany_01625-RA	JC_11808-RA, JC_11809-RA, JC_11807-RA
OG0000029	Bany_00663-RA, Bany_00664-RA	JC_00251-RA
OG0000029	Bany_06091-RA	JC_00247-RA
OG0000030	Bany_15771-RA	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA
OG0000031	Bany_03256-RA	JC_07638-RA
OG0000031	Bany_18042-RA	JC_02492-RA
OG0000031	Bany_11193-RA	JC_12510-RA
OG0000032	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA	JC_08098-RA
OG0000032	Bany_12629-RA	JC_15112-RA
OG0000034	Bany_05846-RA, Bany_05861-RA	JC_02760-RA
OG0000034	Bany_05253-RA	JC_02341-RA
OG0000034	Bany_05243-RA	JC_02354-RA
OG0000034	Bany_05248-RA	JC_02348-RA, JC_02347-RA
OG0000036	Bany_07167-RA, Bany_18121-RA, Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	JC_14663-RA
OG0000038	Bany_01919-RA	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA
OG0000039	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA	JC_12161-RA, JC_12165-RA
OG0000039	Bany_01356-RA	JC_12154-RA
OG0000041	Bany_11570-RA	JC_09842-RA
OG0000046	Bany_15454-RA	JC_05581-RA
OG0000046	Bany_15461-RA	JC_05583-RA
OG0000047	Bany_12867-RA	JC_01389-RA
OG0000047	Bany_13545-RA	JC_07380-RA, JC_01597-RA, JC_05829-RA, JC_14875-RA, JC_05828-RA, JC_16797-RA, JC_16798-RA, JC_12703-RA
OG0000047	Bany_16501-RA	JC_01390-RA, JC_17223-RA
OG0000048	Bany_12304-RA	JC_10761-RA
OG0000048	Bany_12164-RA	JC_15164-RA
OG0000049	Bany_05882-RA, Bany_05877-RA	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA
OG0000050	Bany_14319-RA	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA
OG0000052	Bany_00561-RA	JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA
OG0000053	Bany_05073-RA	JC_00967-RA
OG0000053	Bany_05075-RA	JC_00969-RA
OG0000053	Bany_05076-RA	JC_00972-RA
OG0000054	Bany_08678-RA	JC_07335-RA
OG0000054	Bany_08681-RA, Bany_08727-RA	JC_07330-RA
OG0000054	Bany_08680-RA	JC_07332-RA, JC_07331-RA
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	JC_03957-RA, JC_06931-RA, JC_03954-RA, JC_14082-RA
OG0000055	Bany_12890-RA, Bany_05677-RA	JC_14448-RA, JC_14447-RA, JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA
OG0000055	Bany_04762-RA	JC_04975-RA
OG0000056	Bany_17811-RA, Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA, Bany_17808-RA, Bany_17810-RA, Bany_17809-RA	JC_14900-RA
OG0000057	Bany_11764-RA	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	Bany_11763-RA	JC_10437-RA
OG0000057	Bany_10000-RA	JC_04526-RA, JC_04525-RA
OG0000058	Bany_05192-RA, Bany_00871-RA	JC_06466-RA
OG0000058	Bany_02266-RA, Bany_03259-RA	JC_15097-RA
OG0000060	Bany_15282-RA	JC_05725-RA
OG0000060	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA
OG0000061	Bany_08018-RA	JC_03622-RA, JC_03625-RA
OG0000061	Bany_08020-RA, Bany_08022-RA	JC_03624-RA
OG0000062	Bany_10506-RA	JC_05075-RA
OG0000062	Bany_15127-RA	JC_17219-RA, JC_17016-RA, JC_17018-RA, JC_17015-RA, JC_17012-RA
OG0000063	Bany_06319-RA	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000066	Bany_17010-RA	JC_12979-RA
OG0000067	Bany_02338-RA	JC_13669-RA, JC_13668-RA
OG0000068	Bany_02228-RA, Bany_02226-RA	JC_14221-RA
OG0000068	Bany_02214-RA	JC_14218-RA
OG0000069	Bany_01527-RA	JC_12056-RA
OG0000069	Bany_01512-RA	JC_12069-RA
OG0000069	Bany_01515-RA	JC_12061-RA
OG0000069	Bany_01528-RA, Bany_01514-RA	JC_12057-RA, JC_14470-RA
OG0000069	Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	JC_12053-RA, JC_12791-RA, JC_12073-RA
OG0000071	Bany_13125-RA	JC_11424-RA
OG0000073	Bany_06221-RA	JC_09483-RA
OG0000073	Bany_06084-RA	JC_09579-RA
OG0000073	Bany_06075-RA	JC_09593-RA, JC_09587-RA
OG0000075	Bany_07998-RA	JC_03636-RA
OG0000075	Bany_08015-RA	JC_03617-RA
OG0000075	Bany_08220-RA	JC_03392-RA
OG0000076	Bany_16171-RA, Bany_16169-RA	JC_16781-RA, JC_16784-RA
OG0000077	Bany_10084-RA	JC_04601-RA
OG0000077	Bany_10083-RA	JC_04597-RA
OG0000078	Bany_02387-RA	JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000079	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA	JC_09170-RA, JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA
OG0000081	Bany_08667-RA	JC_15085-RA
OG0000082	Bany_06988-RA	JC_15348-RA
OG0000082	Bany_06982-RA	JC_15353-RA
OG0000082	Bany_06548-RA	JC_15230-RA
OG0000082	Bany_06547-RA	JC_15231-RA
OG0000083	Bany_18002-RA, Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA	JC_14785-RA, JC_14784-RA, JC_14786-RA
OG0000084	Bany_12323-RA, Bany_12325-RA	JC_09083-RA
OG0000084	Bany_12324-RA	JC_09063-RA
OG0000085	Bany_15468-RA	JC_05550-RA
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	JC_05545-RA, JC_05548-RA
OG0000086	Bany_17798-RA, Bany_00207-RA, Bany_03539-RA, Bany_09601-RA, Bany_08445-RA, Bany_09033-RA, Bany_15897-RA, Bany_07373-RA, Bany_16595-RA	JC_14034-RA
OG0000086	Bany_12624-RA, Bany_08412-RA, Bany_14437-RA, Bany_11446-RA, Bany_16265-RA, Bany_04667-RA, Bany_14647-RA, Bany_08780-RA, Bany_17195-RA, Bany_07756-RA, Bany_11880-RA, Bany_01724-RA, Bany_07270-RA, Bany_17833-RA, Bany_05359-RA, Bany_09204-RA	JC_07805-RA
OG0000087	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA	JC_02443-RA, JC_02442-RA, JC_02441-RA, JC_02439-RA, JC_02444-RA
OG0000088	Bany_16383-RA	JC_16432-RA
OG0000088	Bany_06437-RA	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000091	Bany_05733-RA	JC_11192-RA
OG0000092	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA	JC_03404-RA, JC_03406-RA
OG0000092	Bany_08203-RA	JC_03407-RA
OG0000093	Bany_07027-RA	JC_15360-RA
OG0000093	Bany_06973-RA, Bany_06974-RA	JC_15358-RA
OG0000093	Bany_07030-RA, Bany_07031-RA	JC_15363-RA
OG0000094	Bany_02330-RA	JC_13682-RA
OG0000095	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA	JC_00267-RA, JC_00268-RA, JC_00271-RA
OG0000096	Bany_05878-RA	JC_09719-RA, JC_09720-RA
OG0000096	Bany_05883-RA	JC_09724-RA
OG0000096	Bany_05880-RA	JC_09722-RA, JC_09721-RA
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA
OG0000098	Bany_15791-RA	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA
OG0000098	Bany_15790-RA, Bany_15822-RA, Bany_15823-RA, Bany_15793-RA, Bany_15792-RA, Bany_14920-RA, Bany_14950-RA, Bany_15794-RA, Bany_09166-RA, Bany_14951-RA, Bany_14952-RA, Bany_14953-RA	JC_05289-RA, JC_16086-RA, JC_16084-RA
OG0000099	Bany_12826-RA	JC_12866-RA, JC_12832-RA
OG0000100	Bany_14504-RA, Bany_14505-RA	JC_10664-RA
OG0000100	Bany_14503-RA	JC_10662-RA
OG0000100	Bany_14500-RA	JC_10658-RA
OG0000101	Bany_15315-RA	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	Bany_06155-RA	JC_05761-RA
OG0000101	Bany_15313-RA	JC_09706-RA
OG0000102	Bany_01509-RA, Bany_01511-RA	JC_12048-RA
OG0000103	Bany_01667-RA	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA
OG0000106	Bany_03257-RA, Bany_18159-RA	JC_16716-RA, JC_07290-RA
OG0000108	Bany_16502-RA	JC_12701-RA
OG0000108	Bany_04119-RA, Bany_10373-RA	JC_16471-RA
OG0000108	Bany_10832-RA, Bany_07404-RA	JC_03919-RA, JC_15130-RA, JC_03918-RA
OG0000110	Bany_01227-RA, Bany_01228-RA	JC_12230-RA
OG0000110	Bany_01226-RA, Bany_01225-RA	JC_12232-RA, JC_12231-RA
OG0000110	Bany_01235-RA	JC_12228-RA, JC_12227-RA, JC_12226-RA
OG0000111	Bany_10939-RA	JC_06517-RA
OG0000111	Bany_10438-RA	JC_04964-RA
OG0000112	Bany_03560-RA	JC_08001-RA
OG0000112	Bany_03561-RA, Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA
OG0000113	Bany_16241-RA	JC_16665-RA
OG0000113	Bany_05360-RA	JC_02497-RA
OG0000114	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA	JC_11661-RA
OG0000114	Bany_01222-RA, Bany_01450-RA	JC_11662-RA
OG0000115	Bany_02238-RA	JC_14206-RA
OG0000115	Bany_06385-RA	JC_09318-RA
OG0000115	Bany_02241-RA	JC_14203-RA
OG0000116	Bany_10490-RA	JC_05019-RA
OG0000117	Bany_01550-RA	JC_11736-RA, JC_11741-RA
OG0000117	Bany_01549-RA, Bany_01548-RA	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000118	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA	JC_15186-RA
OG0000118	Bany_16031-RA, Bany_16497-RA, Bany_12878-RA	JC_03928-RA
OG0000120	Bany_09173-RA	JC_16881-RA, JC_13575-RA, JC_15154-RA
OG0000120	Bany_14910-RA	JC_13596-RA, JC_01356-RA, JC_13017-RA
OG0000122	Bany_08302-RA	JC_03302-RA
OG0000122	Bany_01640-RA, Bany_17292-RA	JC_15261-RA
OG0000122	Bany_17291-RA, Bany_05652-RA, Bany_15645-RA	JC_00884-RA
OG0000123	Bany_07450-RA	JC_00053-RA
OG0000124	Bany_11544-RA, Bany_11546-RA	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	Bany_02581-RA	JC_13371-RA
OG0000125	Bany_02582-RA	JC_13370-RA, JC_13369-RA
OG0000127	Bany_16156-RA	JC_00089-RA
OG0000127	Bany_13810-RA	JC_14232-RA
OG0000127	Bany_13611-RA	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA
OG0000128	Bany_11636-RA	JC_10255-RA
OG0000128	Bany_11151-RA	JC_10263-RA
OG0000128	Bany_11631-RA	JC_10261-RA
OG0000129	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA	JC_14536-RA, JC_14538-RA
OG0000131	Bany_12626-RA	JC_03944-RA, JC_04373-RA, JC_03943-RA
OG0000132	Bany_03286-RA	JC_12332-RA, JC_12331-RA
OG0000132	Bany_15311-RA, Bany_08048-RA	JC_16594-RA, JC_12333-RA
OG0000133	Bany_12678-RA	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000133	Bany_12676-RA	JC_17034-RA, JC_17035-RA
OG0000134	Bany_02357-RA	JC_13643-RA
OG0000134	Bany_02392-RA	JC_13572-RA, JC_13574-RA
OG0000134	Bany_02358-RA	JC_13639-RA
OG0000136	Bany_14602-RA	JC_16349-RA
OG0000136	Bany_01047-RA, Bany_14442-RA, Bany_15430-RA	JC_03184-RA
OG0000137	Bany_00008-RA	JC_00690-RA
OG0000137	Bany_15166-RA, Bany_00005-RA	JC_00691-RA
OG0000138	Bany_03566-RA	JC_08004-RA
OG0000138	Bany_09914-RA	JC_04421-RA
OG0000139	Bany_09402-RA	JC_12416-RA
OG0000139	Bany_17102-RA	JC_12885-RA
OG0000139	Bany_09407-RA	JC_12412-RA
OG0000140	Bany_17563-RA	JC_15651-RA
OG0000140	Bany_17568-RA	JC_15647-RA
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA
OG0000142	Bany_01108-RA	JC_16337-RA, JC_16335-RA, JC_16334-RA
OG0000142	Bany_01109-RA	JC_16336-RA, JC_16253-RA
OG0000142	Bany_01110-RA	JC_16332-RA
OG0000143	Bany_01334-RA	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	Bany_01332-RA, Bany_01256-RA	JC_11701-RA, JC_11700-RA
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	JC_05956-RA, JC_05955-RA
OG0000144	Bany_15148-RA	JC_05954-RA
OG0000145	Bany_08426-RA	JC_03183-RA
OG0000145	Bany_08427-RA	JC_03179-RA
OG0000145	Bany_08424-RA, Bany_08425-RA	JC_03180-RA, JC_03178-RA, JC_03177-RA
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000149	Bany_12305-RA	JC_09057-RA
OG0000152	Bany_04680-RA	JC_01151-RA
OG0000152	Bany_04679-RA	JC_01150-RA
OG0000152	Bany_04673-RA	JC_01147-RA
OG0000152	Bany_04678-RA	JC_01149-RA
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA
OG0000154	Bany_17666-RA, Bany_17667-RA	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA
OG0000155	Bany_17351-RA, Bany_17350-RA	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000155	Bany_17354-RA	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA
OG0000156	Bany_14780-RA, Bany_14779-RA	JC_15886-RA, JC_10973-RA
OG0000161	Bany_12660-RA	JC_16940-RA
OG0000161	Bany_01352-RA, Bany_01349-RA, Bany_12613-RA	JC_10383-RA
OG0000162	Bany_11202-RA, Bany_11201-RA	JC_10317-RA, JC_10318-RA
OG0000162	Bany_11203-RA	JC_10314-RA
OG0000163	Bany_11267-RA	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	Bany_17803-RA, Bany_01418-RA	JC_16411-RA
OG0000165	Bany_05323-RA	JC_02470-RA, JC_02468-RA
OG0000166	Bany_15015-RA	JC_06064-RA
OG0000166	Bany_15344-RA	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
OG0000167	Bany_12222-RA, Bany_08543-RA, Bany_15130-RA	JC_03065-RA
OG0000169	Bany_11620-RA	JC_09918-RA
OG0000169	Bany_11612-RA	JC_09912-RA
OG0000170	Bany_15234-RA, Bany_15233-RA	JC_05858-RA, JC_05859-RA, JC_05861-RA
OG0000171	Bany_06399-RA	JC_09304-RA
OG0000171	Bany_06398-RA, Bany_06397-RA	JC_09306-RA, JC_09305-RA
OG0000171	Bany_06400-RA, Bany_06401-RA	JC_09303-RA
OG0000172	Bany_01725-RA, Bany_01726-RA	JC_11633-RA, JC_11631-RA, JC_11632-RA
OG0000174	Bany_04844-RA, Bany_18126-RA	JC_01298-RA
OG0000174	Bany_07483-RA	JC_02058-RA
OG0000175	Bany_17401-RA	JC_15584-RA
OG0000175	Bany_02772-RA	JC_03752-RA
OG0000175	Bany_07033-RA	JC_07347-RA
OG0000177	Bany_07445-RA	JC_01037-RA
OG0000177	Bany_07443-RA	JC_16807-RA, JC_03373-RA
OG0000177	Bany_01572-RA, Bany_14997-RA, Bany_09958-RA, Bany_12748-RA, Bany_11507-RA	JC_12881-RA
OG0000177	Bany_14912-RA, Bany_02577-RA	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA, JC_16605-RA, JC_13926-RA
OG0000178	Bany_17427-RA	JC_15552-RA
OG0000178	Bany_17428-RA	JC_15551-RA
OG0000178	Bany_17535-RA	JC_15684-RA
OG0000180	Bany_09947-RA, Bany_07642-RA	JC_01797-RA
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	Bany_11088-RA, Bany_11086-RA	JC_06575-RA, JC_06574-RA
OG0000182	Bany_11087-RA	JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	Bany_11605-RA	JC_09899-RA
OG0000183	Bany_04948-RA	JC_00847-RA
OG0000183	Bany_05295-RA	JC_02435-RA
OG0000184	Bany_10003-RA	JC_04531-RA
OG0000184	Bany_10868-RA	JC_06432-RA
OG0000184	Bany_10869-RA	JC_06434-RA
OG0000185	Bany_13249-RA	JC_11317-RA
OG0000185	Bany_13248-RA	JC_11318-RA
OG0000185	Bany_13247-RA	JC_11319-RA
OG0000186	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA	JC_16936-RA
OG0000187	Bany_01200-RA	JC_16384-RA
OG0000187	Bany_12865-RA	JC_16906-RA
OG0000188	Bany_17928-RA	JC_14936-RA
OG0000188	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA	JC_14941-RA, JC_14942-RA, JC_14943-RA, JC_14940-RA
OG0000189	Bany_14112-RA, Bany_14113-RA	JC_07045-RA
OG0000189	Bany_14114-RA	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	Bany_11035-RA, Bany_11034-RA	JC_06617-RA
OG0000190	Bany_11033-RA	JC_06615-RA
