Orthogroup	Bicyclus_anynana	Heliconius_erato_lativitta
OG0000013	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA, Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA, Bany_07407-RA, Bany_16888-RA, Bany_16890-RA, Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA, Bany_11488-RA, Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA, Bany_08606-RA	HEL_002158-RA
OG0000017	Bany_02945-RA	HEL_005435-RA
OG0000017	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA	HEL_005434-RA
OG0000018	Bany_16974-RA	HEL_002556-RA
OG0000018	Bany_04504-RA	HEL_002557-RA, HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA
OG0000022	Bany_00839-RA	HEL_013117-RA
OG0000022	Bany_01876-RA	HEL_013943-RA
OG0000022	Bany_01804-RA, Bany_16373-RA	HEL_003380-RA, HEL_013112-RA
OG0000024	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA	HEL_003522-RA
OG0000024	Bany_08738-RA	HEL_003523-RA
OG0000024	Bany_08736-RA	HEL_003520-RA
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	HEL_011319-RA
OG0000028	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA	HEL_011818-RA, HEL_011811-RA
OG0000029	Bany_00663-RA, Bany_00664-RA	HEL_001272-RA
OG0000030	Bany_15771-RA	HEL_009939-RA
OG0000031	Bany_03256-RA	HEL_012127-RA
OG0000032	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA	HEL_003341-RA
OG0000032	Bany_17242-RA, Bany_16906-RA, Bany_09161-RA, Bany_13902-RA, Bany_08322-RA	HEL_008364-RA
OG0000034	Bany_05845-RA	HEL_004511-RA, HEL_004512-RA
OG0000034	Bany_05846-RA, Bany_05861-RA	HEL_004513-RA
OG0000034	Bany_05243-RA	HEL_003973-RA
OG0000034	Bany_05248-RA	HEL_003968-RA
OG0000035	Bany_17488-RA	HEL_014143-RA
OG0000036	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	HEL_008947-RA, HEL_010219-RA
OG0000038	Bany_01919-RA	HEL_003342-RA
OG0000038	Bany_01918-RA	HEL_003344-RA, HEL_003333-RA
OG0000039	Bany_01637-RA	HEL_014203-RA
OG0000039	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA
OG0000039	Bany_01356-RA	HEL_006829-RA
OG0000041	Bany_11570-RA	HEL_014103-RA
OG0000041	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA	HEL_008450-RA
OG0000041	Bany_02401-RA, Bany_02400-RA	HEL_014422-RA
OG0000046	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA	HEL_005348-RA
OG0000047	Bany_12867-RA, Bany_13545-RA, Bany_16501-RA	HEL_009610-RA
OG0000049	Bany_06008-RA	HEL_008049-RA
OG0000049	Bany_06021-RA	HEL_008038-RA
OG0000050	Bany_14319-RA	HEL_012564-RA
OG0000050	Bany_14321-RA	HEL_012557-RA, HEL_012556-RA, HEL_012559-RA
OG0000052	Bany_00561-RA	HEL_000724-RA
OG0000053	Bany_05066-RA	HEL_006718-RA
OG0000053	Bany_05075-RA	HEL_006720-RA
OG0000053	Bany_05076-RA	HEL_006725-RA
OG0000054	Bany_08678-RA	HEL_003473-RA
OG0000054	Bany_08681-RA, Bany_08727-RA	HEL_003471-RA
OG0000054	Bany_08680-RA	HEL_003470-RA
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	HEL_011387-RA, HEL_004125-RA, HEL_004126-RA
OG0000055	Bany_12890-RA, Bany_05677-RA	HEL_011388-RA, HEL_007822-RA, HEL_007824-RA, HEL_010170-RA
OG0000055	Bany_04762-RA	HEL_008266-RA
OG0000056	Bany_17818-RA	HEL_013494-RA
OG0000057	Bany_11764-RA	HEL_008127-RA, HEL_008126-RA
OG0000057	Bany_11763-RA	HEL_008125-RA
OG0000057	Bany_10000-RA	HEL_007566-RA
OG0000060	Bany_15285-RA, Bany_15284-RA	HEL_007287-RA
OG0000060	Bany_15425-RA, Bany_15281-RA, Bany_15283-RA	HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA
OG0000061	Bany_08020-RA	HEL_014352-RA
OG0000061	Bany_08021-RA, Bany_08019-RA	HEL_010278-RA, HEL_014350-RA, HEL_010280-RA
OG0000062	Bany_10506-RA	HEL_000202-RA
OG0000063	Bany_06319-RA	HEL_006297-RA
OG0000064	Bany_03190-RA, Bany_11765-RA	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA
OG0000066	Bany_17015-RA	HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA
OG0000067	Bany_02338-RA	HEL_006896-RA
OG0000068	Bany_02228-RA, Bany_02226-RA	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA
OG0000068	Bany_02214-RA	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA
OG0000069	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA	HEL_013143-RA
OG0000069	Bany_01528-RA, Bany_01514-RA	HEL_013144-RA
OG0000071	Bany_13125-RA	HEL_009006-RA
OG0000071	Bany_13126-RA	HEL_004446-RA, HEL_002089-RA, HEL_008612-RA, HEL_007397-RA, HEL_009249-RA, HEL_013447-RA, HEL_006033-RA, HEL_011525-RA, HEL_009009-RA, HEL_009007-RA, HEL_012671-RA, HEL_004289-RA, HEL_009846-RA, HEL_010495-RA, HEL_010347-RA, HEL_010983-RA, HEL_009301-RA
OG0000073	Bany_06221-RA	HEL_007878-RA
OG0000073	Bany_06084-RA	HEL_008003-RA
OG0000073	Bany_06075-RA	HEL_007997-RA, HEL_007992-RA
OG0000075	Bany_08221-RA	HEL_014330-RA, HEL_014326-RA, HEL_014344-RA
OG0000075	Bany_07998-RA	HEL_014328-RA, HEL_014331-RA
OG0000075	Bany_08015-RA	HEL_014345-RA, HEL_014343-RA
OG0000075	Bany_08220-RA	HEL_007561-RA
OG0000076	Bany_10910-RA, Bany_16165-RA	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA
OG0000076	Bany_16171-RA, Bany_16169-RA	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA
OG0000077	Bany_10084-RA	HEL_013280-RA
OG0000078	Bany_02387-RA	HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA
OG0000079	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA	HEL_010373-RA, HEL_010374-RA
OG0000082	Bany_06988-RA	HEL_005977-RA
OG0000082	Bany_06982-RA	HEL_005961-RA
OG0000082	Bany_06548-RA	HEL_002182-RA
OG0000083	Bany_18002-RA	HEL_011887-RA
OG0000083	Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA	HEL_011897-RA, HEL_011899-RA
OG0000084	Bany_12325-RA	HEL_010679-RA
OG0000084	Bany_12324-RA	HEL_010678-RA, HEL_010675-RA
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	HEL_005305-RA, HEL_005304-RA
OG0000087	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA, HEL_003935-RA, HEL_003930-RA, HEL_003927-RA, HEL_003941-RA, HEL_003938-RA, HEL_003937-RA, HEL_003936-RA, HEL_003932-RA, HEL_003929-RA, HEL_003926-RA
OG0000088	Bany_16383-RA	HEL_013016-RA
OG0000088	Bany_06437-RA	HEL_014145-RA, HEL_012840-RA
OG0000091	Bany_10777-RA	HEL_010012-RA
OG0000093	Bany_07027-RA	HEL_005969-RA
OG0000093	Bany_06973-RA	HEL_005967-RA
OG0000093	Bany_06974-RA	HEL_005968-RA, HEL_005966-RA
OG0000093	Bany_07030-RA, Bany_07031-RA	HEL_005972-RA
OG0000094	Bany_02330-RA	HEL_006926-RA
OG0000094	Bany_02336-RA, Bany_02337-RA	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA
OG0000095	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA	HEL_001292-RA
OG0000096	Bany_05878-RA	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA
OG0000096	Bany_05883-RA	HEL_010165-RA
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA
OG0000098	Bany_15791-RA	HEL_005540-RA
OG0000100	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA	HEL_005774-RA
OG0000100	Bany_14503-RA	HEL_005776-RA
OG0000100	Bany_14500-RA	HEL_005778-RA
OG0000101	Bany_15315-RA	HEL_010134-RA, HEL_010133-RA
OG0000101	Bany_06155-RA	HEL_010138-RA
OG0000102	Bany_01509-RA, Bany_01511-RA	HEL_013147-RA
OG0000103	Bany_01667-RA	HEL_008320-RA
OG0000106	Bany_03257-RA, Bany_18159-RA	HEL_014493-RA
OG0000108	Bany_02610-RA, Bany_04229-RA, Bany_14279-RA, Bany_04023-RA, Bany_16499-RA	HEL_009657-RA, HEL_009862-RA
OG0000108	Bany_10832-RA, Bany_07404-RA	HEL_013515-RA
OG0000109	Bany_08600-RA	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA
OG0000110	Bany_01227-RA, Bany_01228-RA	HEL_014554-RA
OG0000110	Bany_01235-RA	HEL_014551-RA
OG0000111	Bany_10939-RA	HEL_004223-RA
OG0000111	Bany_10438-RA	HEL_000128-RA
OG0000113	Bany_15687-RA	HEL_011798-RA, HEL_011796-RA
OG0000113	Bany_16241-RA	HEL_011795-RA, HEL_011797-RA
OG0000113	Bany_05360-RA	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA	HEL_014390-RA
OG0000114	Bany_01222-RA, Bany_01450-RA	HEL_009880-RA, HEL_009885-RA
OG0000115	Bany_02238-RA	HEL_004784-RA
OG0000115	Bany_06385-RA	HEL_006264-RA
OG0000115	Bany_02241-RA	HEL_004779-RA
OG0000116	Bany_10490-RA	HEL_000181-RA
OG0000116	Bany_07549-RA	HEL_010451-RA
OG0000116	Bany_12390-RA	HEL_004697-RA
OG0000117	Bany_01550-RA	HEL_013392-RA
OG0000117	Bany_01549-RA, Bany_01548-RA	HEL_013393-RA
OG0000119	Bany_15452-RA	HEL_005350-RA
OG0000120	Bany_09173-RA	HEL_011755-RA, HEL_005859-RA, HEL_001395-RA, HEL_005666-RA, HEL_012011-RA, HEL_009305-RA, HEL_013465-RA, HEL_008431-RA, HEL_011691-RA, HEL_013996-RA, HEL_010140-RA, HEL_011756-RA, HEL_004768-RA, HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA, HEL_011754-RA
OG0000124	Bany_11544-RA, Bany_11546-RA	HEL_012796-RA
OG0000124	Bany_11548-RA	HEL_012799-RA
OG0000124	Bany_10467-RA, Bany_10468-RA	HEL_000153-RA
OG0000125	Bany_02581-RA, Bany_02575-RA, Bany_02580-RA, Bany_02579-RA, Bany_02576-RA, Bany_02578-RA	HEL_008471-RA
OG0000125	Bany_02582-RA	HEL_008470-RA
OG0000127	Bany_13810-RA	HEL_013706-RA
OG0000128	Bany_11636-RA	HEL_014291-RA
OG0000128	Bany_11151-RA	HEL_014057-RA
OG0000128	Bany_11631-RA	HEL_014054-RA
OG0000129	Bany_01924-RA	HEL_003330-RA
OG0000129	Bany_03707-RA, Bany_03706-RA	HEL_003340-RA
OG0000131	Bany_12626-RA	HEL_004142-RA
OG0000132	Bany_15311-RA, Bany_08048-RA	HEL_013799-RA, HEL_013798-RA
OG0000133	Bany_12678-RA	HEL_004130-RA
OG0000133	Bany_12676-RA	HEL_004133-RA
OG0000134	Bany_02357-RA	HEL_006876-RA
OG0000134	Bany_02392-RA	HEL_006825-RA
OG0000134	Bany_02358-RA	HEL_006873-RA, HEL_006826-RA
OG0000136	Bany_08639-RA, Bany_08641-RA	HEL_004124-RA
OG0000137	Bany_15166-RA, Bany_00005-RA	HEL_001689-RA, HEL_001690-RA
OG0000138	Bany_03566-RA	HEL_002292-RA
OG0000138	Bany_09914-RA	HEL_007640-RA
OG0000139	Bany_09402-RA	HEL_003606-RA
OG0000139	Bany_09403-RA	HEL_003605-RA
OG0000139	Bany_09408-RA	HEL_003603-RA
OG0000139	Bany_09407-RA	HEL_003604-RA
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	HEL_010839-RA, HEL_010838-RA
OG0000142	Bany_01109-RA	HEL_010081-RA
OG0000143	Bany_01334-RA	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA
OG0000143	Bany_01332-RA, Bany_01256-RA	HEL_009924-RA
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	HEL_011567-RA
OG0000144	Bany_15147-RA, Bany_04176-RA, Bany_15145-RA	HEL_011566-RA, HEL_011571-RA, HEL_011570-RA
OG0000144	Bany_15148-RA	HEL_011569-RA, HEL_011568-RA
OG0000145	Bany_08426-RA, Bany_08427-RA, Bany_08424-RA, Bany_08425-RA	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA
OG0000149	Bany_10899-RA	HEL_004261-RA, HEL_004262-RA
OG0000149	Bany_11924-RA	HEL_006023-RA
OG0000149	Bany_12305-RA	HEL_010670-RA
OG0000152	Bany_04679-RA	HEL_002884-RA
OG0000152	Bany_04673-RA	HEL_002887-RA
OG0000152	Bany_04678-RA	HEL_002885-RA
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	HEL_012802-RA, HEL_012804-RA, HEL_012803-RA
OG0000154	Bany_17666-RA, Bany_17667-RA	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA
OG0000155	Bany_17351-RA, Bany_17350-RA	HEL_012316-RA
OG0000156	Bany_14780-RA, Bany_14779-RA	HEL_013567-RA, HEL_013569-RA
OG0000160	Bany_02510-RA, Bany_02935-RA, Bany_09324-RA	HEL_012101-RA
OG0000162	Bany_11202-RA, Bany_11201-RA	HEL_008231-RA
OG0000162	Bany_11203-RA	HEL_008230-RA
OG0000163	Bany_11267-RA	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA
OG0000164	Bany_17803-RA, Bany_01418-RA	HEL_013352-RA
OG0000165	Bany_05347-RA	HEL_014037-RA
OG0000165	Bany_05323-RA	HEL_014028-RA
OG0000166	Bany_15015-RA	HEL_009754-RA
OG0000166	Bany_15344-RA	HEL_007219-RA, HEL_007218-RA
OG0000167	Bany_12222-RA, Bany_08543-RA, Bany_15130-RA	HEL_011445-RA
OG0000167	Bany_06853-RA	HEL_000604-RA
OG0000168	Bany_10238-RA, Bany_10241-RA	HEL_010944-RA, HEL_010943-RA
OG0000169	Bany_11620-RA	HEL_012759-RA
OG0000169	Bany_11622-RA	HEL_014571-RA
OG0000169	Bany_11612-RA	HEL_012764-RA
OG0000170	Bany_15232-RA	HEL_012926-RA
OG0000170	Bany_15234-RA, Bany_15233-RA	HEL_012927-RA
OG0000171	Bany_06399-RA	HEL_006254-RA, HEL_006253-RA
OG0000171	Bany_06400-RA, Bany_06401-RA	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA
OG0000172	Bany_01720-RA	HEL_008361-RA, HEL_008362-RA
OG0000174	Bany_18126-RA	HEL_002710-RA
OG0000174	Bany_07483-RA	HEL_007174-RA
OG0000175	Bany_17401-RA	HEL_005422-RA
OG0000175	Bany_02772-RA	HEL_009048-RA
OG0000175	Bany_07033-RA	HEL_003484-RA
OG0000178	Bany_17427-RA, Bany_17428-RA	HEL_005387-RA
OG0000178	Bany_17535-RA	HEL_004641-RA
OG0000179	Bany_14923-RA	HEL_013875-RA
OG0000180	Bany_09947-RA, Bany_07642-RA	HEL_007079-RA, HEL_007078-RA
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	HEL_008902-RA
OG0000182	Bany_11088-RA, Bany_11086-RA	HEL_012893-RA
OG0000183	Bany_11605-RA	HEL_012769-RA
OG0000183	Bany_04948-RA	HEL_006620-RA
OG0000183	Bany_05295-RA	HEL_003942-RA
OG0000184	Bany_10868-RA	HEL_004299-RA
OG0000184	Bany_10869-RA	HEL_004298-RA
OG0000185	Bany_13249-RA	HEL_011155-RA
OG0000185	Bany_13248-RA	HEL_011156-RA
OG0000185	Bany_13247-RA	HEL_011157-RA
OG0000186	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA	HEL_006287-RA, HEL_013685-RA
OG0000187	Bany_01200-RA	HEL_010066-RA
OG0000187	Bany_01201-RA	HEL_010067-RA
OG0000188	Bany_17928-RA	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA
OG0000188	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA	HEL_009328-RA
OG0000190	Bany_11035-RA, Bany_11034-RA	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA
OG0000191	Bany_07730-RA	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA
OG0000193	Bany_10556-RA	HEL_011020-RA, HEL_011022-RA
OG0000196	Bany_04640-RA, Bany_04860-RA	HEL_002689-RA
OG0000197	Bany_04457-RA	HEL_002519-RA
OG0000197	Bany_00477-RA	HEL_001340-RA
OG0000198	Bany_02797-RA	HEL_009068-RA
OG0000198	Bany_02795-RA	HEL_009067-RA
OG0000198	Bany_02793-RA, Bany_02792-RA, Bany_02791-RA	HEL_009066-RA
OG0000200	Bany_08252-RA	HEL_007527-RA
OG0000201	Bany_14127-RA, Bany_14125-RA	HEL_001000-RA, HEL_001001-RA
OG0000202	Bany_10409-RA	HEL_000098-RA
OG0000205	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA	HEL_005648-RA
OG0000206	Bany_16059-RA	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA
OG0000209	Bany_16584-RA	HEL_000443-RA
OG0000209	Bany_14066-RA	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA
OG0000209	Bany_16586-RA	HEL_001020-RA
OG0000210	Bany_06148-RA	HEL_007938-RA
OG0000211	Bany_11547-RA	HEL_012800-RA
OG0000212	Bany_10229-RA	HEL_010931-RA
OG0000213	Bany_00465-RA	HEL_001448-RA
OG0000213	Bany_00463-RA	HEL_001453-RA
OG0000214	Bany_06287-RA	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA
OG0000215	Bany_02488-RA	HEL_008533-RA
OG0000215	Bany_05620-RA	HEL_004541-RA
OG0000215	Bany_02487-RA	HEL_011523-RA
OG0000216	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA	HEL_000005-RA
OG0000217	Bany_04902-RA	HEL_006812-RA
OG0000218	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA, Bany_03224-RA	HEL_011596-RA
OG0000219	Bany_02621-RA	HEL_008433-RA
OG0000219	Bany_08466-RA	HEL_011520-RA
OG0000220	Bany_10486-RA	HEL_000160-RA, HEL_000180-RA
OG0000220	Bany_10494-RA	HEL_000185-RA
OG0000221	Bany_10492-RA	HEL_000182-RA
OG0000221	Bany_10493-RA	HEL_000184-RA
OG0000222	Bany_16056-RA, Bany_04103-RA	HEL_013041-RA, HEL_013040-RA
OG0000224	Bany_10634-RA	HEL_011062-RA
OG0000224	Bany_10633-RA, Bany_10632-RA	HEL_011059-RA, HEL_011060-RA
OG0000227	Bany_10948-RA	HEL_013037-RA, HEL_013030-RA
OG0000229	Bany_09452-RA	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA
OG0000229	Bany_04487-RA	HEL_002543-RA
OG0000230	Bany_11953-RA	HEL_007833-RA
OG0000231	Bany_01177-RA	HEL_013550-RA, HEL_013546-RA, HEL_013547-RA, HEL_013545-RA
OG0000231	Bany_14473-RA, Bany_14474-RA	HEL_014558-RA, HEL_013548-RA
OG0000232	Bany_06126-RA	HEL_007965-RA
OG0000233	Bany_10114-RA, Bany_10111-RA	HEL_013315-RA
OG0000234	Bany_06823-RA	HEL_000576-RA
OG0000234	Bany_06909-RA	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA
OG0000235	Bany_05454-RA	HEL_008763-RA
OG0000235	Bany_05455-RA	HEL_008762-RA
OG0000236	Bany_13986-RA	HEL_001074-RA
OG0000236	Bany_13983-RA	HEL_001070-RA
OG0000237	Bany_15216-RA	HEL_012911-RA
OG0000237	Bany_15215-RA	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA
OG0000238	Bany_03431-RA	HEL_011638-RA
OG0000238	Bany_06352-RA	HEL_006325-RA
OG0000239	Bany_08440-RA	HEL_013434-RA
OG0000240	Bany_07917-RA	HEL_005455-RA
OG0000246	Bany_15839-RA	HEL_005502-RA
OG0000246	Bany_01832-RA, Bany_07690-RA, Bany_00609-RA, Bany_01002-RA, Bany_00870-RA, Bany_01529-RA, Bany_07226-RA, Bany_08849-RA, Bany_05547-RA, Bany_13650-RA, Bany_15838-RA	HEL_005503-RA
OG0000247	Bany_14903-RA	HEL_001922-RA, HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA
OG0000248	Bany_01028-RA	HEL_013916-RA
OG0000248	Bany_01008-RA	HEL_013902-RA
OG0000249	Bany_16510-RA	HEL_000469-RA, HEL_000470-RA
OG0000250	Bany_01022-RA	HEL_013910-RA
