Orthogroup	Bicyclus_anynana	Vanessa_tameamea
OG0000122	Bany_08302-RA	XP_026499961.1
OG0000122	Bany_13318-RA	XP_026499981.1
OG0000123	Bany_07450-RA	XP_026500003.1, XP_026496505.1, XP_026498408.1
OG0000124	Bany_11544-RA, Bany_11546-RA	XP_026492747.1
OG0000124	Bany_11548-RA	XP_026492758.1
OG0000125	Bany_02581-RA	XP_026491913.1
OG0000125	Bany_02582-RA	XP_026491928.1
OG0000127	Bany_13810-RA	XP_026498360.1, XP_026489582.1
OG0000127	Bany_13611-RA	XP_026487263.1
OG0000128	Bany_11636-RA	XP_026494344.1
OG0000128	Bany_11151-RA	XP_026494318.1
OG0000128	Bany_11631-RA	XP_026494332.1
OG0000129	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1
OG0000131	Bany_12626-RA	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	Bany_15311-RA, Bany_08048-RA	XP_026489619.1, XP_026489627.1
OG0000133	Bany_12678-RA	XP_026500939.1
OG0000133	Bany_12676-RA	XP_026501069.1, XP_026500315.1
OG0000134	Bany_02357-RA	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	Bany_02392-RA	XP_026497731.1
OG0000134	Bany_02358-RA	XP_026500779.1
OG0000135	Bany_11062-RA, Bany_05755-RA, Bany_08050-RA, Bany_11858-RA, Bany_16925-RA, Bany_11074-RA, Bany_17866-RA, Bany_11371-RA, Bany_05756-RA, Bany_14610-RA, Bany_18145-RA, Bany_11854-RA, Bany_18149-RA, Bany_11855-RA, Bany_00009-RA, Bany_05308-RA, Bany_02634-RA, Bany_18146-RA, Bany_11856-RA, Bany_12768-RA, Bany_16902-RA, Bany_18127-RA, Bany_16885-RA, Bany_13389-RA, Bany_05110-RA, Bany_08394-RA, Bany_11487-RA, Bany_15077-RA, Bany_00971-RA, Bany_18148-RA, Bany_18147-RA	XP_026500130.1
OG0000137	Bany_00008-RA	XP_026484810.1
OG0000138	Bany_03566-RA	XP_026488759.1, XP_026488751.1
OG0000139	Bany_09402-RA	XP_026500945.1
OG0000139	Bany_17102-RA	XP_026500227.1
OG0000139	Bany_09403-RA	XP_026483306.1
OG0000139	Bany_09407-RA	XP_026489675.1
OG0000140	Bany_17563-RA	XP_026486064.1
OG0000140	Bany_17491-RA	XP_026486773.1
OG0000140	Bany_17568-RA	XP_026486075.1
OG0000140	Bany_17569-RA	XP_026486054.1
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	XP_026496357.1, XP_026496430.1
OG0000142	Bany_01108-RA	XP_026483563.1
OG0000142	Bany_01116-RA	XP_026483566.1
OG0000142	Bany_01110-RA	XP_026483561.1
OG0000143	Bany_01334-RA	XP_026488575.1, XP_026488573.1
OG0000143	Bany_01332-RA, Bany_01256-RA	XP_026488574.1
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	XP_026493139.1
OG0000144	Bany_15148-RA	XP_026493387.1
OG0000145	Bany_08426-RA	XP_026488455.1
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	XP_026493400.1
OG0000148	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA, Bany_12306-RA	XP_026485046.1
OG0000149	Bany_10899-RA	XP_026485425.1
OG0000149	Bany_11924-RA	XP_026484245.1
OG0000149	Bany_12305-RA	XP_026492839.1
OG0000151	Bany_13240-RA	XP_026499908.1, XP_026497527.1
OG0000152	Bany_04679-RA	XP_026493652.1
OG0000152	Bany_04673-RA	XP_026493650.1
OG0000152	Bany_04678-RA	XP_026493647.1
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	XP_026490803.1, XP_026486667.1
OG0000154	Bany_17666-RA, Bany_17667-RA	XP_026493590.1, XP_026493568.1
OG0000155	Bany_17351-RA, Bany_17350-RA	XP_026497534.1
OG0000156	Bany_14780-RA, Bany_14779-RA	XP_026497267.1, XP_026496199.1, XP_026499976.1
OG0000160	Bany_02510-RA	XP_026497982.1, XP_026493406.1
OG0000160	Bany_02935-RA	XP_026498527.1, XP_026487949.1, XP_026491794.1
OG0000160	Bany_13021-RA	XP_026489771.1
OG0000161	Bany_14911-RA, Bany_12660-RA	XP_026489384.1
OG0000161	Bany_12831-RA	XP_026500058.1, XP_026494175.1, XP_026484617.1
OG0000162	Bany_11202-RA, Bany_11201-RA	XP_026495429.1, XP_026495426.1, XP_026499500.1
OG0000162	Bany_11203-RA	XP_026499499.1
OG0000163	Bany_11267-RA	XP_026494611.1
OG0000164	Bany_17803-RA, Bany_01418-RA	XP_026483367.1
OG0000165	Bany_05323-RA	XP_026491239.1
OG0000166	Bany_15015-RA	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000166	Bany_15344-RA	XP_026493524.1, XP_026493522.1, XP_026493525.1
OG0000167	Bany_08543-RA	XP_026490816.1
OG0000167	Bany_06853-RA	XP_026483730.1
OG0000169	Bany_11620-RA	XP_026493199.1
OG0000169	Bany_11622-RA	XP_026493187.1
OG0000169	Bany_11612-RA	XP_026493039.1
OG0000170	Bany_15234-RA, Bany_15233-RA	XP_026489549.1
OG0000171	Bany_06399-RA	XP_026483589.1
OG0000171	Bany_06400-RA, Bany_06401-RA	XP_026483600.1
OG0000172	Bany_01720-RA	XP_026487122.1
OG0000172	Bany_01725-RA, Bany_01726-RA	XP_026499901.1
OG0000172	Bany_01776-RA	XP_026501368.1
OG0000174	Bany_07483-RA	XP_026499849.1
OG0000175	Bany_17401-RA	XP_026492931.1
OG0000175	Bany_02772-RA	XP_026489948.1, XP_026489949.1
OG0000175	Bany_07033-RA	XP_026492115.1
OG0000178	Bany_17428-RA	XP_026501824.1
OG0000178	Bany_17535-RA	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000180	Bany_09947-RA, Bany_07642-RA	XP_026500685.1
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	XP_026487965.1, XP_026487964.1, XP_026487952.1, XP_026487961.1
OG0000182	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA	XP_026490062.1
OG0000183	Bany_11605-RA	XP_026493134.1, XP_026493142.1
OG0000183	Bany_04948-RA	XP_026500054.1
OG0000183	Bany_05295-RA	XP_026491498.1
OG0000184	Bany_10003-RA	XP_026499472.1
OG0000184	Bany_10868-RA	XP_026485414.1
OG0000184	Bany_10869-RA	XP_026485484.1
OG0000185	Bany_13249-RA	XP_026494681.1
OG0000185	Bany_13248-RA, Bany_13247-RA	XP_026494606.1, XP_026494683.1
OG0000186	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA	XP_026488639.1
OG0000187	Bany_01200-RA	XP_026483320.1
OG0000187	Bany_01201-RA	XP_026483321.1
OG0000188	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA	XP_026492468.1
OG0000189	Bany_14112-RA, Bany_14113-RA	XP_026486864.1
OG0000189	Bany_14114-RA	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1
OG0000190	Bany_11033-RA	XP_026485321.1
OG0000191	Bany_07730-RA	XP_026488824.1, XP_026488828.1
OG0000193	Bany_10556-RA	XP_026485379.1
OG0000193	Bany_10955-RA	XP_026485291.1
OG0000196	Bany_17044-RA	XP_026487886.1
OG0000196	Bany_04640-RA, Bany_04860-RA	XP_026487864.1
OG0000197	Bany_04457-RA	XP_026486620.1, XP_026486619.1
OG0000197	Bany_00477-RA	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	Bany_02797-RA	XP_026494933.1
OG0000198	Bany_02795-RA, Bany_03349-RA, Bany_03350-RA, Bany_02793-RA, Bany_02792-RA, Bany_02791-RA	XP_026501551.1
OG0000199	Bany_10081-RA, Bany_10082-RA, Bany_05597-RA	XP_026486145.1
OG0000200	Bany_08252-RA, Bany_08251-RA	XP_026488475.1
OG0000201	Bany_14127-RA, Bany_14125-RA	XP_026486827.1, XP_026486826.1
OG0000205	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA	XP_026496328.1
OG0000206	Bany_16059-RA	XP_026483159.1
OG0000208	Bany_03552-RA	XP_026489321.1, XP_026498785.1
OG0000208	Bany_03551-RA	XP_026489345.1, XP_026498784.1
OG0000209	Bany_16584-RA	XP_026490392.1
OG0000209	Bany_14066-RA	XP_026486988.1
OG0000210	Bany_06149-RA	XP_026492865.1
OG0000210	Bany_06148-RA	XP_026501529.1
OG0000212	Bany_10229-RA	XP_026485827.1
OG0000213	Bany_00465-RA	XP_026485069.1
OG0000213	Bany_00463-RA	XP_026485071.1
OG0000213	Bany_00461-RA	XP_026484522.1
OG0000214	Bany_06287-RA	XP_026483703.1, XP_026483711.1
OG0000215	Bany_02488-RA	XP_026491895.1
OG0000215	Bany_05620-RA	XP_026491785.1
OG0000215	Bany_02487-RA	XP_026491875.1
OG0000216	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA	XP_026485745.1, XP_026485749.1
OG0000217	Bany_04902-RA	XP_026494731.1
OG0000218	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA	XP_026494855.1
OG0000219	Bany_02621-RA	XP_026500081.1
OG0000220	Bany_10486-RA	XP_026486313.1
OG0000220	Bany_10494-RA	XP_026486249.1
OG0000221	Bany_10492-RA	XP_026486244.1
OG0000221	Bany_10493-RA	XP_026486245.1, XP_026486247.1, XP_026486248.1
OG0000222	Bany_16054-RA, Bany_16055-RA	XP_026483158.1
OG0000222	Bany_16060-RA, Bany_16057-RA, Bany_18143-RA, Bany_16056-RA, Bany_04103-RA	XP_026483160.1
OG0000225	Bany_09587-RA	XP_026500129.1
OG0000226	Bany_16157-RA	XP_026497883.1, XP_026485487.1, XP_026495593.1
OG0000226	Bany_17364-RA	XP_026492169.1
OG0000228	Bany_17593-RA, Bany_12221-RA, Bany_16549-RA, Bany_06852-RA	XP_026483737.1
OG0000228	Bany_03845-RA, Bany_12796-RA, Bany_15129-RA	XP_026499496.1
OG0000229	Bany_09452-RA	XP_026489655.1
OG0000229	Bany_04487-RA	XP_026486610.1
OG0000230	Bany_11953-RA	XP_026496664.1
OG0000230	Bany_11957-RA	XP_026496864.1
OG0000231	Bany_01177-RA	XP_026488937.1
OG0000232	Bany_06126-RA	XP_026484823.1
OG0000233	Bany_10114-RA	XP_026485758.1
OG0000233	Bany_10111-RA	XP_026486210.1, XP_026486211.1, XP_026486209.1
OG0000234	Bany_06823-RA	XP_026483774.1
OG0000234	Bany_06909-RA	XP_026483729.1, XP_026489181.1
OG0000235	Bany_05454-RA	XP_026491220.1, XP_026491221.1
OG0000235	Bany_05455-RA	XP_026491492.1, XP_026491491.1
OG0000236	Bany_13986-RA	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	Bany_13983-RA	XP_026486884.1
OG0000237	Bany_15216-RA	XP_026498172.1
OG0000237	Bany_15215-RA	XP_026498191.1
OG0000238	Bany_03431-RA	XP_026501419.1, XP_026501420.1
OG0000238	Bany_06352-RA	XP_026500089.1
OG0000239	Bany_08440-RA	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1
OG0000245	Bany_15446-RA, Bany_03563-RA, Bany_15421-RA, Bany_17767-RA	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1
OG0000246	Bany_15839-RA	XP_026498593.1
OG0000247	Bany_14900-RA	XP_026497474.1
OG0000247	Bany_14903-RA	XP_026497382.1, XP_026497455.1
OG0000248	Bany_01028-RA	XP_026483522.1
OG0000248	Bany_01008-RA	XP_026483488.1, XP_026483487.1
OG0000249	Bany_16512-RA, Bany_16511-RA	XP_026496110.1
OG0000249	Bany_16510-RA	XP_026496131.1
OG0000250	Bany_01022-RA	XP_026483565.1
OG0000253	Bany_13196-RA, Bany_14120-RA, Bany_13591-RA	XP_026496141.1
OG0000254	Bany_06713-RA	XP_026483833.1, XP_026483657.1
OG0000255	Bany_03709-RA	XP_026500405.1
OG0000256	Bany_15031-RA	XP_026496954.1
OG0000257	Bany_11989-RA	XP_026496860.1
OG0000257	Bany_01627-RA	XP_026490765.1, XP_026490754.1
OG0000258	Bany_16661-RA, Bany_16649-RA, Bany_16648-RA	XP_026491836.1
OG0000259	Bany_15193-RA	XP_026498189.1
OG0000259	Bany_15079-RA	XP_026493390.1
OG0000260	Bany_07795-RA	XP_026483812.1, XP_026483811.1
OG0000260	Bany_06894-RA	XP_026483815.1
OG0000261	Bany_17317-RA, Bany_02406-RA, Bany_17316-RA	XP_026488960.1, XP_026488869.1, XP_026488958.1
OG0000262	Bany_09762-RA	XP_026494162.1
