Orthogroup	Bicyclus_anynana	Vanessa_cardui
OG0000026	Bany_00115-RA	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA
OG0000028	Bany_14335-RA	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA
OG0000029	Bany_00663-RA, Bany_00664-RA	Vcard_DToL02471-RA
OG0000030	Bany_15771-RA	Vcard_DToL03994-RA
OG0000031	Bany_03256-RA	Vcard_DToL09360-RA
OG0000031	Bany_18042-RA, Bany_11193-RA	Vcard_DToL09361-RA
OG0000034	Bany_05845-RA	Vcard_DToL03971-RA
OG0000034	Bany_05846-RA, Bany_05861-RA	Vcard_DToL03973-RA
OG0000034	Bany_05243-RA	Vcard_DToL03370-RA
OG0000034	Bany_05248-RA	Vcard_DToL03379-RA
OG0000035	Bany_02371-RA, Bany_01586-RA, Bany_17576-RA, Bany_00397-RA, Bany_03849-RA, Bany_17488-RA	Vcard_DToL15716-RA
OG0000035	Bany_07002-RA, Bany_10949-RA, Bany_17092-RA, Bany_12724-RA, Bany_09887-RA, Bany_13908-RA, Bany_12281-RA	Vcard_DToL00728-RA
OG0000035	Bany_03344-RA	Vcard_DToL18302-RA
OG0000035	Bany_05654-RA, Bany_04896-RA, Bany_13984-RA, Bany_05682-RA, Bany_01945-RA, Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA, Bany_07608-RA, Bany_15639-RA, Bany_12581-RA	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA
OG0000038	Bany_01919-RA	Vcard_DToL16692-RA
OG0000039	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA
OG0000041	Bany_11570-RA	Vcard_DToL13154-RA
OG0000041	Bany_02401-RA, Bany_02400-RA	Vcard_DToL15605-RA
OG0000049	Bany_06008-RA	Vcard_DToL06466-RA
OG0000049	Bany_05882-RA, Bany_05877-RA	Vcard_DToL06446-RA
OG0000050	Bany_14319-RA	Vcard_DToL13075-RA, Vcard_DToL13076-RA
OG0000051	Bany_10418-RA, Bany_13008-RA, Bany_12773-RA, Bany_02443-RA, Bany_02332-RA, Bany_05666-RA	Vcard_DToL02196-RA
OG0000052	Bany_00561-RA	Vcard_DToL12449-RA
OG0000053	Bany_05073-RA	Vcard_DToL01328-RA
OG0000053	Bany_05075-RA	Vcard_DToL01331-RA
OG0000053	Bany_05076-RA	Vcard_DToL01335-RA
OG0000054	Bany_08678-RA	Vcard_DToL09709-RA
OG0000054	Bany_08681-RA, Bany_08727-RA	Vcard_DToL09712-RA
OG0000054	Bany_08680-RA	Vcard_DToL09711-RA
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	Vcard_DToL13935-RA, Vcard_DToL18184-RA
OG0000055	Bany_12890-RA, Bany_05677-RA	Vcard_DToL18025-RA
OG0000056	Bany_17818-RA	Vcard_DToL16041-RA
OG0000056	Bany_17820-RA	Vcard_DToL16044-RA
OG0000056	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA, Bany_17808-RA, Bany_17810-RA	Vcard_DToL16040-RA
OG0000057	Bany_11764-RA	Vcard_DToL13794-RA
OG0000057	Bany_11763-RA	Vcard_DToL13796-RA
OG0000057	Bany_10000-RA	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000058	Bany_05192-RA, Bany_00871-RA	Vcard_DToL16303-RA, Vcard_DToL07362-RA
OG0000058	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA	Vcard_DToL02890-RA
OG0000061	Bany_08020-RA	Vcard_DToL04117-RA
OG0000062	Bany_10506-RA	Vcard_DToL05449-RA
OG0000062	Bany_06854-RA	Vcard_DToL17485-RA
OG0000062	Bany_15127-RA	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA
OG0000063	Bany_06319-RA	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	Bany_12190-RA	Vcard_DToL07425-RA
OG0000066	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	Bany_02338-RA	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000067	Bany_16556-RA, Bany_16555-RA, Bany_16554-RA, Bany_10009-RA, Bany_16557-RA, Bany_16558-RA, Bany_06790-RA, Bany_16552-RA, Bany_06765-RA	Vcard_DToL15558-RA
OG0000068	Bany_02228-RA, Bany_02226-RA	Vcard_DToL16340-RA
OG0000068	Bany_02214-RA	Vcard_DToL16337-RA
OG0000069	Bany_01527-RA	Vcard_DToL07820-RA
OG0000069	Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	Vcard_DToL07819-RA, Vcard_DToL07818-RA
OG0000071	Bany_13125-RA	Vcard_DToL11272-RA
OG0000071	Bany_13126-RA	Vcard_DToL15245-RA
OG0000073	Bany_06221-RA	Vcard_DToL06863-RA
OG0000073	Bany_06084-RA	Vcard_DToL06621-RA
OG0000073	Bany_06086-RA, Bany_06085-RA, Bany_06087-RA, Bany_06075-RA	Vcard_DToL06614-RA
OG0000075	Bany_07998-RA	Vcard_DToL04138-RA
OG0000075	Bany_08220-RA	Vcard_DToL04270-RA
OG0000076	Bany_16171-RA, Bany_16169-RA	Vcard_DToL18781-RA
OG0000078	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000079	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA	Vcard_DToL07660-RA, Vcard_DToL05246-RA, Vcard_DToL05221-RA
OG0000080	Bany_15429-RA, Bany_08357-RA, Bany_02557-RA, Bany_12245-RA, Bany_08358-RA	Vcard_DToL16424-RA
OG0000082	Bany_06988-RA	Vcard_DToL17276-RA
OG0000082	Bany_06547-RA	Vcard_DToL17337-RA
OG0000084	Bany_12323-RA, Bany_12325-RA	Vcard_DToL07564-RA
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	Vcard_DToL03094-RA
OG0000088	Bany_06437-RA	Vcard_DToL06952-RA
OG0000091	Bany_13092-RA	Vcard_DToL15015-RA
OG0000091	Bany_07375-RA, Bany_04928-RA, Bany_09349-RA	Vcard_DToL07340-RA
OG0000092	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA	Vcard_DToL04259-RA
OG0000092	Bany_08213-RA, Bany_08203-RA	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	Bany_07027-RA	Vcard_DToL17257-RA
OG0000093	Bany_06974-RA	Vcard_DToL17260-RA
OG0000093	Bany_07030-RA, Bany_07031-RA	Vcard_DToL17256-RA
OG0000094	Bany_02330-RA	Vcard_DToL15547-RA
OG0000094	Bany_02336-RA, Bany_02337-RA	Vcard_DToL15561-RA
OG0000095	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA	Vcard_DToL02427-RA, Vcard_DToL02425-RA
OG0000096	Bany_05878-RA	Vcard_DToL06347-RA
OG0000096	Bany_05883-RA	Vcard_DToL06351-RA
OG0000096	Bany_05880-RA	Vcard_DToL06349-RA
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	Vcard_DToL11327-RA, Vcard_DToL11326-RA
OG0000098	Bany_15791-RA	Vcard_DToL02960-RA
OG0000100	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA	Vcard_DToL12906-RA
OG0000100	Bany_14503-RA	Vcard_DToL12904-RA
OG0000100	Bany_14500-RA	Vcard_DToL12899-RA
OG0000101	Bany_15315-RA	Vcard_DToL09191-RA
OG0000101	Bany_15313-RA	Vcard_DToL10113-RA
OG0000103	Bany_01667-RA	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA
OG0000108	Bany_10832-RA, Bany_07404-RA	Vcard_DToL18043-RA
OG0000109	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA	Vcard_DToL04719-RA
OG0000110	Bany_01227-RA, Bany_01228-RA	Vcard_DToL07723-RA
OG0000110	Bany_01235-RA	Vcard_DToL07721-RA, Vcard_DToL07720-RA
OG0000111	Bany_10939-RA	Vcard_DToL10424-RA
OG0000111	Bany_10437-RA	Vcard_DToL05298-RA
OG0000111	Bany_10438-RA	Vcard_DToL05301-RA
OG0000113	Bany_05360-RA	Vcard_DToL03481-RA
OG0000114	Bany_01222-RA, Bany_01450-RA	Vcard_DToL07873-RA
OG0000114	Bany_01444-RA, Bany_01446-RA	Vcard_DToL09470-RA
OG0000115	Bany_02238-RA	Vcard_DToL16325-RA
OG0000115	Bany_06385-RA	Vcard_DToL06773-RA
OG0000115	Bany_02241-RA	Vcard_DToL16322-RA
OG0000116	Bany_10490-RA	Vcard_DToL05226-RA
OG0000116	Bany_07549-RA	Vcard_DToL00399-RA
OG0000116	Bany_12390-RA	Vcard_DToL17023-RA
OG0000117	Bany_01550-RA	Vcard_DToL08238-RA
OG0000117	Bany_01549-RA, Bany_01548-RA	Vcard_DToL08239-RA
OG0000122	Bany_08302-RA	Vcard_DToL04366-RA
OG0000122	Bany_14514-RA, Bany_16882-RA, Bany_16881-RA, Bany_00527-RA	Vcard_DToL04368-RA
OG0000122	Bany_13318-RA	Vcard_DToL14073-RA, Vcard_DToL17995-RA
OG0000124	Bany_11544-RA, Bany_11546-RA	Vcard_DToL13182-RA
OG0000125	Bany_02581-RA	Vcard_DToL15852-RA
OG0000125	Bany_02582-RA	Vcard_DToL15854-RA
OG0000127	Bany_13810-RA	Vcard_DToL18678-RA
OG0000128	Bany_11636-RA	Vcard_DToL13576-RA
OG0000128	Bany_11151-RA	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	Bany_11631-RA	Vcard_DToL13581-RA
OG0000129	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA	Vcard_DToL16688-RA
OG0000130	Bany_17026-RA	Vcard_DToL07751-RA
OG0000131	Bany_12626-RA	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA
OG0000132	Bany_15311-RA, Bany_08048-RA	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA
OG0000133	Bany_12678-RA	Vcard_DToL17871-RA
OG0000133	Bany_12676-RA	Vcard_DToL17888-RA
OG0000134	Bany_02357-RA	Vcard_DToL15581-RA
OG0000134	Bany_02392-RA	Vcard_DToL15620-RA
OG0000134	Bany_02358-RA	Vcard_DToL15582-RA
OG0000138	Bany_03566-RA	Vcard_DToL06226-RA, Vcard_DToL06227-RA
OG0000138	Bany_09914-RA	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	Bany_09402-RA	Vcard_DToL14664-RA
OG0000139	Bany_17102-RA	Vcard_DToL15052-RA
OG0000140	Bany_17563-RA	Vcard_DToL16920-RA
OG0000140	Bany_17491-RA	Vcard_DToL16881-RA
OG0000140	Bany_17568-RA	Vcard_DToL16917-RA
OG0000140	Bany_17569-RA	Vcard_DToL16916-RA
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA
OG0000142	Bany_01108-RA	Vcard_DToL18406-RA
OG0000142	Bany_01116-RA	Vcard_DToL18394-RA
OG0000142	Bany_01110-RA	Vcard_DToL18404-RA
OG0000143	Bany_01334-RA	Vcard_DToL08257-RA
OG0000143	Bany_01332-RA, Bany_01256-RA	Vcard_DToL08259-RA
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	Vcard_DToL09834-RA
OG0000145	Bany_08426-RA	Vcard_DToL04524-RA
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000148	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA
OG0000149	Bany_10899-RA	Vcard_DToL10477-RA
OG0000150	Bany_01083-RA, Bany_01082-RA	Vcard_DToL16167-RA, Vcard_DToL15721-RA
OG0000150	Bany_15649-RA, Bany_15123-RA, Bany_05527-RA	Vcard_DToL07759-RA
OG0000152	Bany_04679-RA	Vcard_DToL01543-RA
OG0000152	Bany_04673-RA	Vcard_DToL01538-RA
OG0000152	Bany_04678-RA	Vcard_DToL01542-RA
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	Vcard_DToL04556-RA, Vcard_DToL04750-RA
OG0000154	Bany_17666-RA, Bany_17667-RA	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	Bany_17351-RA, Bany_17350-RA	Vcard_DToL15439-RA
OG0000156	Bany_14780-RA, Bany_14779-RA	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA
OG0000161	Bany_14911-RA	Vcard_DToL14001-RA
OG0000161	Bany_12660-RA	Vcard_DToL07216-RA, Vcard_DToL10609-RA
OG0000162	Bany_11202-RA, Bany_11201-RA	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	Bany_11267-RA	Vcard_DToL13540-RA
OG0000164	Bany_17803-RA, Bany_01418-RA	Vcard_DToL18259-RA
OG0000165	Bany_05323-RA, Bany_05322-RA	Vcard_DToL03464-RA
OG0000166	Bany_15015-RA	Vcard_DToL10237-RA
OG0000166	Bany_15344-RA	Vcard_DToL10075-RA
OG0000167	Bany_08543-RA	Vcard_DToL04638-RA
OG0000167	Bany_06853-RA	Vcard_DToL17484-RA
OG0000169	Bany_11620-RA	Vcard_DToL13220-RA
OG0000169	Bany_11622-RA	Vcard_DToL13222-RA
OG0000169	Bany_11612-RA	Vcard_DToL13212-RA
OG0000170	Bany_15234-RA, Bany_15233-RA	Vcard_DToL09757-RA
OG0000171	Bany_06399-RA	Vcard_DToL06760-RA
OG0000171	Bany_06398-RA, Bany_06397-RA	Vcard_DToL06761-RA
OG0000171	Bany_06400-RA, Bany_06401-RA	Vcard_DToL06758-RA
OG0000172	Bany_01720-RA	Vcard_DToL08055-RA
OG0000172	Bany_01776-RA	Vcard_DToL08028-RA
OG0000174	Bany_07483-RA	Vcard_DToL00231-RA
OG0000175	Bany_17401-RA	Vcard_DToL16841-RA
OG0000175	Bany_02772-RA	Vcard_DToL08937-RA
OG0000175	Bany_07033-RA	Vcard_DToL09691-RA
OG0000176	Bany_18113-RA	Vcard_DToL14998-RA
OG0000177	Bany_14912-RA, Bany_02577-RA	Vcard_DToL18686-RA
OG0000178	Bany_17428-RA	Vcard_DToL16798-RA
OG0000178	Bany_17535-RA	Vcard_DToL16964-RA
OG0000179	Bany_14923-RA	Vcard_DToL10007-RA
OG0000180	Bany_09947-RA, Bany_07642-RA	Vcard_DToL00694-RA
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA	Vcard_DToL04801-RA
OG0000183	Bany_11605-RA	Vcard_DToL13208-RA
OG0000183	Bany_04948-RA	Vcard_DToL06780-RA, Vcard_DToL01715-RA
OG0000184	Bany_10003-RA	Vcard_DToL04778-RA
OG0000184	Bany_10868-RA	Vcard_DToL10518-RA
OG0000184	Bany_10869-RA	Vcard_DToL10517-RA
OG0000185	Bany_13249-RA	Vcard_DToL11157-RA
OG0000185	Bany_13248-RA	Vcard_DToL11158-RA
OG0000185	Bany_13247-RA	Vcard_DToL11159-RA
OG0000186	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA	Vcard_DToL18093-RA
OG0000187	Bany_01200-RA	Vcard_DToL18267-RA
OG0000187	Bany_12865-RA	Vcard_DToL18153-RA
OG0000188	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA	Vcard_DToL16002-RA, Vcard_DToL16003-RA, Vcard_DToL16004-RA
OG0000189	Bany_14114-RA	Vcard_DToL12109-RA, Vcard_DToL12110-RA
OG0000190	Bany_11035-RA, Bany_11034-RA	Vcard_DToL10323-RA
OG0000190	Bany_11033-RA	Vcard_DToL10320-RA
OG0000191	Bany_07730-RA	Vcard_DToL00710-RA, Vcard_DToL00708-RA
OG0000193	Bany_10556-RA	Vcard_DToL10620-RA
OG0000193	Bany_10955-RA	Vcard_DToL10412-RA
OG0000194	Bany_15533-RA, Bany_05542-RA, Bany_12901-RA	Vcard_DToL18679-RA
OG0000196	Bany_04640-RA, Bany_04860-RA	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	Bany_04457-RA	Vcard_DToL00934-RA
OG0000197	Bany_00477-RA	Vcard_DToL02361-RA
OG0000198	Bany_02797-RA	Vcard_DToL08912-RA
OG0000198	Bany_03349-RA	Vcard_DToL08911-RA
OG0000200	Bany_08252-RA	Vcard_DToL04305-RA
OG0000200	Bany_08251-RA	Vcard_DToL04304-RA
OG0000201	Bany_14127-RA, Bany_14125-RA	Vcard_DToL12096-RA, Vcard_DToL12097-RA
OG0000202	Bany_10409-RA	Vcard_DToL05319-RA, Vcard_DToL05320-RA
OG0000205	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA	Vcard_DToL03235-RA
OG0000206	Bany_16059-RA	Vcard_DToL18698-RA
OG0000208	Bany_03551-RA	Vcard_DToL06230-RA
OG0000209	Bany_16584-RA	Vcard_DToL14070-RA
OG0000209	Bany_14066-RA	Vcard_DToL12081-RA
OG0000209	Bany_16586-RA	Vcard_DToL14068-RA
OG0000210	Bany_06149-RA	Vcard_DToL06539-RA
OG0000210	Bany_06148-RA	Vcard_DToL06540-RA
OG0000212	Bany_10229-RA	Vcard_DToL05122-RA
OG0000213	Bany_00465-RA	Vcard_DToL02226-RA
OG0000213	Bany_00463-RA	Vcard_DToL02222-RA
OG0000213	Bany_00461-RA	Vcard_DToL02219-RA, Vcard_DToL02218-RA
OG0000214	Bany_06287-RA	Vcard_DToL06709-RA
OG0000215	Bany_02488-RA	Vcard_DToL15777-RA
OG0000215	Bany_05620-RA	Vcard_DToL03753-RA
OG0000215	Bany_02487-RA	Vcard_DToL15776-RA
OG0000216	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA	Vcard_DToL05432-RA, Vcard_DToL05434-RA
OG0000218	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA	Vcard_DToL08466-RA
OG0000218	Bany_03224-RA	Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA
OG0000219	Bany_02621-RA	Vcard_DToL15870-RA
OG0000219	Bany_08468-RA	Vcard_DToL04565-RA
OG0000219	Bany_08466-RA	Vcard_DToL04562-RA
OG0000220	Bany_10486-RA	Vcard_DToL05229-RA
OG0000220	Bany_10494-RA	Vcard_DToL05216-RA
OG0000221	Bany_10492-RA	Vcard_DToL05219-RA
OG0000221	Bany_10493-RA	Vcard_DToL05218-RA, Vcard_DToL05217-RA
OG0000222	Bany_16054-RA, Bany_16055-RA	Vcard_DToL18695-RA, Vcard_DToL18696-RA
OG0000222	Bany_16060-RA, Bany_16057-RA, Bany_18143-RA, Bany_16056-RA, Bany_04103-RA	Vcard_DToL18700-RA
OG0000224	Bany_10634-RA	Vcard_DToL10645-RA
OG0000228	Bany_17593-RA, Bany_12221-RA, Bany_16549-RA, Bany_06852-RA	Vcard_DToL17482-RA
OG0000229	Bany_09452-RA	Vcard_DToL14725-RA
OG0000229	Bany_04487-RA	Vcard_DToL00962-RA
OG0000230	Bany_11953-RA	Vcard_DToL07194-RA
OG0000230	Bany_11957-RA	Vcard_DToL07199-RA
OG0000232	Bany_06126-RA	Vcard_DToL07956-RA, Vcard_DToL06567-RA
OG0000233	Bany_10114-RA	Vcard_DToL04978-RA
OG0000233	Bany_10111-RA	Vcard_DToL04976-RA
OG0000234	Bany_06823-RA	Vcard_DToL17522-RA
OG0000234	Bany_06909-RA	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA
OG0000235	Bany_05454-RA	Vcard_DToL03594-RA
OG0000235	Bany_05455-RA	Vcard_DToL03595-RA
OG0000236	Bany_13986-RA	Vcard_DToL11988-RA
OG0000236	Bany_13983-RA	Vcard_DToL11986-RA
OG0000237	Bany_15216-RA	Vcard_DToL09774-RA
OG0000238	Bany_03431-RA	Vcard_DToL08425-RA
OG0000238	Bany_06352-RA	Vcard_DToL06802-RA
OG0000239	Bany_08440-RA	Vcard_DToL04531-RA, Vcard_DToL04532-RA
OG0000245	Bany_15446-RA, Bany_03563-RA, Bany_15421-RA, Bany_17767-RA	Vcard_DToL15030-RA
OG0000245	Bany_00535-RA, Bany_11628-RA	Vcard_DToL18538-RA
OG0000246	Bany_15839-RA	Vcard_DToL03003-RA
OG0000247	Bany_14900-RA	Vcard_DToL15273-RA
