Orthogroup	Bicyclus_anynana	Pararge_aegeria
OG0000019	Bany_12599-RA, Bany_12465-RA, Bany_00014-RA, Bany_12600-RA, Bany_16259-RA, Bany_16338-RA, Bany_16344-RA, Bany_16159-RA, Bany_06732-RA, Bany_12615-RA, Bany_12617-RA, Bany_12956-RA, Bany_12943-RA, Bany_12942-RA, Bany_14960-RA, Bany_16158-RA, Bany_16067-RA, Bany_16155-RA, Bany_16168-RA, Bany_16154-RA, Bany_16275-RA, Bany_12564-RA, Bany_12509-RA, Bany_12569-RA, Bany_12518-RA, Bany_12515-RA, Bany_12511-RA, Bany_16404-RA, Bany_16336-RA, Bany_12604-RA, Bany_16324-RA, Bany_12651-RA, Bany_12650-RA, Bany_12619-RA, Bany_12563-RA, Bany_16353-RA, Bany_17487-RA, Bany_16321-RA, Bany_16320-RA, Bany_02750-RA, Bany_08880-RA, Bany_16161-RA, Bany_16066-RA, Bany_08420-RA, Bany_17817-RA, Bany_16352-RA, Bany_16068-RA, Bany_12508-RA, Bany_12461-RA, Bany_16152-RA, Bany_16153-RA, Bany_16151-RA, Bany_12543-RA, Bany_12513-RA, Bany_12496-RA, Bany_12512-RA, Bany_12514-RA, Bany_12570-RA, Bany_12608-RA, Bany_13449-RA, Bany_12618-RA, Bany_12799-RA, Bany_16277-RA, Bany_16276-RA, Bany_12562-RA, Bany_08937-RA, Bany_15553-RA, Bany_11475-RA, Bany_16160-RA, Bany_09711-RA, Bany_12601-RA, Bany_12610-RA, Bany_12950-RA, Bany_12945-RA	XP_039762413.1
OG0000020	Bany_12772-RA	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1
OG0000020	Bany_17011-RA	XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1
OG0000021	Bany_12775-RA	XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1
OG0000022	Bany_00839-RA	XP_039765727.1
OG0000022	Bany_16283-RA	XP_039762875.1
OG0000022	Bany_17573-RA	XP_039761167.1
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	XP_039750917.1, XP_039752986.1
OG0000023	Bany_10369-RA, Bany_10129-RA	XP_039755787.1, XP_039761864.1, XP_039763079.1
OG0000023	Bany_05735-RA, Bany_10428-RA	XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1
OG0000023	Bany_17087-RA	XP_039745421.1, XP_039753381.1
OG0000024	Bany_07796-RA	XP_039763211.1
OG0000024	Bany_07225-RA, Bany_07782-RA	XP_039753156.1
OG0000024	Bany_07747-RA, Bany_07887-RA	XP_039763722.1
OG0000024	Bany_08736-RA	XP_039753155.1
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1
OG0000026	Bany_00115-RA	XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1
OG0000028	Bany_14270-RA, Bany_14337-RA	XP_039756644.1
OG0000028	Bany_14336-RA	XP_039756364.1, XP_039756209.1, XP_039756129.1
OG0000028	Bany_14338-RA, Bany_14339-RA	XP_039756115.1
OG0000028	Bany_07987-RA	XP_039754209.1
OG0000028	Bany_01182-RA	XP_039752265.1
OG0000029	Bany_01625-RA	XP_039751951.1
OG0000029	Bany_01626-RA	XP_039752755.1
OG0000029	Bany_00663-RA, Bany_00664-RA	XP_039745529.1
OG0000029	Bany_06091-RA	XP_039745420.1, XP_039745525.1
OG0000031	Bany_03256-RA	XP_039753010.1
OG0000032	Bany_00996-RA	XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1, XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1, XP_039758874.1, XP_039764419.1, XP_039749234.1
OG0000032	Bany_14909-RA, Bany_07405-RA	XP_039763077.1, XP_039764294.1
OG0000032	Bany_12629-RA	XP_039757087.1
OG0000034	Bany_05845-RA	XP_039746452.1
OG0000034	Bany_05253-RA	XP_039746103.1
OG0000034	Bany_05243-RA	XP_039746398.1
OG0000034	Bany_05248-RA	XP_039746268.1
OG0000036	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1
OG0000038	Bany_01919-RA	XP_039749533.1
OG0000038	Bany_01918-RA	XP_039747874.1
OG0000039	Bany_05944-RA, Bany_05945-RA	XP_039752715.1
OG0000039	Bany_01356-RA	XP_039752213.1, XP_039752212.1
OG0000041	Bany_11570-RA	XP_039759472.1
OG0000041	Bany_02601-RA	XP_039749285.1
OG0000041	Bany_02598-RA, Bany_02599-RA, Bany_02600-RA	XP_039749003.1
OG0000041	Bany_02401-RA	XP_039759561.1
OG0000041	Bany_02400-RA	XP_039746548.1
OG0000042	Bany_03342-RA, Bany_07772-RA	XP_039746819.1, XP_039746820.1, XP_039746816.1, XP_039746817.1, XP_039746818.1
OG0000046	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA	XP_039755067.1, XP_039755066.1
OG0000046	Bany_15459-RA	XP_039755249.1
OG0000046	Bany_15457-RA, Bany_15458-RA	XP_039755070.1
OG0000046	Bany_15460-RA	XP_039755248.1
OG0000046	Bany_15455-RA	XP_039759613.1
OG0000049	Bany_06008-RA	XP_039751487.1, XP_039751486.1
OG0000049	Bany_05877-RA	XP_039751228.1
OG0000050	Bany_14319-RA	XP_039756636.1
OG0000051	Bany_12773-RA, Bany_02443-RA, Bany_02332-RA	XP_039749486.1, XP_039746119.1, XP_039758957.1, XP_039747708.1, XP_039751058.1, XP_039758934.1, XP_039749343.1, XP_039757086.1, XP_039745259.1, XP_039758360.1, XP_039759681.1, XP_039764323.1, XP_039764161.1, XP_039753845.1, XP_039755457.1, XP_039752827.1, XP_039763915.1, XP_039758075.1
OG0000051	Bany_05666-RA	XP_039761862.1, XP_039760130.1, XP_039761912.1, XP_039745385.1, XP_039758148.1, XP_039762600.1, XP_039747551.1, XP_039753803.1, XP_039753307.1
OG0000052	Bany_00561-RA	XP_039755855.1
OG0000053	Bany_05073-RA	XP_039752462.1
OG0000053	Bany_05075-RA	XP_039760715.1
OG0000053	Bany_05076-RA	XP_039754797.1
OG0000054	Bany_08678-RA	XP_039753385.1
OG0000054	Bany_08681-RA	XP_039753386.1, XP_039753387.1
OG0000054	Bany_08727-RA	XP_039753618.1
OG0000054	Bany_08680-RA	XP_039753616.1
OG0000056	Bany_17818-RA	XP_039760526.1
OG0000056	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA	XP_039760529.1
OG0000056	Bany_17808-RA, Bany_17810-RA	XP_039760686.1
OG0000056	Bany_17809-RA	XP_039760687.1
OG0000057	Bany_11764-RA	XP_039759134.1, XP_039759133.1
OG0000057	Bany_11763-RA	XP_039759135.1
OG0000057	Bany_10000-RA	XP_039749078.1
OG0000058	Bany_10778-RA	XP_039764265.1, XP_039763616.1, XP_039756642.1, XP_039763057.1, XP_039764264.1
OG0000058	Bany_05192-RA, Bany_00871-RA	XP_039760434.1, XP_039755811.1, XP_039764477.1, XP_039762497.1
OG0000058	Bany_02266-RA, Bany_03259-RA	XP_039755222.1
OG0000058	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA	XP_039746435.1
OG0000059	Bany_07470-RA	XP_039762481.1, XP_039756353.1, XP_039749179.1, XP_039755237.1
OG0000059	Bany_10761-RA	XP_039765851.1, XP_039764468.1, XP_039753360.1, XP_039755229.1
OG0000060	Bany_15282-RA	XP_039758412.1
OG0000060	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA	XP_039758865.1, XP_039758409.1, XP_039758410.1
OG0000061	Bany_08018-RA, Bany_08020-RA, Bany_08022-RA, Bany_08021-RA, Bany_08019-RA	XP_039753921.1, XP_039754302.1, XP_039754300.1
OG0000062	Bany_10506-RA	XP_039749293.1
OG0000062	Bany_06854-RA	XP_039748112.1, XP_039747853.1
OG0000062	Bany_15127-RA	XP_039762066.1, XP_039762169.1, XP_039762064.1
OG0000063	Bany_06319-RA	XP_039751621.1, XP_039751623.1
OG0000063	Bany_12190-RA	XP_039749990.1
OG0000064	Bany_03190-RA, Bany_11765-RA	XP_039750964.1, XP_039750766.1
OG0000066	Bany_17015-RA	XP_039760006.1, XP_039760007.1, XP_039759907.1
OG0000066	Bany_17010-RA	XP_039760356.1
OG0000067	Bany_02338-RA	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1
OG0000067	Bany_16556-RA, Bany_16555-RA, Bany_16554-RA, Bany_10009-RA	XP_039748007.1
OG0000067	Bany_16557-RA, Bany_16558-RA, Bany_06790-RA	XP_039748182.1
OG0000067	Bany_16552-RA	XP_039748270.1, XP_039748269.1, XP_039748271.1
OG0000067	Bany_06765-RA	XP_039747710.1
OG0000068	Bany_02228-RA	XP_039750951.1, XP_039750943.1
OG0000068	Bany_02226-RA	XP_039747893.1
OG0000069	Bany_01516-RA, Bany_01517-RA, Bany_01518-RA	XP_039752244.1, XP_039752695.1
OG0000069	Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	XP_039752768.1
OG0000071	Bany_13125-RA	XP_039757286.1
OG0000073	Bany_06221-RA	XP_039751184.1, XP_039751183.1
OG0000073	Bany_06084-RA	XP_039751407.1, XP_039751408.1
OG0000073	Bany_06082-RA	XP_039751336.1
OG0000073	Bany_06075-RA	XP_039751081.1
OG0000075	Bany_07998-RA	XP_039753948.1, XP_039753946.1, XP_039753947.1
OG0000075	Bany_08015-RA	XP_039753889.1
OG0000075	Bany_08220-RA	XP_039754353.1
OG0000076	Bany_10910-RA	XP_039750800.1
OG0000076	Bany_16165-RA	XP_039762964.1
OG0000076	Bany_16171-RA, Bany_16169-RA	XP_039762746.1
OG0000077	Bany_10084-RA	XP_039749200.1
OG0000078	Bany_01615-RA	XP_039751952.1
OG0000078	Bany_02387-RA, Bany_01616-RA	XP_039752453.1
OG0000079	Bany_12431-RA, Bany_12432-RA	XP_039749980.1
OG0000079	Bany_12430-RA	XP_039749979.1, XP_039749978.1
OG0000080	Bany_08039-RA	XP_039764228.1
OG0000080	Bany_17050-RA, Bany_16270-RA, Bany_11430-RA, Bany_10988-RA, Bany_17695-RA, Bany_15621-RA, Bany_06228-RA, Bany_12336-RA, Bany_06231-RA, Bany_04332-RA, Bany_15063-RA, Bany_00139-RA, Bany_00782-RA, Bany_04529-RA	XP_039760880.1
OG0000080	Bany_04166-RA, Bany_08622-RA, Bany_09336-RA	XP_039752779.1
OG0000081	Bany_08667-RA	XP_039753370.1
OG0000082	Bany_06988-RA	XP_039761740.1
OG0000082	Bany_06983-RA	XP_039761788.1
OG0000082	Bany_06547-RA	XP_039761433.1
OG0000083	Bany_18006-RA	XP_039760603.1
OG0000083	Bany_18007-RA, Bany_18003-RA	XP_039760602.1
OG0000084	Bany_12323-RA, Bany_12325-RA	XP_039749417.1
OG0000084	Bany_12321-RA	XP_039749412.1
OG0000084	Bany_12322-RA	XP_039749955.1
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	XP_039749173.1, XP_039749174.1, XP_039749175.1
OG0000088	Bany_16383-RA	XP_039762785.1
OG0000088	Bany_06437-RA	XP_039751496.1
OG0000090	Bany_09928-RA, Bany_09929-RA	XP_039749189.1
OG0000090	Bany_09926-RA, Bany_09927-RA, Bany_11038-RA, Bany_15880-RA, Bany_09933-RA, Bany_09930-RA, Bany_17936-RA, Bany_17933-RA, Bany_17935-RA, Bany_09932-RA, Bany_08771-RA, Bany_09931-RA	XP_039749187.1
OG0000091	Bany_13091-RA, Bany_08216-RA, Bany_07375-RA, Bany_04928-RA, Bany_09349-RA	XP_039761446.1
OG0000092	Bany_08213-RA	XP_039754570.1
OG0000093	Bany_07027-RA	XP_039761758.1
OG0000093	Bany_06973-RA, Bany_06974-RA	XP_039761603.1
OG0000093	Bany_07030-RA, Bany_07031-RA	XP_039761633.1, XP_039761632.1
OG0000094	Bany_02330-RA	XP_039746862.1
OG0000094	Bany_02336-RA, Bany_02337-RA	XP_039764606.1, XP_039764616.1, XP_039764598.1
OG0000095	Bany_00651-RA	XP_039745132.1, XP_039745133.1
OG0000095	Bany_00642-RA	XP_039765917.1, XP_039765918.1, XP_039745523.1
OG0000095	Bany_00643-RA	XP_039745409.1, XP_039765705.1, XP_039765706.1
OG0000095	Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA	XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1
OG0000095	Bany_00645-RA	XP_039745524.1
OG0000096	Bany_05878-RA	XP_039751227.1
OG0000096	Bany_05883-RA	XP_039751260.1
OG0000096	Bany_05880-RA	XP_039751463.1
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	XP_039757158.1
OG0000098	Bany_15791-RA	XP_039754908.1
OG0000098	Bany_15793-RA, Bany_15792-RA	XP_039754998.1
OG0000098	Bany_14920-RA, Bany_14950-RA, Bany_15794-RA, Bany_09166-RA, Bany_14951-RA, Bany_14952-RA, Bany_14953-RA	XP_039758854.1
OG0000099	Bany_12826-RA	XP_039754706.1, XP_039765247.1, XP_039759156.1, XP_039755188.1, XP_039765356.1, XP_039764824.1, XP_039762710.1, XP_039758411.1, XP_039765838.1, XP_039748888.1, XP_039763199.1
OG0000100	Bany_14503-RA	XP_039756542.1
OG0000101	Bany_15315-RA	XP_039758595.1
OG0000101	Bany_15313-RA	XP_039758877.1, XP_039758267.1
OG0000102	Bany_01509-RA	XP_039752281.1
OG0000102	Bany_01511-RA	XP_039752133.1, XP_039752135.1
OG0000103	Bany_01667-RA	XP_039751968.1
OG0000108	Bany_16502-RA	XP_039761887.1
OG0000108	Bany_02610-RA, Bany_04229-RA, Bany_14279-RA, Bany_04023-RA, Bany_16499-RA	XP_039752852.1
OG0000108	Bany_10832-RA, Bany_07404-RA	XP_039761876.1
OG0000109	Bany_08600-RA	XP_039754228.1
OG0000109	Bany_11580-RA, Bany_08603-RA, Bany_08602-RA	XP_039754267.1
OG0000110	Bany_01227-RA, Bany_01228-RA	XP_039752795.1
OG0000110	Bany_01226-RA, Bany_01225-RA	XP_039752379.1
OG0000110	Bany_01235-RA	XP_039752305.1
OG0000111	Bany_10939-RA	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1
OG0000111	Bany_10438-RA	XP_039749055.1
OG0000112	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1
OG0000113	Bany_15687-RA	XP_039755044.1
OG0000113	Bany_16240-RA	XP_039762991.1
OG0000113	Bany_16241-RA, Bany_05360-RA	XP_039762990.1
OG0000114	Bany_01261-RA	XP_039752504.1
OG0000114	Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA	XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1
OG0000115	Bany_02238-RA	XP_039747701.1
OG0000115	Bany_06385-RA	XP_039751528.1
OG0000115	Bany_02241-RA	XP_039746102.1
OG0000116	Bany_10490-RA	XP_039748745.1
OG0000116	Bany_17622-RA	XP_039761021.1
OG0000116	Bany_07549-RA	XP_039763856.1
OG0000117	Bany_01549-RA	XP_039752341.1, XP_039752160.1
OG0000117	Bany_01548-RA	XP_039752073.1, XP_039752072.1, XP_039752074.1
OG0000118	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA	XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1
OG0000118	Bany_02158-RA	XP_039751928.1, XP_039763985.1, XP_039762514.1, XP_039749973.1, XP_039751370.1, XP_039757352.1, XP_039750860.1, XP_039754358.1, XP_039755233.1, XP_039761463.1, XP_039761855.1
OG0000119	Bany_15451-RA	XP_039755253.1, XP_039755251.1, XP_039755250.1
OG0000120	Bany_09173-RA	XP_039758940.1
OG0000121	Bany_00150-RA	XP_039764138.1, XP_039763349.1, XP_039761894.1, XP_039762013.1, XP_039759687.1, XP_039755990.1, XP_039754190.1, XP_039758533.1, XP_039761555.1, XP_039760227.1, XP_039762181.1, XP_039746806.1
OG0000121	Bany_04698-RA	XP_039754940.1, XP_039763739.1, XP_039759368.1, XP_039761538.1, XP_039765730.1, XP_039761909.1, XP_039760537.1, XP_039754079.1, XP_039764314.1
OG0000122	Bany_08302-RA	XP_039754268.1
OG0000122	Bany_01640-RA, Bany_17292-RA	XP_039745510.1, XP_039761879.1, XP_039760048.1
OG0000123	Bany_07450-RA	XP_039758681.1
OG0000124	Bany_11544-RA, Bany_11546-RA	XP_039759623.1
OG0000124	Bany_10467-RA, Bany_10468-RA	XP_039748506.1
OG0000125	Bany_02575-RA	XP_039763048.1
OG0000125	Bany_02582-RA	XP_039763370.1
OG0000127	Bany_13810-RA	XP_039753005.1
OG0000127	Bany_13611-RA	XP_039755682.1
OG0000128	Bany_11636-RA	XP_039759402.1
OG0000128	Bany_11151-RA	XP_039759275.1
OG0000128	Bany_11631-RA	XP_039759639.1, XP_039759640.1
OG0000129	Bany_01923-RA	XP_039749784.1
OG0000129	Bany_03707-RA, Bany_03706-RA	XP_039749657.1
OG0000129	Bany_03708-RA	XP_039749896.1
OG0000129	Bany_01929-RA, Bany_01928-RA	XP_039746608.1
OG0000131	Bany_12626-RA	XP_039761941.1
OG0000132	Bany_09628-RA	XP_039758016.1
OG0000132	Bany_08048-RA	XP_039758786.1
OG0000133	Bany_12678-RA	XP_039761844.1
OG0000134	Bany_02357-RA	XP_039750230.1
OG0000134	Bany_02392-RA	XP_039748060.1
OG0000134	Bany_02358-RA	XP_039745994.1
OG0000137	Bany_00008-RA	XP_039745448.1
OG0000137	Bany_15166-RA, Bany_00005-RA	XP_039745441.1
OG0000138	Bany_03566-RA	XP_039764463.1
OG0000138	Bany_09914-RA	XP_039748518.1, XP_039748520.1
OG0000139	Bany_09402-RA	XP_039758056.1
OG0000139	Bany_17102-RA	XP_039760019.1
OG0000139	Bany_09407-RA	XP_039758138.1
OG0000140	Bany_17563-RA	XP_039761164.1
OG0000140	Bany_17568-RA	XP_039761163.1
OG0000140	Bany_17569-RA	XP_039761161.1
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	XP_039755123.1
OG0000142	Bany_01108-RA	XP_039752000.1
OG0000142	Bany_01116-RA	XP_039752666.1
OG0000143	Bany_01334-RA	XP_039752786.1
OG0000143	Bany_01332-RA	XP_039752311.1
OG0000143	Bany_01256-RA	XP_039752179.1
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	XP_039755210.1, XP_039758832.1, XP_039758553.1
OG0000144	Bany_15148-RA	XP_039758752.1
OG0000145	Bany_08426-RA	XP_039754350.1, XP_039754351.1
OG0000148	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA	XP_039747858.1, XP_039757346.1, XP_039758592.1, XP_039748987.1
OG0000149	Bany_10899-RA	XP_039750557.1, XP_039750556.1
OG0000149	Bany_11924-RA	XP_039749878.1, XP_039749877.1
OG0000149	Bany_12305-RA	XP_039749779.1
OG0000150	Bany_15123-RA, Bany_05527-RA	XP_039764078.1
OG0000151	Bany_13240-RA	XP_039760940.1, XP_039760941.1, XP_039760468.1, XP_039760467.1, XP_039760383.1, XP_039760944.1, XP_039760945.1, XP_039760948.1, XP_039761501.1, XP_039761417.1, XP_039762560.1, XP_039761930.1, XP_039760947.1, XP_039760943.1, XP_039760469.1, XP_039760942.1, XP_039760465.1, XP_039761819.1, XP_039749270.1, XP_039761282.1, XP_039750768.1, XP_039761922.1, XP_039761323.1, XP_039761485.1, XP_039761464.1, XP_039763063.1, XP_039760441.1
OG0000152	Bany_04680-RA	XP_039759912.1
OG0000152	Bany_04673-RA	XP_039759933.1
OG0000152	Bany_04678-RA	XP_039759890.1, XP_039759882.1, XP_039759899.1
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	XP_039754384.1
OG0000154	Bany_17666-RA, Bany_17667-RA	XP_039761253.1, XP_039761124.1
OG0000155	Bany_17351-RA, Bany_17350-RA	XP_039760323.1
OG0000155	Bany_17354-RA	XP_039760319.1
OG0000156	Bany_14780-RA, Bany_14779-RA	XP_039756715.1
OG0000160	Bany_02510-RA	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1
OG0000160	Bany_02935-RA	XP_039747895.1
OG0000160	Bany_13021-RA	XP_039763350.1
OG0000161	Bany_01352-RA, Bany_01349-RA, Bany_12613-RA	XP_039764266.1, XP_039755389.1
OG0000161	Bany_18162-RA	XP_039763787.1
OG0000162	Bany_11202-RA, Bany_11201-RA	XP_039759555.1
OG0000163	Bany_11267-RA	XP_039759097.1, XP_039759094.1
OG0000164	Bany_01420-RA	XP_039752137.1
OG0000164	Bany_17803-RA	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1
OG0000164	Bany_01418-RA	XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1
OG0000165	Bany_05348-RA, Bany_05345-RA	XP_039745987.1
OG0000166	Bany_15015-RA	XP_039758552.1
OG0000166	Bany_15344-RA	XP_039758732.1
OG0000167	Bany_08543-RA	XP_039754018.1
OG0000167	Bany_06853-RA	XP_039748188.1
OG0000168	Bany_10238-RA	XP_039749223.1
OG0000168	Bany_10241-RA	XP_039749128.1
OG0000169	Bany_11620-RA	XP_039759316.1
OG0000169	Bany_11612-RA	XP_039759611.1
OG0000170	Bany_15232-RA	XP_039758630.1, XP_039758628.1, XP_039758629.1
OG0000170	Bany_15234-RA, Bany_15233-RA	XP_039758631.1
OG0000171	Bany_06399-RA, Bany_06398-RA, Bany_06397-RA	XP_039751440.1
OG0000171	Bany_06400-RA	XP_039751381.1
OG0000171	Bany_06401-RA	XP_039751687.1
OG0000172	Bany_01720-RA	XP_039751931.1
