Orthogroup	Bicyclus_anynana	Maniola_hyperantus
OG0000036	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1
OG0000038	Bany_01919-RA	XP_034826459.1
OG0000038	Bany_01918-RA	XP_034826458.1, XP_034826457.1
OG0000039	Bany_05944-RA, Bany_05945-RA	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1
OG0000039	Bany_01125-RA	XP_034827798.1
OG0000039	Bany_01356-RA	XP_034827544.1
OG0000041	Bany_11570-RA	XP_034835173.1
OG0000041	Bany_02601-RA	XP_034826640.1
OG0000041	Bany_02598-RA, Bany_02599-RA	XP_034826639.1
OG0000041	Bany_02600-RA	XP_034826636.1, XP_034826637.1, XP_034826638.1
OG0000041	Bany_02401-RA	XP_034826598.1
OG0000041	Bany_02400-RA	XP_034826593.1
OG0000042	Bany_03342-RA, Bany_07772-RA	XP_034838869.1, XP_034838771.1, XP_034837829.1, XP_034837830.1, XP_034837848.1, XP_034841248.1, XP_034837860.1, XP_034838392.1, XP_034838162.1, XP_034837827.1, XP_034837846.1, XP_034834197.1, XP_034837823.1, XP_034839101.1, XP_034838762.1, XP_034826546.1, XP_034837817.1, XP_034837842.1, XP_034838171.1, XP_034838797.1, XP_034838796.1, XP_034836850.1, XP_034837838.1, XP_034836298.1, XP_034838376.1, XP_034838066.1, XP_034835715.1, XP_034839078.1, XP_034838048.1, XP_034838049.1, XP_034838237.1, XP_034834257.1, XP_034838868.1, XP_034837845.1, XP_034838766.1, XP_034837826.1, XP_034838769.1, XP_034838770.1, XP_034838768.1, XP_034838836.1, XP_034840357.1, XP_034838035.1, XP_034838837.1, XP_034838801.1, XP_034839082.1, XP_034837729.1, XP_034837902.1
OG0000046	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA	XP_034829217.1, XP_034829227.1
OG0000046	Bany_15459-RA	XP_034829489.1
OG0000046	Bany_15457-RA, Bany_15458-RA	XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1
OG0000046	Bany_15460-RA	XP_034829488.1
OG0000046	Bany_15455-RA	XP_034829219.1
OG0000047	Bany_12867-RA	XP_034832109.1, XP_034833557.1
OG0000047	Bany_13545-RA	XP_034839860.1, XP_034833612.1, XP_034833012.1, XP_034839910.1, XP_034840761.1, XP_034833610.1, XP_034836199.1, XP_034827777.1, XP_034840350.1, XP_034824778.1, XP_034839645.1, XP_034826550.1, XP_034833626.1, XP_034838846.1, XP_034840396.1, XP_034834203.1, XP_034840351.1, XP_034827765.1, XP_034834211.1, XP_034828875.1, XP_034831595.1, XP_034824162.1, XP_034824780.1, XP_034831554.1, XP_034827957.1, XP_034840721.1, XP_034839416.1, XP_034838794.1, XP_034840397.1, XP_034827766.1, XP_034834204.1, XP_034833613.1, XP_034836225.1, XP_034833011.1
OG0000048	Bany_12304-RA, Bany_12164-RA	XP_034824744.1
OG0000049	Bany_06008-RA	XP_034826808.1
OG0000049	Bany_05882-RA	XP_034826796.1
OG0000049	Bany_05877-RA	XP_034826810.1
OG0000050	Bany_14319-RA	XP_034834927.1
OG0000051	Bany_12773-RA, Bany_02443-RA, Bany_02332-RA	XP_034834488.1, XP_034837258.1, XP_034835262.1, XP_034826426.1, XP_034824767.1, XP_034837020.1, XP_034825016.1, XP_034835754.1, XP_034829126.1, XP_034826839.1, XP_034825891.1, XP_034837628.1, XP_034839452.1, XP_034838312.1, XP_034837949.1, XP_034839757.1, XP_034829819.1
OG0000053	Bany_05073-RA	XP_034836880.1
OG0000053	Bany_05075-RA	XP_034836873.1
OG0000053	Bany_05076-RA	XP_034836863.1
OG0000054	Bany_08678-RA	XP_034831832.1
OG0000054	Bany_08681-RA	XP_034832263.1, XP_034832264.1
OG0000054	Bany_08680-RA	XP_034826915.1, XP_034832271.1
OG0000056	Bany_17818-RA	XP_034837121.1
OG0000056	Bany_17808-RA, Bany_17810-RA	XP_034837196.1
OG0000056	Bany_17809-RA	XP_034837120.1
OG0000057	Bany_11764-RA	XP_034835052.1
OG0000057	Bany_10000-RA	XP_034824341.1, XP_034824712.1
OG0000058	Bany_10778-RA	XP_034826643.1, XP_034830106.1
OG0000058	Bany_05192-RA, Bany_00871-RA	XP_034834921.1, XP_034826968.1
OG0000059	Bany_07470-RA	XP_034834965.1, XP_034833954.1
OG0000059	Bany_10761-RA	XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1
OG0000060	Bany_15282-RA	XP_034833415.1
OG0000060	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA	XP_034833409.1, XP_034833592.1
OG0000062	Bany_10506-RA	XP_034824319.1
OG0000062	Bany_06854-RA	XP_034838466.1
OG0000062	Bany_15127-RA	XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1
OG0000063	Bany_06319-RA	XP_034826742.1
OG0000063	Bany_12190-RA	XP_034830217.1
OG0000064	Bany_03190-RA, Bany_11765-RA	XP_034831574.1
OG0000066	Bany_17013-RA	XP_034836237.1
OG0000066	Bany_17016-RA	XP_034836074.1
OG0000066	Bany_17015-RA	XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	Bany_02338-RA	XP_034826553.1, XP_034825998.1
OG0000067	Bany_16557-RA	XP_034836359.1
OG0000067	Bany_16558-RA, Bany_06790-RA	XP_034836360.1
OG0000067	Bany_16552-RA	XP_034836439.1
OG0000068	Bany_02228-RA	XP_034826565.1
OG0000068	Bany_02226-RA	XP_034826563.1
OG0000069	Bany_01516-RA, Bany_01517-RA, Bany_01518-RA	XP_034827836.1, XP_034827837.1
OG0000069	Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA	XP_034827503.1
OG0000071	Bany_13125-RA	XP_034832601.1
OG0000073	Bany_06221-RA	XP_034827345.1
OG0000073	Bany_06084-RA	XP_034827002.1
OG0000073	Bany_06082-RA	XP_034827051.1
OG0000073	Bany_06075-RA	XP_034827001.1
OG0000075	Bany_07998-RA	XP_034830498.1
OG0000075	Bany_08015-RA	XP_034830943.1
OG0000075	Bany_08220-RA	XP_034830541.1
OG0000076	Bany_10910-RA	XP_034828827.1, XP_034838412.1
OG0000076	Bany_16165-RA	XP_034838763.1
OG0000076	Bany_16171-RA, Bany_16169-RA	XP_034838983.1
OG0000077	Bany_10084-RA	XP_034824753.1
OG0000078	Bany_01615-RA	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1
OG0000078	Bany_02387-RA, Bany_01616-RA	XP_034827858.1, XP_034833688.1
OG0000079	Bany_12431-RA	XP_034830103.1
OG0000079	Bany_12432-RA	XP_034830100.1, XP_034830101.1
OG0000080	Bany_17050-RA, Bany_16270-RA	XP_034840379.1
OG0000080	Bany_11430-RA, Bany_10988-RA, Bany_17695-RA, Bany_15621-RA, Bany_06228-RA, Bany_12336-RA, Bany_06231-RA	XP_034837725.1
OG0000080	Bany_04332-RA, Bany_15063-RA, Bany_00139-RA, Bany_00782-RA, Bany_04529-RA	XP_034827807.1, XP_034831579.1, XP_034830025.1
OG0000080	Bany_15429-RA, Bany_08357-RA, Bany_02557-RA, Bany_12245-RA, Bany_08358-RA	XP_034830021.1
OG0000081	Bany_08031-RA, Bany_18134-RA, Bany_17508-RA, Bany_13965-RA, Bany_07436-RA	XP_034839847.1, XP_034825621.1
OG0000081	Bany_16193-RA	XP_034831557.1
OG0000081	Bany_08667-RA	XP_034832758.1
OG0000082	Bany_06988-RA	XP_034837737.1
OG0000082	Bany_06983-RA	XP_034837493.1
OG0000082	Bany_06548-RA	XP_034837708.1
OG0000082	Bany_06547-RA	XP_034837588.1
OG0000083	Bany_18006-RA	XP_034837073.1
OG0000083	Bany_18005-RA, Bany_18004-RA	XP_034837074.1
OG0000084	Bany_12323-RA, Bany_12325-RA	XP_034829605.1
OG0000084	Bany_12321-RA	XP_034830082.1
OG0000084	Bany_12318-RA	XP_034827859.1
OG0000085	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1
OG0000088	Bany_16383-RA	XP_034838855.1
OG0000088	Bany_06437-RA	XP_034826751.1
OG0000090	Bany_09928-RA, Bany_09929-RA	XP_034824728.1
OG0000090	Bany_09926-RA, Bany_09927-RA, Bany_11038-RA, Bany_15880-RA, Bany_09933-RA, Bany_09930-RA, Bany_17936-RA, Bany_17933-RA, Bany_17935-RA, Bany_09932-RA, Bany_08771-RA, Bany_09931-RA	XP_034824736.1, XP_034824738.1, XP_034824737.1, XP_034824740.1, XP_034824739.1
OG0000091	Bany_10128-RA	XP_034839852.1, XP_034835586.1
OG0000092	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA	XP_034830971.1
OG0000093	Bany_07027-RA	XP_034837580.1
OG0000093	Bany_06973-RA, Bany_06974-RA	XP_034837597.1
OG0000093	Bany_07030-RA, Bany_07031-RA	XP_034837561.1
OG0000094	Bany_02330-RA	XP_034826064.1, XP_034826549.1
OG0000094	Bany_02336-RA, Bany_02337-RA	XP_034826299.1, XP_034826552.1
OG0000095	Bany_00651-RA	XP_034841054.1
OG0000095	Bany_00642-RA	XP_034824157.1
OG0000095	Bany_00643-RA	XP_034824154.1, XP_034824155.1
OG0000096	Bany_05878-RA	XP_034826970.1, XP_034826971.1
OG0000096	Bany_05883-RA	XP_034826805.1
OG0000096	Bany_05880-RA	XP_034826807.1, XP_034826966.1
OG0000097	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA	XP_034832726.1
OG0000098	Bany_15791-RA	XP_034828987.1
OG0000098	Bany_15790-RA	XP_034828986.1
OG0000098	Bany_15793-RA, Bany_15792-RA	XP_034829450.1
OG0000099	Bany_12826-RA	XP_034824329.1, XP_034833457.1, XP_034836471.1, XP_034829001.1, XP_034838105.1, XP_034840173.1
OG0000100	Bany_14506-RA	XP_034834955.1
OG0000100	Bany_14503-RA	XP_034834638.1
OG0000101	Bany_15315-RA	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000101	Bany_15313-RA	XP_034833313.1
OG0000102	Bany_01509-RA	XP_034827511.1
OG0000102	Bany_01511-RA	XP_034827504.1
OG0000103	Bany_01667-RA	XP_034827721.1
OG0000108	Bany_04119-RA, Bany_10373-RA	XP_034839890.1, XP_034837747.1
OG0000109	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA	XP_034830263.1
OG0000109	Bany_08600-RA	XP_034830617.1
OG0000109	Bany_11580-RA, Bany_08603-RA, Bany_08602-RA	XP_034830465.1
OG0000110	Bany_01227-RA, Bany_01228-RA	XP_034828312.1
OG0000110	Bany_01226-RA, Bany_01225-RA	XP_034827561.1
OG0000110	Bany_01235-RA	XP_034828311.1
OG0000111	Bany_10939-RA	XP_034828844.1
OG0000111	Bany_10437-RA	XP_034824587.1
OG0000111	Bany_10438-RA	XP_034824419.1
OG0000112	Bany_03560-RA	XP_034824987.1
OG0000112	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA	XP_034824550.1, XP_034825377.1
OG0000112	Bany_03559-RA	XP_034841192.1, XP_034825391.1
OG0000113	Bany_15687-RA	XP_034838911.1
OG0000113	Bany_16241-RA	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	Bany_01261-RA	XP_034827802.1
OG0000114	Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA	XP_034827577.1
OG0000115	Bany_02238-RA	XP_034825883.1
OG0000115	Bany_06385-RA	XP_034827053.1
OG0000115	Bany_02241-RA	XP_034825882.1
OG0000116	Bany_10490-RA	XP_034824340.1
OG0000116	Bany_17622-RA	XP_034837001.1
OG0000116	Bany_07549-RA	XP_034839409.1
OG0000117	Bany_01550-RA	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	Bany_01549-RA	XP_034828156.1
OG0000117	Bany_01548-RA	XP_034828155.1
OG0000118	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA, Bany_02158-RA	XP_034839973.1
OG0000119	Bany_15451-RA	XP_034828935.1, XP_034829499.1, XP_034828938.1, XP_034829497.1, XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1
OG0000121	Bany_00150-RA	XP_034832172.1, XP_034830525.1, XP_034836442.1, XP_034837938.1, XP_034833715.1, XP_034838216.1, XP_034828034.1, XP_034838257.1, XP_034838160.1, XP_034825571.1, XP_034836400.1
OG0000122	Bany_08302-RA	XP_034830824.1
OG0000122	Bany_01640-RA, Bany_17292-RA	XP_034837883.1, XP_034825562.1, XP_034824123.1
OG0000124	Bany_11544-RA, Bany_11546-RA	XP_034835580.1
OG0000124	Bany_11548-RA	XP_034835582.1
OG0000124	Bany_10467-RA, Bany_10468-RA	XP_034824366.1
OG0000125	Bany_02581-RA	XP_034825845.1
OG0000125	Bany_02575-RA	XP_034826126.1
OG0000125	Bany_02578-RA	XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1
OG0000125	Bany_02582-RA	XP_034825844.1, XP_034825846.1
OG0000128	Bany_11636-RA	XP_034835222.1
OG0000128	Bany_11151-RA	XP_034835626.1, XP_034835625.1
OG0000128	Bany_11631-RA	XP_034835270.1
OG0000129	Bany_03707-RA	XP_034826356.1
OG0000129	Bany_01921-RA	XP_034826461.1
OG0000129	Bany_03708-RA	XP_034826467.1
OG0000131	Bany_12626-RA	XP_034837858.1, XP_034838212.1
OG0000132	Bany_09628-RA	XP_034834282.1
OG0000132	Bany_15311-RA	XP_034834241.1
OG0000132	Bany_08048-RA	XP_034833542.1
OG0000133	Bany_12678-RA	XP_034838137.1
OG0000134	Bany_02357-RA	XP_034825942.1
OG0000134	Bany_02392-RA	XP_034826234.1
OG0000134	Bany_02358-RA	XP_034825941.1
OG0000136	Bany_01047-RA, Bany_14442-RA, Bany_15430-RA	XP_034827804.1
OG0000137	Bany_00008-RA	XP_034840854.1
OG0000137	Bany_15166-RA, Bany_00005-RA	XP_034840849.1
OG0000138	Bany_03566-RA	XP_034840957.1, XP_034840968.1
OG0000138	Bany_09914-RA	XP_034824894.1
OG0000139	Bany_09402-RA	XP_034833832.1
OG0000139	Bany_17102-RA	XP_034835919.1
OG0000139	Bany_09407-RA	XP_034833962.1
OG0000140	Bany_17563-RA	XP_034836898.1
OG0000140	Bany_17491-RA	XP_034836751.1
OG0000140	Bany_17568-RA	XP_034836899.1
OG0000140	Bany_17569-RA	XP_034836915.1
OG0000141	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA	XP_034829113.1, XP_034829114.1
OG0000142	Bany_01108-RA	XP_034827901.1
OG0000142	Bany_01116-RA	XP_034827778.1
OG0000142	Bany_01110-RA	XP_034827898.1
OG0000143	Bany_01334-RA	XP_034827819.1
OG0000143	Bany_01332-RA	XP_034827875.1
OG0000143	Bany_01256-RA	XP_034827552.1
OG0000144	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA	XP_034833620.1, XP_034833621.1
OG0000144	Bany_15148-RA	XP_034833202.1
OG0000145	Bany_08426-RA	XP_034830805.1
OG0000145	Bany_08427-RA	XP_034830806.1
OG0000147	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA	XP_034833227.1, XP_034830230.1
OG0000149	Bany_10899-RA	XP_034828465.1
OG0000149	Bany_11924-RA	XP_034829851.1
OG0000149	Bany_12305-RA	XP_034829950.1
OG0000150	Bany_15649-RA	XP_034824833.1
OG0000150	Bany_15123-RA, Bany_05527-RA	XP_034839952.1
OG0000152	Bany_04680-RA	XP_034832206.1
OG0000152	Bany_04673-RA	XP_034833337.1
OG0000152	Bany_04678-RA	XP_034833675.1
OG0000153	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA	XP_034830680.1
OG0000154	Bany_17666-RA, Bany_17667-RA	XP_034836981.1
OG0000155	Bany_17353-RA	XP_034836190.1
OG0000155	Bany_17351-RA, Bany_17350-RA	XP_034836186.1
OG0000155	Bany_17354-RA	XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1
OG0000156	Bany_14780-RA, Bany_14779-RA	XP_034835010.1
OG0000161	Bany_01352-RA, Bany_01349-RA, Bany_12613-RA, Bany_18162-RA	XP_034829418.1, XP_034836848.1, XP_034836538.1
OG0000162	Bany_11202-RA, Bany_11201-RA	XP_034835629.1, XP_034835505.1
OG0000162	Bany_11203-RA	XP_034835633.1
OG0000163	Bany_11267-RA	XP_034835691.1, XP_034835688.1
OG0000164	Bany_01420-RA	XP_034827405.1
OG0000164	Bany_17803-RA	XP_034837112.1
OG0000164	Bany_01418-RA	XP_034827829.1
OG0000165	Bany_05348-RA, Bany_05345-RA	XP_034825736.1
OG0000166	Bany_15015-RA	XP_034833378.1
OG0000166	Bany_15344-RA	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	Bany_08543-RA	XP_034830390.1
OG0000167	Bany_06853-RA	XP_034838582.1
OG0000168	Bany_10238-RA	XP_034824806.1
OG0000169	Bany_11620-RA	XP_034835310.1
OG0000169	Bany_11622-RA	XP_034835217.1
OG0000169	Bany_11612-RA	XP_034835563.1
OG0000170	Bany_15232-RA	XP_034833424.1, XP_034833639.1
OG0000170	Bany_15234-RA, Bany_15233-RA	XP_034833640.1, XP_034833641.1
OG0000171	Bany_06399-RA	XP_034827023.1
OG0000171	Bany_06401-RA	XP_034827103.1
OG0000172	Bany_01720-RA	XP_034827882.1, XP_034827883.1
OG0000172	Bany_01725-RA, Bany_01726-RA	XP_034827884.1
OG0000172	Bany_01776-RA	XP_034827893.1
OG0000174	Bany_04844-RA, Bany_18126-RA	XP_034837309.1
OG0000174	Bany_07483-RA	XP_034839773.1
OG0000175	Bany_17401-RA	XP_034837022.1, XP_034837023.1
OG0000175	Bany_02772-RA	XP_034840446.1
OG0000175	Bany_07033-RA	XP_034832261.1
OG0000177	Bany_14912-RA, Bany_02577-RA	XP_034838147.1, XP_034839386.1
OG0000178	Bany_17428-RA	XP_034836827.1
OG0000178	Bany_17535-RA	XP_034836823.1
OG0000180	Bany_09947-RA, Bany_07642-RA	XP_034832218.1
OG0000181	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	Bany_11087-RA, Bany_09984-RA	XP_034824717.1
OG0000183	Bany_11605-RA	XP_034835115.1
OG0000183	Bany_05295-RA	XP_034825260.1
OG0000184	Bany_10003-RA	XP_034824593.1
OG0000184	Bany_10868-RA	XP_034828820.1
OG0000184	Bany_10869-RA	XP_034828761.1
OG0000185	Bany_13249-RA	XP_034832652.1
OG0000185	Bany_13248-RA	XP_034832653.1
OG0000185	Bany_13247-RA	XP_034832651.1
OG0000186	Bany_12933-RA, Bany_12934-RA	XP_034840943.1, XP_034838308.1, XP_034838309.1
OG0000186	Bany_12932-RA	XP_034838306.1
OG0000186	Bany_17541-RA, Bany_17540-RA	XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	Bany_01200-RA	XP_034827454.1
