Orthogroup	Bicyclus_anynana	Heliconius_melpomene_melpomene
OG0000000	Bany_13005-RA, Bany_13853-RA	HMEL033200g1.t1
OG0000000	Bany_08916-RA	HMEL034079g1.t1
OG0000001	Bany_13515-RA	HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1
OG0000001	Bany_07607-RA	HMEL035948g1.t1, HMEL036899g1.t1, HMEL036975g1.t1, HMEL031105g1.t1, HMEL016914g1.t1, HMEL036425g1.t1, HMEL033330g1.t1, HMEL036034g1.t1, HMEL035200g1.t1, HMEL036885g1.t1, HMEL032934g1.t1, HMEL032942g1.t1, HMEL033464g1.t1, HMEL033322g1.t1, HMEL030158g1.t1, HMEL032944g1.t1, HMEL035885g1.t1, HMEL031657g1.t1, HMEL035495g1.t1, HMEL031161g1.t1, HMEL034726g1.t1, HMEL035940g1.t1, HMEL037232g1.t1, HMEL030002g1.t1, HMEL038221g1.t1, HMEL017756g1.t1, HMEL035464g1.t1, HMEL005819g1.t1, HMEL034670g1.t1, HMEL035422g1.t1, HMEL014143g1.t1, HMEL009419g1.t1, HMEL035436g1.t1, HMEL030858g1.t1, HMEL014652g1.t1, HMEL033652g1.t1, HMEL030773g1.t1, HMEL036655g1.t1, HMEL030157g1.t1, HMEL034616g1.t1, HMEL036178g1.t1, HMEL033439g1.t1, HMEL030014g1.t1, HMEL031162g1.t1, HMEL030042g1.t1, HMEL012633g1.t1, HMEL036959g1.t1, HMEL034291g1.t1, HMEL036264g1.t1, HMEL035611g1.t1, HMEL037700g1.t1, HMEL036526g1.t1, HMEL034995g1.t1, HMEL030584g1.t1, HMEL030324g1.t1, HMEL036835g1.t1, HMEL036838g1.t1, HMEL030634g1.t1, HMEL031491g1.t1, HMEL033325g1.t1, HMEL035879g1.t1, HMEL002598g1.t1, HMEL005489g1.t1, HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1, HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1, HMEL036523g1.t1, HMEL036658g1.t1, HMEL033087g1.t1, HMEL037525g1.t1, HMEL035628g1.t1, HMEL031588g1.t1, HMEL033046g1.t1, HMEL036928g1.t1, HMEL031587g1.t1, HMEL032983g1.t1, HMEL036310g1.t1, HMEL034323g1.t1, HMEL030449g1.t1, HMEL030375g1.t1, HMEL032965g1.t1, HMEL031010g1.t1, HMEL036405g1.t1, HMEL036126g1.t1, HMEL033133g1.t1, HMEL038142g1.t1, HMEL035343g1.t1, HMEL034840g1.t1, HMEL033773g1.t1, HMEL032939g1.t1, HMEL032340g1.t1, HMEL034356g1.t1, HMEL036929g1.t1, HMEL030080g1.t1, HMEL033189g1.t1, HMEL035251g1.t1, HMEL035443g1.t1, HMEL031449g1.t1, HMEL034355g1.t1, HMEL036127g1.t1, HMEL033885g1.t1, HMEL036811g1.t1, HMEL030322g1.t1, HMEL036866g1.t1, HMEL035861g1.t1, HMEL033273g1.t1, HMEL032335g1.t1, HMEL033520g1.t1, HMEL031560g1.t1, HMEL034378g1.t1, HMEL035108g1.t1, HMEL013866g1.t1, HMEL034359g1.t1, HMEL034568g1.t1, HMEL035494g1.t1, HMEL035171g1.t1, HMEL032760g1.t1, HMEL006440g1.t1, HMEL030077g1.t1, HMEL037983g1.t1, HMEL035414g1.t1, HMEL034173g1.t1, HMEL035881g1.t1, HMEL035416g1.t1, HMEL033413g1.t1, HMEL030846g1.t1, HMEL032281g1.t1, HMEL033045g1.t1, HMEL037356g1.t1, HMEL033086g1.t1, HMEL033483g1.t1, HMEL031233g1.t1, HMEL037127g1.t1, HMEL035838g1.t1, HMEL034964g1.t1, HMEL033592g1.t1, HMEL036601g1.t1, HMEL036839g1.t1, HMEL036836g1.t1, HMEL032905g1.t1, HMEL035503g1.t1, HMEL032822g1.t1, HMEL034648g1.t1, HMEL034552g1.t1, HMEL034142g1.t1
OG0000001	Bany_13198-RA	HMEL035320g1.t1, HMEL037441g1.t1, HMEL005252g1.t1, HMEL035189g1.t1
OG0000002	Bany_05116-RA, Bany_03179-RA, Bany_13153-RA, Bany_05863-RA, Bany_08981-RA	HMEL036554g1.t1, HMEL034617g1.t1
OG0000002	Bany_07688-RA	HMEL035769g1.t1
OG0000002	Bany_12917-RA	HMEL036353g1.t1
OG0000002	Bany_16810-RA, Bany_07918-RA, Bany_09867-RA, Bany_07916-RA	HMEL013511g1.t1, HMEL033266g1.t1, HMEL038220g1.t1, HMEL035877g1.t1
OG0000002	Bany_13333-RA, Bany_02352-RA	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1, HMEL034431g1.t1, HMEL037919g1.t1, HMEL031235g1.t1, HMEL035050g1.t1, HMEL030343g1.t1
OG0000002	Bany_06561-RA, Bany_16605-RA, Bany_03401-RA, Bany_18056-RA, Bany_10840-RA	HMEL030601g1.t1
OG0000003	Bany_16601-RA	HMEL032743g1.t1, HMEL003905g1.t1, HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1
OG0000004	Bany_01306-RA	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA, HMEL022644-RA, HMEL022672-RA
OG0000004	Bany_02384-RA, Bany_02383-RA, Bany_02385-RA	HMEL022640-RA, HMEL022652-RA
OG0000005	Bany_02782-RA	HMEL034057g1.t1
OG0000005	Bany_16371-RA	HMEL035731g1.t1, HMEL035426g1.t1, HMEL031718g1.t1, HMEL034294g1.t1, HMEL036029g1.t1
OG0000005	Bany_04515-RA	HMEL031765g1.t1
OG0000005	Bany_13174-RA	HMEL034149g1.t1, HMEL033258g1.t1, HMEL032264g1.t1, HMEL030850g1.t1, HMEL035427g1.t1, HMEL034365g1.t1, HMEL030197g1.t1, HMEL030532g1.t1, HMEL034971g1.t1, HMEL033731g1.t1, HMEL033573g1.t1, HMEL030930g1.t1, HMEL030921g1.t1, HMEL033589g1.t1, HMEL031606g1.t1, HMEL036432g1.t1, HMEL036435g1.t1, HMEL035715g1.t1, HMEL031582g1.t1, HMEL036712g1.t1, HMEL037171g1.t1, HMEL034466g1.t1, HMEL036924g1.t1, HMEL037830g1.t1, HMEL036919g1.t1, HMEL030635g1.t1, HMEL032697g1.t1, HMEL038198g1.t1, HMEL030976g1.t1, HMEL031341g1.t1
OG0000006	Bany_07769-RA, Bany_12743-RA	HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1, HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1, HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1, HMEL035992g1.t1
OG0000007	Bany_12085-RA	HMEL012825g1.t1
OG0000007	Bany_05169-RA	HMEL030866g1.t1
OG0000007	Bany_04365-RA	HMEL009008g1.t1
OG0000007	Bany_17822-RA	HMEL003519g1.t1
OG0000007	Bany_18091-RA	HMEL013136g1.t1
OG0000007	Bany_12803-RA, Bany_12804-RA	HMEL033385g1.t1
OG0000007	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA	HMEL021694g1.t1
OG0000007	Bany_03693-RA, Bany_03690-RA	HMEL012399g1.t1
OG0000007	Bany_17911-RA	HMEL016981g1.t1, HMEL016980g1.t1
OG0000009	Bany_06680-RA, Bany_06677-RA	HMEL037374g1.t1
OG0000009	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA, Bany_06679-RA, Bany_06751-RA, Bany_06753-RA	HMEL011209g1.t1
OG0000010	Bany_07419-RA	HMEL032887g1.t1, HMEL033631g1.t1, HMEL033993g1.t1, HMEL016586g1.t1, HMEL034585g1.t1, HMEL030544g1.t1, HMEL034097g1.t1, HMEL030561g1.t1, HMEL036219g1.t1, HMEL034138g1.t1, HMEL034136g1.t1, HMEL030542g1.t1, HMEL037347g1.t1, HMEL007231g1.t1, HMEL030511g1.t1
OG0000010	Bany_03810-RA	HMEL030787g1.t1
OG0000010	Bany_12832-RA, Bany_07420-RA	HMEL034111g1.t1
OG0000010	Bany_12791-RA	HMEL030536g1.t1, HMEL034109g1.t1, HMEL034013g1.t1, HMEL030044g1.t1, HMEL030696g1.t1, HMEL003163g1.t1, HMEL033403g1.t1, HMEL031571g1.t1, HMEL033485g1.t1, HMEL034702g1.t1, HMEL033995g1.t1, HMEL032496g1.t1, HMEL034137g1.t1, HMEL016177g1.t1, HMEL033951g1.t1, HMEL034163g1.t1, HMEL034386g1.t1, HMEL035784g1.t1, HMEL030537g1.t1, HMEL030543g1.t1, HMEL034133g1.t1, HMEL031755g1.t1, HMEL035797g1.t1, HMEL037346g1.t1, HMEL035529g1.t1, HMEL016311g1.t1, HMEL032886g1.t1, HMEL034166g1.t1, HMEL034096g1.t1, HMEL036217g1.t1, HMEL031773g1.t1, HMEL037297g1.t1, HMEL030540g1.t1, HMEL030538g1.t1, HMEL034164g1.t1, HMEL037295g1.t1
OG0000011	Bany_13339-RA	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	Bany_13158-RA	HMEL033611g1.t1
OG0000011	Bany_13176-RA	HMEL017520g1.t1
OG0000011	Bany_13051-RA	HMEL003019g1.t1, HMEL003018g1.t1
OG0000011	Bany_05712-RA, Bany_13053-RA	HMEL003020g1.t1, HMEL011718g1.t1
OG0000011	Bany_13055-RA	HMEL003022g1.t1
OG0000012	Bany_10581-RA	HMEL036201g1.t1
OG0000012	Bany_10582-RA, Bany_10583-RA	HMEL036192g1.t1
OG0000012	Bany_10611-RA, Bany_10612-RA	HMEL036205g1.t1
OG0000012	Bany_10616-RA, Bany_10614-RA	HMEL036207g1.t1, HMEL036206g1.t1
OG0000013	Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA	HMEL034362g1.t1
OG0000013	Bany_07407-RA	HMEL031306g1.t1
OG0000013	Bany_16888-RA	HMEL035911g1.t1, HMEL036578g1.t1, HMEL031727g1.t1, HMEL031283g1.t1
OG0000017	Bany_02945-RA, Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA	HMEL035047g1.t1
OG0000018	Bany_16974-RA	HMEL030430g1.t1
OG0000018	Bany_04504-RA	HMEL016357g1.t1, HMEL030844g1.t1, HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1
OG0000021	Bany_12775-RA	HMEL009528g1.t1
OG0000022	Bany_00839-RA	HMEL030997g1.t1
OG0000022	Bany_16283-RA	HMEL017624g1.t1
OG0000022	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA	HMEL031459g1.t1
OG0000023	Bany_10369-RA, Bany_10129-RA, Bany_05735-RA, Bany_10428-RA	HMEL033227g1.t1
OG0000023	Bany_04357-RA	HMEL033442g1.t1, HMEL030258g1.t1
OG0000023	Bany_17087-RA	HMEL038036g1.t1
OG0000024	Bany_08738-RA	HMEL012613g1.t1
OG0000024	Bany_08736-RA	HMEL012615g1.t1
OG0000025	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA	HMEL037385g1.t1
OG0000025	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA	HMEL037372g1.t1, HMEL011166g1.t1
OG0000028	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA	HMEL004610g1.t1, HMEL014440g1.t1
OG0000029	Bany_00663-RA, Bany_00664-RA, Bany_06091-RA	HMEL003326g1.t1
OG0000030	Bany_15771-RA	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1
OG0000031	Bany_18042-RA	HMEL034216g1.t1, HMEL037646g1.t1, HMEL034645g1.t1, HMEL031436g1.t1, HMEL030105g1.t1, HMEL035683g1.t1, HMEL015624g1.t1, HMEL033688g1.t1, HMEL035475g1.t1, HMEL034126g1.t1, HMEL035750g1.t1, HMEL030037g1.t1, HMEL036916g1.t1, HMEL035917g1.t1, HMEL032654g1.t1, HMEL031633g1.t1, HMEL034340g1.t1, HMEL035692g1.t1, HMEL033329g1.t1, HMEL006082g1.t1, HMEL033192g1.t1, HMEL030783g1.t1, HMEL030314g1.t1, HMEL035840g1.t1, HMEL033794g1.t1, HMEL035444g1.t1, HMEL014963g1.t1, HMEL037193g1.t1, HMEL032003g1.t1, HMEL034168g1.t1, HMEL006868g1.t1, HMEL032266g1.t1, HMEL021670g1.t1, HMEL034218g1.t1, HMEL034560g1.t1, HMEL033685g1.t1, HMEL035355g1.t1, HMEL033511g1.t1, HMEL031327g1.t1, HMEL032685g1.t1, HMEL036418g1.t1
OG0000031	Bany_11193-RA	HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1
OG0000032	Bany_00996-RA	HMEL030081g1.t1, HMEL032977g1.t1
OG0000032	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA	HMEL015875g1.t1
OG0000034	Bany_05253-RA	HMEL033976g1.t1
OG0000034	Bany_05243-RA	HMEL033982g1.t1
OG0000034	Bany_05248-RA	HMEL033974g1.t1
OG0000035	Bany_02371-RA	HMEL016208g1.t1
OG0000035	Bany_01586-RA, Bany_17576-RA	HMEL036401g1.t1
OG0000035	Bany_00397-RA	HMEL034209g1.t1
OG0000035	Bany_07002-RA, Bany_10949-RA, Bany_17092-RA, Bany_12724-RA, Bany_09887-RA, Bany_13908-RA, Bany_12281-RA	HMEL005543g1.t1
OG0000035	Bany_11755-RA, Bany_13020-RA	HMEL014459g1.t1
OG0000035	Bany_03344-RA	HMEL036120g1.t1
OG0000035	Bany_05682-RA, Bany_01945-RA	HMEL034208g1.t1, HMEL036402g1.t1
OG0000035	Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA	HMEL035534g1.t1, HMEL036982g1.t1, HMEL033745g1.t1
OG0000035	Bany_07608-RA, Bany_15639-RA, Bany_12581-RA	HMEL035878g1.t1, HMEL031609g1.t1
OG0000036	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA	HMEL034344g1.t1
OG0000038	Bany_01918-RA	HMEL031441g1.t1
OG0000039	Bany_01637-RA	HMEL003566-RA
OG0000039	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA
OG0000039	Bany_01356-RA	HMEL017154-RA
OG0000041	Bany_11570-RA	HMEL032630g1.t1
OG0000041	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA	HMEL013650g1.t1
OG0000041	Bany_02401-RA, Bany_02400-RA	HMEL004252g1.t1
OG0000044	Bany_01938-RA	HMEL032064g1.t1, HMEL037442g1.t1, HMEL034194g1.t1, HMEL030967g1.t1, HMEL034475g1.t1, HMEL036260g1.t1, HMEL036261g1.t1, HMEL033354g1.t1, HMEL036599g1.t1, HMEL030413g1.t1, HMEL003634g1.t1, HMEL034121g1.t1, HMEL035823g1.t1, HMEL030942g1.t1
OG0000044	Bany_12753-RA	HMEL031425g1.t1, HMEL006539g1.t1, HMEL032923g1.t1, HMEL036259g1.t1, HMEL012540g1.t1, HMEL030024g1.t1, HMEL030414g1.t1, HMEL034195g1.t1, HMEL034559g1.t1, HMEL032957g1.t1, HMEL030659g1.t1, HMEL033357g1.t1, HMEL033772g1.t1, HMEL033401g1.t1, HMEL032958g1.t1, HMEL032080g1.t1, HMEL035078g1.t1, HMEL037465g1.t1, HMEL009996g1.t1
OG0000046	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA, Bany_15459-RA, Bany_15457-RA, Bany_15458-RA, Bany_15460-RA, Bany_15455-RA	HMEL010111g1.t1
OG0000048	Bany_12304-RA	HMEL022308g1.t1
OG0000049	Bany_06008-RA	HMEL002471-RA
OG0000049	Bany_06021-RA	HMEL034903g1.t1
OG0000050	Bany_14319-RA	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA
OG0000050	Bany_14321-RA	HMEL017069-RA, HMEL017066-RA, HMEL022564-RA
OG0000052	Bany_00561-RA	HMEL013845g1.t1
OG0000053	Bany_05073-RA	HMEL030922g1.t1
OG0000053	Bany_05075-RA	HMEL009070g1.t1
OG0000053	Bany_05076-RA	HMEL009073g1.t1
OG0000054	Bany_08678-RA	HMEL018015g1.t1
OG0000054	Bany_08681-RA, Bany_08727-RA	HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	Bany_08680-RA	HMEL031505g1.t1
OG0000055	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1, HMEL008379g1.t1, HMEL030552g1.t1, HMEL014284g1.t1
OG0000055	Bany_12890-RA, Bany_05677-RA	HMEL033237g1.t1
OG0000056	Bany_17818-RA	HMEL010939-RA
