HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N6.HOG0000036	OG0000000	n249				HMEL031699g1.t1					
N6.HOG0000037	OG0000000	n251				HMEL033200g1.t1					
N6.HOG0000038	OG0000000	n253				HMEL034079g1.t1					
N6.HOG0000039	OG0000001	n1				HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1					
N6.HOG0000040	OG0000001	n37				HMEL035948g1.t1, HMEL036899g1.t1					
N6.HOG0000041	OG0000001	n39				HMEL036975g1.t1, HMEL031105g1.t1, HMEL016914g1.t1					
N6.HOG0000042	OG0000001	n42				HMEL036425g1.t1, HMEL033330g1.t1, HMEL036034g1.t1					
N6.HOG0000043	OG0000001	n46				HMEL036885g1.t1, HMEL032934g1.t1, HMEL032942g1.t1, HMEL033464g1.t1, HMEL033322g1.t1, HMEL030158g1.t1, HMEL032944g1.t1, HMEL035885g1.t1, HMEL031657g1.t1, HMEL035495g1.t1, HMEL031161g1.t1, HMEL034726g1.t1, HMEL035940g1.t1					
N6.HOG0000044	OG0000001	n65				HMEL037232g1.t1, HMEL030002g1.t1, HMEL038221g1.t1, HMEL017756g1.t1, HMEL035464g1.t1, HMEL005819g1.t1, HMEL034670g1.t1, HMEL035422g1.t1, HMEL014143g1.t1, HMEL009419g1.t1, HMEL035436g1.t1, HMEL030858g1.t1, HMEL014652g1.t1, HMEL033652g1.t1, HMEL030773g1.t1, HMEL036655g1.t1, HMEL030157g1.t1, HMEL034616g1.t1, HMEL036178g1.t1, HMEL033439g1.t1, HMEL030014g1.t1, HMEL031162g1.t1, HMEL030042g1.t1, HMEL012633g1.t1, HMEL036959g1.t1, HMEL034291g1.t1, HMEL036264g1.t1, HMEL035611g1.t1, HMEL037700g1.t1, HMEL036526g1.t1, HMEL034995g1.t1, HMEL030584g1.t1, HMEL030324g1.t1, HMEL036835g1.t1, HMEL036838g1.t1, HMEL030634g1.t1, HMEL031491g1.t1, HMEL033325g1.t1, HMEL035879g1.t1, HMEL002598g1.t1, HMEL005489g1.t1					
N6.HOG0000045	OG0000001	n106				HMEL035536g1.t1, HMEL013322g1.t1, HMEL036521g1.t1, HMEL035922g1.t1, HMEL031451g1.t1, HMEL036472g1.t1, HMEL035916g1.t1, HMEL030438g1.t1					
N6.HOG0000046	OG0000001	n114				HMEL020351g1.t1, HMEL030494g1.t1, HMEL034562g1.t1, HMEL034556g1.t1, HMEL031887g1.t1, HMEL034384g1.t1, HMEL036107g1.t1, HMEL032975g1.t1, HMEL032736g1.t1					
N6.HOG0000047	OG0000001	n123				HMEL036523g1.t1, HMEL036658g1.t1, HMEL033087g1.t1, HMEL037525g1.t1					
N6.HOG0000048	OG0000001	n126				HMEL036928g1.t1, HMEL031587g1.t1, HMEL032983g1.t1, HMEL036310g1.t1, HMEL034323g1.t1, HMEL030449g1.t1, HMEL030375g1.t1, HMEL032965g1.t1, HMEL031010g1.t1, HMEL036405g1.t1, HMEL036126g1.t1, HMEL033133g1.t1, HMEL038142g1.t1, HMEL035343g1.t1, HMEL034840g1.t1, HMEL033773g1.t1, HMEL032939g1.t1, HMEL032340g1.t1, HMEL034356g1.t1, HMEL036929g1.t1, HMEL030080g1.t1, HMEL033189g1.t1, HMEL035251g1.t1, HMEL035443g1.t1, HMEL031449g1.t1, HMEL034355g1.t1, HMEL036127g1.t1					
N6.HOG0000049	OG0000001	n152				HMEL033885g1.t1, HMEL036811g1.t1, HMEL030322g1.t1, HMEL036866g1.t1, HMEL035861g1.t1, HMEL033273g1.t1, HMEL032335g1.t1, HMEL033520g1.t1, HMEL031560g1.t1, HMEL034378g1.t1, HMEL035108g1.t1, HMEL013866g1.t1, HMEL034359g1.t1, HMEL034568g1.t1, HMEL035494g1.t1, HMEL035171g1.t1, HMEL032760g1.t1, HMEL006440g1.t1, HMEL030077g1.t1, HMEL037983g1.t1, HMEL035414g1.t1, HMEL034173g1.t1, HMEL035881g1.t1, HMEL035416g1.t1, HMEL033413g1.t1, HMEL030846g1.t1, HMEL032281g1.t1, HMEL033045g1.t1, HMEL037356g1.t1, HMEL033086g1.t1, HMEL033483g1.t1, HMEL031233g1.t1, HMEL037127g1.t1, HMEL035838g1.t1, HMEL034964g1.t1, HMEL033592g1.t1, HMEL036601g1.t1, HMEL036839g1.t1, HMEL036836g1.t1, HMEL032905g1.t1, HMEL035503g1.t1, HMEL032822g1.t1, HMEL034648g1.t1, HMEL034552g1.t1, HMEL034142g1.t1					
N6.HOG0000050	OG0000001	n196				HMEL030646g1.t1, HMEL035372g1.t1, HMEL035760g1.t1, HMEL035882g1.t1, HMEL034546g1.t1, HMEL030843g1.t1, HMEL031545g1.t1, HMEL036180g1.t1, HMEL034172g1.t1, HMEL034918g1.t1, HMEL036571g1.t1, HMEL030695g1.t1, HMEL030330g1.t1, HMEL037982g1.t1, HMEL035320g1.t1, HMEL037441g1.t1, HMEL005252g1.t1, HMEL035189g1.t1					
N6.HOG0000051	OG0000002	n1			HEL_005892-RA	HMEL036554g1.t1, HMEL034617g1.t1					
N6.HOG0000052	OG0000002	n25			HEL_011413-RA, HEL_005179-RA, HEL_009264-RA						
N6.HOG0000053	OG0000002	n28			HEL_009732-RA, HEL_008605-RA						
N6.HOG0000054	OG0000002	n36			HEL_007343-RA, HEL_007341-RA						
N6.HOG0000055	OG0000002	n38			HEL_009458-RA, HEL_009460-RA, HEL_004442-RA, HEL_009816-RA, HEL_005318-RA						
N6.HOG0000056	OG0000002	n45			HEL_012797-RA, HEL_005218-RA, HEL_004686-RA, HEL_004260-RA, HEL_004443-RA						
N6.HOG0000057	OG0000002	n52			HEL_002913-RA						
N6.HOG0000058	OG0000002	n53			HEL_006847-RA, HEL_000682-RA, HEL_008606-RA, HEL_009708-RA, HEL_000256-RA, HEL_006734-RA						
N6.HOG0000059	OG0000002	n63			HEL_005603-RA	HMEL035769g1.t1					
N6.HOG0000060	OG0000002	n65				HMEL036353g1.t1					
N6.HOG0000061	OG0000002	n67			HEL_011987-RA, HEL_008610-RA, HEL_007271-RA, HEL_006534-RA, HEL_012623-RA, HEL_006584-RA, HEL_007811-RA, HEL_005557-RA						
N6.HOG0000062	OG0000002	n76			HEL_006659-RA, HEL_010102-RA, HEL_007204-RA						
N6.HOG0000063	OG0000002	n84			HEL_006139-RA, HEL_010101-RA, HEL_008565-RA						
N6.HOG0000064	OG0000002	n97			HEL_005215-RA, HEL_000681-RA	HMEL013511g1.t1					
N6.HOG0000065	OG0000002	n99			HEL_006991-RA	HMEL033266g1.t1					
N6.HOG0000066	OG0000002	n100			HEL_003218-RA, HEL_006733-RA	HMEL038220g1.t1, HMEL035877g1.t1					
N6.HOG0000067	OG0000002	n107			HEL_010301-RA, HEL_011377-RA, HEL_010320-RA, HEL_007568-RA						
N6.HOG0000068	OG0000002	n116			HEL_005182-RA, HEL_013980-RA	HMEL030958g1.t1					
N6.HOG0000069	OG0000002	n118			HEL_000115-RA	HMEL034477g1.t1, HMEL035717g1.t1, HMEL030957g1.t1, HMEL034990g1.t1, HMEL007599g1.t1, HMEL036922g1.t1, HMEL030171g1.t1, HMEL014841g1.t1					
N6.HOG0000070	OG0000002	n126			HEL_004550-RA, HEL_005649-RA	HMEL038151g1.t1					
N6.HOG0000071	OG0000002	n133			HEL_011229-RA	HMEL035766g1.t1					
N6.HOG0000072	OG0000002	n134			HEL_006621-RA, HEL_010677-RA, HEL_005319-RA	HMEL034656g1.t1					
N6.HOG0000073	OG0000002	n137			HEL_000257-RA, HEL_009459-RA, HEL_012744-RA	HMEL035908g1.t1					
N6.HOG0000074	OG0000002	n150			HEL_008500-RA	HMEL035034g1.t1, HMEL036122g1.t1, HMEL037457g1.t1					
N6.HOG0000075	OG0000002	n153			HEL_007729-RA, HEL_000120-RA	HMEL034431g1.t1					
N6.HOG0000076	OG0000002	n155			HEL_002268-RA	HMEL037919g1.t1, HMEL031235g1.t1					
N6.HOG0000077	OG0000002	n157			HEL_011538-RA	HMEL035050g1.t1, HMEL030343g1.t1					
N6.HOG0000078	OG0000002	n159				HMEL030601g1.t1					
N6.HOG0000079	OG0000002	n170			HEL_009246-RA	HMEL034530g1.t1					
N6.HOG0000080	OG0000002	n171			HEL_013155-RA, HEL_013115-RA	HMEL035953g1.t1, HMEL034555g1.t1					
N6.HOG0000081	OG0000003	n1				HMEL035669g1.t1, HMEL033289g1.t1, HMEL030070g1.t1, HMEL035646g1.t1, HMEL037900g1.t1					
N6.HOG0000082	OG0000003	n29				HMEL032743g1.t1					
N6.HOG0000083	OG0000003	n30				HMEL003905g1.t1					
N6.HOG0000084	OG0000003	n31				HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1					
N6.HOG0000085	OG0000004	n5				HMEL022560-RA					
N6.HOG0000086	OG0000004	n22			HEL_006852-RA	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA					
N6.HOG0000087	OG0000004	n25			HEL_006839-RA	HMEL022644-RA					
N6.HOG0000088	OG0000004	n27			HEL_006838-RA	HMEL022672-RA					
N6.HOG0000089	OG0000004	n29			HEL_006845-RA	HMEL022649-RA, HMEL022642-RA					
N6.HOG0000090	OG0000004	n36				HMEL022631-RA, HMEL022626-RA					
N6.HOG0000091	OG0000004	n41			HEL_014408-RA	HMEL022562-RA, HMEL022600-RA					
N6.HOG0000092	OG0000004	n45			HEL_006833-RA, HEL_006850-RA, HEL_006851-RA, HEL_006835-RA, HEL_006834-RA	HMEL022640-RA, HMEL022652-RA					
N6.HOG0000093	OG0000004	n60				HMEL022563-RA, HMEL022669-RA, HMEL022623-RA					
N6.HOG0000094	OG0000004	n63			HEL_006840-RA	HMEL022633-RA					
N6.HOG0000095	OG0000004	n75			HEL_006849-RA	HMEL022671-RA					
N6.HOG0000096	OG0000004	n76			HEL_006848-RA	HMEL022653-RA					
N6.HOG0000097	OG0000004	n111			HEL_006841-RA	HMEL022620-RA, HMEL022568-RA					
N6.HOG0000098	OG0000004	n113			HEL_006846-RA	HMEL022670-RA					
N6.HOG0000099	OG0000005	n2				HMEL031445g1.t1, HMEL033404g1.t1, HMEL033939g1.t1, HMEL030067g1.t1, HMEL030636g1.t1, HMEL036510g1.t1, HMEL036436g1.t1, HMEL032169g1.t1, HMEL031164g1.t1, HMEL038197g1.t1, HMEL031471g1.t1, HMEL036918g1.t1, HMEL034674g1.t1, HMEL030156g1.t1, HMEL033707g1.t1, HMEL031583g1.t1, HMEL033746g1.t1, HMEL031988g1.t1, HMEL017902g1.t1, HMEL031555g1.t1, HMEL030161g1.t1, HMEL036646g1.t1, HMEL030851g1.t1, HMEL033480g1.t1, HMEL034464g1.t1					
N6.HOG0000100	OG0000005	n27				HMEL034057g1.t1					
N6.HOG0000101	OG0000005	n29				HMEL030114g1.t1, HMEL034465g1.t1, HMEL033535g1.t1, HMEL035352g1.t1					
N6.HOG0000102	OG0000005	n34				HMEL035731g1.t1, HMEL035426g1.t1, HMEL031718g1.t1, HMEL034294g1.t1, HMEL036029g1.t1					
N6.HOG0000103	OG0000005	n40				HMEL031765g1.t1					
N6.HOG0000104	OG0000005	n41				HMEL034149g1.t1, HMEL033258g1.t1, HMEL032264g1.t1, HMEL030850g1.t1, HMEL035427g1.t1, HMEL034365g1.t1, HMEL030197g1.t1, HMEL030532g1.t1, HMEL034971g1.t1, HMEL033731g1.t1, HMEL033573g1.t1, HMEL030930g1.t1, HMEL030921g1.t1, HMEL033589g1.t1, HMEL031606g1.t1, HMEL036432g1.t1, HMEL036435g1.t1, HMEL035715g1.t1, HMEL031582g1.t1, HMEL036712g1.t1, HMEL037171g1.t1, HMEL034466g1.t1, HMEL036924g1.t1, HMEL037830g1.t1, HMEL036919g1.t1, HMEL030635g1.t1, HMEL032697g1.t1, HMEL038198g1.t1, HMEL030976g1.t1, HMEL031341g1.t1					
N6.HOG0000105	OG0000005	n71				HMEL034367g1.t1, HMEL034932g1.t1, HMEL036764g1.t1, HMEL036765g1.t1, HMEL030533g1.t1, HMEL031764g1.t1, HMEL034449g1.t1, HMEL034397g1.t1, HMEL037037g1.t1, HMEL031586g1.t1, HMEL034368g1.t1, HMEL034974g1.t1, HMEL030110g1.t1, HMEL033256g1.t1, HMEL034933g1.t1, HMEL033257g1.t1, HMEL034150g1.t1, HMEL035913g1.t1, HMEL031585g1.t1, HMEL034366g1.t1, HMEL034972g1.t1, HMEL036297g1.t1, HMEL033572g1.t1, HMEL034151g1.t1, HMEL030953g1.t1, HMEL030111g1.t1, HMEL036039g1.t1, HMEL037824g1.t1, HMEL032115g1.t1, HMEL033732g1.t1, HMEL035847g1.t1, HMEL030198g1.t1, HMEL012316g1.t1, HMEL030170g1.t1, HMEL031559g1.t1, HMEL034603g1.t1, HMEL030534g1.t1, HMEL034380g1.t1, HMEL030535g1.t1, HMEL033408g1.t1, HMEL034396g1.t1, HMEL034389g1.t1					
N6.HOG0000106	OG0000006	n7				HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1					
N6.HOG0000107	OG0000006	n53				HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1					
N6.HOG0000108	OG0000006	n57				HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1					
N6.HOG0000109	OG0000006	n108				HMEL035992g1.t1					
N6.HOG0000110	OG0000007	n1			HEL_006143-RA	HMEL012825g1.t1					
N6.HOG0000111	OG0000007	n11				HMEL030866g1.t1					
N6.HOG0000112	OG0000007	n17			HEL_002932-RA	HMEL006689g1.t1					
N6.HOG0000113	OG0000007	n20			HEL_012397-RA	HMEL009008g1.t1					
N6.HOG0000114	OG0000007	n30			HEL_013500-RA	HMEL003519g1.t1					
N6.HOG0000115	OG0000007	n44			HEL_009509-RA	HMEL013136g1.t1					
N6.HOG0000116	OG0000007	n54			HEL_009511-RA						
N6.HOG0000117	OG0000007	n61			HEL_002389-RA	HMEL033385g1.t1					
N6.HOG0000118	OG0000007	n71			HEL_013093-RA	HMEL021694g1.t1					
N6.HOG0000119	OG0000007	n86			HEL_013499-RA, HEL_006142-RA						
N6.HOG0000120	OG0000007	n88			HEL_002388-RA						
N6.HOG0000121	OG0000007	n100			HEL_009310-RA	HMEL016981g1.t1, HMEL016980g1.t1					
N6.HOG0000122	OG0000008	n0				HMEL035923g1.t1, HMEL033275g1.t1, HMEL030272g1.t1, HMEL030129g1.t1, HMEL034250g1.t1, HMEL035037g1.t1, HMEL032289g1.t1, HMEL034716g1.t1, HMEL031961g1.t1, HMEL035532g1.t1, HMEL031511g1.t1, HMEL036556g1.t1, HMEL037351g1.t1, HMEL031193g1.t1, HMEL033579g1.t1, HMEL032347g1.t1, HMEL037905g1.t1, HMEL030371g1.t1, HMEL033369g1.t1, HMEL035192g1.t1, HMEL037391g1.t1, HMEL035724g1.t1, HMEL034084g1.t1, HMEL035465g1.t1, HMEL034020g1.t1, HMEL031937g1.t1, HMEL030884g1.t1, HMEL035652g1.t1, HMEL035202g1.t1, HMEL030149g1.t1, HMEL036850g1.t1, HMEL037852g1.t1, HMEL033965g1.t1, HMEL030439g1.t1, HMEL030583g1.t1, HMEL030721g1.t1, HMEL032936g1.t1, HMEL030815g1.t1, HMEL031442g1.t1, HMEL008044g1.t1, HMEL036993g1.t1, HMEL037086g1.t1, HMEL036630g1.t1, HMEL034480g1.t1, HMEL037692g1.t1, HMEL035616g1.t1, HMEL035605g1.t1, HMEL032914g1.t1, HMEL034055g1.t1, HMEL037421g1.t1, HMEL035587g1.t1, HMEL034450g1.t1, HMEL037728g1.t1, HMEL037095g1.t1, HMEL037041g1.t1, HMEL012196g1.t1, HMEL031867g1.t1, HMEL038011g1.t1, HMEL031160g1.t1, HMEL030176g1.t1, HMEL035963g1.t1, HMEL037616g1.t1, HMEL031736g1.t1, HMEL035651g1.t1, HMEL036336g1.t1, HMEL012996g1.t1, HMEL035203g1.t1, HMEL036661g1.t1, HMEL033890g1.t1, HMEL003253g1.t1, HMEL034808g1.t1, HMEL010193g1.t1, HMEL030403g1.t1, HMEL033280g1.t1, HMEL032969g1.t1, HMEL037116g1.t1, HMEL032299g1.t1, HMEL037829g1.t1, HMEL030366g1.t1, HMEL030662g1.t1, HMEL034489g1.t1, HMEL031558g1.t1, HMEL034951g1.t1, HMEL033897g1.t1, HMEL036381g1.t1, HMEL030078g1.t1, HMEL030642g1.t1, HMEL035302g1.t1, HMEL031557g1.t1, HMEL032602g1.t1, HMEL033264g1.t1, HMEL035767g1.t1, HMEL037928g1.t1, HMEL033501g1.t1, HMEL035021g1.t1, HMEL031350g1.t1, HMEL036422g1.t1, HMEL036338g1.t1, HMEL032342g1.t1, HMEL034699g1.t1, HMEL034495g1.t1					
N6.HOG0000123	OG0000009	n2			HEL_011324-RA	HMEL037374g1.t1					
N6.HOG0000124	OG0000009	n31			HEL_011326-RA	HMEL037375g1.t1					
N6.HOG0000125	OG0000009	n32			HEL_011321-RA	HMEL037371g1.t1, HMEL037370g1.t1					
N6.HOG0000126	OG0000009	n34			HEL_011323-RA						
N6.HOG0000127	OG0000009	n41			HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA						
N6.HOG0000128	OG0000009	n76			HEL_011381-RA, HEL_011378-RA						
N6.HOG0000129	OG0000009	n78			HEL_011320-RA						
N6.HOG0000130	OG0000009	n79			HEL_011376-RA						
N6.HOG0000131	OG0000010	n6				HMEL037296g1.t1, HMEL037345g1.t1, HMEL036450g1.t1, HMEL034110g1.t1					
N6.HOG0000132	OG0000010	n10				HMEL037876g1.t1, HMEL037066g1.t1					
N6.HOG0000133	OG0000010	n13				HMEL038161g1.t1, HMEL035453g1.t1					
N6.HOG0000134	OG0000010	n16				HMEL038199g1.t1, HMEL033360g1.t1					
N6.HOG0000135	OG0000010	n18				HMEL030253g1.t1, HMEL036516g1.t1					
N6.HOG0000136	OG0000010	n24				HMEL036778g1.t1, HMEL036451g1.t1, HMEL034073g1.t1, HMEL036876g1.t1, HMEL037298g1.t1, HMEL035912g1.t1, HMEL036875g1.t1					
N6.HOG0000137	OG0000010	n31				HMEL032887g1.t1, HMEL033631g1.t1, HMEL033993g1.t1, HMEL016586g1.t1, HMEL034585g1.t1, HMEL030544g1.t1, HMEL034097g1.t1, HMEL030561g1.t1, HMEL036219g1.t1, HMEL034138g1.t1, HMEL034136g1.t1, HMEL030542g1.t1, HMEL037347g1.t1, HMEL007231g1.t1, HMEL030511g1.t1					
N6.HOG0000138	OG0000010	n46				HMEL030787g1.t1					
N6.HOG0000139	OG0000010	n52				HMEL034111g1.t1					
