HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N7.HOG0000129	OG0000032	n31									XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
N7.HOG0000130	OG0000032	n54									XP_026499980.1
N7.HOG0000131	OG0000034	n2									XP_026491775.1
N7.HOG0000132	OG0000034	n7								Vcard_DToL03971-RA	
N7.HOG0000133	OG0000034	n14								Vcard_DToL03973-RA	XP_026491689.1
N7.HOG0000134	OG0000034	n27									XP_026491466.1
N7.HOG0000135	OG0000034	n33								Vcard_DToL03370-RA	XP_026491224.1
N7.HOG0000136	OG0000034	n45								Vcard_DToL03379-RA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
N7.HOG0000137	OG0000035	n16								Vcard_DToL00728-RA	
N7.HOG0000138	OG0000035	n25									XP_026495880.1
N7.HOG0000139	OG0000035	n28								Vcard_DToL18302-RA	
N7.HOG0000140	OG0000035	n32								Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA	
N7.HOG0000141	OG0000035	n43									XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1
N7.HOG0000142	OG0000036	n6									XP_026487154.1
N7.HOG0000143	OG0000036	n18									XP_026488619.1
N7.HOG0000144	OG0000036	n29									XP_026499962.1
N7.HOG0000145	OG0000036	n57									XP_026500896.1, XP_026496433.1
N7.HOG0000146	OG0000037	n5								Vcard_DToL07760-RA	XP_026500143.1
N7.HOG0000147	OG0000037	n53									XP_026495175.1
N7.HOG0000148	OG0000038	n3								Vcard_DToL16692-RA	XP_026490184.1
N7.HOG0000149	OG0000038	n25								Vcard_DToL16690-RA	XP_026490183.1
N7.HOG0000150	OG0000039	n19								Vcard_DToL07684-RA	XP_026488878.1
N7.HOG0000151	OG0000039	n20								Vcard_DToL09549-RA, Vcard_DToL07682-RA	XP_026488879.1
N7.HOG0000152	OG0000039	n37								Vcard_DToL07681-RA, Vcard_DToL07680-RA	XP_026488881.1
N7.HOG0000153	OG0000041	n4								Vcard_DToL13154-RA	XP_026490916.1
N7.HOG0000154	OG0000041	n15								Vcard_DToL15867-RA	
N7.HOG0000155	OG0000041	n16									XP_026491898.1, XP_026483601.1
N7.HOG0000156	OG0000041	n36								Vcard_DToL15601-RA	XP_026497753.1
N7.HOG0000157	OG0000041	n37								Vcard_DToL15602-RA	XP_026497752.1
N7.HOG0000158	OG0000041	n40								Vcard_DToL15605-RA	XP_026497785.1
N7.HOG0000159	OG0000041	n48									XP_026497751.1
N7.HOG0000160	OG0000044	n32									XP_026500138.1
N7.HOG0000161	OG0000045	n1								Vcard_DToL10351-RA	XP_026485346.1
N7.HOG0000162	OG0000045	n11								Vcard_DToL18745-RA	
N7.HOG0000163	OG0000045	n16								Vcard_DToL07613-RA	XP_026489199.1
N7.HOG0000164	OG0000045	n24								Vcard_DToL07709-RA	XP_026488897.1
N7.HOG0000165	OG0000045	n43									XP_026493800.1, XP_026493802.1
N7.HOG0000166	OG0000045	n48								Vcard_DToL16821-RA, Vcard_DToL16824-RA	
N7.HOG0000167	OG0000045	n50								Vcard_DToL04855-RA	
N7.HOG0000168	OG0000045	n51								Vcard_DToL16819-RA	
N7.HOG0000169	OG0000046	n2								Vcard_DToL03287-RA	XP_026496278.1
N7.HOG0000170	OG0000046	n8								Vcard_DToL03282-RA	XP_026496283.1
N7.HOG0000171	OG0000046	n9								Vcard_DToL03283-RA	XP_026496282.1
N7.HOG0000172	OG0000046	n44								Vcard_DToL03286-RA	XP_026496280.1
N7.HOG0000173	OG0000048	n2									XP_026494057.1
N7.HOG0000174	OG0000048	n22									XP_026488815.1
N7.HOG0000175	OG0000048	n36									XP_026490402.1
N7.HOG0000176	OG0000048	n39									XP_026501042.1
N7.HOG0000177	OG0000049	n3								Vcard_DToL06466-RA	XP_026484586.1
N7.HOG0000178	OG0000049	n12								Vcard_DToL06446-RA	XP_026485111.1
N7.HOG0000179	OG0000049	n28								Vcard_DToL06452-RA	
N7.HOG0000180	OG0000049	n30								Vcard_DToL06451-RA	XP_026491363.1
N7.HOG0000181	OG0000050	n1								Vcard_DToL13078-RA	XP_026501017.1
N7.HOG0000182	OG0000050	n36								Vcard_DToL13075-RA	XP_026500975.1
N7.HOG0000183	OG0000050	n38								Vcard_DToL13076-RA	XP_026500978.1, XP_026500979.1
N7.HOG0000184	OG0000051	n0								Vcard_DToL02196-RA	
N7.HOG0000185	OG0000052	n21								Vcard_DToL12448-RA	XP_026487271.1
N7.HOG0000186	OG0000052	n23								Vcard_DToL12449-RA	
N7.HOG0000187	OG0000053	n2								Vcard_DToL01328-RA	XP_026497060.1
N7.HOG0000188	OG0000053	n10								Vcard_DToL01334-RA	
N7.HOG0000189	OG0000053	n15								Vcard_DToL01331-RA	XP_026497094.1
N7.HOG0000190	OG0000053	n25								Vcard_DToL01333-RA	XP_026497148.1, XP_026497147.1
N7.HOG0000191	OG0000053	n34								Vcard_DToL01332-RA	XP_026497076.1, XP_026497075.1
N7.HOG0000192	OG0000053	n41								Vcard_DToL01335-RA	XP_026497149.1
N7.HOG0000193	OG0000054	n1								Vcard_DToL09709-RA	XP_026492237.1
N7.HOG0000194	OG0000054	n11								Vcard_DToL09712-RA	
N7.HOG0000195	OG0000054	n38								Vcard_DToL09711-RA	
N7.HOG0000196	OG0000055	n6								Vcard_DToL13935-RA, Vcard_DToL18184-RA	
N7.HOG0000197	OG0000055	n12									XP_026491734.1
N7.HOG0000198	OG0000055	n32								Vcard_DToL18025-RA	
N7.HOG0000199	OG0000056	n1								Vcard_DToL16041-RA	XP_026498825.1
N7.HOG0000200	OG0000056	n9								Vcard_DToL16044-RA	XP_026498818.1
N7.HOG0000201	OG0000056	n18									XP_026498828.1
N7.HOG0000202	OG0000056	n22								Vcard_DToL16040-RA	XP_026499964.1, XP_026498826.1
N7.HOG0000203	OG0000057	n1								Vcard_DToL13794-RA	XP_026496531.1
N7.HOG0000204	OG0000057	n22								Vcard_DToL13796-RA	XP_026496524.1
N7.HOG0000205	OG0000057	n30								Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	
N7.HOG0000206	OG0000057	n40									XP_026499452.1, XP_026499751.1, XP_026499478.1
N7.HOG0000207	OG0000057	n43									XP_026499470.1
N7.HOG0000208	OG0000058	n3									XP_026489850.1, XP_026492925.1
N7.HOG0000209	OG0000058	n13									XP_026490603.1
N7.HOG0000210	OG0000058	n22								Vcard_DToL16303-RA, Vcard_DToL07362-RA	
N7.HOG0000211	OG0000058	n30								Vcard_DToL02890-RA	XP_026497189.1, XP_026489550.1
N7.HOG0000212	OG0000058	n42								Vcard_DToL07050-RA, Vcard_DToL15938-RA	
N7.HOG0000213	OG0000059	n5									XP_026497961.1, XP_026501315.1, XP_026493384.1, XP_026484862.1
N7.HOG0000214	OG0000059	n20									XP_026491881.1
N7.HOG0000215	OG0000060	n1									XP_026493438.1, XP_026493441.1
N7.HOG0000216	OG0000061	n18								Vcard_DToL04117-RA	XP_026488092.1
N7.HOG0000217	OG0000061	n21									XP_026496799.1, XP_026496786.1
N7.HOG0000218	OG0000061	n23									XP_026488110.1
N7.HOG0000219	OG0000061	n35									XP_026488120.1
N7.HOG0000220	OG0000061	n44									XP_026488093.1
N7.HOG0000221	OG0000062	n1								Vcard_DToL05449-RA	XP_026486062.1
N7.HOG0000222	OG0000062	n10								Vcard_DToL17485-RA	XP_026483731.1
N7.HOG0000223	OG0000062	n40								Vcard_DToL18008-RA	XP_026493052.1
N7.HOG0000224	OG0000062	n43								Vcard_DToL18004-RA	
N7.HOG0000225	OG0000062	n44									XP_026499492.1
N7.HOG0000226	OG0000063	n4								Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA	XP_026483335.1
N7.HOG0000227	OG0000063	n7								Vcard_DToL06750-RA, Vcard_DToL06742-RA	XP_026483375.1
N7.HOG0000228	OG0000063	n18								Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	XP_026483353.1
N7.HOG0000229	OG0000063	n30								Vcard_DToL09866-RA	XP_026493090.1
N7.HOG0000230	OG0000063	n39								Vcard_DToL07425-RA	
N7.HOG0000231	OG0000064	n1									XP_026497737.1, XP_026491802.1
N7.HOG0000232	OG0000064	n13									XP_026492258.1
N7.HOG0000233	OG0000066	n38								Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	XP_026500159.1
N7.HOG0000234	OG0000067	n12								Vcard_DToL15559-RA, Vcard_DToL15557-RA	XP_026499417.1
N7.HOG0000235	OG0000067	n16								Vcard_DToL15558-RA	XP_026492030.1, XP_026492031.1, XP_026492028.1
N7.HOG0000236	OG0000068	n3								Vcard_DToL16340-RA	XP_026494442.1
N7.HOG0000237	OG0000068	n27								Vcard_DToL16337-RA	
N7.HOG0000238	OG0000069	n13								Vcard_DToL07820-RA	
N7.HOG0000239	OG0000069	n43								Vcard_DToL07819-RA, Vcard_DToL07818-RA	
N7.HOG0000240	OG0000071	n1								Vcard_DToL11272-RA	XP_026492973.1
N7.HOG0000241	OG0000071	n8								Vcard_DToL15245-RA	
N7.HOG0000242	OG0000073	n1								Vcard_DToL06863-RA	XP_026488168.1, XP_026488091.1, XP_026488023.1
N7.HOG0000243	OG0000073	n13								Vcard_DToL06621-RA	XP_026501251.1, XP_026501242.1
N7.HOG0000244	OG0000073	n35									XP_026483469.1
N7.HOG0000245	OG0000075	n6								Vcard_DToL04139-RA, Vcard_DToL04138-RA	XP_026487164.1
N7.HOG0000246	OG0000075	n26								Vcard_DToL04124-RA	XP_026488107.1
N7.HOG0000247	OG0000075	n30								Vcard_DToL04270-RA	XP_026488301.1, XP_026488302.1
N7.HOG0000248	OG0000076	n36								Vcard_DToL18781-RA	XP_026490686.1
N7.HOG0000249	OG0000077	n2									XP_026485880.1
N7.HOG0000250	OG0000077	n7									XP_026485938.1
N7.HOG0000251	OG0000077	n18									XP_026485943.1
N7.HOG0000252	OG0000077	n22									XP_026485945.1, XP_026485951.1
N7.HOG0000253	OG0000077	n27									XP_026485942.1
N7.HOG0000254	OG0000078	n3								Vcard_DToL15658-RA	XP_026497763.1
N7.HOG0000255	OG0000078	n4								Vcard_DToL15656-RA	XP_026497768.1
N7.HOG0000256	OG0000079	n14								Vcard_DToL05246-RA	XP_026485855.1
N7.HOG0000257	OG0000079	n39								Vcard_DToL05221-RA	
N7.HOG0000258	OG0000080	n33								Vcard_DToL16424-RA, Vcard_DToL04549-RA	
N7.HOG0000259	OG0000081	n1									XP_026498852.1
N7.HOG0000260	OG0000081	n5									XP_026499487.1, XP_026486537.1, XP_026500021.1
N7.HOG0000261	OG0000081	n15									XP_026491027.1
N7.HOG0000262	OG0000081	n21									XP_026493409.1
N7.HOG0000263	OG0000082	n1								Vcard_DToL17276-RA	XP_026484136.1
N7.HOG0000264	OG0000082	n10									XP_026484086.1
N7.HOG0000265	OG0000082	n20								Vcard_DToL17266-RA	XP_026484147.1
N7.HOG0000266	OG0000082	n29									XP_026484166.1
N7.HOG0000267	OG0000082	n35								Vcard_DToL17337-RA	XP_026484161.1
N7.HOG0000268	OG0000083	n1									XP_026498756.1
N7.HOG0000269	OG0000083	n14									XP_026498757.1
N7.HOG0000270	OG0000084	n1								Vcard_DToL07564-RA	XP_026492846.1
N7.HOG0000271	OG0000084	n23									XP_026492749.1
N7.HOG0000272	OG0000085	n11								Vcard_DToL03094-RA	XP_026496424.1
N7.HOG0000273	OG0000085	n29								Vcard_DToL03096-RA, Vcard_DToL03095-RA	XP_026496275.1
N7.HOG0000274	OG0000087	n6									XP_026491033.1
N7.HOG0000275	OG0000088	n2								Vcard_DToL06950-RA	XP_026489493.1
N7.HOG0000276	OG0000088	n8									XP_026483148.1
N7.HOG0000277	OG0000088	n16								Vcard_DToL06952-RA	XP_026489494.1
N7.HOG0000278	OG0000089	n1								Vcard_DToL17977-RA	
N7.HOG0000279	OG0000089	n18								Vcard_DToL04008-RA, Vcard_DToL18811-RA, Vcard_DToL12624-RA, Vcard_DToL09485-RA, Vcard_DToL06496-RA, Vcard_DToL06859-RA, Vcard_DToL06310-RA, Vcard_DToL08080-RA, Vcard_DToL12125-RA, Vcard_DToL09462-RA, Vcard_DToL15284-RA, Vcard_DToL15224-RA, Vcard_DToL17560-RA, Vcard_DToL08537-RA, Vcard_DToL01821-RA	
N7.HOG0000280	OG0000090	n30								Vcard_DToL04847-RA	XP_026490095.1
N7.HOG0000281	OG0000091	n3									XP_026496136.1
N7.HOG0000282	OG0000091	n16								Vcard_DToL15015-RA	XP_026498590.1, XP_026499894.1
N7.HOG0000283	OG0000091	n20									XP_026498210.1
N7.HOG0000284	OG0000091	n22								Vcard_DToL15016-RA	
N7.HOG0000285	OG0000091	n30								Vcard_DToL07340-RA	
N7.HOG0000286	OG0000092	n1								Vcard_DToL04259-RA	XP_026488296.1
N7.HOG0000287	OG0000092	n11								Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	
N7.HOG0000288	OG0000093	n1								Vcard_DToL17257-RA	XP_026483919.1, XP_026483920.1
N7.HOG0000289	OG0000093	n15									XP_026483917.1
N7.HOG0000290	OG0000093	n19								Vcard_DToL17260-RA	
N7.HOG0000291	OG0000093	n26								Vcard_DToL17256-RA	XP_026484027.1, XP_026484028.1
N7.HOG0000292	OG0000094	n2								Vcard_DToL15547-RA	XP_026488555.1
N7.HOG0000293	OG0000094	n10								Vcard_DToL15561-RA	XP_026492024.1
N7.HOG0000294	OG0000095	n4								Vcard_DToL02427-RA	XP_026484614.1
N7.HOG0000295	OG0000095	n7								Vcard_DToL02425-RA	
N7.HOG0000296	OG0000095	n8									XP_026484892.1
N7.HOG0000297	OG0000096	n5								Vcard_DToL06347-RA	
N7.HOG0000298	OG0000096	n17								Vcard_DToL06351-RA	XP_026489765.1, XP_026489764.1
N7.HOG0000299	OG0000096	n26								Vcard_DToL06349-RA	XP_026498776.1, XP_026498782.1
N7.HOG0000300	OG0000097	n29								Vcard_DToL11327-RA	XP_026498905.1
N7.HOG0000301	OG0000097	n30								Vcard_DToL11326-RA	XP_026498928.1
N7.HOG0000302	OG0000098	n3								Vcard_DToL02960-RA	XP_026498603.1
N7.HOG0000303	OG0000100	n1								Vcard_DToL12906-RA	XP_026495781.1
N7.HOG0000304	OG0000100	n14								Vcard_DToL12907-RA	
N7.HOG0000305	OG0000100	n24								Vcard_DToL12904-RA	XP_026495693.1
N7.HOG0000306	OG0000100	n32								Vcard_DToL12899-RA	
N7.HOG0000307	OG0000101	n1								Vcard_DToL09191-RA	XP_026493040.1, XP_026493038.1
N7.HOG0000308	OG0000101	n29								Vcard_DToL10113-RA	XP_026493188.1
N7.HOG0000309	OG0000102	n4								Vcard_DToL07821-RA	
