HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N4.HOG0000045	OG0000011	n1						XP_034832805.1	XP_039757162.1		
N4.HOG0000046	OG0000011	n13						XP_034832852.1	XP_039757108.1		
N4.HOG0000047	OG0000011	n21						XP_034832845.1	XP_039757385.1		
N4.HOG0000048	OG0000011	n31						XP_034833059.1	XP_039757384.1		
N4.HOG0000049	OG0000011	n32						XP_034832568.1	XP_039757107.1		
N4.HOG0000050	OG0000011	n33						XP_034832567.1	XP_039757124.1		
N4.HOG0000051	OG0000011	n46						XP_034832960.1, XP_034833028.1	XP_039757274.1		
N4.HOG0000052	OG0000011	n51						XP_034833030.1, XP_034833029.1			
N4.HOG0000053	OG0000011	n62						XP_034833025.1, XP_034832955.1	XP_039757277.1		
N4.HOG0000054	OG0000011	n86						XP_034832953.1, XP_034832961.1	XP_039757275.1		
N4.HOG0000055	OG0000012	n63							XP_039750455.1		
N4.HOG0000056	OG0000013	n14						XP_034830827.1			
N4.HOG0000057	OG0000013	n30						XP_034839862.1			
N4.HOG0000058	OG0000013	n43						XP_034839913.1, XP_034830013.1			
N4.HOG0000059	OG0000013	n49						XP_034837462.1	XP_039764230.1		
N4.HOG0000060	OG0000013	n54						XP_034836352.1, XP_034827825.1, XP_034832179.1, XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1	XP_039746104.1, XP_039746147.1		
N4.HOG0000061	OG0000013	n65						XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1			
N4.HOG0000062	OG0000016	n39							XP_039761457.1, XP_039760429.1		
N4.HOG0000063	OG0000016	n44							XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1		
N4.HOG0000064	OG0000016	n49						XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1	XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1		
N4.HOG0000065	OG0000016	n56						XP_034839614.1			
N4.HOG0000066	OG0000016	n59						XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1	XP_039745450.1, XP_039759548.1, XP_039761445.1		
N4.HOG0000067	OG0000016	n75							XP_039760421.1		
N4.HOG0000068	OG0000017	n2						XP_034828788.1, XP_034832231.1	XP_039764358.1		
N4.HOG0000069	OG0000017	n64							XP_039748749.1		
N4.HOG0000070	OG0000018	n6						XP_034839317.1	XP_039752797.1		
N4.HOG0000071	OG0000018	n10						XP_034836233.1	XP_039760351.1		
N4.HOG0000072	OG0000018	n17						XP_034839247.1	XP_039752787.1		
N4.HOG0000073	OG0000018	n21							XP_039752828.1		
N4.HOG0000074	OG0000018	n24						XP_034839259.1	XP_039752810.1		
N4.HOG0000075	OG0000018	n25						XP_034833257.1	XP_039752824.1		
N4.HOG0000076	OG0000019	n1						XP_034824469.1	XP_039762413.1		
N4.HOG0000077	OG0000019	n76						XP_034838037.1			
N4.HOG0000078	OG0000020	n38						XP_034837626.1	XP_039758930.1, XP_039764182.1, XP_039757084.1		
N4.HOG0000079	OG0000020	n44						XP_034839451.1, XP_034838226.1, XP_034837941.1	XP_039745257.1, XP_039749341.1		
N4.HOG0000080	OG0000020	n48						XP_034837019.1	XP_039747706.1		
N4.HOG0000081	OG0000020	n49						XP_034829818.1	XP_039758068.1		
N4.HOG0000082	OG0000020	n62						XP_034836572.1	XP_039761310.1, XP_039758082.1		
N4.HOG0000083	OG0000020	n64						XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1	XP_039763959.1		
N4.HOG0000084	OG0000020	n68						XP_034829410.1	XP_039764318.1		
N4.HOG0000085	OG0000020	n69						XP_034827412.1	XP_039758011.1		
N4.HOG0000086	OG0000020	n70						XP_034824911.1	XP_039758209.1		
N4.HOG0000087	OG0000021	n9						XP_034835587.1	XP_039763920.1		
N4.HOG0000088	OG0000021	n10						XP_034836339.1	XP_039746712.1		
N4.HOG0000089	OG0000021	n12							XP_039757893.1, XP_039754386.1, XP_039764088.1		
N4.HOG0000090	OG0000021	n17						XP_034840374.1, XP_034826551.1, XP_034824262.1	XP_039761857.1, XP_039750798.1		
N4.HOG0000091	OG0000021	n21						XP_034830007.1	XP_039764350.1		
N4.HOG0000092	OG0000021	n24						XP_034837857.1, XP_034833713.1			
N4.HOG0000093	OG0000021	n28							XP_039760392.1		
N4.HOG0000094	OG0000021	n29							XP_039750867.1, XP_039749157.1, XP_039749098.1, XP_039751427.1, XP_039754626.1, XP_039765547.1, XP_039746166.1, XP_039764907.1, XP_039762383.1, XP_039761554.1, XP_039759837.1, XP_039762160.1, XP_039757159.1, XP_039756236.1, XP_039755859.1, XP_039749062.1, XP_039751697.1, XP_039747748.1, XP_039745313.1, XP_039751534.1, XP_039751398.1, XP_039751591.1, XP_039752615.1, XP_039753758.1, XP_039755644.1, XP_039755825.1, XP_039756555.1, XP_039758311.1, XP_039759241.1, XP_039745055.1, XP_039762908.1, XP_039762090.1, XP_039763847.1, XP_039763990.1, XP_039763899.1, XP_039761717.1, XP_039758093.1		
N4.HOG0000095	OG0000021	n70						XP_034827881.1	XP_039759637.1		
N4.HOG0000096	OG0000021	n71						XP_034840153.1	XP_039751439.1		
N4.HOG0000097	OG0000022	n1						XP_034840993.1	XP_039765727.1		
N4.HOG0000098	OG0000022	n9						XP_034824109.1	XP_039765296.1		
N4.HOG0000099	OG0000022	n16						XP_034839051.1	XP_039762875.1		
N4.HOG0000100	OG0000022	n22						XP_034839055.1	XP_039762709.1		
N4.HOG0000101	OG0000022	n28						XP_034824108.1	XP_039765728.1		
N4.HOG0000102	OG0000022	n36						XP_034836910.1	XP_039761167.1		
N4.HOG0000103	OG0000022	n50						XP_034826464.1	XP_039747684.1		
N4.HOG0000104	OG0000022	n55							XP_039751415.1		
N4.HOG0000105	OG0000022	n59						XP_034826465.1			
N4.HOG0000106	OG0000022	n61						XP_034826667.1	XP_039750917.1, XP_039752986.1		
N4.HOG0000107	OG0000023	n4						XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1	XP_039755787.1, XP_039761864.1, XP_039763079.1		
N4.HOG0000108	OG0000023	n13							XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1		
N4.HOG0000109	OG0000023	n24						XP_034833642.1			
N4.HOG0000110	OG0000023	n39							XP_039745421.1, XP_039753381.1		
N4.HOG0000111	OG0000023	n46							XP_039760398.1		
N4.HOG0000112	OG0000023	n64						XP_034824447.1	XP_039760327.1, XP_039758834.1, XP_039746209.1		
N4.HOG0000113	OG0000024	n10							XP_039763211.1		
N4.HOG0000114	OG0000024	n11						XP_034831723.1	XP_039753156.1		
N4.HOG0000115	OG0000024	n14							XP_039763722.1		
N4.HOG0000116	OG0000024	n19							XP_039753155.1		
N4.HOG0000117	OG0000025	n10						XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1		
N4.HOG0000118	OG0000025	n41						XP_034838387.1	XP_039748242.1		
N4.HOG0000119	OG0000025	n42						XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1, XP_034838505.1	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1		
N4.HOG0000120	OG0000026	n6						XP_034837742.1, XP_034839914.1	XP_039750797.1, XP_039761461.1		
N4.HOG0000121	OG0000026	n9						XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1	XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1		
N4.HOG0000122	OG0000026	n21							XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1		
N4.HOG0000123	OG0000028	n11						XP_034826918.1, XP_034826917.1	XP_039756644.1		
N4.HOG0000124	OG0000028	n18						XP_034834764.1	XP_039756364.1		
N4.HOG0000125	OG0000028	n19						XP_034834919.1	XP_039756209.1		
N4.HOG0000126	OG0000028	n20						XP_034834728.1	XP_039756129.1		
N4.HOG0000127	OG0000028	n22						XP_034834729.1	XP_039756114.1		
N4.HOG0000128	OG0000028	n23						XP_034834730.1, XP_034834731.1	XP_039756115.1		
N4.HOG0000129	OG0000028	n46						XP_034830316.1	XP_039754209.1		
N4.HOG0000130	OG0000028	n48						XP_034828236.1	XP_039752265.1		
N4.HOG0000131	OG0000029	n1						XP_034827860.1	XP_039751951.1		
N4.HOG0000132	OG0000029	n35						XP_034827780.1, XP_034827861.1, XP_034827854.1	XP_039752755.1		
N4.HOG0000133	OG0000029	n43						XP_034841164.1	XP_039745529.1		
N4.HOG0000134	OG0000029	n54						XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1	XP_039745528.1		
N4.HOG0000135	OG0000029	n64							XP_039745420.1, XP_039745525.1		
N4.HOG0000136	OG0000031	n1						XP_034832420.1	XP_039753010.1		
N4.HOG0000137	OG0000032	n6							XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1		
N4.HOG0000138	OG0000032	n10						XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1	XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1		
N4.HOG0000139	OG0000032	n19						XP_034831602.1, XP_034836303.1, XP_034827095.1	XP_039758874.1, XP_039764419.1, XP_039749234.1		
N4.HOG0000140	OG0000032	n25						XP_034837854.1			
N4.HOG0000141	OG0000032	n38						XP_034832603.1			
N4.HOG0000142	OG0000032	n41						XP_034839638.1	XP_039763077.1, XP_039764294.1		
N4.HOG0000143	OG0000032	n54						XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1	XP_039757087.1		
N4.HOG0000144	OG0000034	n2						XP_034825265.1	XP_039746294.1		
N4.HOG0000145	OG0000034	n7						XP_034825411.1	XP_039746452.1		
N4.HOG0000146	OG0000034	n14						XP_034825410.1, XP_034825408.1, XP_034825409.1			
N4.HOG0000147	OG0000034	n24						XP_034825541.1	XP_039746103.1		
N4.HOG0000148	OG0000034	n33						XP_034825327.1, XP_034825329.1, XP_034825328.1	XP_039746398.1		
N4.HOG0000149	OG0000034	n45						XP_034825435.1	XP_039746268.1		
N4.HOG0000150	OG0000036	n11						XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1	XP_039758863.1		
N4.HOG0000151	OG0000036	n16						XP_034833647.1	XP_039751950.1		
N4.HOG0000152	OG0000036	n18						XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1	XP_039749280.1, XP_039757876.1		
N4.HOG0000153	OG0000036	n29						XP_034833570.1	XP_039761419.1		
N4.HOG0000154	OG0000036	n31						XP_034829464.1	XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1		
N4.HOG0000155	OG0000036	n57							XP_039750771.1, XP_039762012.1		
N4.HOG0000156	OG0000037	n0						XP_034824832.1	XP_039754332.1		
N4.HOG0000157	OG0000038	n3						XP_034826459.1	XP_039749533.1		
N4.HOG0000158	OG0000038	n25						XP_034826460.1			
N4.HOG0000159	OG0000038	n30						XP_034826458.1, XP_034826457.1	XP_039747874.1		
N4.HOG0000160	OG0000039	n9						XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1	XP_039752715.1		
N4.HOG0000161	OG0000039	n16						XP_034827798.1			
N4.HOG0000162	OG0000039	n34						XP_034827544.1	XP_039752213.1, XP_039752212.1		
N4.HOG0000163	OG0000039	n54						XP_034827796.1, XP_034828095.1, XP_034828091.1	XP_039751868.1		
N4.HOG0000164	OG0000040	n8							XP_039757393.1, XP_039762474.1, XP_039755530.1, XP_039761897.1		
N4.HOG0000165	OG0000040	n16							XP_039757370.1, XP_039756682.1, XP_039746317.1, XP_039757920.1, XP_039764430.1		
N4.HOG0000166	OG0000040	n21							XP_039757341.1, XP_039759545.1, XP_039764051.1, XP_039750845.1		
N4.HOG0000167	OG0000040	n26						XP_034837060.1	XP_039746162.1, XP_039764273.1, XP_039757383.1		
N4.HOG0000168	OG0000040	n30						XP_034833564.1, XP_034837813.1, XP_034837824.1, XP_034836883.1, XP_034840797.1			
N4.HOG0000169	OG0000040	n35						XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1	XP_039763948.1		
N4.HOG0000170	OG0000040	n43						XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1	XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1		
N4.HOG0000171	OG0000041	n4						XP_034835173.1	XP_039759472.1		
N4.HOG0000172	OG0000041	n24						XP_034826640.1	XP_039749285.1		
N4.HOG0000173	OG0000041	n28						XP_034826639.1			
N4.HOG0000174	OG0000041	n30						XP_034826636.1, XP_034826637.1, XP_034826638.1			
N4.HOG0000175	OG0000041	n42						XP_034826598.1	XP_039759561.1		
N4.HOG0000176	OG0000041	n44						XP_034826593.1	XP_039746548.1		
N4.HOG0000177	OG0000041	n48						XP_034826600.1			
N4.HOG0000178	OG0000042	n0						XP_034838869.1, XP_034838771.1, XP_034837829.1, XP_034837830.1, XP_034837848.1, XP_034841248.1, XP_034837860.1, XP_034838392.1, XP_034838162.1, XP_034837827.1, XP_034837846.1, XP_034834197.1, XP_034837823.1, XP_034839101.1, XP_034838762.1, XP_034826546.1, XP_034837817.1, XP_034837842.1, XP_034838171.1, XP_034838797.1, XP_034838796.1, XP_034836850.1, XP_034837838.1, XP_034836298.1, XP_034838376.1, XP_034838066.1, XP_034835715.1, XP_034839078.1, XP_034838048.1, XP_034838049.1, XP_034838237.1, XP_034834257.1, XP_034838868.1, XP_034837845.1, XP_034838766.1, XP_034837826.1, XP_034838769.1, XP_034838770.1, XP_034838768.1, XP_034838836.1, XP_034840357.1, XP_034838035.1, XP_034838837.1, XP_034838801.1, XP_034839082.1, XP_034837729.1, XP_034837902.1	XP_039746819.1, XP_039746820.1, XP_039746816.1, XP_039746817.1, XP_039746818.1		
N4.HOG0000179	OG0000044	n19							XP_039762498.1, XP_039762486.1, XP_039762637.1		
N4.HOG0000180	OG0000045	n1						XP_034828902.1	XP_039750219.1, XP_039750218.1		
N4.HOG0000181	OG0000045	n11						XP_034838919.1	XP_039762676.1		
N4.HOG0000182	OG0000045	n16						XP_034830124.1	XP_039750023.1		
N4.HOG0000183	OG0000045	n24							XP_039752690.1		
N4.HOG0000184	OG0000045	n33						XP_034838349.1	XP_039761923.1		
N4.HOG0000185	OG0000045	n37						XP_034824903.1	XP_039748547.1		
N4.HOG0000186	OG0000045	n38						XP_034837040.1	XP_039760955.1		
N4.HOG0000187	OG0000046	n1						XP_034829226.1	XP_039755063.1		
N4.HOG0000188	OG0000046	n20						XP_034829217.1	XP_039755067.1		
N4.HOG0000189	OG0000046	n21						XP_034829227.1	XP_039755066.1		
N4.HOG0000190	OG0000046	n31						XP_034829489.1	XP_039755249.1		
N4.HOG0000191	OG0000046	n33						XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1	XP_039755070.1		
N4.HOG0000192	OG0000046	n39						XP_034829488.1	XP_039755248.1		
N4.HOG0000193	OG0000046	n42						XP_034829485.1	XP_039755069.1		
N4.HOG0000194	OG0000046	n43						XP_034829486.1	XP_039755247.1		
N4.HOG0000195	OG0000046	n46						XP_034829219.1	XP_039759613.1		
N4.HOG0000196	OG0000046	n48						XP_034829225.1	XP_039755065.1		
N4.HOG0000197	OG0000047	n2						XP_034832109.1, XP_034833557.1			
N4.HOG0000198	OG0000047	n7						XP_034839860.1, XP_034833612.1, XP_034833012.1, XP_034839910.1, XP_034840761.1, XP_034833610.1, XP_034836199.1, XP_034827777.1, XP_034840350.1, XP_034824778.1, XP_034839645.1, XP_034826550.1, XP_034833626.1, XP_034838846.1, XP_034840396.1, XP_034834203.1, XP_034840351.1, XP_034827765.1, XP_034834211.1, XP_034828875.1, XP_034831595.1, XP_034824162.1, XP_034824780.1, XP_034831554.1, XP_034827957.1, XP_034840721.1, XP_034839416.1, XP_034838794.1, XP_034840397.1, XP_034827766.1, XP_034834204.1, XP_034833613.1, XP_034836225.1, XP_034833011.1			
N4.HOG0000199	OG0000048	n22							XP_039749185.1, XP_039764331.1		
N4.HOG0000200	OG0000048	n39							XP_039764514.1, XP_039746188.1, XP_039746229.1		
N4.HOG0000201	OG0000049	n3						XP_034826808.1	XP_039751487.1, XP_039751486.1		
N4.HOG0000202	OG0000049	n14						XP_034826796.1			
N4.HOG0000203	OG0000049	n15						XP_034826810.1	XP_039751228.1		
N4.HOG0000204	OG0000049	n30						XP_034827036.1	XP_039751167.1		
N4.HOG0000205	OG0000050	n1						XP_034834926.1			
N4.HOG0000206	OG0000050	n20						XP_034834932.1	XP_039756635.1		
N4.HOG0000207	OG0000050	n21						XP_034834931.1, XP_034834930.1, XP_034834929.1	XP_039756638.1		
N4.HOG0000208	OG0000050	n24						XP_034834927.1	XP_039756636.1		
N4.HOG0000209	OG0000051	n33						XP_034839452.1	XP_039759681.1		
N4.HOG0000210	OG0000051	n34						XP_034838312.1	XP_039764323.1		
N4.HOG0000211	OG0000051	n35						XP_034837949.1	XP_039764161.1		
N4.HOG0000212	OG0000051	n36						XP_034839757.1	XP_039753845.1, XP_039755457.1, XP_039752827.1, XP_039763915.1		
N4.HOG0000213	OG0000051	n40						XP_034829819.1	XP_039758075.1		
N4.HOG0000214	OG0000051	n41							XP_039761862.1, XP_039760130.1, XP_039761912.1, XP_039745385.1, XP_039758148.1, XP_039762600.1, XP_039747551.1, XP_039753803.1, XP_039753307.1		
N4.HOG0000215	OG0000052	n0							XP_039755855.1		
N4.HOG0000216	OG0000053	n2						XP_034836880.1	XP_039752462.1		
N4.HOG0000217	OG0000053	n15						XP_034836873.1	XP_039760715.1		
N4.HOG0000218	OG0000053	n25						XP_034836855.1, XP_034836849.1	XP_039761162.1		
N4.HOG0000219	OG0000053	n34						XP_034836907.1	XP_039755401.1		
N4.HOG0000220	OG0000053	n41						XP_034836863.1	XP_039754797.1		
N4.HOG0000221	OG0000054	n1						XP_034831832.1	XP_039753385.1		
N4.HOG0000222	OG0000054	n13						XP_034832273.1	XP_039753617.1		
N4.HOG0000223	OG0000054	n35						XP_034832263.1	XP_039753386.1		
N4.HOG0000224	OG0000054	n36						XP_034832264.1	XP_039753387.1		
N4.HOG0000225	OG0000054	n37							XP_039753618.1		
N4.HOG0000226	OG0000054	n38						XP_034826915.1, XP_034832271.1	XP_039753616.1		
N4.HOG0000227	OG0000056	n1						XP_034837121.1	XP_039760526.1		
N4.HOG0000228	OG0000056	n13						XP_034837117.1, XP_034837118.1, XP_034837116.1, XP_034837115.1, XP_034837119.1			
N4.HOG0000229	OG0000056	n28							XP_039760529.1		
N4.HOG0000230	OG0000056	n35						XP_034837196.1	XP_039760686.1		
N4.HOG0000231	OG0000056	n38						XP_034837120.1	XP_039760687.1		
N4.HOG0000232	OG0000057	n1						XP_034835052.1	XP_039759134.1, XP_039759133.1		
N4.HOG0000233	OG0000057	n17						XP_034835063.1, XP_034835480.1, XP_034835479.1, XP_034835477.1	XP_039759292.1		
N4.HOG0000234	OG0000057	n22							XP_039759135.1		
N4.HOG0000235	OG0000057	n33						XP_034824341.1, XP_034824712.1	XP_039749078.1		
N4.HOG0000236	OG0000058	n3						XP_034826643.1, XP_034830106.1	XP_039764265.1, XP_039763616.1, XP_039756642.1, XP_039763057.1, XP_039764264.1		
N4.HOG0000237	OG0000058	n16						XP_034834921.1, XP_034826968.1	XP_039760434.1, XP_039755811.1		
N4.HOG0000238	OG0000058	n22							XP_039764477.1		
N4.HOG0000239	OG0000058	n24							XP_039762497.1		
N4.HOG0000240	OG0000058	n25							XP_039755222.1		
N4.HOG0000241	OG0000058	n30							XP_039746435.1		
N4.HOG0000242	OG0000059	n2						XP_034833588.1	XP_039747896.1		
N4.HOG0000243	OG0000059	n9						XP_034834965.1, XP_034833954.1	XP_039762481.1, XP_039756353.1, XP_039749179.1, XP_039755237.1		
N4.HOG0000244	OG0000059	n15						XP_034834180.1, XP_034840031.1, XP_034839507.1	XP_039758583.1		
N4.HOG0000245	OG0000059	n22						XP_034837743.1, XP_034835710.1, XP_034838760.1, XP_034827073.1, XP_034825569.1, XP_034830755.1	XP_039749996.1		
N4.HOG0000246	OG0000059	n29						XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1	XP_039765851.1, XP_039764468.1, XP_039753360.1, XP_039755229.1		
N4.HOG0000247	OG0000059	n39						XP_034831599.1, XP_034829013.1, XP_034840426.1, XP_034830771.1, XP_034825630.1	XP_039761472.1, XP_039761858.1, XP_039760350.1		
N4.HOG0000248	OG0000060	n1						XP_034833415.1	XP_039758412.1		
N4.HOG0000249	OG0000060	n30						XP_034833409.1, XP_034833592.1	XP_039758865.1, XP_039758409.1, XP_039758410.1		
N4.HOG0000250	OG0000061	n2							XP_039753921.1, XP_039754302.1, XP_039754300.1		
N4.HOG0000251	OG0000061	n21						XP_034830407.1			
N4.HOG0000252	OG0000061	n25						XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1			
N4.HOG0000253	OG0000062	n1						XP_034824319.1	XP_039749293.1		
N4.HOG0000254	OG0000062	n10						XP_034838466.1	XP_039748112.1, XP_039747853.1		
N4.HOG0000255	OG0000062	n28						XP_034838027.1	XP_039762066.1		
N4.HOG0000256	OG0000062	n29						XP_034838024.1	XP_039762169.1		
N4.HOG0000257	OG0000062	n30						XP_034838026.1	XP_039762064.1		
N4.HOG0000258	OG0000062	n31						XP_034838022.1	XP_039762065.1		
N4.HOG0000259	OG0000062	n32						XP_034838342.1	XP_039762167.1		
N4.HOG0000260	OG0000063	n1						XP_034826742.1	XP_039751621.1, XP_039751623.1		
N4.HOG0000261	OG0000063	n18						XP_034826743.1	XP_039751622.1		
N4.HOG0000262	OG0000063	n30						XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1	XP_039758398.1		
N4.HOG0000263	OG0000063	n39						XP_034830217.1	XP_039749990.1		
N4.HOG0000264	OG0000064	n1						XP_034831574.1	XP_039750964.1, XP_039750766.1		
N4.HOG0000265	OG0000064	n13						XP_034826614.1	XP_039757955.1		
