HOG	OG	Gene Tree Parent Clade	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
N2.HOG0000074	OG0000007	n20	Bany_04365-RA						XP_039754496.1		
N2.HOG0000075	OG0000007	n30	Bany_17822-RA					XP_034837123.1, XP_034837198.1	XP_039760528.1		
N2.HOG0000076	OG0000007	n44	Bany_18091-RA					XP_034837239.1, XP_034837071.1			
N2.HOG0000077	OG0000007	n50	Bany_18092-RA					XP_034837070.1	XP_039760566.1		
N2.HOG0000078	OG0000007	n54						XP_034837172.1	XP_039760400.1		
N2.HOG0000079	OG0000007	n66	Bany_03694-RA					XP_034840218.1			
N2.HOG0000080	OG0000007	n67	Bany_12803-RA, Bany_12804-RA					XP_034838053.1	XP_039762034.1		
N2.HOG0000081	OG0000007	n71	Bany_03692-RA, Bany_15248-RA, Bany_07460-RA								
N2.HOG0000082	OG0000007	n82	Bany_03693-RA					XP_034840808.1	XP_039764480.1		
N2.HOG0000083	OG0000007	n84	Bany_03690-RA						XP_039764478.1		
N2.HOG0000084	OG0000007	n100	Bany_17911-RA								
N2.HOG0000085	OG0000009	n2	Bany_06680-RA, Bany_06677-RA					XP_034838508.1, XP_034838400.1, XP_034838501.1, XP_034838500.1	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1		
N2.HOG0000086	OG0000009	n17						XP_034838399.1, XP_034838398.1	XP_039748430.1, XP_039748472.1		
N2.HOG0000087	OG0000009	n41	Bany_06759-RA, Bany_06744-RA, Bany_06755-RA, Bany_06746-RA					XP_034838668.1, XP_034838673.1, XP_034838674.1, XP_034838675.1, XP_034838665.1, XP_034838671.1, XP_034838672.1, XP_034838385.1	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1		
N2.HOG0000088	OG0000009	n78	Bany_06679-RA								
N2.HOG0000089	OG0000009	n79	Bany_06751-RA, Bany_06753-RA								
N2.HOG0000090	OG0000010	n31	Bany_07419-RA								
N2.HOG0000091	OG0000010	n46	Bany_03810-RA					XP_034837882.1	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1		
N2.HOG0000092	OG0000010	n52	Bany_12832-RA, Bany_07420-RA								
N2.HOG0000093	OG0000010	n58	Bany_12791-RA								
N2.HOG0000094	OG0000011	n1	Bany_13339-RA					XP_034832805.1	XP_039757162.1		
N2.HOG0000095	OG0000011	n13						XP_034832852.1	XP_039757108.1		
N2.HOG0000096	OG0000011	n21	Bany_13158-RA					XP_034832845.1	XP_039757385.1		
N2.HOG0000097	OG0000011	n29						XP_034833059.1, XP_034832568.1, XP_034832567.1	XP_039757384.1, XP_039757107.1, XP_039757124.1		
N2.HOG0000098	OG0000011	n35	Bany_13176-RA								
N2.HOG0000099	OG0000011	n39	Bany_13172-RA, Bany_13175-RA, Bany_13170-RA								
N2.HOG0000100	OG0000011	n46	Bany_13052-RA					XP_034832960.1, XP_034833028.1	XP_039757274.1		
N2.HOG0000101	OG0000011	n51	Bany_13051-RA					XP_034833030.1, XP_034833029.1			
N2.HOG0000102	OG0000011	n62	Bany_05712-RA, Bany_13053-RA					XP_034833025.1, XP_034832955.1	XP_039757277.1		
N2.HOG0000103	OG0000011	n86	Bany_13055-RA					XP_034832953.1, XP_034832961.1	XP_039757275.1		
N2.HOG0000104	OG0000012	n1	Bany_10581-RA								
N2.HOG0000105	OG0000012	n8	Bany_10588-RA								
N2.HOG0000106	OG0000012	n12	Bany_10591-RA								
N2.HOG0000107	OG0000012	n13	Bany_10586-RA, Bany_10587-RA								
N2.HOG0000108	OG0000012	n18	Bany_10596-RA								
N2.HOG0000109	OG0000012	n21	Bany_10593-RA								
N2.HOG0000110	OG0000012	n26	Bany_10595-RA, Bany_10594-RA, Bany_10590-RA								
N2.HOG0000111	OG0000012	n33	Bany_10585-RA								
N2.HOG0000112	OG0000012	n35	Bany_10592-RA								
N2.HOG0000113	OG0000012	n42	Bany_10603-RA, Bany_10627-RA								
N2.HOG0000114	OG0000012	n52	Bany_10607-RA								
N2.HOG0000115	OG0000012	n53	Bany_10582-RA, Bany_10583-RA								
N2.HOG0000116	OG0000012	n57	Bany_10615-RA								
N2.HOG0000117	OG0000012	n63	Bany_10610-RA						XP_039750455.1		
N2.HOG0000118	OG0000012	n66	Bany_10611-RA, Bany_10612-RA								
N2.HOG0000119	OG0000012	n71	Bany_10608-RA								
N2.HOG0000120	OG0000012	n73	Bany_10609-RA, Bany_10616-RA, Bany_10614-RA								
N2.HOG0000121	OG0000012	n82	Bany_10625-RA, Bany_10624-RA								
N2.HOG0000122	OG0000012	n84	Bany_10623-RA, Bany_10618-RA, Bany_10622-RA, Bany_10621-RA, Bany_10619-RA, Bany_10620-RA								
N2.HOG0000123	OG0000013	n6	Bany_03476-RA								
N2.HOG0000124	OG0000013	n7	Bany_17984-RA, Bany_00934-RA								
N2.HOG0000125	OG0000013	n14	Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA					XP_034830827.1			
N2.HOG0000126	OG0000013	n24	Bany_07407-RA								
N2.HOG0000127	OG0000013	n25	Bany_16888-RA								
N2.HOG0000128	OG0000013	n30	Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA					XP_034839862.1			
N2.HOG0000129	OG0000013	n43	Bany_11488-RA					XP_034839913.1, XP_034830013.1			
N2.HOG0000130	OG0000013	n48						XP_034837462.1, XP_034836352.1, XP_034827825.1, XP_034832179.1, XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1	XP_039764230.1, XP_039746104.1, XP_039746147.1		
N2.HOG0000131	OG0000013	n65	Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA					XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1			
N2.HOG0000132	OG0000013	n77	Bany_08606-RA								
N2.HOG0000133	OG0000016	n39							XP_039761457.1, XP_039760429.1		
N2.HOG0000134	OG0000016	n44							XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1		
N2.HOG0000135	OG0000016	n49						XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1	XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1		
N2.HOG0000136	OG0000016	n56						XP_034839614.1			
N2.HOG0000137	OG0000016	n59						XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1	XP_039745450.1, XP_039759548.1, XP_039761445.1		
N2.HOG0000138	OG0000016	n75							XP_039760421.1		
N2.HOG0000139	OG0000017	n2	Bany_02945-RA					XP_034828788.1, XP_034832231.1	XP_039764358.1		
N2.HOG0000140	OG0000017	n56	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA								
N2.HOG0000141	OG0000017	n64	Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA						XP_039748749.1		
N2.HOG0000142	OG0000018	n6						XP_034839317.1	XP_039752797.1		
N2.HOG0000143	OG0000018	n10	Bany_16974-RA					XP_034836233.1	XP_039760351.1		
N2.HOG0000144	OG0000018	n17						XP_034839247.1	XP_039752787.1		
N2.HOG0000145	OG0000018	n21							XP_039752828.1		
N2.HOG0000146	OG0000018	n23						XP_034839259.1, XP_034833257.1	XP_039752810.1, XP_039752824.1		
N2.HOG0000147	OG0000019	n1	Bany_12599-RA, Bany_12465-RA, Bany_00014-RA, Bany_12600-RA, Bany_16259-RA, Bany_16338-RA, Bany_16344-RA, Bany_16159-RA, Bany_06732-RA, Bany_12615-RA, Bany_12617-RA, Bany_12956-RA, Bany_12943-RA, Bany_12942-RA, Bany_14960-RA, Bany_16158-RA, Bany_16067-RA, Bany_16155-RA, Bany_16168-RA, Bany_16154-RA, Bany_16275-RA, Bany_12564-RA, Bany_12509-RA, Bany_12569-RA, Bany_12518-RA, Bany_12515-RA, Bany_12511-RA, Bany_16404-RA, Bany_16336-RA, Bany_12604-RA, Bany_16324-RA, Bany_12651-RA, Bany_12650-RA, Bany_12619-RA, Bany_12563-RA, Bany_16353-RA, Bany_17487-RA, Bany_16321-RA, Bany_16320-RA, Bany_02750-RA, Bany_08880-RA, Bany_16161-RA, Bany_16066-RA, Bany_08420-RA, Bany_17817-RA, Bany_16352-RA, Bany_16068-RA, Bany_12508-RA, Bany_12461-RA, Bany_16152-RA, Bany_16153-RA, Bany_16151-RA, Bany_12543-RA, Bany_12513-RA, Bany_12496-RA, Bany_12512-RA, Bany_12514-RA, Bany_12570-RA, Bany_12608-RA, Bany_13449-RA, Bany_12618-RA, Bany_12799-RA, Bany_16277-RA, Bany_16276-RA, Bany_12562-RA, Bany_08937-RA, Bany_15553-RA, Bany_11475-RA, Bany_16160-RA, Bany_09711-RA, Bany_12601-RA, Bany_12610-RA, Bany_12950-RA, Bany_12945-RA					XP_034824469.1	XP_039762413.1		
N2.HOG0000148	OG0000019	n76	Bany_12957-RA, Bany_12595-RA					XP_034838037.1			
N2.HOG0000149	OG0000020	n16	Bany_12772-RA					XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1		
N2.HOG0000150	OG0000020	n50	Bany_17011-RA					XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1	XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1		
N2.HOG0000151	OG0000020	n71	Bany_12664-RA, Bany_12667-RA								
N2.HOG0000152	OG0000021	n6						XP_034830035.1, XP_034835587.1, XP_034836339.1	XP_039763920.1, XP_039746712.1		
N2.HOG0000153	OG0000021	n11	Bany_12775-RA					XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1	XP_039757893.1, XP_039754386.1, XP_039764088.1, XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1		
N2.HOG0000154	OG0000021	n24						XP_034837857.1, XP_034833713.1			
N2.HOG0000155	OG0000021	n28							XP_039760392.1		
N2.HOG0000156	OG0000021	n29							XP_039750867.1, XP_039749157.1, XP_039749098.1, XP_039751427.1, XP_039754626.1, XP_039765547.1, XP_039746166.1, XP_039764907.1, XP_039762383.1, XP_039761554.1, XP_039759837.1, XP_039762160.1, XP_039757159.1, XP_039756236.1, XP_039755859.1, XP_039749062.1, XP_039751697.1, XP_039747748.1, XP_039745313.1, XP_039751534.1, XP_039751398.1, XP_039751591.1, XP_039752615.1, XP_039753758.1, XP_039755644.1, XP_039755825.1, XP_039756555.1, XP_039758311.1, XP_039759241.1, XP_039745055.1, XP_039762908.1, XP_039762090.1, XP_039763847.1, XP_039763990.1, XP_039763899.1, XP_039761717.1, XP_039758093.1		
N2.HOG0000157	OG0000021	n69						XP_034827881.1, XP_034840153.1	XP_039759637.1, XP_039751439.1		
N2.HOG0000158	OG0000022	n1	Bany_00839-RA					XP_034840993.1	XP_039765727.1		
N2.HOG0000159	OG0000022	n9						XP_034824109.1	XP_039765296.1		
N2.HOG0000160	OG0000022	n16	Bany_16283-RA					XP_034839051.1	XP_039762875.1		
N2.HOG0000161	OG0000022	n22						XP_034839055.1	XP_039762709.1		
N2.HOG0000162	OG0000022	n28						XP_034824108.1	XP_039765728.1		
N2.HOG0000163	OG0000022	n36	Bany_17573-RA					XP_034836910.1	XP_039761167.1		
N2.HOG0000164	OG0000022	n50						XP_034826464.1	XP_039747684.1		
N2.HOG0000165	OG0000022	n55							XP_039751415.1		
N2.HOG0000166	OG0000022	n59						XP_034826465.1			
N2.HOG0000167	OG0000022	n61						XP_034826667.1	XP_039750917.1, XP_039752986.1		
N2.HOG0000168	OG0000022	n70	Bany_01876-RA								
N2.HOG0000169	OG0000022	n72	Bany_01804-RA, Bany_16373-RA								
N2.HOG0000170	OG0000023	n4	Bany_10369-RA, Bany_10129-RA					XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1	XP_039755787.1, XP_039761864.1, XP_039763079.1		
N2.HOG0000171	OG0000023	n13	Bany_05735-RA, Bany_10428-RA						XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1		
N2.HOG0000172	OG0000023	n24						XP_034833642.1			
N2.HOG0000173	OG0000023	n34	Bany_04357-RA								
N2.HOG0000174	OG0000023	n39	Bany_17087-RA						XP_039745421.1, XP_039753381.1		
N2.HOG0000175	OG0000023	n46							XP_039760398.1		
N2.HOG0000176	OG0000023	n64						XP_034824447.1	XP_039760327.1, XP_039758834.1, XP_039746209.1		
N2.HOG0000177	OG0000024	n10	Bany_07796-RA						XP_039763211.1		
N2.HOG0000178	OG0000024	n11	Bany_07225-RA, Bany_07782-RA					XP_034831723.1	XP_039753156.1		
N2.HOG0000179	OG0000024	n14	Bany_07835-RA, Bany_07747-RA, Bany_07887-RA						XP_039763722.1		
N2.HOG0000180	OG0000024	n17	Bany_08738-RA								
N2.HOG0000181	OG0000024	n19	Bany_08737-RA, Bany_08736-RA						XP_039753155.1		
N2.HOG0000182	OG0000025	n1	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA					XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1		
N2.HOG0000183	OG0000025	n42	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA					XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1, XP_034838505.1	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1		
N2.HOG0000184	OG0000026	n4						XP_034837742.1, XP_034839914.1, XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1	XP_039750797.1, XP_039761461.1, XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1		
N2.HOG0000185	OG0000026	n21	Bany_00115-RA						XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1		
N2.HOG0000186	OG0000028	n11	Bany_14270-RA, Bany_14337-RA					XP_034826918.1, XP_034826917.1	XP_039756644.1		
N2.HOG0000187	OG0000028	n15	Bany_14336-RA					XP_034834764.1, XP_034834919.1, XP_034834728.1	XP_039756364.1, XP_039756209.1, XP_039756129.1		
N2.HOG0000188	OG0000028	n21	Bany_14338-RA, Bany_14339-RA					XP_034834729.1, XP_034834730.1, XP_034834731.1	XP_039756114.1, XP_039756115.1		
N2.HOG0000189	OG0000028	n27	Bany_14335-RA								
N2.HOG0000190	OG0000028	n46	Bany_07987-RA					XP_034830316.1	XP_039754209.1		
N2.HOG0000191	OG0000028	n48	Bany_01182-RA					XP_034828236.1	XP_039752265.1		
N2.HOG0000192	OG0000029	n1	Bany_01625-RA					XP_034827860.1	XP_039751951.1		
N2.HOG0000193	OG0000029	n35	Bany_01626-RA					XP_034827780.1, XP_034827861.1, XP_034827854.1	XP_039752755.1		
N2.HOG0000194	OG0000029	n43	Bany_00663-RA, Bany_00664-RA					XP_034841164.1	XP_039745529.1		
N2.HOG0000195	OG0000029	n54						XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1	XP_039745528.1		
N2.HOG0000196	OG0000029	n64	Bany_06091-RA						XP_039745420.1, XP_039745525.1		
N2.HOG0000197	OG0000030	n0	Bany_15771-RA								
N2.HOG0000198	OG0000031	n1	Bany_03256-RA					XP_034832420.1	XP_039753010.1		
N2.HOG0000199	OG0000031	n16	Bany_18042-RA								
N2.HOG0000200	OG0000031	n58	Bany_11193-RA								
N2.HOG0000201	OG0000032	n2	Bany_00996-RA					XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1	XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1, XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1, XP_039758874.1, XP_039764419.1, XP_039749234.1		
N2.HOG0000202	OG0000032	n25	Bany_08618-RA, Bany_04078-RA, Bany_12187-RA, Bany_05278-RA					XP_034837854.1			
N2.HOG0000203	OG0000032	n35	Bany_16255-RA, Bany_08768-RA								
N2.HOG0000204	OG0000032	n38	Bany_08457-RA, Bany_05258-RA, Bany_05674-RA					XP_034832603.1			
N2.HOG0000205	OG0000032	n41	Bany_14909-RA, Bany_07405-RA					XP_034839638.1	XP_039763077.1, XP_039764294.1		
N2.HOG0000206	OG0000032	n49	Bany_17242-RA, Bany_16906-RA, Bany_09161-RA, Bany_13902-RA, Bany_08322-RA								
N2.HOG0000207	OG0000032	n54	Bany_12629-RA					XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1	XP_039757087.1		
N2.HOG0000208	OG0000034	n2						XP_034825265.1	XP_039746294.1		
N2.HOG0000209	OG0000034	n7	Bany_05845-RA					XP_034825411.1	XP_039746452.1		
N2.HOG0000210	OG0000034	n14	Bany_05846-RA, Bany_05861-RA					XP_034825410.1, XP_034825408.1, XP_034825409.1			
N2.HOG0000211	OG0000034	n24	Bany_05253-RA					XP_034825541.1	XP_039746103.1		
N2.HOG0000212	OG0000034	n33	Bany_05243-RA					XP_034825327.1, XP_034825329.1, XP_034825328.1	XP_039746398.1		
N2.HOG0000213	OG0000034	n45	Bany_05248-RA					XP_034825435.1	XP_039746268.1		
N2.HOG0000214	OG0000035	n6	Bany_02371-RA								
N2.HOG0000215	OG0000035	n8	Bany_01586-RA, Bany_17576-RA								
N2.HOG0000216	OG0000035	n11	Bany_00397-RA								
N2.HOG0000217	OG0000035	n12	Bany_17488-RA								
N2.HOG0000218	OG0000035	n16	Bany_07002-RA, Bany_10949-RA, Bany_17092-RA, Bany_12724-RA, Bany_09887-RA, Bany_13908-RA, Bany_12281-RA								
N2.HOG0000219	OG0000035	n25	Bany_11755-RA, Bany_13020-RA								
N2.HOG0000220	OG0000035	n28	Bany_03344-RA								
N2.HOG0000221	OG0000035	n35	Bany_05654-RA, Bany_04896-RA, Bany_13984-RA								
N2.HOG0000222	OG0000035	n38	Bany_05682-RA, Bany_01945-RA								
N2.HOG0000223	OG0000035	n43	Bany_10143-RA, Bany_04488-RA, Bany_01051-RA, Bany_18095-RA, Bany_17278-RA								
N2.HOG0000224	OG0000035	n57	Bany_07608-RA, Bany_15639-RA, Bany_12581-RA								
N2.HOG0000225	OG0000036	n6	Bany_07167-RA, Bany_18121-RA								
N2.HOG0000226	OG0000036	n10						XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1	XP_039758863.1, XP_039751950.1		
