Orthogroup	Vanessa_tameamea	Maniola_hyperantus
OG0000032	XP_026499980.1	XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1
OG0000034	XP_026491775.1	XP_034825265.1
OG0000034	XP_026491689.1	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	XP_026491466.1	XP_034825541.1
OG0000034	XP_026491224.1	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	XP_034825435.1
OG0000036	XP_026488619.1	XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1
OG0000036	XP_026499962.1	XP_034833570.1
OG0000037	XP_026500143.1, XP_026495175.1	XP_034824832.1
OG0000038	XP_026490184.1	XP_034826459.1
OG0000038	XP_026490183.1	XP_034826460.1
OG0000039	XP_026488878.1, XP_026488879.1	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1
OG0000040	XP_026499742.1	XP_034828815.1, XP_034837060.1, XP_034833564.1, XP_034837813.1, XP_034837824.1, XP_034836883.1, XP_034840797.1, XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1, XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1
OG0000041	XP_026490916.1	XP_034835173.1
OG0000041	XP_026491898.1, XP_026483601.1	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1
OG0000041	XP_026497785.1	XP_034826598.1, XP_034826593.1
OG0000041	XP_026497751.1	XP_034826600.1
OG0000045	XP_026485346.1	XP_034828902.1
OG0000045	XP_026489199.1	XP_034830124.1
OG0000045	XP_026493800.1, XP_026493802.1	XP_034837040.1
OG0000046	XP_026496278.1	XP_034829226.1
OG0000046	XP_026496280.1	XP_034829225.1
OG0000048	XP_026490402.1, XP_026501042.1	XP_034824744.1
OG0000049	XP_026484586.1	XP_034826808.1
OG0000049	XP_026485111.1	XP_034826796.1, XP_034826810.1
OG0000049	XP_026491363.1	XP_034827036.1
OG0000050	XP_026501017.1	XP_034834926.1
OG0000050	XP_026500975.1, XP_026500978.1, XP_026500979.1	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1
OG0000053	XP_026497060.1	XP_034836880.1
OG0000053	XP_026497094.1	XP_034836873.1
OG0000053	XP_026497148.1, XP_026497147.1	XP_034836855.1, XP_034836849.1
OG0000053	XP_026497076.1, XP_026497075.1	XP_034836907.1
OG0000053	XP_026497149.1	XP_034836863.1
OG0000054	XP_026492237.1	XP_034831832.1
OG0000056	XP_026498825.1	XP_034837121.1
OG0000057	XP_026496531.1	XP_034835052.1
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1	XP_034824341.1, XP_034824712.1
OG0000058	XP_026489850.1, XP_026492925.1	XP_034826643.1, XP_034830106.1
OG0000058	XP_026490603.1	XP_034834921.1, XP_034826968.1
OG0000059	XP_026497961.1, XP_026501315.1	XP_034834965.1, XP_034833954.1, XP_034834180.1, XP_034840031.1, XP_034839507.1
OG0000059	XP_026491881.1	XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1
OG0000060	XP_026493438.1, XP_026493441.1	XP_034833415.1
OG0000061	XP_026496799.1, XP_026496786.1	XP_034830407.1
OG0000062	XP_026486062.1	XP_034824319.1
OG0000062	XP_026483731.1	XP_034838466.1
OG0000062	XP_026493053.1, XP_026493052.1, XP_026499492.1	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1
OG0000063	XP_026483335.1, XP_026483375.1	XP_034826742.1
OG0000063	XP_026483353.1	XP_034826743.1
OG0000063	XP_026493090.1	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1
OG0000064	XP_026497737.1, XP_026491802.1	XP_034831574.1
OG0000064	XP_026492258.1	XP_034826614.1
OG0000066	XP_026500159.1	XP_034836237.1, XP_034836074.1, XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	XP_026499417.1	XP_034826553.1, XP_034825998.1
OG0000067	XP_026492031.1	XP_034836359.1, XP_034836360.1
OG0000068	XP_026494442.1	XP_034826565.1, XP_034826563.1
OG0000069	XP_026489035.1	XP_034827836.1, XP_034827837.1, XP_034827503.1
OG0000071	XP_026492973.1	XP_034832601.1
OG0000073	XP_026488168.1, XP_026488091.1, XP_026488023.1	XP_034827345.1
OG0000073	XP_026501251.1, XP_026501242.1	XP_034827002.1
OG0000073	XP_026483469.1	XP_034827001.1
OG0000075	XP_026487164.1	XP_034830498.1
OG0000075	XP_026488107.1	XP_034830943.1
OG0000075	XP_026488301.1, XP_026488302.1	XP_034830541.1
OG0000076	XP_026490686.1	XP_034838983.1
OG0000077	XP_026485880.1	XP_034824753.1
OG0000077	XP_026485945.1, XP_026485951.1	XP_034824755.1
OG0000077	XP_026485942.1	XP_034824575.1
OG0000078	XP_026497763.1, XP_026497768.1	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1, XP_034827858.1, XP_034833688.1
OG0000079	XP_026485855.1	XP_034830103.1, XP_034830100.1, XP_034830101.1
OG0000080	XP_026485596.1	XP_034840379.1, XP_034837725.1, XP_034827807.1, XP_034831579.1, XP_034830025.1
OG0000081	XP_026499487.1, XP_026486537.1, XP_026500021.1	XP_034839847.1, XP_034825621.1
OG0000081	XP_026491027.1	XP_034831557.1
OG0000081	XP_026493409.1	XP_034832758.1
OG0000082	XP_026484136.1	XP_034837737.1
OG0000082	XP_026484147.1	XP_034837495.1
OG0000082	XP_026484166.1	XP_034837708.1
OG0000082	XP_026484161.1	XP_034837588.1
OG0000083	XP_026498756.1	XP_034837077.1
OG0000083	XP_026498757.1	XP_034837435.1, XP_034837073.1, XP_034837074.1
OG0000084	XP_026492846.1	XP_034829605.1
OG0000085	XP_026496424.1	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1
OG0000085	XP_026496275.1	XP_034829482.1, XP_034829481.1
OG0000088	XP_026483148.1	XP_034838855.1
OG0000088	XP_026489494.1	XP_034826751.1
OG0000090	XP_026490095.1	XP_034824729.1
OG0000091	XP_026496136.1	XP_034839852.1, XP_034835586.1
OG0000092	XP_026488296.1	XP_034830971.1
OG0000093	XP_026483919.1, XP_026483920.1	XP_034837580.1
OG0000093	XP_026483917.1	XP_034837597.1
OG0000093	XP_026484027.1, XP_026484028.1	XP_034837561.1
OG0000094	XP_026488555.1	XP_034826064.1, XP_034826549.1
OG0000094	XP_026492024.1	XP_034826299.1, XP_034826552.1
OG0000095	XP_026484614.1, XP_026484892.1	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	XP_026498766.1	XP_034826970.1, XP_034826971.1
OG0000096	XP_026489765.1, XP_026489764.1	XP_034826805.1
OG0000096	XP_026498776.1, XP_026498782.1	XP_034826807.1, XP_034826966.1
OG0000097	XP_026498905.1, XP_026498928.1	XP_034832726.1
OG0000098	XP_026498603.1	XP_034828987.1
OG0000100	XP_026495781.1	XP_034834955.1
OG0000100	XP_026495693.1	XP_034834638.1
OG0000101	XP_026493040.1, XP_026493038.1	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000101	XP_026493188.1	XP_034833313.1
OG0000102	XP_026489046.1	XP_034827509.1
OG0000103	XP_026498404.1, XP_026498400.1, XP_026498403.1	XP_034827721.1
OG0000109	XP_026497980.1	XP_034830465.1
OG0000110	XP_026488961.1, XP_026488962.1	XP_034828312.1
OG0000110	XP_026489019.1	XP_034827561.1
OG0000110	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1	XP_034828311.1
OG0000111	XP_026485541.1	XP_034828844.1
OG0000111	XP_026486198.1	XP_034824587.1
OG0000111	XP_026485801.1	XP_034824425.1
OG0000111	XP_026486121.1	XP_034824419.1
OG0000112	XP_026488156.1	XP_034824987.1
OG0000112	XP_026488169.1	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1
OG0000113	XP_026498858.1	XP_034838911.1
OG0000113	XP_026486407.1	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	XP_026488859.1	XP_034827802.1, XP_034827577.1
OG0000115	XP_026494479.1	XP_034825883.1
OG0000115	XP_026500251.1, XP_026500243.1	XP_034827053.1
OG0000115	XP_026494478.1	XP_034825882.1
OG0000116	XP_026486128.1	XP_034824340.1
OG0000116	XP_026489146.1	XP_034830236.1
OG0000116	XP_026494070.1	XP_034837001.1
OG0000116	XP_026496653.1	XP_034839409.1
OG0000117	XP_026488567.1	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	XP_026488566.1	XP_034828156.1, XP_034828155.1
OG0000118	XP_026501071.1, XP_026490964.1	XP_034839973.1
OG0000119	XP_026496437.1	XP_034829501.1, XP_034829502.1, XP_034828936.1, XP_034828937.1, XP_034828935.1, XP_034829499.1, XP_034828938.1, XP_034829497.1, XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1, XP_034829500.1
OG0000122	XP_026499961.1	XP_034830824.1
OG0000124	XP_026492747.1	XP_034835580.1
OG0000124	XP_026492758.1	XP_034835582.1
OG0000125	XP_026491913.1	XP_034825845.1
OG0000125	XP_026491928.1	XP_034825844.1, XP_034825846.1
OG0000128	XP_026494344.1	XP_034835222.1
OG0000128	XP_026494318.1	XP_034835626.1, XP_034835625.1
OG0000128	XP_026494332.1	XP_034835270.1
OG0000129	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1
OG0000131	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1	XP_034837858.1, XP_034838212.1
OG0000132	XP_026489619.1, XP_026489627.1	XP_034834241.1, XP_034833542.1
OG0000133	XP_026500939.1	XP_034838137.1
OG0000134	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1	XP_034825942.1
OG0000134	XP_026497731.1	XP_034826234.1
OG0000134	XP_026500779.1	XP_034825941.1
OG0000137	XP_026484810.1	XP_034840852.1, XP_034840854.1, XP_034840850.1, XP_034840851.1
OG0000138	XP_026488759.1, XP_026488751.1	XP_034840957.1, XP_034840968.1
OG0000138	XP_026488768.1	XP_034823988.1, XP_034823996.1
OG0000139	XP_026500945.1	XP_034833832.1
OG0000139	XP_026500227.1	XP_034835919.1
OG0000139	XP_026489675.1	XP_034833962.1
OG0000140	XP_026486064.1	XP_034836898.1
OG0000140	XP_026486773.1	XP_034836751.1
OG0000140	XP_026486075.1	XP_034836899.1
OG0000140	XP_026486054.1	XP_034836915.1
OG0000141	XP_026496357.1, XP_026496430.1	XP_034829113.1, XP_034829114.1
OG0000142	XP_026483563.1	XP_034827901.1
OG0000142	XP_026483566.1	XP_034827778.1
OG0000142	XP_026483561.1	XP_034827898.1
OG0000143	XP_026488575.1, XP_026488573.1	XP_034827819.1
OG0000143	XP_026488574.1	XP_034827875.1, XP_034827552.1
OG0000144	XP_026493139.1	XP_034833620.1, XP_034833621.1, XP_034833240.1
OG0000144	XP_026493387.1	XP_034833202.1
OG0000145	XP_026488455.1	XP_034830807.1, XP_034830804.1, XP_034830805.1
OG0000147	XP_026493246.1, XP_026493247.1	XP_034833225.1, XP_034833224.1
OG0000147	XP_026493400.1	XP_034833227.1, XP_034830230.1
OG0000149	XP_026485425.1	XP_034828465.1
OG0000149	XP_026484245.1	XP_034829851.1
OG0000149	XP_026492839.1	XP_034829950.1
OG0000152	XP_026493650.1	XP_034833337.1
OG0000152	XP_026493647.1	XP_034833675.1
OG0000153	XP_026486667.1	XP_034830680.1
OG0000154	XP_026493590.1, XP_026493568.1	XP_034836981.1
OG0000155	XP_026497534.1	XP_034836186.1
OG0000156	XP_026497267.1, XP_026496199.1, XP_026499976.1	XP_034835010.1
OG0000162	XP_026495429.1, XP_026495426.1, XP_026499500.1	XP_034835629.1, XP_034835505.1
OG0000162	XP_026499499.1	XP_034835633.1
OG0000163	XP_026494611.1	XP_034835691.1, XP_034835688.1
OG0000164	XP_026483367.1	XP_034837112.1, XP_034827829.1
OG0000165	XP_026491300.1	XP_034825339.1
OG0000166	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1	XP_034833378.1
OG0000166	XP_026493524.1, XP_026493522.1, XP_026493525.1	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	XP_026490816.1	XP_034830390.1
OG0000167	XP_026483730.1	XP_034838582.1
OG0000169	XP_026493199.1	XP_034835310.1
OG0000169	XP_026493187.1	XP_034835217.1
OG0000169	XP_026493039.1	XP_034835563.1
OG0000170	XP_026489549.1	XP_034833640.1, XP_034833641.1
OG0000171	XP_026483589.1	XP_034827023.1
OG0000171	XP_026483600.1	XP_034827103.1
OG0000172	XP_026487122.1	XP_034827882.1, XP_034827883.1
OG0000172	XP_026499901.1	XP_034827884.1
OG0000172	XP_026501368.1	XP_034827893.1
OG0000174	XP_026487863.1	XP_034837309.1
OG0000174	XP_026499849.1	XP_034839773.1
OG0000175	XP_026492931.1	XP_034837022.1, XP_034837023.1
OG0000175	XP_026489948.1, XP_026489949.1	XP_034840446.1
OG0000175	XP_026492115.1	XP_034832261.1
OG0000178	XP_026501824.1	XP_034836827.1
OG0000178	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1	XP_034836823.1
OG0000179	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1
OG0000180	XP_026500685.1	XP_034832218.1
OG0000181	XP_026487965.1, XP_026487964.1, XP_026487952.1, XP_026487961.1	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	XP_026490062.1	XP_034824717.1
OG0000183	XP_026493134.1, XP_026493142.1	XP_034835115.1
OG0000183	XP_026491498.1	XP_034825260.1
OG0000184	XP_026499472.1	XP_034824593.1
OG0000184	XP_026485414.1	XP_034828820.1
OG0000184	XP_026485484.1	XP_034828761.1
OG0000185	XP_026494681.1	XP_034832652.1
OG0000185	XP_026494606.1, XP_026494683.1	XP_034832653.1, XP_034832651.1
OG0000186	XP_026488639.1	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	XP_026483320.1	XP_034827454.1
OG0000187	XP_026483321.1	XP_034827784.1, XP_034827465.1
OG0000189	XP_026486864.1	XP_034831348.1
OG0000189	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1	XP_034831349.1
OG0000190	XP_026485321.1	XP_034828527.1
OG0000191	XP_026488824.1, XP_026488828.1	XP_034839817.1
OG0000193	XP_026485379.1	XP_034828385.1
OG0000193	XP_026485410.1	XP_034828838.1
OG0000193	XP_026485291.1	XP_034828613.1
OG0000196	XP_026487864.1	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	XP_026486620.1, XP_026486619.1	XP_034835441.1, XP_034835445.1
OG0000197	XP_026484969.1, XP_026484968.1, XP_026484966.1	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	XP_026494933.1	XP_034840531.1, XP_034840532.1
OG0000198	XP_026501551.1	XP_034839995.1
OG0000199	XP_026501309.1	XP_034839636.1
OG0000199	XP_026486145.1	XP_034839171.1, XP_034837850.1
OG0000200	XP_026488475.1	XP_034830828.1, XP_034830291.1
OG0000201	XP_026486827.1, XP_026486826.1	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000203	XP_026487162.1	XP_034830571.1
OG0000205	XP_026496344.1	XP_034829187.1
OG0000205	XP_026496328.1	XP_034826972.1, XP_034826958.1, XP_034826957.1
OG0000206	XP_026483159.1	XP_034838830.1, XP_034839065.1
OG0000208	XP_026489321.1, XP_026498785.1	XP_034841203.1, XP_034841212.1
OG0000208	XP_026489345.1, XP_026498784.1	XP_034831041.1
OG0000209	XP_026490392.1	XP_034836601.1
OG0000209	XP_026486988.1	XP_034831212.1
OG0000210	XP_026492865.1	XP_034827061.1
OG0000210	XP_026501168.1	XP_034827269.1, XP_034827331.1
OG0000210	XP_026501529.1	XP_034827268.1
OG0000212	XP_026497545.1	XP_034824811.1
OG0000212	XP_026485908.1	XP_034824810.1
OG0000212	XP_026485827.1	XP_034824322.1
OG0000213	XP_026485069.1	XP_034841107.1
OG0000213	XP_026485071.1	XP_034841109.1
OG0000213	XP_026484522.1	XP_034841116.1
OG0000214	XP_026483703.1, XP_026483711.1	XP_034827179.1
OG0000215	XP_026491895.1	XP_034826616.1, XP_034826619.1, XP_034826617.1
OG0000215	XP_026491785.1	XP_034825574.1
OG0000215	XP_026491875.1	XP_034826618.1
OG0000216	XP_026485745.1, XP_026485749.1	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1
OG0000217	XP_026494731.1	XP_034833550.1
OG0000217	XP_026494771.1	XP_034832132.1, XP_034831727.1
OG0000218	XP_026494855.1	XP_034840404.1, XP_034840405.1
OG0000219	XP_026500081.1	XP_034826674.1
OG0000220	XP_026486150.1	XP_034824239.1, XP_034832563.1, XP_034832460.1
OG0000220	XP_026486313.1	XP_034824238.1
OG0000221	XP_026486244.1	XP_034824881.1, XP_034824880.1
OG0000221	XP_026486245.1, XP_026486247.1	XP_034824251.1
OG0000221	XP_026486248.1	XP_034824882.1, XP_034837734.1
OG0000222	XP_026483158.1	XP_034838829.1
OG0000222	XP_026483160.1	XP_034838833.1, XP_034838832.1
OG0000228	XP_026483737.1	XP_034838358.1
OG0000228	XP_026499496.1	XP_034838346.1, XP_034838347.1
OG0000229	XP_026489655.1	XP_034834094.1
OG0000229	XP_026486610.1	XP_034832472.1
OG0000230	XP_026496664.1	XP_034830126.1
OG0000230	XP_026489382.1	XP_034838272.1
OG0000230	XP_026496864.1	XP_034830058.1
OG0000231	XP_026488937.1	XP_034827788.1
OG0000233	XP_026485758.1	XP_034824533.1, XP_034824532.1
OG0000233	XP_026486210.1, XP_026486211.1, XP_026486209.1	XP_034824539.1, XP_034824540.1, XP_034824538.1, XP_034824537.1
OG0000234	XP_026483729.1, XP_026489181.1	XP_034838523.1
OG0000235	XP_026491220.1, XP_026491221.1	XP_034825165.1
OG0000235	XP_026491492.1, XP_026491491.1	XP_034825698.1, XP_034825699.1, XP_034825700.1
OG0000236	XP_026486956.1, XP_026486957.1, XP_026486958.1	XP_034831322.1
OG0000236	XP_026486884.1	XP_034831587.1, XP_034831148.1
OG0000237	XP_026498172.1	XP_034833180.1
OG0000237	XP_026498184.1	XP_034833635.1
OG0000237	XP_026498191.1	XP_034833124.1
OG0000238	XP_026501419.1, XP_026501420.1	XP_034840526.1, XP_034840527.1
OG0000238	XP_026500089.1	XP_034826156.1, XP_034826684.1
OG0000239	XP_026490889.1	XP_034830631.1
OG0000239	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1	XP_034830633.1, XP_034830635.1, XP_034830636.1, XP_034830634.1
OG0000245	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1	XP_034830815.1, XP_034832174.1, XP_034837443.1
OG0000246	XP_026498593.1	XP_034829444.1
OG0000247	XP_026497474.1	XP_034836061.1
OG0000247	XP_026497455.1	XP_034836052.1
OG0000248	XP_026483522.1	XP_034827678.1
OG0000248	XP_026483488.1, XP_026483487.1	XP_034828141.1
OG0000249	XP_026496110.1	XP_034836348.1
OG0000249	XP_026496131.1	XP_034836346.1, XP_034836347.1
OG0000250	XP_026483565.1	XP_034827688.1
OG0000250	XP_026483536.1	XP_034827686.1
OG0000253	XP_026496141.1	XP_034839930.1
OG0000254	XP_026483657.1	XP_034838643.1
OG0000255	XP_026500405.1	XP_034826982.1, XP_034826991.1
OG0000256	XP_026498851.1	XP_034836342.1, XP_034837875.1, XP_034831543.1, XP_034836891.1, XP_034837943.1, XP_034836874.1, XP_034836305.1
OG0000256	XP_026496954.1	XP_034836323.1, XP_034836283.1, XP_034841123.1
OG0000257	XP_026496860.1	XP_034829640.1
OG0000257	XP_026490765.1, XP_026490754.1	XP_034828074.1
OG0000258	XP_026491836.1	XP_034836671.1
OG0000259	XP_026498189.1	XP_034833629.1
OG0000259	XP_026493390.1	XP_034833614.1
OG0000260	XP_026483812.1, XP_026483811.1	XP_034838428.1
OG0000260	XP_026483815.1	XP_034838425.1
OG0000262	XP_026494163.1	XP_034833708.1
OG0000262	XP_026494162.1	XP_034834186.1
OG0000263	XP_026499494.1	XP_034838033.1, XP_034838344.1, XP_034838028.1, XP_034838020.1, XP_034838030.1, XP_034838343.1, XP_034838031.1, XP_034838032.1
OG0000264	XP_026485844.1	XP_034824607.1
OG0000264	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1	XP_034824374.1, XP_034824373.1, XP_034824372.1
OG0000271	XP_026484010.1, XP_026484163.1	XP_034837668.1, XP_034837709.1, XP_034837711.1, XP_034837710.1
OG0000272	XP_026485265.1, XP_026492748.1	XP_034825898.1, XP_034825899.1
OG0000273	XP_026485334.1	XP_034828712.1, XP_034840815.1
OG0000273	XP_026485332.1	XP_034828390.1, XP_034828389.1
OG0000274	XP_026487935.1	XP_034832667.1
OG0000274	XP_026495488.1	XP_034832728.1
OG0000275	XP_026493303.1	XP_034833587.1, XP_034833586.1
OG0000275	XP_026493304.1	XP_034833585.1
OG0000276	XP_026501114.1	XP_034823994.1, XP_034823993.1
OG0000277	XP_026498961.1	XP_034830350.1
OG0000277	XP_026498960.1	XP_034830484.1
OG0000278	XP_026501087.1	XP_034841195.1
OG0000279	XP_026488697.1	XP_034829408.1
OG0000279	XP_026488699.1, XP_026488698.1, XP_026488700.1	XP_034829232.1
OG0000280	XP_026495777.1	XP_034834581.1, XP_034834582.1, XP_034834964.1
OG0000281	XP_026495147.1	XP_034840575.1, XP_034840576.1
OG0000281	XP_026490252.1	XP_034832173.1
OG0000281	XP_026495854.1	XP_034834590.1
OG0000282	XP_026498322.1, XP_026498320.1	XP_034827566.1, XP_034835617.1
OG0000283	XP_026485933.1	XP_034824564.1
OG0000283	XP_026485941.1	XP_034824578.1
OG0000283	XP_026485936.1	XP_034824572.1
OG0000284	XP_026484419.1	XP_034824087.1
OG0000284	XP_026484418.1, XP_026484863.1	XP_034841364.1
