Orthogroup	Vanessa_tameamea	Junonia_coenia
OG0000029	XP_026485194.1, XP_026485192.1	JC_00252-RA, JC_00249-RA, JC_12809-RA
OG0000031	XP_026499704.1, XP_026499703.1	JC_07638-RA
OG0000032	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1	JC_08098-RA
OG0000032	XP_026499980.1	JC_15112-RA
OG0000034	XP_026491775.1	JC_02761-RA
OG0000034	XP_026491689.1	JC_02760-RA
OG0000034	XP_026491466.1	JC_02341-RA
OG0000034	XP_026491224.1	JC_02354-RA
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	JC_02348-RA, JC_02347-RA
OG0000036	XP_026487154.1, XP_026488619.1, XP_026499962.1	JC_14663-RA
OG0000037	XP_026500143.1	JC_15113-RA
OG0000038	XP_026490184.1	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA
OG0000038	XP_026490183.1	JC_14539-RA
OG0000039	XP_026488878.1, XP_026488879.1	JC_12161-RA, JC_12165-RA
OG0000039	XP_026488881.1	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA
OG0000040	XP_026499742.1	JC_11683-RA, JC_07552-RA, JC_00269-RA
OG0000041	XP_026490916.1	JC_09842-RA
OG0000045	XP_026485346.1	JC_06642-RA
OG0000045	XP_026489199.1	JC_09127-RA
OG0000045	XP_026493800.1, XP_026493802.1	JC_15568-RA, JC_15572-RA
OG0000046	XP_026496278.1	JC_05584-RA
OG0000048	XP_026494057.1	JC_00039-RA, JC_04995-RA, JC_03035-RA, JC_11358-RA, JC_03645-RA, JC_15660-RA, JC_11945-RA, JC_15167-RA, JC_14135-RA, JC_15415-RA, JC_04809-RA, JC_17159-RA, JC_08103-RA, JC_16142-RA, JC_09989-RA, JC_10760-RA
OG0000048	XP_026490402.1	JC_10761-RA
OG0000048	XP_026501042.1	JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA
OG0000049	XP_026485111.1	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA
OG0000049	XP_026491363.1	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA
OG0000050	XP_026501017.1	JC_10512-RA
OG0000050	XP_026500975.1, XP_026500978.1, XP_026500979.1	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA
OG0000052	XP_026487271.1	JC_01097-RA
OG0000053	XP_026497060.1	JC_00967-RA
OG0000053	XP_026497094.1	JC_00969-RA
OG0000053	XP_026497148.1, XP_026497147.1	JC_00971-RA
OG0000053	XP_026497149.1	JC_00972-RA
OG0000054	XP_026492237.1	JC_07335-RA
OG0000056	XP_026499964.1, XP_026498826.1	JC_14900-RA
OG0000057	XP_026496531.1	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	XP_026496524.1	JC_10437-RA
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1	JC_04526-RA
OG0000057	XP_026499470.1	JC_04525-RA
OG0000058	XP_026490603.1	JC_06466-RA
OG0000060	XP_026493441.1	JC_05725-RA
OG0000061	XP_026488092.1, XP_026496799.1, XP_026496786.1, XP_026488110.1	JC_03624-RA
OG0000061	XP_026488120.1	JC_03619-RA
OG0000061	XP_026488093.1	JC_03620-RA
OG0000062	XP_026486062.1	JC_05075-RA
OG0000062	XP_026493052.1	JC_17018-RA
OG0000062	XP_026499492.1	JC_17012-RA
OG0000063	XP_026483335.1, XP_026483375.1	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000063	XP_026483353.1	JC_09784-RA, JC_09386-RA
OG0000063	XP_026493090.1	JC_05993-RA
OG0000066	XP_026500159.1	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA
OG0000067	XP_026499417.1	JC_13668-RA
OG0000068	XP_026494442.1	JC_14221-RA
OG0000069	XP_026489035.1	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA, JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA
OG0000071	XP_026492973.1	JC_11424-RA
OG0000073	XP_026488168.1, XP_026488091.1, XP_026488023.1	JC_09483-RA
OG0000073	XP_026501251.1, XP_026501242.1	JC_09579-RA
OG0000073	XP_026483469.1	JC_09593-RA, JC_09587-RA
OG0000075	XP_026487164.1	JC_03636-RA
OG0000075	XP_026488107.1	JC_03616-RA
OG0000075	XP_026488301.1, XP_026488302.1	JC_03392-RA
OG0000076	XP_026490686.1	JC_16781-RA, JC_16784-RA
OG0000077	XP_026485880.1	JC_04601-RA
OG0000077	XP_026485938.1	JC_04595-RA, JC_04596-RA
OG0000077	XP_026485943.1	JC_04597-RA
OG0000077	XP_026485945.1, XP_026485951.1	JC_04599-RA
OG0000077	XP_026485942.1	JC_04598-RA
OG0000078	XP_026497763.1, XP_026497768.1	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000079	XP_026485855.1	JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA
OG0000081	XP_026493409.1	JC_15085-RA
OG0000082	XP_026484136.1	JC_15348-RA
OG0000082	XP_026484086.1	JC_15353-RA
OG0000082	XP_026484147.1	JC_15354-RA
OG0000082	XP_026484166.1	JC_15230-RA
OG0000082	XP_026484161.1	JC_15231-RA
OG0000083	XP_026498757.1	JC_14785-RA, JC_14784-RA, JC_14786-RA
OG0000084	XP_026492846.1	JC_09083-RA
OG0000084	XP_026492749.1	JC_09063-RA
OG0000085	XP_026496424.1	JC_05545-RA, JC_05548-RA
OG0000085	XP_026496275.1	JC_05547-RA, JC_05546-RA
OG0000087	XP_026491033.1	JC_02443-RA, JC_02442-RA, JC_02441-RA
OG0000087	XP_026491504.1	JC_02439-RA, JC_02444-RA
OG0000088	XP_026489493.1	JC_09259-RA, JC_09269-RA
OG0000088	XP_026483148.1	JC_16432-RA
OG0000088	XP_026489494.1	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000090	XP_026490095.1	JC_04442-RA, JC_04443-RA
OG0000092	XP_026488296.1	JC_03404-RA, JC_03406-RA
OG0000093	XP_026483919.1, XP_026483920.1	JC_15360-RA
OG0000093	XP_026483917.1	JC_15357-RA
OG0000093	XP_026484027.1, XP_026484028.1	JC_15363-RA
OG0000094	XP_026488555.1	JC_13682-RA
OG0000095	XP_026484892.1	JC_00271-RA
OG0000096	XP_026498766.1	JC_09719-RA, JC_09720-RA
OG0000096	XP_026489765.1, XP_026489764.1	JC_09724-RA
OG0000096	XP_026498776.1, XP_026498782.1	JC_09722-RA, JC_09721-RA
OG0000097	XP_026498928.1	JC_11490-RA
OG0000098	XP_026498603.1	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA
OG0000100	XP_026495781.1	JC_10664-RA
OG0000100	XP_026495693.1	JC_10662-RA
OG0000101	XP_026493040.1, XP_026493038.1	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	XP_026493188.1	JC_09706-RA
OG0000102	XP_026489046.1	JC_12066-RA, JC_14237-RA, JC_12068-RA
OG0000103	XP_026498404.1	JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA
OG0000103	XP_026498403.1	JC_11860-RA
OG0000106	XP_026485887.1	JC_16716-RA, JC_07290-RA
OG0000109	XP_026497971.1	JC_02996-RA, JC_02995-RA
OG0000109	XP_026497973.1	JC_02993-RA, JC_02992-RA, JC_02994-RA
OG0000109	XP_026497974.1	JC_03001-RA
OG0000110	XP_026488961.1, XP_026488962.1	JC_12230-RA
OG0000110	XP_026489019.1	JC_12232-RA, JC_12231-RA
OG0000110	XP_026488986.1	JC_12228-RA
OG0000110	XP_026488980.1, XP_026488982.1, XP_026488981.1	JC_12227-RA, JC_12226-RA
OG0000111	XP_026485541.1	JC_06517-RA
OG0000111	XP_026485801.1	JC_04966-RA
OG0000111	XP_026486121.1	JC_04964-RA
OG0000112	XP_026488156.1	JC_08001-RA
OG0000112	XP_026488169.1	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA
OG0000113	XP_026486407.1	JC_16665-RA
OG0000114	XP_026488859.1	JC_11661-RA
OG0000114	XP_026488856.1	JC_11662-RA
OG0000115	XP_026494479.1	JC_14206-RA
OG0000115	XP_026500251.1, XP_026500243.1	JC_09318-RA
OG0000115	XP_026494478.1	JC_14203-RA
OG0000116	XP_026486128.1	JC_05019-RA
OG0000116	XP_026489146.1	JC_15737-RA, JC_09136-RA
OG0000117	XP_026488567.1	JC_11736-RA, JC_11741-RA
OG0000117	XP_026488566.1	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000118	XP_026490964.1	JC_15186-RA, JC_03928-RA
OG0000119	XP_026496437.1	JC_05589-RA, JC_11803-RA, JC_05582-RA, JC_05587-RA, JC_05588-RA
OG0000122	XP_026499961.1	JC_03302-RA
OG0000123	XP_026500003.1, XP_026496505.1	JC_00053-RA
OG0000124	XP_026492747.1	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	XP_026491913.1	JC_13371-RA
OG0000125	XP_026491928.1	JC_13370-RA, JC_13369-RA
OG0000127	XP_026498360.1, XP_026489582.1	JC_14232-RA
OG0000127	XP_026487263.1	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA
OG0000128	XP_026494344.1	JC_10255-RA
OG0000128	XP_026494318.1	JC_10263-RA
OG0000128	XP_026494332.1	JC_10261-RA
OG0000129	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1	JC_14536-RA
OG0000129	XP_026490185.1	JC_14538-RA
OG0000131	XP_026490706.1	JC_03944-RA
OG0000131	XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1	JC_03943-RA
OG0000132	XP_026489619.1	JC_16594-RA
OG0000132	XP_026489627.1	JC_12333-RA
OG0000133	XP_026500939.1	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000133	XP_026501069.1, XP_026500315.1	JC_17034-RA, JC_17035-RA
OG0000134	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1	JC_13643-RA
OG0000134	XP_026497731.1	JC_13572-RA
OG0000134	XP_026500779.1	JC_13639-RA
OG0000137	XP_026484810.1	JC_00690-RA
OG0000137	XP_026484812.1	JC_00692-RA
OG0000138	XP_026488759.1, XP_026488751.1	JC_08004-RA
OG0000139	XP_026500945.1	JC_12416-RA
OG0000139	XP_026500227.1	JC_12885-RA
OG0000139	XP_026489675.1	JC_12412-RA
OG0000140	XP_026486064.1	JC_15651-RA
OG0000140	XP_026486075.1	JC_15647-RA
OG0000141	XP_026496430.1	JC_05434-RA
OG0000142	XP_026483563.1	JC_16337-RA, JC_16335-RA, JC_16334-RA
OG0000142	XP_026483561.1	JC_16332-RA
OG0000142	XP_026485989.1	JC_04999-RA, JC_04998-RA
OG0000143	XP_026488575.1	JC_11705-RA
OG0000143	XP_026488573.1	JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	XP_026488574.1	JC_11701-RA, JC_11700-RA
OG0000144	XP_026493139.1	JC_05956-RA, JC_05955-RA
OG0000144	XP_026493387.1	JC_05954-RA
OG0000145	XP_026488455.1	JC_03183-RA
OG0000147	XP_026493400.1	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000149	XP_026492839.1	JC_09057-RA
OG0000152	XP_026493652.1	JC_01150-RA
OG0000152	XP_026493650.1	JC_01147-RA
OG0000152	XP_026493647.1	JC_01149-RA
OG0000153	XP_026490803.1	JC_03143-RA
OG0000153	XP_026486667.1	JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA
OG0000154	XP_026493590.1, XP_026493568.1	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA
OG0000155	XP_026483193.1, XP_026497534.1	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000156	XP_026495721.1	JC_10982-RA, JC_10978-RA
OG0000156	XP_026495720.1	JC_10980-RA
OG0000156	XP_026497267.1, XP_026496199.1, XP_026499976.1	JC_15886-RA, JC_10973-RA
OG0000161	XP_026489384.1	JC_16940-RA
OG0000161	XP_026496974.1	JC_05892-RA
OG0000162	XP_026495429.1, XP_026495426.1, XP_026499500.1	JC_10317-RA, JC_10318-RA
OG0000162	XP_026499499.1	JC_10314-RA
OG0000163	XP_026494611.1	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	XP_026483367.1	JC_16411-RA
OG0000165	XP_026491300.1	JC_02467-RA, JC_02466-RA
OG0000165	XP_026491239.1	JC_02470-RA, JC_02468-RA
OG0000166	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1	JC_06064-RA
OG0000166	XP_026493524.1, XP_026493522.1, XP_026493525.1	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
OG0000167	XP_026499495.1, XP_026490816.1	JC_03065-RA
OG0000169	XP_026493199.1	JC_09918-RA
OG0000169	XP_026493039.1	JC_09912-RA
OG0000170	XP_026489549.1	JC_05858-RA
OG0000170	XP_026489547.1	JC_05860-RA
OG0000171	XP_026483589.1	JC_09304-RA
OG0000171	XP_026483600.1	JC_09303-RA
OG0000172	XP_026499901.1	JC_11633-RA, JC_11631-RA, JC_11632-RA
OG0000174	XP_026487863.1	JC_01298-RA
OG0000174	XP_026499849.1	JC_02058-RA
OG0000175	XP_026492931.1	JC_15584-RA
OG0000175	XP_026489948.1, XP_026489949.1	JC_03752-RA
OG0000175	XP_026492115.1	JC_07347-RA
OG0000178	XP_026501824.1	JC_15551-RA
OG0000178	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1	JC_15684-RA
OG0000179	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1	JC_05652-RA
OG0000180	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1	JC_01798-RA
OG0000180	XP_026500685.1	JC_01797-RA
OG0000181	XP_026487965.1, XP_026487964.1	JC_11533-RA, JC_11539-RA
OG0000181	XP_026487952.1	JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	XP_026490062.1	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	XP_026493134.1, XP_026493142.1	JC_09899-RA
OG0000183	XP_026500054.1	JC_00847-RA
OG0000183	XP_026491498.1	JC_02435-RA
OG0000184	XP_026499472.1	JC_04531-RA
OG0000184	XP_026485414.1	JC_06432-RA
OG0000184	XP_026485484.1	JC_06434-RA
OG0000185	XP_026494681.1	JC_11317-RA
OG0000185	XP_026494606.1, XP_026494683.1	JC_11318-RA, JC_11319-RA
OG0000186	XP_026488639.1	JC_16936-RA
OG0000187	XP_026483320.1	JC_16384-RA
OG0000188	XP_026492468.1	JC_14940-RA
OG0000189	XP_026486864.1	JC_07045-RA, JC_07046-RA
OG0000189	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	XP_026485321.1	JC_06615-RA
OG0000193	XP_026485379.1	JC_06325-RA
OG0000193	XP_026485410.1	JC_06528-RA
OG0000193	XP_026485291.1	JC_06527-RA
OG0000196	XP_026487886.1	JC_06587-RA, JC_01320-RA
OG0000196	XP_026487864.1	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	XP_026484969.1, XP_026484968.1, XP_026484966.1	JC_00320-RA
OG0000198	XP_026494933.1	JC_03773-RA
OG0000198	XP_026501551.1	JC_04209-RA
OG0000199	XP_026501309.1	JC_07461-RA
OG0000199	XP_026486145.1	JC_14665-RA, JC_13414-RA, JC_06823-RA, JC_15070-RA, JC_15024-RA, JC_05544-RA, JC_13150-RA, JC_15266-RA
OG0000200	XP_026488475.1	JC_03361-RA, JC_03362-RA, JC_03360-RA, JC_03364-RA, JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA
OG0000201	XP_026486826.1	JC_07060-RA
OG0000203	XP_026487162.1	JC_03487-RA
OG0000205	XP_026496344.1	JC_05405-RA
OG0000206	XP_026483159.1	JC_16685-RA, JC_10718-RA, JC_16686-RA
OG0000207	XP_026500931.1	JC_06478-RA, JC_06002-RA, JC_15318-RA, JC_10834-RA
OG0000208	XP_026489321.1	JC_07994-RA
OG0000208	XP_026498785.1	JC_07996-RA
OG0000208	XP_026489345.1, XP_026498784.1	JC_07997-RA
OG0000209	XP_026490392.1	JC_14043-RA
OG0000209	XP_026486988.1	JC_07069-RA
OG0000210	XP_026492865.1	JC_09539-RA
OG0000210	XP_026501168.1	JC_09537-RA
OG0000212	XP_026497545.1	JC_05951-RA, JC_00130-RA
OG0000212	XP_026485908.1	JC_04775-RA
OG0000212	XP_026485827.1	JC_04773-RA
OG0000213	XP_026485069.1	JC_00444-RA
OG0000213	XP_026485071.1	JC_00447-RA
OG0000213	XP_026484522.1	JC_00451-RA
OG0000214	XP_026483703.1, XP_026483711.1	JC_09415-RA
OG0000215	XP_026491895.1	JC_13463-RA
OG0000216	XP_026485745.1, XP_026485749.1	JC_04853-RA
OG0000217	XP_026494731.1	JC_01085-RA
OG0000218	XP_026494855.1	JC_04202-RA, JC_04199-RA
OG0000219	XP_026500081.1	JC_13344-RA
OG0000221	XP_026486244.1	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA
OG0000221	XP_026486245.1, XP_026486247.1	JC_05015-RA
OG0000221	XP_026486248.1	JC_05016-RA, JC_05042-RA
OG0000222	XP_026483158.1	JC_16786-RA
OG0000222	XP_026483160.1	JC_16787-RA, JC_16688-RA, JC_16687-RA
OG0000225	XP_026500129.1	JC_15076-RA
OG0000226	XP_026497883.1, XP_026485487.1, XP_026495593.1	JC_13390-RA, JC_07472-RA, JC_03948-RA, JC_15104-RA, JC_14079-RA
OG0000226	XP_026492169.1	JC_14454-RA, JC_14083-RA, JC_13839-RA, JC_14965-RA, JC_16744-RA, JC_14966-RA, JC_03194-RA, JC_15058-RA, JC_03925-RA, JC_17242-RA, JC_15080-RA, JC_15365-RA, JC_11555-RA, JC_15057-RA
OG0000229	XP_026489655.1	JC_12374-RA
OG0000229	XP_026486610.1	JC_01496-RA
OG0000230	XP_026489382.1	JC_05995-RA, JC_08759-RA
OG0000231	XP_026488937.1	JC_12205-RA, JC_12198-RA, JC_12196-RA, JC_16378-RA, JC_12194-RA, JC_12193-RA
OG0000232	XP_026484823.1	JC_09629-RA
OG0000233	XP_026485758.1	JC_04634-RA
OG0000234	XP_026483774.1	JC_15915-RA
OG0000234	XP_026483729.1, XP_026489181.1	JC_15828-RA
OG0000235	XP_026491220.1, XP_026491221.1	JC_02586-RA
OG0000235	XP_026491492.1, XP_026491491.1	JC_02587-RA
OG0000236	XP_026486956.1, XP_026486957.1, XP_026486958.1	JC_07146-RA, JC_07145-RA
OG0000236	XP_026486884.1	JC_07150-RA
OG0000237	XP_026498172.1	JC_05873-RA
OG0000237	XP_026498184.1	JC_05874-RA
OG0000237	XP_026498191.1	JC_05876-RA
OG0000238	XP_026501419.1, XP_026501420.1	JC_04246-RA
OG0000238	XP_026500089.1	JC_09353-RA
OG0000239	XP_026490889.1	JC_03168-RA
OG0000239	XP_026490892.1, XP_026490891.1	JC_03169-RA
OG0000245	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1	JC_08649-RA
OG0000246	XP_026498593.1	JC_05237-RA
OG0000247	XP_026497474.1	JC_13116-RA
OG0000248	XP_026483522.1	JC_16266-RA
OG0000248	XP_026483488.1, XP_026483487.1	JC_16168-RA
OG0000249	XP_026496131.1	JC_14103-RA, JC_14102-RA, JC_14101-RA, JC_14106-RA, JC_14108-RA, JC_14105-RA, JC_14104-RA
OG0000250	XP_026483536.1	JC_16254-RA, JC_16260-RA
OG0000253	XP_026496141.1	JC_02424-RA
OG0000254	XP_026483833.1	JC_15987-RA
OG0000254	XP_026483657.1	JC_16124-RA
OG0000254	XP_026483658.1	JC_16125-RA, JC_16126-RA
OG0000255	XP_026500405.1	JC_08147-RA
OG0000256	XP_026498851.1	JC_07270-RA, JC_11122-RA
OG0000256	XP_026488745.1, XP_026496954.1	JC_06430-RA, JC_00700-RA
OG0000257	XP_026490754.1	JC_11806-RA
OG0000258	XP_026491836.1	JC_13969-RA, JC_02615-RA, JC_15746-RA, JC_13980-RA, JC_13981-RA
OG0000260	XP_026483812.1, XP_026483811.1	JC_15840-RA, JC_15837-RA, JC_15838-RA
OG0000260	XP_026483815.1	JC_15841-RA, JC_15842-RA
OG0000262	XP_026494163.1	JC_12298-RA
OG0000262	XP_026494162.1	JC_12300-RA, JC_12301-RA
OG0000264	XP_026485844.1	JC_05000-RA
OG0000264	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1	JC_04988-RA
OG0000271	XP_026484011.1	JC_15224-RA
OG0000271	XP_026484010.1, XP_026484163.1	JC_15227-RA
OG0000272	XP_026485265.1, XP_026492748.1	JC_05394-RA, JC_14642-RA, JC_14238-RA
OG0000273	XP_026485334.1	JC_06439-RA
