Orthogroup	Vanessa_tameamea	Danaus_plexippus
OG0000046	XP_026496280.1	DPOGS209146-PA
OG0000048	XP_026494057.1	DPOGS215280-PA
OG0000049	XP_026484586.1, XP_026485111.1, XP_026491363.1	DPOGS201061-PA
OG0000050	XP_026501017.1	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000052	XP_026487271.1	DPOGS210331-PA
OG0000053	XP_026497060.1	DPOGS201540-PA
OG0000053	XP_026497094.1	DPOGS201419-PA
OG0000053	XP_026497148.1, XP_026497147.1	DPOGS201422-PA
OG0000053	XP_026497076.1, XP_026497075.1	DPOGS201421-PA
OG0000053	XP_026497149.1	DPOGS201423-PA
OG0000054	XP_026492237.1	DPOGS201193-PA
OG0000055	XP_026491734.1	DPOGS207736-PA, DPOGS208302-PA
OG0000056	XP_026498825.1	DPOGS210281-PA
OG0000056	XP_026498828.1	DPOGS206197-PA, DPOGS206198-PA, DPOGS206183-PA, DPOGS206194-PA
OG0000056	XP_026499964.1	DPOGS206182-PA
OG0000057	XP_026496531.1	DPOGS209909-PA
OG0000057	XP_026496524.1	DPOGS209884-PA
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1	DPOGS209997-PA
OG0000058	XP_026497189.1	DPOGS215426-PA
OG0000060	XP_026493438.1, XP_026493441.1	DPOGS208010-PA, DPOGS208061-PA
OG0000061	XP_026488092.1, XP_026496799.1, XP_026496786.1, XP_026488110.1, XP_026488120.1, XP_026488093.1	DPOGS201160-PA
OG0000062	XP_026486062.1	DPOGS202468-PA, DPOGS202469-PA
OG0000062	XP_026483731.1	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA
OG0000062	XP_026493052.1	DPOGS207201-PA
OG0000063	XP_026483335.1, XP_026483375.1	DPOGS201994-PA
OG0000063	XP_026483353.1	DPOGS201995-PA
OG0000063	XP_026493090.1	DPOGS205397-PA
OG0000066	XP_026500159.1	DPOGS210132-PA
OG0000067	XP_026499417.1	DPOGS204359-PA
OG0000067	XP_026492031.1	DPOGS204360-PA
OG0000068	XP_026494442.1	DPOGS213409-PA, DPOGS212680-PA
OG0000069	XP_026489035.1	DPOGS206989-PA
OG0000071	XP_026492973.1	DPOGS205454-PA
OG0000073	XP_026488168.1, XP_026488091.1, XP_026488023.1	DPOGS205799-PA
OG0000073	XP_026501251.1, XP_026501242.1	DPOGS208534-PA
OG0000073	XP_026483469.1	DPOGS213705-PA
OG0000075	XP_026487164.1	DPOGS201167-PA
OG0000075	XP_026488107.1	DPOGS201162-PA
OG0000075	XP_026488301.1, XP_026488302.1	DPOGS209261-PA
OG0000076	XP_026490686.1	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA
OG0000078	XP_026497763.1, XP_026497768.1	DPOGS207021-PA
OG0000082	XP_026484136.1	DPOGS211069-PA
OG0000082	XP_026484086.1	DPOGS203868-PA
OG0000082	XP_026484147.1	DPOGS203867-PA
OG0000082	XP_026484166.1	DPOGS212546-PA
OG0000083	XP_026498756.1	DPOGS201702-PA
OG0000083	XP_026498757.1	DPOGS212183-PA
OG0000084	XP_026492846.1	DPOGS200123-PA
OG0000084	XP_026492749.1	DPOGS200060-PA
OG0000085	XP_026496424.1, XP_026496275.1	DPOGS215579-PA
OG0000088	XP_026489493.1	DPOGS202810-PA
OG0000088	XP_026483148.1	DPOGS215149-PA
OG0000088	XP_026489494.1	DPOGS202814-PA
OG0000090	XP_026490095.1	DPOGS210053-PA, DPOGS210052-PA
OG0000091	XP_026496136.1	DPOGS203557-PA, DPOGS202071-PA
OG0000092	XP_026488296.1	DPOGS209254-PA
OG0000093	XP_026483919.1, XP_026483920.1	DPOGS202427-PA
OG0000093	XP_026483917.1	DPOGS202426-PA, DPOGS203872-PA
OG0000093	XP_026484027.1, XP_026484028.1	DPOGS202424-PA
OG0000094	XP_026488555.1, XP_026492024.1	DPOGS213975-PA
OG0000095	XP_026484614.1, XP_026484892.1	DPOGS204282-PA
OG0000096	XP_026498766.1	DPOGS212592-PA
OG0000096	XP_026489765.1, XP_026489764.1	DPOGS212590-PA
OG0000096	XP_026498776.1, XP_026498782.1	DPOGS212591-PA
OG0000097	XP_026498905.1, XP_026498928.1	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	XP_026498603.1	DPOGS209226-PA, DPOGS209225-PA
OG0000100	XP_026495781.1	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	XP_026495693.1	DPOGS215475-PA
OG0000101	XP_026493040.1, XP_026493038.1	DPOGS200031-PA
OG0000102	XP_026489046.1	DPOGS206988-PA
OG0000103	XP_026498404.1, XP_026498400.1, XP_026498403.1	DPOGS207082-PA
OG0000109	XP_026497971.1, XP_026497973.1, XP_026497974.1, XP_026497980.1	DPOGS209375-PA
OG0000110	XP_026488961.1, XP_026488962.1	DPOGS212705-PA
OG0000110	XP_026489019.1	DPOGS212706-PA
OG0000110	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	XP_026485541.1	DPOGS202624-PA
OG0000111	XP_026486198.1	DPOGS215827-PA
OG0000111	XP_026485801.1	DPOGS215824-PA
OG0000111	XP_026486121.1	DPOGS215826-PA
OG0000112	XP_026488156.1	DPOGS200671-PA
OG0000112	XP_026488169.1	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA
OG0000113	XP_026498858.1	DPOGS203349-PA, DPOGS203350-PA
OG0000113	XP_026486407.1	DPOGS203348-PA
OG0000114	XP_026488859.1, XP_026488856.1	DPOGS206960-PA
OG0000115	XP_026494479.1	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	XP_026500251.1, XP_026500243.1, XP_026494478.1	DPOGS201101-PA
OG0000116	XP_026486128.1	DPOGS211429-PA
OG0000116	XP_026494070.1	DPOGS214479-PA
OG0000116	XP_026496653.1	DPOGS203334-PA
OG0000117	XP_026488567.1	DPOGS206946-PA
OG0000117	XP_026488566.1	DPOGS206945-PA
OG0000118	XP_026501071.1, XP_026490964.1	DPOGS216140-PA
OG0000119	XP_026496437.1	DPOGS203233-PA
OG0000122	XP_026499961.1	DPOGS200373-PA
OG0000122	XP_026499981.1	DPOGS200374-PA
OG0000123	XP_026500003.1, XP_026496505.1, XP_026498408.1	DPOGS204956-PA
OG0000124	XP_026492747.1	DPOGS206009-PA
OG0000124	XP_026485988.1	DPOGS206011-PA
OG0000125	XP_026491913.1	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	XP_026491928.1	DPOGS214825-PA
OG0000126	XP_026496122.1	DPOGS206199-PA
OG0000127	XP_026498360.1, XP_026489582.1, XP_026487263.1	DPOGS210351-PA
OG0000128	XP_026494344.1	DPOGS210158-PA
OG0000128	XP_026494318.1	DPOGS211778-PA
OG0000128	XP_026494332.1	DPOGS210161-PA
OG0000129	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1	DPOGS210178-PA
OG0000131	XP_026490706.1	DPOGS211520-PA
OG0000132	XP_026489619.1, XP_026489627.1	DPOGS214570-PA
OG0000133	XP_026500939.1	DPOGS204619-PA, DPOGS215001-PA
OG0000133	XP_026501069.1, XP_026500315.1	DPOGS201589-PA
OG0000134	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1	DPOGS206558-PA
OG0000134	XP_026497731.1	DPOGS213998-PA
OG0000134	XP_026500779.1	DPOGS206556-PA
OG0000137	XP_026484810.1, XP_026484812.1	DPOGS213158-PA
OG0000138	XP_026488759.1	DPOGS201307-PA
OG0000138	XP_026488751.1	DPOGS201308-PA
OG0000138	XP_026488768.1	DPOGS201306-PA
OG0000139	XP_026500945.1	DPOGS204151-PA
OG0000139	XP_026500227.1	DPOGS211466-PA
OG0000139	XP_026489675.1	DPOGS204150-PA
OG0000140	XP_026486064.1	DPOGS208587-PA
OG0000140	XP_026486773.1	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA
OG0000140	XP_026486075.1	DPOGS215443-PA
OG0000140	XP_026486054.1	DPOGS215439-PA
OG0000141	XP_026496357.1, XP_026496430.1	DPOGS205275-PA
OG0000142	XP_026483563.1	DPOGS210763-PA
OG0000142	XP_026483566.1	DPOGS208850-PA
OG0000142	XP_026483587.1, XP_026483561.1, XP_026485989.1	DPOGS211692-PA
OG0000143	XP_026488575.1, XP_026488573.1	DPOGS207066-PA
OG0000143	XP_026488574.1	DPOGS207067-PA
OG0000147	XP_026493246.1, XP_026493247.1	DPOGS202135-PA
OG0000147	XP_026493400.1	DPOGS216148-PA
OG0000148	XP_026485046.1	DPOGS212460-PA, DPOGS211269-PA
OG0000149	XP_026485425.1	DPOGS211600-PA
OG0000149	XP_026484245.1	DPOGS209815-PA
OG0000150	XP_026499967.1	DPOGS200229-PA
OG0000152	XP_026493650.1	DPOGS203849-PA
OG0000152	XP_026493647.1	DPOGS203651-PA
OG0000153	XP_026490803.1, XP_026486667.1	DPOGS200298-PA
OG0000154	XP_026493590.1, XP_026493568.1	DPOGS203730-PA
OG0000155	XP_026483193.1, XP_026497534.1	DPOGS209068-PA
OG0000156	XP_026495721.1	DPOGS201020-PA
OG0000156	XP_026497267.1, XP_026496199.1, XP_026499976.1	DPOGS201022-PA, DPOGS201021-PA
OG0000160	XP_026497982.1, XP_026493406.1, XP_026498527.1, XP_026487949.1, XP_026491794.1	DPOGS211357-PA
OG0000160	XP_026489771.1	DPOGS205216-PA
OG0000162	XP_026495429.1, XP_026495426.1, XP_026499500.1	DPOGS214379-PA, DPOGS212215-PA
OG0000162	XP_026499499.1	DPOGS213682-PA
OG0000163	XP_026494611.1	DPOGS208397-PA, DPOGS208398-PA
OG0000164	XP_026483367.1	DPOGS207032-PA
OG0000165	XP_026491300.1, XP_026491239.1	DPOGS202039-PA
OG0000166	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1	DPOGS204571-PA
OG0000166	XP_026493524.1, XP_026493522.1, XP_026493525.1	DPOGS215383-PA
OG0000167	XP_026490816.1	DPOGS200276-PA
OG0000167	XP_026483730.1	DPOGS212517-PA, DPOGS212471-PA
OG0000169	XP_026493199.1	DPOGS209399-PA
OG0000169	XP_026493187.1	DPOGS209397-PA
OG0000169	XP_026493039.1	DPOGS209416-PA, DPOGS209415-PA
OG0000170	XP_026489549.1, XP_026489547.1	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	XP_026483589.1	DPOGS207651-PA
OG0000171	XP_026483600.1	DPOGS207652-PA
OG0000172	XP_026487122.1	DPOGS207109-PA
OG0000172	XP_026499901.1	DPOGS211762-PA
OG0000172	XP_026501368.1	DPOGS207119-PA
OG0000174	XP_026487863.1	DPOGS203785-PA
OG0000174	XP_026499849.1	DPOGS201355-PA
OG0000175	XP_026492931.1	DPOGS213653-PA
OG0000175	XP_026489948.1, XP_026489949.1	DPOGS212172-PA
OG0000175	XP_026492115.1	DPOGS201184-PA
OG0000178	XP_026501824.1	DPOGS213916-PA
OG0000178	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1	DPOGS202584-PA, DPOGS208620-PA
OG0000179	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1	DPOGS215238-PA
OG0000180	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1	DPOGS203313-PA
OG0000180	XP_026500685.1	DPOGS202992-PA
OG0000181	XP_026487965.1, XP_026487964.1, XP_026487952.1	DPOGS204734-PA, DPOGS204733-PA
OG0000181	XP_026487961.1	DPOGS204732-PA
OG0000182	XP_026490062.1	DPOGS210084-PA
OG0000183	XP_026493134.1, XP_026493142.1	DPOGS211358-PA
OG0000183	XP_026500054.1	DPOGS210612-PA
OG0000183	XP_026491498.1	DPOGS202050-PA
OG0000184	XP_026499472.1	DPOGS210000-PA
OG0000184	XP_026485414.1	DPOGS210945-PA
OG0000184	XP_026485484.1	DPOGS211022-PA
OG0000185	XP_026494681.1	DPOGS207886-PA
OG0000185	XP_026494606.1, XP_026494683.1	DPOGS207876-PA
OG0000186	XP_026488639.1	DPOGS200588-PA
OG0000187	XP_026483320.1	DPOGS203099-PA
OG0000187	XP_026483321.1	DPOGS203100-PA, DPOGS203101-PA
OG0000188	XP_026492468.1	DPOGS210265-PA
OG0000189	XP_026486864.1	DPOGS204875-PA
OG0000189	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	XP_026485321.1	DPOGS210733-PA
OG0000191	XP_026488824.1, XP_026488828.1	DPOGS203394-PA, DPOGS212004-PA
OG0000193	XP_026485379.1	DPOGS208229-PA
OG0000193	XP_026485410.1, XP_026485291.1	DPOGS211597-PA
OG0000196	XP_026487886.1, XP_026487864.1	DPOGS215622-PA
OG0000197	XP_026486620.1, XP_026486619.1	DPOGS215734-PA
OG0000197	XP_026484969.1, XP_026484968.1, XP_026484966.1	DPOGS204239-PA
OG0000198	XP_026494933.1	DPOGS212099-PA
OG0000198	XP_026501551.1	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA
OG0000199	XP_026501309.1	DPOGS205139-PA, DPOGS200471-PA
OG0000199	XP_026486145.1	DPOGS200655-PA
OG0000200	XP_026488475.1	DPOGS209914-PA, DPOGS209916-PA, DPOGS204353-PA
OG0000201	XP_026486827.1, XP_026486826.1	DPOGS204865-PA, DPOGS204864-PA
OG0000203	XP_026487162.1	DPOGS210787-PA
OG0000205	XP_026496344.1, XP_026496328.1	DPOGS209148-PA, DPOGS209147-PA
OG0000206	XP_026483159.1	DPOGS205019-PA
OG0000207	XP_026500931.1	DPOGS207952-PA, DPOGS207950-PA
OG0000208	XP_026489321.1, XP_026498785.1	DPOGS210915-PA
OG0000208	XP_026489345.1, XP_026498784.1	DPOGS210914-PA, DPOGS210912-PA
OG0000209	XP_026490392.1	DPOGS214010-PA
OG0000209	XP_026486988.1	DPOGS204840-PA
OG0000210	XP_026492865.1	DPOGS208562-PA
OG0000210	XP_026501529.1	DPOGS208561-PA
OG0000212	XP_026497545.1	DPOGS207988-PA
OG0000212	XP_026485908.1	DPOGS207989-PA
OG0000212	XP_026485827.1	DPOGS207987-PA
OG0000213	XP_026485069.1	DPOGS208066-PA
OG0000213	XP_026485071.1	DPOGS208084-PA
OG0000213	XP_026484522.1	DPOGS208065-PA
OG0000214	XP_026483703.1, XP_026483711.1	DPOGS214058-PA
OG0000215	XP_026491895.1	DPOGS211555-PA
OG0000215	XP_026491875.1	DPOGS211556-PA
OG0000216	XP_026485745.1, XP_026485749.1	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	XP_026494769.1, XP_026494731.1, XP_026494771.1	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	XP_026494855.1	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	XP_026500081.1	DPOGS207542-PA
OG0000220	XP_026486150.1, XP_026486313.1	DPOGS211390-PA
OG0000220	XP_026486249.1	DPOGS205839-PA, DPOGS205840-PA
OG0000221	XP_026486244.1	DPOGS211394-PA
OG0000221	XP_026486245.1, XP_026486247.1, XP_026486248.1	DPOGS205842-PA
OG0000222	XP_026483158.1, XP_026483160.1	DPOGS205017-PA
OG0000225	XP_026500129.1	DPOGS214884-PA
OG0000228	XP_026483737.1	DPOGS212515-PA
OG0000228	XP_026499496.1	DPOGS207206-PA, DPOGS207204-PA, DPOGS207199-PA
OG0000229	XP_026489655.1	DPOGS214632-PA
OG0000229	XP_026486610.1	DPOGS215746-PA
OG0000230	XP_026496664.1	DPOGS209009-PA, DPOGS209016-PA
OG0000230	XP_026489382.1	DPOGS205205-PA, DPOGS205235-PA
OG0000230	XP_026496864.1	DPOGS211996-PA
OG0000231	XP_026488937.1	DPOGS208443-PA
OG0000232	XP_026484823.1	DPOGS208489-PA
OG0000233	XP_026485758.1	DPOGS215920-PA
OG0000233	XP_026486210.1, XP_026486211.1, XP_026486209.1	DPOGS215875-PA
OG0000234	XP_026483774.1	DPOGS212240-PA
OG0000234	XP_026483729.1, XP_026489181.1	DPOGS201732-PA
OG0000235	XP_026491220.1, XP_026491221.1	DPOGS211850-PA
OG0000235	XP_026491492.1, XP_026491491.1	DPOGS211974-PA
OG0000236	XP_026486956.1, XP_026486957.1, XP_026486958.1	DPOGS207247-PA
OG0000236	XP_026486884.1	DPOGS207308-PA
OG0000237	XP_026498172.1	DPOGS201064-PA
OG0000237	XP_026498184.1	DPOGS201065-PA
OG0000237	XP_026498191.1	DPOGS201066-PA
OG0000238	XP_026501419.1, XP_026501420.1	DPOGS200166-PA
OG0000238	XP_026500089.1	DPOGS200498-PA
OG0000239	XP_026490889.1	DPOGS200316-PA
OG0000239	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1	DPOGS200315-PA, DPOGS200313-PA
OG0000245	XP_026500607.1, XP_026498589.1, XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1	DPOGS211482-PA
OG0000246	XP_026498593.1	DPOGS212261-PA
OG0000247	XP_026497474.1	DPOGS204977-PA
OG0000247	XP_026497382.1	DPOGS204998-PA
OG0000248	XP_026483522.1	DPOGS208848-PA, DPOGS208849-PA
OG0000248	XP_026483488.1, XP_026483487.1	DPOGS210769-PA
OG0000249	XP_026496110.1, XP_026496131.1	DPOGS204790-PA
OG0000250	XP_026483565.1	DPOGS205124-PA, DPOGS213894-PA
OG0000250	XP_026483536.1	DPOGS206088-PA
OG0000253	XP_026496141.1	DPOGS206787-PA, DPOGS205863-PA
OG0000254	XP_026483833.1, XP_026483657.1	DPOGS206219-PA
OG0000254	XP_026483658.1	DPOGS206237-PA
OG0000255	XP_026500405.1	DPOGS201291-PA
OG0000257	XP_026496860.1	DPOGS202490-PA
OG0000257	XP_026490765.1, XP_026490754.1	DPOGS206965-PA
OG0000258	XP_026491836.1	DPOGS214473-PA, DPOGS216098-PA, DPOGS216099-PA
OG0000259	XP_026498189.1	DPOGS213276-PA
OG0000259	XP_026493390.1	DPOGS204809-PA
OG0000260	XP_026483812.1, XP_026483811.1, XP_026483815.1	DPOGS201723-PA
OG0000261	XP_026488960.1, XP_026488869.1, XP_026488958.1	DPOGS214878-PA
OG0000262	XP_026494162.1	DPOGS211663-PA
OG0000263	XP_026499494.1	DPOGS207205-PA
OG0000264	XP_026485844.1	DPOGS211375-PA
OG0000264	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1	DPOGS209920-PA
OG0000271	XP_026484011.1	DPOGS212531-PA
OG0000271	XP_026484010.1, XP_026484163.1	DPOGS214893-PA, DPOGS212549-PA
OG0000272	XP_026485265.1, XP_026492748.1	DPOGS213393-PA, DPOGS203533-PA
OG0000273	XP_026485334.1	DPOGS210941-PA
OG0000273	XP_026485332.1	DPOGS208288-PA
OG0000274	XP_026487935.1	DPOGS208004-PA
OG0000274	XP_026495488.1	DPOGS205883-PA
OG0000275	XP_026493303.1, XP_026493304.1	DPOGS209540-PA
OG0000276	XP_026501114.1	DPOGS208782-PA
OG0000277	XP_026498961.1	DPOGS210841-PA
OG0000277	XP_026492752.1, XP_026498960.1	DPOGS210832-PA
OG0000278	XP_026501087.1	DPOGS215318-PA
OG0000279	XP_026488697.1	DPOGS209948-PA
OG0000279	XP_026488699.1, XP_026488698.1, XP_026488700.1	DPOGS209986-PA
OG0000280	XP_026495777.1	DPOGS216062-PA, DPOGS201576-PA
OG0000281	XP_026495147.1	DPOGS212111-PA
OG0000281	XP_026490252.1	DPOGS200878-PA
OG0000282	XP_026491674.1, XP_026491392.1	DPOGS212709-PA, DPOGS208444-PA, DPOGS212779-PA, DPOGS212758-PA, DPOGS215256-PA, DPOGS215255-PA, DPOGS215254-PA, DPOGS215253-PA
OG0000283	XP_026485933.1	DPOGS215905-PA
OG0000283	XP_026485941.1	DPOGS215907-PA, DPOGS215906-PA
OG0000284	XP_026484419.1	DPOGS204496-PA
OG0000284	XP_026484415.1	DPOGS204495-PA
OG0000285	XP_026485523.1	DPOGS207611-PA
OG0000285	XP_026485542.1	DPOGS207613-PA
OG0000286	XP_026488393.1	DPOGS204332-PA
OG0000286	XP_026488353.1	DPOGS204331-PA
OG0000287	XP_026493848.1	DPOGS207226-PA
OG0000287	XP_026493886.1	DPOGS206692-PA
OG0000289	XP_026488447.1	DPOGS203613-PA
OG0000289	XP_026488454.1	DPOGS203615-PA
OG0000290	XP_026486009.1, XP_026485721.1	DPOGS207577-PA
OG0000291	XP_026490843.1, XP_026490846.1, XP_026490841.1, XP_026490845.1, XP_026490842.1, XP_026490840.1, XP_026490847.1	DPOGS200311-PA
OG0000292	XP_026486304.1, XP_026493529.1, XP_026493408.1	DPOGS211695-PA, DPOGS207986-PA, DPOGS215422-PA
OG0000293	XP_026487992.1	DPOGS215249-PA
OG0000293	XP_026498937.1	DPOGS209424-PA
OG0000294	XP_026492851.1, XP_026492855.1, XP_026492751.1	DPOGS209810-PA
OG0000295	XP_026489480.1, XP_026491878.1	DPOGS212909-PA, DPOGS212917-PA, DPOGS212910-PA, DPOGS212918-PA, DPOGS212912-PA
OG0000296	XP_026501491.1, XP_026501488.1, XP_026501490.1, XP_026501493.1, XP_026501489.1	DPOGS212453-PA, DPOGS212405-PA
OG0000297	XP_026501004.1	DPOGS205313-PA
OG0000302	XP_026494554.1, XP_026494556.1	DPOGS200542-PA
OG0000303	XP_026487252.1	DPOGS201634-PA, DPOGS210347-PA
OG0000303	XP_026487247.1, XP_026487248.1, XP_026487249.1	DPOGS210346-PA, DPOGS212734-PA, DPOGS210350-PA
OG0000304	XP_026498832.1	DPOGS206245-PA
OG0000305	XP_026497357.1	DPOGS204974-PA
OG0000305	XP_026497371.1, XP_026497514.1	DPOGS204976-PA
OG0000306	XP_026491004.1	DPOGS214704-PA
OG0000306	XP_026490984.1	DPOGS214757-PA
OG0000307	XP_026496451.1	DPOGS214986-PA
OG0000308	XP_026494056.1	DPOGS211787-PA
OG0000308	XP_026493714.1, XP_026493715.1	DPOGS203791-PA
OG0000309	XP_026495505.1	DPOGS209502-PA
OG0000309	XP_026495504.1, XP_026495503.1	DPOGS209503-PA
OG0000310	XP_026498063.1, XP_026498061.1, XP_026498062.1	DPOGS215703-PA
OG0000310	XP_026498069.1	DPOGS215714-PA
