Orthogroup	Vanessa_tameamea	Vanessa_cardui
OG0000020	XP_026499906.1, XP_026498149.1	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA
OG0000021	XP_026499326.1, XP_026498522.1	Vcard_DToL14989-RA
OG0000021	XP_026500954.1	Vcard_DToL15926-RA
OG0000022	XP_026496869.1	Vcard_DToL16722-RA
OG0000023	XP_026492743.1	Vcard_DToL04995-RA, Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA
OG0000023	XP_026499323.1	Vcard_DToL16418-RA, Vcard_DToL02679-RA, Vcard_DToL12373-RA, Vcard_DToL09824-RA
OG0000023	XP_026497990.1, XP_026489171.1, XP_026489048.1	Vcard_DToL09585-RA
OG0000025	XP_026490605.1	Vcard_DToL17639-RA
OG0000025	XP_026490616.1	Vcard_DToL17634-RA
OG0000026	XP_026499909.1, XP_026483831.1, XP_026499747.1	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA
OG0000028	XP_026495729.1	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA
OG0000028	XP_026498861.1	Vcard_DToL18861-RA
OG0000029	XP_026485191.1, XP_026485189.1	Vcard_DToL02471-RA
OG0000029	XP_026485194.1, XP_026485192.1	Vcard_DToL02470-RA
OG0000031	XP_026499704.1, XP_026499703.1	Vcard_DToL09360-RA
OG0000034	XP_026491689.1	Vcard_DToL03973-RA
OG0000034	XP_026491224.1	Vcard_DToL03370-RA
OG0000034	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1	Vcard_DToL03379-RA
OG0000035	XP_026492510.1	Vcard_DToL15716-RA
OG0000035	XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA
OG0000037	XP_026500143.1	Vcard_DToL07760-RA
OG0000038	XP_026490184.1	Vcard_DToL16692-RA
OG0000038	XP_026490183.1	Vcard_DToL16690-RA
OG0000039	XP_026488878.1	Vcard_DToL07684-RA
OG0000039	XP_026488879.1	Vcard_DToL09549-RA, Vcard_DToL07682-RA
OG0000039	XP_026488881.1	Vcard_DToL07681-RA, Vcard_DToL07680-RA
OG0000041	XP_026490916.1	Vcard_DToL13154-RA
OG0000041	XP_026497753.1	Vcard_DToL15601-RA
OG0000041	XP_026497752.1	Vcard_DToL15602-RA
OG0000041	XP_026497785.1	Vcard_DToL15605-RA
OG0000045	XP_026485346.1	Vcard_DToL10351-RA
OG0000045	XP_026489199.1	Vcard_DToL07613-RA
OG0000045	XP_026488897.1	Vcard_DToL07709-RA
OG0000045	XP_026493800.1, XP_026493802.1	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA
OG0000046	XP_026496278.1	Vcard_DToL03287-RA
OG0000046	XP_026496283.1	Vcard_DToL03282-RA
OG0000046	XP_026496282.1	Vcard_DToL03283-RA
OG0000046	XP_026496280.1	Vcard_DToL03286-RA
OG0000049	XP_026484586.1	Vcard_DToL06466-RA
OG0000049	XP_026485111.1	Vcard_DToL06446-RA
OG0000049	XP_026491363.1	Vcard_DToL06451-RA
OG0000050	XP_026501017.1	Vcard_DToL13078-RA
OG0000050	XP_026500975.1	Vcard_DToL13075-RA
OG0000050	XP_026500978.1, XP_026500979.1	Vcard_DToL13076-RA
OG0000052	XP_026487271.1	Vcard_DToL12448-RA
OG0000053	XP_026497060.1	Vcard_DToL01328-RA
OG0000053	XP_026497094.1	Vcard_DToL01331-RA
OG0000053	XP_026497148.1, XP_026497147.1	Vcard_DToL01333-RA
OG0000053	XP_026497076.1, XP_026497075.1	Vcard_DToL01332-RA
OG0000053	XP_026497149.1	Vcard_DToL01335-RA
OG0000054	XP_026492237.1	Vcard_DToL09709-RA
OG0000055	XP_026491734.1	Vcard_DToL13935-RA, Vcard_DToL18184-RA
OG0000056	XP_026498825.1	Vcard_DToL16041-RA
OG0000056	XP_026498818.1	Vcard_DToL16044-RA
OG0000056	XP_026499964.1	Vcard_DToL16040-RA
OG0000057	XP_026496531.1	Vcard_DToL13794-RA
OG0000057	XP_026496524.1	Vcard_DToL13796-RA
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000058	XP_026490603.1	Vcard_DToL16303-RA, Vcard_DToL07362-RA
OG0000058	XP_026497189.1	Vcard_DToL02890-RA
OG0000061	XP_026488092.1	Vcard_DToL04117-RA
OG0000062	XP_026486062.1	Vcard_DToL05449-RA
OG0000062	XP_026483731.1	Vcard_DToL17485-RA
OG0000062	XP_026493052.1	Vcard_DToL18008-RA
OG0000063	XP_026483335.1	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA
OG0000063	XP_026483375.1	Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	XP_026483353.1	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA
OG0000063	XP_026493090.1	Vcard_DToL09866-RA
OG0000066	XP_026500159.1	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	XP_026499417.1	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000067	XP_026492031.1, XP_026492028.1	Vcard_DToL15558-RA
OG0000068	XP_026494442.1	Vcard_DToL16340-RA
OG0000069	XP_026489035.1	Vcard_DToL07820-RA, Vcard_DToL07819-RA, Vcard_DToL07818-RA
OG0000071	XP_026492973.1	Vcard_DToL11272-RA
OG0000073	XP_026488168.1, XP_026488091.1, XP_026488023.1	Vcard_DToL06863-RA
OG0000073	XP_026501251.1, XP_026501242.1	Vcard_DToL06621-RA
OG0000073	XP_026483469.1	Vcard_DToL06614-RA
OG0000075	XP_026487164.1	Vcard_DToL04138-RA
OG0000075	XP_026488107.1	Vcard_DToL04124-RA
OG0000075	XP_026488301.1, XP_026488302.1	Vcard_DToL04270-RA
OG0000076	XP_026490686.1	Vcard_DToL18781-RA
OG0000078	XP_026497763.1	Vcard_DToL15658-RA
OG0000078	XP_026497768.1	Vcard_DToL15656-RA
OG0000079	XP_026485855.1	Vcard_DToL05246-RA
OG0000082	XP_026484136.1	Vcard_DToL17276-RA
OG0000082	XP_026484147.1	Vcard_DToL17266-RA
OG0000082	XP_026484161.1	Vcard_DToL17337-RA
OG0000084	XP_026492846.1	Vcard_DToL07564-RA
OG0000085	XP_026496424.1	Vcard_DToL03094-RA
OG0000085	XP_026496275.1	Vcard_DToL03096-RA, Vcard_DToL03095-RA
OG0000088	XP_026489493.1	Vcard_DToL06950-RA
OG0000088	XP_026489494.1	Vcard_DToL06952-RA
OG0000090	XP_026490095.1	Vcard_DToL04847-RA
OG0000091	XP_026498590.1, XP_026499894.1	Vcard_DToL15015-RA
OG0000091	XP_026498210.1	Vcard_DToL15016-RA, Vcard_DToL07340-RA
OG0000092	XP_026488296.1	Vcard_DToL04259-RA
OG0000093	XP_026483919.1, XP_026483920.1	Vcard_DToL17257-RA
OG0000093	XP_026484027.1, XP_026484028.1	Vcard_DToL17256-RA
OG0000094	XP_026488555.1	Vcard_DToL15547-RA
OG0000094	XP_026492024.1	Vcard_DToL15561-RA
OG0000095	XP_026484614.1	Vcard_DToL02427-RA
OG0000096	XP_026498766.1	Vcard_DToL06347-RA
OG0000096	XP_026489765.1, XP_026489764.1	Vcard_DToL06351-RA
OG0000096	XP_026498776.1, XP_026498782.1	Vcard_DToL06349-RA
OG0000097	XP_026498905.1	Vcard_DToL11327-RA
OG0000097	XP_026498928.1	Vcard_DToL11326-RA
OG0000098	XP_026498603.1	Vcard_DToL02960-RA
OG0000100	XP_026495781.1	Vcard_DToL12906-RA
OG0000100	XP_026495693.1	Vcard_DToL12904-RA
OG0000101	XP_026493040.1, XP_026493038.1	Vcard_DToL09191-RA
OG0000101	XP_026493188.1	Vcard_DToL10113-RA
OG0000102	XP_026489046.1	Vcard_DToL07817-RA
OG0000103	XP_026498404.1	Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA
OG0000103	XP_026498400.1	Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA
OG0000103	XP_026498403.1	Vcard_DToL08122-RA
OG0000109	XP_026497971.1	Vcard_DToL04718-RA
OG0000109	XP_026497973.1	Vcard_DToL04721-RA
OG0000109	XP_026497974.1	Vcard_DToL04712-RA
OG0000110	XP_026488961.1, XP_026488962.1	Vcard_DToL07723-RA
OG0000110	XP_026488986.1	Vcard_DToL07721-RA
OG0000110	XP_026488980.1, XP_026488982.1, XP_026488981.1	Vcard_DToL07720-RA
OG0000111	XP_026485541.1	Vcard_DToL10424-RA
OG0000111	XP_026486198.1	Vcard_DToL05298-RA
OG0000111	XP_026485801.1	Vcard_DToL05296-RA
OG0000111	XP_026486121.1	Vcard_DToL05301-RA
OG0000114	XP_026488856.1	Vcard_DToL07873-RA, Vcard_DToL07876-RA, Vcard_DToL09470-RA
OG0000115	XP_026494479.1	Vcard_DToL16325-RA
OG0000115	XP_026500251.1, XP_026500243.1	Vcard_DToL06773-RA
OG0000115	XP_026494478.1	Vcard_DToL16322-RA
OG0000116	XP_026486128.1	Vcard_DToL05226-RA
OG0000116	XP_026489146.1	Vcard_DToL07626-RA
OG0000116	XP_026496653.1	Vcard_DToL00399-RA
OG0000117	XP_026488567.1	Vcard_DToL08238-RA
OG0000117	XP_026488566.1	Vcard_DToL08239-RA
OG0000119	XP_026496437.1	Vcard_DToL03289-RA, Vcard_DToL03290-RA, Vcard_DToL03291-RA
OG0000122	XP_026499961.1	Vcard_DToL04366-RA
OG0000122	XP_026499981.1	Vcard_DToL14073-RA, Vcard_DToL17995-RA
OG0000124	XP_026492747.1	Vcard_DToL13182-RA
OG0000124	XP_026485988.1	Vcard_DToL05255-RA
OG0000125	XP_026491913.1	Vcard_DToL15852-RA
OG0000125	XP_026491928.1	Vcard_DToL15854-RA
OG0000126	XP_026496122.1	Vcard_DToL14118-RA, Vcard_DToL16612-RA, Vcard_DToL17399-RA, Vcard_DToL17398-RA, Vcard_DToL02711-RA, Vcard_DToL02706-RA, Vcard_DToL16282-RA, Vcard_DToL00001-RA, Vcard_DToL02707-RA, Vcard_DToL00004-RA, Vcard_DToL15887-RA, Vcard_DToL16275-RA, Vcard_DToL00002-RA, Vcard_DToL02703-RA, Vcard_DToL15886-RA, Vcard_DToL00005-RA, Vcard_DToL00003-RA, Vcard_DToL02709-RA, Vcard_DToL02712-RA, Vcard_DToL15884-RA, Vcard_DToL02704-RA, Vcard_DToL16606-RA, Vcard_DToL17402-RA, Vcard_DToL14950-RA, Vcard_DToL10247-RA, Vcard_DToL09748-RA, Vcard_DToL16278-RA, Vcard_DToL14952-RA, Vcard_DToL16279-RA, Vcard_DToL17400-RA
OG0000127	XP_026498360.1, XP_026489582.1	Vcard_DToL18678-RA
OG0000128	XP_026494344.1	Vcard_DToL13576-RA
OG0000128	XP_026494318.1	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	XP_026494332.1	Vcard_DToL13581-RA
OG0000129	XP_026490185.1	Vcard_DToL16688-RA
OG0000131	XP_026490706.1	Vcard_DToL17922-RA
OG0000131	XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1	Vcard_DToL17920-RA
OG0000131	XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1	Vcard_DToL17921-RA
OG0000132	XP_026489619.1	Vcard_DToL14782-RA, Vcard_DToL14783-RA
OG0000132	XP_026489627.1	Vcard_DToL14781-RA
OG0000133	XP_026500939.1	Vcard_DToL17871-RA
OG0000133	XP_026500315.1	Vcard_DToL17888-RA
OG0000134	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1	Vcard_DToL15581-RA
OG0000134	XP_026497731.1	Vcard_DToL15620-RA
OG0000134	XP_026500779.1	Vcard_DToL15582-RA
OG0000137	XP_026484812.1	Vcard_DToL01909-RA
OG0000138	XP_026488759.1	Vcard_DToL06226-RA
OG0000138	XP_026488751.1	Vcard_DToL06227-RA
OG0000138	XP_026488768.1	Vcard_DToL06225-RA
OG0000139	XP_026500945.1	Vcard_DToL14664-RA
OG0000139	XP_026500227.1	Vcard_DToL15052-RA
OG0000140	XP_026486064.1	Vcard_DToL16920-RA
OG0000140	XP_026486773.1	Vcard_DToL16881-RA
OG0000140	XP_026486075.1	Vcard_DToL16917-RA
OG0000140	XP_026486054.1	Vcard_DToL16916-RA
OG0000141	XP_026496357.1	Vcard_DToL03187-RA
OG0000141	XP_026496430.1	Vcard_DToL03185-RA
OG0000142	XP_026483563.1	Vcard_DToL18406-RA
OG0000142	XP_026483566.1	Vcard_DToL18394-RA
OG0000142	XP_026483561.1	Vcard_DToL18404-RA
OG0000143	XP_026488573.1	Vcard_DToL08257-RA
OG0000143	XP_026488574.1	Vcard_DToL08259-RA
OG0000144	XP_026493139.1	Vcard_DToL09834-RA
OG0000145	XP_026488455.1	Vcard_DToL04524-RA
OG0000147	XP_026493246.1, XP_026493247.1	Vcard_DToL09992-RA, Vcard_DToL09991-RA
OG0000147	XP_026493400.1	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000148	XP_026485046.1	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA
OG0000149	XP_026485425.1	Vcard_DToL10477-RA
OG0000150	XP_026499967.1	Vcard_DToL14117-RA
OG0000152	XP_026493652.1	Vcard_DToL01543-RA
OG0000152	XP_026493650.1	Vcard_DToL01538-RA
OG0000152	XP_026493647.1	Vcard_DToL01542-RA
OG0000153	XP_026490803.1	Vcard_DToL04556-RA
OG0000153	XP_026486667.1	Vcard_DToL04750-RA
OG0000154	XP_026493590.1	Vcard_DToL17051-RA
OG0000154	XP_026493568.1	Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	XP_026483193.1	Vcard_DToL15443-RA
OG0000155	XP_026497534.1	Vcard_DToL15439-RA
OG0000156	XP_026495721.1	Vcard_DToL12566-RA
OG0000156	XP_026495720.1	Vcard_DToL12564-RA
OG0000156	XP_026497267.1, XP_026496199.1	Vcard_DToL12572-RA
OG0000156	XP_026499976.1	Vcard_DToL12567-RA
OG0000161	XP_026489384.1	Vcard_DToL14001-RA, Vcard_DToL07216-RA, Vcard_DToL10609-RA
OG0000161	XP_026496974.1	Vcard_DToL18175-RA
OG0000162	XP_026495426.1	Vcard_DToL13656-RA
OG0000162	XP_026499500.1	Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	XP_026494611.1	Vcard_DToL13540-RA
OG0000164	XP_026483367.1	Vcard_DToL18259-RA
OG0000165	XP_026491300.1	Vcard_DToL03458-RA, Vcard_DToL03457-RA
OG0000165	XP_026491239.1	Vcard_DToL03464-RA
OG0000166	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1	Vcard_DToL10237-RA
OG0000166	XP_026493524.1, XP_026493522.1, XP_026493525.1	Vcard_DToL10075-RA
OG0000167	XP_026490816.1	Vcard_DToL04638-RA
OG0000167	XP_026483730.1	Vcard_DToL17484-RA
OG0000169	XP_026493199.1	Vcard_DToL13220-RA
OG0000169	XP_026493187.1	Vcard_DToL13222-RA
OG0000169	XP_026493039.1	Vcard_DToL13212-RA
OG0000170	XP_026489549.1	Vcard_DToL09757-RA
OG0000170	XP_026489547.1	Vcard_DToL09758-RA, Vcard_DToL09756-RA
OG0000171	XP_026483589.1	Vcard_DToL06760-RA
OG0000171	XP_026483600.1	Vcard_DToL06758-RA
OG0000172	XP_026487122.1	Vcard_DToL08055-RA
OG0000172	XP_026501368.1	Vcard_DToL08028-RA
OG0000174	XP_026487863.1	Vcard_DToL01197-RA
OG0000174	XP_026499849.1	Vcard_DToL00231-RA
OG0000175	XP_026492931.1	Vcard_DToL16841-RA
OG0000175	XP_026489948.1, XP_026489949.1	Vcard_DToL08937-RA
OG0000175	XP_026492115.1	Vcard_DToL09691-RA
OG0000178	XP_026501824.1	Vcard_DToL16798-RA
OG0000178	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1	Vcard_DToL16964-RA
OG0000180	XP_026500733.1, XP_026500732.1	Vcard_DToL00698-RA
OG0000180	XP_026500639.1	Vcard_DToL00695-RA, Vcard_DToL00696-RA
OG0000180	XP_026500737.1	Vcard_DToL00697-RA
OG0000180	XP_026500685.1	Vcard_DToL00694-RA
OG0000181	XP_026487965.1, XP_026487964.1	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	XP_026490062.1	Vcard_DToL04801-RA
OG0000183	XP_026493134.1, XP_026493142.1	Vcard_DToL13208-RA
OG0000183	XP_026500054.1	Vcard_DToL01715-RA
OG0000184	XP_026499472.1	Vcard_DToL04778-RA
OG0000184	XP_026485414.1	Vcard_DToL10518-RA
OG0000184	XP_026485484.1	Vcard_DToL10517-RA
OG0000185	XP_026494681.1	Vcard_DToL11157-RA
OG0000185	XP_026494606.1, XP_026494683.1	Vcard_DToL11158-RA, Vcard_DToL11159-RA
OG0000186	XP_026488639.1	Vcard_DToL18093-RA
OG0000187	XP_026483320.1	Vcard_DToL18267-RA
OG0000188	XP_026492468.1	Vcard_DToL16003-RA, Vcard_DToL16004-RA
OG0000189	XP_026486864.1	Vcard_DToL12111-RA
OG0000189	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1	Vcard_DToL12109-RA, Vcard_DToL12110-RA
OG0000190	XP_026485321.1	Vcard_DToL10320-RA
OG0000191	XP_026488824.1, XP_026488828.1	Vcard_DToL00710-RA, Vcard_DToL00708-RA
OG0000193	XP_026485379.1	Vcard_DToL10620-RA
OG0000193	XP_026485410.1	Vcard_DToL10410-RA, Vcard_DToL10411-RA
OG0000193	XP_026485291.1	Vcard_DToL10412-RA
OG0000196	XP_026487864.1	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	XP_026486620.1, XP_026486619.1	Vcard_DToL00934-RA
OG0000197	XP_026484969.1, XP_026484968.1, XP_026484966.1	Vcard_DToL02361-RA
OG0000198	XP_026494933.1	Vcard_DToL08912-RA
OG0000198	XP_026501551.1	Vcard_DToL08911-RA
OG0000200	XP_026488475.1	Vcard_DToL04306-RA, Vcard_DToL04305-RA, Vcard_DToL04304-RA
OG0000201	XP_026486827.1	Vcard_DToL12096-RA
OG0000201	XP_026486826.1	Vcard_DToL12097-RA
OG0000203	XP_026487162.1	Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA
OG0000205	XP_026496344.1	Vcard_DToL03236-RA
OG0000205	XP_026496328.1	Vcard_DToL03235-RA
OG0000206	XP_026483159.1	Vcard_DToL18698-RA
OG0000207	XP_026500931.1	Vcard_DToL17790-RA
OG0000208	XP_026489345.1, XP_026498784.1	Vcard_DToL06230-RA
OG0000209	XP_026490392.1	Vcard_DToL14070-RA
OG0000209	XP_026486988.1	Vcard_DToL12081-RA
OG0000210	XP_026492865.1	Vcard_DToL06539-RA
OG0000210	XP_026501168.1	Vcard_DToL06537-RA
OG0000210	XP_026501529.1	Vcard_DToL06540-RA
OG0000212	XP_026497545.1	Vcard_DToL05123-RA
OG0000212	XP_026485908.1, XP_026485827.1	Vcard_DToL05122-RA
OG0000213	XP_026485069.1	Vcard_DToL02226-RA
OG0000213	XP_026485071.1	Vcard_DToL02222-RA
OG0000213	XP_026484522.1	Vcard_DToL02218-RA
OG0000214	XP_026483703.1, XP_026483711.1	Vcard_DToL06709-RA
OG0000215	XP_026491895.1	Vcard_DToL15777-RA
OG0000215	XP_026491785.1	Vcard_DToL03753-RA
OG0000215	XP_026491875.1	Vcard_DToL15776-RA
OG0000216	XP_026485745.1	Vcard_DToL05432-RA
OG0000216	XP_026485749.1	Vcard_DToL05434-RA
OG0000217	XP_026494769.1	Vcard_DToL01448-RA, Vcard_DToL01449-RA
OG0000217	XP_026494771.1	Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA
OG0000219	XP_026500081.1	Vcard_DToL15870-RA
OG0000220	XP_026486150.1	Vcard_DToL05227-RA
OG0000220	XP_026486313.1	Vcard_DToL05229-RA
OG0000220	XP_026486249.1	Vcard_DToL05216-RA
OG0000221	XP_026486244.1	Vcard_DToL05219-RA
OG0000221	XP_026486245.1, XP_026486247.1	Vcard_DToL05218-RA
OG0000221	XP_026486248.1	Vcard_DToL05217-RA
OG0000222	XP_026483158.1	Vcard_DToL18695-RA
OG0000222	XP_026483160.1	Vcard_DToL18700-RA
OG0000228	XP_026483737.1	Vcard_DToL17482-RA
OG0000228	XP_026499496.1	Vcard_DToL18009-RA, Vcard_DToL18001-RA, Vcard_DToL18011-RA, Vcard_DToL18017-RA, Vcard_DToL18005-RA
OG0000229	XP_026489655.1	Vcard_DToL14725-RA
OG0000229	XP_026486610.1	Vcard_DToL00962-RA
OG0000230	XP_026496664.1	Vcard_DToL07194-RA
OG0000230	XP_026489382.1	Vcard_DToL18167-RA
OG0000230	XP_026496864.1	Vcard_DToL07199-RA
OG0000232	XP_026484823.1	Vcard_DToL06567-RA
OG0000233	XP_026485758.1	Vcard_DToL04978-RA
OG0000233	XP_026486210.1, XP_026486211.1, XP_026486209.1	Vcard_DToL04976-RA
OG0000234	XP_026483774.1	Vcard_DToL17522-RA
OG0000234	XP_026483729.1	Vcard_DToL17436-RA
OG0000234	XP_026489181.1	Vcard_DToL07659-RA, Vcard_DToL07657-RA
OG0000235	XP_026491220.1, XP_026491221.1	Vcard_DToL03594-RA
OG0000235	XP_026491492.1, XP_026491491.1	Vcard_DToL03595-RA
OG0000236	XP_026486956.1, XP_026486957.1, XP_026486958.1	Vcard_DToL11988-RA
OG0000236	XP_026486884.1	Vcard_DToL11986-RA
OG0000237	XP_026498172.1	Vcard_DToL09774-RA
OG0000237	XP_026498184.1	Vcard_DToL09775-RA
OG0000238	XP_026501419.1, XP_026501420.1	Vcard_DToL08425-RA
OG0000238	XP_026500089.1	Vcard_DToL06802-RA
OG0000239	XP_026490889.1	Vcard_DToL04533-RA
OG0000239	XP_026490892.1, XP_026490891.1	Vcard_DToL04531-RA
OG0000239	XP_026490894.1, XP_026490893.1	Vcard_DToL04532-RA
OG0000245	XP_026500607.1, XP_026498589.1	Vcard_DToL07181-RA
OG0000245	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1	Vcard_DToL15030-RA
OG0000246	XP_026498593.1	Vcard_DToL03003-RA
OG0000247	XP_026497474.1	Vcard_DToL15273-RA
OG0000247	XP_026497455.1	Vcard_DToL15275-RA
OG0000248	XP_026483522.1	Vcard_DToL18456-RA
OG0000248	XP_026483488.1, XP_026483487.1	Vcard_DToL18500-RA
OG0000249	XP_026496110.1	Vcard_DToL13886-RA
OG0000249	XP_026496131.1	Vcard_DToL13885-RA
OG0000250	XP_026483565.1	Vcard_DToL18410-RA
OG0000250	XP_026483536.1	Vcard_DToL18445-RA
OG0000254	XP_026483833.1	Vcard_DToL17603-RA, Vcard_DToL17607-RA
OG0000254	XP_026483657.1	Vcard_DToL17610-RA
OG0000254	XP_026483658.1	Vcard_DToL17608-RA
OG0000256	XP_026496954.1	Vcard_DToL01480-RA
OG0000257	XP_026496860.1	Vcard_DToL07238-RA
OG0000257	XP_026490765.1	Vcard_DToL08163-RA
OG0000257	XP_026490754.1	Vcard_DToL08160-RA
OG0000258	XP_026491836.1	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA, Vcard_DToL13990-RA, Vcard_DToL13992-RA
OG0000259	XP_026498189.1	Vcard_DToL09794-RA
OG0000260	XP_026483812.1, XP_026483811.1, XP_026483815.1	Vcard_DToL17440-RA
OG0000262	XP_026494163.1	Vcard_DToL14416-RA
OG0000262	XP_026494162.1	Vcard_DToL14415-RA
OG0000263	XP_026499494.1	Vcard_DToL18007-RA, Vcard_DToL09562-RA
OG0000264	XP_026485844.1	Vcard_DToL05256-RA
