Orthogroup	Vanessa_tameamea	Bicyclus_anynana
OG0000036	XP_026488619.1, XP_026499962.1	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	XP_026490184.1	Bany_01919-RA
OG0000039	XP_026488878.1, XP_026488879.1	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA
OG0000041	XP_026490916.1	Bany_11570-RA
OG0000041	XP_026491898.1, XP_026483601.1	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA
OG0000041	XP_026497785.1	Bany_02401-RA, Bany_02400-RA
OG0000044	XP_026500138.1	Bany_12753-RA
OG0000048	XP_026490402.1	Bany_12304-RA
OG0000049	XP_026484586.1	Bany_06008-RA
OG0000049	XP_026485111.1	Bany_05882-RA, Bany_05877-RA
OG0000050	XP_026500975.1, XP_026500978.1, XP_026500979.1	Bany_14319-RA
OG0000053	XP_026497060.1	Bany_05073-RA
OG0000053	XP_026497094.1	Bany_05075-RA
OG0000053	XP_026497149.1	Bany_05076-RA
OG0000054	XP_026492237.1	Bany_08678-RA
OG0000055	XP_026491734.1	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000056	XP_026498825.1	Bany_17818-RA
OG0000056	XP_026498818.1	Bany_17820-RA
OG0000056	XP_026499964.1	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA
OG0000057	XP_026496531.1	Bany_11764-RA
OG0000057	XP_026496524.1	Bany_11763-RA
OG0000057	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1	Bany_10000-RA
OG0000058	XP_026489850.1, XP_026492925.1	Bany_10778-RA
OG0000058	XP_026490603.1	Bany_05192-RA, Bany_00871-RA
OG0000058	XP_026497189.1, XP_026489550.1	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA
OG0000059	XP_026497961.1, XP_026501315.1	Bany_07470-RA
OG0000059	XP_026491881.1	Bany_10761-RA
OG0000060	XP_026493438.1, XP_026493441.1	Bany_15282-RA
OG0000061	XP_026488092.1	Bany_08020-RA
OG0000062	XP_026486062.1	Bany_10506-RA
OG0000062	XP_026483731.1	Bany_06854-RA
OG0000062	XP_026493053.1, XP_026493052.1, XP_026499492.1	Bany_15127-RA
OG0000063	XP_026483335.1, XP_026483375.1	Bany_06319-RA
OG0000064	XP_026497737.1, XP_026491802.1	Bany_03190-RA, Bany_11765-RA
OG0000066	XP_026500159.1	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA
OG0000067	XP_026499417.1	Bany_02338-RA
OG0000067	XP_026492031.1	Bany_16557-RA, Bany_16558-RA, Bany_06790-RA
OG0000068	XP_026494442.1	Bany_02228-RA, Bany_02226-RA
OG0000069	XP_026489035.1	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA, Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA
OG0000071	XP_026492973.1	Bany_13125-RA
OG0000073	XP_026488168.1, XP_026488091.1, XP_026488023.1	Bany_06221-RA
OG0000073	XP_026501251.1, XP_026501242.1	Bany_06084-RA
OG0000073	XP_026483469.1	Bany_06075-RA
OG0000075	XP_026487164.1	Bany_07998-RA
OG0000075	XP_026488301.1, XP_026488302.1	Bany_08220-RA
OG0000076	XP_026490686.1	Bany_16171-RA, Bany_16169-RA
OG0000077	XP_026485880.1	Bany_10084-RA
OG0000077	XP_026485943.1	Bany_10083-RA
OG0000078	XP_026497763.1, XP_026497768.1	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA
OG0000079	XP_026485855.1	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA
OG0000080	XP_026485596.1	Bany_08039-RA, Bany_17050-RA, Bany_16270-RA, Bany_11430-RA, Bany_10988-RA, Bany_17695-RA, Bany_15621-RA, Bany_06228-RA, Bany_12336-RA, Bany_06231-RA, Bany_04332-RA, Bany_15063-RA, Bany_00139-RA, Bany_00782-RA, Bany_04529-RA, Bany_04166-RA, Bany_08622-RA, Bany_09336-RA
OG0000081	XP_026498852.1	Bany_13067-RA, Bany_18131-RA, Bany_16366-RA
OG0000081	XP_026499487.1, XP_026486537.1, XP_026500021.1	Bany_08031-RA, Bany_18134-RA, Bany_17508-RA, Bany_13965-RA, Bany_07436-RA
OG0000081	XP_026491027.1	Bany_16193-RA
OG0000081	XP_026493409.1	Bany_08667-RA
OG0000082	XP_026484136.1	Bany_06988-RA
OG0000082	XP_026484086.1	Bany_06982-RA
OG0000082	XP_026484166.1	Bany_06548-RA
OG0000082	XP_026484161.1	Bany_06547-RA
OG0000083	XP_026498757.1	Bany_18002-RA, Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA
OG0000084	XP_026492846.1	Bany_12323-RA, Bany_12325-RA
OG0000084	XP_026492749.1	Bany_12324-RA
OG0000085	XP_026496424.1	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000087	XP_026491033.1, XP_026491504.1	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA
OG0000088	XP_026483148.1	Bany_16383-RA
OG0000088	XP_026489494.1	Bany_06437-RA
OG0000091	XP_026496136.1	Bany_10128-RA
OG0000091	XP_026498590.1, XP_026499894.1	Bany_13092-RA
OG0000091	XP_026498210.1	Bany_13091-RA, Bany_08216-RA, Bany_07375-RA, Bany_04928-RA, Bany_09349-RA
OG0000092	XP_026488296.1	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA
OG0000093	XP_026483919.1, XP_026483920.1	Bany_07027-RA
OG0000093	XP_026484027.1, XP_026484028.1	Bany_07030-RA, Bany_07031-RA
OG0000094	XP_026488555.1	Bany_02330-RA
OG0000094	XP_026492024.1	Bany_02336-RA, Bany_02337-RA
OG0000095	XP_026484614.1, XP_026484892.1	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA
OG0000096	XP_026498766.1	Bany_05878-RA
OG0000096	XP_026489765.1, XP_026489764.1	Bany_05883-RA
OG0000096	XP_026498776.1, XP_026498782.1	Bany_05880-RA
OG0000097	XP_026498905.1, XP_026498928.1	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	XP_026498603.1	Bany_15791-RA
OG0000100	XP_026495781.1	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA
OG0000100	XP_026495693.1	Bany_14503-RA
OG0000101	XP_026493040.1, XP_026493038.1	Bany_15315-RA
OG0000101	XP_026493188.1	Bany_15313-RA
OG0000103	XP_026498404.1, XP_026498400.1, XP_026498403.1	Bany_01667-RA
OG0000106	XP_026485887.1	Bany_03257-RA, Bany_18159-RA
OG0000109	XP_026497980.1	Bany_11580-RA, Bany_08603-RA, Bany_08602-RA
OG0000110	XP_026488961.1, XP_026488962.1	Bany_01227-RA, Bany_01228-RA
OG0000110	XP_026489019.1	Bany_01226-RA, Bany_01225-RA
OG0000110	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1	Bany_01235-RA
OG0000111	XP_026485541.1	Bany_10939-RA
OG0000111	XP_026486198.1	Bany_10437-RA
OG0000111	XP_026486121.1	Bany_10438-RA
OG0000112	XP_026488156.1	Bany_03560-RA
OG0000112	XP_026488169.1	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA
OG0000113	XP_026498858.1	Bany_15687-RA
OG0000113	XP_026486407.1	Bany_16241-RA
OG0000114	XP_026488859.1	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA
OG0000114	XP_026488856.1	Bany_01222-RA, Bany_01450-RA, Bany_01444-RA, Bany_01446-RA
OG0000115	XP_026494479.1	Bany_02238-RA
OG0000115	XP_026500251.1, XP_026500243.1	Bany_06385-RA
OG0000115	XP_026494478.1	Bany_02241-RA
OG0000116	XP_026486128.1	Bany_10490-RA
OG0000116	XP_026494070.1	Bany_17622-RA
OG0000116	XP_026496653.1	Bany_07549-RA
OG0000117	XP_026488567.1	Bany_01550-RA
OG0000117	XP_026488566.1	Bany_01549-RA, Bany_01548-RA
OG0000118	XP_026490964.1	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA
OG0000119	XP_026496437.1	Bany_15451-RA, Bany_15452-RA
OG0000122	XP_026499961.1	Bany_08302-RA
OG0000122	XP_026499981.1	Bany_13318-RA
OG0000123	XP_026500003.1, XP_026496505.1, XP_026498408.1	Bany_07450-RA
OG0000124	XP_026492747.1	Bany_11544-RA, Bany_11546-RA
OG0000124	XP_026492758.1	Bany_11548-RA
OG0000125	XP_026491913.1	Bany_02581-RA
OG0000125	XP_026491928.1	Bany_02582-RA
OG0000127	XP_026498360.1, XP_026489582.1	Bany_13810-RA
OG0000127	XP_026487263.1	Bany_13611-RA
OG0000128	XP_026494344.1	Bany_11636-RA
OG0000128	XP_026494318.1	Bany_11151-RA
OG0000128	XP_026494332.1	Bany_11631-RA
OG0000129	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA
OG0000131	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1	Bany_12626-RA
OG0000132	XP_026489619.1, XP_026489627.1	Bany_15311-RA, Bany_08048-RA
OG0000133	XP_026500939.1	Bany_12678-RA
OG0000133	XP_026501069.1, XP_026500315.1	Bany_12676-RA
OG0000134	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1	Bany_02357-RA
OG0000134	XP_026497731.1	Bany_02392-RA
OG0000134	XP_026500779.1	Bany_02358-RA
OG0000135	XP_026500130.1	Bany_11062-RA, Bany_05755-RA, Bany_08050-RA, Bany_11858-RA, Bany_16925-RA, Bany_11074-RA, Bany_17866-RA, Bany_11371-RA, Bany_05756-RA, Bany_14610-RA, Bany_18145-RA, Bany_11854-RA, Bany_18149-RA, Bany_11855-RA, Bany_00009-RA, Bany_05308-RA, Bany_02634-RA, Bany_18146-RA, Bany_11856-RA, Bany_12768-RA, Bany_16902-RA, Bany_18127-RA, Bany_16885-RA, Bany_13389-RA, Bany_05110-RA, Bany_08394-RA, Bany_11487-RA, Bany_15077-RA, Bany_00971-RA, Bany_18148-RA, Bany_18147-RA
OG0000137	XP_026484810.1	Bany_00008-RA
OG0000138	XP_026488759.1, XP_026488751.1	Bany_03566-RA
OG0000139	XP_026500945.1	Bany_09402-RA
OG0000139	XP_026500227.1	Bany_17102-RA
OG0000139	XP_026483306.1	Bany_09403-RA
OG0000139	XP_026489675.1	Bany_09407-RA
OG0000140	XP_026486064.1	Bany_17563-RA
OG0000140	XP_026486773.1	Bany_17491-RA
OG0000140	XP_026486075.1	Bany_17568-RA
OG0000140	XP_026486054.1	Bany_17569-RA
OG0000141	XP_026496357.1, XP_026496430.1	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	XP_026483563.1	Bany_01108-RA
OG0000142	XP_026483566.1	Bany_01116-RA
OG0000142	XP_026483561.1	Bany_01110-RA
OG0000143	XP_026488575.1, XP_026488573.1	Bany_01334-RA
OG0000143	XP_026488574.1	Bany_01332-RA, Bany_01256-RA
OG0000144	XP_026493139.1	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA
OG0000144	XP_026493387.1	Bany_15148-RA
OG0000145	XP_026488455.1	Bany_08426-RA
OG0000147	XP_026493400.1	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000148	XP_026485046.1	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA, Bany_12306-RA
OG0000149	XP_026485425.1	Bany_10899-RA
OG0000149	XP_026484245.1	Bany_11924-RA
OG0000149	XP_026492839.1	Bany_12305-RA
OG0000151	XP_026499908.1, XP_026497527.1	Bany_13240-RA
OG0000152	XP_026493652.1	Bany_04679-RA
OG0000152	XP_026493650.1	Bany_04673-RA
OG0000152	XP_026493647.1	Bany_04678-RA
OG0000153	XP_026490803.1, XP_026486667.1	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	XP_026493590.1, XP_026493568.1	Bany_17666-RA, Bany_17667-RA
OG0000155	XP_026497534.1	Bany_17351-RA, Bany_17350-RA
OG0000156	XP_026497267.1, XP_026496199.1, XP_026499976.1	Bany_14780-RA, Bany_14779-RA
OG0000160	XP_026497982.1, XP_026493406.1	Bany_02510-RA
OG0000160	XP_026498527.1, XP_026487949.1, XP_026491794.1	Bany_02935-RA
OG0000160	XP_026489771.1	Bany_13021-RA
OG0000161	XP_026489384.1	Bany_14911-RA, Bany_12660-RA
OG0000161	XP_026500058.1, XP_026494175.1, XP_026484617.1	Bany_12831-RA
OG0000162	XP_026495429.1, XP_026495426.1, XP_026499500.1	Bany_11202-RA, Bany_11201-RA
OG0000162	XP_026499499.1	Bany_11203-RA
OG0000163	XP_026494611.1	Bany_11267-RA
OG0000164	XP_026483367.1	Bany_17803-RA, Bany_01418-RA
OG0000165	XP_026491239.1	Bany_05323-RA
OG0000166	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1	Bany_15015-RA
OG0000166	XP_026493524.1, XP_026493522.1, XP_026493525.1	Bany_15344-RA
OG0000167	XP_026490816.1	Bany_08543-RA
OG0000167	XP_026483730.1	Bany_06853-RA
OG0000169	XP_026493199.1	Bany_11620-RA
OG0000169	XP_026493187.1	Bany_11622-RA
OG0000169	XP_026493039.1	Bany_11612-RA
OG0000170	XP_026489549.1	Bany_15234-RA, Bany_15233-RA
OG0000171	XP_026483589.1	Bany_06399-RA
OG0000171	XP_026483600.1	Bany_06400-RA, Bany_06401-RA
OG0000172	XP_026487122.1	Bany_01720-RA
OG0000172	XP_026499901.1	Bany_01725-RA, Bany_01726-RA
OG0000172	XP_026501368.1	Bany_01776-RA
OG0000174	XP_026499849.1	Bany_07483-RA
OG0000175	XP_026492931.1	Bany_17401-RA
OG0000175	XP_026489948.1, XP_026489949.1	Bany_02772-RA
OG0000175	XP_026492115.1	Bany_07033-RA
OG0000178	XP_026501824.1	Bany_17428-RA
OG0000178	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1	Bany_17535-RA
OG0000180	XP_026500685.1	Bany_09947-RA, Bany_07642-RA
OG0000181	XP_026487965.1, XP_026487964.1, XP_026487952.1, XP_026487961.1	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	XP_026490062.1	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA
OG0000183	XP_026493134.1, XP_026493142.1	Bany_11605-RA
OG0000183	XP_026500054.1	Bany_04948-RA
OG0000183	XP_026491498.1	Bany_05295-RA
OG0000184	XP_026499472.1	Bany_10003-RA
OG0000184	XP_026485414.1	Bany_10868-RA
OG0000184	XP_026485484.1	Bany_10869-RA
OG0000185	XP_026494681.1	Bany_13249-RA
OG0000185	XP_026494606.1, XP_026494683.1	Bany_13248-RA, Bany_13247-RA
OG0000186	XP_026488639.1	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA
OG0000187	XP_026483320.1	Bany_01200-RA
OG0000187	XP_026483321.1	Bany_01201-RA
OG0000188	XP_026492468.1	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA
OG0000189	XP_026486864.1	Bany_14112-RA, Bany_14113-RA
OG0000189	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1	Bany_14114-RA
OG0000190	XP_026485321.1	Bany_11033-RA
OG0000191	XP_026488824.1, XP_026488828.1	Bany_07730-RA
OG0000193	XP_026485379.1	Bany_10556-RA
OG0000193	XP_026485291.1	Bany_10955-RA
OG0000196	XP_026487886.1	Bany_17044-RA
OG0000196	XP_026487864.1	Bany_04640-RA, Bany_04860-RA
OG0000197	XP_026486620.1, XP_026486619.1	Bany_04457-RA
OG0000197	XP_026484969.1, XP_026484968.1, XP_026484966.1	Bany_00477-RA
OG0000198	XP_026494933.1	Bany_02797-RA
OG0000198	XP_026501551.1	Bany_02795-RA, Bany_03349-RA, Bany_03350-RA, Bany_02793-RA, Bany_02792-RA, Bany_02791-RA
OG0000199	XP_026486145.1	Bany_10081-RA, Bany_10082-RA, Bany_05597-RA
OG0000200	XP_026488475.1	Bany_08252-RA, Bany_08251-RA
OG0000201	XP_026486827.1, XP_026486826.1	Bany_14127-RA, Bany_14125-RA
OG0000205	XP_026496328.1	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA
OG0000206	XP_026483159.1	Bany_16059-RA
OG0000208	XP_026489321.1, XP_026498785.1	Bany_03552-RA
OG0000208	XP_026489345.1, XP_026498784.1	Bany_03551-RA
OG0000209	XP_026490392.1	Bany_16584-RA
OG0000209	XP_026486988.1	Bany_14066-RA
OG0000210	XP_026492865.1	Bany_06149-RA
OG0000210	XP_026501529.1	Bany_06148-RA
OG0000212	XP_026485827.1	Bany_10229-RA
OG0000213	XP_026485069.1	Bany_00465-RA
OG0000213	XP_026485071.1	Bany_00463-RA
OG0000213	XP_026484522.1	Bany_00461-RA
OG0000214	XP_026483703.1, XP_026483711.1	Bany_06287-RA
OG0000215	XP_026491895.1	Bany_02488-RA
OG0000215	XP_026491785.1	Bany_05620-RA
OG0000215	XP_026491875.1	Bany_02487-RA
OG0000216	XP_026485745.1, XP_026485749.1	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA
OG0000217	XP_026494731.1	Bany_04902-RA
OG0000218	XP_026494855.1	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA
OG0000219	XP_026500081.1	Bany_02621-RA
OG0000220	XP_026486313.1	Bany_10486-RA
OG0000220	XP_026486249.1	Bany_10494-RA
OG0000221	XP_026486244.1	Bany_10492-RA
OG0000221	XP_026486245.1, XP_026486247.1, XP_026486248.1	Bany_10493-RA
OG0000222	XP_026483158.1	Bany_16054-RA, Bany_16055-RA
OG0000222	XP_026483160.1	Bany_16060-RA, Bany_16057-RA, Bany_18143-RA, Bany_16056-RA, Bany_04103-RA
OG0000225	XP_026500129.1	Bany_09587-RA
OG0000226	XP_026497883.1, XP_026485487.1, XP_026495593.1	Bany_16157-RA
OG0000226	XP_026492169.1	Bany_17364-RA
OG0000228	XP_026483737.1	Bany_17593-RA, Bany_12221-RA, Bany_16549-RA, Bany_06852-RA
OG0000228	XP_026499496.1	Bany_03845-RA, Bany_12796-RA, Bany_15129-RA
OG0000229	XP_026489655.1	Bany_09452-RA
OG0000229	XP_026486610.1	Bany_04487-RA
OG0000230	XP_026496664.1	Bany_11953-RA
OG0000230	XP_026496864.1	Bany_11957-RA
OG0000231	XP_026488937.1	Bany_01177-RA
OG0000232	XP_026484823.1	Bany_06126-RA
OG0000233	XP_026485758.1	Bany_10114-RA
OG0000233	XP_026486210.1, XP_026486211.1, XP_026486209.1	Bany_10111-RA
OG0000234	XP_026483774.1	Bany_06823-RA
OG0000234	XP_026483729.1, XP_026489181.1	Bany_06909-RA
OG0000235	XP_026491220.1, XP_026491221.1	Bany_05454-RA
OG0000235	XP_026491492.1, XP_026491491.1	Bany_05455-RA
OG0000236	XP_026486956.1, XP_026486957.1, XP_026486958.1	Bany_13986-RA
OG0000236	XP_026486884.1	Bany_13983-RA
OG0000237	XP_026498172.1	Bany_15216-RA
OG0000237	XP_026498191.1	Bany_15215-RA
OG0000238	XP_026501419.1, XP_026501420.1	Bany_03431-RA
OG0000238	XP_026500089.1	Bany_06352-RA
OG0000239	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1	Bany_08440-RA
OG0000245	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1	Bany_15446-RA, Bany_03563-RA, Bany_15421-RA, Bany_17767-RA
OG0000246	XP_026498593.1	Bany_15839-RA
OG0000247	XP_026497474.1	Bany_14900-RA
OG0000247	XP_026497382.1, XP_026497455.1	Bany_14903-RA
OG0000248	XP_026483522.1	Bany_01028-RA
OG0000248	XP_026483488.1, XP_026483487.1	Bany_01008-RA
OG0000249	XP_026496110.1	Bany_16512-RA, Bany_16511-RA
OG0000249	XP_026496131.1	Bany_16510-RA
OG0000250	XP_026483565.1	Bany_01022-RA
OG0000253	XP_026496141.1	Bany_13196-RA, Bany_14120-RA, Bany_13591-RA
OG0000254	XP_026483833.1, XP_026483657.1	Bany_06713-RA
OG0000255	XP_026500405.1	Bany_03709-RA
OG0000256	XP_026496954.1	Bany_15031-RA
OG0000257	XP_026496860.1	Bany_11989-RA
OG0000257	XP_026490765.1, XP_026490754.1	Bany_01627-RA
OG0000258	XP_026491836.1	Bany_16661-RA, Bany_16649-RA, Bany_16648-RA
OG0000259	XP_026498189.1	Bany_15193-RA
OG0000259	XP_026493390.1	Bany_15079-RA
OG0000260	XP_026483812.1, XP_026483811.1	Bany_07795-RA
OG0000260	XP_026483815.1	Bany_06894-RA
OG0000261	XP_026488960.1, XP_026488869.1, XP_026488958.1	Bany_17317-RA, Bany_02406-RA, Bany_17316-RA
OG0000262	XP_026494162.1	Bany_09762-RA
