Orthogroup	Junonia_coenia	Heliconius_melpomene_melpomene
OG0000004	JC_13588-RA	HMEL022649-RA, HMEL022642-RA
OG0000004	JC_13589-RA, JC_13591-RA	HMEL022631-RA, HMEL022626-RA
OG0000004	JC_12131-RA	HMEL022562-RA, HMEL022600-RA
OG0000004	JC_13605-RA	HMEL022640-RA, HMEL022652-RA
OG0000004	JC_13594-RA	HMEL022633-RA
OG0000004	JC_13612-RA, JC_16548-RA, JC_13613-RA, JC_13584-RA, JC_13586-RA, JC_10921-RA, JC_04781-RA, JC_07468-RA, JC_13615-RA, JC_13581-RA, JC_13622-RA, JC_13619-RA, JC_13585-RA, JC_13614-RA, JC_13593-RA, JC_13587-RA, JC_13590-RA, JC_13620-RA, JC_13616-RA, JC_16186-RA, JC_16185-RA, JC_13582-RA	HMEL022671-RA, HMEL022653-RA
OG0000006	JC_09745-RA	HMEL036714g1.t1, HMEL037300g1.t1, HMEL030852g1.t1, HMEL036307g1.t1, HMEL032297g1.t1, HMEL034589g1.t1, HMEL031518g1.t1, HMEL033742g1.t1, HMEL035039g1.t1, HMEL035736g1.t1, HMEL035729g1.t1, HMEL017376g1.t1, HMEL036296g1.t1, HMEL030626g1.t1, HMEL032970g1.t1, HMEL016380g1.t1, HMEL036806g1.t1, HMEL031581g1.t1, HMEL017365g1.t1, HMEL033159g1.t1, HMEL032422g1.t1, HMEL014338g1.t1, HMEL032981g1.t1, HMEL032114g1.t1, HMEL031739g1.t1, HMEL036908g1.t1, HMEL034969g1.t1, HMEL034752g1.t1, HMEL037690g1.t1, HMEL007424g1.t1, HMEL035430g1.t1, HMEL034206g1.t1, HMEL032047g1.t1, HMEL036962g1.t1, HMEL032875g1.t1, HMEL014493g1.t1, HMEL013372g1.t1, HMEL037911g1.t1, HMEL033160g1.t1, HMEL034935g1.t1, HMEL037180g1.t1, HMEL018078g1.t1, HMEL030005g1.t1, HMEL035897g1.t1, HMEL031584g1.t1, HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1, HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1
OG0000007	JC_08873-RA	HMEL012825g1.t1
OG0000007	JC_01109-RA	HMEL030866g1.t1
OG0000007	JC_01110-RA	HMEL006689g1.t1
OG0000007	JC_01591-RA	HMEL009008g1.t1
OG0000007	JC_14896-RA	HMEL003519g1.t1
OG0000007	JC_14755-RA, JC_04331-RA, JC_08133-RA, JC_08134-RA, JC_08137-RA, JC_08129-RA, JC_08130-RA, JC_08131-RA, JC_09378-RA	HMEL012399g1.t1
OG0000009	JC_16098-RA	HMEL037374g1.t1
OG0000009	JC_16100-RA	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1
OG0000009	JC_16052-RA, JC_16051-RA, JC_16045-RA, JC_16106-RA, JC_16104-RA, JC_16103-RA, JC_16105-RA, JC_16044-RA	HMEL011209g1.t1
OG0000010	JC_15129-RA, JC_17221-RA	HMEL030536g1.t1, HMEL034109g1.t1, HMEL034013g1.t1, HMEL030044g1.t1, HMEL030696g1.t1, HMEL003163g1.t1, HMEL033403g1.t1, HMEL031571g1.t1, HMEL033485g1.t1, HMEL034702g1.t1, HMEL033995g1.t1, HMEL032496g1.t1, HMEL034137g1.t1, HMEL016177g1.t1, HMEL033951g1.t1, HMEL034163g1.t1, HMEL034386g1.t1, HMEL035784g1.t1, HMEL030537g1.t1, HMEL030543g1.t1, HMEL034133g1.t1, HMEL031755g1.t1, HMEL035797g1.t1, HMEL037346g1.t1, HMEL035529g1.t1, HMEL016311g1.t1
OG0000010	JC_15688-RA	HMEL032886g1.t1, HMEL034166g1.t1, HMEL034096g1.t1, HMEL036217g1.t1, HMEL031773g1.t1, HMEL037297g1.t1, HMEL030540g1.t1, HMEL030538g1.t1, HMEL034164g1.t1, HMEL037295g1.t1
OG0000011	JC_11451-RA, JC_11450-RA	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	JC_11394-RA	HMEL033610g1.t1
OG0000011	JC_11395-RA	HMEL033611g1.t1
OG0000011	JC_11508-RA, JC_11506-RA, JC_11505-RA	HMEL003019g1.t1, HMEL003018g1.t1
OG0000011	JC_11516-RA, JC_11515-RA, JC_11514-RA, JC_11509-RA, JC_11510-RA, JC_11511-RA	HMEL003020g1.t1, HMEL011718g1.t1
OG0000012	JC_06297-RA	HMEL036201g1.t1
OG0000012	JC_06244-RA, JC_06292-RA, JC_06271-RA	HMEL036193g1.t1
OG0000012	JC_06277-RA	HMEL036205g1.t1
OG0000012	JC_06276-RA	HMEL036207g1.t1, HMEL036206g1.t1
OG0000014	JC_13844-RA	HMEL035010g1.t1, HMEL037069g1.t1, HMEL032935g1.t1, HMEL030487g1.t1, HMEL033738g1.t1, HMEL030351g1.t1, HMEL038218g1.t1, HMEL032751g1.t1, HMEL038205g1.t1, HMEL030148g1.t1, HMEL034226g1.t1, HMEL035180g1.t1, HMEL034321g1.t1, HMEL030625g1.t1, HMEL034005g1.t1, HMEL035718g1.t1, HMEL030435g1.t1, HMEL030526g1.t1, HMEL034574g1.t1, HMEL031895g1.t1, HMEL030445g1.t1, HMEL035470g1.t1, HMEL030446g1.t1, HMEL030647g1.t1, HMEL035289g1.t1, HMEL030458g1.t1, HMEL033627g1.t1, HMEL036906g1.t1, HMEL036455g1.t1, HMEL031561g1.t1, HMEL035591g1.t1, HMEL033253g1.t1, HMEL030735g1.t1, HMEL037053g1.t1, HMEL015066g1.t1, HMEL033748g1.t1, HMEL030466g1.t1, HMEL036028g1.t1, HMEL031512g1.t1, HMEL035259g1.t1, HMEL034756g1.t1, HMEL036048g1.t1, HMEL037653g1.t1, HMEL033324g1.t1, HMEL030686g1.t1, HMEL031539g1.t1, HMEL036232g1.t1, HMEL030469g1.t1, HMEL036932g1.t1, HMEL036452g1.t1, HMEL033384g1.t1, HMEL037124g1.t1, HMEL033558g1.t1, HMEL034239g1.t1, HMEL036954g1.t1, HMEL030691g1.t1, HMEL030412g1.t1, HMEL033358g1.t1, HMEL032162g1.t1, HMEL037039g1.t1, HMEL035675g1.t1, HMEL033484g1.t1, HMEL030444g1.t1, HMEL038232g1.t1, HMEL030643g1.t1, HMEL002054g1.t1, HMEL036927g1.t1, HMEL030649g1.t1, HMEL033630g1.t1, HMEL035850g1.t1, HMEL033174g1.t1, HMEL034231g1.t1, HMEL033249g1.t1, HMEL030211g1.t1, HMEL033236g1.t1, HMEL030464g1.t1, HMEL034471g1.t1, HMEL033730g1.t1, HMEL036520g1.t1, HMEL037451g1.t1, HMEL033941g1.t1, HMEL036997g1.t1, HMEL035862g1.t1
OG0000016	JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA	HMEL007253g1.t1
OG0000016	JC_05786-RA, JC_05770-RA	HMEL033724g1.t1, HMEL034494g1.t1, HMEL037439g1.t1, HMEL037530g1.t1, HMEL031386g1.t1, HMEL036629g1.t1, HMEL033594g1.t1, HMEL034497g1.t1, HMEL033096g1.t1, HMEL030332g1.t1
OG0000016	JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	HMEL030907g1.t1
OG0000017	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA, JC_15131-RA, JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA	HMEL035047g1.t1
OG0000018	JC_13020-RA	HMEL030430g1.t1
OG0000018	JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA	HMEL030844g1.t1
OG0000021	JC_15264-RA	HMEL009528g1.t1
OG0000022	JC_00074-RA	HMEL030997g1.t1
OG0000022	JC_00072-RA	HMEL007417g1.t1
OG0000022	JC_16481-RA	HMEL017624g1.t1
OG0000022	JC_16435-RA	HMEL022608g1.t1
OG0000022	JC_00073-RA	HMEL006280g1.t1, HMEL002897g1.t1
OG0000022	JC_14598-RA	HMEL031458g1.t1
OG0000022	JC_14595-RA	HMEL031456g1.t1
OG0000022	JC_14602-RA	HMEL031459g1.t1
OG0000024	JC_07382-RA	HMEL012615g1.t1
OG0000024	JC_07383-RA, JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA, JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA, JC_07384-RA, JC_07386-RA	HMEL002645g1.t1, HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1, HMEL012607g1.t1, HMEL012608g1.t1, HMEL010265g1.t1, HMEL012609g1.t1, HMEL010268g1.t1
OG0000025	JC_16102-RA, JC_16101-RA	HMEL037372g1.t1, HMEL011166g1.t1
OG0000026	JC_09420-RA	HMEL033398g1.t1
OG0000028	JC_16613-RA, JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA, JC_11032-RA, JC_10533-RA, JC_13235-RA, JC_10565-RA, JC_10564-RA, JC_16342-RA, JC_10532-RA, JC_10671-RA, JC_10530-RA, JC_10529-RA, JC_10531-RA	HMEL004610g1.t1, HMEL014440g1.t1
OG0000028	JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA	HMEL022519g1.t1
OG0000029	JC_11805-RA, JC_00248-RA, JC_00251-RA, JC_11071-RA, JC_00252-RA, JC_00249-RA, JC_12809-RA, JC_00247-RA	HMEL003326g1.t1
OG0000030	JC_13311-RA	HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1
OG0000030	JC_12569-RA, JC_15084-RA, JC_14861-RA	HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1
OG0000031	JC_02492-RA	HMEL034216g1.t1, HMEL037646g1.t1, HMEL034645g1.t1, HMEL031436g1.t1, HMEL030105g1.t1, HMEL035683g1.t1, HMEL015624g1.t1, HMEL033688g1.t1, HMEL035475g1.t1, HMEL034126g1.t1, HMEL035750g1.t1, HMEL030037g1.t1, HMEL036916g1.t1, HMEL035917g1.t1, HMEL032654g1.t1, HMEL031633g1.t1, HMEL034340g1.t1, HMEL035692g1.t1, HMEL033329g1.t1, HMEL006082g1.t1, HMEL033192g1.t1, HMEL030783g1.t1, HMEL030314g1.t1, HMEL035840g1.t1, HMEL033794g1.t1, HMEL035444g1.t1, HMEL014963g1.t1, HMEL037193g1.t1, HMEL032003g1.t1, HMEL034168g1.t1, HMEL006868g1.t1, HMEL032266g1.t1, HMEL021670g1.t1, HMEL034218g1.t1, HMEL034560g1.t1, HMEL033685g1.t1, HMEL035355g1.t1, HMEL033511g1.t1, HMEL031327g1.t1, HMEL032685g1.t1, HMEL036418g1.t1
OG0000031	JC_12510-RA	HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1
OG0000032	JC_08098-RA	HMEL015875g1.t1
OG0000034	JC_02761-RA	HMEL005861g1.t1
OG0000034	JC_02341-RA, JC_02342-RA	HMEL033976g1.t1
OG0000034	JC_02354-RA	HMEL033982g1.t1
OG0000034	JC_02348-RA, JC_02347-RA	HMEL033974g1.t1
OG0000036	JC_14663-RA	HMEL034275g1.t1, HMEL034344g1.t1
OG0000037	JC_15113-RA	HMEL030807g1.t1, HMEL032651g1.t1, HMEL033157g1.t1, HMEL030931g1.t1, HMEL034171g1.t1, HMEL031033g1.t1, HMEL036617g1.t1, HMEL033891g1.t1, HMEL017796g1.t1, HMEL032024g1.t1, HMEL009627g1.t1, HMEL009684g1.t1, HMEL033218g1.t1, HMEL017989g1.t1, HMEL021858g1.t1, HMEL008299g1.t1, HMEL033785g1.t1, HMEL031808g1.t1, HMEL032482g1.t1, HMEL032792g1.t1, HMEL031085g1.t1, HMEL036171g1.t1, HMEL032928g1.t1, HMEL030405g1.t1, HMEL034583g1.t1, HMEL036300g1.t1, HMEL031269g1.t1, HMEL012162g1.t1, HMEL034038g1.t1, HMEL033741g1.t1, HMEL037455g1.t1, HMEL036329g1.t1, HMEL033336g1.t1, HMEL032344g1.t1, HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1
OG0000037	JC_16255-RA	HMEL036967g1.t1, HMEL031863g1.t1, HMEL034939g1.t1, HMEL030172g1.t1, HMEL017728g1.t1
OG0000038	JC_14539-RA	HMEL014479g1.t1
OG0000039	JC_12161-RA, JC_12165-RA	HMEL026010g1.t1
OG0000039	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA	HMEL017153-RA
OG0000039	JC_12154-RA	HMEL017154-RA
OG0000041	JC_09842-RA	HMEL032630g1.t1
OG0000044	JC_06620-RA	HMEL037464g1.t1, HMEL031112g1.t1, HMEL031256g1.t1, HMEL033771g1.t1, HMEL033452g1.t1, HMEL032950g1.t1, HMEL032956g1.t1, HMEL036476g1.t1, HMEL033574g1.t1, HMEL030660g1.t1
OG0000045	JC_06642-RA	HMEL036019g1.t1
OG0000045	JC_09127-RA	HMEL037144g1.t1
OG0000045	JC_04431-RA	HMEL031793g1.t1
OG0000045	JC_15568-RA, JC_15572-RA	HMEL034418g1.t1
OG0000046	JC_05581-RA, JC_05583-RA	HMEL010111g1.t1
OG0000048	JC_00039-RA, JC_04995-RA, JC_03035-RA, JC_11358-RA, JC_03645-RA, JC_15660-RA, JC_11945-RA, JC_15167-RA, JC_14135-RA, JC_15415-RA, JC_04809-RA, JC_17159-RA, JC_08103-RA, JC_16142-RA, JC_09989-RA, JC_10760-RA	HMEL033687g1.t1, HMEL016757g1.t1
OG0000048	JC_10761-RA	HMEL022308g1.t1
OG0000048	JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA	HMEL033686g1.t1
OG0000049	JC_09676-RA	HMEL003584-RA
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA	HMEL008772-RA
OG0000050	JC_10512-RA	HMEL017073-RA
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	HMEL022575-RA
OG0000052	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA	HMEL013845g1.t1
OG0000053	JC_00967-RA	HMEL030922g1.t1
OG0000053	JC_00969-RA	HMEL009070g1.t1
OG0000053	JC_00971-RA	HMEL009072g1.t1
OG0000053	JC_00972-RA	HMEL009073g1.t1
OG0000054	JC_07335-RA	HMEL018015g1.t1
OG0000054	JC_07330-RA	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1, HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	JC_07332-RA, JC_07331-RA	HMEL031505g1.t1
OG0000055	JC_03957-RA	HMEL035492g1.t1
OG0000055	JC_06931-RA, JC_03954-RA, JC_14082-RA	HMEL008379g1.t1
OG0000055	JC_14448-RA	HMEL033237g1.t1
OG0000056	JC_14900-RA	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	HMEL003534g1.t1, HMEL032313g1.t1
OG0000057	JC_10437-RA	HMEL032312g1.t1
OG0000057	JC_04526-RA, JC_04525-RA	HMEL006997g1.t1
OG0000058	JC_06466-RA	HMEL033297g1.t1
OG0000060	JC_05725-RA	HMEL012129g1.t1
OG0000060	JC_05724-RA	HMEL036362g1.t1
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	HMEL036359g1.t1, HMEL036361g1.t1, HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1
OG0000061	JC_03624-RA	HMEL013742-RA
OG0000061	JC_03621-RA	HMEL013738-RA, HMEL022441g1.t1
OG0000061	JC_03623-RA	HMEL013741-RA, HMEL013739-RA, HMEL013737-RA
OG0000062	JC_17018-RA	HMEL003604g1.t1
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	HMEL034759g1.t1
OG0000063	JC_09784-RA, JC_09386-RA	HMEL034760g1.t1
OG0000064	JC_04496-RA, JC_09898-RA, JC_13551-RA, JC_00020-RA, JC_13846-RA	HMEL032278g1.t1, HMEL037070g1.t1
OG0000066	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA	HMEL022604-RA
OG0000067	JC_13669-RA	HMEL010779g1.t1
OG0000067	JC_13668-RA	HMEL003229g1.t1
OG0000068	JC_14221-RA	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1
OG0000068	JC_14218-RA	HMEL031345g1.t1, HMEL011001g1.t1, HMEL011002g1.t1, HMEL031342g1.t1, HMEL031343g1.t1
OG0000069	JC_12069-RA	HMEL033323g1.t1
OG0000069	JC_12064-RA	HMEL011062g1.t1
OG0000073	JC_09483-RA	HMEL012052g1.t1
OG0000073	JC_09579-RA	HMEL015732g1.t1
