Orthogroup	Junonia_coenia	Vanessa_cardui
OG0000017	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA, JC_15131-RA	Vcard_DToL14198-RA
OG0000017	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA	Vcard_DToL17605-RA, Vcard_DToL00869-RA
OG0000018	JC_13020-RA	Vcard_DToL15155-RA, Vcard_DToL15154-RA
OG0000018	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA
OG0000018	JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA	Vcard_DToL01560-RA
OG0000018	JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA
OG0000020	JC_14441-RA, JC_12860-RA, JC_08804-RA, JC_15272-RA	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA
OG0000021	JC_15264-RA	Vcard_DToL14989-RA
OG0000021	JC_14438-RA, JC_16725-RA	Vcard_DToL15926-RA
OG0000021	JC_01672-RA, JC_14439-RA	Vcard_DToL14988-RA
OG0000022	JC_14602-RA	Vcard_DToL16722-RA
OG0000024	JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA	Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA
OG0000024	JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA	Vcard_DToL09635-RA
OG0000024	JC_07384-RA, JC_07386-RA	Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA
OG0000025	JC_16102-RA, JC_16101-RA	Vcard_DToL17634-RA
OG0000026	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA
OG0000028	JC_16613-RA	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA
OG0000028	JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA	Vcard_DToL18861-RA
OG0000029	JC_05549-RA	Vcard_DToL03093-RA
OG0000029	JC_00248-RA, JC_00251-RA	Vcard_DToL02471-RA
OG0000029	JC_00252-RA, JC_00249-RA, JC_12809-RA	Vcard_DToL02470-RA
OG0000030	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA	Vcard_DToL03994-RA
OG0000031	JC_07638-RA	Vcard_DToL09360-RA
OG0000031	JC_02492-RA, JC_12510-RA	Vcard_DToL09361-RA
OG0000034	JC_02760-RA	Vcard_DToL03973-RA
OG0000034	JC_02354-RA	Vcard_DToL03370-RA
OG0000034	JC_02348-RA, JC_02347-RA	Vcard_DToL03379-RA
OG0000037	JC_15113-RA	Vcard_DToL07760-RA
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	Vcard_DToL16692-RA
OG0000038	JC_14539-RA	Vcard_DToL16690-RA
OG0000039	JC_12161-RA, JC_12165-RA	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA
OG0000039	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA	Vcard_DToL07681-RA, Vcard_DToL07680-RA
OG0000041	JC_09842-RA	Vcard_DToL13154-RA
OG0000045	JC_06642-RA	Vcard_DToL10351-RA
OG0000045	JC_16748-RA	Vcard_DToL18745-RA
OG0000045	JC_09127-RA	Vcard_DToL07613-RA
OG0000045	JC_15568-RA	Vcard_DToL04855-RA
OG0000045	JC_15572-RA	Vcard_DToL16819-RA
OG0000046	JC_05584-RA	Vcard_DToL03287-RA
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA	Vcard_DToL06446-RA
OG0000049	JC_09676-RA	Vcard_DToL06452-RA
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA	Vcard_DToL06451-RA
OG0000050	JC_10512-RA	Vcard_DToL13078-RA
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	Vcard_DToL13075-RA, Vcard_DToL13076-RA
OG0000052	JC_01097-RA	Vcard_DToL12448-RA
OG0000052	JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA	Vcard_DToL12449-RA
OG0000053	JC_00967-RA	Vcard_DToL01328-RA
OG0000053	JC_00970-RA	Vcard_DToL01334-RA
OG0000053	JC_00969-RA	Vcard_DToL01331-RA
OG0000053	JC_00971-RA	Vcard_DToL01333-RA
OG0000053	JC_00972-RA	Vcard_DToL01335-RA
OG0000054	JC_07335-RA	Vcard_DToL09709-RA
OG0000054	JC_07330-RA	Vcard_DToL09712-RA
OG0000054	JC_07332-RA, JC_07331-RA	Vcard_DToL09711-RA
OG0000055	JC_03957-RA	Vcard_DToL13935-RA, Vcard_DToL18184-RA
OG0000055	JC_14448-RA	Vcard_DToL18025-RA
OG0000056	JC_14900-RA	Vcard_DToL16040-RA
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	Vcard_DToL13794-RA
OG0000057	JC_10437-RA	Vcard_DToL13796-RA
OG0000057	JC_04526-RA, JC_04525-RA, JC_10434-RA	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000061	JC_03624-RA	Vcard_DToL04117-RA
OG0000062	JC_05075-RA	Vcard_DToL05449-RA
OG0000062	JC_17018-RA	Vcard_DToL18008-RA
OG0000062	JC_17015-RA	Vcard_DToL18004-RA
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	JC_09784-RA, JC_09386-RA	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA
OG0000063	JC_05993-RA	Vcard_DToL09866-RA
OG0000066	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	JC_13668-RA	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000068	JC_14221-RA	Vcard_DToL16340-RA
OG0000068	JC_14218-RA	Vcard_DToL16337-RA
OG0000069	JC_12056-RA	Vcard_DToL07820-RA
OG0000069	JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA	Vcard_DToL07819-RA, Vcard_DToL07818-RA
OG0000071	JC_11424-RA	Vcard_DToL11272-RA
OG0000073	JC_09483-RA	Vcard_DToL06863-RA
OG0000073	JC_09579-RA	Vcard_DToL06621-RA
OG0000073	JC_05260-RA, JC_09589-RA, JC_09588-RA, JC_09593-RA, JC_09587-RA	Vcard_DToL06614-RA
OG0000075	JC_03636-RA	Vcard_DToL04138-RA
OG0000075	JC_03616-RA	Vcard_DToL04124-RA
OG0000075	JC_03392-RA	Vcard_DToL04270-RA
OG0000076	JC_16781-RA, JC_16784-RA	Vcard_DToL18781-RA
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000079	JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA	Vcard_DToL05246-RA
OG0000082	JC_15348-RA	Vcard_DToL17276-RA
OG0000082	JC_15354-RA	Vcard_DToL17266-RA
OG0000082	JC_15231-RA	Vcard_DToL17337-RA
OG0000084	JC_09083-RA	Vcard_DToL07564-RA
OG0000085	JC_05545-RA, JC_05548-RA	Vcard_DToL03094-RA
OG0000085	JC_05547-RA, JC_05546-RA	Vcard_DToL03096-RA, Vcard_DToL03095-RA
OG0000088	JC_09259-RA, JC_09269-RA	Vcard_DToL06950-RA
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	Vcard_DToL06952-RA
OG0000089	JC_13927-RA, JC_10950-RA, JC_03949-RA, JC_14794-RA, JC_15101-RA	Vcard_DToL17977-RA
OG0000089	JC_13143-RA, JC_03956-RA, JC_02698-RA, JC_03955-RA, JC_13142-RA	Vcard_DToL04008-RA, Vcard_DToL18811-RA, Vcard_DToL12624-RA, Vcard_DToL09485-RA, Vcard_DToL06496-RA, Vcard_DToL06859-RA, Vcard_DToL06310-RA, Vcard_DToL08080-RA, Vcard_DToL12125-RA, Vcard_DToL09462-RA, Vcard_DToL15284-RA, Vcard_DToL15224-RA, Vcard_DToL17560-RA, Vcard_DToL08537-RA, Vcard_DToL01821-RA
OG0000090	JC_04442-RA, JC_04443-RA	Vcard_DToL04847-RA
OG0000092	JC_03404-RA, JC_03406-RA	Vcard_DToL04259-RA
OG0000092	JC_03407-RA	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	JC_15360-RA	Vcard_DToL17257-RA
OG0000093	JC_15358-RA	Vcard_DToL17260-RA
OG0000093	JC_15363-RA	Vcard_DToL17256-RA
OG0000094	JC_13682-RA	Vcard_DToL15547-RA
OG0000095	JC_00268-RA	Vcard_DToL02425-RA
OG0000096	JC_09724-RA	Vcard_DToL06351-RA
OG0000096	JC_09722-RA, JC_09721-RA	Vcard_DToL06349-RA
OG0000097	JC_11490-RA	Vcard_DToL11326-RA
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	Vcard_DToL02960-RA
OG0000100	JC_10664-RA	Vcard_DToL12906-RA
OG0000100	JC_10665-RA	Vcard_DToL12907-RA
OG0000100	JC_10662-RA	Vcard_DToL12904-RA
OG0000100	JC_10658-RA	Vcard_DToL12899-RA
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	Vcard_DToL09191-RA
OG0000101	JC_09706-RA	Vcard_DToL10113-RA
OG0000102	JC_14892-RA	Vcard_DToL07821-RA
OG0000102	JC_12066-RA, JC_14237-RA, JC_12068-RA	Vcard_DToL07817-RA
OG0000103	JC_11856-RA	Vcard_DToL08117-RA
OG0000103	JC_11852-RA	Vcard_DToL08106-RA, Vcard_DToL08112-RA
OG0000103	JC_11853-RA	Vcard_DToL08124-RA
OG0000103	JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA	Vcard_DToL08121-RA
OG0000103	JC_11854-RA	Vcard_DToL08115-RA
OG0000103	JC_11859-RA	Vcard_DToL08125-RA
OG0000103	JC_11849-RA, JC_11851-RA	Vcard_DToL08113-RA
OG0000103	JC_11860-RA	Vcard_DToL08122-RA
OG0000104	JC_06675-RA	Vcard_DToL07071-RA, Vcard_DToL05168-RA, Vcard_DToL10371-RA, Vcard_DToL13900-RA, Vcard_DToL17254-RA, Vcard_DToL01566-RA, Vcard_DToL02964-RA, Vcard_DToL04908-RA, Vcard_DToL07304-RA, Vcard_DToL15931-RA, Vcard_DToL03327-RA, Vcard_DToL11937-RA, Vcard_DToL15171-RA, Vcard_DToL13575-RA, Vcard_DToL07670-RA, Vcard_DToL10926-RA, Vcard_DToL09586-RA, Vcard_DToL11935-RA, Vcard_DToL07869-RA, Vcard_DToL08421-RA, Vcard_DToL14533-RA, Vcard_DToL13107-RA, Vcard_DToL07049-RA, Vcard_DToL12377-RA, Vcard_DToL07310-RA, Vcard_DToL05779-RA, Vcard_DToL00871-RA, Vcard_DToL18176-RA, Vcard_DToL04307-RA, Vcard_DToL09178-RA, Vcard_DToL06774-RA, Vcard_DToL12274-RA, Vcard_DToL00149-RA, Vcard_DToL07658-RA, Vcard_DToL04397-RA
OG0000108	JC_03919-RA, JC_15130-RA, JC_03918-RA	Vcard_DToL18043-RA
OG0000109	JC_02996-RA, JC_02995-RA	Vcard_DToL04718-RA
OG0000109	JC_02993-RA, JC_02992-RA, JC_02994-RA	Vcard_DToL04721-RA
OG0000109	JC_03001-RA	Vcard_DToL04712-RA
OG0000110	JC_12230-RA	Vcard_DToL07723-RA
OG0000110	JC_12228-RA	Vcard_DToL07721-RA
OG0000110	JC_12227-RA, JC_12226-RA	Vcard_DToL07720-RA
OG0000111	JC_06517-RA	Vcard_DToL10424-RA
OG0000111	JC_04966-RA	Vcard_DToL05296-RA
OG0000111	JC_04964-RA	Vcard_DToL05301-RA
OG0000113	JC_16657-RA, JC_02497-RA	Vcard_DToL03481-RA
OG0000114	JC_11662-RA	Vcard_DToL07873-RA
OG0000115	JC_14206-RA	Vcard_DToL16325-RA
OG0000115	JC_09318-RA	Vcard_DToL06773-RA
OG0000115	JC_14203-RA	Vcard_DToL16322-RA
OG0000116	JC_05019-RA	Vcard_DToL05226-RA
OG0000116	JC_15737-RA, JC_09136-RA	Vcard_DToL07626-RA
OG0000117	JC_11736-RA, JC_11741-RA	Vcard_DToL08238-RA
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	Vcard_DToL08239-RA
OG0000119	JC_11803-RA, JC_05582-RA, JC_05587-RA	Vcard_DToL03289-RA
OG0000122	JC_03302-RA	Vcard_DToL04366-RA
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	Vcard_DToL13182-RA
OG0000125	JC_13371-RA	Vcard_DToL15852-RA
OG0000125	JC_13370-RA, JC_13369-RA	Vcard_DToL15854-RA
OG0000127	JC_14232-RA	Vcard_DToL18678-RA, Vcard_DToL18689-RA
OG0000128	JC_10255-RA	Vcard_DToL13576-RA
OG0000128	JC_10263-RA	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	JC_10262-RA	Vcard_DToL13588-RA
OG0000128	JC_10261-RA	Vcard_DToL13581-RA
OG0000129	JC_14538-RA	Vcard_DToL16688-RA
OG0000131	JC_03944-RA	Vcard_DToL17922-RA
OG0000131	JC_03943-RA	Vcard_DToL17920-RA, Vcard_DToL17921-RA
OG0000132	JC_16594-RA	Vcard_DToL14782-RA, Vcard_DToL14783-RA
OG0000132	JC_12333-RA	Vcard_DToL14781-RA
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	Vcard_DToL17871-RA
OG0000133	JC_17034-RA, JC_17035-RA	Vcard_DToL17888-RA
OG0000134	JC_13643-RA	Vcard_DToL15581-RA
OG0000134	JC_13572-RA	Vcard_DToL15620-RA
OG0000134	JC_13639-RA	Vcard_DToL15582-RA
OG0000137	JC_00692-RA	Vcard_DToL01909-RA
OG0000138	JC_08004-RA	Vcard_DToL06226-RA, Vcard_DToL06227-RA
OG0000138	JC_04421-RA	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	JC_12415-RA	Vcard_DToL15053-RA
OG0000139	JC_12416-RA	Vcard_DToL14664-RA
OG0000139	JC_12885-RA	Vcard_DToL15052-RA
OG0000140	JC_15651-RA	Vcard_DToL16920-RA
OG0000140	JC_15647-RA	Vcard_DToL16917-RA
OG0000141	JC_05454-RA, JC_12118-RA	Vcard_DToL03188-RA
OG0000141	JC_05434-RA	Vcard_DToL03185-RA
OG0000141	JC_06716-RA	Vcard_DToL03183-RA
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA	Vcard_DToL18406-RA
OG0000142	JC_16332-RA	Vcard_DToL18404-RA
OG0000143	JC_10291-RA, JC_11703-RA, JC_11704-RA	Vcard_DToL08257-RA
OG0000143	JC_11701-RA, JC_11700-RA	Vcard_DToL08259-RA
OG0000144	JC_05956-RA, JC_05955-RA	Vcard_DToL09834-RA
OG0000145	JC_03183-RA	Vcard_DToL04524-RA
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000152	JC_01150-RA	Vcard_DToL01543-RA
OG0000152	JC_01147-RA	Vcard_DToL01538-RA
OG0000152	JC_01149-RA	Vcard_DToL01542-RA
OG0000153	JC_03143-RA	Vcard_DToL04556-RA
OG0000153	JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA	Vcard_DToL04750-RA
OG0000154	JC_05850-RA, JC_05851-RA, JC_01364-RA	Vcard_DToL05463-RA
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	Vcard_DToL15443-RA, Vcard_DToL15439-RA
OG0000156	JC_10982-RA, JC_10978-RA	Vcard_DToL12566-RA
OG0000156	JC_10980-RA	Vcard_DToL12564-RA
OG0000156	JC_15886-RA, JC_10973-RA	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA
OG0000161	JC_16940-RA	Vcard_DToL07216-RA, Vcard_DToL10609-RA
OG0000161	JC_05892-RA	Vcard_DToL18175-RA
OG0000162	JC_10317-RA, JC_10318-RA	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	Vcard_DToL13540-RA
OG0000164	JC_16411-RA	Vcard_DToL18259-RA
OG0000165	JC_02467-RA, JC_02466-RA	Vcard_DToL03458-RA, Vcard_DToL03457-RA
OG0000165	JC_02470-RA, JC_02468-RA	Vcard_DToL03464-RA
OG0000166	JC_06064-RA	Vcard_DToL10237-RA
OG0000166	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	Vcard_DToL10075-RA
OG0000167	JC_03065-RA	Vcard_DToL18010-RA, Vcard_DToL18016-RA, Vcard_DToL04638-RA
OG0000169	JC_09918-RA	Vcard_DToL13220-RA
OG0000169	JC_09913-RA	Vcard_DToL13215-RA
OG0000169	JC_09912-RA	Vcard_DToL13212-RA
OG0000170	JC_05858-RA	Vcard_DToL09757-RA
OG0000170	JC_05860-RA	Vcard_DToL09756-RA
OG0000171	JC_09304-RA	Vcard_DToL06760-RA
OG0000171	JC_09306-RA, JC_09305-RA	Vcard_DToL06761-RA
OG0000171	JC_09303-RA	Vcard_DToL06758-RA
OG0000172	JC_11629-RA	Vcard_DToL08046-RA
OG0000174	JC_01298-RA	Vcard_DToL01198-RA, Vcard_DToL01197-RA
OG0000174	JC_01295-RA	Vcard_DToL01201-RA
OG0000174	JC_02058-RA	Vcard_DToL00231-RA
OG0000175	JC_15584-RA	Vcard_DToL16841-RA
OG0000175	JC_03752-RA	Vcard_DToL08937-RA
OG0000175	JC_07347-RA	Vcard_DToL09691-RA
OG0000177	JC_16605-RA	Vcard_DToL18686-RA
OG0000178	JC_15551-RA	Vcard_DToL16798-RA
OG0000178	JC_15684-RA	Vcard_DToL16964-RA
OG0000180	JC_01798-RA	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA
OG0000180	JC_01797-RA	Vcard_DToL00694-RA
OG0000181	JC_11533-RA, JC_11539-RA	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA	Vcard_DToL04801-RA
OG0000183	JC_09899-RA	Vcard_DToL13208-RA
OG0000183	JC_02434-RA	Vcard_DToL03435-RA
OG0000183	JC_00847-RA	Vcard_DToL01715-RA
OG0000184	JC_04529-RA, JC_04531-RA	Vcard_DToL04778-RA
OG0000184	JC_06432-RA	Vcard_DToL10518-RA
OG0000184	JC_06434-RA	Vcard_DToL10517-RA
OG0000185	JC_11317-RA	Vcard_DToL11157-RA
OG0000185	JC_11318-RA	Vcard_DToL11158-RA
OG0000185	JC_11319-RA	Vcard_DToL11159-RA
OG0000186	JC_16936-RA	Vcard_DToL18093-RA
OG0000187	JC_16384-RA	Vcard_DToL18267-RA
OG0000187	JC_16906-RA	Vcard_DToL18153-RA
OG0000187	JC_16385-RA	Vcard_DToL18155-RA
OG0000188	JC_14941-RA, JC_14942-RA	Vcard_DToL16002-RA
OG0000188	JC_14940-RA	Vcard_DToL16003-RA, Vcard_DToL16004-RA
OG0000189	JC_07046-RA	Vcard_DToL12111-RA
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	Vcard_DToL12109-RA, Vcard_DToL12110-RA
OG0000190	JC_06617-RA	Vcard_DToL10323-RA
OG0000190	JC_06615-RA	Vcard_DToL10320-RA
OG0000193	JC_06325-RA	Vcard_DToL10620-RA
OG0000193	JC_06527-RA	Vcard_DToL10412-RA
OG0000194	JC_02952-RA, JC_15116-RA, JC_07427-RA	Vcard_DToL18679-RA
OG0000196	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	JC_00320-RA	Vcard_DToL02361-RA
OG0000198	JC_03773-RA	Vcard_DToL08912-RA
OG0000200	JC_03361-RA, JC_03362-RA	Vcard_DToL04306-RA
OG0000200	JC_03360-RA	Vcard_DToL04305-RA
OG0000200	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA	Vcard_DToL04304-RA
OG0000201	JC_07060-RA	Vcard_DToL12097-RA
OG0000202	JC_04951-RA, JC_04950-RA	Vcard_DToL05319-RA
OG0000202	JC_04948-RA, JC_04949-RA	Vcard_DToL05320-RA
OG0000203	JC_03487-RA	Vcard_DToL04165-RA, Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA
OG0000205	JC_05405-RA	Vcard_DToL03236-RA
OG0000206	JC_16685-RA, JC_10718-RA, JC_16686-RA	Vcard_DToL18698-RA
OG0000207	JC_06478-RA, JC_06002-RA, JC_15318-RA, JC_10834-RA	Vcard_DToL17790-RA
OG0000208	JC_07997-RA	Vcard_DToL06230-RA
OG0000209	JC_14043-RA	Vcard_DToL14070-RA
OG0000209	JC_07069-RA	Vcard_DToL12081-RA
OG0000210	JC_09539-RA	Vcard_DToL06539-RA
