Orthogroup	Junonia_coenia	Maniola_hyperantus
OG0000128	JC_10255-RA	XP_034835222.1
OG0000128	JC_10263-RA	XP_034835626.1, XP_034835625.1
OG0000128	JC_10261-RA	XP_034835270.1
OG0000129	JC_14536-RA, JC_14538-RA	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1
OG0000131	JC_03944-RA, JC_04373-RA, JC_03943-RA	XP_034837858.1, XP_034838212.1
OG0000132	JC_16594-RA, JC_12333-RA	XP_034834241.1, XP_034833542.1
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	XP_034838137.1
OG0000134	JC_13643-RA	XP_034825942.1
OG0000134	JC_13572-RA, JC_13574-RA	XP_034826234.1
OG0000134	JC_13639-RA	XP_034825941.1
OG0000136	JC_03184-RA	XP_034827804.1
OG0000137	JC_00690-RA	XP_034840852.1, XP_034840854.1, XP_034840850.1, XP_034840851.1
OG0000137	JC_00691-RA	XP_034840849.1
OG0000138	JC_08004-RA	XP_034840957.1, XP_034840968.1
OG0000138	JC_04421-RA	XP_034824894.1
OG0000139	JC_12416-RA	XP_034833832.1
OG0000139	JC_12885-RA	XP_034835919.1
OG0000139	JC_12412-RA	XP_034833962.1
OG0000140	JC_15651-RA	XP_034836898.1
OG0000140	JC_15647-RA	XP_034836899.1
OG0000141	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA	XP_034829113.1, XP_034829114.1
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA	XP_034827901.1
OG0000142	JC_16332-RA	XP_034827898.1
OG0000143	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA	XP_034827819.1
OG0000143	JC_11701-RA, JC_11700-RA	XP_034827875.1, XP_034827552.1
OG0000144	JC_05956-RA, JC_05955-RA	XP_034833620.1, XP_034833621.1, XP_034833240.1
OG0000144	JC_05954-RA	XP_034833202.1
OG0000145	JC_03183-RA	XP_034830807.1, XP_034830804.1, XP_034830805.1
OG0000145	JC_03179-RA	XP_034830806.1
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	XP_034833227.1, XP_034830230.1
OG0000149	JC_09057-RA	XP_034829950.1
OG0000152	JC_01151-RA	XP_034832206.1
OG0000152	JC_01147-RA	XP_034833337.1
OG0000152	JC_01149-RA	XP_034833675.1
OG0000153	JC_02953-RA	XP_034830680.1
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA	XP_034836981.1
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	XP_034836186.1
OG0000155	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA	XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1
OG0000156	JC_10975-RA, JC_10974-RA	XP_034834990.1
OG0000156	JC_15886-RA, JC_10973-RA	XP_034835010.1
OG0000161	JC_10383-RA	XP_034829418.1, XP_034836848.1, XP_034836538.1
OG0000162	JC_10317-RA, JC_10318-RA	XP_034835629.1, XP_034835505.1
OG0000162	JC_10314-RA	XP_034835633.1
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	XP_034835691.1, XP_034835688.1
OG0000164	JC_16411-RA	XP_034837112.1, XP_034827829.1
OG0000165	JC_02467-RA, JC_02466-RA	XP_034825339.1
OG0000165	JC_02484-RA	XP_034825550.1
OG0000166	JC_06064-RA	XP_034833378.1
OG0000166	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	JC_03065-RA	XP_034837879.1, XP_034838019.1, XP_034830390.1
OG0000169	JC_09918-RA	XP_034835310.1
OG0000169	JC_09912-RA	XP_034835563.1
OG0000170	JC_05858-RA, JC_05859-RA, JC_05861-RA	XP_034833640.1, XP_034833641.1
OG0000171	JC_09304-RA	XP_034827023.1
OG0000171	JC_09303-RA	XP_034827103.1
OG0000172	JC_11633-RA, JC_11631-RA, JC_11632-RA	XP_034827884.1
OG0000174	JC_01298-RA	XP_034837309.1
OG0000174	JC_02058-RA	XP_034839773.1
OG0000175	JC_15584-RA	XP_034837022.1, XP_034837023.1
OG0000175	JC_03752-RA	XP_034840446.1
OG0000175	JC_07347-RA	XP_034832261.1
OG0000177	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA	XP_034838147.1, XP_034839386.1
OG0000178	JC_15551-RA	XP_034836827.1
OG0000178	JC_15684-RA	XP_034836823.1
OG0000179	JC_05652-RA	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1
OG0000180	JC_01797-RA	XP_034832218.1
OG0000181	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	JC_04503-RA, JC_04505-RA, JC_04501-RA	XP_034824717.1
OG0000183	JC_09899-RA	XP_034835115.1
OG0000183	JC_02435-RA	XP_034825260.1
OG0000184	JC_04531-RA	XP_034824593.1
OG0000184	JC_06432-RA	XP_034828820.1
OG0000184	JC_06434-RA	XP_034828761.1
OG0000185	JC_11317-RA	XP_034832652.1
OG0000185	JC_11320-RA	XP_034832649.1
OG0000185	JC_11318-RA	XP_034832653.1
OG0000185	JC_11319-RA	XP_034832651.1
OG0000186	JC_16936-RA	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	JC_16384-RA	XP_034827454.1
OG0000189	JC_07045-RA	XP_034831348.1
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	XP_034831349.1
OG0000190	JC_06617-RA	XP_034828878.1, XP_034828877.1
OG0000190	JC_06615-RA	XP_034828527.1
OG0000193	JC_06325-RA	XP_034828385.1
OG0000193	JC_06528-RA	XP_034828838.1
OG0000193	JC_06527-RA	XP_034828613.1
OG0000194	JC_02952-RA, JC_15116-RA	XP_034836309.1, XP_034836913.1, XP_034836914.1, XP_034836894.1, XP_034835085.1, XP_034837912.1, XP_034825820.1, XP_034839207.1, XP_034826877.1, XP_034836912.1, XP_034835088.1, XP_034826328.1, XP_034825197.1, XP_034839208.1, XP_034827094.1
OG0000194	JC_07427-RA	XP_034824411.1, XP_034838359.1
OG0000196	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	JC_00320-RA	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	JC_03773-RA	XP_034840531.1, XP_034840532.1
OG0000199	JC_07461-RA	XP_034839636.1
OG0000199	JC_14665-RA, JC_13414-RA, JC_06823-RA, JC_15070-RA, JC_15024-RA, JC_05544-RA, JC_13150-RA, JC_15266-RA	XP_034839171.1, XP_034837850.1
OG0000200	JC_03360-RA	XP_034830828.1
OG0000200	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA	XP_034830291.1
OG0000201	JC_07060-RA	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000202	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA	XP_034824228.1, XP_034824229.1
OG0000203	JC_03487-RA	XP_034830571.1
OG0000205	JC_05405-RA	XP_034829187.1
OG0000206	JC_16685-RA, JC_10718-RA, JC_16686-RA	XP_034838830.1, XP_034839065.1
OG0000207	JC_15544-RA, JC_16805-RA, JC_15680-RA, JC_15678-RA, JC_03802-RA, JC_10588-RA, JC_05153-RA	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1
OG0000208	JC_07994-RA, JC_07996-RA	XP_034841203.1, XP_034841212.1
OG0000208	JC_07997-RA	XP_034831041.1
OG0000209	JC_14043-RA	XP_034836601.1
OG0000209	JC_07069-RA	XP_034831212.1
OG0000210	JC_09539-RA	XP_034827061.1
OG0000210	JC_09537-RA	XP_034827269.1, XP_034827331.1
OG0000210	JC_09538-RA	XP_034827270.1
OG0000212	JC_05951-RA, JC_00130-RA	XP_034824811.1
OG0000212	JC_04775-RA	XP_034824810.1
OG0000212	JC_04773-RA	XP_034824322.1
OG0000213	JC_00444-RA	XP_034841107.1
OG0000213	JC_00447-RA	XP_034841109.1
OG0000213	JC_00451-RA	XP_034841116.1
OG0000214	JC_09415-RA	XP_034827179.1
OG0000215	JC_13463-RA	XP_034826616.1, XP_034826619.1, XP_034826617.1
OG0000216	JC_04853-RA	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1
OG0000217	JC_01085-RA	XP_034833550.1
OG0000218	JC_04203-RA, JC_04202-RA, JC_04199-RA, JC_04200-RA, JC_04201-RA	XP_034840404.1, XP_034840405.1
OG0000219	JC_13344-RA	XP_034826674.1
OG0000219	JC_03133-RA	XP_034830922.1
OG0000219	JC_03136-RA, JC_03132-RA	XP_034830712.1, XP_034830713.1
OG0000221	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA	XP_034824881.1, XP_034824880.1
OG0000221	JC_05015-RA	XP_034824251.1
OG0000221	JC_05016-RA, JC_05042-RA	XP_034824882.1, XP_034837734.1
OG0000222	JC_16786-RA, JC_16785-RA	XP_034838829.1
OG0000222	JC_16787-RA, JC_16688-RA, JC_16687-RA	XP_034838832.1
OG0000224	JC_06264-RA, JC_06261-RA, JC_06255-RA, JC_06252-RA, JC_06250-RA, JC_06251-RA	XP_034828537.1
OG0000225	JC_15096-RA	XP_034839594.1
OG0000227	JC_06493-RA, JC_13742-RA	XP_034828836.1
OG0000229	JC_12374-RA	XP_034834094.1
OG0000229	JC_01496-RA	XP_034832472.1
OG0000230	JC_05995-RA, JC_08759-RA	XP_034838272.1
OG0000231	JC_12205-RA, JC_12198-RA, JC_12196-RA, JC_16378-RA, JC_12194-RA, JC_12193-RA	XP_034827788.1
OG0000233	JC_04634-RA	XP_034824533.1, XP_034824532.1
OG0000234	JC_15828-RA	XP_034838523.1
OG0000235	JC_02586-RA	XP_034825165.1
