Orthogroup	Junonia_coenia	Vanessa_tameamea
OG0000032	JC_08098-RA	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
OG0000032	JC_15112-RA	XP_026499980.1
OG0000034	JC_02761-RA	XP_026491775.1
OG0000034	JC_02760-RA	XP_026491689.1
OG0000034	JC_02341-RA	XP_026491466.1
OG0000034	JC_02354-RA	XP_026491224.1
OG0000034	JC_02348-RA, JC_02347-RA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000036	JC_14663-RA	XP_026487154.1, XP_026488619.1, XP_026499962.1
OG0000037	JC_15113-RA	XP_026500143.1
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	XP_026490184.1
OG0000038	JC_14539-RA	XP_026490183.1
OG0000039	JC_12161-RA, JC_12165-RA	XP_026488878.1, XP_026488879.1
OG0000039	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA	XP_026488881.1
OG0000040	JC_11683-RA, JC_07552-RA, JC_00269-RA	XP_026499742.1
OG0000041	JC_09842-RA	XP_026490916.1
OG0000045	JC_06642-RA	XP_026485346.1
OG0000045	JC_09127-RA	XP_026489199.1
OG0000045	JC_15568-RA, JC_15572-RA	XP_026493800.1, XP_026493802.1
OG0000046	JC_05584-RA	XP_026496278.1
OG0000048	JC_00039-RA, JC_04995-RA, JC_03035-RA, JC_11358-RA, JC_03645-RA, JC_15660-RA, JC_11945-RA, JC_15167-RA, JC_14135-RA, JC_15415-RA, JC_04809-RA, JC_17159-RA, JC_08103-RA, JC_16142-RA, JC_09989-RA, JC_10760-RA	XP_026494057.1
OG0000048	JC_10761-RA	XP_026490402.1
OG0000048	JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA	XP_026501042.1
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA	XP_026485111.1
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA	XP_026491363.1
OG0000050	JC_10512-RA	XP_026501017.1
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	XP_026500975.1, XP_026500978.1, XP_026500979.1
OG0000052	JC_01097-RA	XP_026487271.1
OG0000053	JC_00967-RA	XP_026497060.1
OG0000053	JC_00969-RA	XP_026497094.1
OG0000053	JC_00971-RA	XP_026497148.1, XP_026497147.1
OG0000053	JC_00972-RA	XP_026497149.1
OG0000054	JC_07335-RA	XP_026492237.1
OG0000056	JC_14900-RA	XP_026499964.1, XP_026498826.1
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	XP_026496531.1
OG0000057	JC_10437-RA	XP_026496524.1
OG0000057	JC_04526-RA	XP_026499452.1, XP_026499751.1, XP_026499478.1
OG0000057	JC_04525-RA	XP_026499470.1
OG0000058	JC_06466-RA	XP_026490603.1
OG0000060	JC_05725-RA	XP_026493441.1
OG0000061	JC_03624-RA	XP_026488092.1, XP_026496799.1, XP_026496786.1, XP_026488110.1
OG0000061	JC_03619-RA	XP_026488120.1
OG0000061	JC_03620-RA	XP_026488093.1
OG0000062	JC_05075-RA	XP_026486062.1
OG0000062	JC_17018-RA	XP_026493052.1
OG0000062	JC_17012-RA	XP_026499492.1
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	XP_026483335.1, XP_026483375.1
OG0000063	JC_09784-RA, JC_09386-RA	XP_026483353.1
OG0000063	JC_05993-RA	XP_026493090.1
OG0000066	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA	XP_026500159.1
OG0000067	JC_13668-RA	XP_026499417.1
OG0000068	JC_14221-RA	XP_026494442.1
OG0000069	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA, JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA	XP_026489035.1
OG0000071	JC_11424-RA	XP_026492973.1
OG0000073	JC_09483-RA	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	JC_09579-RA	XP_026501251.1, XP_026501242.1
OG0000073	JC_09593-RA, JC_09587-RA	XP_026483469.1
OG0000075	JC_03636-RA	XP_026487164.1
OG0000075	JC_03616-RA	XP_026488107.1
OG0000075	JC_03392-RA	XP_026488301.1, XP_026488302.1
OG0000076	JC_16781-RA, JC_16784-RA	XP_026490686.1
OG0000077	JC_04601-RA	XP_026485880.1
OG0000077	JC_04595-RA, JC_04596-RA	XP_026485938.1
OG0000077	JC_04597-RA	XP_026485943.1
OG0000077	JC_04599-RA	XP_026485945.1, XP_026485951.1
OG0000077	JC_04598-RA	XP_026485942.1
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	XP_026497763.1, XP_026497768.1
OG0000079	JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA	XP_026485855.1
OG0000081	JC_15085-RA	XP_026493409.1
OG0000082	JC_15348-RA	XP_026484136.1
OG0000082	JC_15353-RA	XP_026484086.1
OG0000082	JC_15354-RA	XP_026484147.1
OG0000082	JC_15230-RA	XP_026484166.1
OG0000082	JC_15231-RA	XP_026484161.1
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	XP_026498757.1
OG0000084	JC_09083-RA	XP_026492846.1
OG0000084	JC_09063-RA	XP_026492749.1
OG0000085	JC_05545-RA, JC_05548-RA	XP_026496424.1
OG0000085	JC_05547-RA, JC_05546-RA	XP_026496275.1
OG0000087	JC_02443-RA, JC_02442-RA, JC_02441-RA	XP_026491033.1
OG0000087	JC_02439-RA, JC_02444-RA	XP_026491504.1
OG0000088	JC_09259-RA, JC_09269-RA	XP_026489493.1
OG0000088	JC_16432-RA	XP_026483148.1
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	XP_026489494.1
OG0000090	JC_04442-RA, JC_04443-RA	XP_026490095.1
OG0000092	JC_03404-RA, JC_03406-RA	XP_026488296.1
OG0000093	JC_15360-RA	XP_026483919.1, XP_026483920.1
OG0000093	JC_15357-RA	XP_026483917.1
OG0000093	JC_15363-RA	XP_026484027.1, XP_026484028.1
OG0000094	JC_13682-RA	XP_026488555.1
OG0000095	JC_00271-RA	XP_026484892.1
OG0000096	JC_09719-RA, JC_09720-RA	XP_026498766.1
OG0000096	JC_09724-RA	XP_026489765.1, XP_026489764.1
OG0000096	JC_09722-RA, JC_09721-RA	XP_026498776.1, XP_026498782.1
OG0000097	JC_11490-RA	XP_026498928.1
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	XP_026498603.1
OG0000100	JC_10664-RA	XP_026495781.1
OG0000100	JC_10662-RA	XP_026495693.1
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	XP_026493040.1, XP_026493038.1
OG0000101	JC_09706-RA	XP_026493188.1
OG0000102	JC_12066-RA, JC_14237-RA, JC_12068-RA	XP_026489046.1
OG0000103	JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA	XP_026498404.1
OG0000103	JC_11860-RA	XP_026498403.1
OG0000106	JC_16716-RA, JC_07290-RA	XP_026485887.1
OG0000109	JC_02996-RA, JC_02995-RA	XP_026497971.1
OG0000109	JC_02993-RA, JC_02992-RA, JC_02994-RA	XP_026497973.1
OG0000109	JC_03001-RA	XP_026497974.1
OG0000110	JC_12230-RA	XP_026488961.1, XP_026488962.1
OG0000110	JC_12232-RA, JC_12231-RA	XP_026489019.1
OG0000110	JC_12228-RA	XP_026488986.1
OG0000110	JC_12227-RA, JC_12226-RA	XP_026488980.1, XP_026488982.1, XP_026488981.1
OG0000111	JC_06517-RA	XP_026485541.1
OG0000111	JC_04966-RA	XP_026485801.1
OG0000111	JC_04964-RA	XP_026486121.1
OG0000112	JC_08001-RA	XP_026488156.1
OG0000112	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA	XP_026488169.1
OG0000113	JC_16665-RA	XP_026486407.1
OG0000114	JC_11661-RA	XP_026488859.1
OG0000114	JC_11662-RA	XP_026488856.1
OG0000115	JC_14206-RA	XP_026494479.1
OG0000115	JC_09318-RA	XP_026500251.1, XP_026500243.1
OG0000115	JC_14203-RA	XP_026494478.1
OG0000116	JC_05019-RA	XP_026486128.1
OG0000116	JC_15737-RA, JC_09136-RA	XP_026489146.1
OG0000117	JC_11736-RA, JC_11741-RA	XP_026488567.1
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	XP_026488566.1
OG0000118	JC_15186-RA, JC_03928-RA	XP_026490964.1
OG0000119	JC_05589-RA, JC_11803-RA, JC_05582-RA, JC_05587-RA, JC_05588-RA	XP_026496437.1
OG0000122	JC_03302-RA	XP_026499961.1
OG0000123	JC_00053-RA	XP_026500003.1, XP_026496505.1
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	XP_026492747.1
OG0000125	JC_13371-RA	XP_026491913.1
OG0000125	JC_13370-RA, JC_13369-RA	XP_026491928.1
OG0000127	JC_14232-RA	XP_026498360.1, XP_026489582.1
OG0000127	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA	XP_026487263.1
OG0000128	JC_10255-RA	XP_026494344.1
OG0000128	JC_10263-RA	XP_026494318.1
OG0000128	JC_10261-RA	XP_026494332.1
OG0000129	JC_14536-RA	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1
OG0000129	JC_14538-RA	XP_026490185.1
OG0000131	JC_03944-RA	XP_026490706.1
OG0000131	JC_03943-RA	XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	JC_16594-RA	XP_026489619.1
OG0000132	JC_12333-RA	XP_026489627.1
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	XP_026500939.1
OG0000133	JC_17034-RA, JC_17035-RA	XP_026501069.1, XP_026500315.1
OG0000134	JC_13643-RA	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	JC_13572-RA	XP_026497731.1
OG0000134	JC_13639-RA	XP_026500779.1
OG0000137	JC_00690-RA	XP_026484810.1
OG0000137	JC_00692-RA	XP_026484812.1
OG0000138	JC_08004-RA	XP_026488759.1, XP_026488751.1
OG0000139	JC_12416-RA	XP_026500945.1
OG0000139	JC_12885-RA	XP_026500227.1
OG0000139	JC_12412-RA	XP_026489675.1
OG0000140	JC_15651-RA	XP_026486064.1
OG0000140	JC_15647-RA	XP_026486075.1
OG0000141	JC_05434-RA	XP_026496430.1
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA	XP_026483563.1
OG0000142	JC_16332-RA	XP_026483561.1
OG0000142	JC_04999-RA, JC_04998-RA	XP_026485989.1
OG0000143	JC_11705-RA	XP_026488575.1
OG0000143	JC_10291-RA, JC_11703-RA, JC_11704-RA	XP_026488573.1
OG0000143	JC_11701-RA, JC_11700-RA	XP_026488574.1
OG0000144	JC_05956-RA, JC_05955-RA	XP_026493139.1
OG0000144	JC_05954-RA	XP_026493387.1
OG0000145	JC_03183-RA	XP_026488455.1
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	XP_026493400.1
OG0000149	JC_09057-RA	XP_026492839.1
OG0000152	JC_01150-RA	XP_026493652.1
OG0000152	JC_01147-RA	XP_026493650.1
OG0000152	JC_01149-RA	XP_026493647.1
OG0000153	JC_03143-RA	XP_026490803.1
OG0000153	JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA	XP_026486667.1
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA	XP_026493590.1, XP_026493568.1
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	XP_026483193.1, XP_026497534.1
OG0000156	JC_10982-RA, JC_10978-RA	XP_026495721.1
OG0000156	JC_10980-RA	XP_026495720.1
OG0000156	JC_15886-RA, JC_10973-RA	XP_026497267.1, XP_026496199.1, XP_026499976.1
OG0000161	JC_16940-RA	XP_026489384.1
OG0000161	JC_05892-RA	XP_026496974.1
OG0000162	JC_10317-RA, JC_10318-RA	XP_026495429.1, XP_026495426.1, XP_026499500.1
OG0000162	JC_10314-RA	XP_026499499.1
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	XP_026494611.1
OG0000164	JC_16411-RA	XP_026483367.1
OG0000165	JC_02467-RA, JC_02466-RA	XP_026491300.1
OG0000165	JC_02470-RA, JC_02468-RA	XP_026491239.1
OG0000166	JC_06064-RA	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000166	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	XP_026493524.1, XP_026493522.1, XP_026493525.1
OG0000167	JC_03065-RA	XP_026499495.1, XP_026490816.1
OG0000169	JC_09918-RA	XP_026493199.1
OG0000169	JC_09912-RA	XP_026493039.1
OG0000170	JC_05858-RA	XP_026489549.1
OG0000170	JC_05860-RA	XP_026489547.1
OG0000171	JC_09304-RA	XP_026483589.1
OG0000171	JC_09303-RA	XP_026483600.1
OG0000172	JC_11633-RA, JC_11631-RA, JC_11632-RA	XP_026499901.1
OG0000174	JC_01298-RA	XP_026487863.1
OG0000174	JC_02058-RA	XP_026499849.1
OG0000175	JC_15584-RA	XP_026492931.1
OG0000175	JC_03752-RA	XP_026489948.1, XP_026489949.1
OG0000175	JC_07347-RA	XP_026492115.1
OG0000178	JC_15551-RA	XP_026501824.1
OG0000178	JC_15684-RA	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000179	JC_05652-RA	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1
OG0000180	JC_01798-RA	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1
OG0000180	JC_01797-RA	XP_026500685.1
OG0000181	JC_11533-RA, JC_11539-RA	XP_026487965.1, XP_026487964.1
OG0000181	JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	XP_026487952.1
OG0000182	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA	XP_026490062.1
OG0000183	JC_09899-RA	XP_026493134.1, XP_026493142.1
OG0000183	JC_00847-RA	XP_026500054.1
OG0000183	JC_02435-RA	XP_026491498.1
OG0000184	JC_04531-RA	XP_026499472.1
OG0000184	JC_06432-RA	XP_026485414.1
OG0000184	JC_06434-RA	XP_026485484.1
OG0000185	JC_11317-RA	XP_026494681.1
OG0000185	JC_11318-RA, JC_11319-RA	XP_026494606.1, XP_026494683.1
OG0000186	JC_16936-RA	XP_026488639.1
OG0000187	JC_16384-RA	XP_026483320.1
OG0000188	JC_14940-RA	XP_026492468.1
OG0000189	JC_07045-RA, JC_07046-RA	XP_026486864.1
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1
OG0000190	JC_06615-RA	XP_026485321.1
OG0000193	JC_06325-RA	XP_026485379.1
OG0000193	JC_06528-RA	XP_026485410.1
OG0000193	JC_06527-RA	XP_026485291.1
OG0000196	JC_06587-RA, JC_01320-RA	XP_026487886.1
OG0000196	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	XP_026487864.1
OG0000197	JC_00320-RA	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	JC_03773-RA	XP_026494933.1
OG0000198	JC_04209-RA	XP_026501551.1
OG0000199	JC_07461-RA	XP_026501309.1
OG0000199	JC_14665-RA, JC_13414-RA, JC_06823-RA, JC_15070-RA, JC_15024-RA, JC_05544-RA, JC_13150-RA, JC_15266-RA	XP_026486145.1
OG0000200	JC_03361-RA, JC_03362-RA, JC_03360-RA, JC_03364-RA, JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA	XP_026488475.1
OG0000201	JC_07060-RA	XP_026486826.1
OG0000203	JC_03487-RA	XP_026487162.1
OG0000205	JC_05405-RA	XP_026496344.1
OG0000206	JC_16685-RA, JC_10718-RA, JC_16686-RA	XP_026483159.1
OG0000207	JC_06478-RA, JC_06002-RA, JC_15318-RA, JC_10834-RA	XP_026500931.1
OG0000208	JC_07994-RA	XP_026489321.1
OG0000208	JC_07996-RA	XP_026498785.1
OG0000208	JC_07997-RA	XP_026489345.1, XP_026498784.1
OG0000209	JC_14043-RA	XP_026490392.1
OG0000209	JC_07069-RA	XP_026486988.1
OG0000210	JC_09539-RA	XP_026492865.1
OG0000210	JC_09537-RA	XP_026501168.1
OG0000212	JC_05951-RA, JC_00130-RA	XP_026497545.1
OG0000212	JC_04775-RA	XP_026485908.1
OG0000212	JC_04773-RA	XP_026485827.1
OG0000213	JC_00444-RA	XP_026485069.1
OG0000213	JC_00447-RA	XP_026485071.1
OG0000213	JC_00451-RA	XP_026484522.1
OG0000214	JC_09415-RA	XP_026483703.1, XP_026483711.1
OG0000215	JC_13463-RA	XP_026491895.1
OG0000216	JC_04853-RA	XP_026485745.1, XP_026485749.1
OG0000217	JC_01085-RA	XP_026494731.1
OG0000218	JC_04202-RA, JC_04199-RA	XP_026494855.1
OG0000219	JC_13344-RA	XP_026500081.1
OG0000221	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA	XP_026486244.1
OG0000221	JC_05015-RA	XP_026486245.1, XP_026486247.1
OG0000221	JC_05016-RA, JC_05042-RA	XP_026486248.1
OG0000222	JC_16786-RA	XP_026483158.1
OG0000222	JC_16787-RA, JC_16688-RA, JC_16687-RA	XP_026483160.1
OG0000225	JC_15076-RA	XP_026500129.1
OG0000226	JC_13390-RA, JC_07472-RA, JC_03948-RA, JC_15104-RA, JC_14079-RA	XP_026497883.1, XP_026485487.1, XP_026495593.1
OG0000226	JC_14454-RA, JC_14083-RA, JC_13839-RA, JC_14965-RA, JC_16744-RA, JC_14966-RA, JC_03194-RA, JC_15058-RA, JC_03925-RA, JC_17242-RA, JC_15080-RA, JC_15365-RA, JC_11555-RA, JC_15057-RA	XP_026492169.1
OG0000229	JC_12374-RA	XP_026489655.1
OG0000229	JC_01496-RA	XP_026486610.1
OG0000230	JC_05995-RA, JC_08759-RA	XP_026489382.1
OG0000231	JC_12205-RA, JC_12198-RA, JC_12196-RA, JC_16378-RA, JC_12194-RA, JC_12193-RA	XP_026488937.1
OG0000232	JC_09629-RA	XP_026484823.1
OG0000233	JC_04634-RA	XP_026485758.1
OG0000234	JC_15915-RA	XP_026483774.1
OG0000234	JC_15828-RA	XP_026483729.1, XP_026489181.1
OG0000235	JC_02586-RA	XP_026491220.1, XP_026491221.1
OG0000235	JC_02587-RA	XP_026491492.1, XP_026491491.1
OG0000236	JC_07146-RA, JC_07145-RA	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	JC_07150-RA	XP_026486884.1
OG0000237	JC_05873-RA	XP_026498172.1
OG0000237	JC_05874-RA	XP_026498184.1
OG0000237	JC_05876-RA	XP_026498191.1
OG0000238	JC_04246-RA	XP_026501419.1, XP_026501420.1
OG0000238	JC_09353-RA	XP_026500089.1
OG0000239	JC_03168-RA	XP_026490889.1
OG0000239	JC_03169-RA	XP_026490892.1, XP_026490891.1
OG0000245	JC_08649-RA	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1
OG0000246	JC_05237-RA	XP_026498593.1
OG0000247	JC_13116-RA	XP_026497474.1
OG0000248	JC_16266-RA	XP_026483522.1
OG0000248	JC_16168-RA	XP_026483488.1, XP_026483487.1
OG0000249	JC_14103-RA, JC_14102-RA, JC_14101-RA, JC_14106-RA, JC_14108-RA, JC_14105-RA, JC_14104-RA	XP_026496131.1
OG0000250	JC_16254-RA, JC_16260-RA	XP_026483536.1
OG0000253	JC_02424-RA	XP_026496141.1
OG0000254	JC_15987-RA	XP_026483833.1
OG0000254	JC_16124-RA	XP_026483657.1
OG0000254	JC_16125-RA, JC_16126-RA	XP_026483658.1
OG0000255	JC_08147-RA	XP_026500405.1
OG0000256	JC_07270-RA, JC_11122-RA	XP_026498851.1
OG0000256	JC_06430-RA, JC_00700-RA	XP_026488745.1, XP_026496954.1
OG0000257	JC_11806-RA	XP_026490754.1
OG0000258	JC_13969-RA, JC_02615-RA, JC_15746-RA, JC_13980-RA, JC_13981-RA	XP_026491836.1
OG0000260	JC_15840-RA, JC_15837-RA, JC_15838-RA	XP_026483812.1, XP_026483811.1
OG0000260	JC_15841-RA, JC_15842-RA	XP_026483815.1
OG0000262	JC_12298-RA	XP_026494163.1
OG0000262	JC_12300-RA, JC_12301-RA	XP_026494162.1
OG0000264	JC_05000-RA	XP_026485844.1
OG0000264	JC_04988-RA	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1
OG0000271	JC_15224-RA	XP_026484011.1
OG0000271	JC_15227-RA	XP_026484010.1, XP_026484163.1
OG0000272	JC_05394-RA, JC_14642-RA, JC_14238-RA	XP_026485265.1, XP_026492748.1
OG0000273	JC_06439-RA	XP_026485334.1
