Orthogroup	Junonia_coenia	Pararge_aegeria
OG0000048	JC_13992-RA, JC_02517-RA, JC_03646-RA, JC_04994-RA, JC_00038-RA, JC_15661-RA, JC_15414-RA	XP_039764514.1, XP_039746188.1, XP_039746229.1
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA	XP_039751228.1
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA	XP_039751167.1
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	XP_039756635.1, XP_039756638.1, XP_039756636.1
OG0000052	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA	XP_039755855.1
OG0000053	JC_00967-RA	XP_039752462.1
OG0000053	JC_00969-RA	XP_039760715.1
OG0000053	JC_00971-RA	XP_039761162.1
OG0000053	JC_00972-RA	XP_039754797.1
OG0000054	JC_07335-RA	XP_039753385.1
OG0000054	JC_07330-RA	XP_039753617.1, XP_039753386.1, XP_039753387.1, XP_039753618.1
OG0000054	JC_07332-RA, JC_07331-RA	XP_039753616.1
OG0000056	JC_14900-RA	XP_039760529.1, XP_039760686.1, XP_039760687.1
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	XP_039759134.1, XP_039759133.1
OG0000057	JC_10437-RA	XP_039759135.1
OG0000057	JC_04526-RA, JC_04525-RA	XP_039749078.1
OG0000058	JC_06466-RA	XP_039762497.1
OG0000058	JC_15097-RA	XP_039755222.1
OG0000060	JC_05725-RA	XP_039758412.1
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	XP_039758865.1, XP_039758409.1, XP_039758410.1
OG0000061	JC_03626-RA, JC_03622-RA, JC_03625-RA, JC_03624-RA, JC_03621-RA, JC_03619-RA, JC_03623-RA, JC_03620-RA	XP_039753921.1, XP_039754302.1, XP_039754300.1
OG0000062	JC_05075-RA	XP_039749293.1
OG0000062	JC_17219-RA, JC_17016-RA, JC_17018-RA, JC_17015-RA, JC_17012-RA	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	XP_039751621.1, XP_039751623.1
OG0000063	JC_09784-RA, JC_09386-RA	XP_039751622.1
OG0000063	JC_05993-RA	XP_039758398.1
OG0000064	JC_04496-RA, JC_09898-RA, JC_13551-RA	XP_039762469.1, XP_039762530.1, XP_039756330.1
OG0000066	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA	XP_039760006.1, XP_039760007.1, XP_039759907.1
OG0000066	JC_12979-RA	XP_039760356.1
OG0000067	JC_13669-RA, JC_13668-RA	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1
OG0000068	JC_14221-RA	XP_039750951.1, XP_039750943.1, XP_039747893.1
OG0000069	JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA	XP_039752768.1
OG0000071	JC_11424-RA	XP_039757286.1
OG0000073	JC_09483-RA	XP_039751184.1, XP_039751183.1
OG0000073	JC_09579-RA	XP_039751407.1, XP_039751408.1
OG0000073	JC_09593-RA, JC_09587-RA	XP_039751081.1
OG0000075	JC_03636-RA	XP_039753948.1, XP_039753946.1, XP_039753947.1
OG0000075	JC_03617-RA, JC_03616-RA	XP_039753889.1
OG0000075	JC_03392-RA	XP_039754353.1
OG0000076	JC_16781-RA, JC_16784-RA	XP_039762746.1
OG0000077	JC_04601-RA	XP_039749200.1
OG0000077	JC_04599-RA	XP_039748560.1, XP_039748561.1
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	XP_039752453.1
OG0000079	JC_09170-RA, JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA	XP_039749980.1, XP_039749979.1, XP_039749978.1
OG0000081	JC_15085-RA	XP_039759903.1, XP_039753370.1
OG0000082	JC_15348-RA	XP_039761740.1
OG0000082	JC_15354-RA	XP_039764229.1, XP_039764315.1, XP_039761712.1
OG0000082	JC_15231-RA	XP_039761433.1
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	XP_039760601.1, XP_039760603.1, XP_039760602.1
OG0000084	JC_09083-RA	XP_039749417.1
OG0000085	JC_05545-RA, JC_05548-RA	XP_039755091.1, XP_039749173.1, XP_039749174.1, XP_039749175.1
OG0000085	JC_05547-RA, JC_05546-RA	XP_039755026.1, XP_039755027.1, XP_039754791.1
OG0000088	JC_09259-RA, JC_09269-RA	XP_039751393.1
OG0000088	JC_16432-RA	XP_039762785.1
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	XP_039751496.1
OG0000090	JC_04442-RA, JC_04443-RA	XP_039749186.1
OG0000093	JC_15360-RA	XP_039761758.1
OG0000093	JC_15357-RA, JC_15358-RA	XP_039761603.1
OG0000093	JC_15363-RA	XP_039761633.1, XP_039761632.1
OG0000094	JC_13682-RA	XP_039746862.1
OG0000095	JC_00267-RA, JC_00268-RA, JC_00271-RA	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1
OG0000096	JC_09719-RA, JC_09720-RA	XP_039751227.1
OG0000096	JC_09724-RA	XP_039751260.1
OG0000096	JC_09722-RA, JC_09721-RA	XP_039751463.1
OG0000097	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA	XP_039757158.1
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	XP_039754908.1
OG0000098	JC_05289-RA, JC_16086-RA, JC_16084-RA	XP_039754998.1, XP_039758854.1
OG0000099	JC_12866-RA, JC_12832-RA	XP_039758452.1, XP_039756050.1, XP_039752164.1, XP_039754110.1, XP_039750228.1, XP_039750465.1, XP_039750464.1, XP_039751399.1, XP_039756188.1, XP_039764326.1, XP_039754575.1, XP_039751986.1, XP_039754706.1, XP_039765247.1, XP_039759156.1, XP_039755188.1, XP_039765356.1, XP_039764824.1, XP_039762710.1, XP_039758411.1, XP_039765838.1, XP_039748888.1, XP_039763199.1
OG0000100	JC_10662-RA	XP_039756542.1
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	XP_039758595.1
OG0000101	JC_09706-RA	XP_039758877.1, XP_039758267.1
OG0000102	JC_12048-RA	XP_039752281.1, XP_039752133.1, XP_039752135.1
OG0000103	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA	XP_039751968.1
OG0000108	JC_12701-RA	XP_039761887.1
OG0000108	JC_03919-RA, JC_15130-RA, JC_03918-RA	XP_039761876.1
OG0000110	JC_12230-RA	XP_039752795.1
OG0000110	JC_12232-RA, JC_12231-RA	XP_039752379.1
OG0000110	JC_12228-RA, JC_12227-RA, JC_12226-RA	XP_039752305.1
OG0000111	JC_06517-RA	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1
OG0000111	JC_04966-RA	XP_039748821.1
OG0000111	JC_04964-RA	XP_039749055.1
OG0000112	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1
OG0000113	JC_16665-RA, JC_16657-RA, JC_02497-RA	XP_039762990.1
OG0000114	JC_11661-RA	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1
OG0000115	JC_14206-RA	XP_039747701.1
OG0000115	JC_09318-RA	XP_039751528.1
OG0000115	JC_14203-RA	XP_039746102.1
OG0000116	JC_05019-RA	XP_039748745.1
OG0000116	JC_15737-RA, JC_09136-RA	XP_039749795.1
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1
OG0000118	JC_15186-RA, JC_03928-RA	XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1
OG0000119	JC_11803-RA, JC_05582-RA, JC_05587-RA	XP_039755254.1
OG0000120	JC_16881-RA, JC_13575-RA, JC_15154-RA	XP_039758940.1
OG0000122	JC_03302-RA	XP_039754268.1
OG0000122	JC_15261-RA	XP_039745510.1, XP_039761879.1, XP_039760048.1
OG0000123	JC_00053-RA	XP_039758681.1
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	XP_039759623.1
OG0000125	JC_13370-RA, JC_13369-RA	XP_039763370.1
OG0000127	JC_14232-RA	XP_039753005.1
OG0000127	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA	XP_039755682.1
OG0000128	JC_10255-RA	XP_039759402.1
OG0000128	JC_10263-RA	XP_039759275.1
OG0000128	JC_10261-RA	XP_039759639.1, XP_039759640.1
OG0000129	JC_14536-RA, JC_14538-RA	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1
OG0000131	JC_03944-RA, JC_04373-RA, JC_03943-RA	XP_039761941.1
OG0000132	JC_16594-RA, JC_12333-RA	XP_039758786.1
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	XP_039761844.1
OG0000134	JC_13643-RA	XP_039750230.1
OG0000134	JC_13572-RA, JC_13574-RA	XP_039748060.1
OG0000134	JC_13639-RA	XP_039745994.1
OG0000137	JC_00690-RA	XP_039745449.1, XP_039745448.1, XP_039745446.1, XP_039745445.1
OG0000137	JC_00691-RA	XP_039745441.1
OG0000138	JC_08004-RA	XP_039764463.1
OG0000138	JC_04421-RA	XP_039748518.1, XP_039748520.1
OG0000139	JC_12415-RA, JC_12416-RA	XP_039758056.1
OG0000139	JC_12885-RA	XP_039760019.1
OG0000139	JC_12412-RA	XP_039758138.1
OG0000140	JC_15651-RA	XP_039761164.1
OG0000140	JC_15647-RA	XP_039761163.1
OG0000141	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA	XP_039755123.1
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA	XP_039752000.1
OG0000143	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA	XP_039752786.1
OG0000143	JC_11701-RA, JC_11700-RA	XP_039752311.1, XP_039752179.1
OG0000144	JC_05956-RA, JC_05955-RA	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1
OG0000144	JC_05954-RA	XP_039758752.1
OG0000145	JC_03183-RA	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1
OG0000149	JC_09057-RA	XP_039749779.1
OG0000152	JC_01151-RA	XP_039759912.1
OG0000152	JC_01147-RA	XP_039759933.1
OG0000152	JC_01149-RA	XP_039759890.1, XP_039759882.1, XP_039759899.1
OG0000153	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA	XP_039754384.1
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA	XP_039761253.1, XP_039761124.1
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	XP_039760323.1
OG0000155	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA	XP_039760319.1
OG0000156	JC_10975-RA, JC_10974-RA	XP_039756689.1
OG0000156	JC_15886-RA, JC_10973-RA	XP_039756715.1
OG0000161	JC_10383-RA	XP_039764266.1, XP_039755389.1
OG0000162	JC_10317-RA, JC_10318-RA	XP_039759555.1
OG0000162	JC_10313-RA, JC_10316-RA	XP_039759460.1
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	XP_039759097.1, XP_039759094.1
OG0000164	JC_16411-RA	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1
OG0000165	JC_02467-RA, JC_02466-RA	XP_039746259.1
OG0000165	JC_02484-RA	XP_039745985.1, XP_039746050.1
OG0000166	JC_06064-RA	XP_039758552.1
OG0000166	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	XP_039758732.1
OG0000167	JC_03065-RA	XP_039762062.1, XP_039762063.1, XP_039754018.1
OG0000169	JC_09918-RA	XP_039759316.1
OG0000169	JC_09913-RA	XP_039759608.1
OG0000169	JC_09912-RA	XP_039759611.1
OG0000170	JC_05858-RA, JC_05859-RA, JC_05861-RA	XP_039758631.1
OG0000171	JC_09304-RA, JC_09306-RA, JC_09305-RA	XP_039751440.1
OG0000171	JC_09303-RA	XP_039751381.1, XP_039751687.1
OG0000172	JC_11633-RA, JC_11631-RA, JC_11632-RA	XP_039751930.1
OG0000174	JC_01298-RA	XP_039752561.1
OG0000174	JC_02058-RA	XP_039763737.1
OG0000175	JC_15584-RA	XP_039761245.1, XP_039761244.1
OG0000175	JC_03752-RA	XP_039747028.1
OG0000175	JC_07347-RA	XP_039753289.1
OG0000177	JC_12881-RA	XP_039754768.1
OG0000178	JC_15551-RA	XP_039761069.1
OG0000178	JC_15684-RA	XP_039761230.1, XP_039761229.1, XP_039761231.1
OG0000179	JC_05652-RA	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1
OG0000180	JC_01798-RA	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1
OG0000180	JC_01797-RA	XP_039763111.1
OG0000181	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1
OG0000182	JC_06575-RA, JC_06574-RA	XP_039750778.1
OG0000182	JC_04503-RA, JC_04505-RA, JC_04501-RA	XP_039749177.1
OG0000183	JC_09899-RA	XP_039759299.1
OG0000183	JC_00847-RA	XP_039751981.1
OG0000183	JC_02435-RA	XP_039746207.1
OG0000184	JC_04531-RA	XP_039748948.1
OG0000184	JC_06432-RA	XP_039750636.1
OG0000184	JC_06434-RA	XP_039750819.1
OG0000185	JC_11317-RA	XP_039756858.1
OG0000185	JC_11318-RA, JC_11319-RA	XP_039757372.1
OG0000186	JC_16936-RA	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1
OG0000187	JC_16384-RA	XP_039752400.1
OG0000187	JC_16906-RA	XP_039761993.1
OG0000189	JC_07045-RA, JC_07046-RA	XP_039755832.1
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	XP_039755689.1
OG0000190	JC_06617-RA	XP_039750365.1, XP_039750783.1
OG0000190	JC_06615-RA	XP_039750360.1
OG0000193	JC_06325-RA	XP_039750301.1
OG0000193	JC_06528-RA	XP_039750477.1
OG0000193	JC_06527-RA	XP_039750255.1
OG0000194	JC_02952-RA, JC_15116-RA, JC_07427-RA	XP_039755804.1
OG0000196	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	XP_039755851.1, XP_039755833.1, XP_039755840.1
OG0000197	JC_00320-RA	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1
OG0000198	JC_03773-RA	XP_039746651.1
OG0000198	JC_04209-RA	XP_039746649.1
OG0000199	JC_15024-RA, JC_05544-RA, JC_13150-RA	XP_039754756.1, XP_039751300.1
OG0000200	JC_03360-RA	XP_039754336.1
OG0000200	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA	XP_039754239.1
OG0000201	JC_07060-RA	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1
OG0000202	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA	XP_039749100.1, XP_039749101.1
OG0000203	JC_03487-RA	XP_039754507.1, XP_039754512.1
OG0000205	JC_05405-RA	XP_039755134.1
OG0000206	JC_16685-RA, JC_10718-RA, JC_16686-RA	XP_039762982.1
OG0000207	JC_06478-RA, JC_06002-RA, JC_15318-RA, JC_10834-RA	XP_039754537.1
OG0000208	JC_07994-RA, JC_07996-RA	XP_039764458.1, XP_039764457.1, XP_039764459.1, XP_039764456.1
OG0000208	JC_07997-RA	XP_039765207.1
OG0000209	JC_14043-RA	XP_039748142.1
OG0000209	JC_07069-RA	XP_039755641.1
OG0000210	JC_09539-RA	XP_039751647.1
OG0000210	JC_09537-RA	XP_039751643.1, XP_039751732.1
OG0000210	JC_09538-RA	XP_039751592.1
OG0000212	JC_05951-RA, JC_00130-RA	XP_039749219.1, XP_039749220.1
OG0000212	JC_04775-RA	XP_039749221.1
OG0000212	JC_04773-RA	XP_039748939.1
OG0000213	JC_00444-RA	XP_039765385.1
OG0000213	JC_00447-RA	XP_039745503.1
OG0000213	JC_00451-RA	XP_039765673.1
