Orthogroup	Junonia_coenia	Bicyclus_anynana
OG0000013	JC_03051-RA, JC_03952-RA	Bany_11488-RA
OG0000017	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA, JC_15131-RA	Bany_02945-RA
OG0000017	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA, Bany_14281-RA, Bany_17083-RA, Bany_10943-RA, Bany_03447-RA, Bany_06553-RA, Bany_12774-RA, Bany_02511-RA, Bany_04960-RA, Bany_08490-RA, Bany_16114-RA, Bany_05474-RA, Bany_01525-RA, Bany_10470-RA, Bany_10469-RA, Bany_05475-RA
OG0000018	JC_13020-RA	Bany_16974-RA
OG0000018	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	Bany_04504-RA
OG0000020	JC_14441-RA	Bany_17011-RA
OG0000020	JC_12860-RA, JC_08804-RA, JC_15272-RA	Bany_12664-RA, Bany_12667-RA
OG0000021	JC_15264-RA	Bany_12775-RA
OG0000022	JC_00074-RA	Bany_00839-RA
OG0000022	JC_16481-RA	Bany_16283-RA
OG0000022	JC_15640-RA	Bany_17573-RA
OG0000022	JC_14602-RA	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA
OG0000024	JC_07395-RA	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA
OG0000024	JC_07382-RA	Bany_08736-RA
OG0000025	JC_16102-RA, JC_16101-RA	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000026	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA	Bany_00115-RA
OG0000028	JC_16613-RA	Bany_14335-RA
OG0000028	JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA	Bany_07987-RA, Bany_01182-RA
OG0000029	JC_11808-RA, JC_11809-RA, JC_11807-RA	Bany_01625-RA
OG0000029	JC_00251-RA	Bany_00663-RA, Bany_00664-RA
OG0000029	JC_00247-RA	Bany_06091-RA
OG0000030	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA	Bany_15771-RA
OG0000031	JC_07638-RA	Bany_03256-RA
OG0000031	JC_02492-RA	Bany_18042-RA
OG0000031	JC_12510-RA	Bany_11193-RA
OG0000032	JC_08098-RA	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA
OG0000032	JC_15112-RA	Bany_12629-RA
OG0000034	JC_02760-RA	Bany_05846-RA, Bany_05861-RA
OG0000034	JC_02341-RA	Bany_05253-RA
OG0000034	JC_02354-RA	Bany_05243-RA
OG0000034	JC_02348-RA, JC_02347-RA	Bany_05248-RA
OG0000036	JC_14663-RA	Bany_07167-RA, Bany_18121-RA, Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	Bany_01919-RA
OG0000039	JC_12161-RA, JC_12165-RA	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA
OG0000039	JC_12154-RA	Bany_01356-RA
OG0000041	JC_09842-RA	Bany_11570-RA
OG0000046	JC_05581-RA	Bany_15454-RA
OG0000046	JC_05583-RA	Bany_15461-RA
OG0000047	JC_01389-RA	Bany_12867-RA
OG0000047	JC_07380-RA, JC_01597-RA, JC_05829-RA, JC_14875-RA, JC_05828-RA, JC_16797-RA, JC_16798-RA, JC_12703-RA	Bany_13545-RA
OG0000047	JC_01390-RA, JC_17223-RA	Bany_16501-RA
OG0000048	JC_10761-RA	Bany_12304-RA
OG0000048	JC_15164-RA	Bany_12164-RA
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA	Bany_05882-RA, Bany_05877-RA
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	Bany_14319-RA
OG0000052	JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA	Bany_00561-RA
OG0000053	JC_00967-RA	Bany_05073-RA
OG0000053	JC_00969-RA	Bany_05075-RA
OG0000053	JC_00972-RA	Bany_05076-RA
OG0000054	JC_07335-RA	Bany_08678-RA
OG0000054	JC_07330-RA	Bany_08681-RA, Bany_08727-RA
OG0000054	JC_07332-RA, JC_07331-RA	Bany_08680-RA
OG0000055	JC_03957-RA, JC_06931-RA, JC_03954-RA, JC_14082-RA	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000055	JC_14448-RA, JC_14447-RA, JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA	Bany_12890-RA, Bany_05677-RA
OG0000055	JC_04975-RA	Bany_04762-RA
OG0000056	JC_14900-RA	Bany_17811-RA, Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA, Bany_17808-RA, Bany_17810-RA, Bany_17809-RA
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	Bany_11764-RA
OG0000057	JC_10437-RA	Bany_11763-RA
OG0000057	JC_04526-RA, JC_04525-RA	Bany_10000-RA
OG0000058	JC_06466-RA	Bany_05192-RA, Bany_00871-RA
OG0000058	JC_15097-RA	Bany_02266-RA, Bany_03259-RA
OG0000060	JC_05725-RA	Bany_15282-RA
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA
OG0000061	JC_03622-RA, JC_03625-RA	Bany_08018-RA
OG0000061	JC_03624-RA	Bany_08020-RA, Bany_08022-RA
OG0000062	JC_05075-RA	Bany_10506-RA
OG0000062	JC_17219-RA, JC_17016-RA, JC_17018-RA, JC_17015-RA, JC_17012-RA	Bany_15127-RA
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	Bany_06319-RA
OG0000066	JC_12979-RA	Bany_17010-RA
OG0000067	JC_13669-RA, JC_13668-RA	Bany_02338-RA
OG0000068	JC_14221-RA	Bany_02228-RA, Bany_02226-RA
OG0000068	JC_14218-RA	Bany_02214-RA
OG0000069	JC_12056-RA	Bany_01527-RA
OG0000069	JC_12069-RA	Bany_01512-RA
OG0000069	JC_12061-RA	Bany_01515-RA
OG0000069	JC_12057-RA, JC_14470-RA	Bany_01528-RA, Bany_01514-RA
OG0000069	JC_12053-RA, JC_12791-RA, JC_12073-RA	Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA
OG0000071	JC_11424-RA	Bany_13125-RA
OG0000073	JC_09483-RA	Bany_06221-RA
OG0000073	JC_09579-RA	Bany_06084-RA
OG0000073	JC_09593-RA, JC_09587-RA	Bany_06075-RA
OG0000075	JC_03636-RA	Bany_07998-RA
OG0000075	JC_03617-RA	Bany_08015-RA
OG0000075	JC_03392-RA	Bany_08220-RA
OG0000076	JC_16781-RA, JC_16784-RA	Bany_16171-RA, Bany_16169-RA
OG0000077	JC_04601-RA	Bany_10084-RA
OG0000077	JC_04597-RA	Bany_10083-RA
OG0000078	JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	Bany_02387-RA
OG0000079	JC_09170-RA, JC_05044-RA, JC_05056-RA, JC_05053-RA, JC_05054-RA, JC_05052-RA, JC_05014-RA, JC_05012-RA, JC_05047-RA, JC_05040-RA, JC_05041-RA, JC_05008-RA, JC_05038-RA, JC_05006-RA, JC_05009-RA, JC_06349-RA, JC_00017-RA, JC_00016-RA, JC_05045-RA, JC_05013-RA, JC_05011-RA, JC_05039-RA, JC_05035-RA	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA
OG0000081	JC_15085-RA	Bany_08667-RA
OG0000082	JC_15348-RA	Bany_06988-RA
OG0000082	JC_15353-RA	Bany_06982-RA
OG0000082	JC_15230-RA	Bany_06548-RA
OG0000082	JC_15231-RA	Bany_06547-RA
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	Bany_18002-RA, Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA
OG0000084	JC_09083-RA	Bany_12323-RA, Bany_12325-RA
OG0000084	JC_09063-RA	Bany_12324-RA
OG0000085	JC_05550-RA	Bany_15468-RA
OG0000085	JC_05545-RA, JC_05548-RA	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000086	JC_14034-RA	Bany_17798-RA, Bany_00207-RA, Bany_03539-RA, Bany_09601-RA, Bany_08445-RA, Bany_09033-RA, Bany_15897-RA, Bany_07373-RA, Bany_16595-RA
OG0000086	JC_07805-RA	Bany_12624-RA, Bany_08412-RA, Bany_14437-RA, Bany_11446-RA, Bany_16265-RA, Bany_04667-RA, Bany_14647-RA, Bany_08780-RA, Bany_17195-RA, Bany_07756-RA, Bany_11880-RA, Bany_01724-RA, Bany_07270-RA, Bany_17833-RA, Bany_05359-RA, Bany_09204-RA
OG0000087	JC_02443-RA, JC_02442-RA, JC_02441-RA, JC_02439-RA, JC_02444-RA	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA
OG0000088	JC_16432-RA	Bany_16383-RA
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	Bany_06437-RA
OG0000091	JC_11192-RA	Bany_05733-RA
OG0000092	JC_03404-RA, JC_03406-RA	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA
OG0000092	JC_03407-RA	Bany_08203-RA
OG0000093	JC_15360-RA	Bany_07027-RA
OG0000093	JC_15358-RA	Bany_06973-RA, Bany_06974-RA
OG0000093	JC_15363-RA	Bany_07030-RA, Bany_07031-RA
OG0000094	JC_13682-RA	Bany_02330-RA
OG0000095	JC_00267-RA, JC_00268-RA, JC_00271-RA	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA
OG0000096	JC_09719-RA, JC_09720-RA	Bany_05878-RA
OG0000096	JC_09724-RA	Bany_05883-RA
OG0000096	JC_09722-RA, JC_09721-RA	Bany_05880-RA
OG0000097	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	Bany_15791-RA
OG0000098	JC_05289-RA, JC_16086-RA, JC_16084-RA	Bany_15790-RA, Bany_15822-RA, Bany_15823-RA, Bany_15793-RA, Bany_15792-RA, Bany_14920-RA, Bany_14950-RA, Bany_15794-RA, Bany_09166-RA, Bany_14951-RA, Bany_14952-RA, Bany_14953-RA
OG0000099	JC_12866-RA, JC_12832-RA	Bany_12826-RA
OG0000100	JC_10664-RA	Bany_14504-RA, Bany_14505-RA
OG0000100	JC_10662-RA	Bany_14503-RA
OG0000100	JC_10658-RA	Bany_14500-RA
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	Bany_15315-RA
OG0000101	JC_05761-RA	Bany_06155-RA
OG0000101	JC_09706-RA	Bany_15313-RA
OG0000102	JC_12048-RA	Bany_01509-RA, Bany_01511-RA
OG0000103	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA	Bany_01667-RA
OG0000106	JC_16716-RA, JC_07290-RA	Bany_03257-RA, Bany_18159-RA
OG0000108	JC_12701-RA	Bany_16502-RA
OG0000108	JC_16471-RA	Bany_04119-RA, Bany_10373-RA
OG0000108	JC_03919-RA, JC_15130-RA, JC_03918-RA	Bany_10832-RA, Bany_07404-RA
OG0000110	JC_12230-RA	Bany_01227-RA, Bany_01228-RA
OG0000110	JC_12232-RA, JC_12231-RA	Bany_01226-RA, Bany_01225-RA
OG0000110	JC_12228-RA, JC_12227-RA, JC_12226-RA	Bany_01235-RA
OG0000111	JC_06517-RA	Bany_10939-RA
OG0000111	JC_04964-RA	Bany_10438-RA
OG0000112	JC_08001-RA	Bany_03560-RA
OG0000112	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA	Bany_03561-RA, Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA
OG0000113	JC_16665-RA	Bany_16241-RA
OG0000113	JC_02497-RA	Bany_05360-RA
OG0000114	JC_11661-RA	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA
OG0000114	JC_11662-RA	Bany_01222-RA, Bany_01450-RA
OG0000115	JC_14206-RA	Bany_02238-RA
OG0000115	JC_09318-RA	Bany_06385-RA
OG0000115	JC_14203-RA	Bany_02241-RA
OG0000116	JC_05019-RA	Bany_10490-RA
OG0000117	JC_11736-RA, JC_11741-RA	Bany_01550-RA
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	Bany_01549-RA, Bany_01548-RA
OG0000118	JC_15186-RA	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA
OG0000118	JC_03928-RA	Bany_16031-RA, Bany_16497-RA, Bany_12878-RA
OG0000120	JC_16881-RA, JC_13575-RA, JC_15154-RA	Bany_09173-RA
OG0000120	JC_13596-RA, JC_01356-RA, JC_13017-RA	Bany_14910-RA
OG0000122	JC_03302-RA	Bany_08302-RA
OG0000122	JC_15261-RA	Bany_01640-RA, Bany_17292-RA
OG0000122	JC_00884-RA	Bany_17291-RA, Bany_05652-RA, Bany_15645-RA
OG0000123	JC_00053-RA	Bany_07450-RA
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	Bany_11544-RA, Bany_11546-RA
OG0000125	JC_13371-RA	Bany_02581-RA
OG0000125	JC_13370-RA, JC_13369-RA	Bany_02582-RA
OG0000127	JC_00089-RA	Bany_16156-RA
OG0000127	JC_14232-RA	Bany_13810-RA
OG0000127	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA	Bany_13611-RA
OG0000128	JC_10255-RA	Bany_11636-RA
OG0000128	JC_10263-RA	Bany_11151-RA
OG0000128	JC_10261-RA	Bany_11631-RA
OG0000129	JC_14536-RA, JC_14538-RA	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA
OG0000131	JC_03944-RA, JC_04373-RA, JC_03943-RA	Bany_12626-RA
OG0000132	JC_12332-RA, JC_12331-RA	Bany_03286-RA
OG0000132	JC_16594-RA, JC_12333-RA	Bany_15311-RA, Bany_08048-RA
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	Bany_12678-RA
OG0000133	JC_17034-RA, JC_17035-RA	Bany_12676-RA
OG0000134	JC_13643-RA	Bany_02357-RA
OG0000134	JC_13572-RA, JC_13574-RA	Bany_02392-RA
OG0000134	JC_13639-RA	Bany_02358-RA
OG0000136	JC_16349-RA	Bany_14602-RA
OG0000136	JC_03184-RA	Bany_01047-RA, Bany_14442-RA, Bany_15430-RA
OG0000137	JC_00690-RA	Bany_00008-RA
OG0000137	JC_00691-RA	Bany_15166-RA, Bany_00005-RA
OG0000138	JC_08004-RA	Bany_03566-RA
OG0000138	JC_04421-RA	Bany_09914-RA
OG0000139	JC_12416-RA	Bany_09402-RA
OG0000139	JC_12885-RA	Bany_17102-RA
OG0000139	JC_12412-RA	Bany_09407-RA
OG0000140	JC_15651-RA	Bany_17563-RA
OG0000140	JC_15647-RA	Bany_17568-RA
OG0000141	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA	Bany_01108-RA
OG0000142	JC_16336-RA, JC_16253-RA	Bany_01109-RA
OG0000142	JC_16332-RA	Bany_01110-RA
OG0000143	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA	Bany_01334-RA
OG0000143	JC_11701-RA, JC_11700-RA	Bany_01332-RA, Bany_01256-RA
OG0000144	JC_05956-RA, JC_05955-RA	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA
OG0000144	JC_05954-RA	Bany_15148-RA
OG0000145	JC_03183-RA	Bany_08426-RA
OG0000145	JC_03179-RA	Bany_08427-RA
OG0000145	JC_03180-RA, JC_03178-RA, JC_03177-RA	Bany_08424-RA, Bany_08425-RA
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000149	JC_09057-RA	Bany_12305-RA
OG0000152	JC_01151-RA	Bany_04680-RA
OG0000152	JC_01150-RA	Bany_04679-RA
OG0000152	JC_01147-RA	Bany_04673-RA
OG0000152	JC_01149-RA	Bany_04678-RA
OG0000153	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA	Bany_17666-RA, Bany_17667-RA
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	Bany_17351-RA, Bany_17350-RA
OG0000155	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA	Bany_17354-RA
OG0000156	JC_15886-RA, JC_10973-RA	Bany_14780-RA, Bany_14779-RA
OG0000161	JC_16940-RA	Bany_12660-RA
OG0000161	JC_10383-RA	Bany_01352-RA, Bany_01349-RA, Bany_12613-RA
OG0000162	JC_10317-RA, JC_10318-RA	Bany_11202-RA, Bany_11201-RA
OG0000162	JC_10314-RA	Bany_11203-RA
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	Bany_11267-RA
OG0000164	JC_16411-RA	Bany_17803-RA, Bany_01418-RA
OG0000165	JC_02470-RA, JC_02468-RA	Bany_05323-RA
OG0000166	JC_06064-RA	Bany_15015-RA
OG0000166	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	Bany_15344-RA
OG0000167	JC_03065-RA	Bany_12222-RA, Bany_08543-RA, Bany_15130-RA
OG0000169	JC_09918-RA	Bany_11620-RA
OG0000169	JC_09912-RA	Bany_11612-RA
OG0000170	JC_05858-RA, JC_05859-RA, JC_05861-RA	Bany_15234-RA, Bany_15233-RA
OG0000171	JC_09304-RA	Bany_06399-RA
OG0000171	JC_09306-RA, JC_09305-RA	Bany_06398-RA, Bany_06397-RA
OG0000171	JC_09303-RA	Bany_06400-RA, Bany_06401-RA
OG0000172	JC_11633-RA, JC_11631-RA, JC_11632-RA	Bany_01725-RA, Bany_01726-RA
OG0000174	JC_01298-RA	Bany_04844-RA, Bany_18126-RA
OG0000174	JC_02058-RA	Bany_07483-RA
OG0000175	JC_15584-RA	Bany_17401-RA
OG0000175	JC_03752-RA	Bany_02772-RA
OG0000175	JC_07347-RA	Bany_07033-RA
OG0000177	JC_01037-RA	Bany_07445-RA
OG0000177	JC_16807-RA, JC_03373-RA	Bany_07443-RA
OG0000177	JC_12881-RA	Bany_01572-RA, Bany_14997-RA, Bany_09958-RA, Bany_12748-RA, Bany_11507-RA
OG0000177	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA, JC_16605-RA, JC_13926-RA	Bany_14912-RA, Bany_02577-RA
OG0000178	JC_15552-RA	Bany_17427-RA
OG0000178	JC_15551-RA	Bany_17428-RA
OG0000178	JC_15684-RA	Bany_17535-RA
OG0000180	JC_01797-RA	Bany_09947-RA, Bany_07642-RA
OG0000181	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	JC_06575-RA, JC_06574-RA	Bany_11088-RA, Bany_11086-RA
OG0000182	JC_04503-RA, JC_04505-RA, JC_04501-RA	Bany_11087-RA
OG0000183	JC_09899-RA	Bany_11605-RA
OG0000183	JC_00847-RA	Bany_04948-RA
OG0000183	JC_02435-RA	Bany_05295-RA
OG0000184	JC_04531-RA	Bany_10003-RA
OG0000184	JC_06432-RA	Bany_10868-RA
OG0000184	JC_06434-RA	Bany_10869-RA
OG0000185	JC_11317-RA	Bany_13249-RA
OG0000185	JC_11318-RA	Bany_13248-RA
OG0000185	JC_11319-RA	Bany_13247-RA
OG0000186	JC_16936-RA	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA
OG0000187	JC_16384-RA	Bany_01200-RA
OG0000187	JC_16906-RA	Bany_12865-RA
OG0000188	JC_14936-RA	Bany_17928-RA
OG0000188	JC_14941-RA, JC_14942-RA, JC_14943-RA, JC_14940-RA	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA
OG0000189	JC_07045-RA	Bany_14112-RA, Bany_14113-RA
OG0000189	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA	Bany_14114-RA
OG0000190	JC_06617-RA	Bany_11035-RA, Bany_11034-RA
OG0000190	JC_06615-RA	Bany_11033-RA
