Orthogroup	Junonia_coenia	Heliconius_erato_lativitta
OG0000034	JC_02348-RA, JC_02347-RA	HEL_003968-RA
OG0000036	JC_14663-RA	HEL_008947-RA, HEL_010219-RA
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA	HEL_003342-RA
OG0000038	JC_14539-RA	HEL_003339-RA
OG0000038	JC_14546-RA	HEL_003345-RA, HEL_003332-RA, HEL_003350-RA, HEL_003331-RA
OG0000039	JC_12161-RA	HEL_002018-RA
OG0000039	JC_12165-RA	HEL_002013-RA
OG0000039	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA	HEL_006830-RA
OG0000039	JC_12154-RA	HEL_006829-RA
OG0000041	JC_09842-RA	HEL_014103-RA
OG0000045	JC_06642-RA	HEL_012373-RA
OG0000045	JC_09127-RA	HEL_010335-RA
OG0000045	JC_15568-RA, JC_15572-RA	HEL_005377-RA
OG0000046	JC_05581-RA, JC_05583-RA	HEL_005348-RA
OG0000047	JC_01389-RA, JC_14874-RA, JC_07380-RA, JC_01597-RA, JC_05829-RA, JC_14875-RA, JC_05828-RA, JC_16797-RA, JC_16798-RA, JC_12703-RA, JC_01390-RA, JC_17223-RA	HEL_009610-RA
OG0000048	JC_13993-RA, JC_06674-RA, JC_00792-RA, JC_03644-RA, JC_03036-RA	HEL_005970-RA
OG0000049	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA	HEL_008034-RA
OG0000050	JC_10512-RA	HEL_012554-RA
OG0000050	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA	HEL_012564-RA
OG0000052	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA	HEL_000724-RA
OG0000053	JC_00970-RA	HEL_006721-RA
OG0000053	JC_00969-RA	HEL_006720-RA
OG0000053	JC_00971-RA	HEL_006724-RA
OG0000053	JC_00972-RA	HEL_006725-RA
OG0000054	JC_07335-RA	HEL_003473-RA
OG0000054	JC_07330-RA	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA, HEL_003471-RA
OG0000054	JC_07332-RA, JC_07331-RA	HEL_003470-RA
OG0000055	JC_03957-RA	HEL_011387-RA
OG0000055	JC_14448-RA	HEL_007822-RA
OG0000055	JC_14447-RA	HEL_007824-RA
OG0000055	JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA	HEL_010170-RA
OG0000055	JC_04975-RA	HEL_008266-RA
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	HEL_008127-RA, HEL_008126-RA
OG0000057	JC_10437-RA	HEL_008125-RA
OG0000057	JC_04526-RA, JC_04525-RA	HEL_007566-RA
OG0000060	JC_05724-RA	HEL_007291-RA
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA
OG0000061	JC_03624-RA	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA
OG0000061	JC_03621-RA	HEL_014348-RA, HEL_014349-RA, HEL_010277-RA
OG0000061	JC_03623-RA	HEL_014346-RA
OG0000062	JC_05075-RA	HEL_000202-RA
OG0000063	JC_09389-RA, JC_09388-RA, JC_09387-RA	HEL_006297-RA
OG0000063	JC_05993-RA	HEL_011544-RA
OG0000066	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA	HEL_002081-RA, HEL_002082-RA
OG0000067	JC_13669-RA	HEL_006896-RA
OG0000068	JC_14221-RA	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA
OG0000068	JC_14218-RA	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA, HEL_004803-RA, HEL_004797-RA, HEL_004795-RA
OG0000069	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA	HEL_013143-RA
OG0000069	JC_12057-RA, JC_14470-RA	HEL_013144-RA
OG0000071	JC_11424-RA	HEL_009006-RA
OG0000073	JC_09483-RA	HEL_007878-RA
OG0000073	JC_09579-RA	HEL_008003-RA
OG0000073	JC_09593-RA	HEL_007997-RA
OG0000073	JC_09587-RA	HEL_007992-RA
OG0000075	JC_03636-RA	HEL_014328-RA, HEL_014331-RA
OG0000075	JC_03615-RA, JC_03617-RA, JC_03616-RA	HEL_014345-RA, HEL_014343-RA
OG0000075	JC_03392-RA	HEL_007561-RA
OG0000077	JC_04601-RA	HEL_013280-RA
OG0000077	JC_04595-RA, JC_04596-RA	HEL_013279-RA
OG0000077	JC_04603-RA	HEL_013282-RA
OG0000077	JC_04602-RA	HEL_013281-RA
OG0000078	JC_13524-RA, JC_13603-RA, JC_13604-RA	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA
OG0000078	JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA	HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA
OG0000079	JC_09170-RA	HEL_010373-RA
OG0000082	JC_15348-RA	HEL_005977-RA
OG0000082	JC_15353-RA	HEL_005961-RA
OG0000082	JC_15230-RA	HEL_002182-RA
OG0000083	JC_14785-RA, JC_14784-RA, JC_14786-RA	HEL_011887-RA, HEL_011889-RA, HEL_011895-RA, HEL_011888-RA, HEL_011892-RA, HEL_011897-RA, HEL_011899-RA
OG0000084	JC_09083-RA	HEL_010679-RA
OG0000084	JC_09063-RA	HEL_010678-RA, HEL_010675-RA, HEL_010676-RA
OG0000085	JC_05545-RA, JC_05548-RA	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA, HEL_005305-RA, HEL_005304-RA
OG0000087	JC_02443-RA, JC_02442-RA, JC_02441-RA	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA, HEL_003935-RA, HEL_003930-RA, HEL_003927-RA, HEL_003941-RA, HEL_003938-RA, HEL_003937-RA, HEL_003936-RA
OG0000087	JC_02439-RA	HEL_003929-RA
OG0000087	JC_02444-RA	HEL_003926-RA
OG0000088	JC_16432-RA	HEL_013016-RA
OG0000088	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA	HEL_014145-RA, HEL_012840-RA
OG0000088	JC_09272-RA	HEL_014142-RA
OG0000090	JC_04442-RA, JC_04443-RA	HEL_007626-RA
OG0000093	JC_15360-RA	HEL_005969-RA
OG0000093	JC_15358-RA	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA
OG0000093	JC_15362-RA	HEL_005971-RA
OG0000093	JC_15363-RA	HEL_005972-RA
OG0000094	JC_13682-RA	HEL_006926-RA
OG0000095	JC_00267-RA, JC_00268-RA, JC_00271-RA	HEL_001292-RA
OG0000096	JC_09719-RA	HEL_010167-RA
OG0000096	JC_09720-RA	HEL_010173-RA
OG0000096	JC_09724-RA	HEL_010165-RA
OG0000097	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA
OG0000098	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA	HEL_005540-RA
OG0000100	JC_10664-RA	HEL_005774-RA
OG0000100	JC_10665-RA	HEL_005770-RA, HEL_005771-RA
OG0000100	JC_10663-RA	HEL_005773-RA
OG0000100	JC_10662-RA	HEL_005776-RA
OG0000100	JC_10658-RA	HEL_005778-RA
OG0000101	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA	HEL_010134-RA, HEL_010133-RA
OG0000101	JC_05755-RA, JC_05761-RA	HEL_010138-RA
OG0000102	JC_14892-RA	HEL_013146-RA
OG0000102	JC_12066-RA, JC_14237-RA, JC_12068-RA	HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA
OG0000102	JC_12048-RA	HEL_013147-RA
OG0000103	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA	HEL_008320-RA
OG0000106	JC_16716-RA, JC_07290-RA	HEL_014493-RA
OG0000108	JC_03919-RA, JC_15130-RA, JC_03918-RA	HEL_013515-RA
OG0000109	JC_03001-RA	HEL_012849-RA, HEL_012847-RA
OG0000110	JC_12230-RA	HEL_014554-RA
OG0000110	JC_12228-RA	HEL_014551-RA
OG0000111	JC_06517-RA	HEL_004223-RA
OG0000111	JC_04966-RA	HEL_000126-RA
OG0000111	JC_04964-RA	HEL_000128-RA
OG0000113	JC_16665-RA	HEL_011795-RA, HEL_011797-RA
OG0000113	JC_16657-RA, JC_02497-RA	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	JC_11661-RA	HEL_014390-RA
OG0000114	JC_11662-RA	HEL_009880-RA, HEL_009885-RA
OG0000115	JC_14206-RA	HEL_004784-RA
OG0000115	JC_09318-RA	HEL_006264-RA
OG0000115	JC_14203-RA	HEL_004779-RA
OG0000116	JC_05019-RA	HEL_000181-RA
OG0000116	JC_15737-RA, JC_09136-RA	HEL_010345-RA
OG0000117	JC_11736-RA, JC_11741-RA	HEL_013392-RA
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	HEL_013393-RA
OG0000119	JC_05588-RA	HEL_005351-RA
OG0000120	JC_13575-RA	HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA
OG0000120	JC_15154-RA	HEL_011754-RA
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	HEL_012796-RA
OG0000125	JC_13371-RA	HEL_008471-RA
OG0000125	JC_13370-RA, JC_13369-RA	HEL_008470-RA
OG0000127	JC_14093-RA	HEL_013707-RA
OG0000127	JC_14232-RA	HEL_013706-RA
OG0000128	JC_10255-RA	HEL_014291-RA
OG0000128	JC_10263-RA	HEL_014057-RA
OG0000128	JC_10261-RA	HEL_014054-RA
OG0000129	JC_14536-RA, JC_14538-RA	HEL_003330-RA, HEL_003340-RA
OG0000131	JC_03944-RA, JC_04373-RA, JC_03943-RA	HEL_004142-RA
OG0000132	JC_12328-RA, JC_12330-RA	HEL_005216-RA, HEL_005214-RA, HEL_005223-RA
OG0000132	JC_16594-RA, JC_12333-RA	HEL_013799-RA, HEL_013798-RA
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	HEL_004130-RA
OG0000133	JC_17073-RA, JC_17089-RA, JC_17090-RA, JC_10207-RA, JC_05046-RA, JC_13313-RA, JC_13314-RA, JC_13312-RA, JC_17109-RA, JC_17185-RA	HEL_004131-RA
OG0000133	JC_17034-RA, JC_17035-RA	HEL_004133-RA
OG0000134	JC_13643-RA	HEL_006876-RA
OG0000134	JC_13574-RA	HEL_006825-RA
OG0000134	JC_13639-RA	HEL_006826-RA
OG0000137	JC_00691-RA	HEL_001689-RA
OG0000138	JC_08004-RA	HEL_002292-RA
OG0000138	JC_04421-RA	HEL_007640-RA
OG0000139	JC_12415-RA, JC_12416-RA	HEL_003606-RA
OG0000139	JC_12412-RA	HEL_003604-RA
OG0000141	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA	HEL_010839-RA, HEL_010838-RA
OG0000142	JC_16336-RA, JC_16253-RA	HEL_010081-RA
OG0000142	JC_04999-RA, JC_04998-RA	HEL_010082-RA
OG0000143	JC_11705-RA	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA
OG0000143	JC_10291-RA, JC_11703-RA, JC_11704-RA	HEL_009925-RA
OG0000143	JC_11701-RA, JC_11700-RA	HEL_009924-RA
OG0000144	JC_05956-RA, JC_05955-RA	HEL_011567-RA
OG0000144	JC_05954-RA	HEL_011569-RA, HEL_011568-RA
OG0000145	JC_03183-RA, JC_03179-RA, JC_03180-RA, JC_03178-RA, JC_03177-RA	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA
OG0000149	JC_09057-RA	HEL_010670-RA
OG0000152	JC_01150-RA	HEL_002884-RA
OG0000152	JC_01147-RA	HEL_002887-RA
OG0000152	JC_01149-RA	HEL_002885-RA
OG0000153	JC_02950-RA	HEL_012803-RA
OG0000154	JC_05850-RA, JC_05851-RA, JC_01364-RA	HEL_004719-RA
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA	HEL_004718-RA, HEL_004720-RA, HEL_004722-RA
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA	HEL_012311-RA, HEL_012316-RA
OG0000156	JC_10979-RA	HEL_013568-RA
OG0000156	JC_15886-RA	HEL_013567-RA
OG0000156	JC_10973-RA	HEL_013569-RA
OG0000157	JC_06612-RA, JC_11837-RA, JC_14009-RA, JC_16489-RA, JC_16620-RA, JC_12818-RA, JC_05707-RA, JC_07926-RA, JC_17098-RA, JC_13891-RA, JC_16905-RA, JC_13706-RA, JC_07992-RA, JC_16398-RA, JC_09892-RA, JC_01960-RA, JC_15646-RA, JC_12101-RA, JC_15198-RA, JC_14746-RA, JC_08528-RA, JC_14305-RA, JC_11908-RA, JC_13220-RA, JC_11293-RA, JC_14463-RA, JC_15390-RA, JC_05552-RA	HEL_007312-RA
OG0000162	JC_10317-RA, JC_10318-RA	HEL_008231-RA
OG0000162	JC_10314-RA	HEL_008230-RA
OG0000162	JC_10313-RA, JC_10316-RA	HEL_008233-RA, HEL_008232-RA
OG0000163	JC_10213-RA	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA
OG0000164	JC_16411-RA	HEL_013352-RA
OG0000165	JC_02470-RA, JC_02468-RA	HEL_014028-RA
OG0000166	JC_06064-RA	HEL_009754-RA
OG0000166	JC_05823-RA	HEL_007219-RA, HEL_007218-RA
OG0000167	JC_03065-RA	HEL_011445-RA
OG0000169	JC_09918-RA	HEL_012759-RA
OG0000169	JC_09912-RA	HEL_012764-RA
OG0000170	JC_05859-RA	HEL_012927-RA
OG0000171	JC_09304-RA	HEL_006254-RA, HEL_006253-RA
OG0000171	JC_09303-RA	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA
OG0000174	JC_01298-RA	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA, HEL_002710-RA
OG0000174	JC_01295-RA	HEL_002715-RA
OG0000174	JC_02058-RA	HEL_007174-RA
OG0000175	JC_15584-RA	HEL_005422-RA
OG0000175	JC_03752-RA	HEL_009048-RA
OG0000175	JC_07347-RA	HEL_003484-RA
OG0000178	JC_15552-RA, JC_15551-RA	HEL_005387-RA
OG0000178	JC_15684-RA	HEL_004641-RA
OG0000180	JC_01798-RA	HEL_007077-RA
OG0000180	JC_01797-RA	HEL_007079-RA, HEL_007078-RA
OG0000181	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA	HEL_008902-RA
OG0000182	JC_06575-RA, JC_06574-RA	HEL_012893-RA
OG0000183	JC_09899-RA	HEL_012769-RA
OG0000183	JC_00847-RA	HEL_006620-RA
OG0000183	JC_02435-RA	HEL_003942-RA
OG0000184	JC_04529-RA	HEL_007564-RA
OG0000184	JC_06432-RA	HEL_004299-RA
OG0000184	JC_06434-RA	HEL_004298-RA
OG0000185	JC_11317-RA	HEL_011155-RA
OG0000185	JC_11318-RA	HEL_011156-RA
OG0000185	JC_11319-RA	HEL_011157-RA
OG0000186	JC_16936-RA	HEL_006287-RA, HEL_013685-RA
OG0000187	JC_16384-RA	HEL_010066-RA
OG0000188	JC_14936-RA	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA
OG0000188	JC_14941-RA, JC_14942-RA, JC_14943-RA, JC_14940-RA	HEL_009328-RA
OG0000190	JC_06617-RA	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA
OG0000193	JC_06325-RA	HEL_011020-RA, HEL_011022-RA
OG0000196	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA	HEL_002689-RA
OG0000197	JC_00320-RA	HEL_001340-RA
OG0000198	JC_03773-RA	HEL_009068-RA
OG0000198	JC_04209-RA	HEL_009066-RA
OG0000200	JC_03361-RA, JC_03362-RA	HEL_007531-RA, HEL_007530-RA
OG0000200	JC_03360-RA	HEL_007527-RA
OG0000201	JC_07060-RA	HEL_001000-RA, HEL_001001-RA
OG0000202	JC_04947-RA	HEL_000095-RA, HEL_000097-RA, HEL_000092-RA, HEL_000093-RA, HEL_006532-RA, HEL_000094-RA
OG0000202	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA	HEL_000098-RA
OG0000203	JC_03487-RA	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA
OG0000206	JC_16685-RA, JC_10718-RA, JC_16686-RA	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA
OG0000209	JC_14043-RA	HEL_000443-RA
OG0000209	JC_07069-RA	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA
OG0000210	JC_09537-RA	HEL_007935-RA
OG0000211	JC_09945-RA, JC_09936-RA, JC_09940-RA, JC_09948-RA, JC_09951-RA, JC_10156-RA	HEL_012798-RA
OG0000211	JC_09874-RA, JC_09952-RA, JC_09934-RA, JC_09901-RA, JC_09933-RA, JC_10155-RA, JC_09941-RA, JC_09943-RA, JC_09949-RA, JC_09939-RA, JC_09946-RA, JC_09935-RA, JC_09942-RA, JC_09947-RA	HEL_012800-RA
OG0000212	JC_05951-RA, JC_00130-RA	HEL_010933-RA
OG0000212	JC_04775-RA	HEL_010932-RA
OG0000212	JC_04773-RA	HEL_010931-RA
OG0000213	JC_00444-RA	HEL_001448-RA
OG0000213	JC_00447-RA	HEL_001453-RA
OG0000214	JC_09415-RA	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA
OG0000215	JC_13463-RA	HEL_008533-RA
OG0000216	JC_04853-RA	HEL_000005-RA
OG0000217	JC_01085-RA	HEL_006812-RA
OG0000218	JC_04203-RA, JC_04202-RA, JC_04199-RA, JC_04200-RA, JC_04201-RA	HEL_011596-RA
OG0000219	JC_13344-RA	HEL_008433-RA
OG0000219	JC_03136-RA, JC_03132-RA	HEL_011520-RA
OG0000221	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA	HEL_000182-RA
OG0000221	JC_05015-RA, JC_05016-RA, JC_05042-RA	HEL_000184-RA
OG0000222	JC_16787-RA, JC_16688-RA	HEL_013041-RA
OG0000222	JC_16687-RA	HEL_013040-RA
OG0000224	JC_06261-RA	HEL_011056-RA
OG0000224	JC_06255-RA	HEL_011061-RA
