Orthogroup	Vanessa_cardui	Bicyclus_anynana
OG0000053	Vcard_DToL01328-RA	Bany_05073-RA
OG0000053	Vcard_DToL01331-RA	Bany_05075-RA
OG0000053	Vcard_DToL01335-RA	Bany_05076-RA
OG0000054	Vcard_DToL09709-RA	Bany_08678-RA
OG0000054	Vcard_DToL09712-RA	Bany_08681-RA, Bany_08727-RA
OG0000054	Vcard_DToL09711-RA	Bany_08680-RA
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000055	Vcard_DToL18025-RA	Bany_12890-RA, Bany_05677-RA
OG0000056	Vcard_DToL16041-RA	Bany_17818-RA
OG0000056	Vcard_DToL16044-RA	Bany_17820-RA
OG0000056	Vcard_DToL16040-RA	Bany_17812-RA, Bany_17816-RA, Bany_17813-RA, Bany_17815-RA, Bany_17814-RA, Bany_17808-RA, Bany_17810-RA
OG0000057	Vcard_DToL13794-RA	Bany_11764-RA
OG0000057	Vcard_DToL13796-RA	Bany_11763-RA
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	Bany_10000-RA
OG0000058	Vcard_DToL16303-RA, Vcard_DToL07362-RA	Bany_05192-RA, Bany_00871-RA
OG0000058	Vcard_DToL02890-RA	Bany_06476-RA, Bany_15746-RA, Bany_08215-RA, Bany_04920-RA, Bany_01911-RA, Bany_00785-RA
OG0000061	Vcard_DToL04117-RA	Bany_08020-RA
OG0000062	Vcard_DToL05449-RA	Bany_10506-RA
OG0000062	Vcard_DToL17485-RA	Bany_06854-RA
OG0000062	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA	Bany_15127-RA
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	Bany_06319-RA
OG0000063	Vcard_DToL07425-RA	Bany_12190-RA
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	Bany_17013-RA, Bany_17016-RA, Bany_17015-RA, Bany_17010-RA
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	Bany_02338-RA
OG0000067	Vcard_DToL15558-RA	Bany_16556-RA, Bany_16555-RA, Bany_16554-RA, Bany_10009-RA, Bany_16557-RA, Bany_16558-RA, Bany_06790-RA, Bany_16552-RA, Bany_06765-RA
OG0000068	Vcard_DToL16340-RA	Bany_02228-RA, Bany_02226-RA
OG0000068	Vcard_DToL16337-RA	Bany_02214-RA
OG0000069	Vcard_DToL07820-RA	Bany_01527-RA
OG0000069	Vcard_DToL07819-RA, Vcard_DToL07818-RA	Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA
OG0000071	Vcard_DToL11272-RA	Bany_13125-RA
OG0000071	Vcard_DToL15245-RA	Bany_13126-RA
OG0000073	Vcard_DToL06863-RA	Bany_06221-RA
OG0000073	Vcard_DToL06621-RA	Bany_06084-RA
OG0000073	Vcard_DToL06614-RA	Bany_06086-RA, Bany_06085-RA, Bany_06087-RA, Bany_06075-RA
OG0000075	Vcard_DToL04138-RA	Bany_07998-RA
OG0000075	Vcard_DToL04270-RA	Bany_08220-RA
OG0000076	Vcard_DToL18781-RA	Bany_16171-RA, Bany_16169-RA
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA
OG0000079	Vcard_DToL07660-RA, Vcard_DToL05246-RA, Vcard_DToL05221-RA	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA
OG0000080	Vcard_DToL16424-RA	Bany_15429-RA, Bany_08357-RA, Bany_02557-RA, Bany_12245-RA, Bany_08358-RA
OG0000082	Vcard_DToL17276-RA	Bany_06988-RA
OG0000082	Vcard_DToL17337-RA	Bany_06547-RA
OG0000084	Vcard_DToL07564-RA	Bany_12323-RA, Bany_12325-RA
OG0000085	Vcard_DToL03094-RA	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000088	Vcard_DToL06952-RA	Bany_06437-RA
OG0000091	Vcard_DToL15015-RA	Bany_13092-RA
OG0000091	Vcard_DToL07340-RA	Bany_07375-RA, Bany_04928-RA, Bany_09349-RA
OG0000092	Vcard_DToL04259-RA	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA
OG0000092	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	Bany_08213-RA, Bany_08203-RA
OG0000093	Vcard_DToL17257-RA	Bany_07027-RA
OG0000093	Vcard_DToL17260-RA	Bany_06974-RA
OG0000093	Vcard_DToL17256-RA	Bany_07030-RA, Bany_07031-RA
OG0000094	Vcard_DToL15547-RA	Bany_02330-RA
OG0000094	Vcard_DToL15561-RA	Bany_02336-RA, Bany_02337-RA
OG0000095	Vcard_DToL02427-RA, Vcard_DToL02425-RA	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA
OG0000096	Vcard_DToL06347-RA	Bany_05878-RA
OG0000096	Vcard_DToL06351-RA	Bany_05883-RA
OG0000096	Vcard_DToL06349-RA	Bany_05880-RA
OG0000097	Vcard_DToL11327-RA, Vcard_DToL11326-RA	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	Vcard_DToL02960-RA	Bany_15791-RA
OG0000100	Vcard_DToL12906-RA	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA
OG0000100	Vcard_DToL12904-RA	Bany_14503-RA
OG0000100	Vcard_DToL12899-RA	Bany_14500-RA
OG0000101	Vcard_DToL09191-RA	Bany_15315-RA
OG0000101	Vcard_DToL10113-RA	Bany_15313-RA
OG0000103	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA	Bany_01667-RA
OG0000108	Vcard_DToL18043-RA	Bany_10832-RA, Bany_07404-RA
OG0000109	Vcard_DToL04719-RA	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA
OG0000110	Vcard_DToL07723-RA	Bany_01227-RA, Bany_01228-RA
OG0000110	Vcard_DToL07721-RA, Vcard_DToL07720-RA	Bany_01235-RA
OG0000111	Vcard_DToL10424-RA	Bany_10939-RA
OG0000111	Vcard_DToL05298-RA	Bany_10437-RA
OG0000111	Vcard_DToL05301-RA	Bany_10438-RA
OG0000113	Vcard_DToL03481-RA	Bany_05360-RA
OG0000114	Vcard_DToL07873-RA	Bany_01222-RA, Bany_01450-RA
OG0000114	Vcard_DToL09470-RA	Bany_01444-RA, Bany_01446-RA
OG0000115	Vcard_DToL16325-RA	Bany_02238-RA
OG0000115	Vcard_DToL06773-RA	Bany_06385-RA
OG0000115	Vcard_DToL16322-RA	Bany_02241-RA
OG0000116	Vcard_DToL05226-RA	Bany_10490-RA
OG0000116	Vcard_DToL00399-RA	Bany_07549-RA
OG0000116	Vcard_DToL17023-RA	Bany_12390-RA
OG0000117	Vcard_DToL08238-RA	Bany_01550-RA
OG0000117	Vcard_DToL08239-RA	Bany_01549-RA, Bany_01548-RA
OG0000122	Vcard_DToL04366-RA	Bany_08302-RA
OG0000122	Vcard_DToL04368-RA	Bany_14514-RA, Bany_16882-RA, Bany_16881-RA, Bany_00527-RA
OG0000122	Vcard_DToL14073-RA, Vcard_DToL17995-RA	Bany_13318-RA
OG0000124	Vcard_DToL13182-RA	Bany_11544-RA, Bany_11546-RA
OG0000125	Vcard_DToL15852-RA	Bany_02581-RA
OG0000125	Vcard_DToL15854-RA	Bany_02582-RA
OG0000127	Vcard_DToL18678-RA	Bany_13810-RA
OG0000128	Vcard_DToL13576-RA	Bany_11636-RA
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	Bany_11151-RA
OG0000128	Vcard_DToL13581-RA	Bany_11631-RA
OG0000129	Vcard_DToL16688-RA	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA
OG0000130	Vcard_DToL07751-RA	Bany_17026-RA
OG0000131	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA	Bany_12626-RA
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA	Bany_15311-RA, Bany_08048-RA
OG0000133	Vcard_DToL17871-RA	Bany_12678-RA
OG0000133	Vcard_DToL17888-RA	Bany_12676-RA
OG0000134	Vcard_DToL15581-RA	Bany_02357-RA
OG0000134	Vcard_DToL15620-RA	Bany_02392-RA
OG0000134	Vcard_DToL15582-RA	Bany_02358-RA
OG0000138	Vcard_DToL06226-RA, Vcard_DToL06227-RA	Bany_03566-RA
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	Bany_09914-RA
OG0000139	Vcard_DToL14664-RA	Bany_09402-RA
OG0000139	Vcard_DToL15052-RA	Bany_17102-RA
OG0000140	Vcard_DToL16920-RA	Bany_17563-RA
OG0000140	Vcard_DToL16881-RA	Bany_17491-RA
OG0000140	Vcard_DToL16917-RA	Bany_17568-RA
OG0000140	Vcard_DToL16916-RA	Bany_17569-RA
OG0000141	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	Vcard_DToL18406-RA	Bany_01108-RA
OG0000142	Vcard_DToL18394-RA	Bany_01116-RA
OG0000142	Vcard_DToL18404-RA	Bany_01110-RA
OG0000143	Vcard_DToL08257-RA	Bany_01334-RA
OG0000143	Vcard_DToL08259-RA	Bany_01332-RA, Bany_01256-RA
OG0000144	Vcard_DToL09834-RA	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA
OG0000145	Vcard_DToL04524-RA	Bany_08426-RA
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000148	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA
OG0000149	Vcard_DToL10477-RA	Bany_10899-RA
OG0000150	Vcard_DToL16167-RA, Vcard_DToL15721-RA	Bany_01083-RA, Bany_01082-RA
OG0000150	Vcard_DToL07759-RA	Bany_15649-RA, Bany_15123-RA, Bany_05527-RA
OG0000152	Vcard_DToL01543-RA	Bany_04679-RA
OG0000152	Vcard_DToL01538-RA	Bany_04673-RA
OG0000152	Vcard_DToL01542-RA	Bany_04678-RA
OG0000153	Vcard_DToL04556-RA, Vcard_DToL04750-RA	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA	Bany_17666-RA, Bany_17667-RA
OG0000155	Vcard_DToL15439-RA	Bany_17351-RA, Bany_17350-RA
OG0000156	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA	Bany_14780-RA, Bany_14779-RA
OG0000161	Vcard_DToL14001-RA	Bany_14911-RA
OG0000161	Vcard_DToL07216-RA, Vcard_DToL10609-RA	Bany_12660-RA
OG0000162	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA	Bany_11202-RA, Bany_11201-RA
OG0000163	Vcard_DToL13540-RA	Bany_11267-RA
OG0000164	Vcard_DToL18259-RA	Bany_17803-RA, Bany_01418-RA
OG0000165	Vcard_DToL03464-RA	Bany_05323-RA, Bany_05322-RA
OG0000166	Vcard_DToL10237-RA	Bany_15015-RA
OG0000166	Vcard_DToL10075-RA	Bany_15344-RA
OG0000167	Vcard_DToL04638-RA	Bany_08543-RA
OG0000167	Vcard_DToL17484-RA	Bany_06853-RA
OG0000169	Vcard_DToL13220-RA	Bany_11620-RA
OG0000169	Vcard_DToL13222-RA	Bany_11622-RA
OG0000169	Vcard_DToL13212-RA	Bany_11612-RA
OG0000170	Vcard_DToL09757-RA	Bany_15234-RA, Bany_15233-RA
OG0000171	Vcard_DToL06760-RA	Bany_06399-RA
OG0000171	Vcard_DToL06761-RA	Bany_06398-RA, Bany_06397-RA
OG0000171	Vcard_DToL06758-RA	Bany_06400-RA, Bany_06401-RA
OG0000172	Vcard_DToL08055-RA	Bany_01720-RA
OG0000172	Vcard_DToL08028-RA	Bany_01776-RA
OG0000174	Vcard_DToL00231-RA	Bany_07483-RA
OG0000175	Vcard_DToL16841-RA	Bany_17401-RA
OG0000175	Vcard_DToL08937-RA	Bany_02772-RA
OG0000175	Vcard_DToL09691-RA	Bany_07033-RA
OG0000176	Vcard_DToL14998-RA	Bany_18113-RA
OG0000177	Vcard_DToL18686-RA	Bany_14912-RA, Bany_02577-RA
OG0000178	Vcard_DToL16798-RA	Bany_17428-RA
OG0000178	Vcard_DToL16964-RA	Bany_17535-RA
OG0000179	Vcard_DToL10007-RA	Bany_14923-RA
OG0000180	Vcard_DToL00694-RA	Bany_09947-RA, Bany_07642-RA
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	Vcard_DToL04801-RA	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA
OG0000183	Vcard_DToL13208-RA	Bany_11605-RA
OG0000183	Vcard_DToL06780-RA, Vcard_DToL01715-RA	Bany_04948-RA
OG0000184	Vcard_DToL04778-RA	Bany_10003-RA
OG0000184	Vcard_DToL10518-RA	Bany_10868-RA
OG0000184	Vcard_DToL10517-RA	Bany_10869-RA
OG0000185	Vcard_DToL11157-RA	Bany_13249-RA
OG0000185	Vcard_DToL11158-RA	Bany_13248-RA
OG0000185	Vcard_DToL11159-RA	Bany_13247-RA
OG0000186	Vcard_DToL18093-RA	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA
OG0000187	Vcard_DToL18267-RA	Bany_01200-RA
OG0000187	Vcard_DToL18153-RA	Bany_12865-RA
OG0000188	Vcard_DToL16002-RA, Vcard_DToL16003-RA, Vcard_DToL16004-RA	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA
OG0000189	Vcard_DToL12109-RA, Vcard_DToL12110-RA	Bany_14114-RA
OG0000190	Vcard_DToL10323-RA	Bany_11035-RA, Bany_11034-RA
OG0000190	Vcard_DToL10320-RA	Bany_11033-RA
OG0000191	Vcard_DToL00710-RA, Vcard_DToL00708-RA	Bany_07730-RA
OG0000193	Vcard_DToL10620-RA	Bany_10556-RA
OG0000193	Vcard_DToL10412-RA	Bany_10955-RA
OG0000194	Vcard_DToL18679-RA	Bany_15533-RA, Bany_05542-RA, Bany_12901-RA
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	Bany_04640-RA, Bany_04860-RA
OG0000197	Vcard_DToL00934-RA	Bany_04457-RA
OG0000197	Vcard_DToL02361-RA	Bany_00477-RA
OG0000198	Vcard_DToL08912-RA	Bany_02797-RA
OG0000198	Vcard_DToL08911-RA	Bany_03349-RA
OG0000200	Vcard_DToL04305-RA	Bany_08252-RA
OG0000200	Vcard_DToL04304-RA	Bany_08251-RA
OG0000201	Vcard_DToL12096-RA, Vcard_DToL12097-RA	Bany_14127-RA, Bany_14125-RA
OG0000202	Vcard_DToL05319-RA, Vcard_DToL05320-RA	Bany_10409-RA
OG0000205	Vcard_DToL03235-RA	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA
OG0000206	Vcard_DToL18698-RA	Bany_16059-RA
OG0000208	Vcard_DToL06230-RA	Bany_03551-RA
OG0000209	Vcard_DToL14070-RA	Bany_16584-RA
OG0000209	Vcard_DToL12081-RA	Bany_14066-RA
OG0000209	Vcard_DToL14068-RA	Bany_16586-RA
OG0000210	Vcard_DToL06539-RA	Bany_06149-RA
OG0000210	Vcard_DToL06540-RA	Bany_06148-RA
OG0000212	Vcard_DToL05122-RA	Bany_10229-RA
OG0000213	Vcard_DToL02226-RA	Bany_00465-RA
OG0000213	Vcard_DToL02222-RA	Bany_00463-RA
OG0000213	Vcard_DToL02219-RA, Vcard_DToL02218-RA	Bany_00461-RA
OG0000214	Vcard_DToL06709-RA	Bany_06287-RA
OG0000215	Vcard_DToL15777-RA	Bany_02488-RA
OG0000215	Vcard_DToL03753-RA	Bany_05620-RA
OG0000215	Vcard_DToL15776-RA	Bany_02487-RA
OG0000216	Vcard_DToL05432-RA, Vcard_DToL05434-RA	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA
OG0000218	Vcard_DToL08466-RA	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA
OG0000218	Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA	Bany_03224-RA
OG0000219	Vcard_DToL15870-RA	Bany_02621-RA
OG0000219	Vcard_DToL04565-RA	Bany_08468-RA
OG0000219	Vcard_DToL04562-RA	Bany_08466-RA
OG0000220	Vcard_DToL05229-RA	Bany_10486-RA
OG0000220	Vcard_DToL05216-RA	Bany_10494-RA
OG0000221	Vcard_DToL05219-RA	Bany_10492-RA
OG0000221	Vcard_DToL05218-RA, Vcard_DToL05217-RA	Bany_10493-RA
OG0000222	Vcard_DToL18695-RA, Vcard_DToL18696-RA	Bany_16054-RA, Bany_16055-RA
OG0000222	Vcard_DToL18700-RA	Bany_16060-RA, Bany_16057-RA, Bany_18143-RA, Bany_16056-RA, Bany_04103-RA
OG0000224	Vcard_DToL10645-RA	Bany_10634-RA
OG0000228	Vcard_DToL17482-RA	Bany_17593-RA, Bany_12221-RA, Bany_16549-RA, Bany_06852-RA
OG0000229	Vcard_DToL14725-RA	Bany_09452-RA
OG0000229	Vcard_DToL00962-RA	Bany_04487-RA
OG0000230	Vcard_DToL07194-RA	Bany_11953-RA
OG0000230	Vcard_DToL07199-RA	Bany_11957-RA
OG0000232	Vcard_DToL07956-RA, Vcard_DToL06567-RA	Bany_06126-RA
OG0000233	Vcard_DToL04978-RA	Bany_10114-RA
OG0000233	Vcard_DToL04976-RA	Bany_10111-RA
OG0000234	Vcard_DToL17522-RA	Bany_06823-RA
OG0000234	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA	Bany_06909-RA
OG0000235	Vcard_DToL03594-RA	Bany_05454-RA
OG0000235	Vcard_DToL03595-RA	Bany_05455-RA
OG0000236	Vcard_DToL11988-RA	Bany_13986-RA
OG0000236	Vcard_DToL11986-RA	Bany_13983-RA
OG0000237	Vcard_DToL09774-RA	Bany_15216-RA
OG0000238	Vcard_DToL08425-RA	Bany_03431-RA
OG0000238	Vcard_DToL06802-RA	Bany_06352-RA
OG0000239	Vcard_DToL04531-RA, Vcard_DToL04532-RA	Bany_08440-RA
OG0000245	Vcard_DToL15030-RA	Bany_15446-RA, Bany_03563-RA, Bany_15421-RA, Bany_17767-RA
OG0000245	Vcard_DToL18538-RA	Bany_00535-RA, Bany_11628-RA
OG0000246	Vcard_DToL03003-RA	Bany_15839-RA
OG0000247	Vcard_DToL15273-RA	Bany_14900-RA
