Orthogroup	Vanessa_cardui	Vanessa_tameamea
OG0000026	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA	XP_026499909.1, XP_026483831.1, XP_026499747.1
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	XP_026495729.1
OG0000028	Vcard_DToL18861-RA	XP_026498861.1
OG0000029	Vcard_DToL02471-RA	XP_026485191.1, XP_026485189.1
OG0000029	Vcard_DToL02470-RA	XP_026485194.1, XP_026485192.1
OG0000031	Vcard_DToL09360-RA	XP_026499704.1, XP_026499703.1
OG0000034	Vcard_DToL03973-RA	XP_026491689.1
OG0000034	Vcard_DToL03370-RA	XP_026491224.1
OG0000034	Vcard_DToL03379-RA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000035	Vcard_DToL15716-RA	XP_026492510.1
OG0000035	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA	XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1
OG0000037	Vcard_DToL07760-RA	XP_026500143.1
OG0000038	Vcard_DToL16692-RA	XP_026490184.1
OG0000038	Vcard_DToL16690-RA	XP_026490183.1
OG0000039	Vcard_DToL07684-RA	XP_026488878.1
OG0000039	Vcard_DToL09549-RA, Vcard_DToL07682-RA	XP_026488879.1
OG0000039	Vcard_DToL07681-RA, Vcard_DToL07680-RA	XP_026488881.1
OG0000041	Vcard_DToL13154-RA	XP_026490916.1
OG0000041	Vcard_DToL15601-RA	XP_026497753.1
OG0000041	Vcard_DToL15602-RA	XP_026497752.1
OG0000041	Vcard_DToL15605-RA	XP_026497785.1
OG0000045	Vcard_DToL10351-RA	XP_026485346.1
OG0000045	Vcard_DToL07613-RA	XP_026489199.1
OG0000045	Vcard_DToL07709-RA	XP_026488897.1
OG0000045	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA	XP_026493800.1, XP_026493802.1
OG0000046	Vcard_DToL03287-RA	XP_026496278.1
OG0000046	Vcard_DToL03282-RA	XP_026496283.1
OG0000046	Vcard_DToL03283-RA	XP_026496282.1
OG0000046	Vcard_DToL03286-RA	XP_026496280.1
OG0000049	Vcard_DToL06466-RA	XP_026484586.1
OG0000049	Vcard_DToL06446-RA	XP_026485111.1
OG0000049	Vcard_DToL06451-RA	XP_026491363.1
OG0000050	Vcard_DToL13078-RA	XP_026501017.1
OG0000050	Vcard_DToL13075-RA	XP_026500975.1
OG0000050	Vcard_DToL13076-RA	XP_026500978.1, XP_026500979.1
OG0000052	Vcard_DToL12448-RA	XP_026487271.1
OG0000053	Vcard_DToL01328-RA	XP_026497060.1
OG0000053	Vcard_DToL01331-RA	XP_026497094.1
OG0000053	Vcard_DToL01333-RA	XP_026497148.1, XP_026497147.1
OG0000053	Vcard_DToL01332-RA	XP_026497076.1, XP_026497075.1
OG0000053	Vcard_DToL01335-RA	XP_026497149.1
OG0000054	Vcard_DToL09709-RA	XP_026492237.1
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	XP_026491734.1
OG0000056	Vcard_DToL16041-RA	XP_026498825.1
OG0000056	Vcard_DToL16044-RA	XP_026498818.1
OG0000056	Vcard_DToL16040-RA	XP_026499964.1
OG0000057	Vcard_DToL13794-RA	XP_026496531.1
OG0000057	Vcard_DToL13796-RA	XP_026496524.1
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000058	Vcard_DToL16303-RA, Vcard_DToL07362-RA	XP_026490603.1
OG0000058	Vcard_DToL02890-RA	XP_026497189.1
OG0000061	Vcard_DToL04117-RA	XP_026488092.1
OG0000062	Vcard_DToL05449-RA	XP_026486062.1
OG0000062	Vcard_DToL17485-RA	XP_026483731.1
OG0000062	Vcard_DToL18008-RA	XP_026493052.1
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA	XP_026483335.1
OG0000063	Vcard_DToL06750-RA, Vcard_DToL06742-RA	XP_026483375.1
OG0000063	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	XP_026483353.1
OG0000063	Vcard_DToL09866-RA	XP_026493090.1
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	XP_026500159.1
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	XP_026499417.1
OG0000067	Vcard_DToL15558-RA	XP_026492031.1, XP_026492028.1
OG0000068	Vcard_DToL16340-RA	XP_026494442.1
OG0000069	Vcard_DToL07820-RA, Vcard_DToL07819-RA, Vcard_DToL07818-RA	XP_026489035.1
OG0000071	Vcard_DToL11272-RA	XP_026492973.1
OG0000073	Vcard_DToL06863-RA	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	Vcard_DToL06621-RA	XP_026501251.1, XP_026501242.1
OG0000073	Vcard_DToL06614-RA	XP_026483469.1
OG0000075	Vcard_DToL04138-RA	XP_026487164.1
OG0000075	Vcard_DToL04124-RA	XP_026488107.1
OG0000075	Vcard_DToL04270-RA	XP_026488301.1, XP_026488302.1
OG0000076	Vcard_DToL18781-RA	XP_026490686.1
OG0000078	Vcard_DToL15658-RA	XP_026497763.1
OG0000078	Vcard_DToL15656-RA	XP_026497768.1
OG0000079	Vcard_DToL05246-RA	XP_026485855.1
OG0000082	Vcard_DToL17276-RA	XP_026484136.1
OG0000082	Vcard_DToL17266-RA	XP_026484147.1
OG0000082	Vcard_DToL17337-RA	XP_026484161.1
OG0000084	Vcard_DToL07564-RA	XP_026492846.1
OG0000085	Vcard_DToL03094-RA	XP_026496424.1
OG0000085	Vcard_DToL03096-RA, Vcard_DToL03095-RA	XP_026496275.1
OG0000088	Vcard_DToL06950-RA	XP_026489493.1
OG0000088	Vcard_DToL06952-RA	XP_026489494.1
OG0000090	Vcard_DToL04847-RA	XP_026490095.1
OG0000091	Vcard_DToL15015-RA	XP_026498590.1, XP_026499894.1
OG0000091	Vcard_DToL15016-RA, Vcard_DToL07340-RA	XP_026498210.1
OG0000092	Vcard_DToL04259-RA	XP_026488296.1
OG0000093	Vcard_DToL17257-RA	XP_026483919.1, XP_026483920.1
OG0000093	Vcard_DToL17256-RA	XP_026484027.1, XP_026484028.1
OG0000094	Vcard_DToL15547-RA	XP_026488555.1
OG0000094	Vcard_DToL15561-RA	XP_026492024.1
OG0000095	Vcard_DToL02427-RA	XP_026484614.1
OG0000096	Vcard_DToL06347-RA	XP_026498766.1
OG0000096	Vcard_DToL06351-RA	XP_026489765.1, XP_026489764.1
OG0000096	Vcard_DToL06349-RA	XP_026498776.1, XP_026498782.1
OG0000097	Vcard_DToL11327-RA	XP_026498905.1
OG0000097	Vcard_DToL11326-RA	XP_026498928.1
OG0000098	Vcard_DToL02960-RA	XP_026498603.1
OG0000100	Vcard_DToL12906-RA	XP_026495781.1
OG0000100	Vcard_DToL12904-RA	XP_026495693.1
OG0000101	Vcard_DToL09191-RA	XP_026493040.1, XP_026493038.1
OG0000101	Vcard_DToL10113-RA	XP_026493188.1
OG0000102	Vcard_DToL07817-RA	XP_026489046.1
OG0000103	Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA	XP_026498404.1
OG0000103	Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA	XP_026498400.1
OG0000103	Vcard_DToL08122-RA	XP_026498403.1
OG0000109	Vcard_DToL04718-RA	XP_026497971.1
OG0000109	Vcard_DToL04721-RA	XP_026497973.1
OG0000109	Vcard_DToL04712-RA	XP_026497974.1
OG0000110	Vcard_DToL07723-RA	XP_026488961.1, XP_026488962.1
OG0000110	Vcard_DToL07721-RA	XP_026488986.1
OG0000110	Vcard_DToL07720-RA	XP_026488980.1, XP_026488982.1, XP_026488981.1
OG0000111	Vcard_DToL10424-RA	XP_026485541.1
OG0000111	Vcard_DToL05298-RA	XP_026486198.1
OG0000111	Vcard_DToL05296-RA	XP_026485801.1
OG0000111	Vcard_DToL05301-RA	XP_026486121.1
OG0000114	Vcard_DToL07873-RA, Vcard_DToL07876-RA, Vcard_DToL09470-RA	XP_026488856.1
OG0000115	Vcard_DToL16325-RA	XP_026494479.1
OG0000115	Vcard_DToL06773-RA	XP_026500251.1, XP_026500243.1
OG0000115	Vcard_DToL16322-RA	XP_026494478.1
OG0000116	Vcard_DToL05226-RA	XP_026486128.1
OG0000116	Vcard_DToL07626-RA	XP_026489146.1
OG0000116	Vcard_DToL00399-RA	XP_026496653.1
OG0000117	Vcard_DToL08238-RA	XP_026488567.1
OG0000117	Vcard_DToL08239-RA	XP_026488566.1
OG0000119	Vcard_DToL03289-RA, Vcard_DToL03290-RA, Vcard_DToL03291-RA	XP_026496437.1
OG0000122	Vcard_DToL04366-RA	XP_026499961.1
OG0000122	Vcard_DToL14073-RA, Vcard_DToL17995-RA	XP_026499981.1
OG0000124	Vcard_DToL13182-RA	XP_026492747.1
OG0000124	Vcard_DToL05255-RA	XP_026485988.1
OG0000125	Vcard_DToL15852-RA	XP_026491913.1
OG0000125	Vcard_DToL15854-RA	XP_026491928.1
OG0000126	Vcard_DToL14118-RA, Vcard_DToL16612-RA, Vcard_DToL17399-RA, Vcard_DToL17398-RA, Vcard_DToL02711-RA, Vcard_DToL02706-RA, Vcard_DToL16282-RA, Vcard_DToL00001-RA, Vcard_DToL02707-RA, Vcard_DToL00004-RA, Vcard_DToL15887-RA, Vcard_DToL16275-RA, Vcard_DToL00002-RA, Vcard_DToL02703-RA, Vcard_DToL15886-RA, Vcard_DToL00005-RA, Vcard_DToL00003-RA, Vcard_DToL02709-RA, Vcard_DToL02712-RA, Vcard_DToL15884-RA, Vcard_DToL02704-RA, Vcard_DToL16606-RA, Vcard_DToL17402-RA, Vcard_DToL14950-RA, Vcard_DToL10247-RA, Vcard_DToL09748-RA, Vcard_DToL16278-RA, Vcard_DToL14952-RA, Vcard_DToL16279-RA, Vcard_DToL17400-RA	XP_026496122.1
OG0000127	Vcard_DToL18678-RA	XP_026498360.1, XP_026489582.1
OG0000128	Vcard_DToL13576-RA	XP_026494344.1
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	XP_026494318.1
OG0000128	Vcard_DToL13581-RA	XP_026494332.1
OG0000129	Vcard_DToL16688-RA	XP_026490185.1
OG0000131	Vcard_DToL17922-RA	XP_026490706.1
OG0000131	Vcard_DToL17920-RA	XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1
OG0000131	Vcard_DToL17921-RA	XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA	XP_026489619.1
OG0000132	Vcard_DToL14781-RA	XP_026489627.1
OG0000133	Vcard_DToL17871-RA	XP_026500939.1
OG0000133	Vcard_DToL17888-RA	XP_026500315.1
OG0000134	Vcard_DToL15581-RA	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	Vcard_DToL15620-RA	XP_026497731.1
OG0000134	Vcard_DToL15582-RA	XP_026500779.1
OG0000137	Vcard_DToL01909-RA	XP_026484812.1
OG0000138	Vcard_DToL06226-RA	XP_026488759.1
OG0000138	Vcard_DToL06227-RA	XP_026488751.1
OG0000138	Vcard_DToL06225-RA	XP_026488768.1
OG0000139	Vcard_DToL14664-RA	XP_026500945.1
OG0000139	Vcard_DToL15052-RA	XP_026500227.1
OG0000140	Vcard_DToL16920-RA	XP_026486064.1
OG0000140	Vcard_DToL16881-RA	XP_026486773.1
OG0000140	Vcard_DToL16917-RA	XP_026486075.1
OG0000140	Vcard_DToL16916-RA	XP_026486054.1
OG0000141	Vcard_DToL03187-RA	XP_026496357.1
OG0000141	Vcard_DToL03185-RA	XP_026496430.1
OG0000142	Vcard_DToL18406-RA	XP_026483563.1
OG0000142	Vcard_DToL18394-RA	XP_026483566.1
OG0000142	Vcard_DToL18404-RA	XP_026483561.1
OG0000143	Vcard_DToL08257-RA	XP_026488573.1
OG0000143	Vcard_DToL08259-RA	XP_026488574.1
OG0000144	Vcard_DToL09834-RA	XP_026493139.1
OG0000145	Vcard_DToL04524-RA	XP_026488455.1
OG0000147	Vcard_DToL09992-RA, Vcard_DToL09991-RA	XP_026493246.1, XP_026493247.1
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	XP_026493400.1
OG0000148	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA	XP_026485046.1
OG0000149	Vcard_DToL10477-RA	XP_026485425.1
OG0000150	Vcard_DToL14117-RA	XP_026499967.1
OG0000152	Vcard_DToL01543-RA	XP_026493652.1
OG0000152	Vcard_DToL01538-RA	XP_026493650.1
OG0000152	Vcard_DToL01542-RA	XP_026493647.1
OG0000153	Vcard_DToL04556-RA	XP_026490803.1
OG0000153	Vcard_DToL04750-RA	XP_026486667.1
OG0000154	Vcard_DToL17051-RA	XP_026493590.1
OG0000154	Vcard_DToL17057-RA, Vcard_DToL17056-RA	XP_026493568.1
OG0000155	Vcard_DToL15443-RA	XP_026483193.1
OG0000155	Vcard_DToL15439-RA	XP_026497534.1
OG0000156	Vcard_DToL12566-RA	XP_026495721.1
OG0000156	Vcard_DToL12564-RA	XP_026495720.1
OG0000156	Vcard_DToL12572-RA	XP_026497267.1, XP_026496199.1
OG0000156	Vcard_DToL12567-RA	XP_026499976.1
OG0000161	Vcard_DToL14001-RA, Vcard_DToL07216-RA, Vcard_DToL10609-RA	XP_026489384.1
OG0000161	Vcard_DToL18175-RA	XP_026496974.1
OG0000162	Vcard_DToL13656-RA	XP_026495426.1
OG0000162	Vcard_DToL13659-RA, Vcard_DToL13657-RA	XP_026499500.1
OG0000163	Vcard_DToL13540-RA	XP_026494611.1
OG0000164	Vcard_DToL18259-RA	XP_026483367.1
OG0000165	Vcard_DToL03458-RA, Vcard_DToL03457-RA	XP_026491300.1
OG0000165	Vcard_DToL03464-RA	XP_026491239.1
OG0000166	Vcard_DToL10237-RA	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000166	Vcard_DToL10075-RA	XP_026493524.1, XP_026493522.1, XP_026493525.1
OG0000167	Vcard_DToL04638-RA	XP_026490816.1
OG0000167	Vcard_DToL17484-RA	XP_026483730.1
OG0000169	Vcard_DToL13220-RA	XP_026493199.1
OG0000169	Vcard_DToL13222-RA	XP_026493187.1
OG0000169	Vcard_DToL13212-RA	XP_026493039.1
OG0000170	Vcard_DToL09757-RA	XP_026489549.1
OG0000170	Vcard_DToL09758-RA, Vcard_DToL09756-RA	XP_026489547.1
OG0000171	Vcard_DToL06760-RA	XP_026483589.1
OG0000171	Vcard_DToL06758-RA	XP_026483600.1
OG0000172	Vcard_DToL08055-RA	XP_026487122.1
OG0000172	Vcard_DToL08028-RA	XP_026501368.1
OG0000174	Vcard_DToL01197-RA	XP_026487863.1
OG0000174	Vcard_DToL00231-RA	XP_026499849.1
OG0000175	Vcard_DToL16841-RA	XP_026492931.1
OG0000175	Vcard_DToL08937-RA	XP_026489948.1, XP_026489949.1
OG0000175	Vcard_DToL09691-RA	XP_026492115.1
OG0000178	Vcard_DToL16798-RA	XP_026501824.1
OG0000178	Vcard_DToL16964-RA	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000180	Vcard_DToL00698-RA	XP_026500733.1, XP_026500732.1
OG0000180	Vcard_DToL00695-RA, Vcard_DToL00696-RA	XP_026500639.1
OG0000180	Vcard_DToL00697-RA	XP_026500737.1
OG0000180	Vcard_DToL00694-RA	XP_026500685.1
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	XP_026487965.1, XP_026487964.1
OG0000182	Vcard_DToL04801-RA	XP_026490062.1
OG0000183	Vcard_DToL13208-RA	XP_026493134.1, XP_026493142.1
OG0000183	Vcard_DToL01715-RA	XP_026500054.1
OG0000184	Vcard_DToL04778-RA	XP_026499472.1
OG0000184	Vcard_DToL10518-RA	XP_026485414.1
OG0000184	Vcard_DToL10517-RA	XP_026485484.1
OG0000185	Vcard_DToL11157-RA	XP_026494681.1
OG0000185	Vcard_DToL11158-RA, Vcard_DToL11159-RA	XP_026494606.1, XP_026494683.1
OG0000186	Vcard_DToL18093-RA	XP_026488639.1
OG0000187	Vcard_DToL18267-RA	XP_026483320.1
OG0000188	Vcard_DToL16003-RA, Vcard_DToL16004-RA	XP_026492468.1
OG0000189	Vcard_DToL12111-RA	XP_026486864.1
OG0000189	Vcard_DToL12109-RA, Vcard_DToL12110-RA	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1
OG0000190	Vcard_DToL10320-RA	XP_026485321.1
OG0000191	Vcard_DToL00710-RA, Vcard_DToL00708-RA	XP_026488824.1, XP_026488828.1
OG0000193	Vcard_DToL10620-RA	XP_026485379.1
OG0000193	Vcard_DToL10410-RA, Vcard_DToL10411-RA	XP_026485410.1
OG0000193	Vcard_DToL10412-RA	XP_026485291.1
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	XP_026487864.1
OG0000197	Vcard_DToL00934-RA	XP_026486620.1, XP_026486619.1
OG0000197	Vcard_DToL02361-RA	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	Vcard_DToL08912-RA	XP_026494933.1
OG0000198	Vcard_DToL08911-RA	XP_026501551.1
OG0000200	Vcard_DToL04306-RA, Vcard_DToL04305-RA, Vcard_DToL04304-RA	XP_026488475.1
OG0000201	Vcard_DToL12096-RA	XP_026486827.1
OG0000201	Vcard_DToL12097-RA	XP_026486826.1
OG0000203	Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA	XP_026487162.1
OG0000205	Vcard_DToL03236-RA	XP_026496344.1
OG0000205	Vcard_DToL03235-RA	XP_026496328.1
OG0000206	Vcard_DToL18698-RA	XP_026483159.1
OG0000207	Vcard_DToL17790-RA	XP_026500931.1
OG0000208	Vcard_DToL06230-RA	XP_026489345.1, XP_026498784.1
OG0000209	Vcard_DToL14070-RA	XP_026490392.1
OG0000209	Vcard_DToL12081-RA	XP_026486988.1
OG0000210	Vcard_DToL06539-RA	XP_026492865.1
OG0000210	Vcard_DToL06537-RA	XP_026501168.1
OG0000210	Vcard_DToL06540-RA	XP_026501529.1
OG0000212	Vcard_DToL05123-RA	XP_026497545.1
OG0000212	Vcard_DToL05122-RA	XP_026485908.1, XP_026485827.1
OG0000213	Vcard_DToL02226-RA	XP_026485069.1
OG0000213	Vcard_DToL02222-RA	XP_026485071.1
OG0000213	Vcard_DToL02218-RA	XP_026484522.1
OG0000214	Vcard_DToL06709-RA	XP_026483703.1, XP_026483711.1
OG0000215	Vcard_DToL15777-RA	XP_026491895.1
OG0000215	Vcard_DToL03753-RA	XP_026491785.1
OG0000215	Vcard_DToL15776-RA	XP_026491875.1
OG0000216	Vcard_DToL05432-RA	XP_026485745.1
OG0000216	Vcard_DToL05434-RA	XP_026485749.1
OG0000217	Vcard_DToL01448-RA, Vcard_DToL01449-RA	XP_026494769.1
OG0000217	Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA	XP_026494771.1
OG0000219	Vcard_DToL15870-RA	XP_026500081.1
OG0000220	Vcard_DToL05227-RA	XP_026486150.1
OG0000220	Vcard_DToL05229-RA	XP_026486313.1
OG0000220	Vcard_DToL05216-RA	XP_026486249.1
OG0000221	Vcard_DToL05219-RA	XP_026486244.1
OG0000221	Vcard_DToL05218-RA	XP_026486245.1, XP_026486247.1
OG0000221	Vcard_DToL05217-RA	XP_026486248.1
OG0000222	Vcard_DToL18695-RA	XP_026483158.1
OG0000222	Vcard_DToL18700-RA	XP_026483160.1
OG0000228	Vcard_DToL17482-RA	XP_026483737.1
OG0000228	Vcard_DToL18009-RA, Vcard_DToL18001-RA, Vcard_DToL18011-RA, Vcard_DToL18017-RA, Vcard_DToL18005-RA	XP_026499496.1
OG0000229	Vcard_DToL14725-RA	XP_026489655.1
OG0000229	Vcard_DToL00962-RA	XP_026486610.1
OG0000230	Vcard_DToL07194-RA	XP_026496664.1
OG0000230	Vcard_DToL18167-RA	XP_026489382.1
OG0000230	Vcard_DToL07199-RA	XP_026496864.1
OG0000232	Vcard_DToL06567-RA	XP_026484823.1
OG0000233	Vcard_DToL04978-RA	XP_026485758.1
OG0000233	Vcard_DToL04976-RA	XP_026486210.1, XP_026486211.1, XP_026486209.1
OG0000234	Vcard_DToL17522-RA	XP_026483774.1
OG0000234	Vcard_DToL17436-RA	XP_026483729.1
OG0000234	Vcard_DToL07659-RA, Vcard_DToL07657-RA	XP_026489181.1
OG0000235	Vcard_DToL03594-RA	XP_026491220.1, XP_026491221.1
OG0000235	Vcard_DToL03595-RA	XP_026491492.1, XP_026491491.1
OG0000236	Vcard_DToL11988-RA	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	Vcard_DToL11986-RA	XP_026486884.1
OG0000237	Vcard_DToL09774-RA	XP_026498172.1
OG0000237	Vcard_DToL09775-RA	XP_026498184.1
OG0000238	Vcard_DToL08425-RA	XP_026501419.1, XP_026501420.1
OG0000238	Vcard_DToL06802-RA	XP_026500089.1
OG0000239	Vcard_DToL04533-RA	XP_026490889.1
OG0000239	Vcard_DToL04531-RA	XP_026490892.1, XP_026490891.1
OG0000239	Vcard_DToL04532-RA	XP_026490894.1, XP_026490893.1
OG0000245	Vcard_DToL07181-RA	XP_026500607.1, XP_026498589.1
OG0000245	Vcard_DToL15030-RA	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1
OG0000246	Vcard_DToL03003-RA	XP_026498593.1
OG0000247	Vcard_DToL15273-RA	XP_026497474.1
OG0000247	Vcard_DToL15275-RA	XP_026497455.1
OG0000248	Vcard_DToL18456-RA	XP_026483522.1
OG0000248	Vcard_DToL18500-RA	XP_026483488.1, XP_026483487.1
OG0000249	Vcard_DToL13886-RA	XP_026496110.1
OG0000249	Vcard_DToL13885-RA	XP_026496131.1
OG0000250	Vcard_DToL18410-RA	XP_026483565.1
OG0000250	Vcard_DToL18445-RA	XP_026483536.1
OG0000254	Vcard_DToL17603-RA, Vcard_DToL17607-RA	XP_026483833.1
OG0000254	Vcard_DToL17610-RA	XP_026483657.1
OG0000254	Vcard_DToL17608-RA	XP_026483658.1
OG0000256	Vcard_DToL01480-RA	XP_026496954.1
OG0000257	Vcard_DToL07238-RA	XP_026496860.1
OG0000257	Vcard_DToL08163-RA	XP_026490765.1
OG0000257	Vcard_DToL08160-RA	XP_026490754.1
OG0000258	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA, Vcard_DToL13990-RA, Vcard_DToL13992-RA	XP_026491836.1
OG0000259	Vcard_DToL09794-RA	XP_026498189.1
OG0000260	Vcard_DToL17440-RA	XP_026483812.1, XP_026483811.1, XP_026483815.1
OG0000262	Vcard_DToL14416-RA	XP_026494163.1
OG0000262	Vcard_DToL14415-RA	XP_026494162.1
OG0000263	Vcard_DToL18007-RA, Vcard_DToL09562-RA	XP_026499494.1
OG0000264	Vcard_DToL05256-RA	XP_026485844.1
