Orthogroup	Vanessa_cardui	Danaus_plexippus
OG0000093	Vcard_DToL17257-RA	DPOGS202427-PA
OG0000093	Vcard_DToL17260-RA	DPOGS202426-PA, DPOGS203872-PA
OG0000093	Vcard_DToL17256-RA	DPOGS202424-PA
OG0000094	Vcard_DToL15547-RA, Vcard_DToL15561-RA	DPOGS213975-PA
OG0000095	Vcard_DToL02427-RA, Vcard_DToL02425-RA	DPOGS204282-PA
OG0000096	Vcard_DToL06347-RA	DPOGS212592-PA
OG0000096	Vcard_DToL06351-RA	DPOGS212590-PA
OG0000096	Vcard_DToL06349-RA	DPOGS212591-PA
OG0000097	Vcard_DToL11327-RA, Vcard_DToL11326-RA	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	Vcard_DToL02960-RA	DPOGS209226-PA, DPOGS209225-PA
OG0000100	Vcard_DToL12906-RA	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	Vcard_DToL12904-RA	DPOGS215475-PA
OG0000100	Vcard_DToL12899-RA	DPOGS215477-PA
OG0000101	Vcard_DToL09191-RA	DPOGS200031-PA
OG0000102	Vcard_DToL07821-RA, Vcard_DToL07817-RA	DPOGS206988-PA
OG0000103	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA	DPOGS207082-PA
OG0000104	Vcard_DToL07071-RA, Vcard_DToL05168-RA, Vcard_DToL10371-RA, Vcard_DToL13900-RA, Vcard_DToL17254-RA, Vcard_DToL01566-RA, Vcard_DToL02964-RA, Vcard_DToL04908-RA, Vcard_DToL07304-RA, Vcard_DToL15931-RA, Vcard_DToL03327-RA, Vcard_DToL11937-RA, Vcard_DToL15171-RA, Vcard_DToL13575-RA, Vcard_DToL07670-RA, Vcard_DToL10926-RA, Vcard_DToL09586-RA, Vcard_DToL11935-RA, Vcard_DToL07869-RA, Vcard_DToL08421-RA, Vcard_DToL14533-RA, Vcard_DToL13107-RA, Vcard_DToL07049-RA, Vcard_DToL12377-RA, Vcard_DToL07310-RA, Vcard_DToL05779-RA, Vcard_DToL00871-RA, Vcard_DToL18176-RA, Vcard_DToL04307-RA, Vcard_DToL09178-RA, Vcard_DToL06774-RA, Vcard_DToL12274-RA, Vcard_DToL00149-RA, Vcard_DToL07658-RA, Vcard_DToL04397-RA	DPOGS200657-PA
OG0000108	Vcard_DToL18043-RA	DPOGS209435-PA
OG0000109	Vcard_DToL04718-RA, Vcard_DToL04719-RA, Vcard_DToL04721-RA, Vcard_DToL04712-RA	DPOGS209375-PA
OG0000110	Vcard_DToL07723-RA	DPOGS212705-PA
OG0000110	Vcard_DToL07721-RA, Vcard_DToL07720-RA	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	Vcard_DToL10424-RA	DPOGS202624-PA
OG0000111	Vcard_DToL05298-RA	DPOGS215827-PA
OG0000111	Vcard_DToL05296-RA	DPOGS215824-PA
OG0000111	Vcard_DToL05301-RA	DPOGS215826-PA
OG0000113	Vcard_DToL03481-RA	DPOGS207633-PA, DPOGS205179-PA
OG0000114	Vcard_DToL07873-RA, Vcard_DToL07876-RA, Vcard_DToL09470-RA	DPOGS206960-PA
OG0000115	Vcard_DToL16325-RA	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	Vcard_DToL06773-RA, Vcard_DToL16322-RA	DPOGS201101-PA
OG0000116	Vcard_DToL05226-RA	DPOGS211429-PA
OG0000116	Vcard_DToL00399-RA	DPOGS203334-PA
OG0000117	Vcard_DToL08238-RA	DPOGS206946-PA
OG0000117	Vcard_DToL08239-RA	DPOGS206945-PA
OG0000119	Vcard_DToL03289-RA, Vcard_DToL03290-RA, Vcard_DToL03291-RA	DPOGS203233-PA
OG0000122	Vcard_DToL04366-RA	DPOGS200373-PA
OG0000122	Vcard_DToL04368-RA, Vcard_DToL14073-RA, Vcard_DToL17995-RA	DPOGS200374-PA
OG0000124	Vcard_DToL13182-RA	DPOGS206009-PA
OG0000124	Vcard_DToL05255-RA	DPOGS206011-PA
OG0000125	Vcard_DToL15852-RA	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	Vcard_DToL15854-RA	DPOGS214825-PA
OG0000126	Vcard_DToL17960-RA	DPOGS203947-PA
OG0000126	Vcard_DToL14118-RA, Vcard_DToL16612-RA, Vcard_DToL17399-RA, Vcard_DToL17398-RA, Vcard_DToL02711-RA, Vcard_DToL02706-RA, Vcard_DToL16282-RA, Vcard_DToL00001-RA, Vcard_DToL02707-RA, Vcard_DToL00004-RA, Vcard_DToL15887-RA, Vcard_DToL16275-RA, Vcard_DToL00002-RA, Vcard_DToL02703-RA, Vcard_DToL15886-RA, Vcard_DToL00005-RA, Vcard_DToL00003-RA, Vcard_DToL02709-RA, Vcard_DToL02712-RA, Vcard_DToL15884-RA, Vcard_DToL02704-RA, Vcard_DToL16606-RA, Vcard_DToL17402-RA, Vcard_DToL14950-RA, Vcard_DToL10247-RA, Vcard_DToL09748-RA, Vcard_DToL16278-RA, Vcard_DToL14952-RA, Vcard_DToL16279-RA, Vcard_DToL17400-RA	DPOGS206199-PA
OG0000127	Vcard_DToL18678-RA, Vcard_DToL18689-RA	DPOGS210351-PA
OG0000128	Vcard_DToL13576-RA	DPOGS210158-PA
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	DPOGS211778-PA
OG0000128	Vcard_DToL13581-RA	DPOGS210161-PA
OG0000129	Vcard_DToL16688-RA	DPOGS210178-PA
OG0000130	Vcard_DToL07751-RA	DPOGS215233-PA
OG0000131	Vcard_DToL17922-RA	DPOGS211520-PA
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA	DPOGS214570-PA
OG0000133	Vcard_DToL17871-RA	DPOGS204619-PA, DPOGS215001-PA
OG0000133	Vcard_DToL17888-RA	DPOGS201589-PA
OG0000134	Vcard_DToL15581-RA	DPOGS206558-PA
OG0000134	Vcard_DToL15620-RA	DPOGS213998-PA
OG0000134	Vcard_DToL15582-RA	DPOGS206556-PA
OG0000137	Vcard_DToL01909-RA	DPOGS213158-PA
OG0000138	Vcard_DToL06226-RA	DPOGS201307-PA
OG0000138	Vcard_DToL06227-RA	DPOGS201308-PA
OG0000138	Vcard_DToL06225-RA	DPOGS201306-PA
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	DPOGS210044-PA
OG0000139	Vcard_DToL14664-RA	DPOGS204151-PA
OG0000139	Vcard_DToL15052-RA	DPOGS211466-PA
OG0000140	Vcard_DToL16920-RA	DPOGS208587-PA
OG0000140	Vcard_DToL16881-RA	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA
OG0000140	Vcard_DToL16917-RA	DPOGS215443-PA
OG0000140	Vcard_DToL16916-RA	DPOGS215439-PA
OG0000141	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA	DPOGS205275-PA
OG0000142	Vcard_DToL18406-RA	DPOGS210763-PA
OG0000142	Vcard_DToL18394-RA	DPOGS208850-PA
OG0000142	Vcard_DToL18404-RA	DPOGS211692-PA
OG0000143	Vcard_DToL08257-RA	DPOGS207066-PA
OG0000143	Vcard_DToL08259-RA	DPOGS207067-PA
OG0000147	Vcard_DToL09992-RA, Vcard_DToL09991-RA	DPOGS202135-PA
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	DPOGS216148-PA
OG0000148	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA	DPOGS212460-PA
OG0000149	Vcard_DToL10477-RA	DPOGS211600-PA
OG0000150	Vcard_DToL07740-RA, Vcard_DToL11857-RA, Vcard_DToL15677-RA, Vcard_DToL00173-RA, Vcard_DToL02895-RA, Vcard_DToL09110-RA, Vcard_DToL16167-RA, Vcard_DToL15721-RA, Vcard_DToL14117-RA, Vcard_DToL03918-RA, Vcard_DToL06180-RA, Vcard_DToL15661-RA, Vcard_DToL08401-RA, Vcard_DToL07759-RA, Vcard_DToL15404-RA	DPOGS200229-PA
OG0000152	Vcard_DToL01538-RA	DPOGS203849-PA
OG0000152	Vcard_DToL01542-RA	DPOGS203651-PA
OG0000153	Vcard_DToL04556-RA, Vcard_DToL04750-RA	DPOGS200298-PA
OG0000154	Vcard_DToL05463-RA	DPOGS203728-PA
OG0000154	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA	DPOGS203730-PA
OG0000155	Vcard_DToL15443-RA, Vcard_DToL15439-RA	DPOGS209068-PA
OG0000156	Vcard_DToL12566-RA	DPOGS201020-PA
OG0000156	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA	DPOGS201022-PA, DPOGS201021-PA
OG0000162	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA	DPOGS214379-PA, DPOGS212215-PA
OG0000163	Vcard_DToL13540-RA	DPOGS208397-PA, DPOGS208398-PA
OG0000164	Vcard_DToL18259-RA	DPOGS207032-PA
OG0000165	Vcard_DToL03458-RA, Vcard_DToL03457-RA, Vcard_DToL03464-RA	DPOGS202039-PA
OG0000166	Vcard_DToL10237-RA	DPOGS204571-PA
OG0000166	Vcard_DToL10075-RA	DPOGS215383-PA
OG0000167	Vcard_DToL04638-RA	DPOGS200276-PA
OG0000167	Vcard_DToL17484-RA	DPOGS212517-PA, DPOGS212471-PA
OG0000169	Vcard_DToL13220-RA	DPOGS209399-PA
OG0000169	Vcard_DToL13215-RA	DPOGS209417-PA
OG0000169	Vcard_DToL13222-RA	DPOGS209397-PA
OG0000169	Vcard_DToL13212-RA	DPOGS209416-PA, DPOGS209415-PA
OG0000170	Vcard_DToL09757-RA, Vcard_DToL09758-RA, Vcard_DToL09756-RA	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	Vcard_DToL06760-RA, Vcard_DToL06761-RA	DPOGS207651-PA
OG0000171	Vcard_DToL06758-RA	DPOGS207652-PA
OG0000172	Vcard_DToL08055-RA	DPOGS207109-PA
OG0000172	Vcard_DToL08028-RA	DPOGS207119-PA
OG0000174	Vcard_DToL01198-RA, Vcard_DToL01197-RA	DPOGS203785-PA
OG0000174	Vcard_DToL01201-RA	DPOGS203786-PA
OG0000174	Vcard_DToL00231-RA	DPOGS201355-PA
OG0000175	Vcard_DToL16841-RA	DPOGS213653-PA
OG0000175	Vcard_DToL08937-RA	DPOGS212172-PA
OG0000175	Vcard_DToL09691-RA	DPOGS201184-PA
OG0000176	Vcard_DToL13587-RA	DPOGS213964-PA, DPOGS212067-PA
OG0000177	Vcard_DToL18686-RA	DPOGS213999-PA
OG0000178	Vcard_DToL16798-RA	DPOGS213916-PA
OG0000178	Vcard_DToL16964-RA	DPOGS202584-PA, DPOGS208620-PA
OG0000179	Vcard_DToL10007-RA	DPOGS215239-PA
OG0000180	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA	DPOGS203313-PA
OG0000180	Vcard_DToL00694-RA	DPOGS202992-PA
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	DPOGS204734-PA, DPOGS204733-PA
OG0000182	Vcard_DToL04801-RA	DPOGS210084-PA
OG0000183	Vcard_DToL13208-RA	DPOGS211358-PA
OG0000183	Vcard_DToL01715-RA	DPOGS210612-PA
OG0000184	Vcard_DToL04778-RA	DPOGS210000-PA
OG0000184	Vcard_DToL10518-RA	DPOGS210945-PA
OG0000184	Vcard_DToL10517-RA	DPOGS211022-PA
OG0000185	Vcard_DToL11157-RA	DPOGS207886-PA
OG0000185	Vcard_DToL11159-RA	DPOGS207876-PA
OG0000186	Vcard_DToL18093-RA	DPOGS200588-PA
OG0000187	Vcard_DToL18267-RA	DPOGS203099-PA
OG0000187	Vcard_DToL18153-RA, Vcard_DToL18155-RA	DPOGS205242-PA
OG0000188	Vcard_DToL16002-RA	DPOGS210268-PA
OG0000188	Vcard_DToL16003-RA, Vcard_DToL16004-RA	DPOGS210265-PA
OG0000189	Vcard_DToL12111-RA	DPOGS204875-PA
OG0000189	Vcard_DToL12109-RA, Vcard_DToL12110-RA	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	Vcard_DToL10323-RA, Vcard_DToL10320-RA	DPOGS210733-PA
OG0000191	Vcard_DToL00710-RA, Vcard_DToL00708-RA	DPOGS203394-PA, DPOGS212004-PA
OG0000193	Vcard_DToL10620-RA	DPOGS208229-PA
OG0000193	Vcard_DToL10410-RA, Vcard_DToL10411-RA, Vcard_DToL10412-RA	DPOGS211597-PA
OG0000194	Vcard_DToL18679-RA	DPOGS208929-PA
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	DPOGS215622-PA
OG0000197	Vcard_DToL00934-RA	DPOGS215734-PA
OG0000197	Vcard_DToL02361-RA	DPOGS204239-PA
OG0000198	Vcard_DToL08912-RA	DPOGS212099-PA
OG0000200	Vcard_DToL04306-RA	DPOGS209914-PA
OG0000200	Vcard_DToL04304-RA	DPOGS209916-PA, DPOGS204353-PA
OG0000201	Vcard_DToL12096-RA, Vcard_DToL12097-RA	DPOGS204865-PA, DPOGS204864-PA
OG0000202	Vcard_DToL05319-RA, Vcard_DToL05320-RA	DPOGS211423-PA
OG0000203	Vcard_DToL04165-RA, Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA	DPOGS210787-PA
OG0000205	Vcard_DToL03236-RA, Vcard_DToL03235-RA	DPOGS209148-PA, DPOGS209147-PA
OG0000206	Vcard_DToL18698-RA	DPOGS205019-PA
OG0000207	Vcard_DToL17790-RA	DPOGS207952-PA, DPOGS207950-PA
OG0000208	Vcard_DToL06230-RA	DPOGS210914-PA, DPOGS210912-PA
OG0000209	Vcard_DToL14070-RA	DPOGS214010-PA
OG0000209	Vcard_DToL12081-RA	DPOGS204840-PA
OG0000209	Vcard_DToL14068-RA	DPOGS216112-PA
OG0000210	Vcard_DToL06539-RA	DPOGS208562-PA
OG0000210	Vcard_DToL06540-RA	DPOGS208561-PA
OG0000212	Vcard_DToL05123-RA	DPOGS207988-PA
OG0000212	Vcard_DToL05122-RA	DPOGS207989-PA, DPOGS207987-PA
OG0000213	Vcard_DToL02226-RA	DPOGS208066-PA
OG0000213	Vcard_DToL02222-RA	DPOGS208084-PA
OG0000213	Vcard_DToL02218-RA	DPOGS208065-PA
OG0000214	Vcard_DToL06709-RA	DPOGS214058-PA
OG0000215	Vcard_DToL15777-RA	DPOGS211555-PA
OG0000215	Vcard_DToL15776-RA	DPOGS211556-PA
OG0000216	Vcard_DToL05432-RA, Vcard_DToL05434-RA	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	Vcard_DToL01447-RA	DPOGS201473-PA
OG0000217	Vcard_DToL01448-RA, Vcard_DToL01449-RA, Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA, Vcard_DToL01455-RA	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	Vcard_DToL08466-RA, Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	Vcard_DToL15870-RA	DPOGS207542-PA
OG0000219	Vcard_DToL04565-RA	DPOGS200327-PA
OG0000219	Vcard_DToL04562-RA	DPOGS200328-PA
OG0000220	Vcard_DToL05227-RA, Vcard_DToL05229-RA	DPOGS211390-PA
OG0000220	Vcard_DToL05216-RA	DPOGS205839-PA, DPOGS205840-PA
OG0000221	Vcard_DToL05219-RA	DPOGS211394-PA
OG0000221	Vcard_DToL05218-RA, Vcard_DToL05217-RA	DPOGS205842-PA
OG0000222	Vcard_DToL18695-RA, Vcard_DToL18696-RA, Vcard_DToL18700-RA	DPOGS205017-PA
OG0000224	Vcard_DToL10645-RA	DPOGS208278-PA, DPOGS208277-PA
OG0000228	Vcard_DToL17482-RA	DPOGS212515-PA
OG0000228	Vcard_DToL18011-RA, Vcard_DToL18017-RA	DPOGS207204-PA
OG0000228	Vcard_DToL18005-RA	DPOGS207199-PA
OG0000229	Vcard_DToL14725-RA	DPOGS214632-PA
OG0000229	Vcard_DToL00962-RA	DPOGS215746-PA
OG0000230	Vcard_DToL07194-RA	DPOGS209009-PA, DPOGS209016-PA
OG0000230	Vcard_DToL18167-RA	DPOGS205205-PA, DPOGS205235-PA
OG0000230	Vcard_DToL07199-RA	DPOGS211996-PA
OG0000232	Vcard_DToL07956-RA	DPOGS207028-PA
OG0000232	Vcard_DToL06567-RA	DPOGS208489-PA
OG0000233	Vcard_DToL04978-RA	DPOGS215920-PA
