Orthogroup	Vanessa_cardui	Heliconius_erato_lativitta
OG0000018	Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA	HEL_002560-RA
OG0000021	Vcard_DToL14988-RA	HEL_001565-RA
OG0000022	Vcard_DToL16722-RA	HEL_013943-RA
OG0000024	Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA, Vcard_DToL09635-RA, Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA	HEL_010574-RA, HEL_010573-RA, HEL_003509-RA, HEL_003510-RA, HEL_003524-RA, HEL_003511-RA, HEL_003525-RA, HEL_003526-RA, HEL_003527-RA
OG0000025	Vcard_DToL17634-RA	HEL_011319-RA
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	HEL_011818-RA, HEL_011811-RA
OG0000029	Vcard_DToL03093-RA	HEL_008275-RA
OG0000029	Vcard_DToL08161-RA	HEL_008279-RA
OG0000029	Vcard_DToL02471-RA	HEL_001272-RA
OG0000030	Vcard_DToL03994-RA	HEL_009939-RA
OG0000031	Vcard_DToL09360-RA	HEL_012127-RA
OG0000034	Vcard_DToL03971-RA	HEL_004511-RA, HEL_004512-RA
OG0000034	Vcard_DToL03973-RA	HEL_004513-RA
OG0000034	Vcard_DToL03370-RA	HEL_003973-RA
OG0000034	Vcard_DToL03379-RA	HEL_003968-RA
OG0000035	Vcard_DToL15716-RA	HEL_014143-RA
OG0000038	Vcard_DToL16692-RA	HEL_003342-RA
OG0000038	Vcard_DToL16690-RA	HEL_003339-RA
OG0000039	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA
OG0000039	Vcard_DToL07681-RA, Vcard_DToL07680-RA	HEL_006830-RA
OG0000041	Vcard_DToL13154-RA	HEL_014103-RA
OG0000041	Vcard_DToL15867-RA	HEL_008446-RA
OG0000041	Vcard_DToL15601-RA, Vcard_DToL15602-RA	HEL_014421-RA
OG0000041	Vcard_DToL15605-RA	HEL_014422-RA
OG0000045	Vcard_DToL10351-RA	HEL_012373-RA
OG0000045	Vcard_DToL07613-RA	HEL_010335-RA
OG0000045	Vcard_DToL07709-RA	HEL_013537-RA, HEL_013538-RA
OG0000045	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA	HEL_005377-RA
OG0000046	Vcard_DToL03283-RA	HEL_005344-RA, HEL_005346-RA, HEL_005347-RA, HEL_005345-RA
OG0000049	Vcard_DToL06466-RA	HEL_008049-RA
OG0000049	Vcard_DToL06451-RA	HEL_008034-RA
OG0000050	Vcard_DToL13078-RA	HEL_012554-RA
OG0000050	Vcard_DToL13075-RA, Vcard_DToL13076-RA	HEL_012564-RA
OG0000052	Vcard_DToL12448-RA, Vcard_DToL12449-RA	HEL_000724-RA
OG0000053	Vcard_DToL01334-RA	HEL_006721-RA
OG0000053	Vcard_DToL01331-RA	HEL_006720-RA
OG0000053	Vcard_DToL01333-RA	HEL_006724-RA
OG0000053	Vcard_DToL01332-RA	HEL_006722-RA
OG0000053	Vcard_DToL01335-RA	HEL_006725-RA
OG0000054	Vcard_DToL09709-RA	HEL_003473-RA
OG0000054	Vcard_DToL09712-RA	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA, HEL_003471-RA
OG0000054	Vcard_DToL09711-RA	HEL_003470-RA
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	HEL_011387-RA
OG0000055	Vcard_DToL18025-RA	HEL_007822-RA
OG0000056	Vcard_DToL16041-RA	HEL_013494-RA
OG0000057	Vcard_DToL13794-RA	HEL_008127-RA, HEL_008126-RA
OG0000057	Vcard_DToL13796-RA	HEL_008125-RA
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	HEL_007566-RA
OG0000058	Vcard_DToL07050-RA, Vcard_DToL15938-RA	HEL_011250-RA
OG0000061	Vcard_DToL04117-RA	HEL_014352-RA
OG0000062	Vcard_DToL05449-RA	HEL_000202-RA
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	HEL_006297-RA
OG0000063	Vcard_DToL09866-RA	HEL_011544-RA
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA
OG0000068	Vcard_DToL16340-RA	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA
OG0000068	Vcard_DToL16337-RA	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA, HEL_004803-RA, HEL_004797-RA, HEL_004795-RA
OG0000069	Vcard_DToL07820-RA	HEL_013143-RA
OG0000069	Vcard_DToL07819-RA, Vcard_DToL07818-RA	HEL_013144-RA
OG0000071	Vcard_DToL11272-RA	HEL_009006-RA
OG0000071	Vcard_DToL15245-RA	HEL_012672-RA, HEL_004446-RA, HEL_002089-RA, HEL_008612-RA, HEL_007397-RA, HEL_009249-RA, HEL_013447-RA, HEL_006033-RA, HEL_011525-RA, HEL_009009-RA, HEL_009007-RA, HEL_012671-RA, HEL_004289-RA, HEL_009846-RA, HEL_010495-RA, HEL_010347-RA, HEL_010983-RA, HEL_009301-RA, HEL_008611-RA, HEL_009250-RA, HEL_006034-RA, HEL_011986-RA, HEL_005722-RA, HEL_001383-RA, HEL_008569-RA, HEL_010348-RA, HEL_009008-RA, HEL_013448-RA
OG0000073	Vcard_DToL06863-RA	HEL_007878-RA
OG0000073	Vcard_DToL06621-RA	HEL_008003-RA
OG0000073	Vcard_DToL06614-RA	HEL_007997-RA, HEL_007992-RA
OG0000075	Vcard_DToL04139-RA, Vcard_DToL04138-RA	HEL_014328-RA, HEL_014331-RA
OG0000075	Vcard_DToL04124-RA	HEL_014345-RA, HEL_014343-RA
OG0000075	Vcard_DToL04270-RA	HEL_007561-RA
OG0000076	Vcard_DToL18781-RA	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA
OG0000079	Vcard_DToL05221-RA	HEL_010374-RA
OG0000082	Vcard_DToL17276-RA	HEL_005977-RA
OG0000084	Vcard_DToL07564-RA	HEL_010679-RA
OG0000085	Vcard_DToL03094-RA	HEL_005305-RA, HEL_005304-RA
OG0000088	Vcard_DToL06952-RA	HEL_014145-RA, HEL_012840-RA
OG0000090	Vcard_DToL04847-RA	HEL_007626-RA
OG0000092	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	HEL_008400-RA, HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA
OG0000093	Vcard_DToL17257-RA	HEL_005969-RA
OG0000093	Vcard_DToL17260-RA	HEL_005968-RA, HEL_005966-RA
OG0000093	Vcard_DToL17256-RA	HEL_005972-RA
OG0000094	Vcard_DToL15547-RA	HEL_006926-RA
OG0000094	Vcard_DToL15561-RA	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA
OG0000095	Vcard_DToL02427-RA, Vcard_DToL02425-RA	HEL_001292-RA
OG0000096	Vcard_DToL06347-RA	HEL_010168-RA
OG0000096	Vcard_DToL06351-RA	HEL_010165-RA
OG0000097	Vcard_DToL11327-RA, Vcard_DToL11326-RA	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA
OG0000098	Vcard_DToL02960-RA	HEL_005540-RA
OG0000100	Vcard_DToL12906-RA	HEL_005774-RA
OG0000100	Vcard_DToL12907-RA	HEL_005770-RA, HEL_005771-RA
OG0000100	Vcard_DToL12904-RA	HEL_005776-RA
OG0000100	Vcard_DToL12899-RA	HEL_005778-RA
OG0000101	Vcard_DToL09191-RA	HEL_010134-RA, HEL_010133-RA
OG0000102	Vcard_DToL07821-RA	HEL_013146-RA
OG0000102	Vcard_DToL07817-RA	HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA
OG0000103	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA	HEL_008320-RA
OG0000108	Vcard_DToL18043-RA	HEL_013515-RA
OG0000109	Vcard_DToL04712-RA	HEL_012849-RA, HEL_012847-RA
OG0000110	Vcard_DToL07723-RA	HEL_014554-RA
OG0000110	Vcard_DToL07721-RA	HEL_014551-RA
OG0000111	Vcard_DToL10424-RA	HEL_004223-RA
OG0000111	Vcard_DToL05296-RA	HEL_000126-RA
OG0000111	Vcard_DToL05301-RA	HEL_000128-RA
OG0000113	Vcard_DToL03481-RA	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	Vcard_DToL07873-RA	HEL_009880-RA, HEL_009885-RA
OG0000115	Vcard_DToL16325-RA	HEL_004784-RA
OG0000115	Vcard_DToL06773-RA	HEL_006264-RA
OG0000115	Vcard_DToL16322-RA	HEL_004779-RA
OG0000116	Vcard_DToL05226-RA	HEL_000181-RA
OG0000116	Vcard_DToL07626-RA	HEL_010345-RA
OG0000116	Vcard_DToL00399-RA	HEL_010451-RA
OG0000116	Vcard_DToL17023-RA	HEL_004697-RA
OG0000117	Vcard_DToL08238-RA	HEL_013392-RA
OG0000117	Vcard_DToL08239-RA	HEL_013393-RA
OG0000124	Vcard_DToL13182-RA	HEL_012796-RA
OG0000125	Vcard_DToL15852-RA	HEL_008471-RA
OG0000125	Vcard_DToL15854-RA	HEL_008470-RA
OG0000127	Vcard_DToL18678-RA	HEL_013706-RA
OG0000128	Vcard_DToL13576-RA	HEL_014291-RA
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	HEL_014057-RA
OG0000128	Vcard_DToL13581-RA	HEL_014054-RA
OG0000129	Vcard_DToL16688-RA	HEL_003330-RA, HEL_003340-RA
OG0000131	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA	HEL_004142-RA
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA	HEL_013799-RA, HEL_013798-RA
OG0000133	Vcard_DToL17871-RA	HEL_004130-RA
OG0000133	Vcard_DToL17888-RA	HEL_004133-RA
OG0000134	Vcard_DToL15581-RA	HEL_006876-RA
OG0000134	Vcard_DToL15582-RA	HEL_006826-RA
OG0000138	Vcard_DToL06226-RA, Vcard_DToL06227-RA	HEL_002292-RA
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	HEL_007640-RA
OG0000139	Vcard_DToL15053-RA, Vcard_DToL14664-RA	HEL_003606-RA
OG0000141	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA	HEL_010839-RA, HEL_010838-RA
OG0000143	Vcard_DToL08257-RA	HEL_009925-RA
OG0000143	Vcard_DToL08259-RA	HEL_009924-RA
OG0000144	Vcard_DToL09834-RA	HEL_011567-RA
OG0000145	Vcard_DToL04524-RA	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA
OG0000147	Vcard_DToL09992-RA, Vcard_DToL09991-RA	HEL_007353-RA
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA
OG0000149	Vcard_DToL10477-RA	HEL_004262-RA
OG0000152	Vcard_DToL01543-RA	HEL_002884-RA
OG0000152	Vcard_DToL01538-RA	HEL_002887-RA
OG0000152	Vcard_DToL01542-RA	HEL_002885-RA
OG0000153	Vcard_DToL04750-RA	HEL_012803-RA
OG0000154	Vcard_DToL05463-RA	HEL_004719-RA
OG0000154	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA	HEL_004718-RA, HEL_004720-RA, HEL_004722-RA
OG0000155	Vcard_DToL15439-RA	HEL_012316-RA
OG0000156	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA	HEL_013567-RA, HEL_013569-RA
OG0000162	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA	HEL_008231-RA
OG0000163	Vcard_DToL13540-RA	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA
OG0000164	Vcard_DToL18259-RA	HEL_013352-RA
OG0000165	Vcard_DToL03464-RA	HEL_014028-RA
OG0000166	Vcard_DToL10237-RA	HEL_009754-RA
OG0000167	Vcard_DToL18010-RA, Vcard_DToL18016-RA, Vcard_DToL04638-RA	HEL_011445-RA
OG0000167	Vcard_DToL17484-RA	HEL_000604-RA
OG0000169	Vcard_DToL13220-RA	HEL_012759-RA
OG0000169	Vcard_DToL13222-RA	HEL_014571-RA
OG0000169	Vcard_DToL13212-RA	HEL_012764-RA
OG0000171	Vcard_DToL06760-RA	HEL_006253-RA
OG0000171	Vcard_DToL06758-RA	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA
OG0000172	Vcard_DToL08055-RA	HEL_008361-RA, HEL_008362-RA
OG0000174	Vcard_DToL01198-RA	HEL_002709-RA
OG0000174	Vcard_DToL01197-RA	HEL_002707-RA
OG0000174	Vcard_DToL01201-RA	HEL_002714-RA, HEL_002715-RA
OG0000174	Vcard_DToL00231-RA	HEL_007174-RA
OG0000175	Vcard_DToL16841-RA	HEL_005422-RA
OG0000175	Vcard_DToL08937-RA	HEL_009048-RA
OG0000175	Vcard_DToL09691-RA	HEL_003484-RA
OG0000178	Vcard_DToL16798-RA	HEL_005387-RA
OG0000178	Vcard_DToL16964-RA	HEL_004641-RA
OG0000179	Vcard_DToL10007-RA	HEL_013875-RA
OG0000180	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA	HEL_007077-RA
OG0000180	Vcard_DToL00694-RA	HEL_007079-RA, HEL_007078-RA
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	HEL_008902-RA
OG0000182	Vcard_DToL04801-RA	HEL_012893-RA
OG0000183	Vcard_DToL13208-RA	HEL_012769-RA
OG0000183	Vcard_DToL06780-RA, Vcard_DToL01715-RA	HEL_006620-RA
OG0000184	Vcard_DToL04778-RA	HEL_007564-RA
OG0000184	Vcard_DToL10518-RA	HEL_004299-RA
OG0000184	Vcard_DToL10517-RA	HEL_004298-RA
OG0000185	Vcard_DToL11157-RA	HEL_011155-RA
OG0000185	Vcard_DToL11158-RA	HEL_011156-RA
OG0000185	Vcard_DToL11159-RA	HEL_011157-RA
OG0000186	Vcard_DToL18093-RA	HEL_006287-RA, HEL_013685-RA
OG0000187	Vcard_DToL18267-RA	HEL_010066-RA
OG0000188	Vcard_DToL16002-RA, Vcard_DToL16003-RA, Vcard_DToL16004-RA	HEL_009328-RA
OG0000190	Vcard_DToL10323-RA	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA
OG0000191	Vcard_DToL00710-RA, Vcard_DToL00708-RA	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA
OG0000193	Vcard_DToL10620-RA	HEL_011020-RA, HEL_011022-RA
OG0000193	Vcard_DToL10410-RA	HEL_011021-RA
OG0000193	Vcard_DToL10411-RA	HEL_004214-RA
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	HEL_002689-RA
OG0000197	Vcard_DToL00934-RA	HEL_002519-RA
OG0000197	Vcard_DToL02361-RA	HEL_001340-RA
OG0000198	Vcard_DToL08912-RA	HEL_009068-RA
OG0000200	Vcard_DToL04306-RA	HEL_007531-RA, HEL_007530-RA
OG0000200	Vcard_DToL04305-RA	HEL_007527-RA
OG0000201	Vcard_DToL12096-RA, Vcard_DToL12097-RA	HEL_001000-RA, HEL_001001-RA
OG0000202	Vcard_DToL05319-RA, Vcard_DToL05320-RA	HEL_000098-RA
OG0000203	Vcard_DToL04165-RA	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA
OG0000205	Vcard_DToL03235-RA	HEL_005648-RA
OG0000206	Vcard_DToL18698-RA	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA
OG0000209	Vcard_DToL14070-RA	HEL_000443-RA
OG0000209	Vcard_DToL12081-RA	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA
OG0000209	Vcard_DToL14068-RA	HEL_001020-RA
OG0000210	Vcard_DToL06537-RA	HEL_007935-RA
OG0000210	Vcard_DToL06540-RA	HEL_007938-RA
OG0000212	Vcard_DToL05123-RA	HEL_010933-RA
OG0000212	Vcard_DToL05122-RA	HEL_010932-RA, HEL_010931-RA
OG0000213	Vcard_DToL02226-RA	HEL_001448-RA
OG0000213	Vcard_DToL02222-RA	HEL_001453-RA
OG0000214	Vcard_DToL06709-RA	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA
OG0000215	Vcard_DToL15777-RA	HEL_008533-RA
OG0000215	Vcard_DToL03753-RA	HEL_004541-RA
OG0000215	Vcard_DToL15776-RA	HEL_011523-RA
OG0000216	Vcard_DToL05432-RA, Vcard_DToL05434-RA	HEL_000005-RA
OG0000218	Vcard_DToL08466-RA, Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA	HEL_011596-RA
OG0000219	Vcard_DToL15870-RA	HEL_008433-RA
OG0000219	Vcard_DToL04562-RA	HEL_011520-RA
OG0000220	Vcard_DToL05227-RA, Vcard_DToL05229-RA	HEL_000160-RA, HEL_000180-RA
OG0000220	Vcard_DToL05216-RA	HEL_000185-RA, HEL_000161-RA, HEL_000179-RA, HEL_000178-RA
OG0000221	Vcard_DToL05219-RA	HEL_000182-RA
OG0000221	Vcard_DToL05218-RA, Vcard_DToL05217-RA	HEL_000184-RA
OG0000222	Vcard_DToL18700-RA	HEL_013041-RA, HEL_013040-RA
OG0000224	Vcard_DToL10645-RA	HEL_011057-RA, HEL_011056-RA, HEL_011061-RA, HEL_011062-RA
OG0000229	Vcard_DToL14725-RA	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA, HEL_003649-RA
OG0000229	Vcard_DToL00962-RA	HEL_002543-RA
OG0000230	Vcard_DToL07194-RA	HEL_007833-RA
OG0000230	Vcard_DToL18167-RA	HEL_014523-RA
OG0000232	Vcard_DToL07956-RA	HEL_007965-RA
OG0000233	Vcard_DToL04978-RA, Vcard_DToL04976-RA	HEL_013315-RA
OG0000234	Vcard_DToL17522-RA	HEL_000576-RA
OG0000234	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA
OG0000235	Vcard_DToL03594-RA	HEL_008763-RA
OG0000235	Vcard_DToL03595-RA	HEL_008762-RA
OG0000236	Vcard_DToL11986-RA	HEL_001070-RA
OG0000237	Vcard_DToL09774-RA	HEL_012911-RA
OG0000237	Vcard_DToL09775-RA	HEL_012907-RA
OG0000238	Vcard_DToL08425-RA	HEL_011638-RA
OG0000238	Vcard_DToL06802-RA	HEL_006325-RA
OG0000239	Vcard_DToL04533-RA	HEL_013433-RA
OG0000239	Vcard_DToL04531-RA, Vcard_DToL04532-RA	HEL_013434-RA
OG0000246	Vcard_DToL03003-RA	HEL_005502-RA
OG0000247	Vcard_DToL15275-RA	HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA
OG0000248	Vcard_DToL18456-RA	HEL_013916-RA
OG0000248	Vcard_DToL18500-RA	HEL_013902-RA
OG0000249	Vcard_DToL13885-RA	HEL_000469-RA, HEL_000470-RA
OG0000250	Vcard_DToL18410-RA	HEL_013910-RA
OG0000252	Vcard_DToL06474-RA	HEL_007886-RA, HEL_007887-RA
OG0000254	Vcard_DToL17603-RA	HEL_011399-RA, HEL_011397-RA, HEL_011398-RA
OG0000254	Vcard_DToL17610-RA	HEL_011400-RA
OG0000254	Vcard_DToL17608-RA	HEL_011401-RA
OG0000256	Vcard_DToL01480-RA	HEL_009147-RA, HEL_010502-RA
OG0000257	Vcard_DToL07238-RA	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA
OG0000257	Vcard_DToL08160-RA	HEL_008272-RA
OG0000258	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA	HEL_000386-RA
OG0000258	Vcard_DToL13992-RA	HEL_000388-RA, HEL_000387-RA
OG0000259	Vcard_DToL09884-RA	HEL_011529-RA, HEL_011528-RA, HEL_011531-RA, HEL_011530-RA
OG0000260	Vcard_DToL17440-RA	HEL_000640-RA, HEL_000638-RA, HEL_000627-RA
OG0000262	Vcard_DToL14416-RA	HEL_003824-RA, HEL_003830-RA, HEL_003829-RA
OG0000262	Vcard_DToL14415-RA	HEL_003831-RA
OG0000263	Vcard_DToL18015-RA, Vcard_DToL08102-RA, Vcard_DToL18007-RA, Vcard_DToL09562-RA, Vcard_DToL18003-RA, Vcard_DToL02047-RA	HEL_004884-RA
OG0000264	Vcard_DToL05256-RA	HEL_000152-RA
OG0000264	Vcard_DToL03377-RA, Vcard_DToL05269-RA	HEL_000145-RA
OG0000265	Vcard_DToL18455-RA	HEL_013915-RA
OG0000271	Vcard_DToL17340-RA	HEL_002185-RA
OG0000272	Vcard_DToL16752-RA, Vcard_DToL07549-RA	HEL_003415-RA
OG0000273	Vcard_DToL10510-RA	HEL_004292-RA
OG0000273	Vcard_DToL10633-RA	HEL_011028-RA
OG0000274	Vcard_DToL11340-RA	HEL_008935-RA
OG0000276	Vcard_DToL01827-RA	HEL_001740-RA
OG0000277	Vcard_DToL07576-RA	HEL_010687-RA
OG0000279	Vcard_DToL02764-RA	HEL_011096-RA
OG0000281	Vcard_DToL08878-RA	HEL_009096-RA
OG0000281	Vcard_DToL12847-RA	HEL_005808-RA
OG0000283	Vcard_DToL04959-RA	HEL_013294-RA
OG0000284	Vcard_DToL02096-RA	HEL_001551-RA, HEL_001550-RA
OG0000284	Vcard_DToL02094-RA	HEL_001552-RA
OG0000285	Vcard_DToL10459-RA	HEL_004245-RA
OG0000285	Vcard_DToL10455-RA, Vcard_DToL10457-RA	HEL_004247-RA
OG0000286	Vcard_DToL04330-RA	HEL_007502-RA, HEL_007508-RA, HEL_007503-RA
OG0000286	Vcard_DToL04329-RA	HEL_007501-RA, HEL_007507-RA, HEL_007504-RA, HEL_007506-RA
OG0000287	Vcard_DToL11025-RA	HEL_013729-RA
