Orthogroup	Vanessa_cardui	Heliconius_melpomene_melpomene
OG0000004	Vcard_DToL15675-RA, Vcard_DToL15674-RA, Vcard_DToL16321-RA, Vcard_DToL15669-RA, Vcard_DToL15644-RA, Vcard_DToL15631-RA, Vcard_DToL15664-RA, Vcard_DToL15673-RA	HMEL022671-RA, HMEL022653-RA
OG0000006	Vcard_DToL10389-RA	HMEL036280g1.t1, HMEL013557g1.t1, HMEL035788g1.t1, HMEL037495g1.t1, HMEL035353g1.t1, HMEL035790g1.t1, HMEL035438g1.t1, HMEL030902g1.t1, HMEL037927g1.t1, HMEL032568g1.t1, HMEL030724g1.t1, HMEL031872g1.t1, HMEL030633g1.t1, HMEL035437g1.t1, HMEL036821g1.t1, HMEL035641g1.t1, HMEL036577g1.t1, HMEL032737g1.t1, HMEL036541g1.t1, HMEL037246g1.t1, HMEL003814g1.t1, HMEL035973g1.t1, HMEL032544g1.t1, HMEL032865g1.t1, HMEL036404g1.t1, HMEL034534g1.t1, HMEL004015g1.t1, HMEL033725g1.t1, HMEL032148g1.t1, HMEL030021g1.t1, HMEL030418g1.t1, HMEL032154g1.t1, HMEL033427g1.t1, HMEL033223g1.t1, HMEL031717g1.t1, HMEL036507g1.t1, HMEL033132g1.t1, HMEL036446g1.t1, HMEL035974g1.t1, HMEL035340g1.t1, HMEL033690g1.t1, HMEL033691g1.t1, HMEL033983g1.t1, HMEL036851g1.t1, HMEL033333g1.t1, HMEL035845g1.t1, HMEL034207g1.t1, HMEL034542g1.t1, HMEL036907g1.t1, HMEL035341g1.t1, HMEL003507g1.t1
OG0000007	Vcard_DToL07313-RA	HMEL012825g1.t1
OG0000007	Vcard_DToL00839-RA	HMEL009008g1.t1
OG0000007	Vcard_DToL16046-RA	HMEL003519g1.t1
OG0000008	Vcard_DToL17096-RA	HMEL035923g1.t1, HMEL033275g1.t1, HMEL030272g1.t1, HMEL030129g1.t1, HMEL034250g1.t1, HMEL035037g1.t1, HMEL032289g1.t1, HMEL034716g1.t1, HMEL031961g1.t1, HMEL035532g1.t1, HMEL031511g1.t1, HMEL036556g1.t1, HMEL037351g1.t1, HMEL031193g1.t1, HMEL033579g1.t1, HMEL032347g1.t1, HMEL037905g1.t1, HMEL030371g1.t1, HMEL033369g1.t1, HMEL035192g1.t1, HMEL037391g1.t1, HMEL035724g1.t1, HMEL034084g1.t1, HMEL035465g1.t1, HMEL034020g1.t1, HMEL031937g1.t1, HMEL030884g1.t1, HMEL035652g1.t1, HMEL035202g1.t1, HMEL030149g1.t1, HMEL036850g1.t1, HMEL037852g1.t1, HMEL033965g1.t1, HMEL030439g1.t1, HMEL030583g1.t1, HMEL030721g1.t1, HMEL032936g1.t1, HMEL030815g1.t1, HMEL031442g1.t1, HMEL008044g1.t1, HMEL036993g1.t1, HMEL037086g1.t1, HMEL036630g1.t1, HMEL034480g1.t1, HMEL037692g1.t1, HMEL035616g1.t1, HMEL035605g1.t1, HMEL032914g1.t1, HMEL034055g1.t1, HMEL037421g1.t1, HMEL035587g1.t1, HMEL034450g1.t1, HMEL037728g1.t1, HMEL037095g1.t1, HMEL037041g1.t1, HMEL012196g1.t1, HMEL031867g1.t1, HMEL038011g1.t1, HMEL031160g1.t1, HMEL030176g1.t1, HMEL035963g1.t1, HMEL037616g1.t1, HMEL031736g1.t1, HMEL035651g1.t1, HMEL036336g1.t1, HMEL012996g1.t1, HMEL035203g1.t1, HMEL036661g1.t1, HMEL033890g1.t1, HMEL003253g1.t1, HMEL034808g1.t1, HMEL010193g1.t1, HMEL030403g1.t1, HMEL033280g1.t1, HMEL032969g1.t1, HMEL037116g1.t1, HMEL032299g1.t1, HMEL037829g1.t1, HMEL030366g1.t1, HMEL030662g1.t1, HMEL034489g1.t1, HMEL031558g1.t1, HMEL034951g1.t1, HMEL033897g1.t1, HMEL036381g1.t1, HMEL030078g1.t1, HMEL030642g1.t1, HMEL035302g1.t1, HMEL031557g1.t1, HMEL032602g1.t1, HMEL033264g1.t1, HMEL035767g1.t1, HMEL037928g1.t1, HMEL033501g1.t1, HMEL035021g1.t1, HMEL031350g1.t1, HMEL036422g1.t1, HMEL036338g1.t1, HMEL032342g1.t1, HMEL034699g1.t1, HMEL034495g1.t1
OG0000009	Vcard_DToL17636-RA	HMEL037374g1.t1
OG0000009	Vcard_DToL17635-RA	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1
OG0000009	Vcard_DToL17681-RA, Vcard_DToL17679-RA, Vcard_DToL17673-RA	HMEL011209g1.t1
OG0000011	Vcard_DToL11283-RA	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	Vcard_DToL11246-RA, Vcard_DToL11242-RA	HMEL033610g1.t1
OG0000011	Vcard_DToL11230-RA	HMEL017520g1.t1
OG0000012	Vcard_DToL10647-RA	HMEL036201g1.t1
OG0000016	Vcard_DToL05496-RA	HMEL030907g1.t1
OG0000017	Vcard_DToL14198-RA, Vcard_DToL17605-RA, Vcard_DToL00869-RA	HMEL035047g1.t1
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	HMEL030430g1.t1
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA	HMEL030844g1.t1
OG0000021	Vcard_DToL14989-RA	HMEL009528g1.t1
OG0000022	Vcard_DToL16722-RA	HMEL031459g1.t1
OG0000023	Vcard_DToL04995-RA, Vcard_DToL03693-RA, Vcard_DToL00478-RA, Vcard_DToL14663-RA	HMEL033227g1.t1
OG0000023	Vcard_DToL09569-RA, Vcard_DToL02591-RA, Vcard_DToL09652-RA, Vcard_DToL12381-RA	HMEL031142g1.t1
OG0000023	Vcard_DToL16843-RA, Vcard_DToL12503-RA, Vcard_DToL01875-RA	HMEL033442g1.t1, HMEL030258g1.t1
OG0000023	Vcard_DToL09466-RA, Vcard_DToL18021-RA, Vcard_DToL13274-RA, Vcard_DToL08248-RA	HMEL038036g1.t1
OG0000024	Vcard_DToL09638-RA	HMEL012610g1.t1
OG0000024	Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA, Vcard_DToL09635-RA, Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA	HMEL002645g1.t1, HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1, HMEL012607g1.t1, HMEL012608g1.t1, HMEL010265g1.t1, HMEL012609g1.t1, HMEL010268g1.t1
OG0000025	Vcard_DToL17634-RA	HMEL037372g1.t1, HMEL011166g1.t1
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	HMEL004610g1.t1, HMEL014440g1.t1
OG0000028	Vcard_DToL18861-RA	HMEL022519g1.t1
OG0000029	Vcard_DToL02471-RA, Vcard_DToL02470-RA	HMEL003326g1.t1
OG0000030	Vcard_DToL03994-RA	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1
OG0000031	Vcard_DToL09361-RA	HMEL017587g1.t1, HMEL031613g1.t1, HMEL017283g1.t1, HMEL036334g1.t1, HMEL022124g1.t1, HMEL034216g1.t1, HMEL037646g1.t1, HMEL034645g1.t1, HMEL031436g1.t1, HMEL030105g1.t1, HMEL035683g1.t1, HMEL015624g1.t1, HMEL033688g1.t1, HMEL035475g1.t1, HMEL034126g1.t1, HMEL035750g1.t1, HMEL030037g1.t1, HMEL036916g1.t1, HMEL035917g1.t1, HMEL032654g1.t1, HMEL031633g1.t1, HMEL034340g1.t1, HMEL035692g1.t1, HMEL033329g1.t1, HMEL006082g1.t1, HMEL033192g1.t1, HMEL030783g1.t1, HMEL030314g1.t1, HMEL035840g1.t1, HMEL033794g1.t1, HMEL035444g1.t1, HMEL014963g1.t1, HMEL037193g1.t1, HMEL032003g1.t1, HMEL034168g1.t1, HMEL006868g1.t1, HMEL032266g1.t1, HMEL021670g1.t1, HMEL034218g1.t1, HMEL034560g1.t1, HMEL033685g1.t1, HMEL035355g1.t1, HMEL033511g1.t1, HMEL031327g1.t1, HMEL032685g1.t1, HMEL036418g1.t1, HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1
OG0000034	Vcard_DToL03370-RA	HMEL033982g1.t1
OG0000034	Vcard_DToL03379-RA	HMEL033974g1.t1
OG0000035	Vcard_DToL15716-RA	HMEL016208g1.t1, HMEL036401g1.t1, HMEL034209g1.t1
OG0000035	Vcard_DToL00728-RA	HMEL005543g1.t1
OG0000035	Vcard_DToL18302-RA	HMEL036120g1.t1
OG0000035	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA	HMEL034208g1.t1, HMEL036402g1.t1, HMEL030139g1.t1, HMEL035534g1.t1, HMEL036982g1.t1, HMEL033745g1.t1, HMEL035878g1.t1, HMEL031609g1.t1
OG0000037	Vcard_DToL07760-RA	HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1
OG0000038	Vcard_DToL16690-RA	HMEL014479g1.t1
OG0000039	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA
OG0000039	Vcard_DToL07681-RA, Vcard_DToL07680-RA	HMEL017153-RA
OG0000041	Vcard_DToL13154-RA	HMEL032630g1.t1
OG0000041	Vcard_DToL15601-RA, Vcard_DToL15602-RA	HMEL004253g1.t1
OG0000041	Vcard_DToL15605-RA	HMEL004252g1.t1
OG0000045	Vcard_DToL10351-RA	HMEL036019g1.t1
OG0000045	Vcard_DToL07613-RA	HMEL037144g1.t1
OG0000045	Vcard_DToL07709-RA	HMEL014163g1.t1
OG0000045	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA	HMEL034418g1.t1
OG0000046	Vcard_DToL03283-RA	HMEL014795g1.t1
OG0000046	Vcard_DToL03286-RA	HMEL010111g1.t1
OG0000049	Vcard_DToL06466-RA	HMEL002471-RA
OG0000049	Vcard_DToL06452-RA	HMEL003584-RA
OG0000049	Vcard_DToL06451-RA	HMEL008772-RA
OG0000050	Vcard_DToL13078-RA	HMEL017073-RA
OG0000050	Vcard_DToL13075-RA	HMEL022575-RA
OG0000052	Vcard_DToL12448-RA, Vcard_DToL12449-RA	HMEL013845g1.t1
OG0000053	Vcard_DToL01328-RA	HMEL030922g1.t1
OG0000053	Vcard_DToL01331-RA	HMEL009070g1.t1
OG0000053	Vcard_DToL01333-RA	HMEL009072g1.t1
OG0000053	Vcard_DToL01332-RA	HMEL009071g1.t1
OG0000053	Vcard_DToL01335-RA	HMEL009073g1.t1
OG0000054	Vcard_DToL09709-RA	HMEL018015g1.t1
OG0000054	Vcard_DToL09712-RA	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1, HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	Vcard_DToL09711-RA	HMEL031505g1.t1
OG0000055	Vcard_DToL13935-RA, Vcard_DToL18184-RA	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1
OG0000055	Vcard_DToL18025-RA	HMEL033237g1.t1
OG0000056	Vcard_DToL16041-RA	HMEL010939-RA
OG0000056	Vcard_DToL16040-RA	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA
OG0000057	Vcard_DToL13794-RA	HMEL003534g1.t1, HMEL032313g1.t1
OG0000057	Vcard_DToL13796-RA	HMEL032312g1.t1
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	HMEL006997g1.t1
OG0000058	Vcard_DToL16303-RA, Vcard_DToL07362-RA	HMEL033297g1.t1
OG0000058	Vcard_DToL02890-RA	HMEL033633g1.t1, HMEL031971g1.t1
OG0000062	Vcard_DToL18008-RA	HMEL003604g1.t1
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	HMEL034759g1.t1
OG0000063	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	HMEL034760g1.t1
OG0000063	Vcard_DToL07425-RA	HMEL008897g1.t1
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	HMEL003229g1.t1
OG0000068	Vcard_DToL16340-RA	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1
OG0000068	Vcard_DToL16337-RA	HMEL031345g1.t1, HMEL011001g1.t1, HMEL011002g1.t1, HMEL031342g1.t1, HMEL031343g1.t1
OG0000071	Vcard_DToL15245-RA	HMEL034508g1.t1, HMEL031688g1.t1, HMEL036457g1.t1, HMEL031689g1.t1, HMEL037575g1.t1
OG0000073	Vcard_DToL06863-RA	HMEL012052g1.t1
OG0000073	Vcard_DToL06621-RA	HMEL015732g1.t1
OG0000073	Vcard_DToL06614-RA	HMEL015726g1.t1
OG0000075	Vcard_DToL04138-RA	HMEL002852g1.t1
OG0000075	Vcard_DToL04124-RA	HMEL032963g1.t1
OG0000075	Vcard_DToL04270-RA	HMEL032798g1.t1, HMEL022365g1.t1
OG0000076	Vcard_DToL18781-RA	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	HMEL010630g1.t1, HMEL030578g1.t1
OG0000079	Vcard_DToL05246-RA	HMEL032049g1.t1, HMEL020697g1.t1
OG0000079	Vcard_DToL05221-RA	HMEL037179g1.t1
OG0000082	Vcard_DToL17276-RA	HMEL007401g1.t1
OG0000082	Vcard_DToL17266-RA	HMEL030062g1.t1
OG0000084	Vcard_DToL07564-RA	HMEL015484g1.t1
OG0000088	Vcard_DToL06950-RA	HMEL003756g1.t1
OG0000088	Vcard_DToL06952-RA	HMEL003755g1.t1
OG0000090	Vcard_DToL04847-RA	HMEL010419g1.t1
OG0000091	Vcard_DToL15016-RA	HMEL035854g1.t1
OG0000092	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA	HMEL032941g1.t1, HMEL009597g1.t1, HMEL012374g1.t1, HMEL032947g1.t1, HMEL003048g1.t1, HMEL016489g1.t1, HMEL012376g1.t1, HMEL007577g1.t1, HMEL014517g1.t1
OG0000093	Vcard_DToL17257-RA	HMEL006620g1.t1
OG0000093	Vcard_DToL17260-RA	HMEL005989g1.t1
OG0000093	Vcard_DToL17256-RA	HMEL003398g1.t1
OG0000094	Vcard_DToL15547-RA	HMEL015375g1.t1
OG0000094	Vcard_DToL15561-RA	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1
OG0000095	Vcard_DToL02427-RA, Vcard_DToL02425-RA	HMEL003312g1.t1
OG0000096	Vcard_DToL06347-RA	HMEL034898g1.t1
OG0000096	Vcard_DToL06351-RA	HMEL006028g1.t1
OG0000096	Vcard_DToL06349-RA	HMEL034896g1.t1
OG0000097	Vcard_DToL11327-RA, Vcard_DToL11326-RA	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1
OG0000098	Vcard_DToL02960-RA	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1
OG0000100	Vcard_DToL12906-RA	HMEL016056g1.t1
OG0000100	Vcard_DToL12907-RA	HMEL016051g1.t1, HMEL036651g1.t1, HMEL016050g1.t1
OG0000100	Vcard_DToL12904-RA	HMEL016058g1.t1
OG0000101	Vcard_DToL09191-RA	HMEL013064g1.t1, HMEL035350g1.t1
OG0000102	Vcard_DToL07821-RA	HMEL003225g1.t1
OG0000102	Vcard_DToL07817-RA	HMEL038139g1.t1, HMEL033321g1.t1, HMEL033320g1.t1, HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1
OG0000103	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA	HMEL004144g1.t1
OG0000108	Vcard_DToL18043-RA	HMEL017787g1.t1, HMEL031414g1.t1
OG0000109	Vcard_DToL04718-RA	HMEL032659g1.t1
OG0000109	Vcard_DToL04712-RA	HMEL032662g1.t1
OG0000110	Vcard_DToL07721-RA	HMEL008599g1.t1
OG0000111	Vcard_DToL10424-RA	HMEL017867g1.t1
OG0000111	Vcard_DToL05298-RA	HMEL016755g1.t1
OG0000113	Vcard_DToL03481-RA	HMEL033908g1.t1
OG0000114	Vcard_DToL07873-RA	HMEL015513g1.t1, HMEL008318g1.t1
OG0000114	Vcard_DToL07876-RA, Vcard_DToL09470-RA	HMEL012182g1.t1
OG0000115	Vcard_DToL16325-RA	HMEL005318g1.t1
OG0000115	Vcard_DToL06773-RA	HMEL017991g1.t1
OG0000115	Vcard_DToL16322-RA	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1
OG0000116	Vcard_DToL05226-RA	HMEL017091g1.t1
OG0000116	Vcard_DToL07626-RA	HMEL037149g1.t1
OG0000116	Vcard_DToL00399-RA	HMEL013498g1.t1
OG0000117	Vcard_DToL08238-RA	HMEL033309g1.t1
OG0000117	Vcard_DToL08239-RA	HMEL033310g1.t1, HMEL002121g1.t1
OG0000119	Vcard_DToL03290-RA	HMEL010108g1.t1
OG0000122	Vcard_DToL04366-RA	HMEL032771g1.t1
OG0000122	Vcard_DToL14073-RA, Vcard_DToL17995-RA	HMEL032720g1.t1
OG0000124	Vcard_DToL13182-RA	HMEL011266g1.t1, HMEL032622g1.t1
OG0000125	Vcard_DToL15852-RA	HMEL003538g1.t1, HMEL030582g1.t1
OG0000125	Vcard_DToL15854-RA	HMEL013672g1.t1
OG0000128	Vcard_DToL13576-RA	HMEL032417g1.t1, HMEL032418g1.t1
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	HMEL007085g1.t1
OG0000128	Vcard_DToL13581-RA	HMEL032421g1.t1
OG0000129	Vcard_DToL16688-RA	HMEL014468g1.t1
OG0000130	Vcard_DToL07751-RA	HMEL030456g1.t1, HMEL032155g1.t1, HMEL034268g1.t1, HMEL030099g1.t1, HMEL037302g1.t1, HMEL033470g1.t1, HMEL035814g1.t1, HMEL036434g1.t1, HMEL035812g1.t1, HMEL034269g1.t1, HMEL015006g1.t1, HMEL035016g1.t1, HMEL034917g1.t1, HMEL032314g1.t1, HMEL035813g1.t1, HMEL030524g1.t1, HMEL037301g1.t1, HMEL032215g1.t1, HMEL030310g1.t1, HMEL030529g1.t1, HMEL030455g1.t1, HMEL037667g1.t1, HMEL037337g1.t1, HMEL034851g1.t1, HMEL034890g1.t1, HMEL035725g1.t1, HMEL033469g1.t1, HMEL034834g1.t1, HMEL036874g1.t1, HMEL030525g1.t1
OG0000131	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA	HMEL037936g1.t1, HMEL037935g1.t1
OG0000133	Vcard_DToL17871-RA	HMEL010958g1.t1
OG0000133	Vcard_DToL17888-RA	HMEL013253g1.t1
OG0000134	Vcard_DToL15581-RA	HMEL030656g1.t1
OG0000134	Vcard_DToL15620-RA	HMEL017157g1.t1
OG0000137	Vcard_DToL01909-RA	HMEL031221g1.t1
OG0000138	Vcard_DToL06227-RA	HMEL013861g1.t1
OG0000138	Vcard_DToL06225-RA	HMEL013862g1.t1
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	HMEL031800g1.t1, HMEL031799g1.t1
OG0000139	Vcard_DToL14664-RA	HMEL004636g1.t1
OG0000139	Vcard_DToL15052-RA	HMEL009670g1.t1
OG0000140	Vcard_DToL16920-RA	HMEL015840g1.t1
OG0000140	Vcard_DToL16881-RA, Vcard_DToL16917-RA, Vcard_DToL16916-RA	HMEL015842g1.t1
OG0000141	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA	HMEL016237g1.t1
OG0000142	Vcard_DToL18406-RA	HMEL013887g1.t1
OG0000143	Vcard_DToL08257-RA	HMEL033259g1.t1
OG0000143	Vcard_DToL08259-RA	HMEL010205g1.t1
OG0000144	Vcard_DToL09834-RA	HMEL009988g1.t1, HMEL011225g1.t1
OG0000145	Vcard_DToL04524-RA	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	HMEL022638g1.t1, HMEL036387g1.t1, HMEL036388g1.t1
OG0000149	Vcard_DToL10477-RA	HMEL036082g1.t1
OG0000150	Vcard_DToL07759-RA	HMEL032164g1.t1, HMEL030981g1.t1, HMEL030115g1.t1
OG0000150	Vcard_DToL15404-RA	HMEL036212g1.t1
OG0000152	Vcard_DToL01538-RA	HMEL003035g1.t1
OG0000152	Vcard_DToL01542-RA	HMEL006925g1.t1
OG0000153	Vcard_DToL04750-RA	HMEL013104g1.t1
