Orthogroup	Vanessa_cardui	Maniola_hyperantus
OG0000045	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA	XP_034837040.1
OG0000046	Vcard_DToL03287-RA	XP_034829226.1
OG0000046	Vcard_DToL03286-RA	XP_034829225.1
OG0000049	Vcard_DToL06466-RA	XP_034826808.1
OG0000049	Vcard_DToL06446-RA	XP_034826796.1, XP_034826810.1
OG0000049	Vcard_DToL06451-RA	XP_034827036.1
OG0000050	Vcard_DToL13078-RA	XP_034834926.1
OG0000050	Vcard_DToL13075-RA, Vcard_DToL13076-RA	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1
OG0000051	Vcard_DToL02196-RA	XP_034834488.1, XP_034837258.1, XP_034835262.1, XP_034826426.1, XP_034824767.1, XP_034837020.1, XP_034825016.1, XP_034835754.1, XP_034829126.1, XP_034826839.1, XP_034825891.1, XP_034837628.1, XP_034839452.1, XP_034838312.1, XP_034837949.1, XP_034839757.1, XP_034829819.1
OG0000053	Vcard_DToL01328-RA	XP_034836880.1
OG0000053	Vcard_DToL01331-RA	XP_034836873.1
OG0000053	Vcard_DToL01333-RA	XP_034836855.1, XP_034836849.1
OG0000053	Vcard_DToL01332-RA	XP_034836907.1
OG0000053	Vcard_DToL01335-RA	XP_034836863.1
OG0000054	Vcard_DToL09709-RA	XP_034831832.1
OG0000054	Vcard_DToL09712-RA	XP_034832273.1, XP_034832263.1, XP_034832264.1
OG0000054	Vcard_DToL09711-RA	XP_034826915.1, XP_034832271.1
OG0000056	Vcard_DToL16041-RA	XP_034837121.1
OG0000056	Vcard_DToL16040-RA	XP_034837196.1
OG0000057	Vcard_DToL13794-RA	XP_034835052.1
OG0000057	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA	XP_034824341.1, XP_034824712.1
OG0000062	Vcard_DToL05449-RA	XP_034824319.1
OG0000062	Vcard_DToL17485-RA	XP_034838466.1
OG0000062	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1
OG0000063	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA	XP_034826742.1
OG0000063	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA	XP_034826743.1
OG0000063	Vcard_DToL09866-RA	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1
OG0000063	Vcard_DToL07425-RA	XP_034830217.1
OG0000066	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA	XP_034836237.1, XP_034836074.1, XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	Vcard_DToL15559-RA, Vcard_DToL15557-RA	XP_034826553.1, XP_034825998.1
OG0000067	Vcard_DToL15558-RA	XP_034836359.1, XP_034836360.1, XP_034836439.1
OG0000068	Vcard_DToL16340-RA	XP_034826565.1, XP_034826563.1
OG0000069	Vcard_DToL07819-RA, Vcard_DToL07818-RA	XP_034827836.1, XP_034827837.1, XP_034827503.1
OG0000071	Vcard_DToL11272-RA	XP_034832601.1
OG0000073	Vcard_DToL06863-RA	XP_034827345.1
OG0000073	Vcard_DToL06621-RA	XP_034827002.1
OG0000073	Vcard_DToL06614-RA	XP_034827001.1
OG0000075	Vcard_DToL04138-RA	XP_034830498.1
OG0000075	Vcard_DToL04124-RA	XP_034830943.1
OG0000075	Vcard_DToL04270-RA	XP_034830541.1
OG0000076	Vcard_DToL18781-RA	XP_034838983.1
OG0000078	Vcard_DToL15658-RA, Vcard_DToL15656-RA	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1, XP_034827858.1, XP_034833688.1
OG0000079	Vcard_DToL07660-RA, Vcard_DToL05246-RA, Vcard_DToL05221-RA	XP_034830103.1, XP_034830100.1, XP_034830101.1
OG0000080	Vcard_DToL16424-RA, Vcard_DToL04549-RA	XP_034830021.1
OG0000082	Vcard_DToL17276-RA	XP_034837737.1
OG0000082	Vcard_DToL17266-RA	XP_034837495.1
OG0000082	Vcard_DToL17337-RA	XP_034837588.1
OG0000084	Vcard_DToL07564-RA	XP_034829605.1
OG0000085	Vcard_DToL03094-RA	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1
OG0000085	Vcard_DToL03096-RA, Vcard_DToL03095-RA	XP_034829482.1, XP_034829481.1
OG0000088	Vcard_DToL06952-RA	XP_034826751.1
OG0000089	Vcard_DToL17977-RA	XP_034833735.1, XP_034833787.1, XP_034831243.1, XP_034837631.1, XP_034837907.1, XP_034838533.1, XP_034838261.1, XP_034838260.1, XP_034831244.1, XP_034825404.1
OG0000090	Vcard_DToL04847-RA	XP_034824729.1
OG0000092	Vcard_DToL04259-RA	XP_034830971.1
OG0000093	Vcard_DToL17257-RA	XP_034837580.1
OG0000093	Vcard_DToL17260-RA	XP_034837597.1
OG0000093	Vcard_DToL17256-RA	XP_034837561.1
OG0000094	Vcard_DToL15547-RA	XP_034826064.1, XP_034826549.1
OG0000094	Vcard_DToL15561-RA	XP_034826299.1, XP_034826552.1
OG0000095	Vcard_DToL02427-RA, Vcard_DToL02425-RA	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	Vcard_DToL06347-RA	XP_034826970.1, XP_034826971.1
OG0000096	Vcard_DToL06351-RA	XP_034826805.1
OG0000096	Vcard_DToL06349-RA	XP_034826807.1, XP_034826966.1
OG0000097	Vcard_DToL11327-RA, Vcard_DToL11326-RA	XP_034832726.1
OG0000098	Vcard_DToL02960-RA	XP_034828987.1
OG0000100	Vcard_DToL12906-RA	XP_034834955.1
OG0000100	Vcard_DToL12904-RA	XP_034834638.1
OG0000101	Vcard_DToL09191-RA	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000101	Vcard_DToL10113-RA	XP_034833313.1
OG0000102	Vcard_DToL07821-RA, Vcard_DToL07817-RA	XP_034827509.1
OG0000103	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA	XP_034827721.1
OG0000109	Vcard_DToL04719-RA	XP_034830263.1
OG0000110	Vcard_DToL07723-RA	XP_034828312.1
OG0000110	Vcard_DToL07721-RA, Vcard_DToL07720-RA	XP_034828311.1
OG0000111	Vcard_DToL10424-RA	XP_034828844.1
OG0000111	Vcard_DToL05298-RA	XP_034824587.1
OG0000111	Vcard_DToL05296-RA	XP_034824425.1
OG0000111	Vcard_DToL05301-RA	XP_034824419.1
OG0000115	Vcard_DToL16325-RA	XP_034825883.1
OG0000115	Vcard_DToL06773-RA	XP_034827053.1
OG0000115	Vcard_DToL16322-RA	XP_034825882.1
OG0000116	Vcard_DToL05226-RA	XP_034824340.1
OG0000116	Vcard_DToL07626-RA	XP_034830236.1
OG0000116	Vcard_DToL00399-RA	XP_034839409.1
OG0000117	Vcard_DToL08238-RA	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	Vcard_DToL08239-RA	XP_034828156.1, XP_034828155.1
OG0000119	Vcard_DToL03291-RA	XP_034829500.1
OG0000122	Vcard_DToL04366-RA	XP_034830824.1
OG0000124	Vcard_DToL13182-RA	XP_034835580.1
OG0000125	Vcard_DToL15852-RA	XP_034825845.1
OG0000125	Vcard_DToL15854-RA	XP_034825844.1, XP_034825846.1
OG0000128	Vcard_DToL13576-RA	XP_034835222.1
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	XP_034835626.1, XP_034835625.1
OG0000128	Vcard_DToL13581-RA	XP_034835270.1
OG0000129	Vcard_DToL16688-RA	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1
OG0000131	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA	XP_034837858.1, XP_034838212.1
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA	XP_034834241.1, XP_034833542.1
OG0000133	Vcard_DToL17871-RA	XP_034838137.1
OG0000134	Vcard_DToL15581-RA	XP_034825942.1
OG0000134	Vcard_DToL15620-RA	XP_034826234.1
OG0000134	Vcard_DToL15582-RA	XP_034825941.1
OG0000138	Vcard_DToL06226-RA, Vcard_DToL06227-RA	XP_034840957.1, XP_034840968.1
OG0000138	Vcard_DToL06225-RA	XP_034823988.1, XP_034823996.1
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	XP_034824894.1
OG0000139	Vcard_DToL14664-RA	XP_034833832.1
OG0000139	Vcard_DToL15052-RA	XP_034835919.1
OG0000140	Vcard_DToL16920-RA	XP_034836898.1
OG0000140	Vcard_DToL16881-RA	XP_034836751.1
OG0000140	Vcard_DToL16917-RA	XP_034836899.1
OG0000140	Vcard_DToL16916-RA	XP_034836915.1
OG0000141	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA	XP_034829113.1, XP_034829114.1
OG0000142	Vcard_DToL18406-RA	XP_034827901.1
OG0000142	Vcard_DToL18394-RA	XP_034827778.1
OG0000142	Vcard_DToL18404-RA	XP_034827898.1
OG0000143	Vcard_DToL08257-RA	XP_034827819.1
OG0000143	Vcard_DToL08259-RA	XP_034827875.1, XP_034827552.1
OG0000144	Vcard_DToL09834-RA	XP_034833620.1, XP_034833621.1, XP_034833240.1
OG0000145	Vcard_DToL04524-RA	XP_034830807.1, XP_034830804.1, XP_034830805.1
OG0000147	Vcard_DToL09992-RA, Vcard_DToL09991-RA	XP_034833225.1, XP_034833224.1
OG0000147	Vcard_DToL09989-RA, Vcard_DToL09990-RA	XP_034833227.1, XP_034830230.1
OG0000149	Vcard_DToL10477-RA	XP_034828465.1
OG0000150	Vcard_DToL07759-RA	XP_034824833.1, XP_034839952.1
OG0000152	Vcard_DToL01538-RA	XP_034833337.1
OG0000152	Vcard_DToL01542-RA	XP_034833675.1
OG0000153	Vcard_DToL04750-RA	XP_034830680.1
OG0000154	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA	XP_034836981.1
OG0000155	Vcard_DToL15439-RA	XP_034836186.1
OG0000156	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA	XP_034835010.1
OG0000162	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA	XP_034835629.1, XP_034835505.1
OG0000163	Vcard_DToL13540-RA	XP_034835691.1, XP_034835688.1
OG0000164	Vcard_DToL18259-RA	XP_034837112.1, XP_034827829.1
OG0000165	Vcard_DToL03458-RA, Vcard_DToL03457-RA	XP_034825339.1
OG0000166	Vcard_DToL10237-RA	XP_034833378.1
OG0000166	Vcard_DToL10075-RA	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	Vcard_DToL04638-RA	XP_034830390.1
OG0000167	Vcard_DToL17484-RA	XP_034838582.1
OG0000169	Vcard_DToL13220-RA	XP_034835310.1
OG0000169	Vcard_DToL13222-RA	XP_034835217.1
OG0000169	Vcard_DToL13212-RA	XP_034835563.1
OG0000170	Vcard_DToL09757-RA	XP_034833640.1, XP_034833641.1
OG0000171	Vcard_DToL06760-RA	XP_034827023.1
OG0000171	Vcard_DToL06758-RA	XP_034827103.1
OG0000172	Vcard_DToL08055-RA	XP_034827882.1, XP_034827883.1
OG0000172	Vcard_DToL08028-RA	XP_034827893.1
OG0000174	Vcard_DToL01198-RA, Vcard_DToL01197-RA	XP_034837309.1
OG0000174	Vcard_DToL00231-RA	XP_034839773.1
OG0000175	Vcard_DToL16841-RA	XP_034837022.1, XP_034837023.1
OG0000175	Vcard_DToL08937-RA	XP_034840446.1
OG0000175	Vcard_DToL09691-RA	XP_034832261.1
OG0000178	Vcard_DToL16798-RA	XP_034836827.1
OG0000178	Vcard_DToL16964-RA	XP_034836823.1
OG0000180	Vcard_DToL00694-RA	XP_034832218.1
OG0000181	Vcard_DToL11362-RA, Vcard_DToL11365-RA	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	Vcard_DToL04801-RA	XP_034824717.1
OG0000183	Vcard_DToL13208-RA	XP_034835115.1
OG0000184	Vcard_DToL04778-RA	XP_034824593.1
OG0000184	Vcard_DToL10518-RA	XP_034828820.1
OG0000184	Vcard_DToL10517-RA	XP_034828761.1
OG0000185	Vcard_DToL11157-RA	XP_034832652.1
OG0000185	Vcard_DToL11158-RA	XP_034832653.1
OG0000185	Vcard_DToL11159-RA	XP_034832651.1
OG0000186	Vcard_DToL18093-RA	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	Vcard_DToL18267-RA	XP_034827454.1
OG0000189	Vcard_DToL12109-RA, Vcard_DToL12110-RA	XP_034831349.1
OG0000190	Vcard_DToL10323-RA	XP_034828878.1, XP_034828877.1
OG0000190	Vcard_DToL10320-RA	XP_034828527.1
OG0000191	Vcard_DToL00710-RA, Vcard_DToL00708-RA	XP_034839817.1
OG0000193	Vcard_DToL10620-RA	XP_034828385.1
OG0000193	Vcard_DToL10410-RA, Vcard_DToL10411-RA	XP_034828838.1
OG0000193	Vcard_DToL10412-RA	XP_034828613.1
OG0000194	Vcard_DToL18679-RA	XP_034836309.1, XP_034836913.1, XP_034836914.1, XP_034836894.1, XP_034835085.1, XP_034837912.1, XP_034825820.1, XP_034839207.1, XP_034826877.1, XP_034836912.1, XP_034835088.1, XP_034826328.1, XP_034825197.1, XP_034839208.1, XP_034827094.1, XP_034824411.1, XP_034838359.1
OG0000196	Vcard_DToL01176-RA, Vcard_DToL01174-RA	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	Vcard_DToL00934-RA	XP_034835441.1, XP_034835445.1
OG0000197	Vcard_DToL02361-RA	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	Vcard_DToL08912-RA	XP_034840531.1, XP_034840532.1
OG0000198	Vcard_DToL08911-RA	XP_034839995.1
OG0000200	Vcard_DToL04305-RA	XP_034830828.1
OG0000200	Vcard_DToL04304-RA	XP_034830291.1
OG0000201	Vcard_DToL12096-RA, Vcard_DToL12097-RA	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000202	Vcard_DToL05319-RA, Vcard_DToL05320-RA	XP_034824228.1, XP_034824229.1
OG0000203	Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA	XP_034830571.1
OG0000205	Vcard_DToL03236-RA	XP_034829187.1
OG0000205	Vcard_DToL03235-RA	XP_034826972.1, XP_034826958.1, XP_034826957.1
OG0000206	Vcard_DToL18698-RA	XP_034838830.1, XP_034839065.1
OG0000208	Vcard_DToL06230-RA	XP_034831041.1
OG0000209	Vcard_DToL14070-RA	XP_034836601.1
OG0000209	Vcard_DToL12081-RA	XP_034831212.1
OG0000209	Vcard_DToL14068-RA	XP_034827751.1
OG0000210	Vcard_DToL06539-RA	XP_034827061.1
OG0000210	Vcard_DToL06537-RA	XP_034827269.1, XP_034827331.1
OG0000210	Vcard_DToL06540-RA	XP_034827268.1
OG0000212	Vcard_DToL05123-RA	XP_034824811.1
OG0000212	Vcard_DToL05122-RA	XP_034824810.1, XP_034824322.1
OG0000213	Vcard_DToL02226-RA	XP_034841107.1
OG0000213	Vcard_DToL02222-RA	XP_034841109.1
OG0000213	Vcard_DToL02219-RA, Vcard_DToL02218-RA	XP_034841116.1
OG0000214	Vcard_DToL06709-RA	XP_034827179.1
OG0000215	Vcard_DToL15777-RA	XP_034826616.1, XP_034826619.1, XP_034826617.1
OG0000215	Vcard_DToL03753-RA	XP_034825574.1
OG0000215	Vcard_DToL15776-RA	XP_034826618.1
OG0000216	Vcard_DToL05432-RA, Vcard_DToL05434-RA	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1
OG0000217	Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA, Vcard_DToL01455-RA	XP_034832132.1, XP_034831727.1
OG0000218	Vcard_DToL08466-RA	XP_034840404.1, XP_034840405.1
OG0000219	Vcard_DToL15870-RA	XP_034826674.1
OG0000219	Vcard_DToL04565-RA	XP_034830924.1, XP_034830922.1
OG0000219	Vcard_DToL04562-RA	XP_034830712.1, XP_034830713.1
OG0000220	Vcard_DToL05227-RA	XP_034824239.1, XP_034832563.1, XP_034832460.1
OG0000220	Vcard_DToL05229-RA	XP_034824238.1
OG0000221	Vcard_DToL05219-RA	XP_034824881.1, XP_034824880.1
OG0000221	Vcard_DToL05218-RA	XP_034824251.1
OG0000221	Vcard_DToL05217-RA	XP_034824882.1, XP_034837734.1
OG0000222	Vcard_DToL18695-RA, Vcard_DToL18696-RA	XP_034838829.1
OG0000222	Vcard_DToL18700-RA	XP_034838833.1, XP_034838832.1
OG0000224	Vcard_DToL10645-RA	XP_034828537.1
OG0000228	Vcard_DToL17482-RA	XP_034838358.1
OG0000228	Vcard_DToL18009-RA, Vcard_DToL18001-RA, Vcard_DToL18011-RA, Vcard_DToL18017-RA, Vcard_DToL18005-RA	XP_034838347.1
OG0000229	Vcard_DToL14725-RA	XP_034834094.1
OG0000229	Vcard_DToL00962-RA	XP_034832472.1
OG0000230	Vcard_DToL07194-RA	XP_034830126.1
OG0000230	Vcard_DToL18167-RA	XP_034838272.1
OG0000230	Vcard_DToL07199-RA	XP_034830058.1
OG0000232	Vcard_DToL07956-RA	XP_034827131.1
OG0000233	Vcard_DToL04978-RA	XP_034824533.1, XP_034824532.1
OG0000233	Vcard_DToL04976-RA	XP_034824539.1, XP_034824540.1, XP_034824538.1, XP_034824537.1
OG0000234	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA	XP_034838523.1
OG0000235	Vcard_DToL03594-RA	XP_034825165.1
OG0000235	Vcard_DToL03595-RA	XP_034825698.1, XP_034825699.1, XP_034825700.1
OG0000236	Vcard_DToL11988-RA	XP_034831322.1
OG0000236	Vcard_DToL11986-RA	XP_034831587.1, XP_034831148.1
OG0000237	Vcard_DToL09774-RA	XP_034833180.1
OG0000237	Vcard_DToL09775-RA	XP_034833635.1
OG0000238	Vcard_DToL08425-RA	XP_034840526.1, XP_034840527.1
OG0000238	Vcard_DToL06802-RA	XP_034826156.1, XP_034826684.1
OG0000239	Vcard_DToL04533-RA	XP_034830631.1
OG0000239	Vcard_DToL04531-RA, Vcard_DToL04532-RA	XP_034830633.1, XP_034830635.1, XP_034830636.1, XP_034830634.1
OG0000245	Vcard_DToL15030-RA	XP_034830815.1, XP_034832174.1, XP_034837443.1
OG0000246	Vcard_DToL03003-RA	XP_034829444.1
OG0000247	Vcard_DToL15273-RA	XP_034836061.1
OG0000247	Vcard_DToL15275-RA	XP_034836052.1
OG0000248	Vcard_DToL18456-RA	XP_034827678.1
OG0000248	Vcard_DToL18500-RA	XP_034828141.1
OG0000249	Vcard_DToL13886-RA	XP_034836348.1
OG0000249	Vcard_DToL13885-RA	XP_034836346.1, XP_034836347.1
OG0000250	Vcard_DToL18445-RA	XP_034827686.1
OG0000252	Vcard_DToL06474-RA	XP_034827066.1
OG0000254	Vcard_DToL17610-RA	XP_034838643.1
OG0000256	Vcard_DToL01480-RA	XP_034836323.1, XP_034836283.1, XP_034841123.1
OG0000257	Vcard_DToL07238-RA	XP_034829640.1
OG0000257	Vcard_DToL08163-RA, Vcard_DToL08160-RA	XP_034828074.1
OG0000258	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA, Vcard_DToL13990-RA	XP_034836671.1
OG0000259	Vcard_DToL09794-RA	XP_034833629.1
OG0000260	Vcard_DToL17440-RA	XP_034838428.1, XP_034838425.1
OG0000262	Vcard_DToL14416-RA	XP_034833708.1
OG0000262	Vcard_DToL14415-RA	XP_034834186.1
OG0000263	Vcard_DToL09562-RA	XP_034838033.1, XP_034838344.1, XP_034838028.1, XP_034838020.1, XP_034838030.1, XP_034838343.1, XP_034838031.1, XP_034838032.1
OG0000264	Vcard_DToL05256-RA	XP_034824607.1
OG0000264	Vcard_DToL03377-RA, Vcard_DToL05269-RA	XP_034824374.1, XP_034824373.1, XP_034824372.1
OG0000271	Vcard_DToL17340-RA	XP_034837709.1, XP_034837711.1, XP_034837710.1
OG0000272	Vcard_DToL16752-RA, Vcard_DToL07549-RA	XP_034825898.1, XP_034825899.1
OG0000273	Vcard_DToL10510-RA	XP_034828712.1, XP_034840815.1
OG0000273	Vcard_DToL10633-RA	XP_034828390.1, XP_034828389.1
OG0000274	Vcard_DToL11340-RA	XP_034832667.1
OG0000274	Vcard_DToL11336-RA	XP_034832728.1
OG0000276	Vcard_DToL01827-RA	XP_034823994.1, XP_034823993.1
OG0000277	Vcard_DToL04081-RA	XP_034830350.1
OG0000277	Vcard_DToL04080-RA, Vcard_DToL04079-RA	XP_034830484.1
OG0000279	Vcard_DToL02764-RA	XP_034829408.1
OG0000279	Vcard_DToL02763-RA	XP_034829232.1
OG0000281	Vcard_DToL08878-RA	XP_034840575.1, XP_034840576.1
OG0000281	Vcard_DToL12847-RA	XP_034834590.1
OG0000283	Vcard_DToL04959-RA	XP_034824564.1
OG0000284	Vcard_DToL02093-RA	XP_034824087.1
OG0000284	Vcard_DToL02096-RA	XP_034841364.1
OG0000284	Vcard_DToL02094-RA	XP_034824088.1
OG0000285	Vcard_DToL10459-RA	XP_034828604.1
OG0000285	Vcard_DToL10455-RA, Vcard_DToL10457-RA	XP_034828625.1
OG0000286	Vcard_DToL04330-RA	XP_034830685.1
OG0000286	Vcard_DToL04329-RA	XP_034830592.1
OG0000287	Vcard_DToL10932-RA	XP_034832836.1
OG0000287	Vcard_DToL11025-RA	XP_034832744.1
OG0000289	Vcard_DToL04403-RA	XP_034830276.1
OG0000289	Vcard_DToL04404-RA	XP_034830281.1
OG0000289	Vcard_DToL04405-RA, Vcard_DToL04406-RA	XP_034830280.1
OG0000290	Vcard_DToL05344-RA	XP_034824500.1
OG0000291	Vcard_DToL04534-RA	XP_034830622.1, XP_034830620.1, XP_034830621.1, XP_034830625.1, XP_034830623.1, XP_034830624.1
OG0000292	Vcard_DToL05235-RA, Vcard_DToL10047-RA, Vcard_DToL10050-RA, Vcard_DToL10049-RA	XP_034833341.1
OG0000293	Vcard_DToL12505-RA	XP_034834414.1
