Orthogroup	Heliconius_melpomene_melpomene	Vanessa_cardui
OG0000023	HMEL031142g1.t1	Vcard_DToL09569-RA, Vcard_DToL02591-RA, Vcard_DToL09652-RA, Vcard_DToL12381-RA
OG0000023	HMEL033442g1.t1, HMEL030258g1.t1	Vcard_DToL16843-RA, Vcard_DToL12503-RA, Vcard_DToL01875-RA
OG0000023	HMEL038036g1.t1	Vcard_DToL09466-RA, Vcard_DToL18021-RA, Vcard_DToL13274-RA, Vcard_DToL08248-RA
OG0000024	HMEL012610g1.t1	Vcard_DToL09638-RA
OG0000024	HMEL002645g1.t1, HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1, HMEL012607g1.t1, HMEL012608g1.t1, HMEL010265g1.t1, HMEL012609g1.t1, HMEL010268g1.t1	Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA, Vcard_DToL09635-RA, Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	Vcard_DToL17634-RA
OG0000028	HMEL004610g1.t1, HMEL014440g1.t1	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA
OG0000028	HMEL022519g1.t1	Vcard_DToL18861-RA
OG0000029	HMEL003326g1.t1	Vcard_DToL02471-RA, Vcard_DToL02470-RA
OG0000030	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1	Vcard_DToL03994-RA
OG0000031	HMEL017587g1.t1, HMEL031613g1.t1, HMEL017283g1.t1, HMEL036334g1.t1, HMEL022124g1.t1, HMEL034216g1.t1, HMEL037646g1.t1, HMEL034645g1.t1, HMEL031436g1.t1, HMEL030105g1.t1, HMEL035683g1.t1, HMEL015624g1.t1, HMEL033688g1.t1, HMEL035475g1.t1, HMEL034126g1.t1, HMEL035750g1.t1, HMEL030037g1.t1, HMEL036916g1.t1, HMEL035917g1.t1, HMEL032654g1.t1, HMEL031633g1.t1, HMEL034340g1.t1, HMEL035692g1.t1, HMEL033329g1.t1, HMEL006082g1.t1, HMEL033192g1.t1, HMEL030783g1.t1, HMEL030314g1.t1, HMEL035840g1.t1, HMEL033794g1.t1, HMEL035444g1.t1, HMEL014963g1.t1, HMEL037193g1.t1, HMEL032003g1.t1, HMEL034168g1.t1, HMEL006868g1.t1, HMEL032266g1.t1, HMEL021670g1.t1, HMEL034218g1.t1, HMEL034560g1.t1, HMEL033685g1.t1, HMEL035355g1.t1, HMEL033511g1.t1, HMEL031327g1.t1, HMEL032685g1.t1, HMEL036418g1.t1, HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1	Vcard_DToL09361-RA
OG0000034	HMEL033982g1.t1	Vcard_DToL03370-RA
OG0000034	HMEL033974g1.t1	Vcard_DToL03379-RA
OG0000035	HMEL016208g1.t1, HMEL036401g1.t1, HMEL034209g1.t1	Vcard_DToL15716-RA
OG0000035	HMEL005543g1.t1	Vcard_DToL00728-RA
OG0000035	HMEL036120g1.t1	Vcard_DToL18302-RA
OG0000035	HMEL034208g1.t1, HMEL036402g1.t1, HMEL030139g1.t1, HMEL035534g1.t1, HMEL036982g1.t1, HMEL033745g1.t1, HMEL035878g1.t1, HMEL031609g1.t1	Vcard_DToL05261-RA, Vcard_DToL15743-RA, Vcard_DToL03848-RA
OG0000037	HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1	Vcard_DToL07760-RA
OG0000038	HMEL014479g1.t1	Vcard_DToL16690-RA
OG0000039	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA
OG0000039	HMEL017153-RA	Vcard_DToL07681-RA, Vcard_DToL07680-RA
OG0000041	HMEL032630g1.t1	Vcard_DToL13154-RA
OG0000041	HMEL004253g1.t1	Vcard_DToL15601-RA, Vcard_DToL15602-RA
OG0000041	HMEL004252g1.t1	Vcard_DToL15605-RA
OG0000045	HMEL036019g1.t1	Vcard_DToL10351-RA
OG0000045	HMEL037144g1.t1	Vcard_DToL07613-RA
OG0000045	HMEL014163g1.t1	Vcard_DToL07709-RA
OG0000045	HMEL034418g1.t1	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA
OG0000046	HMEL014795g1.t1	Vcard_DToL03283-RA
OG0000046	HMEL010111g1.t1	Vcard_DToL03286-RA
OG0000049	HMEL002471-RA	Vcard_DToL06466-RA
OG0000049	HMEL003584-RA	Vcard_DToL06452-RA
OG0000049	HMEL008772-RA	Vcard_DToL06451-RA
OG0000050	HMEL017073-RA	Vcard_DToL13078-RA
OG0000050	HMEL022575-RA	Vcard_DToL13075-RA
OG0000052	HMEL013845g1.t1	Vcard_DToL12448-RA, Vcard_DToL12449-RA
OG0000053	HMEL030922g1.t1	Vcard_DToL01328-RA
OG0000053	HMEL009070g1.t1	Vcard_DToL01331-RA
OG0000053	HMEL009072g1.t1	Vcard_DToL01333-RA
OG0000053	HMEL009071g1.t1	Vcard_DToL01332-RA
OG0000053	HMEL009073g1.t1	Vcard_DToL01335-RA
OG0000054	HMEL018015g1.t1	Vcard_DToL09709-RA
OG0000054	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1, HMEL031506g1.t1, HMEL031507g1.t1	Vcard_DToL09712-RA
OG0000054	HMEL031505g1.t1	Vcard_DToL09711-RA
OG0000055	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1	Vcard_DToL13935-RA, Vcard_DToL18184-RA
OG0000055	HMEL033237g1.t1	Vcard_DToL18025-RA
OG0000056	HMEL010939-RA	Vcard_DToL16041-RA
OG0000056	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA	Vcard_DToL16040-RA
OG0000057	HMEL003534g1.t1, HMEL032313g1.t1	Vcard_DToL13794-RA
OG0000057	HMEL032312g1.t1	Vcard_DToL13796-RA
OG0000057	HMEL006997g1.t1	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000058	HMEL033297g1.t1	Vcard_DToL16303-RA, Vcard_DToL07362-RA
OG0000058	HMEL033633g1.t1, HMEL031971g1.t1	Vcard_DToL02890-RA
OG0000062	HMEL003604g1.t1	Vcard_DToL18008-RA
OG0000063	HMEL034759g1.t1	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	HMEL034760g1.t1	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA
OG0000063	HMEL008897g1.t1	Vcard_DToL07425-RA
OG0000066	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	HMEL003229g1.t1	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000068	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1	Vcard_DToL16340-RA
OG0000068	HMEL031345g1.t1, HMEL011001g1.t1, HMEL011002g1.t1, HMEL031342g1.t1, HMEL031343g1.t1	Vcard_DToL16337-RA
OG0000071	HMEL034508g1.t1, HMEL031688g1.t1, HMEL036457g1.t1, HMEL031689g1.t1, HMEL037575g1.t1	Vcard_DToL15245-RA
OG0000073	HMEL012052g1.t1	Vcard_DToL06863-RA
OG0000073	HMEL015732g1.t1	Vcard_DToL06621-RA
OG0000073	HMEL015726g1.t1	Vcard_DToL06614-RA
OG0000075	HMEL002852g1.t1	Vcard_DToL04138-RA
OG0000075	HMEL032963g1.t1	Vcard_DToL04124-RA
OG0000075	HMEL032798g1.t1, HMEL022365g1.t1	Vcard_DToL04270-RA
OG0000076	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1	Vcard_DToL18781-RA
OG0000078	HMEL010630g1.t1, HMEL030578g1.t1	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000079	HMEL032049g1.t1, HMEL020697g1.t1	Vcard_DToL05246-RA
OG0000079	HMEL037179g1.t1	Vcard_DToL05221-RA
OG0000082	HMEL007401g1.t1	Vcard_DToL17276-RA
OG0000082	HMEL030062g1.t1	Vcard_DToL17266-RA
OG0000084	HMEL015484g1.t1	Vcard_DToL07564-RA
OG0000088	HMEL003756g1.t1	Vcard_DToL06950-RA
OG0000088	HMEL003755g1.t1	Vcard_DToL06952-RA
OG0000090	HMEL010419g1.t1	Vcard_DToL04847-RA
OG0000091	HMEL035854g1.t1	Vcard_DToL15016-RA
OG0000092	HMEL032941g1.t1, HMEL009597g1.t1, HMEL012374g1.t1, HMEL032947g1.t1, HMEL003048g1.t1, HMEL016489g1.t1, HMEL012376g1.t1, HMEL007577g1.t1, HMEL014517g1.t1	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	HMEL006620g1.t1	Vcard_DToL17257-RA
OG0000093	HMEL005989g1.t1	Vcard_DToL17260-RA
OG0000093	HMEL003398g1.t1	Vcard_DToL17256-RA
OG0000094	HMEL015375g1.t1	Vcard_DToL15547-RA
OG0000094	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1	Vcard_DToL15561-RA
OG0000095	HMEL003312g1.t1	Vcard_DToL02427-RA, Vcard_DToL02425-RA
OG0000096	HMEL034898g1.t1	Vcard_DToL06347-RA
OG0000096	HMEL006028g1.t1	Vcard_DToL06351-RA
OG0000096	HMEL034896g1.t1	Vcard_DToL06349-RA
OG0000097	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1	Vcard_DToL11327-RA, Vcard_DToL11326-RA
OG0000098	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1	Vcard_DToL02960-RA
OG0000100	HMEL016056g1.t1	Vcard_DToL12906-RA
OG0000100	HMEL016051g1.t1, HMEL036651g1.t1, HMEL016050g1.t1	Vcard_DToL12907-RA
OG0000100	HMEL016058g1.t1	Vcard_DToL12904-RA
OG0000101	HMEL013064g1.t1, HMEL035350g1.t1	Vcard_DToL09191-RA
OG0000102	HMEL003225g1.t1	Vcard_DToL07821-RA
OG0000102	HMEL038139g1.t1, HMEL033321g1.t1, HMEL033320g1.t1, HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1	Vcard_DToL07817-RA
OG0000103	HMEL004144g1.t1	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA
OG0000108	HMEL017787g1.t1, HMEL031414g1.t1	Vcard_DToL18043-RA
OG0000109	HMEL032659g1.t1	Vcard_DToL04718-RA
OG0000109	HMEL032662g1.t1	Vcard_DToL04712-RA
OG0000110	HMEL008599g1.t1	Vcard_DToL07721-RA
OG0000111	HMEL017867g1.t1	Vcard_DToL10424-RA
OG0000111	HMEL016755g1.t1	Vcard_DToL05298-RA
OG0000113	HMEL033908g1.t1	Vcard_DToL03481-RA
OG0000114	HMEL015513g1.t1, HMEL008318g1.t1	Vcard_DToL07873-RA
OG0000114	HMEL012182g1.t1	Vcard_DToL07876-RA, Vcard_DToL09470-RA
OG0000115	HMEL005318g1.t1	Vcard_DToL16325-RA
OG0000115	HMEL017991g1.t1	Vcard_DToL06773-RA
OG0000115	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1	Vcard_DToL16322-RA
OG0000116	HMEL017091g1.t1	Vcard_DToL05226-RA
OG0000116	HMEL037149g1.t1	Vcard_DToL07626-RA
OG0000116	HMEL013498g1.t1	Vcard_DToL00399-RA
OG0000117	HMEL033309g1.t1	Vcard_DToL08238-RA
OG0000117	HMEL033310g1.t1, HMEL002121g1.t1	Vcard_DToL08239-RA
OG0000119	HMEL010108g1.t1	Vcard_DToL03290-RA
OG0000122	HMEL032771g1.t1	Vcard_DToL04366-RA
OG0000122	HMEL032720g1.t1	Vcard_DToL14073-RA, Vcard_DToL17995-RA
OG0000124	HMEL011266g1.t1, HMEL032622g1.t1	Vcard_DToL13182-RA
OG0000125	HMEL003538g1.t1, HMEL030582g1.t1	Vcard_DToL15852-RA
OG0000125	HMEL013672g1.t1	Vcard_DToL15854-RA
OG0000128	HMEL032417g1.t1, HMEL032418g1.t1	Vcard_DToL13576-RA
OG0000128	HMEL007085g1.t1	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	HMEL032421g1.t1	Vcard_DToL13581-RA
OG0000129	HMEL014468g1.t1	Vcard_DToL16688-RA
OG0000130	HMEL030456g1.t1, HMEL032155g1.t1, HMEL034268g1.t1, HMEL030099g1.t1, HMEL037302g1.t1, HMEL033470g1.t1, HMEL035814g1.t1, HMEL036434g1.t1, HMEL035812g1.t1, HMEL034269g1.t1, HMEL015006g1.t1, HMEL035016g1.t1, HMEL034917g1.t1, HMEL032314g1.t1, HMEL035813g1.t1, HMEL030524g1.t1, HMEL037301g1.t1, HMEL032215g1.t1, HMEL030310g1.t1, HMEL030529g1.t1, HMEL030455g1.t1, HMEL037667g1.t1, HMEL037337g1.t1, HMEL034851g1.t1, HMEL034890g1.t1, HMEL035725g1.t1, HMEL033469g1.t1, HMEL034834g1.t1, HMEL036874g1.t1, HMEL030525g1.t1	Vcard_DToL07751-RA
OG0000131	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA
OG0000132	HMEL037936g1.t1, HMEL037935g1.t1	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA
OG0000133	HMEL010958g1.t1	Vcard_DToL17871-RA
OG0000133	HMEL013253g1.t1	Vcard_DToL17888-RA
OG0000134	HMEL030656g1.t1	Vcard_DToL15581-RA
OG0000134	HMEL017157g1.t1	Vcard_DToL15620-RA
OG0000137	HMEL031221g1.t1	Vcard_DToL01909-RA
OG0000138	HMEL013861g1.t1	Vcard_DToL06227-RA
OG0000138	HMEL013862g1.t1	Vcard_DToL06225-RA
OG0000138	HMEL031800g1.t1, HMEL031799g1.t1	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	HMEL004636g1.t1	Vcard_DToL14664-RA
OG0000139	HMEL009670g1.t1	Vcard_DToL15052-RA
OG0000140	HMEL015840g1.t1	Vcard_DToL16920-RA
OG0000140	HMEL015842g1.t1	Vcard_DToL16881-RA, Vcard_DToL16917-RA, Vcard_DToL16916-RA
OG0000141	HMEL016237g1.t1	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA
OG0000142	HMEL013887g1.t1	Vcard_DToL18406-RA
OG0000143	HMEL033259g1.t1	Vcard_DToL08257-RA
OG0000143	HMEL010205g1.t1	Vcard_DToL08259-RA
OG0000144	HMEL009988g1.t1, HMEL011225g1.t1	Vcard_DToL09834-RA
OG0000145	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1	Vcard_DToL04524-RA
OG0000147	HMEL022638g1.t1, HMEL036387g1.t1, HMEL036388g1.t1	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000149	HMEL036082g1.t1	Vcard_DToL10477-RA
OG0000150	HMEL032164g1.t1, HMEL030981g1.t1, HMEL030115g1.t1	Vcard_DToL07759-RA
OG0000150	HMEL036212g1.t1	Vcard_DToL15404-RA
OG0000152	HMEL003035g1.t1	Vcard_DToL01538-RA
OG0000152	HMEL006925g1.t1	Vcard_DToL01542-RA
OG0000153	HMEL013104g1.t1	Vcard_DToL04750-RA
