Orthogroup	Heliconius_melpomene_melpomene	Vanessa_tameamea
OG0000002	HMEL030601g1.t1	XP_026483300.1
OG0000003	HMEL035669g1.t1, HMEL033289g1.t1, HMEL030070g1.t1, HMEL035646g1.t1, HMEL037900g1.t1	XP_026493386.1, XP_026496911.1
OG0000004	HMEL022560-RA	XP_026497789.1
OG0000004	HMEL022655-RA, HMEL022629-RA, HMEL022614-RA, HMEL022644-RA, HMEL022672-RA	XP_026497757.1, XP_026497758.1
OG0000004	HMEL022631-RA, HMEL022626-RA	XP_026497760.1
OG0000004	HMEL022671-RA, HMEL022653-RA	XP_026497755.1, XP_026497761.1, XP_026497765.1
OG0000006	HMEL032301g1.t1, HMEL035383g1.t1, HMEL032393g1.t1, HMEL034952g1.t1	XP_026484138.1
OG0000006	HMEL035992g1.t1	XP_026490096.1
OG0000007	HMEL012825g1.t1	XP_026496812.1
OG0000007	HMEL030866g1.t1	XP_026494722.1
OG0000007	HMEL009008g1.t1	XP_026487005.1
OG0000007	HMEL003519g1.t1	XP_026498823.1
OG0000007	HMEL013136g1.t1	XP_026489575.1
OG0000007	HMEL012399g1.t1	XP_026487630.1
OG0000009	HMEL037374g1.t1	XP_026490612.1
OG0000009	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1	XP_026490614.1
OG0000009	HMEL011209g1.t1	XP_026490572.1, XP_026490619.1, XP_026490625.1, XP_026490623.1, XP_026490624.1, XP_026490596.1
OG0000010	HMEL037296g1.t1, HMEL037345g1.t1, HMEL036450g1.t1, HMEL034110g1.t1, HMEL037876g1.t1, HMEL037066g1.t1, HMEL034744g1.t1, HMEL038161g1.t1, HMEL035453g1.t1, HMEL031117g1.t1, HMEL038199g1.t1, HMEL033360g1.t1, HMEL030253g1.t1, HMEL036516g1.t1, HMEL036778g1.t1, HMEL036451g1.t1, HMEL034073g1.t1, HMEL036876g1.t1, HMEL037298g1.t1, HMEL035912g1.t1, HMEL036875g1.t1, HMEL032887g1.t1, HMEL033631g1.t1, HMEL033993g1.t1, HMEL016586g1.t1, HMEL034585g1.t1, HMEL030544g1.t1, HMEL034097g1.t1, HMEL030561g1.t1, HMEL036219g1.t1, HMEL034138g1.t1, HMEL034136g1.t1, HMEL030542g1.t1, HMEL037347g1.t1, HMEL007231g1.t1, HMEL030511g1.t1, HMEL030787g1.t1, HMEL034111g1.t1, HMEL011051g1.t1, HMEL030344g1.t1, HMEL034134g1.t1, HMEL032604g1.t1, HMEL035846g1.t1, HMEL034184g1.t1, HMEL030536g1.t1, HMEL034109g1.t1, HMEL034013g1.t1, HMEL030044g1.t1, HMEL030696g1.t1, HMEL003163g1.t1, HMEL033403g1.t1, HMEL031571g1.t1, HMEL033485g1.t1, HMEL034702g1.t1, HMEL033995g1.t1, HMEL032496g1.t1, HMEL034137g1.t1, HMEL016177g1.t1, HMEL033951g1.t1, HMEL034163g1.t1, HMEL034386g1.t1, HMEL035784g1.t1, HMEL030537g1.t1, HMEL030543g1.t1, HMEL034133g1.t1, HMEL031755g1.t1, HMEL035797g1.t1, HMEL037346g1.t1, HMEL035529g1.t1, HMEL016311g1.t1, HMEL032886g1.t1, HMEL034166g1.t1, HMEL034096g1.t1, HMEL036217g1.t1, HMEL031773g1.t1, HMEL037297g1.t1, HMEL030540g1.t1, HMEL030538g1.t1, HMEL034164g1.t1, HMEL037295g1.t1	XP_026497515.1
OG0000011	HMEL020065g1.t1, HMEL033667g1.t1	XP_026500011.1
OG0000011	HMEL033610g1.t1	XP_026494591.1
OG0000011	HMEL033611g1.t1	XP_026494618.1
OG0000011	HMEL017520g1.t1	XP_026494592.1
OG0000011	HMEL003019g1.t1, HMEL003018g1.t1	XP_026487937.1
OG0000011	HMEL003020g1.t1, HMEL011718g1.t1	XP_026487932.1
OG0000011	HMEL003022g1.t1	XP_026487933.1
OG0000015	HMEL030079g1.t1, HMEL033896g1.t1, HMEL037847g1.t1, HMEL034395g1.t1, HMEL036893g1.t1, HMEL031133g1.t1, HMEL035029g1.t1, HMEL035518g1.t1, HMEL034506g1.t1, HMEL033490g1.t1, HMEL034351g1.t1, HMEL030733g1.t1, HMEL035468g1.t1, HMEL035603g1.t1, HMEL037861g1.t1, HMEL032105g1.t1, HMEL032984g1.t1, HMEL037129g1.t1, HMEL034393g1.t1, HMEL030317g1.t1, HMEL031486g1.t1, HMEL034360g1.t1, HMEL034001g1.t1, HMEL030041g1.t1, HMEL035210g1.t1, HMEL035791g1.t1, HMEL032867g1.t1, HMEL036616g1.t1, HMEL036112g1.t1, HMEL003753g1.t1, HMEL035728g1.t1, HMEL032409g1.t1, HMEL036111g1.t1, HMEL030651g1.t1, HMEL033092g1.t1, HMEL032088g1.t1, HMEL037901g1.t1, HMEL031611g1.t1, HMEL035395g1.t1, HMEL037912g1.t1, HMEL030502g1.t1, HMEL037097g1.t1, HMEL037051g1.t1, HMEL034557g1.t1, HMEL030676g1.t1, HMEL032445g1.t1, HMEL031465g1.t1, HMEL030084g1.t1, HMEL034695g1.t1, HMEL030655g1.t1, HMEL035435g1.t1, HMEL037446g1.t1, HMEL037924g1.t1, HMEL036994g1.t1, HMEL036686g1.t1, HMEL030309g1.t1, HMEL035201g1.t1, HMEL030741g1.t1, HMEL030327g1.t1, HMEL034587g1.t1, HMEL037872g1.t1, HMEL033744g1.t1, HMEL031790g1.t1, HMEL034440g1.t1, HMEL037166g1.t1, HMEL033701g1.t1, HMEL035463g1.t1, HMEL032859g1.t1, HMEL037430g1.t1, HMEL038085g1.t1, HMEL035413g1.t1, HMEL035763g1.t1, HMEL036570g1.t1, HMEL033518g1.t1, HMEL035013g1.t1, HMEL038204g1.t1, HMEL035689g1.t1, HMEL035417g1.t1, HMEL036940g1.t1, HMEL032458g1.t1, HMEL034248g1.t1, HMEL036752g1.t1	XP_026494298.1
OG0000016	HMEL007253g1.t1	XP_026487868.1
OG0000016	HMEL034891g1.t1, HMEL034564g1.t1, HMEL033196g1.t1	XP_026494832.1
OG0000016	HMEL037772g1.t1	XP_026497219.1, XP_026498863.1
OG0000018	HMEL030430g1.t1	XP_026500174.1
OG0000018	HMEL030844g1.t1	XP_026486406.1
OG0000021	HMEL009528g1.t1	XP_026499326.1, XP_026498522.1
OG0000022	HMEL030997g1.t1	XP_026484827.1
OG0000022	HMEL007417g1.t1	XP_026484834.1
OG0000022	HMEL017624g1.t1	XP_026486487.1
OG0000022	HMEL022608g1.t1	XP_026483171.1
OG0000022	HMEL006280g1.t1, HMEL002897g1.t1	XP_026484818.1
OG0000022	HMEL031456g1.t1	XP_026489859.1
OG0000022	HMEL031459g1.t1	XP_026496869.1
OG0000023	HMEL033227g1.t1	XP_026492743.1
OG0000025	HMEL037385g1.t1	XP_026490610.1
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	XP_026490616.1
OG0000026	HMEL033398g1.t1	XP_026499909.1, XP_026483831.1, XP_026499747.1
OG0000028	HMEL004610g1.t1, HMEL014440g1.t1	XP_026495729.1, XP_026495795.1
OG0000028	HMEL022519g1.t1	XP_026498861.1
OG0000029	HMEL003326g1.t1	XP_026490766.1, XP_026485191.1, XP_026485189.1, XP_026485194.1, XP_026485192.1
OG0000032	HMEL015875g1.t1	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
OG0000034	HMEL005861g1.t1	XP_026491775.1
OG0000034	HMEL033976g1.t1	XP_026491466.1
OG0000034	HMEL033982g1.t1	XP_026491224.1
OG0000034	HMEL033974g1.t1	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000035	HMEL016208g1.t1, HMEL036401g1.t1, HMEL034209g1.t1	XP_026492510.1
OG0000035	HMEL014459g1.t1	XP_026495880.1
OG0000035	HMEL035534g1.t1, HMEL036982g1.t1, HMEL033745g1.t1	XP_026490309.1, XP_026497284.1, XP_026491934.1, XP_026501762.1, XP_026491503.1, XP_026486122.1, XP_026488654.1
OG0000037	HMEL030807g1.t1, HMEL032651g1.t1, HMEL033157g1.t1, HMEL030931g1.t1, HMEL034171g1.t1, HMEL031033g1.t1, HMEL036617g1.t1, HMEL033891g1.t1, HMEL017796g1.t1, HMEL032024g1.t1, HMEL009627g1.t1, HMEL009684g1.t1, HMEL033218g1.t1, HMEL017989g1.t1, HMEL021858g1.t1, HMEL008299g1.t1, HMEL033785g1.t1, HMEL031808g1.t1, HMEL032482g1.t1, HMEL032792g1.t1, HMEL031085g1.t1, HMEL036171g1.t1, HMEL032928g1.t1, HMEL030405g1.t1, HMEL034583g1.t1, HMEL036300g1.t1, HMEL031269g1.t1, HMEL012162g1.t1, HMEL034038g1.t1, HMEL033741g1.t1, HMEL037455g1.t1, HMEL036329g1.t1, HMEL033336g1.t1, HMEL032344g1.t1, HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1	XP_026500143.1
OG0000037	HMEL033625g1.t1, HMEL030893g1.t1, HMEL035832g1.t1, HMEL035089g1.t1, HMEL036426g1.t1, HMEL038227g1.t1	XP_026495175.1
OG0000038	HMEL014479g1.t1	XP_026490183.1
OG0000039	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA	XP_026488878.1, XP_026488879.1
OG0000039	HMEL017153-RA	XP_026488881.1
OG0000040	HMEL030547g1.t1, HMEL031757g1.t1, HMEL034176g1.t1, HMEL034101g1.t1, HMEL037471g1.t1, HMEL031366g1.t1	XP_026499742.1
OG0000041	HMEL032630g1.t1	XP_026490916.1
OG0000041	HMEL013650g1.t1	XP_026491898.1, XP_026483601.1
OG0000041	HMEL004253g1.t1	XP_026497753.1, XP_026497752.1
OG0000041	HMEL004252g1.t1	XP_026497785.1
OG0000044	HMEL031425g1.t1, HMEL006539g1.t1, HMEL032923g1.t1, HMEL036259g1.t1, HMEL012540g1.t1, HMEL030024g1.t1, HMEL030414g1.t1, HMEL034195g1.t1, HMEL034559g1.t1, HMEL032957g1.t1, HMEL030659g1.t1, HMEL033357g1.t1, HMEL033772g1.t1, HMEL033401g1.t1, HMEL032958g1.t1, HMEL032080g1.t1, HMEL035078g1.t1, HMEL037465g1.t1, HMEL009996g1.t1	XP_026500138.1
OG0000045	HMEL036019g1.t1	XP_026485346.1
OG0000045	HMEL037144g1.t1	XP_026489199.1
OG0000045	HMEL014163g1.t1	XP_026488897.1
OG0000045	HMEL034418g1.t1	XP_026493800.1, XP_026493802.1
OG0000046	HMEL014795g1.t1	XP_026496282.1
OG0000046	HMEL010111g1.t1	XP_026496280.1
OG0000048	HMEL033687g1.t1, HMEL016757g1.t1	XP_026494057.1
OG0000048	HMEL037264g1.t1	XP_026488815.1
OG0000048	HMEL022308g1.t1	XP_026490402.1
OG0000048	HMEL033686g1.t1	XP_026501042.1
OG0000049	HMEL002471-RA	XP_026484586.1
OG0000049	HMEL008772-RA	XP_026491363.1
OG0000050	HMEL017073-RA	XP_026501017.1
OG0000050	HMEL022575-RA	XP_026500975.1
OG0000052	HMEL013845g1.t1	XP_026487271.1
OG0000053	HMEL030922g1.t1	XP_026497060.1
OG0000053	HMEL009070g1.t1	XP_026497094.1
OG0000053	HMEL009072g1.t1	XP_026497148.1, XP_026497147.1
OG0000053	HMEL009071g1.t1	XP_026497076.1, XP_026497075.1
OG0000053	HMEL009073g1.t1	XP_026497149.1
OG0000054	HMEL018015g1.t1	XP_026492237.1
OG0000055	HMEL034059g1.t1	XP_026491734.1
OG0000056	HMEL010939-RA	XP_026498825.1
OG0000056	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA	XP_026498828.1, XP_026499964.1, XP_026498826.1
OG0000057	HMEL003534g1.t1, HMEL032313g1.t1	XP_026496531.1
OG0000057	HMEL032312g1.t1	XP_026496524.1
OG0000057	HMEL006997g1.t1	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000058	HMEL036938g1.t1, HMEL033297g1.t1	XP_026490603.1
OG0000058	HMEL033633g1.t1, HMEL031971g1.t1	XP_026497189.1
OG0000059	HMEL014102g1.t1	XP_026497961.1, XP_026501315.1, XP_026493384.1, XP_026484862.1
OG0000059	HMEL033410g1.t1	XP_026491881.1
OG0000060	HMEL012129g1.t1	XP_026493441.1
OG0000062	HMEL003604g1.t1	XP_026493052.1
OG0000063	HMEL034759g1.t1	XP_026483335.1, XP_026483375.1
OG0000063	HMEL034760g1.t1	XP_026483353.1
OG0000064	HMEL009540g1.t1, HMEL036517g1.t1	XP_026497737.1, XP_026491802.1
OG0000066	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA	XP_026500159.1
OG0000067	HMEL003229g1.t1	XP_026499417.1
OG0000068	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1	XP_026494442.1
OG0000069	HMEL033323g1.t1, HMEL011062g1.t1	XP_026489035.1
OG0000073	HMEL012052g1.t1	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	HMEL015732g1.t1	XP_026501251.1, XP_026501242.1
OG0000073	HMEL015726g1.t1	XP_026483469.1
OG0000075	HMEL002852g1.t1	XP_026487164.1
OG0000075	HMEL032963g1.t1	XP_026488107.1
OG0000075	HMEL032798g1.t1, HMEL022365g1.t1	XP_026488301.1, XP_026488302.1
OG0000076	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1	XP_026490686.1
OG0000077	HMEL031854g1.t1	XP_026485938.1
OG0000077	HMEL031853g1.t1	XP_026485943.1
OG0000077	HMEL020717g1.t1, HMEL031852g1.t1	XP_026485942.1
OG0000078	HMEL010630g1.t1, HMEL030578g1.t1	XP_026497763.1, XP_026497768.1
OG0000079	HMEL032049g1.t1, HMEL020697g1.t1	XP_026485855.1
OG0000080	HMEL033368g1.t1, HMEL031026g1.t1, HMEL030136g1.t1, HMEL036909g1.t1	XP_026485596.1
OG0000082	HMEL007401g1.t1	XP_026484136.1
OG0000082	HMEL010076g1.t1	XP_026484086.1
OG0000082	HMEL030062g1.t1	XP_026484147.1
OG0000082	HMEL014537g1.t1	XP_026484166.1
OG0000083	HMEL034647g1.t1, HMEL013165g1.t1, HMEL034646g1.t1, HMEL013158g1.t1	XP_026498756.1
OG0000083	HMEL013164g1.t1, HMEL034644g1.t1, HMEL013160g1.t1, HMEL013159g1.t1	XP_026498757.1
OG0000084	HMEL015484g1.t1	XP_026492846.1
OG0000084	HMEL037105g1.t1, HMEL037108g1.t1, HMEL037106g1.t1, HMEL037107g1.t1	XP_026492749.1
OG0000087	HMEL033933g1.t1, HMEL009120g1.t1, HMEL010522g1.t1, HMEL009121g1.t1, HMEL033934g1.t1, HMEL033932g1.t1, HMEL010523g1.t1, HMEL010521g1.t1, HMEL033936g1.t1, HMEL033937g1.t1, HMEL033938g1.t1, HMEL033935g1.t1, HMEL009122g1.t1	XP_026491033.1
OG0000088	HMEL003756g1.t1	XP_026489493.1
OG0000088	HMEL011526g1.t1	XP_026483148.1
OG0000088	HMEL003755g1.t1	XP_026489494.1
OG0000090	HMEL010419g1.t1	XP_026490095.1
OG0000091	HMEL032269g1.t1, HMEL036279g1.t1, HMEL033634g1.t1, HMEL036045g1.t1	XP_026496136.1
OG0000091	HMEL035854g1.t1, HMEL030912g1.t1, HMEL038226g1.t1, HMEL032067g1.t1, HMEL030965g1.t1, HMEL030064g1.t1	XP_026498210.1
OG0000093	HMEL006620g1.t1	XP_026483919.1, XP_026483920.1
OG0000093	HMEL005989g1.t1	XP_026483917.1
OG0000093	HMEL003398g1.t1	XP_026484027.1, XP_026484028.1
OG0000094	HMEL015375g1.t1	XP_026488555.1
OG0000094	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1	XP_026492024.1
OG0000095	HMEL003312g1.t1	XP_026484614.1, XP_026484892.1
OG0000096	HMEL034898g1.t1, HMEL034900g1.t1, HMEL034901g1.t1	XP_026498766.1
OG0000096	HMEL006028g1.t1	XP_026489765.1, XP_026489764.1
OG0000096	HMEL034896g1.t1	XP_026498776.1, XP_026498782.1
OG0000097	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1	XP_026498905.1, XP_026498928.1
OG0000098	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1	XP_026498603.1
OG0000100	HMEL016056g1.t1	XP_026495781.1
OG0000100	HMEL016058g1.t1	XP_026495693.1
OG0000101	HMEL013064g1.t1, HMEL035350g1.t1	XP_026493040.1, XP_026493038.1
OG0000102	HMEL038139g1.t1, HMEL033321g1.t1, HMEL033320g1.t1, HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1	XP_026489046.1
OG0000103	HMEL004144g1.t1	XP_026498404.1, XP_026498400.1, XP_026498403.1
OG0000106	HMEL031177g1.t1, HMEL031314g1.t1, HMEL030142g1.t1, HMEL036445g1.t1, HMEL031249g1.t1, HMEL037250g1.t1, HMEL031930g1.t1, HMEL034708g1.t1, HMEL014798g1.t1, HMEL033415g1.t1, HMEL037305g1.t1, HMEL030238g1.t1, HMEL031140g1.t1, HMEL034274g1.t1, HMEL031868g1.t1, HMEL037411g1.t1, HMEL011801g1.t1, HMEL033895g1.t1, HMEL015060g1.t1, HMEL033894g1.t1, HMEL022151g1.t1, HMEL033393g1.t1, HMEL031929g1.t1, HMEL031409g1.t1, HMEL032596g1.t1, HMEL031989g1.t1, HMEL031869g1.t1, HMEL037891g1.t1, HMEL031009g1.t1, HMEL006149g1.t1	XP_026485887.1
OG0000109	HMEL032659g1.t1	XP_026497971.1
OG0000109	HMEL032662g1.t1	XP_026497974.1
OG0000110	HMEL008603g1.t1	XP_026489019.1
OG0000110	HMEL008599g1.t1	XP_026488986.1
OG0000111	HMEL017867g1.t1	XP_026485541.1
OG0000111	HMEL016755g1.t1	XP_026486198.1
OG0000112	HMEL015804g1.t1	XP_026488156.1
OG0000112	HMEL015803g1.t1	XP_026488169.1
OG0000113	HMEL037320g1.t1, HMEL037318g1.t1	XP_026498858.1
OG0000113	HMEL037317g1.t1, HMEL037316g1.t1	XP_026486407.1
OG0000114	HMEL015510g1.t1	XP_026488859.1
OG0000114	HMEL015513g1.t1, HMEL008318g1.t1, HMEL012182g1.t1	XP_026488856.1
OG0000115	HMEL005318g1.t1	XP_026494479.1
OG0000115	HMEL017991g1.t1	XP_026500251.1, XP_026500243.1
OG0000115	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1	XP_026494478.1
OG0000116	HMEL017091g1.t1	XP_026486128.1
OG0000116	HMEL037149g1.t1	XP_026489146.1
OG0000116	HMEL034503g1.t1	XP_026494070.1
OG0000116	HMEL013498g1.t1	XP_026496653.1
OG0000117	HMEL033309g1.t1	XP_026488567.1
OG0000117	HMEL033310g1.t1, HMEL002121g1.t1	XP_026488566.1
OG0000118	HMEL034064g1.t1	XP_026490964.1
OG0000119	HMEL010108g1.t1	XP_026496437.1
OG0000122	HMEL032771g1.t1	XP_026499961.1
OG0000122	HMEL032720g1.t1	XP_026499981.1
OG0000123	HMEL035705g1.t1, HMEL033699g1.t1, HMEL032172g1.t1	XP_026500003.1, XP_026496505.1
OG0000123	HMEL036431g1.t1	XP_026498408.1
OG0000124	HMEL011266g1.t1, HMEL032622g1.t1	XP_026492747.1
OG0000124	HMEL022333g1.t1, HMEL011270g1.t1	XP_026492758.1
OG0000125	HMEL003538g1.t1, HMEL030582g1.t1	XP_026491913.1
OG0000125	HMEL013672g1.t1	XP_026491928.1
OG0000128	HMEL032417g1.t1, HMEL032418g1.t1	XP_026494344.1
OG0000128	HMEL007085g1.t1	XP_026494318.1
OG0000128	HMEL032421g1.t1	XP_026494332.1
OG0000129	HMEL014468g1.t1	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1
OG0000131	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	HMEL037936g1.t1, HMEL037935g1.t1	XP_026489619.1, XP_026489627.1
OG0000133	HMEL010958g1.t1	XP_026500939.1
OG0000133	HMEL013253g1.t1	XP_026500315.1
OG0000134	HMEL030656g1.t1	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	HMEL017157g1.t1	XP_026497731.1
OG0000134	HMEL030654g1.t1	XP_026500779.1
OG0000137	HMEL031221g1.t1	XP_026484812.1
OG0000138	HMEL013861g1.t1	XP_026488751.1
OG0000138	HMEL013862g1.t1	XP_026488768.1
OG0000139	HMEL004636g1.t1	XP_026500945.1
OG0000139	HMEL009670g1.t1	XP_026500227.1
OG0000139	HMEL011830g1.t1	XP_026489675.1
OG0000140	HMEL015840g1.t1	XP_026486064.1
OG0000140	HMEL015842g1.t1	XP_026486773.1, XP_026486075.1, XP_026486054.1
OG0000141	HMEL016237g1.t1	XP_026496357.1, XP_026496430.1
OG0000142	HMEL013887g1.t1	XP_026483563.1
OG0000142	HMEL013886g1.t1	XP_026485989.1
OG0000143	HMEL010202g1.t1, HMEL010201g1.t1	XP_026488575.1
OG0000143	HMEL033259g1.t1	XP_026488573.1
OG0000143	HMEL010205g1.t1	XP_026488574.1
OG0000144	HMEL009988g1.t1, HMEL011225g1.t1	XP_026493139.1
OG0000144	HMEL009987g1.t1	XP_026493387.1
OG0000145	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1	XP_026488455.1
OG0000147	HMEL022638g1.t1, HMEL036387g1.t1, HMEL036388g1.t1	XP_026493400.1
OG0000149	HMEL036082g1.t1	XP_026485425.1
OG0000149	HMEL036986g1.t1	XP_026484245.1
OG0000149	HMEL021224g1.t1	XP_026492839.1
OG0000151	HMEL032995g1.t1	XP_026499908.1, XP_026497527.1
OG0000152	HMEL003035g1.t1	XP_026493650.1
OG0000152	HMEL006925g1.t1	XP_026493647.1
OG0000153	HMEL013104g1.t1	XP_026486667.1
