Orthogroup	Heliconius_melpomene_melpomene	Danaus_plexippus
OG0000003	HMEL032743g1.t1, HMEL003905g1.t1, HMEL032192g1.t1, HMEL030063g1.t1, HMEL032715g1.t1, HMEL034772g1.t1, HMEL037743g1.t1, HMEL033979g1.t1, HMEL031135g1.t1, HMEL033499g1.t1, HMEL033488g1.t1, HMEL037913g1.t1, HMEL036035g1.t1, HMEL034658g1.t1, HMEL030808g1.t1, HMEL030372g1.t1, HMEL034926g1.t1, HMEL003742g1.t1, HMEL017779g1.t1, HMEL033334g1.t1, HMEL035884g1.t1, HMEL030147g1.t1, HMEL037121g1.t1, HMEL030355g1.t1, HMEL030058g1.t1, HMEL037074g1.t1, HMEL036065g1.t1, HMEL037908g1.t1, HMEL032817g1.t1, HMEL032603g1.t1, HMEL030350g1.t1, HMEL032420g1.t1, HMEL032600g1.t1, HMEL031242g1.t1, HMEL034363g1.t1, HMEL032116g1.t1, HMEL034724g1.t1, HMEL030448g1.t1, HMEL038145g1.t1, HMEL032476g1.t1, HMEL037737g1.t1, HMEL030481g1.t1, HMEL036886g1.t1, HMEL037816g1.t1, HMEL030877g1.t1, HMEL033277g1.t1, HMEL031027g1.t1, HMEL033644g1.t1, HMEL004107g1.t1, HMEL030433g1.t1, HMEL036421g1.t1, HMEL035712g1.t1, HMEL035727g1.t1, HMEL031360g1.t1, HMEL031083g1.t1, HMEL034446g1.t1, HMEL037858g1.t1, HMEL009173g1.t1, HMEL034866g1.t1, HMEL036051g1.t1, HMEL006235g1.t1, HMEL034703g1.t1, HMEL036981g1.t1, HMEL035658g1.t1, HMEL010760g1.t1, HMEL031099g1.t1, HMEL034361g1.t1, HMEL034419g1.t1, HMEL012524g1.t1, HMEL030252g1.t1, HMEL004320g1.t1, HMEL036414g1.t1, HMEL036812g1.t1, HMEL037494g1.t1, HMEL032339g1.t1, HMEL037445g1.t1, HMEL030417g1.t1, HMEL034863g1.t1, HMEL033510g1.t1, HMEL030143g1.t1, HMEL032318g1.t1, HMEL034441g1.t1, HMEL033225g1.t1, HMEL036413g1.t1, HMEL030124g1.t1, HMEL035446g1.t1, HMEL035441g1.t1, HMEL034620g1.t1, HMEL038016g1.t1, HMEL037940g1.t1, HMEL035107g1.t1, HMEL035480g1.t1, HMEL030334g1.t1, HMEL032560g1.t1, HMEL032089g1.t1, HMEL032741g1.t1, HMEL032033g1.t1, HMEL035626g1.t1	DPOGS205613-PA, DPOGS211043-PA, DPOGS208672-PA
OG0000004	HMEL022667-RA, HMEL022560-RA, HMEL022655-RA, HMEL022629-RA, HMEL022614-RA, HMEL022644-RA, HMEL022672-RA, HMEL022649-RA, HMEL022642-RA, HMEL022631-RA, HMEL022626-RA, HMEL022562-RA, HMEL022600-RA, HMEL022640-RA, HMEL022652-RA, HMEL022563-RA, HMEL022669-RA, HMEL022623-RA, HMEL022633-RA, HMEL022671-RA, HMEL022653-RA, HMEL022620-RA, HMEL022568-RA, HMEL022670-RA	DPOGS214685-PA
OG0000007	HMEL012825g1.t1	DPOGS202008-PA
OG0000007	HMEL030866g1.t1	DPOGS201926-PA
OG0000007	HMEL009008g1.t1	DPOGS209071-PA
OG0000007	HMEL003519g1.t1	DPOGS210283-PA
OG0000007	HMEL013136g1.t1	DPOGS204060-PA, DPOGS204061-PA
OG0000007	HMEL033385g1.t1	DPOGS201330-PA, DPOGS201329-PA, DPOGS201331-PA
OG0000007	HMEL021694g1.t1	DPOGS201328-PA
OG0000007	HMEL012399g1.t1	DPOGS201332-PA, DPOGS201334-PA, DPOGS201335-PA, DPOGS201333-PA, DPOGS201337-PA, DPOGS201336-PA
OG0000007	HMEL016981g1.t1, HMEL016980g1.t1	DPOGS210278-PA
OG0000008	HMEL035923g1.t1, HMEL033275g1.t1, HMEL030272g1.t1, HMEL030129g1.t1, HMEL034250g1.t1, HMEL035037g1.t1, HMEL032289g1.t1, HMEL034716g1.t1, HMEL031961g1.t1, HMEL035532g1.t1, HMEL031511g1.t1, HMEL036556g1.t1, HMEL037351g1.t1, HMEL031193g1.t1, HMEL033579g1.t1, HMEL032347g1.t1, HMEL037905g1.t1, HMEL030371g1.t1, HMEL033369g1.t1, HMEL035192g1.t1, HMEL037391g1.t1, HMEL035724g1.t1, HMEL034084g1.t1, HMEL035465g1.t1, HMEL034020g1.t1, HMEL031937g1.t1, HMEL030884g1.t1, HMEL035652g1.t1, HMEL035202g1.t1, HMEL030149g1.t1, HMEL036850g1.t1, HMEL037852g1.t1, HMEL033965g1.t1, HMEL030439g1.t1, HMEL030583g1.t1, HMEL030721g1.t1, HMEL032936g1.t1, HMEL030815g1.t1, HMEL031442g1.t1, HMEL008044g1.t1, HMEL036993g1.t1, HMEL037086g1.t1, HMEL036630g1.t1, HMEL034480g1.t1, HMEL037692g1.t1, HMEL035616g1.t1, HMEL035605g1.t1, HMEL032914g1.t1, HMEL034055g1.t1, HMEL037421g1.t1, HMEL035587g1.t1, HMEL034450g1.t1, HMEL037728g1.t1, HMEL037095g1.t1, HMEL037041g1.t1, HMEL012196g1.t1, HMEL031867g1.t1, HMEL038011g1.t1, HMEL031160g1.t1, HMEL030176g1.t1, HMEL035963g1.t1, HMEL037616g1.t1, HMEL031736g1.t1, HMEL035651g1.t1, HMEL036336g1.t1, HMEL012996g1.t1, HMEL035203g1.t1, HMEL036661g1.t1, HMEL033890g1.t1, HMEL003253g1.t1, HMEL034808g1.t1, HMEL010193g1.t1, HMEL030403g1.t1, HMEL033280g1.t1, HMEL032969g1.t1, HMEL037116g1.t1, HMEL032299g1.t1, HMEL037829g1.t1, HMEL030366g1.t1, HMEL030662g1.t1, HMEL034489g1.t1, HMEL031558g1.t1, HMEL034951g1.t1, HMEL033897g1.t1, HMEL036381g1.t1, HMEL030078g1.t1, HMEL030642g1.t1, HMEL035302g1.t1, HMEL031557g1.t1, HMEL032602g1.t1, HMEL033264g1.t1, HMEL035767g1.t1, HMEL037928g1.t1, HMEL033501g1.t1, HMEL035021g1.t1, HMEL031350g1.t1, HMEL036422g1.t1, HMEL036338g1.t1, HMEL032342g1.t1, HMEL034699g1.t1, HMEL034495g1.t1	DPOGS210936-PA
OG0000009	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1	DPOGS206742-PA, DPOGS206741-PA, DPOGS206760-PA, DPOGS206758-PA
OG0000009	HMEL011209g1.t1	DPOGS206754-PA, DPOGS206753-PA, DPOGS206752-PA, DPOGS201056-PA
OG0000010	HMEL037296g1.t1, HMEL037345g1.t1, HMEL036450g1.t1, HMEL034110g1.t1, HMEL037876g1.t1, HMEL037066g1.t1, HMEL034744g1.t1, HMEL038161g1.t1, HMEL035453g1.t1, HMEL031117g1.t1, HMEL038199g1.t1, HMEL033360g1.t1, HMEL030253g1.t1, HMEL036516g1.t1, HMEL036778g1.t1, HMEL036451g1.t1, HMEL034073g1.t1, HMEL036876g1.t1, HMEL037298g1.t1, HMEL035912g1.t1, HMEL036875g1.t1, HMEL032887g1.t1, HMEL033631g1.t1, HMEL033993g1.t1, HMEL016586g1.t1, HMEL034585g1.t1, HMEL030544g1.t1, HMEL034097g1.t1, HMEL030561g1.t1, HMEL036219g1.t1, HMEL034138g1.t1, HMEL034136g1.t1, HMEL030542g1.t1, HMEL037347g1.t1, HMEL007231g1.t1, HMEL030511g1.t1, HMEL030787g1.t1, HMEL034111g1.t1, HMEL011051g1.t1, HMEL030344g1.t1, HMEL034134g1.t1, HMEL032604g1.t1, HMEL035846g1.t1, HMEL034184g1.t1, HMEL030536g1.t1, HMEL034109g1.t1, HMEL034013g1.t1, HMEL030044g1.t1, HMEL030696g1.t1, HMEL003163g1.t1, HMEL033403g1.t1, HMEL031571g1.t1, HMEL033485g1.t1, HMEL034702g1.t1, HMEL033995g1.t1, HMEL032496g1.t1, HMEL034137g1.t1, HMEL016177g1.t1, HMEL033951g1.t1, HMEL034163g1.t1, HMEL034386g1.t1, HMEL035784g1.t1, HMEL030537g1.t1, HMEL030543g1.t1, HMEL034133g1.t1, HMEL031755g1.t1, HMEL035797g1.t1, HMEL037346g1.t1, HMEL035529g1.t1, HMEL016311g1.t1, HMEL032886g1.t1, HMEL034166g1.t1, HMEL034096g1.t1, HMEL036217g1.t1, HMEL031773g1.t1, HMEL037297g1.t1, HMEL030540g1.t1, HMEL030538g1.t1, HMEL034164g1.t1, HMEL037295g1.t1	DPOGS213850-PA, DPOGS215023-PA
OG0000011	HMEL020065g1.t1, HMEL033667g1.t1	DPOGS205480-PA
OG0000011	HMEL033610g1.t1	DPOGS200223-PA
OG0000011	HMEL017520g1.t1	DPOGS210883-PA
OG0000011	HMEL003019g1.t1, HMEL003018g1.t1	DPOGS208006-PA
OG0000011	HMEL003020g1.t1, HMEL011718g1.t1	DPOGS204718-PA, DPOGS208007-PA, DPOGS208000-PA, DPOGS204714-PA
OG0000012	HMEL036201g1.t1	DPOGS208243-PA, DPOGS208244-PA
OG0000012	HMEL036193g1.t1	DPOGS208262-PA
OG0000012	HMEL036192g1.t1	DPOGS208241-PA
OG0000012	HMEL036205g1.t1	DPOGS208260-PA
OG0000013	HMEL034362g1.t1, HMEL031306g1.t1, HMEL035911g1.t1, HMEL036578g1.t1, HMEL031727g1.t1, HMEL031283g1.t1	DPOGS211040-PA
OG0000016	HMEL036078g1.t1, HMEL007253g1.t1, HMEL033724g1.t1, HMEL034494g1.t1, HMEL037439g1.t1, HMEL037530g1.t1, HMEL031386g1.t1, HMEL036629g1.t1, HMEL033594g1.t1, HMEL034497g1.t1, HMEL033096g1.t1, HMEL030332g1.t1, HMEL030306g1.t1, HMEL037906g1.t1, HMEL033723g1.t1, HMEL036459g1.t1, HMEL034615g1.t1, HMEL030333g1.t1, HMEL035684g1.t1, HMEL034719g1.t1, HMEL032180g1.t1, HMEL034891g1.t1, HMEL034564g1.t1, HMEL033196g1.t1, HMEL034625g1.t1, HMEL030071g1.t1, HMEL037772g1.t1, HMEL030907g1.t1, HMEL031166g1.t1, HMEL034532g1.t1, HMEL035844g1.t1, HMEL031709g1.t1, HMEL017866g1.t1, HMEL036000g1.t1, HMEL035624g1.t1	DPOGS200806-PA
OG0000018	HMEL030430g1.t1, HMEL016357g1.t1, HMEL030844g1.t1, HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000022	HMEL030997g1.t1	DPOGS202417-PA
OG0000022	HMEL007417g1.t1	DPOGS202402-PA
OG0000022	HMEL017624g1.t1	DPOGS200512-PA
OG0000022	HMEL022608g1.t1	DPOGS209862-PA
OG0000022	HMEL006280g1.t1, HMEL002897g1.t1	DPOGS202403-PA
OG0000022	HMEL034470g1.t1	DPOGS200511-PA
OG0000022	HMEL031456g1.t1	DPOGS213388-PA
OG0000022	HMEL031459g1.t1	DPOGS213385-PA
OG0000024	HMEL012610g1.t1, HMEL012613g1.t1, HMEL012615g1.t1, HMEL002645g1.t1, HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1, HMEL012607g1.t1, HMEL012608g1.t1, HMEL010265g1.t1, HMEL012609g1.t1, HMEL010268g1.t1	DPOGS200042-PA
OG0000025	HMEL037385g1.t1	DPOGS206751-PA, DPOGS206755-PA
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	HMEL004610g1.t1, HMEL014440g1.t1, HMEL022519g1.t1	DPOGS205336-PA
OG0000031	HMEL031620g1.t1, HMEL034156g1.t1, HMEL033421g1.t1, HMEL032395g1.t1	DPOGS211828-PA
OG0000032	HMEL030081g1.t1, HMEL032977g1.t1, HMEL015875g1.t1	DPOGS200472-PA
OG0000034	HMEL005861g1.t1	DPOGS205641-PA
OG0000034	HMEL033976g1.t1	DPOGS202647-PA
OG0000034	HMEL033982g1.t1	DPOGS202676-PA
OG0000034	HMEL033974g1.t1	DPOGS202644-PA
OG0000035	HMEL036401g1.t1	DPOGS204320-PA
OG0000035	HMEL036120g1.t1	DPOGS209410-PA
OG0000036	HMEL034275g1.t1, HMEL034344g1.t1	DPOGS213885-PA
OG0000038	HMEL014470g1.t1, HMEL014479g1.t1, HMEL031441g1.t1, HMEL014488g1.t1, HMEL014489g1.t1, HMEL014486g1.t1, HMEL014485g1.t1, HMEL014482g1.t1, HMEL014473g1.t1, HMEL014472g1.t1, HMEL014474g1.t1, HMEL021371g1.t1, HMEL014483g1.t1, HMEL031443g1.t1	DPOGS214966-PA
OG0000039	HMEL003566-RA	DPOGS201809-PA, DPOGS201793-PA, DPOGS201808-PA
OG0000039	HMEL017153-RA, HMEL017154-RA	DPOGS201794-PA, DPOGS201792-PA
OG0000040	HMEL030547g1.t1, HMEL031757g1.t1, HMEL034176g1.t1, HMEL034101g1.t1, HMEL037471g1.t1, HMEL031366g1.t1	DPOGS211359-PA
OG0000041	HMEL032630g1.t1	DPOGS210496-PA
OG0000041	HMEL013650g1.t1	DPOGS206520-PA
OG0000044	HMEL032064g1.t1, HMEL037442g1.t1, HMEL034194g1.t1, HMEL030967g1.t1, HMEL034475g1.t1, HMEL036260g1.t1, HMEL036261g1.t1, HMEL033354g1.t1, HMEL036599g1.t1, HMEL030413g1.t1, HMEL003634g1.t1, HMEL034121g1.t1, HMEL035823g1.t1, HMEL030942g1.t1	DPOGS209116-PA
OG0000044	HMEL032251g1.t1, HMEL037464g1.t1, HMEL031112g1.t1, HMEL031256g1.t1, HMEL033771g1.t1, HMEL033452g1.t1, HMEL032950g1.t1, HMEL032956g1.t1, HMEL036476g1.t1, HMEL033574g1.t1, HMEL030660g1.t1, HMEL031425g1.t1, HMEL006539g1.t1, HMEL032923g1.t1, HMEL036259g1.t1, HMEL012540g1.t1, HMEL030024g1.t1, HMEL030414g1.t1, HMEL034195g1.t1, HMEL034559g1.t1, HMEL032957g1.t1, HMEL030659g1.t1, HMEL033357g1.t1, HMEL033772g1.t1, HMEL033401g1.t1, HMEL032958g1.t1, HMEL032080g1.t1, HMEL035078g1.t1, HMEL037465g1.t1, HMEL009996g1.t1	DPOGS216008-PA
OG0000045	HMEL036019g1.t1	DPOGS210702-PA, DPOGS210700-PA
OG0000045	HMEL037144g1.t1	DPOGS210250-PA
OG0000045	HMEL014163g1.t1	DPOGS212775-PA
OG0000045	HMEL031793g1.t1	DPOGS210048-PA
OG0000045	HMEL034418g1.t1	DPOGS213925-PA, DPOGS213901-PA
OG0000046	HMEL010111g1.t1	DPOGS209144-PA, DPOGS209146-PA
OG0000048	HMEL033687g1.t1, HMEL016757g1.t1	DPOGS215280-PA
OG0000049	HMEL002471-RA, HMEL010693-RA, HMEL034903g1.t1, HMEL003584-RA, HMEL008772-RA, HMEL003581-RA, HMEL003582-RA, HMEL008768-RA, HMEL008770-RA, HMEL003583-RA	DPOGS201061-PA
OG0000050	HMEL017073-RA	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000050	HMEL017069-RA, HMEL017066-RA, HMEL022564-RA	DPOGS205333-PA
OG0000052	HMEL013845g1.t1	DPOGS210331-PA
OG0000053	HMEL030922g1.t1	DPOGS201540-PA
OG0000053	HMEL009070g1.t1	DPOGS201419-PA
OG0000053	HMEL009072g1.t1	DPOGS201422-PA
OG0000053	HMEL009071g1.t1	DPOGS201421-PA
OG0000053	HMEL009073g1.t1	DPOGS201423-PA
OG0000054	HMEL018015g1.t1	DPOGS201193-PA
OG0000054	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1	DPOGS201191-PA, DPOGS201192-PA
OG0000054	HMEL031506g1.t1, HMEL031507g1.t1	DPOGS201177-PA
OG0000054	HMEL031505g1.t1	DPOGS201176-PA, DPOGS201175-PA
OG0000055	HMEL032595g1.t1	DPOGS214011-PA
OG0000055	HMEL034059g1.t1	DPOGS207736-PA, DPOGS208302-PA
OG0000055	HMEL035492g1.t1	DPOGS208420-PA
OG0000055	HMEL030552g1.t1	DPOGS203178-PA
OG0000055	HMEL033237g1.t1	DPOGS213967-PA
OG0000056	HMEL010939-RA	DPOGS210281-PA
OG0000056	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA	DPOGS206197-PA, DPOGS206198-PA, DPOGS206183-PA, DPOGS206194-PA, DPOGS206182-PA
OG0000057	HMEL003534g1.t1, HMEL032313g1.t1	DPOGS209909-PA
OG0000057	HMEL032312g1.t1	DPOGS209884-PA
OG0000057	HMEL006997g1.t1	DPOGS209997-PA
OG0000058	HMEL033633g1.t1, HMEL031971g1.t1	DPOGS215426-PA
OG0000060	HMEL012129g1.t1	DPOGS208010-PA, DPOGS208061-PA
OG0000060	HMEL036359g1.t1, HMEL036361g1.t1, HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1	DPOGS200035-PA, DPOGS208060-PA
OG0000061	HMEL013742-RA, HMEL013738-RA, HMEL022441g1.t1, HMEL013741-RA, HMEL013739-RA, HMEL013737-RA	DPOGS201160-PA
OG0000062	HMEL003604g1.t1	DPOGS207201-PA
OG0000063	HMEL034759g1.t1	DPOGS201994-PA
OG0000063	HMEL034760g1.t1	DPOGS201995-PA
OG0000063	HMEL008897g1.t1	DPOGS208887-PA
OG0000065	HMEL037581g1.t1, HMEL030564g1.t1, HMEL034444g1.t1, HMEL031722g1.t1, HMEL037857g1.t1, HMEL034347g1.t1, HMEL030131g1.t1, HMEL036505g1.t1, HMEL036504g1.t1, HMEL036208g1.t1, HMEL037929g1.t1, HMEL038064g1.t1, HMEL033565g1.t1, HMEL037154g1.t1, HMEL037930g1.t1, HMEL035798g1.t1, HMEL038084g1.t1, HMEL031476g1.t1, HMEL035859g1.t1, HMEL037181g1.t1, HMEL037233g1.t1, HMEL037261g1.t1, HMEL031763g1.t1, HMEL037864g1.t1, HMEL033620g1.t1, HMEL030565g1.t1, HMEL031536g1.t1, HMEL036403g1.t1, HMEL036075g1.t1, HMEL031884g1.t1, HMEL037201g1.t1, HMEL037013g1.t1, HMEL038040g1.t1, HMEL034802g1.t1, HMEL017899g1.t1, HMEL033803g1.t1, HMEL033348g1.t1, HMEL037745g1.t1, HMEL032695g1.t1, HMEL034390g1.t1, HMEL035484g1.t1, HMEL012600g1.t1, HMEL035596g1.t1, HMEL033830g1.t1, HMEL036070g1.t1	DPOGS206347-PA
OG0000066	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA	DPOGS210132-PA
OG0000067	HMEL010779g1.t1, HMEL003229g1.t1	DPOGS204359-PA
OG0000068	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1, HMEL031345g1.t1, HMEL011001g1.t1, HMEL011002g1.t1, HMEL031342g1.t1, HMEL031343g1.t1	DPOGS213409-PA, DPOGS212680-PA
OG0000069	HMEL033323g1.t1, HMEL011062g1.t1	DPOGS206989-PA
OG0000070	HMEL036665g1.t1	DPOGS205142-PA
OG0000071	HMEL031688g1.t1	DPOGS200879-PA
OG0000073	HMEL012052g1.t1	DPOGS205799-PA
OG0000073	HMEL015732g1.t1	DPOGS208534-PA
OG0000073	HMEL015726g1.t1	DPOGS213705-PA
OG0000075	HMEL002852g1.t1	DPOGS201167-PA
OG0000075	HMEL032963g1.t1	DPOGS201162-PA
OG0000075	HMEL032798g1.t1, HMEL022365g1.t1	DPOGS209261-PA
OG0000076	HMEL037276g1.t1, HMEL002849g1.t1, HMEL016088g1.t1	DPOGS206203-PA
OG0000076	HMEL037277g1.t1	DPOGS213290-PA, DPOGS213292-PA
OG0000078	HMEL010630g1.t1, HMEL030578g1.t1	DPOGS207021-PA
OG0000082	HMEL007401g1.t1	DPOGS211069-PA
OG0000082	HMEL010076g1.t1	DPOGS203868-PA
OG0000082	HMEL030062g1.t1	DPOGS203867-PA
OG0000082	HMEL014537g1.t1	DPOGS212546-PA
OG0000083	HMEL034647g1.t1, HMEL013165g1.t1, HMEL034646g1.t1, HMEL013158g1.t1	DPOGS201702-PA
OG0000084	HMEL015484g1.t1	DPOGS200123-PA
OG0000084	HMEL037104g1.t1	DPOGS200058-PA
OG0000084	HMEL037105g1.t1, HMEL037108g1.t1, HMEL037106g1.t1, HMEL037107g1.t1	DPOGS200060-PA
OG0000085	HMEL007950g1.t1	DPOGS215579-PA
OG0000088	HMEL003756g1.t1	DPOGS202810-PA
OG0000088	HMEL011526g1.t1	DPOGS215149-PA
OG0000088	HMEL003755g1.t1	DPOGS202814-PA
OG0000088	HMEL003761g1.t1, HMEL003760g1.t1	DPOGS202808-PA
OG0000090	HMEL006774g1.t1, HMEL010419g1.t1	DPOGS210053-PA, DPOGS210052-PA
OG0000091	HMEL032269g1.t1	DPOGS203557-PA
OG0000091	HMEL036279g1.t1, HMEL033634g1.t1, HMEL036045g1.t1	DPOGS202071-PA
OG0000091	HMEL034455g1.t1	DPOGS213963-PA
OG0000091	HMEL035781g1.t1, HMEL035789g1.t1	DPOGS203556-PA
OG0000092	HMEL032941g1.t1	DPOGS209259-PA, DPOGS209253-PA
OG0000092	HMEL009597g1.t1, HMEL012374g1.t1, HMEL032947g1.t1, HMEL003048g1.t1, HMEL016489g1.t1, HMEL012376g1.t1, HMEL007577g1.t1, HMEL014517g1.t1	DPOGS209252-PA
OG0000093	HMEL006620g1.t1	DPOGS202427-PA
OG0000093	HMEL005989g1.t1	DPOGS202426-PA, DPOGS203872-PA
OG0000093	HMEL003398g1.t1	DPOGS202424-PA
OG0000094	HMEL015375g1.t1, HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1	DPOGS213975-PA
OG0000095	HMEL003312g1.t1	DPOGS204282-PA
OG0000096	HMEL034898g1.t1, HMEL034900g1.t1, HMEL034901g1.t1	DPOGS212592-PA
OG0000096	HMEL006028g1.t1	DPOGS212590-PA
