Orthogroup	Heliconius_melpomene_melpomene	Maniola_hyperantus
OG0000011	HMEL003019g1.t1, HMEL003018g1.t1	XP_034833030.1, XP_034833029.1
OG0000011	HMEL003020g1.t1, HMEL011718g1.t1	XP_034833025.1, XP_034832955.1
OG0000011	HMEL003022g1.t1	XP_034832953.1, XP_034832961.1
OG0000013	HMEL034362g1.t1	XP_034830827.1
OG0000016	HMEL037772g1.t1	XP_034839614.1
OG0000016	HMEL030907g1.t1	XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1
OG0000017	HMEL035047g1.t1	XP_034828788.1, XP_034832231.1
OG0000018	HMEL030430g1.t1	XP_034836233.1
OG0000018	HMEL030844g1.t1	XP_034833257.1
OG0000021	HMEL009528g1.t1	XP_034830035.1, XP_034835587.1, XP_034836339.1, XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1
OG0000022	HMEL030997g1.t1	XP_034840993.1
OG0000022	HMEL007417g1.t1	XP_034824109.1
OG0000022	HMEL017624g1.t1	XP_034839051.1
OG0000022	HMEL022608g1.t1	XP_034839055.1
OG0000022	HMEL006280g1.t1, HMEL002897g1.t1	XP_034824108.1
OG0000022	HMEL031458g1.t1	XP_034826464.1
OG0000022	HMEL031459g1.t1	XP_034826667.1
OG0000023	HMEL033227g1.t1	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1
OG0000023	HMEL031142g1.t1	XP_034833642.1
OG0000025	HMEL037385g1.t1	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000026	HMEL033398g1.t1	XP_034837742.1, XP_034839914.1, XP_034834227.1, XP_034826601.1, XP_034827040.1, XP_034839977.1, XP_034834977.1, XP_034830032.1
OG0000028	HMEL004610g1.t1, HMEL014440g1.t1	XP_034826918.1, XP_034826917.1, XP_034834764.1, XP_034834919.1, XP_034834728.1, XP_034834729.1, XP_034834730.1, XP_034834731.1, XP_034830316.1, XP_034828236.1
OG0000029	HMEL003326g1.t1	XP_034841164.1, XP_034832020.1, XP_034832191.1, XP_034824124.1, XP_034833652.1
OG0000032	HMEL030081g1.t1, HMEL032977g1.t1	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1
OG0000032	HMEL015875g1.t1	XP_034832603.1, XP_034839638.1
OG0000034	HMEL005861g1.t1	XP_034825265.1
OG0000034	HMEL033976g1.t1	XP_034825541.1
OG0000034	HMEL033982g1.t1	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	HMEL033974g1.t1	XP_034825435.1
OG0000036	HMEL034344g1.t1	XP_034829464.1
OG0000037	HMEL030118g1.t1, HMEL030807g1.t1, HMEL032651g1.t1, HMEL033157g1.t1, HMEL030931g1.t1, HMEL034171g1.t1, HMEL031033g1.t1, HMEL036617g1.t1, HMEL033891g1.t1, HMEL017796g1.t1, HMEL032024g1.t1, HMEL009627g1.t1, HMEL009684g1.t1, HMEL033218g1.t1, HMEL017989g1.t1, HMEL021858g1.t1, HMEL008299g1.t1, HMEL033785g1.t1, HMEL031808g1.t1, HMEL032482g1.t1, HMEL032792g1.t1, HMEL031085g1.t1, HMEL036171g1.t1, HMEL032928g1.t1, HMEL030405g1.t1, HMEL034583g1.t1, HMEL036300g1.t1, HMEL031269g1.t1, HMEL012162g1.t1, HMEL034038g1.t1, HMEL033741g1.t1, HMEL037455g1.t1, HMEL036329g1.t1, HMEL033336g1.t1, HMEL032344g1.t1, HMEL035051g1.t1, HMEL036352g1.t1, HMEL031285g1.t1, HMEL030602g1.t1, HMEL035920g1.t1, HMEL036555g1.t1, HMEL036967g1.t1, HMEL031863g1.t1, HMEL034939g1.t1, HMEL030172g1.t1, HMEL017728g1.t1, HMEL033625g1.t1, HMEL030893g1.t1, HMEL035832g1.t1, HMEL035089g1.t1, HMEL036426g1.t1, HMEL038227g1.t1, HMEL035759g1.t1	XP_034824832.1
OG0000038	HMEL014479g1.t1	XP_034826460.1
OG0000038	HMEL031441g1.t1	XP_034826458.1, XP_034826457.1
OG0000039	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1
OG0000039	HMEL017154-RA	XP_034827544.1
OG0000040	HMEL031366g1.t1	XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1
OG0000041	HMEL032630g1.t1	XP_034835173.1
OG0000041	HMEL013650g1.t1	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1
OG0000041	HMEL004252g1.t1	XP_034826598.1, XP_034826593.1
OG0000045	HMEL036019g1.t1	XP_034828902.1
OG0000045	HMEL037144g1.t1	XP_034830124.1
OG0000045	HMEL031793g1.t1	XP_034838349.1
OG0000045	HMEL034418g1.t1	XP_034837040.1
OG0000046	HMEL010111g1.t1	XP_034829217.1, XP_034829227.1, XP_034829489.1, XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1, XP_034829488.1, XP_034829485.1, XP_034829486.1, XP_034829219.1, XP_034829225.1
OG0000048	HMEL022308g1.t1, HMEL033686g1.t1	XP_034824744.1
OG0000049	HMEL002471-RA	XP_034826808.1
OG0000049	HMEL008772-RA, HMEL003581-RA, HMEL003582-RA, HMEL008768-RA, HMEL008770-RA, HMEL003583-RA	XP_034827036.1
OG0000050	HMEL017073-RA	XP_034834926.1
OG0000050	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1
OG0000053	HMEL030922g1.t1	XP_034836880.1
OG0000053	HMEL009070g1.t1	XP_034836873.1
OG0000053	HMEL009072g1.t1	XP_034836855.1, XP_034836849.1
OG0000053	HMEL009071g1.t1	XP_034836907.1
OG0000053	HMEL009073g1.t1	XP_034836863.1
OG0000054	HMEL018015g1.t1	XP_034831832.1
OG0000054	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1	XP_034832273.1
OG0000054	HMEL031506g1.t1, HMEL031507g1.t1	XP_034832263.1, XP_034832264.1
OG0000054	HMEL031505g1.t1	XP_034826915.1, XP_034832271.1
OG0000056	HMEL010939-RA	XP_034837121.1
OG0000056	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA	XP_034837117.1, XP_034837118.1, XP_034837116.1, XP_034837115.1, XP_034837119.1, XP_034837196.1, XP_034837120.1
OG0000057	HMEL003534g1.t1, HMEL032313g1.t1	XP_034835052.1
OG0000057	HMEL006997g1.t1	XP_034824341.1, XP_034824712.1
OG0000058	HMEL036938g1.t1	XP_034834921.1, XP_034826968.1
OG0000059	HMEL030984g1.t1, HMEL033425g1.t1	XP_034833588.1
OG0000059	HMEL014102g1.t1	XP_034834965.1, XP_034833954.1, XP_034834180.1, XP_034840031.1, XP_034839507.1
OG0000059	HMEL033410g1.t1	XP_034837743.1, XP_034835710.1, XP_034838760.1, XP_034827073.1, XP_034825569.1, XP_034830755.1, XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1, XP_034831599.1, XP_034829013.1, XP_034840426.1, XP_034830771.1, XP_034825630.1
OG0000060	HMEL012129g1.t1	XP_034833415.1
OG0000060	HMEL036359g1.t1, HMEL036361g1.t1, HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1	XP_034833409.1, XP_034833592.1
OG0000061	HMEL013738-RA, HMEL022441g1.t1	XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1
OG0000062	HMEL003604g1.t1	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1
OG0000063	HMEL034759g1.t1	XP_034826742.1
OG0000063	HMEL034760g1.t1	XP_034826743.1
OG0000063	HMEL008897g1.t1	XP_034830217.1
OG0000064	HMEL009540g1.t1, HMEL036517g1.t1	XP_034831574.1
OG0000066	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA	XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	HMEL010779g1.t1, HMEL003229g1.t1	XP_034826553.1, XP_034825998.1
OG0000068	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1	XP_034826565.1, XP_034826563.1
OG0000070	HMEL036665g1.t1	XP_034835112.1, XP_034825036.1
OG0000073	HMEL012052g1.t1	XP_034827345.1
OG0000073	HMEL015732g1.t1	XP_034827002.1
OG0000073	HMEL015726g1.t1	XP_034827001.1
OG0000075	HMEL002852g1.t1	XP_034830498.1
OG0000075	HMEL032963g1.t1	XP_034830943.1
OG0000075	HMEL032798g1.t1, HMEL022365g1.t1	XP_034830541.1
OG0000076	HMEL037276g1.t1, HMEL002849g1.t1, HMEL016088g1.t1	XP_034828827.1, XP_034838412.1, XP_034838763.1
OG0000076	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1	XP_034838983.1
OG0000077	HMEL020717g1.t1, HMEL031852g1.t1	XP_034824575.1
OG0000078	HMEL010630g1.t1, HMEL030578g1.t1	XP_034827858.1, XP_034833688.1
OG0000079	HMEL006318-RA, HMEL032049g1.t1, HMEL020697g1.t1, HMEL037179g1.t1	XP_034830103.1, XP_034830100.1, XP_034830101.1
OG0000080	HMEL036909g1.t1	XP_034840379.1, XP_034837725.1, XP_034827807.1, XP_034831579.1, XP_034830025.1
OG0000082	HMEL007401g1.t1	XP_034837737.1
OG0000082	HMEL030062g1.t1	XP_034837495.1
OG0000082	HMEL014537g1.t1	XP_034837708.1
OG0000083	HMEL013158g1.t1	XP_034837077.1
OG0000083	HMEL013160g1.t1, HMEL013159g1.t1	XP_034837435.1, XP_034837073.1, XP_034837074.1
OG0000084	HMEL015484g1.t1	XP_034829605.1
OG0000088	HMEL011526g1.t1	XP_034838855.1
OG0000088	HMEL003755g1.t1	XP_034826751.1
OG0000090	HMEL010419g1.t1	XP_034824729.1
OG0000091	HMEL032269g1.t1, HMEL036279g1.t1, HMEL033634g1.t1, HMEL036045g1.t1	XP_034839852.1, XP_034835586.1
OG0000093	HMEL006620g1.t1	XP_034837580.1
OG0000093	HMEL005989g1.t1	XP_034837597.1
OG0000093	HMEL003398g1.t1	XP_034837561.1
OG0000094	HMEL015375g1.t1	XP_034826064.1, XP_034826549.1
OG0000094	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1	XP_034826299.1, XP_034826552.1
OG0000095	HMEL003312g1.t1	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	HMEL034898g1.t1, HMEL034900g1.t1, HMEL034901g1.t1	XP_034826970.1, XP_034826971.1
OG0000096	HMEL006028g1.t1	XP_034826805.1
OG0000096	HMEL034896g1.t1	XP_034826807.1, XP_034826966.1
OG0000097	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1	XP_034832726.1
OG0000098	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1	XP_034828987.1
OG0000100	HMEL016056g1.t1	XP_034834955.1
OG0000100	HMEL016058g1.t1	XP_034834638.1
OG0000101	HMEL013064g1.t1, HMEL035350g1.t1	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000102	HMEL003225g1.t1, HMEL038139g1.t1, HMEL033321g1.t1, HMEL033320g1.t1, HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1	XP_034827509.1
OG0000102	HMEL003365g1.t1	XP_034827511.1, XP_034827504.1
OG0000103	HMEL004144g1.t1	XP_034827721.1
OG0000109	HMEL007501g1.t1	XP_034830617.1
OG0000110	HMEL008603g1.t1	XP_034827561.1
OG0000110	HMEL008599g1.t1	XP_034828311.1
OG0000111	HMEL017867g1.t1	XP_034828844.1
OG0000111	HMEL016755g1.t1	XP_034824587.1
OG0000112	HMEL015804g1.t1	XP_034824987.1
OG0000112	HMEL015803g1.t1	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1
OG0000113	HMEL037320g1.t1, HMEL037318g1.t1	XP_034838911.1
OG0000113	HMEL037317g1.t1, HMEL037316g1.t1	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	HMEL015510g1.t1	XP_034827802.1, XP_034827577.1
OG0000115	HMEL005318g1.t1	XP_034825883.1
OG0000115	HMEL017991g1.t1	XP_034827053.1
OG0000115	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1	XP_034825882.1
OG0000116	HMEL017091g1.t1	XP_034824340.1
OG0000116	HMEL037149g1.t1	XP_034830236.1
OG0000116	HMEL034503g1.t1	XP_034837001.1
OG0000116	HMEL013498g1.t1	XP_034839409.1
OG0000117	HMEL033309g1.t1	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	HMEL033310g1.t1, HMEL002121g1.t1	XP_034828156.1, XP_034828155.1
OG0000118	HMEL034064g1.t1	XP_034839973.1
OG0000122	HMEL032771g1.t1	XP_034830824.1
OG0000124	HMEL011266g1.t1, HMEL032622g1.t1	XP_034835580.1
OG0000124	HMEL022333g1.t1, HMEL011270g1.t1	XP_034835582.1
OG0000124	HMEL017507g1.t1	XP_034824366.1
OG0000125	HMEL003538g1.t1, HMEL030582g1.t1	XP_034825845.1, XP_034826126.1, XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1
OG0000125	HMEL013672g1.t1	XP_034825844.1, XP_034825846.1
OG0000128	HMEL032417g1.t1, HMEL032418g1.t1	XP_034835222.1
OG0000128	HMEL007085g1.t1	XP_034835626.1, XP_034835625.1
OG0000128	HMEL032421g1.t1	XP_034835270.1
OG0000131	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA	XP_034837858.1, XP_034838212.1
OG0000132	HMEL037936g1.t1, HMEL037935g1.t1	XP_034834241.1, XP_034833542.1
OG0000133	HMEL010958g1.t1	XP_034838137.1
OG0000134	HMEL030656g1.t1	XP_034825942.1
OG0000134	HMEL017157g1.t1	XP_034826234.1
OG0000134	HMEL030654g1.t1	XP_034825941.1
OG0000137	HMEL021457g1.t1, HMEL031218g1.t1, HMEL010316g1.t1, HMEL031220g1.t1	XP_034840849.1
OG0000138	HMEL013861g1.t1	XP_034840957.1, XP_034840968.1
OG0000138	HMEL013862g1.t1	XP_034823988.1, XP_034823996.1
OG0000138	HMEL031800g1.t1, HMEL031799g1.t1	XP_034824894.1
OG0000139	HMEL004636g1.t1	XP_034833832.1
OG0000139	HMEL009670g1.t1	XP_034835919.1
OG0000139	HMEL011830g1.t1	XP_034833962.1
OG0000140	HMEL015840g1.t1	XP_034836898.1
OG0000140	HMEL015842g1.t1	XP_034836751.1, XP_034836899.1, XP_034836915.1
OG0000141	HMEL016237g1.t1	XP_034829113.1, XP_034829114.1
OG0000142	HMEL013887g1.t1	XP_034827901.1
OG0000143	HMEL010202g1.t1, HMEL010201g1.t1, HMEL033259g1.t1	XP_034827819.1
OG0000143	HMEL010205g1.t1	XP_034827875.1, XP_034827552.1
OG0000144	HMEL009988g1.t1, HMEL011225g1.t1	XP_034833620.1, XP_034833621.1, XP_034833240.1
OG0000144	HMEL009987g1.t1	XP_034833202.1
OG0000145	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1	XP_034830807.1, XP_034830804.1, XP_034830805.1, XP_034830806.1
OG0000147	HMEL022638g1.t1, HMEL036387g1.t1, HMEL036388g1.t1	XP_034833227.1, XP_034830230.1
OG0000149	HMEL036082g1.t1	XP_034828465.1
OG0000149	HMEL036986g1.t1	XP_034829851.1
OG0000149	HMEL021224g1.t1	XP_034829950.1
OG0000150	HMEL032164g1.t1, HMEL030981g1.t1	XP_034824833.1
OG0000150	HMEL030115g1.t1	XP_034839952.1
OG0000152	HMEL006927g1.t1	XP_034832206.1
OG0000152	HMEL003035g1.t1	XP_034833337.1
OG0000152	HMEL006925g1.t1	XP_034833675.1
OG0000153	HMEL013104g1.t1	XP_034830680.1
OG0000154	HMEL004219g1.t1, HMEL004220g1.t1, HMEL004221g1.t1, HMEL034516g1.t1, HMEL034517g1.t1	XP_034836981.1
OG0000155	HMEL005263g1.t1	XP_034836186.1
OG0000161	HMEL037044g1.t1	XP_034829418.1, XP_034836848.1, XP_034836538.1
OG0000162	HMEL003356g1.t1, HMEL032378g1.t1	XP_034835629.1, XP_034835505.1
OG0000162	HMEL005452g1.t1	XP_034835633.1
OG0000163	HMEL018122-RA	XP_034835691.1, XP_034835688.1
OG0000164	HMEL033303g1.t1, HMEL033302g1.t1	XP_034837112.1, XP_034827829.1
OG0000165	HMEL011721g1.t1	XP_034825550.1
OG0000166	HMEL008383g1.t1	XP_034833378.1
OG0000166	HMEL017421g1.t1	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	HMEL000014-RA	XP_034830390.1
OG0000167	HMEL037415g1.t1	XP_034838582.1
OG0000168	HMEL021925g1.t1	XP_034824806.1
OG0000169	HMEL032591g1.t1	XP_034835310.1
OG0000169	HMEL004510g1.t1	XP_034835217.1
OG0000170	HMEL017463-RA	XP_034833424.1, XP_034833639.1
OG0000170	HMEL036559g1.t1, HMEL017464-RA	XP_034833640.1, XP_034833641.1
OG0000171	HMEL022645-RA	XP_034827023.1
OG0000171	HMEL022639-RA, HMEL022630-RA, HMEL022665-RA	XP_034827103.1
OG0000172	HMEL013270g1.t1, HMEL013271g1.t1, HMEL013269g1.t1	XP_034827882.1, XP_034827883.1
OG0000172	HMEL009605g1.t1	XP_034827884.1, XP_034827893.1
OG0000174	HMEL030801g1.t1	XP_034837309.1
OG0000174	HMEL012849g1.t1	XP_034839773.1
OG0000175	HMEL005257g1.t1	XP_034837022.1, XP_034837023.1
OG0000175	HMEL012561g1.t1	XP_034840446.1
OG0000178	HMEL015563g1.t1	XP_034836827.1
OG0000178	HMEL016583g1.t1	XP_034836823.1
OG0000179	HMEL036395g1.t1	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1
OG0000180	HMEL033120g1.t1, HMEL016637g1.t1	XP_034832218.1
OG0000181	HMEL011701g1.t1	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	HMEL020366g1.t1	XP_034824717.1
OG0000183	HMEL032597g1.t1	XP_034835115.1
OG0000183	HMEL033943g1.t1	XP_034825260.1
OG0000184	HMEL006332g1.t1	XP_034824593.1
OG0000184	HMEL036118g1.t1	XP_034828820.1
OG0000184	HMEL036099g1.t1	XP_034828761.1
OG0000185	HMEL010232-RA	XP_034832652.1
OG0000185	HMEL010229-RA	XP_034832649.1
OG0000185	HMEL010231-RA	XP_034832653.1
OG0000185	HMEL010230-RA	XP_034832651.1
OG0000186	HMEL002921g1.t1, HMEL034749g1.t1, HMEL005230g1.t1	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	HMEL004546g1.t1	XP_034827454.1
OG0000187	HMEL014245g1.t1	XP_034827784.1, XP_034827465.1
OG0000190	HMEL016174g1.t1, HMEL007082g1.t1, HMEL016175g1.t1, HMEL035941g1.t1, HMEL007083g1.t1	XP_034828878.1, XP_034828877.1
OG0000191	HMEL016625g1.t1	XP_034839817.1
OG0000193	HMEL008370g1.t1	XP_034828385.1
OG0000193	HMEL036059g1.t1, HMEL036064g1.t1	XP_034828838.1
OG0000193	HMEL036060g1.t1	XP_034828613.1
OG0000196	HMEL005932-RA	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	HMEL030732g1.t1	XP_034835441.1, XP_034835445.1
OG0000197	HMEL031066g1.t1	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	HMEL012546g1.t1	XP_034839995.1
OG0000199	HMEL034369g1.t1, HMEL010727g1.t1	XP_034839171.1, XP_034837850.1
OG0000200	HMEL021720g1.t1, HMEL021722g1.t1	XP_034830828.1
OG0000201	HMEL013909g1.t1, HMEL037613g1.t1, HMEL037614g1.t1, HMEL013908g1.t1	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000202	HMEL007567-RA, HMEL007568-RA	XP_034824228.1, XP_034824229.1
OG0000203	HMEL021464g1.t1, HMEL032854g1.t1	XP_034830571.1
OG0000203	HMEL005910g1.t1	XP_034827127.1, XP_034827128.1
OG0000205	HMEL034317g1.t1	XP_034829187.1
OG0000205	HMEL034318g1.t1, HMEL022419g1.t1	XP_034826972.1, XP_034826958.1, XP_034826957.1
OG0000206	HMEL022646g1.t1, HMEL022529g1.t1, HMEL022534g1.t1, HMEL037240g1.t1, HMEL037239g1.t1, HMEL022660g1.t1, HMEL022666g1.t1	XP_034838830.1, XP_034839065.1
OG0000207	HMEL020117g1.t1, HMEL036861g1.t1, HMEL036859g1.t1	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1
OG0000208	HMEL030165g1.t1, HMEL030164g1.t1, HMEL015809g1.t1	XP_034841203.1, XP_034841212.1
OG0000208	HMEL015808g1.t1, HMEL015811g1.t1	XP_034831041.1
OG0000209	HMEL010718g1.t1	XP_034836601.1
OG0000209	HMEL037626g1.t1	XP_034831212.1
OG0000210	HMEL003262g1.t1	XP_034827061.1
OG0000212	HMEL006013g1.t1	XP_034824811.1
OG0000212	HMEL006014g1.t1	XP_034824810.1
OG0000212	HMEL006012g1.t1	XP_034824322.1
