Orthogroup	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
OG0014092	Bany_00923-RA								
OG0014093	Bany_13610-RA								
OG0014094	Bany_02645-RA								
OG0014095	Bany_09335-RA								
OG0014096	Bany_14258-RA								
OG0014097	Bany_01816-RA								
OG0014098	Bany_15444-RA								
OG0014099	Bany_14259-RA								
OG0014100	Bany_12449-RA								
OG0014101	Bany_05182-RA								
OG0014102	Bany_09901-RA								
OG0014103	Bany_02647-RA								
OG0014104	Bany_03459-RA								
OG0014105	Bany_05183-RA								
OG0014106	Bany_01819-RA								
OG0014107	Bany_01820-RA								
OG0014108	Bany_00925-RA								
OG0014109	Bany_18120-RA								
OG0014110	Bany_15448-RA								
OG0014111	Bany_05184-RA								
OG0014112	Bany_14887-RA								
OG0014113	Bany_07172-RA								
OG0014114	Bany_18122-RA								
OG0014115	Bany_05185-RA								
OG0014116	Bany_00927-RA								
OG0014117	Bany_03462-RA								
OG0014118	Bany_02648-RA								
OG0014119	Bany_04305-RA								
OG0014120	Bany_00011-RA								
OG0014121	Bany_00928-RA								
OG0014122	Bany_14264-RA								
OG0014123	Bany_05186-RA								
OG0014124	Bany_09905-RA								
OG0014125	Bany_01823-RA								
OG0014126	Bany_09906-RA								
OG0014127	Bany_13614-RA								
OG0014128	Bany_09907-RA								
OG0014129	Bany_04306-RA								
OG0014130	Bany_12451-RA								
OG0014131	Bany_05187-RA								
OG0014132	Bany_01826-RA								
OG0014133	Bany_01827-RA								
OG0014134	Bany_03465-RA								
OG0014135	Bany_09908-RA								
OG0014136	Bany_04307-RA								
OG0014137	Bany_01828-RA								
OG0014138	Bany_14268-RA								
OG0014139	Bany_03466-RA								
OG0014140	Bany_16034-RA								
OG0014141	Bany_01831-RA								
OG0014142	Bany_03467-RA								
OG0014143	Bany_14269-RA								
OG0014144	Bany_00929-RA								
OG0014145	Bany_08660-RA								
OG0014146	Bany_04310-RA								
OG0014147	Bany_00931-RA								
OG0014148	Bany_04311-RA								
OG0014149	Bany_00933-RA								
OG0014150	Bany_01837-RA								
OG0014151	Bany_07179-RA								
OG0014152	Bany_04312-RA								
OG0014153	Bany_13619-RA								
OG0014154	Bany_01838-RA								
OG0014155	Bany_12460-RA								
OG0014156	Bany_00936-RA								
OG0014157	Bany_11835-RA								
OG0014158	Bany_05188-RA								
OG0014159	Bany_03471-RA								
OG0014160	Bany_07934-RA								
OG0014161	Bany_08666-RA								
OG0014162	Bany_05189-RA								
OG0014163	Bany_05190-RA								
OG0014164	Bany_16949-RA								
OG0014165	Bany_05191-RA								
OG0014166	Bany_13620-RA								
OG0014167	Bany_13621-RA								
OG0014168	Bany_13622-RA								
OG0014169	Bany_04316-RA								
OG0014170	Bany_16954-RA								
OG0014171	Bany_00013-RA								
OG0014172	Bany_04318-RA								
OG0014173	Bany_00945-RA								
OG0014174	Bany_07938-RA								
OG0014175	Bany_10559-RA								
OG0014176	Bany_04321-RA								
OG0014177	Bany_16452-RA								
OG0014178	Bany_10560-RA								
OG0014179	Bany_11146-RA								
OG0014180	Bany_16049-RA								
OG0014181	Bany_02651-RA								
OG0014182	Bany_16457-RA								
OG0014183	Bany_15469-RA								
OG0014184	Bany_07945-RA								
OG0014185	Bany_02653-RA								
OG0014186	Bany_04324-RA								
OG0014187	Bany_15471-RA								
OG0014188	Bany_02655-RA								
OG0014189	Bany_13036-RA								
OG0014190	Bany_15472-RA								
OG0014191	Bany_02657-RA								
OG0014192	Bany_02658-RA								
OG0014193	Bany_15473-RA								
OG0014194	Bany_02659-RA								
OG0014195	Bany_04325-RA								
OG0014196	Bany_13628-RA								
OG0014197	Bany_15476-RA								
OG0014198	Bany_15477-RA								
OG0014199	Bany_07189-RA								
OG0014200	Bany_16461-RA								
OG0014201	Bany_13631-RA								
OG0014202	Bany_03475-RA								
OG0014203	Bany_17711-RA								
OG0014204	Bany_00953-RA								
OG0014205	Bany_13040-RA								
OG0014206	Bany_13633-RA								
OG0014207	Bany_10565-RA								
OG0014208	Bany_02661-RA								
OG0014209	Bany_11847-RA								
OG0014210	Bany_13634-RA								
OG0014211	Bany_16466-RA								
OG0014212	Bany_13635-RA								
OG0014213	Bany_02662-RA								
OG0014214	Bany_10568-RA								
OG0014215	Bany_03478-RA								
OG0014216	Bany_04330-RA								
OG0014217	Bany_13044-RA								
OG0014218	Bany_07952-RA								
OG0014219	Bany_10574-RA								
OG0014220	Bany_16472-RA								
OG0014221	Bany_15490-RA								
OG0014222	Bany_16960-RA								
OG0014223	Bany_12485-RA								
OG0014224	Bany_02664-RA								
OG0014225	Bany_13649-RA								
OG0014226	Bany_04334-RA								
OG0014227	Bany_16964-RA								
OG0014228	Bany_05209-RA								
OG0014229	Bany_12491-RA								
OG0014230	Bany_12492-RA								
OG0014231	Bany_13654-RA								
OG0014232	Bany_05902-RA								
OG0014233	Bany_16967-RA								
OG0014234	Bany_10584-RA								
OG0014235	Bany_14919-RA								
OG0014236	Bany_01875-RA								
OG0014237	Bany_17422-RA								
OG0014238	Bany_17723-RA								
OG0014239	Bany_17425-RA								
OG0014240	Bany_16080-RA								
OG0014241	Bany_07964-RA								
OG0014242	Bany_01878-RA								
OG0014243	Bany_07965-RA								
OG0014244	Bany_07966-RA								
OG0014245	Bany_05217-RA								
OG0014246	Bany_11849-RA								
OG0014247	Bany_04344-RA								
OG0014248	Bany_07967-RA								
OG0014249	Bany_17726-RA								
OG0014250	Bany_03489-RA								
OG0014251	Bany_10597-RA								
OG0014252	Bany_12507-RA								
OG0014253	Bany_02665-RA								
OG0014254	Bany_07968-RA								
OG0014255	Bany_14303-RA								
OG0014256	Bany_13047-RA								
OG0014257	Bany_03490-RA								
OG0014258	Bany_16487-RA								
OG0014259	Bany_17730-RA								
OG0014260	Bany_14305-RA								
OG0014261	Bany_04346-RA								
OG0014262	Bany_07969-RA								
OG0014263	Bany_12510-RA								
OG0014264	Bany_11156-RA								
OG0014265	Bany_00973-RA								
OG0014266	Bany_15496-RA								
OG0014267	Bany_08695-RA								
OG0014268	Bany_15497-RA								
OG0014269	Bany_15498-RA								
OG0014270	Bany_00975-RA								
OG0014271	Bany_15499-RA								
OG0014272	Bany_16492-RA								
OG0014273	Bany_16979-RA								
OG0014274	Bany_11159-RA								
OG0014275	Bany_11851-RA								
OG0014276	Bany_10606-RA								
OG0014277	Bany_11162-RA								
OG0014278	Bany_16085-RA								
OG0014279	Bany_03491-RA								
OG0014280	Bany_12517-RA								
OG0014281	Bany_00977-RA								
OG0014282	Bany_05226-RA								
OG0014283	Bany_08698-RA								
OG0014284	Bany_03492-RA								
OG0014285	Bany_09355-RA								
OG0014286	Bany_03493-RA								
OG0014287	Bany_16498-RA								
OG0014288	Bany_12520-RA								
OG0014289	Bany_16984-RA								
OG0014290	Bany_12521-RA								
OG0014291	Bany_12522-RA								
OG0014292	Bany_14309-RA								
OG0014293	Bany_08701-RA								
OG0014294	Bany_16988-RA								
OG0014295	Bany_08702-RA								
OG0014296	Bany_08703-RA								
OG0014297	Bany_12528-RA								
OG0014298	Bany_15506-RA								
OG0014299	Bany_04353-RA								
OG0014300	Bany_13054-RA								
OG0014301	Bany_04356-RA								
OG0014302	Bany_07210-RA								
OG0014303	Bany_08708-RA								
OG0014304	Bany_15512-RA								
OG0014305	Bany_13672-RA								
OG0014306	Bany_00988-RA								
OG0014307	Bany_04363-RA								
OG0014308	Bany_14936-RA								
OG0014309	Bany_15514-RA								
OG0014310	Bany_08712-RA								
OG0014311	Bany_15517-RA								
OG0014312	Bany_03504-RA								
OG0014313	Bany_13058-RA								
OG0014314	Bany_00995-RA								
OG0014315	Bany_16105-RA								
OG0014316	Bany_09362-RA								
OG0014317	Bany_03510-RA								
OG0014318	Bany_13060-RA								
OG0014319	Bany_11857-RA								
OG0014320	Bany_12535-RA								
OG0014321	Bany_04373-RA								
OG0014322	Bany_10640-RA								
OG0014323	Bany_17446-RA								
OG0014324	Bany_04376-RA								
OG0014325	Bany_17448-RA								
OG0014326	Bany_13069-RA								
OG0014327	Bany_13070-RA								
OG0014328	Bany_05236-RA								
OG0014329	Bany_13071-RA								
OG0014330	Bany_17449-RA								
OG0014331	Bany_07221-RA								
OG0014332	Bany_05921-RA								
OG0014333	Bany_13075-RA								
OG0014334	Bany_04383-RA								
OG0014335	Bany_02680-RA								
OG0014336	Bany_17452-RA								
OG0014337	Bany_13080-RA								
OG0014338	Bany_16115-RA								
OG0014339	Bany_02682-RA								
OG0014340	Bany_14329-RA								
OG0014341	Bany_13083-RA								
OG0014342	Bany_17747-RA								
OG0014343	Bany_11861-RA								
OG0014344	Bany_13085-RA								
OG0014345	Bany_00052-RA								
OG0014346	Bany_05927-RA								
OG0014347	Bany_04387-RA								
OG0014348	Bany_05928-RA								
OG0014349	Bany_13087-RA								
OG0014350	Bany_11862-RA								
OG0014351	Bany_02684-RA								
OG0014352	Bany_17752-RA								
OG0014353	Bany_04389-RA								
OG0014354	Bany_03516-RA								
OG0014355	Bany_02685-RA								
OG0014356	Bany_14333-RA								
OG0014357	Bany_02687-RA								
OG0014358	Bany_13098-RA								
OG0014359	Bany_04392-RA								
OG0014360	Bany_13100-RA								
OG0014361	Bany_09389-RA								
OG0014362	Bany_07994-RA								
OG0014363	Bany_00064-RA								
OG0014364	Bany_13103-RA								
OG0014365	Bany_17003-RA								
OG0014366	Bany_01907-RA								
OG0014367	Bany_02689-RA								
OG0014368	Bany_09392-RA								
OG0014369	Bany_17461-RA								
OG0014370	Bany_11863-RA								
OG0014371	Bany_11864-RA								
OG0014372	Bany_10664-RA								
OG0014373	Bany_09397-RA								
OG0014374	Bany_15526-RA								
OG0014375	Bany_01914-RA								
OG0014376	Bany_17005-RA								
OG0014377	Bany_14342-RA								
OG0014378	Bany_00069-RA								
OG0014379	Bany_17467-RA								
OG0014380	Bany_10668-RA								
OG0014381	Bany_14948-RA								
OG0014382	Bany_14949-RA								
OG0014383	Bany_00070-RA								
OG0014384	Bany_00071-RA								
OG0014385	Bany_02694-RA								
OG0014386	Bany_17007-RA								
OG0014387	Bany_11870-RA								
OG0014388	Bany_07230-RA								
OG0014389	Bany_14346-RA								
OG0014390	Bany_08001-RA								
OG0014391	Bany_16132-RA								
OG0014392	Bany_17470-RA								
OG0014393	Bany_08003-RA								
OG0014394	Bany_16516-RA								
OG0014395	Bany_01920-RA								
OG0014396	Bany_13714-RA								
OG0014397	Bany_15532-RA								
OG0014398	Bany_11194-RA								
OG0014399	Bany_02696-RA								
OG0014400	Bany_06606-RA								
OG0014401	Bany_12568-RA								
OG0014402	Bany_15536-RA								
OG0014403	Bany_07234-RA								
OG0014404	Bany_13715-RA								
OG0014405	Bany_03522-RA								
OG0014406	Bany_14351-RA								
OG0014407	Bany_06607-RA								
OG0014408	Bany_10673-RA								
OG0014409	Bany_00084-RA								
OG0014410	Bany_17475-RA								
OG0014411	Bany_17476-RA								
OG0014412	Bany_16137-RA								
OG0014413	Bany_07236-RA								
OG0014414	Bany_08012-RA								
OG0014415	Bany_08013-RA								
OG0014416	Bany_08014-RA								
OG0014417	Bany_11205-RA								
OG0014418	Bany_17759-RA								
OG0014419	Bany_17014-RA								
OG0014420	Bany_08730-RA								
OG0014421	Bany_08731-RA								
OG0014422	Bany_02700-RA								
OG0014423	Bany_16518-RA								
OG0014424	Bany_11211-RA								
OG0014425	Bany_14957-RA								
OG0014426	Bany_15549-RA								
OG0014427	Bany_14958-RA								
OG0014428	Bany_15551-RA								
OG0014429	Bany_09404-RA								
OG0014430	Bany_06614-RA								
OG0014431	Bany_05935-RA								
OG0014432	Bany_04406-RA								
OG0014433	Bany_01937-RA								
OG0014434	Bany_14962-RA								
OG0014435	Bany_15556-RA								
OG0014436	Bany_04413-RA								
OG0014437	Bany_04414-RA								
OG0014438	Bany_00096-RA								
OG0014439	Bany_16150-RA								
OG0014440	Bany_13733-RA								
OG0014441	Bany_10684-RA								
OG0014442	Bany_05263-RA								
OG0014443	Bany_11214-RA								
OG0014444	Bany_04419-RA								
OG0014445	Bany_16526-RA								
OG0014446	Bany_17774-RA								
OG0014447	Bany_15561-RA								
OG0014448	Bany_17481-RA								
OG0014449	Bany_12588-RA								
OG0014450	Bany_12590-RA								
OG0014451	Bany_12591-RA								
OG0014452	Bany_12592-RA								
OG0014453	Bany_05265-RA								
OG0014454	Bany_05266-RA								
OG0014455	Bany_05267-RA								
OG0014456	Bany_12593-RA								
OG0014457	Bany_13144-RA								
OG0014458	Bany_08028-RA								
OG0014459	Bany_07246-RA								
OG0014460	Bany_08740-RA								
OG0014461	Bany_02718-RA								
OG0014462	Bany_08743-RA								
OG0014463	Bany_11224-RA								
OG0014464	Bany_02719-RA								
OG0014465	Bany_02720-RA								
OG0014466	Bany_06623-RA								
OG0014467	Bany_11228-RA								
OG0014468	Bany_06624-RA								
OG0014469	Bany_11229-RA								
OG0014470	Bany_12603-RA								
OG0014471	Bany_17485-RA								
OG0014472	Bany_00105-RA								
OG0014473	Bany_02721-RA								
OG0014474	Bany_01942-RA								
OG0014475	Bany_07250-RA								
OG0014476	Bany_00110-RA								
OG0014477	Bany_11233-RA								
OG0014478	Bany_11237-RA								
OG0014479	Bany_02722-RA								
OG0014480	Bany_03528-RA								
OG0014481	Bany_11241-RA								
OG0014482	Bany_09409-RA								
OG0014483	Bany_17490-RA								
OG0014484	Bany_04435-RA								
OG0014485	Bany_14379-RA								
OG0014486	Bany_04437-RA								
OG0014487	Bany_05269-RA								
OG0014488	Bany_05270-RA								
OG0014489	Bany_01952-RA								
OG0014490	Bany_06633-RA								
OG0014491	Bany_11899-RA								
OG0014492	Bany_03533-RA								
OG0014493	Bany_07259-RA								
OG0014494	Bany_08757-RA								
OG0014495	Bany_08758-RA								
OG0014496	Bany_08759-RA								
OG0014497	Bany_11249-RA								
OG0014498	Bany_13741-RA								
OG0014499	Bany_08760-RA								
OG0014500	Bany_02723-RA								
OG0014501	Bany_08761-RA								
OG0014502	Bany_08763-RA								
OG0014503	Bany_11251-RA								
OG0014504	Bany_01045-RA								
OG0014505	Bany_05275-RA								
OG0014506	Bany_13743-RA								
OG0014507	Bany_13744-RA								
OG0014508	Bany_13745-RA								
OG0014509	Bany_11252-RA								
OG0014510	Bany_02725-RA								
OG0014511	Bany_09418-RA								
OG0014512	Bany_00125-RA								
OG0014513	Bany_01956-RA								
OG0014514	Bany_11253-RA								
OG0014515	Bany_12609-RA								
OG0014516	Bany_13748-RA								
OG0014517	Bany_11256-RA								
OG0014518	Bany_12612-RA								
OG0014519	Bany_09420-RA								
OG0014520	Bany_01959-RA								
OG0014521	Bany_05280-RA								
OG0014522	Bany_07261-RA								
OG0014523	Bany_15579-RA								
OG0014524	Bany_14970-RA								
OG0014525	Bany_00127-RA								
OG0014526	Bany_11262-RA								
OG0014527	Bany_03540-RA								
OG0014528	Bany_12620-RA								
OG0014529	Bany_01962-RA								
OG0014530	Bany_01963-RA								
OG0014531	Bany_05287-RA								
OG0014532	Bany_09988-RA								
OG0014533	Bany_08766-RA								
OG0014534	Bany_09989-RA								
OG0014535	Bany_07264-RA								
OG0014536	Bany_05289-RA								
OG0014537	Bany_00130-RA								
OG0014538	Bany_02737-RA								
OG0014539	Bany_02738-RA								
OG0014540	Bany_16181-RA								
OG0014541	Bany_16182-RA								
OG0014542	Bany_13164-RA								
OG0014543	Bany_16183-RA								
OG0014544	Bany_12627-RA								
OG0014545	Bany_16553-RA								
OG0014546	Bany_08770-RA								
OG0014547	Bany_09423-RA								
OG0014548	Bany_14389-RA								
OG0014549	Bany_01969-RA								
OG0014550	Bany_08046-RA								
OG0014551	Bany_08047-RA								
OG0014552	Bany_17788-RA								
OG0014553	Bany_12632-RA								
OG0014554	Bany_16184-RA								
OG0014555	Bany_16185-RA								
OG0014556	Bany_16186-RA								
OG0014557	Bany_03543-RA								
OG0014558	Bany_16187-RA								
OG0014559	Bany_05292-RA								
OG0014560	Bany_00138-RA								
OG0014561	Bany_13171-RA								
OG0014562	Bany_11281-RA								
OG0014563	Bany_11282-RA								
OG0014564	Bany_00140-RA								
OG0014565	Bany_02751-RA								
OG0014566	Bany_02753-RA								
OG0014567	Bany_13173-RA								
OG0014568	Bany_09429-RA								
OG0014569	Bany_00142-RA								
OG0014570	Bany_00143-RA								
OG0014571	Bany_08772-RA								
OG0014572	Bany_00146-RA								
OG0014573	Bany_12639-RA								
OG0014574	Bany_11286-RA								
OG0014575	Bany_00148-RA								
OG0014576	Bany_08053-RA								
OG0014577	Bany_01983-RA								
OG0014578	Bany_12640-RA								
OG0014579	Bany_00153-RA								
OG0014580	Bany_17046-RA								
OG0014581	Bany_12645-RA								
OG0014582	Bany_05953-RA								
OG0014583	Bany_14985-RA								
OG0014584	Bany_16562-RA								
OG0014585	Bany_00159-RA								
OG0014586	Bany_03549-RA								
OG0014587	Bany_03550-RA								
OG0014588	Bany_16566-RA								
OG0014589	Bany_03553-RA								
OG0014590	Bany_08775-RA								
OG0014591	Bany_05954-RA								
OG0014592	Bany_00163-RA								
OG0014593	Bany_05956-RA								
OG0014594	Bany_16568-RA								
OG0014595	Bany_00165-RA								
OG0014596	Bany_05958-RA								
OG0014597	Bany_00166-RA								
OG0014598	Bany_11918-RA								
OG0014599	Bany_05961-RA								
OG0014600	Bany_14402-RA								
OG0014601	Bany_05962-RA								
OG0014602	Bany_14404-RA								
OG0014603	Bany_05964-RA								
OG0014604	Bany_15595-RA								
OG0014605	Bany_15596-RA								
OG0014606	Bany_05966-RA								
OG0014607	Bany_16577-RA								
OG0014608	Bany_04455-RA								
OG0014609	Bany_00169-RA								
OG0014610	Bany_05967-RA								
OG0014611	Bany_10719-RA								
OG0014612	Bany_16580-RA								
OG0014613	Bany_05969-RA								
OG0014614	Bany_05970-RA								
OG0014615	Bany_00171-RA								
OG0014616	Bany_04461-RA								
OG0014617	Bany_05974-RA								
OG0014618	Bany_17057-RA								
OG0014619	Bany_00172-RA								
OG0014620	Bany_08059-RA								
OG0014621	Bany_14413-RA								
OG0014622	Bany_10723-RA								
OG0014623	Bany_10725-RA								
OG0014624	Bany_07277-RA								
OG0014625	Bany_04464-RA								
OG0014626	Bany_14989-RA								
OG0014627	Bany_00173-RA								
OG0014628	Bany_02003-RA								
OG0014629	Bany_02005-RA								
OG0014630	Bany_05982-RA								
OG0014631	Bany_04467-RA								
OG0014632	Bany_05984-RA								
OG0014633	Bany_10732-RA								
OG0014634	Bany_14418-RA								
OG0014635	Bany_02006-RA								
OG0014636	Bany_08060-RA								
OG0014637	Bany_05986-RA								
OG0014638	Bany_05987-RA								
OG0014639	Bany_05988-RA								
OG0014640	Bany_16592-RA								
OG0014641	Bany_05989-RA								
OG0014642	Bany_17062-RA								
OG0014643	Bany_01066-RA								
OG0014644	Bany_13183-RA								
OG0014645	Bany_17064-RA								
OG0014646	Bany_17826-RA								
OG0014647	Bany_17827-RA								
OG0014648	Bany_00179-RA								
OG0014649	Bany_00181-RA								
OG0014650	Bany_08785-RA								
OG0014651	Bany_05994-RA								
OG0014652	Bany_10742-RA								
OG0014653	Bany_12670-RA								
OG0014654	Bany_04472-RA								
OG0014655	Bany_10743-RA								
OG0014656	Bany_13185-RA								
OG0014657	Bany_02010-RA								
OG0014658	Bany_08061-RA								
OG0014659	Bany_04480-RA								
OG0014660	Bany_08062-RA								
OG0014661	Bany_10011-RA								
OG0014662	Bany_17072-RA								
OG0014663	Bany_10748-RA								
OG0014664	Bany_10749-RA								
OG0014665	Bany_08067-RA								
OG0014666	Bany_08069-RA								
OG0014667	Bany_08071-RA								
OG0014668	Bany_05299-RA								
OG0014669	Bany_12677-RA								
OG0014670	Bany_02017-RA								
OG0014671	Bany_08073-RA								
OG0014672	Bany_08074-RA								
OG0014673	Bany_09483-RA								
OG0014674	Bany_10012-RA								
OG0014675	Bany_08075-RA								
OG0014676	Bany_08076-RA								
OG0014677	Bany_08077-RA								
OG0014678	Bany_16215-RA								
OG0014679	Bany_13187-RA								
OG0014680	Bany_08079-RA								
OG0014681	Bany_08081-RA								
OG0014682	Bany_10013-RA								
OG0014683	Bany_10760-RA								
OG0014684	Bany_10014-RA								
OG0014685	Bany_05305-RA								
OG0014686	Bany_10015-RA								
OG0014687	Bany_06686-RA								
OG0014688	Bany_16218-RA								
OG0014689	Bany_11302-RA								
OG0014690	Bany_16219-RA								
OG0014691	Bany_16220-RA								
OG0014692	Bany_06689-RA								
OG0014693	Bany_05306-RA								
OG0014694	Bany_16600-RA								
OG0014695	Bany_11934-RA								
OG0014696	Bany_09490-RA								
OG0014697	Bany_11936-RA								
OG0014698	Bany_04486-RA								
OG0014699	Bany_10020-RA								
OG0014700	Bany_02777-RA								
OG0014701	Bany_02027-RA								
OG0014702	Bany_11938-RA								
OG0014703	Bany_13762-RA								
OG0014704	Bany_10772-RA								
OG0014705	Bany_02031-RA								
OG0014706	Bany_12690-RA								
OG0014707	Bany_13194-RA								
OG0014708	Bany_10774-RA								
OG0014709	Bany_02779-RA								
OG0014710	Bany_02780-RA								
OG0014711	Bany_06697-RA								
OG0014712	Bany_10775-RA								
OG0014713	Bany_02781-RA								
OG0014714	Bany_10776-RA								
OG0014715	Bany_07286-RA								
OG0014716	Bany_03574-RA								
OG0014717	Bany_14438-RA								
OG0014718	Bany_17096-RA								
OG0014719	Bany_10779-RA								
OG0014720	Bany_03576-RA								
OG0014721	Bany_03577-RA								
OG0014722	Bany_10780-RA								
OG0014723	Bany_08089-RA								
OG0014724	Bany_09500-RA								
OG0014725	Bany_17515-RA								
OG0014726	Bany_17516-RA								
OG0014727	Bany_17517-RA								
OG0014728	Bany_17100-RA								
OG0014729	Bany_17518-RA								
OG0014730	Bany_12697-RA								
OG0014731	Bany_12698-RA								
OG0014732	Bany_07290-RA								
OG0014733	Bany_05326-RA								
OG0014734	Bany_13772-RA								
OG0014735	Bany_16243-RA								
OG0014736	Bany_05328-RA								
OG0014737	Bany_01097-RA								
OG0014738	Bany_16608-RA								
OG0014739	Bany_05330-RA								
OG0014740	Bany_03590-RA								
OG0014741	Bany_13773-RA								
OG0014742	Bany_03591-RA								
OG0014743	Bany_16251-RA								
OG0014744	Bany_02799-RA								
OG0014745	Bany_02800-RA								
OG0014746	Bany_02801-RA								
OG0014747	Bany_05336-RA								
OG0014748	Bany_04499-RA								
OG0014749	Bany_08101-RA								
OG0014750	Bany_12710-RA								
OG0014751	Bany_00205-RA								
OG0014752	Bany_07303-RA								
OG0014753	Bany_11944-RA								
OG0014754	Bany_02802-RA								
OG0014755	Bany_07305-RA								
OG0014756	Bany_15615-RA								
OG0014757	Bany_16611-RA								
OG0014758	Bany_03596-RA								
OG0014759	Bany_17849-RA								
OG0014760	Bany_03597-RA								
OG0014761	Bany_02804-RA								
OG0014762	Bany_02054-RA								
OG0014763	Bany_16254-RA								
OG0014764	Bany_02055-RA								
OG0014765	Bany_01103-RA								
OG0014766	Bany_16258-RA								
OG0014767	Bany_12719-RA								
OG0014768	Bany_06709-RA								
OG0014769	Bany_16261-RA								
OG0014770	Bany_04503-RA								
OG0014771	Bany_13778-RA								
OG0014772	Bany_16263-RA								
OG0014773	Bany_03608-RA								
OG0014774	Bany_06711-RA								
OG0014775	Bany_12728-RA								
OG0014776	Bany_00217-RA								
OG0014777	Bany_06036-RA								
OG0014778	Bany_09520-RA								
OG0014779	Bany_17119-RA								
OG0014780	Bany_12733-RA								
OG0014781	Bany_14452-RA								
OG0014782	Bany_15010-RA								
OG0014783	Bany_12736-RA								
OG0014784	Bany_16618-RA								
OG0014785	Bany_17529-RA								
OG0014786	Bany_07315-RA								
OG0014787	Bany_17121-RA								
OG0014788	Bany_02071-RA								
OG0014789	Bany_15012-RA								
OG0014790	Bany_08109-RA								
OG0014791	Bany_02074-RA								
OG0014792	Bany_15013-RA								
OG0014793	Bany_16621-RA								
OG0014794	Bany_11333-RA								
OG0014795	Bany_04513-RA								
OG0014796	Bany_15631-RA								
OG0014797	Bany_06725-RA								
OG0014798	Bany_12744-RA								
OG0014799	Bany_12747-RA								
OG0014800	Bany_04519-RA								
OG0014801	Bany_03629-RA								
OG0014802	Bany_10797-RA								
OG0014803	Bany_13213-RA								
OG0014804	Bany_10798-RA								
OG0014805	Bany_12751-RA								
OG0014806	Bany_12752-RA								
OG0014807	Bany_04524-RA								
OG0014808	Bany_13216-RA								
OG0014809	Bany_08116-RA								
OG0014810	Bany_15018-RA								
OG0014811	Bany_13218-RA								
OG0014812	Bany_17130-RA								
OG0014813	Bany_00231-RA								
OG0014814	Bany_15021-RA								
OG0014815	Bany_11967-RA								
OG0014816	Bany_17537-RA								
OG0014817	Bany_02088-RA								
OG0014818	Bany_17139-RA								
OG0014819	Bany_17875-RA								
OG0014820	Bany_00235-RA								
OG0014821	Bany_02091-RA								
OG0014822	Bany_06056-RA								
OG0014823	Bany_13787-RA								
OG0014824	Bany_13788-RA								
OG0014825	Bany_03635-RA								
OG0014826	Bany_08117-RA								
OG0014827	Bany_17147-RA								
OG0014828	Bany_17878-RA								
OG0014829	Bany_05361-RA								
OG0014830	Bany_06748-RA								
OG0014831	Bany_10812-RA								
OG0014832	Bany_01133-RA								
OG0014833	Bany_14457-RA								
OG0014834	Bany_16627-RA								
OG0014835	Bany_06752-RA								
OG0014836	Bany_13792-RA								
