Orthogroup	Pararge_aegeria	Heliconius_erato_lativitta
OG0000039	XP_039752715.1	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA
OG0000039	XP_039752213.1, XP_039752212.1	HEL_006829-RA
OG0000041	XP_039759472.1	HEL_014103-RA
OG0000041	XP_039749285.1, XP_039749003.1	HEL_008450-RA
OG0000041	XP_039759561.1, XP_039746548.1	HEL_014422-RA
OG0000045	XP_039750219.1, XP_039750218.1	HEL_012373-RA
OG0000045	XP_039750023.1	HEL_010335-RA
OG0000045	XP_039752690.1	HEL_013537-RA, HEL_013538-RA
OG0000045	XP_039760955.1	HEL_005377-RA
OG0000046	XP_039755067.1, XP_039755066.1	HEL_005348-RA
OG0000049	XP_039751487.1, XP_039751486.1	HEL_008049-RA
OG0000049	XP_039751167.1	HEL_008034-RA, HEL_008036-RA, HEL_008037-RA
OG0000050	XP_039756635.1, XP_039756638.1, XP_039756636.1	HEL_012564-RA
OG0000052	XP_039755855.1	HEL_000724-RA
OG0000053	XP_039760715.1	HEL_006720-RA
OG0000053	XP_039761162.1	HEL_006724-RA
OG0000053	XP_039755401.1	HEL_006722-RA
OG0000053	XP_039754797.1	HEL_006725-RA
OG0000054	XP_039753385.1	HEL_003473-RA
OG0000054	XP_039753617.1	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA
OG0000054	XP_039753386.1, XP_039753387.1, XP_039753618.1	HEL_003471-RA
OG0000054	XP_039753616.1	HEL_003470-RA
OG0000056	XP_039760526.1	HEL_013494-RA
OG0000057	XP_039759134.1, XP_039759133.1	HEL_008127-RA, HEL_008126-RA
OG0000057	XP_039759135.1	HEL_008125-RA
OG0000057	XP_039749078.1	HEL_007566-RA
OG0000060	XP_039758865.1, XP_039758409.1, XP_039758410.1	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA, HEL_014348-RA, HEL_014349-RA, HEL_010277-RA, HEL_014346-RA, HEL_010278-RA, HEL_014350-RA, HEL_010280-RA
OG0000062	XP_039749293.1	HEL_000202-RA
OG0000063	XP_039751621.1, XP_039751623.1	HEL_006297-RA
OG0000063	XP_039758398.1	HEL_011544-RA
OG0000064	XP_039750964.1, XP_039750766.1	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	HEL_006896-RA
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA
OG0000069	XP_039752768.1	HEL_013144-RA
OG0000071	XP_039757286.1	HEL_009006-RA
OG0000073	XP_039751184.1, XP_039751183.1	HEL_007878-RA
OG0000073	XP_039751407.1, XP_039751408.1	HEL_008003-RA
OG0000073	XP_039751081.1	HEL_007997-RA, HEL_007992-RA
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	HEL_014328-RA, HEL_014331-RA
OG0000075	XP_039753889.1	HEL_014345-RA, HEL_014343-RA
OG0000075	XP_039754353.1	HEL_007561-RA
OG0000076	XP_039750800.1, XP_039762964.1	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA
OG0000076	XP_039762746.1	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA
OG0000077	XP_039749200.1	HEL_013280-RA
OG0000078	XP_039752453.1	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA
OG0000079	XP_039749980.1, XP_039749979.1, XP_039749978.1	HEL_010373-RA, HEL_010374-RA
OG0000082	XP_039761740.1	HEL_005977-RA
OG0000083	XP_039760604.1	HEL_011900-RA
OG0000083	XP_039760601.1, XP_039760603.1, XP_039760602.1	HEL_011897-RA, HEL_011899-RA
OG0000084	XP_039749417.1	HEL_010679-RA
OG0000085	XP_039755091.1	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA
OG0000085	XP_039749173.1, XP_039749174.1, XP_039749175.1	HEL_005305-RA, HEL_005304-RA
OG0000088	XP_039762785.1	HEL_013016-RA
OG0000088	XP_039751496.1	HEL_014145-RA, HEL_012840-RA
OG0000090	XP_039749186.1	HEL_007626-RA
OG0000093	XP_039761758.1	HEL_005969-RA
OG0000093	XP_039761603.1	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA
OG0000093	XP_039761633.1, XP_039761632.1	HEL_005972-RA
OG0000094	XP_039746862.1	HEL_006926-RA
OG0000094	XP_039764606.1, XP_039764616.1, XP_039764598.1	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	HEL_001292-RA
OG0000096	XP_039751227.1	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA
OG0000096	XP_039751260.1	HEL_010165-RA
OG0000097	XP_039757158.1	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA
OG0000098	XP_039754908.1	HEL_005540-RA
OG0000100	XP_039756542.1	HEL_005776-RA
OG0000101	XP_039758595.1	HEL_010134-RA, HEL_010133-RA
OG0000102	XP_039752281.1, XP_039752133.1, XP_039752135.1	HEL_013147-RA
OG0000103	XP_039751968.1	HEL_008320-RA
OG0000108	XP_039752852.1	HEL_009657-RA, HEL_009862-RA
OG0000108	XP_039761876.1	HEL_013515-RA
OG0000109	XP_039754228.1	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA
OG0000110	XP_039752795.1	HEL_014554-RA
OG0000110	XP_039752305.1	HEL_014551-RA
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	HEL_004223-RA
OG0000111	XP_039748821.1	HEL_000126-RA
OG0000111	XP_039749055.1	HEL_000128-RA
OG0000113	XP_039755044.1	HEL_011798-RA, HEL_011796-RA
OG0000113	XP_039762990.1	HEL_011795-RA, HEL_011797-RA, HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1	HEL_014390-RA
OG0000115	XP_039747701.1	HEL_004784-RA
OG0000115	XP_039751528.1	HEL_006264-RA
OG0000115	XP_039746102.1	HEL_004779-RA
OG0000116	XP_039748745.1	HEL_000181-RA
OG0000116	XP_039749795.1	HEL_010345-RA
OG0000116	XP_039763856.1	HEL_010451-RA
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	HEL_013393-RA
OG0000120	XP_039758940.1	HEL_011755-RA, HEL_005859-RA, HEL_001395-RA, HEL_005666-RA, HEL_012011-RA, HEL_009305-RA, HEL_013465-RA, HEL_008431-RA, HEL_011691-RA, HEL_013996-RA, HEL_010140-RA, HEL_011756-RA, HEL_004768-RA, HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA, HEL_011754-RA
OG0000124	XP_039759623.1	HEL_012796-RA
OG0000124	XP_039748506.1	HEL_000153-RA
OG0000125	XP_039763048.1	HEL_008471-RA
OG0000125	XP_039763370.1	HEL_008470-RA
OG0000127	XP_039753005.1	HEL_013706-RA
OG0000128	XP_039759402.1	HEL_014291-RA
OG0000128	XP_039759275.1	HEL_014057-RA
OG0000128	XP_039759639.1, XP_039759640.1	HEL_014054-RA
OG0000129	XP_039749657.1	HEL_003340-RA
OG0000131	XP_039761941.1	HEL_004142-RA
OG0000132	XP_039758786.1	HEL_013799-RA, HEL_013798-RA
OG0000133	XP_039761844.1	HEL_004130-RA
OG0000134	XP_039750230.1	HEL_006876-RA
OG0000134	XP_039748060.1	HEL_006825-RA
OG0000134	XP_039745994.1	HEL_006873-RA, HEL_006826-RA
OG0000137	XP_039745441.1	HEL_001689-RA, HEL_001690-RA
OG0000138	XP_039764463.1	HEL_002292-RA
OG0000138	XP_039748518.1, XP_039748520.1	HEL_007640-RA
OG0000139	XP_039758056.1	HEL_003606-RA
OG0000139	XP_039758138.1	HEL_003604-RA
OG0000141	XP_039755123.1	HEL_010839-RA, HEL_010838-RA
OG0000143	XP_039752786.1	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA
OG0000143	XP_039752311.1, XP_039752179.1	HEL_009924-RA
OG0000144	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1	HEL_011567-RA
OG0000144	XP_039758752.1	HEL_011569-RA, HEL_011568-RA
OG0000145	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA
OG0000147	XP_039758401.1, XP_039758400.1, XP_039758856.1	HEL_007353-RA
OG0000149	XP_039750557.1, XP_039750556.1	HEL_004261-RA, HEL_004262-RA
OG0000149	XP_039749878.1, XP_039749877.1	HEL_006023-RA
OG0000149	XP_039749779.1	HEL_010670-RA
OG0000152	XP_039759933.1	HEL_002887-RA
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	HEL_002885-RA
OG0000153	XP_039754384.1	HEL_012802-RA, HEL_012804-RA, HEL_012803-RA
OG0000154	XP_039761253.1, XP_039761124.1	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA
OG0000155	XP_039760323.1	HEL_012316-RA
OG0000156	XP_039756715.1	HEL_013567-RA, HEL_013569-RA
OG0000160	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1, XP_039747895.1	HEL_012101-RA
OG0000162	XP_039759555.1	HEL_008231-RA
OG0000162	XP_039759460.1	HEL_008233-RA, HEL_008232-RA
OG0000163	XP_039759097.1, XP_039759094.1	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA
OG0000164	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1	HEL_013352-RA
OG0000166	XP_039758552.1	HEL_009754-RA
OG0000166	XP_039758732.1	HEL_007219-RA, HEL_007218-RA
OG0000167	XP_039762062.1, XP_039762063.1, XP_039754018.1	HEL_011445-RA
OG0000167	XP_039748188.1	HEL_000604-RA
OG0000168	XP_039749223.1, XP_039749128.1	HEL_010944-RA, HEL_010943-RA
OG0000169	XP_039759316.1	HEL_012759-RA
OG0000169	XP_039759611.1	HEL_012764-RA
OG0000170	XP_039758630.1, XP_039758628.1, XP_039758629.1	HEL_012926-RA
OG0000170	XP_039758631.1	HEL_012927-RA
OG0000171	XP_039751440.1	HEL_006254-RA, HEL_006253-RA
OG0000171	XP_039751381.1, XP_039751687.1	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA
OG0000172	XP_039751931.1	HEL_008361-RA, HEL_008362-RA
OG0000174	XP_039752561.1	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA, HEL_002710-RA
OG0000174	XP_039763737.1	HEL_007174-RA
OG0000175	XP_039761245.1, XP_039761244.1	HEL_005422-RA
OG0000175	XP_039747028.1	HEL_009048-RA
OG0000175	XP_039753289.1	HEL_003484-RA
OG0000178	XP_039761069.1	HEL_005387-RA
OG0000178	XP_039761230.1, XP_039761229.1, XP_039761231.1	HEL_004641-RA
OG0000179	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1	HEL_013875-RA
OG0000180	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1	HEL_007077-RA
OG0000180	XP_039763111.1	HEL_007079-RA, HEL_007078-RA
OG0000181	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1	HEL_008902-RA
OG0000182	XP_039750778.1	HEL_012893-RA
OG0000183	XP_039759299.1	HEL_012769-RA
OG0000183	XP_039751981.1	HEL_006620-RA
OG0000183	XP_039746207.1	HEL_003942-RA
OG0000184	XP_039750636.1	HEL_004299-RA
OG0000184	XP_039750819.1	HEL_004298-RA
OG0000185	XP_039756858.1	HEL_011155-RA
OG0000185	XP_039757372.1	HEL_011156-RA, HEL_011157-RA
OG0000186	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1	HEL_006287-RA, HEL_013685-RA
OG0000187	XP_039752400.1	HEL_010066-RA
OG0000187	XP_039752710.1, XP_039752711.1, XP_039752506.1, XP_039752505.1	HEL_010067-RA
OG0000190	XP_039750365.1, XP_039750783.1	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA
OG0000191	XP_039763811.1, XP_039763810.1, XP_039763808.1, XP_039763809.1, XP_039764334.1, XP_039764296.1, XP_039764245.1, XP_039764242.1, XP_039764256.1, XP_039764257.1, XP_039764124.1, XP_039763561.1, XP_039763564.1, XP_039763563.1, XP_039763558.1, XP_039763560.1, XP_039763559.1	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA
OG0000193	XP_039750301.1	HEL_011020-RA, HEL_011022-RA
OG0000193	XP_039750477.1	HEL_011021-RA, HEL_004214-RA
OG0000196	XP_039755851.1, XP_039755833.1, XP_039755840.1	HEL_002689-RA
OG0000197	XP_039758390.1, XP_039758399.1	HEL_002519-RA
OG0000197	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1	HEL_001340-RA
OG0000198	XP_039746651.1	HEL_009068-RA
OG0000198	XP_039746649.1	HEL_009066-RA
OG0000200	XP_039754336.1	HEL_007527-RA
OG0000201	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1	HEL_001000-RA, HEL_001001-RA
OG0000202	XP_039749100.1, XP_039749101.1	HEL_000098-RA
OG0000203	XP_039751061.1, XP_039751060.1	HEL_006322-RA
OG0000205	XP_039751548.1, XP_039751547.1, XP_039751546.1, XP_039751549.1	HEL_005648-RA
OG0000206	XP_039762982.1	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA
OG0000209	XP_039748142.1	HEL_000443-RA
OG0000209	XP_039755641.1	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA
OG0000210	XP_039751643.1, XP_039751732.1	HEL_007935-RA
OG0000210	XP_039751596.1	HEL_007938-RA
OG0000212	XP_039749220.1	HEL_010933-RA
OG0000212	XP_039749221.1	HEL_010932-RA
OG0000212	XP_039748939.1	HEL_010931-RA
OG0000213	XP_039765385.1	HEL_001448-RA
OG0000213	XP_039745503.1	HEL_001453-RA
OG0000214	XP_039751434.1	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA
OG0000215	XP_039747785.1	HEL_008533-RA
OG0000215	XP_039746157.1	HEL_004541-RA
OG0000215	XP_039762291.1	HEL_011523-RA
OG0000216	XP_039748667.1, XP_039748668.1, XP_039748677.1	HEL_000005-RA
OG0000217	XP_039757677.1, XP_039757167.1	HEL_006811-RA
OG0000217	XP_039755434.1	HEL_006812-RA
OG0000218	XP_039746708.1, XP_039747114.1, XP_039747112.1	HEL_011596-RA
OG0000219	XP_039751011.1	HEL_008433-RA
OG0000219	XP_039754481.1	HEL_011520-RA
OG0000220	XP_039748629.1	HEL_000160-RA, HEL_000180-RA
OG0000220	XP_039748829.1	HEL_000185-RA
OG0000221	XP_039749261.1	HEL_000184-RA
OG0000222	XP_039762818.1	HEL_013041-RA, HEL_013040-RA
OG0000227	XP_039750976.1	HEL_013037-RA, HEL_013030-RA
OG0000229	XP_039757462.1	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA, HEL_003649-RA
OG0000229	XP_039754103.1	HEL_002543-RA
OG0000230	XP_039749718.1	HEL_007833-RA
OG0000231	XP_039752292.1	HEL_013546-RA, HEL_013547-RA, HEL_013545-RA
OG0000231	XP_039756610.1	HEL_014558-RA, HEL_013548-RA
OG0000232	XP_039751274.1	HEL_007965-RA
OG0000233	XP_039748541.1, XP_039748540.1, XP_039748975.1, XP_039748978.1, XP_039748977.1, XP_039748976.1, XP_039748974.1	HEL_013315-RA
OG0000234	XP_039747573.1	HEL_000576-RA
OG0000234	XP_039747922.1	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA
OG0000235	XP_039746284.1	HEL_008763-RA
OG0000235	XP_039745957.1, XP_039745958.1, XP_039745960.1, XP_039745961.1, XP_039745959.1	HEL_008762-RA
OG0000236	XP_039755818.1	HEL_001074-RA
OG0000236	XP_039755425.1	HEL_001070-RA
OG0000237	XP_039758531.1	HEL_012911-RA
OG0000237	XP_039758665.1	HEL_012907-RA
OG0000237	XP_039758521.1	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA
OG0000238	XP_039746535.1, XP_039746539.1, XP_039746536.1, XP_039746537.1, XP_039746533.1, XP_039746538.1	HEL_011638-RA
OG0000238	XP_039751254.1	HEL_006325-RA
OG0000239	XP_039754388.1	HEL_013433-RA
OG0000239	XP_039754293.1, XP_039754294.1	HEL_013434-RA
OG0000246	XP_039755213.1	HEL_005502-RA
OG0000247	XP_039759915.1	HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA
OG0000248	XP_039752703.1, XP_039752702.1	HEL_013916-RA
OG0000248	XP_039752413.1	HEL_013902-RA
OG0000249	XP_039747907.1, XP_039747908.1	HEL_000469-RA, HEL_000470-RA
OG0000252	XP_039751352.1, XP_039751410.1, XP_039751349.1, XP_039751348.1	HEL_007886-RA, HEL_007887-RA
OG0000254	XP_039748400.1	HEL_011400-RA
OG0000255	XP_039764235.1	HEL_002401-RA
OG0000256	XP_039758815.1	HEL_009147-RA, HEL_010502-RA
OG0000257	XP_039749725.1	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA
OG0000257	XP_039752276.1	HEL_008254-RA, HEL_008272-RA
OG0000258	XP_039747995.1	HEL_000386-RA, HEL_000388-RA, HEL_000387-RA
OG0000260	XP_039747849.1	HEL_000627-RA
OG0000263	XP_039762070.1, XP_039762170.1, XP_039762067.1, XP_039762069.1, XP_039762171.1	HEL_004884-RA
OG0000264	XP_039748515.1	HEL_000152-RA
OG0000264	XP_039749292.1	HEL_000145-RA
OG0000269	XP_039763852.1, XP_039762449.1	HEL_004123-RA
OG0000271	XP_039761704.1, XP_039761702.1, XP_039761703.1, XP_039761779.1	HEL_002185-RA
OG0000272	XP_039749154.1, XP_039749169.1, XP_039749161.1	HEL_003415-RA
OG0000273	XP_039750203.1	HEL_004292-RA
OG0000273	XP_039750338.1, XP_039750340.1, XP_039750339.1	HEL_011028-RA
OG0000274	XP_039757279.1	HEL_008935-RA
OG0000276	XP_039745069.1, XP_039745057.1, XP_039745060.1, XP_039745059.1, XP_039745061.1, XP_039745058.1, XP_039745066.1, XP_039745064.1, XP_039745062.1, XP_039745065.1, XP_039745063.1, XP_039745068.1	HEL_001740-RA
OG0000278	XP_039745312.1	HEL_008176-RA
OG0000279	XP_039754724.1, XP_039754725.1	HEL_011096-RA
OG0000280	XP_039756241.1	HEL_005821-RA, HEL_005819-RA
OG0000281	XP_039747093.1	HEL_009096-RA
OG0000281	XP_039753486.1, XP_039756174.1	HEL_005808-RA
OG0000283	XP_039748557.1	HEL_013294-RA
OG0000283	XP_039748554.1, XP_039748556.1	HEL_013295-RA
OG0000284	XP_039745486.1	HEL_001552-RA
OG0000285	XP_039750632.1	HEL_004245-RA
OG0000285	XP_039750972.1	HEL_004247-RA
OG0000286	XP_039754340.1	HEL_007502-RA, HEL_007508-RA, HEL_007503-RA
OG0000287	XP_039757353.1	HEL_008585-RA
OG0000287	XP_039756854.1	HEL_013729-RA
OG0000289	XP_039754567.1	HEL_007429-RA
OG0000290	XP_039748919.1	HEL_000067-RA
OG0000291	XP_039753806.1, XP_039753807.1, XP_039753808.1, XP_039753805.1	HEL_013432-RA
OG0000292	XP_039758478.1	HEL_007249-RA
OG0000293	XP_039756268.1	HEL_012051-RA
OG0000293	XP_039756184.1	HEL_012053-RA
OG0000293	XP_039750523.1	HEL_011068-RA
OG0000294	XP_039749651.1	HEL_010685-RA
OG0000294	XP_039749654.1	HEL_010684-RA
OG0000295	XP_039749701.1	HEL_008506-RA
OG0000295	XP_039765656.1	HEL_008507-RA
OG0000296	XP_039746967.1, XP_039746965.1, XP_039746966.1	HEL_011660-RA, HEL_011661-RA
OG0000300	XP_039757001.1, XP_039752707.1, XP_039752269.1, XP_039755739.1, XP_039745594.1, XP_039758548.1, XP_039764401.1, XP_039750796.1, XP_039762732.1, XP_039759168.1, XP_039762757.1, XP_039750299.1, XP_039751232.1, XP_039759888.1, XP_039762145.1, XP_039754722.1, XP_039752279.1	HEL_010524-RA
OG0000303	XP_039755312.1	HEL_000690-RA
OG0000304	XP_039751435.1, XP_039751436.1	HEL_010171-RA
OG0000305	XP_039760336.1	HEL_001926-RA
OG0000305	XP_039759916.1	HEL_001917-RA
OG0000306	XP_039758172.1	HEL_005083-RA
OG0000306	XP_039757652.1	HEL_005084-RA
OG0000307	XP_039762118.1	HEL_004043-RA, HEL_004065-RA
OG0000308	XP_039759207.1	HEL_002742-RA, HEL_002740-RA, HEL_014448-RA
OG0000308	XP_039756860.1, XP_039756869.1	HEL_002741-RA
OG0000309	XP_039756171.1	HEL_005659-RA
OG0000309	XP_039756169.1, XP_039756170.1	HEL_005657-RA
