Orthogroup	Pararge_aegeria	Vanessa_tameamea
OG0000096	XP_039751260.1	XP_026489765.1, XP_026489764.1
OG0000096	XP_039751463.1	XP_026498776.1, XP_026498782.1
OG0000097	XP_039757158.1	XP_026498905.1, XP_026498928.1
OG0000098	XP_039754908.1	XP_026498603.1
OG0000100	XP_039756542.1	XP_026495693.1
OG0000101	XP_039758595.1	XP_026493040.1, XP_026493038.1
OG0000101	XP_039758877.1, XP_039758267.1	XP_026493188.1
OG0000103	XP_039751968.1	XP_026498404.1, XP_026498400.1, XP_026498403.1
OG0000109	XP_039754267.1	XP_026497980.1
OG0000110	XP_039752795.1	XP_026488961.1, XP_026488962.1
OG0000110	XP_039752379.1	XP_026489019.1
OG0000110	XP_039752305.1	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	XP_026485541.1
OG0000111	XP_039748821.1	XP_026485801.1
OG0000111	XP_039749055.1	XP_026486121.1
OG0000112	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1	XP_026488169.1
OG0000113	XP_039755044.1	XP_026498858.1
OG0000113	XP_039762990.1	XP_026486407.1
OG0000114	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1	XP_026488859.1
OG0000115	XP_039747701.1	XP_026494479.1
OG0000115	XP_039751528.1	XP_026500251.1, XP_026500243.1
OG0000115	XP_039746102.1	XP_026494478.1
OG0000116	XP_039748745.1	XP_026486128.1
OG0000116	XP_039749795.1	XP_026489146.1
OG0000116	XP_039761021.1	XP_026494070.1
OG0000116	XP_039763856.1	XP_026496653.1
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	XP_026488566.1
OG0000118	XP_039761294.1	XP_026501071.1
OG0000118	XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1	XP_026490964.1
OG0000119	XP_039754974.1, XP_039755253.1, XP_039755251.1, XP_039755250.1, XP_039755254.1, XP_039755061.1	XP_026496437.1
OG0000122	XP_039754268.1	XP_026499961.1
OG0000123	XP_039758681.1	XP_026500003.1, XP_026496505.1, XP_026498408.1
OG0000124	XP_039759623.1	XP_026492747.1
OG0000125	XP_039763370.1	XP_026491928.1
OG0000127	XP_039753005.1	XP_026498360.1, XP_026489582.1
OG0000127	XP_039755682.1	XP_026487263.1
OG0000128	XP_039759402.1	XP_026494344.1
OG0000128	XP_039759275.1	XP_026494318.1
OG0000128	XP_039759639.1, XP_039759640.1	XP_026494332.1
OG0000129	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1
OG0000131	XP_039761941.1	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	XP_039758786.1	XP_026489619.1, XP_026489627.1
OG0000133	XP_039761844.1	XP_026500939.1
OG0000134	XP_039750230.1	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	XP_039748060.1	XP_026497731.1
OG0000134	XP_039745994.1	XP_026500779.1
OG0000137	XP_039745449.1, XP_039745448.1, XP_039745446.1, XP_039745445.1	XP_026484810.1
OG0000138	XP_039764463.1	XP_026488759.1, XP_026488751.1
OG0000139	XP_039758056.1	XP_026500945.1
OG0000139	XP_039760019.1	XP_026500227.1
OG0000139	XP_039758138.1	XP_026489675.1
OG0000140	XP_039761164.1	XP_026486064.1
OG0000140	XP_039761163.1	XP_026486075.1
OG0000140	XP_039761161.1	XP_026486054.1
OG0000141	XP_039755123.1	XP_026496357.1, XP_026496430.1
OG0000142	XP_039752000.1	XP_026483563.1
OG0000142	XP_039752666.1	XP_026483566.1
OG0000143	XP_039752786.1	XP_026488575.1, XP_026488573.1
OG0000143	XP_039752311.1, XP_039752179.1	XP_026488574.1
OG0000144	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1	XP_026493139.1
OG0000144	XP_039758752.1	XP_026493387.1
OG0000145	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1	XP_026488455.1
OG0000147	XP_039758401.1, XP_039758400.1, XP_039758856.1	XP_026493246.1, XP_026493247.1
OG0000148	XP_039747858.1, XP_039757346.1, XP_039758592.1, XP_039748987.1	XP_026485046.1
OG0000149	XP_039750557.1, XP_039750556.1	XP_026485425.1
OG0000149	XP_039749878.1, XP_039749877.1	XP_026484245.1
OG0000149	XP_039749779.1	XP_026492839.1
OG0000151	XP_039760940.1, XP_039760941.1, XP_039760468.1, XP_039760467.1, XP_039760383.1, XP_039760944.1, XP_039760945.1, XP_039760948.1, XP_039761501.1, XP_039761417.1, XP_039762560.1, XP_039761930.1, XP_039760947.1, XP_039760943.1, XP_039760469.1, XP_039760942.1, XP_039760465.1, XP_039761819.1, XP_039749270.1, XP_039761282.1, XP_039750768.1, XP_039761922.1, XP_039761323.1, XP_039761485.1, XP_039761464.1, XP_039763063.1	XP_026499908.1, XP_026497527.1
OG0000152	XP_039759933.1	XP_026493650.1
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	XP_026493647.1
OG0000153	XP_039754384.1	XP_026490803.1, XP_026486667.1
OG0000154	XP_039761253.1, XP_039761124.1	XP_026493590.1, XP_026493568.1
OG0000155	XP_039760323.1	XP_026497534.1
OG0000156	XP_039756715.1	XP_026497267.1, XP_026496199.1, XP_026499976.1
OG0000160	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1	XP_026497982.1, XP_026493406.1
OG0000160	XP_039747895.1	XP_026498527.1, XP_026487949.1, XP_026491794.1
OG0000160	XP_039763350.1	XP_026489771.1
OG0000162	XP_039759555.1	XP_026495429.1, XP_026495426.1, XP_026499500.1
OG0000163	XP_039759097.1, XP_039759094.1	XP_026494611.1
OG0000164	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1	XP_026483367.1
OG0000165	XP_039746259.1	XP_026491300.1
OG0000166	XP_039758552.1	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000166	XP_039758732.1	XP_026493524.1, XP_026493522.1, XP_026493525.1
OG0000167	XP_039754018.1	XP_026490816.1
OG0000167	XP_039748188.1	XP_026483730.1
OG0000169	XP_039759316.1	XP_026493199.1
OG0000169	XP_039759611.1	XP_026493039.1
OG0000170	XP_039758631.1	XP_026489549.1
OG0000171	XP_039751440.1	XP_026483589.1
OG0000171	XP_039751381.1, XP_039751687.1	XP_026483600.1
OG0000172	XP_039751931.1	XP_026487122.1
OG0000172	XP_039751930.1	XP_026499901.1
OG0000174	XP_039752561.1	XP_026487863.1
OG0000174	XP_039763737.1	XP_026499849.1
OG0000175	XP_039761245.1, XP_039761244.1	XP_026492931.1
OG0000175	XP_039747028.1	XP_026489948.1, XP_026489949.1
OG0000175	XP_039753289.1	XP_026492115.1
OG0000178	XP_039761069.1	XP_026501824.1
OG0000178	XP_039761230.1, XP_039761229.1, XP_039761231.1	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000179	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1
OG0000180	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1
OG0000180	XP_039763111.1	XP_026500685.1
OG0000181	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1	XP_026487965.1, XP_026487964.1, XP_026487952.1, XP_026487961.1
OG0000182	XP_039750778.1, XP_039749177.1	XP_026490062.1
OG0000183	XP_039759299.1	XP_026493134.1, XP_026493142.1
OG0000183	XP_039751981.1	XP_026500054.1
OG0000183	XP_039746207.1	XP_026491498.1
OG0000184	XP_039748948.1	XP_026499472.1
OG0000184	XP_039750636.1	XP_026485414.1
OG0000184	XP_039750819.1	XP_026485484.1
OG0000185	XP_039756858.1	XP_026494681.1
OG0000185	XP_039757372.1	XP_026494606.1, XP_026494683.1
OG0000186	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1	XP_026488639.1
OG0000187	XP_039752400.1	XP_026483320.1
OG0000187	XP_039752710.1, XP_039752711.1, XP_039752506.1, XP_039752505.1	XP_026483321.1
OG0000189	XP_039755832.1	XP_026486864.1
OG0000189	XP_039755689.1	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1
OG0000190	XP_039750360.1	XP_026485321.1
OG0000191	XP_039763811.1, XP_039763810.1, XP_039763808.1, XP_039763809.1, XP_039764334.1, XP_039764296.1, XP_039764245.1, XP_039764242.1, XP_039764256.1, XP_039764257.1, XP_039764124.1, XP_039763561.1, XP_039763564.1, XP_039763563.1, XP_039763558.1, XP_039763560.1, XP_039763559.1	XP_026488824.1, XP_026488828.1
OG0000193	XP_039750301.1	XP_026485379.1
OG0000193	XP_039750477.1	XP_026485410.1
OG0000193	XP_039750255.1	XP_026485291.1
OG0000196	XP_039755851.1, XP_039755833.1, XP_039755840.1	XP_026487864.1
OG0000197	XP_039758390.1, XP_039758399.1	XP_026486620.1, XP_026486619.1
OG0000197	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	XP_039746651.1	XP_026494933.1
OG0000198	XP_039747257.1, XP_039746649.1	XP_026501551.1
OG0000199	XP_039754756.1, XP_039751300.1, XP_039763643.1	XP_026486145.1
OG0000200	XP_039754336.1, XP_039754239.1	XP_026488475.1
OG0000201	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1	XP_026486827.1, XP_026486826.1
OG0000203	XP_039754507.1, XP_039754512.1	XP_026487162.1
OG0000205	XP_039755134.1	XP_026496344.1
OG0000205	XP_039751548.1, XP_039751547.1, XP_039751546.1, XP_039751549.1	XP_026496328.1
OG0000206	XP_039762982.1	XP_026483159.1
OG0000207	XP_039754537.1	XP_026500931.1
OG0000208	XP_039764458.1, XP_039764457.1, XP_039764459.1, XP_039764456.1	XP_026489321.1, XP_026498785.1
OG0000208	XP_039765207.1	XP_026489345.1, XP_026498784.1
OG0000209	XP_039748142.1	XP_026490392.1
OG0000209	XP_039755641.1	XP_026486988.1
OG0000210	XP_039751647.1	XP_026492865.1
OG0000210	XP_039751643.1, XP_039751732.1	XP_026501168.1
OG0000210	XP_039751596.1	XP_026501529.1
OG0000212	XP_039749220.1	XP_026497545.1
OG0000212	XP_039749221.1	XP_026485908.1
OG0000212	XP_039748939.1	XP_026485827.1
OG0000213	XP_039765385.1	XP_026485069.1
OG0000213	XP_039745503.1	XP_026485071.1
OG0000213	XP_039765673.1	XP_026484522.1
OG0000214	XP_039751434.1	XP_026483703.1, XP_026483711.1
OG0000215	XP_039747785.1	XP_026491895.1
OG0000215	XP_039746157.1	XP_026491785.1
OG0000215	XP_039762291.1	XP_026491875.1
OG0000216	XP_039748667.1, XP_039748668.1, XP_039748677.1	XP_026485745.1, XP_026485749.1
OG0000217	XP_039755434.1	XP_026494731.1
OG0000217	XP_039756614.1	XP_026494771.1
OG0000218	XP_039746708.1, XP_039747114.1, XP_039747112.1	XP_026494855.1
OG0000219	XP_039751011.1	XP_026500081.1
OG0000220	XP_039748629.1	XP_026486313.1
OG0000220	XP_039748829.1	XP_026486249.1
OG0000221	XP_039749261.1	XP_026486245.1, XP_026486247.1, XP_026486248.1
OG0000222	XP_039762960.1	XP_026483158.1
OG0000222	XP_039762818.1	XP_026483160.1
OG0000226	XP_039764016.1	XP_026492169.1
OG0000228	XP_039747947.1, XP_039750491.1	XP_026483737.1
OG0000228	XP_039765282.1	XP_026499496.1
OG0000229	XP_039757462.1	XP_026489655.1
OG0000229	XP_039754103.1	XP_026486610.1
OG0000230	XP_039749718.1	XP_026496664.1
OG0000230	XP_039749771.1	XP_026496864.1
OG0000231	XP_039752292.1	XP_026488937.1
OG0000233	XP_039748541.1, XP_039748540.1	XP_026485758.1
OG0000233	XP_039748975.1, XP_039748978.1, XP_039748977.1, XP_039748976.1, XP_039748974.1	XP_026486210.1, XP_026486211.1, XP_026486209.1
OG0000234	XP_039747573.1	XP_026483774.1
OG0000234	XP_039747922.1	XP_026483729.1, XP_026489181.1
OG0000235	XP_039746284.1	XP_026491220.1, XP_026491221.1
OG0000235	XP_039745957.1, XP_039745958.1, XP_039745960.1, XP_039745961.1, XP_039745959.1	XP_026491492.1, XP_026491491.1
OG0000236	XP_039755818.1	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	XP_039755425.1	XP_026486884.1
OG0000237	XP_039758531.1	XP_026498172.1
OG0000237	XP_039758665.1	XP_026498184.1
OG0000237	XP_039758521.1	XP_026498191.1
OG0000238	XP_039746535.1, XP_039746539.1, XP_039746536.1, XP_039746537.1, XP_039746533.1, XP_039746538.1	XP_026501419.1, XP_026501420.1
OG0000238	XP_039751254.1	XP_026500089.1
OG0000239	XP_039754388.1	XP_026490889.1
OG0000239	XP_039754293.1, XP_039754294.1	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1
OG0000245	XP_039763825.1, XP_039763064.1, XP_039763052.1	XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1
OG0000246	XP_039755213.1	XP_026498593.1
OG0000247	XP_039760335.1	XP_026497474.1
OG0000247	XP_039759915.1	XP_026497455.1
OG0000248	XP_039752703.1, XP_039752702.1	XP_026483522.1
OG0000248	XP_039752413.1	XP_026483488.1, XP_026483487.1
OG0000249	XP_039747911.1	XP_026496110.1
OG0000249	XP_039747907.1, XP_039747908.1	XP_026496131.1
OG0000250	XP_039751755.1, XP_039752482.1	XP_026483536.1
OG0000253	XP_039762495.1, XP_039761420.1, XP_039749872.1, XP_039763841.1, XP_039761291.1, XP_039761276.1, XP_039761325.1, XP_039761486.1, XP_039760442.1, XP_039761322.1, XP_039761821.1	XP_026496141.1
OG0000254	XP_039748400.1	XP_026483657.1
OG0000255	XP_039764235.1	XP_026500405.1
OG0000256	XP_039756276.1	XP_026498851.1
OG0000256	XP_039758815.1	XP_026496954.1
OG0000257	XP_039749725.1	XP_026496860.1
OG0000257	XP_039752276.1	XP_026490765.1, XP_026490754.1
OG0000258	XP_039747995.1	XP_026491836.1
OG0000259	XP_039758830.1	XP_026498189.1
OG0000259	XP_039758843.1	XP_026493390.1
OG0000260	XP_039747849.1	XP_026483815.1
OG0000261	XP_039759709.1	XP_026488960.1, XP_026488869.1, XP_026488958.1
OG0000264	XP_039748515.1	XP_026485844.1
OG0000264	XP_039749292.1	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1
OG0000271	XP_039761766.1, XP_039761704.1, XP_039761702.1, XP_039761703.1, XP_039761779.1	XP_026484010.1, XP_026484163.1
OG0000272	XP_039749154.1, XP_039749169.1, XP_039749161.1	XP_026485265.1, XP_026492748.1
OG0000273	XP_039750203.1	XP_026485334.1
OG0000273	XP_039750338.1	XP_026485424.1
OG0000273	XP_039750340.1, XP_039750339.1	XP_026485332.1
