Orthogroup	Pararge_aegeria	Heliconius_melpomene_melpomene
OG0000004	XP_039758007.1	HMEL022640-RA, HMEL022652-RA
OG0000004	XP_039765531.1	HMEL022633-RA
OG0000004	XP_039765606.1	HMEL022671-RA, HMEL022653-RA
OG0000005	XP_039757157.1	HMEL031445g1.t1, HMEL033404g1.t1, HMEL033939g1.t1, HMEL030067g1.t1, HMEL030636g1.t1, HMEL036510g1.t1, HMEL036436g1.t1, HMEL032169g1.t1, HMEL031164g1.t1, HMEL038197g1.t1, HMEL031471g1.t1, HMEL036918g1.t1, HMEL034674g1.t1, HMEL030156g1.t1, HMEL033707g1.t1, HMEL031583g1.t1, HMEL033746g1.t1, HMEL031988g1.t1, HMEL017902g1.t1, HMEL031555g1.t1, HMEL030161g1.t1, HMEL036646g1.t1, HMEL030851g1.t1, HMEL033480g1.t1, HMEL034464g1.t1, HMEL034057g1.t1, HMEL030114g1.t1, HMEL034465g1.t1, HMEL033535g1.t1, HMEL035352g1.t1, HMEL035731g1.t1, HMEL035426g1.t1, HMEL031718g1.t1, HMEL034294g1.t1, HMEL036029g1.t1, HMEL031765g1.t1, HMEL034149g1.t1, HMEL033258g1.t1, HMEL032264g1.t1, HMEL030850g1.t1, HMEL035427g1.t1, HMEL034365g1.t1, HMEL030197g1.t1, HMEL030532g1.t1, HMEL034971g1.t1, HMEL033731g1.t1, HMEL033573g1.t1, HMEL030930g1.t1, HMEL030921g1.t1, HMEL033589g1.t1, HMEL031606g1.t1, HMEL036432g1.t1, HMEL036435g1.t1, HMEL035715g1.t1, HMEL031582g1.t1, HMEL036712g1.t1, HMEL037171g1.t1, HMEL034466g1.t1, HMEL036924g1.t1, HMEL037830g1.t1, HMEL036919g1.t1, HMEL030635g1.t1, HMEL032697g1.t1, HMEL038198g1.t1, HMEL030976g1.t1, HMEL031341g1.t1, HMEL034367g1.t1, HMEL034932g1.t1, HMEL036764g1.t1, HMEL036765g1.t1, HMEL030533g1.t1, HMEL031764g1.t1, HMEL034449g1.t1, HMEL034397g1.t1, HMEL037037g1.t1, HMEL031586g1.t1, HMEL034368g1.t1, HMEL034974g1.t1, HMEL030110g1.t1, HMEL033256g1.t1, HMEL034933g1.t1, HMEL033257g1.t1, HMEL034150g1.t1, HMEL035913g1.t1, HMEL031585g1.t1, HMEL034366g1.t1, HMEL034972g1.t1, HMEL036297g1.t1, HMEL033572g1.t1, HMEL034151g1.t1, HMEL030953g1.t1, HMEL030111g1.t1, HMEL036039g1.t1, HMEL037824g1.t1, HMEL032115g1.t1, HMEL033732g1.t1, HMEL035847g1.t1, HMEL030198g1.t1, HMEL012316g1.t1, HMEL030170g1.t1, HMEL031559g1.t1, HMEL034603g1.t1, HMEL030534g1.t1, HMEL034380g1.t1, HMEL030535g1.t1, HMEL033408g1.t1, HMEL034396g1.t1, HMEL034389g1.t1
OG0000007	XP_039749697.1	HMEL012825g1.t1
OG0000007	XP_039761305.1	HMEL030866g1.t1
OG0000007	XP_039754496.1	HMEL009008g1.t1
OG0000007	XP_039760528.1	HMEL003519g1.t1
OG0000007	XP_039762034.1	HMEL033385g1.t1
OG0000007	XP_039764480.1, XP_039764478.1	HMEL012399g1.t1
OG0000009	XP_039747517.1, XP_039748386.1, XP_039747521.1, XP_039747518.1, XP_039747964.1	HMEL037374g1.t1
OG0000009	XP_039748430.1, XP_039748472.1	HMEL037375g1.t1, HMEL037371g1.t1, HMEL037370g1.t1
OG0000009	XP_039748245.1, XP_039748252.1, XP_039748244.1, XP_039748328.1, XP_039748347.1, XP_039748337.1, XP_039748246.1, XP_039748247.1, XP_039747856.1, XP_039748342.1, XP_039748339.1, XP_039748344.1, XP_039748331.1, XP_039748332.1	HMEL011209g1.t1
OG0000010	XP_039761849.1, XP_039764336.1, XP_039764298.1, XP_039762014.1	HMEL030787g1.t1
OG0000011	XP_039757162.1	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	XP_039757108.1	HMEL033610g1.t1
OG0000011	XP_039757385.1	HMEL033611g1.t1
OG0000011	XP_039757384.1, XP_039757107.1, XP_039757124.1	HMEL017520g1.t1
OG0000011	XP_039757277.1	HMEL003020g1.t1, HMEL011718g1.t1
OG0000011	XP_039757275.1	HMEL003022g1.t1
OG0000016	XP_039761457.1, XP_039760429.1	HMEL034891g1.t1, HMEL034564g1.t1, HMEL033196g1.t1
OG0000016	XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1	HMEL034625g1.t1, HMEL030071g1.t1
OG0000016	XP_039745450.1, XP_039759548.1, XP_039761445.1	HMEL030907g1.t1
OG0000016	XP_039760421.1	HMEL031166g1.t1, HMEL034532g1.t1, HMEL035844g1.t1, HMEL031709g1.t1, HMEL017866g1.t1, HMEL036000g1.t1
OG0000017	XP_039764358.1, XP_039748749.1	HMEL035047g1.t1
OG0000018	XP_039760351.1	HMEL030430g1.t1
OG0000018	XP_039752828.1	HMEL016357g1.t1
OG0000018	XP_039752824.1	HMEL030844g1.t1, HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1
OG0000021	XP_039763920.1, XP_039746712.1, XP_039757893.1, XP_039754386.1, XP_039764088.1, XP_039749950.1, XP_039761857.1, XP_039750798.1, XP_039764350.1	HMEL009528g1.t1
OG0000022	XP_039765727.1	HMEL030997g1.t1
OG0000022	XP_039765296.1	HMEL007417g1.t1
OG0000022	XP_039762875.1	HMEL017624g1.t1
OG0000022	XP_039762709.1	HMEL022608g1.t1
OG0000022	XP_039765728.1	HMEL006280g1.t1, HMEL002897g1.t1
OG0000022	XP_039747684.1	HMEL031458g1.t1
OG0000022	XP_039751415.1	HMEL031456g1.t1
OG0000022	XP_039750917.1, XP_039752986.1	HMEL031459g1.t1
OG0000023	XP_039755787.1, XP_039761864.1, XP_039763079.1, XP_039747852.1, XP_039764247.1, XP_039762477.1, XP_039764416.1, XP_039746183.1	HMEL033227g1.t1
OG0000023	XP_039745421.1, XP_039753381.1	HMEL038036g1.t1
OG0000024	XP_039753155.1	HMEL012615g1.t1
OG0000025	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1	HMEL037385g1.t1
OG0000025	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1	HMEL037372g1.t1, HMEL011166g1.t1
OG0000026	XP_039750797.1, XP_039761461.1, XP_039761477.1, XP_039764545.1, XP_039750813.1, XP_039764226.1, XP_039750765.1, XP_039746189.1	HMEL033398g1.t1
OG0000028	XP_039756644.1, XP_039756364.1, XP_039756209.1, XP_039756129.1, XP_039756114.1, XP_039756115.1, XP_039754209.1, XP_039752265.1	HMEL004610g1.t1, HMEL014440g1.t1
OG0000029	XP_039745529.1, XP_039745528.1, XP_039745420.1, XP_039745525.1	HMEL003326g1.t1
OG0000032	XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1, XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1, XP_039758874.1, XP_039764419.1, XP_039749234.1	HMEL030081g1.t1, HMEL032977g1.t1
OG0000032	XP_039763077.1, XP_039764294.1	HMEL015875g1.t1
OG0000034	XP_039746294.1	HMEL005861g1.t1
OG0000034	XP_039746103.1	HMEL033976g1.t1
OG0000034	XP_039746398.1	HMEL033982g1.t1
OG0000034	XP_039746268.1	HMEL033974g1.t1
OG0000036	XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1	HMEL034344g1.t1
OG0000037	XP_039754332.1	HMEL036555g1.t1
OG0000038	XP_039747874.1	HMEL031441g1.t1
OG0000039	XP_039752715.1	HMEL026010g1.t1, HMEL026012g1.t1, HMEL026009g1.t1, HMEL018121g1.t1, HMEL010595-RA
OG0000039	XP_039752213.1, XP_039752212.1	HMEL017154-RA
OG0000040	XP_039757341.1, XP_039759545.1, XP_039764051.1, XP_039750845.1	HMEL037471g1.t1
OG0000040	XP_039763948.1	HMEL031366g1.t1
OG0000041	XP_039759472.1	HMEL032630g1.t1
OG0000041	XP_039749285.1, XP_039749003.1	HMEL013650g1.t1
OG0000041	XP_039759561.1, XP_039746548.1	HMEL004252g1.t1
OG0000044	XP_039762498.1, XP_039762486.1, XP_039762637.1	HMEL037464g1.t1, HMEL031112g1.t1, HMEL031256g1.t1, HMEL033771g1.t1, HMEL033452g1.t1, HMEL032950g1.t1, HMEL032956g1.t1, HMEL036476g1.t1, HMEL033574g1.t1, HMEL030660g1.t1
OG0000045	XP_039750219.1, XP_039750218.1	HMEL036019g1.t1
OG0000045	XP_039750023.1	HMEL037144g1.t1
OG0000045	XP_039752690.1	HMEL014163g1.t1
OG0000045	XP_039761923.1	HMEL031793g1.t1
OG0000045	XP_039760955.1	HMEL034418g1.t1
OG0000046	XP_039755067.1, XP_039755066.1, XP_039755249.1, XP_039755070.1, XP_039755248.1, XP_039755069.1, XP_039755247.1, XP_039759613.1, XP_039755065.1	HMEL010111g1.t1
OG0000048	XP_039749185.1, XP_039764331.1	HMEL037264g1.t1
OG0000048	XP_039764514.1, XP_039746188.1, XP_039746229.1	HMEL033686g1.t1
OG0000049	XP_039751487.1, XP_039751486.1	HMEL002471-RA
OG0000049	XP_039751167.1	HMEL008772-RA, HMEL003581-RA, HMEL003582-RA, HMEL008768-RA, HMEL008770-RA, HMEL003583-RA
OG0000050	XP_039756635.1, XP_039756638.1, XP_039756636.1	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA
OG0000052	XP_039755855.1	HMEL013845g1.t1
OG0000053	XP_039752462.1	HMEL030922g1.t1
OG0000053	XP_039760715.1	HMEL009070g1.t1
OG0000053	XP_039761162.1	HMEL009072g1.t1
OG0000053	XP_039755401.1	HMEL009071g1.t1
OG0000053	XP_039754797.1	HMEL009073g1.t1
OG0000054	XP_039753385.1	HMEL018015g1.t1
OG0000054	XP_039753617.1	HMEL018012g1.t1, HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1
OG0000054	XP_039753386.1, XP_039753387.1, XP_039753618.1	HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	XP_039753616.1	HMEL031505g1.t1
OG0000056	XP_039760526.1	HMEL010939-RA
OG0000056	XP_039760529.1, XP_039760686.1, XP_039760687.1	HMEL013955-RA, HMEL010930-RA, HMEL020379g1.t1, HMEL022586g1.t1, HMEL010935-RA, HMEL034613g1.t1, HMEL010931-RA, HMEL013954-RA
OG0000057	XP_039759134.1, XP_039759133.1	HMEL003534g1.t1, HMEL032313g1.t1
OG0000057	XP_039759135.1	HMEL032312g1.t1
OG0000057	XP_039749078.1	HMEL006997g1.t1
OG0000058	XP_039760434.1, XP_039755811.1	HMEL036938g1.t1
OG0000058	XP_039764477.1, XP_039762497.1	HMEL033297g1.t1
OG0000058	XP_039746435.1	HMEL033633g1.t1, HMEL031971g1.t1
OG0000059	XP_039747896.1	HMEL030984g1.t1, HMEL033425g1.t1
OG0000059	XP_039762481.1, XP_039756353.1, XP_039749179.1, XP_039755237.1, XP_039758583.1	HMEL014102g1.t1
OG0000059	XP_039749996.1, XP_039765851.1, XP_039764468.1, XP_039753360.1, XP_039755229.1, XP_039761472.1, XP_039761858.1, XP_039760350.1	HMEL033410g1.t1
OG0000060	XP_039758412.1	HMEL012129g1.t1
OG0000060	XP_039758865.1, XP_039758409.1, XP_039758410.1	HMEL036359g1.t1, HMEL036361g1.t1, HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	HMEL013742-RA, HMEL013738-RA, HMEL022441g1.t1, HMEL013741-RA, HMEL013739-RA, HMEL013737-RA
OG0000062	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1	HMEL003604g1.t1
OG0000063	XP_039751621.1, XP_039751623.1	HMEL034759g1.t1
OG0000063	XP_039751622.1	HMEL034760g1.t1
OG0000063	XP_039749990.1	HMEL008897g1.t1
OG0000064	XP_039750964.1, XP_039750766.1	HMEL009540g1.t1, HMEL036517g1.t1
OG0000064	XP_039757934.1, XP_039764341.1, XP_039757902.1, XP_039750792.1, XP_039749900.1, XP_039759716.1, XP_039763872.1, XP_039756662.1, XP_039759721.1, XP_039759571.1, XP_039761448.1, XP_039754334.1, XP_039756663.1, XP_039760025.1, XP_039760022.1, XP_039750611.1, XP_039749785.1, XP_039764231.1, XP_039750618.1	HMEL030674g1.t1, HMEL010560g1.t1
OG0000064	XP_039762469.1, XP_039762530.1, XP_039756330.1	HMEL032278g1.t1, HMEL037070g1.t1
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	HMEL010779g1.t1, HMEL003229g1.t1
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1
OG0000073	XP_039751184.1, XP_039751183.1	HMEL012052g1.t1
OG0000073	XP_039751407.1, XP_039751408.1	HMEL015732g1.t1
OG0000073	XP_039751081.1	HMEL015726g1.t1
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	HMEL002852g1.t1
OG0000075	XP_039753889.1	HMEL032963g1.t1
OG0000075	XP_039754353.1	HMEL032798g1.t1, HMEL022365g1.t1
OG0000076	XP_039750800.1, XP_039762964.1	HMEL037276g1.t1, HMEL002849g1.t1, HMEL016088g1.t1
OG0000076	XP_039762746.1	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1
OG0000078	XP_039752453.1	HMEL010630g1.t1, HMEL030578g1.t1
OG0000079	XP_039749980.1, XP_039749979.1, XP_039749978.1	HMEL006318-RA, HMEL032049g1.t1, HMEL020697g1.t1, HMEL037179g1.t1
OG0000080	XP_039764228.1	HMEL033368g1.t1, HMEL031026g1.t1, HMEL030136g1.t1
OG0000080	XP_039760880.1	HMEL036909g1.t1
OG0000082	XP_039761740.1	HMEL007401g1.t1
OG0000082	XP_039764229.1, XP_039764315.1, XP_039761712.1	HMEL030062g1.t1
OG0000083	XP_039760604.1	HMEL013158g1.t1
OG0000083	XP_039760601.1, XP_039760603.1, XP_039760602.1	HMEL013160g1.t1, HMEL013159g1.t1
OG0000084	XP_039749417.1	HMEL015484g1.t1
OG0000085	XP_039755091.1	HMEL007950g1.t1
OG0000088	XP_039751393.1	HMEL003756g1.t1
OG0000088	XP_039762785.1	HMEL011526g1.t1
OG0000088	XP_039751496.1	HMEL003755g1.t1
OG0000090	XP_039751315.1	HMEL006774g1.t1
OG0000090	XP_039749186.1	HMEL010419g1.t1
OG0000091	XP_039761446.1	HMEL035854g1.t1, HMEL030912g1.t1, HMEL038226g1.t1, HMEL032067g1.t1, HMEL030965g1.t1, HMEL030064g1.t1
OG0000093	XP_039761758.1	HMEL006620g1.t1
OG0000093	XP_039761603.1	HMEL005989g1.t1
OG0000093	XP_039761633.1, XP_039761632.1	HMEL003398g1.t1
OG0000094	XP_039746862.1	HMEL015375g1.t1
OG0000094	XP_039764606.1, XP_039764616.1, XP_039764598.1	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	HMEL003312g1.t1
OG0000096	XP_039751227.1	HMEL034898g1.t1, HMEL034900g1.t1, HMEL034901g1.t1
OG0000096	XP_039751260.1	HMEL006028g1.t1
OG0000096	XP_039751463.1	HMEL034896g1.t1
OG0000097	XP_039757158.1	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1
OG0000098	XP_039754908.1	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1
OG0000100	XP_039756542.1	HMEL016058g1.t1
OG0000101	XP_039758595.1	HMEL013064g1.t1, HMEL035350g1.t1
OG0000102	XP_039752281.1, XP_039752133.1, XP_039752135.1	HMEL003365g1.t1
OG0000103	XP_039751968.1	HMEL004144g1.t1
OG0000108	XP_039752852.1	HMEL013215g1.t1, HMEL010963g1.t1
OG0000108	XP_039761876.1	HMEL017787g1.t1, HMEL031414g1.t1
OG0000109	XP_039754228.1	HMEL007501g1.t1
OG0000110	XP_039752379.1	HMEL008603g1.t1
OG0000110	XP_039752305.1	HMEL008599g1.t1
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	HMEL017867g1.t1
OG0000112	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1	HMEL015803g1.t1
OG0000113	XP_039755044.1	HMEL037320g1.t1, HMEL037318g1.t1
OG0000113	XP_039762990.1	HMEL037317g1.t1, HMEL037316g1.t1, HMEL033908g1.t1
OG0000114	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1	HMEL015510g1.t1
OG0000115	XP_039747701.1	HMEL005318g1.t1
OG0000115	XP_039751528.1	HMEL017991g1.t1
OG0000115	XP_039746102.1	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1
OG0000116	XP_039748745.1	HMEL017091g1.t1
OG0000116	XP_039749795.1	HMEL037149g1.t1
OG0000116	XP_039761021.1	HMEL034503g1.t1
OG0000116	XP_039763856.1	HMEL013498g1.t1
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	HMEL033310g1.t1, HMEL002121g1.t1
OG0000118	XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1	HMEL034064g1.t1
OG0000119	XP_039755061.1	HMEL010108g1.t1
OG0000120	XP_039758940.1	HMEL031759g1.t1, HMEL017453g1.t1, HMEL036474g1.t1, HMEL032904g1.t1, HMEL033195g1.t1
OG0000122	XP_039754268.1	HMEL032771g1.t1
OG0000123	XP_039758681.1	HMEL035705g1.t1, HMEL033699g1.t1, HMEL032172g1.t1, HMEL036431g1.t1, HMEL030301g1.t1, HMEL012674g1.t1, HMEL032227g1.t1, HMEL015076g1.t1, HMEL008284g1.t1, HMEL030856g1.t1, HMEL003497g1.t1, HMEL035506g1.t1, HMEL035944g1.t1, HMEL037393g1.t1, HMEL035490g1.t1, HMEL031238g1.t1, HMEL037778g1.t1, HMEL030087g1.t1, HMEL030679g1.t1, HMEL036321g1.t1, HMEL030278g1.t1, HMEL030313g1.t1, HMEL002646g1.t1, HMEL037979g1.t1, HMEL030560g1.t1, HMEL031496g1.t1, HMEL036141g1.t1
OG0000124	XP_039759623.1	HMEL011266g1.t1, HMEL032622g1.t1
OG0000124	XP_039748506.1	HMEL017507g1.t1
OG0000125	XP_039763048.1	HMEL003538g1.t1, HMEL030582g1.t1
OG0000125	XP_039763370.1	HMEL013672g1.t1
OG0000128	XP_039759402.1	HMEL032417g1.t1, HMEL032418g1.t1
OG0000128	XP_039759275.1	HMEL007085g1.t1
OG0000128	XP_039759639.1, XP_039759640.1	HMEL032421g1.t1
OG0000131	XP_039761941.1	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA
OG0000132	XP_039758786.1	HMEL037936g1.t1, HMEL037935g1.t1
OG0000133	XP_039761844.1	HMEL010958g1.t1
OG0000134	XP_039750230.1	HMEL030656g1.t1
OG0000134	XP_039748060.1	HMEL017157g1.t1
OG0000134	XP_039745994.1	HMEL030654g1.t1
OG0000137	XP_039745441.1	HMEL021457g1.t1, HMEL031218g1.t1, HMEL010316g1.t1, HMEL031220g1.t1
OG0000138	XP_039764463.1	HMEL013861g1.t1
OG0000138	XP_039748518.1, XP_039748520.1	HMEL031800g1.t1, HMEL031799g1.t1
OG0000139	XP_039758056.1	HMEL004636g1.t1
OG0000139	XP_039760019.1	HMEL009670g1.t1
OG0000139	XP_039758138.1	HMEL011830g1.t1
OG0000140	XP_039761164.1	HMEL015840g1.t1
OG0000140	XP_039761163.1, XP_039761161.1	HMEL015842g1.t1
OG0000141	XP_039755123.1	HMEL016237g1.t1
OG0000142	XP_039752000.1	HMEL013887g1.t1
OG0000143	XP_039752786.1	HMEL010202g1.t1, HMEL010201g1.t1, HMEL033259g1.t1
OG0000143	XP_039752311.1, XP_039752179.1	HMEL010205g1.t1
OG0000144	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1	HMEL009988g1.t1, HMEL011225g1.t1
OG0000144	XP_039758752.1	HMEL009987g1.t1
OG0000145	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1
OG0000149	XP_039750557.1, XP_039750556.1	HMEL036082g1.t1
OG0000149	XP_039749878.1, XP_039749877.1	HMEL036986g1.t1
OG0000149	XP_039749779.1	HMEL021224g1.t1
OG0000150	XP_039764078.1	HMEL030115g1.t1
OG0000151	XP_039760940.1, XP_039760941.1, XP_039760468.1, XP_039760467.1, XP_039760383.1, XP_039760944.1, XP_039760945.1, XP_039760948.1, XP_039761501.1, XP_039761417.1, XP_039762560.1, XP_039761930.1, XP_039760947.1, XP_039760943.1, XP_039760469.1, XP_039760942.1, XP_039760465.1, XP_039761819.1, XP_039749270.1, XP_039761282.1, XP_039750768.1, XP_039761922.1, XP_039761323.1, XP_039761485.1, XP_039761464.1, XP_039763063.1, XP_039760441.1	HMEL032995g1.t1
OG0000152	XP_039759912.1	HMEL006927g1.t1
OG0000152	XP_039759933.1	HMEL003035g1.t1
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	HMEL006925g1.t1
OG0000153	XP_039754384.1	HMEL032639g1.t1, HMEL021463g1.t1, HMEL010053g1.t1, HMEL013104g1.t1
OG0000154	XP_039761253.1, XP_039761124.1	HMEL004219g1.t1, HMEL004220g1.t1, HMEL004221g1.t1, HMEL034516g1.t1, HMEL034517g1.t1
OG0000155	XP_039760323.1	HMEL005263g1.t1
OG0000160	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1	HMEL005007g1.t1
OG0000160	XP_039747895.1	HMEL037272g1.t1, HMEL035703g1.t1, HMEL017100g1.t1
OG0000160	XP_039763350.1	HMEL035702g1.t1
OG0000161	XP_039764266.1, XP_039755389.1, XP_039763787.1	HMEL037044g1.t1
