Orthogroup	Pararge_aegeria	Junonia_coenia
OG0000099	XP_039758452.1, XP_039756050.1, XP_039752164.1, XP_039754110.1, XP_039750228.1, XP_039750465.1, XP_039750464.1, XP_039751399.1, XP_039756188.1, XP_039764326.1, XP_039754575.1, XP_039751986.1, XP_039754706.1, XP_039765247.1, XP_039759156.1, XP_039755188.1, XP_039765356.1, XP_039764824.1, XP_039762710.1, XP_039758411.1, XP_039765838.1, XP_039748888.1, XP_039763199.1	JC_12866-RA, JC_12832-RA
OG0000100	XP_039756542.1	JC_10662-RA
OG0000101	XP_039758595.1	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	XP_039758877.1, XP_039758267.1	JC_09706-RA
OG0000102	XP_039752281.1, XP_039752133.1, XP_039752135.1	JC_12048-RA
OG0000103	XP_039751968.1	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA
OG0000108	XP_039761887.1	JC_12701-RA
OG0000108	XP_039761876.1	JC_03919-RA, JC_15130-RA, JC_03918-RA
OG0000110	XP_039752795.1	JC_12230-RA
OG0000110	XP_039752379.1	JC_12232-RA, JC_12231-RA
OG0000110	XP_039752305.1	JC_12228-RA, JC_12227-RA, JC_12226-RA
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	JC_06517-RA
OG0000111	XP_039748821.1	JC_04966-RA
OG0000111	XP_039749055.1	JC_04964-RA
OG0000112	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA
OG0000113	XP_039762990.1	JC_16665-RA, JC_16657-RA, JC_02497-RA
OG0000114	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1	JC_11661-RA
OG0000115	XP_039747701.1	JC_14206-RA
OG0000115	XP_039751528.1	JC_09318-RA
OG0000115	XP_039746102.1	JC_14203-RA
OG0000116	XP_039748745.1	JC_05019-RA
OG0000116	XP_039749795.1	JC_15737-RA, JC_09136-RA
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000118	XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1	JC_15186-RA, JC_03928-RA
OG0000119	XP_039755254.1	JC_11803-RA, JC_05582-RA, JC_05587-RA
OG0000120	XP_039758940.1	JC_16881-RA, JC_13575-RA, JC_15154-RA
OG0000122	XP_039754268.1	JC_03302-RA
OG0000122	XP_039745510.1, XP_039761879.1, XP_039760048.1	JC_15261-RA
OG0000123	XP_039758681.1	JC_00053-RA
OG0000124	XP_039759623.1	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	XP_039763370.1	JC_13370-RA, JC_13369-RA
OG0000127	XP_039753005.1	JC_14232-RA
OG0000127	XP_039755682.1	JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA
OG0000128	XP_039759402.1	JC_10255-RA
OG0000128	XP_039759275.1	JC_10263-RA
OG0000128	XP_039759639.1, XP_039759640.1	JC_10261-RA
OG0000129	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1	JC_14536-RA, JC_14538-RA
OG0000131	XP_039761941.1	JC_03944-RA, JC_04373-RA, JC_03943-RA
OG0000132	XP_039758786.1	JC_16594-RA, JC_12333-RA
OG0000133	XP_039761844.1	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000134	XP_039750230.1	JC_13643-RA
OG0000134	XP_039748060.1	JC_13572-RA, JC_13574-RA
OG0000134	XP_039745994.1	JC_13639-RA
OG0000137	XP_039745449.1, XP_039745448.1, XP_039745446.1, XP_039745445.1	JC_00690-RA
OG0000137	XP_039745441.1	JC_00691-RA
OG0000138	XP_039764463.1	JC_08004-RA
OG0000138	XP_039748518.1, XP_039748520.1	JC_04421-RA
OG0000139	XP_039758056.1	JC_12415-RA, JC_12416-RA
OG0000139	XP_039760019.1	JC_12885-RA
OG0000139	XP_039758138.1	JC_12412-RA
OG0000140	XP_039761164.1	JC_15651-RA
OG0000140	XP_039761163.1	JC_15647-RA
OG0000141	XP_039755123.1	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA
OG0000142	XP_039752000.1	JC_16337-RA, JC_16335-RA, JC_16334-RA
OG0000143	XP_039752786.1	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	XP_039752311.1, XP_039752179.1	JC_11701-RA, JC_11700-RA
OG0000144	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1	JC_05956-RA, JC_05955-RA
OG0000144	XP_039758752.1	JC_05954-RA
OG0000145	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1	JC_03183-RA
OG0000149	XP_039749779.1	JC_09057-RA
OG0000152	XP_039759912.1	JC_01151-RA
OG0000152	XP_039759933.1	JC_01147-RA
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	JC_01149-RA
OG0000153	XP_039754384.1	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA
OG0000154	XP_039761253.1, XP_039761124.1	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA
OG0000155	XP_039760323.1	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000155	XP_039760319.1	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA
OG0000156	XP_039756689.1	JC_10975-RA, JC_10974-RA
OG0000156	XP_039756715.1	JC_15886-RA, JC_10973-RA
OG0000161	XP_039764266.1, XP_039755389.1	JC_10383-RA
OG0000162	XP_039759555.1	JC_10317-RA, JC_10318-RA
OG0000162	XP_039759460.1	JC_10313-RA, JC_10316-RA
OG0000163	XP_039759097.1, XP_039759094.1	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1	JC_16411-RA
OG0000165	XP_039746259.1	JC_02467-RA, JC_02466-RA
OG0000165	XP_039745985.1, XP_039746050.1	JC_02484-RA
OG0000166	XP_039758552.1	JC_06064-RA
OG0000166	XP_039758732.1	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
OG0000167	XP_039762062.1, XP_039762063.1, XP_039754018.1	JC_03065-RA
OG0000169	XP_039759316.1	JC_09918-RA
OG0000169	XP_039759608.1	JC_09913-RA
OG0000169	XP_039759611.1	JC_09912-RA
OG0000170	XP_039758631.1	JC_05858-RA, JC_05859-RA, JC_05861-RA
OG0000171	XP_039751440.1	JC_09304-RA, JC_09306-RA, JC_09305-RA
OG0000171	XP_039751381.1, XP_039751687.1	JC_09303-RA
OG0000172	XP_039751930.1	JC_11633-RA, JC_11631-RA, JC_11632-RA
OG0000174	XP_039752561.1	JC_01298-RA
OG0000174	XP_039763737.1	JC_02058-RA
OG0000175	XP_039761245.1, XP_039761244.1	JC_15584-RA
OG0000175	XP_039747028.1	JC_03752-RA
OG0000175	XP_039753289.1	JC_07347-RA
OG0000177	XP_039754768.1	JC_12881-RA
OG0000178	XP_039761069.1	JC_15551-RA
OG0000178	XP_039761230.1, XP_039761229.1, XP_039761231.1	JC_15684-RA
OG0000179	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1	JC_05652-RA
OG0000180	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1	JC_01798-RA
OG0000180	XP_039763111.1	JC_01797-RA
OG0000181	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	XP_039750778.1	JC_06575-RA, JC_06574-RA
OG0000182	XP_039749177.1	JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	XP_039759299.1	JC_09899-RA
OG0000183	XP_039751981.1	JC_00847-RA
OG0000183	XP_039746207.1	JC_02435-RA
OG0000184	XP_039748948.1	JC_04531-RA
OG0000184	XP_039750636.1	JC_06432-RA
OG0000184	XP_039750819.1	JC_06434-RA
OG0000185	XP_039756858.1	JC_11317-RA
OG0000185	XP_039757372.1	JC_11318-RA, JC_11319-RA
OG0000186	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1	JC_16936-RA
OG0000187	XP_039752400.1	JC_16384-RA
OG0000187	XP_039761993.1	JC_16906-RA
OG0000189	XP_039755832.1	JC_07045-RA, JC_07046-RA
OG0000189	XP_039755689.1	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	XP_039750365.1, XP_039750783.1	JC_06617-RA
OG0000190	XP_039750360.1	JC_06615-RA
OG0000193	XP_039750301.1	JC_06325-RA
OG0000193	XP_039750477.1	JC_06528-RA
OG0000193	XP_039750255.1	JC_06527-RA
OG0000194	XP_039755804.1	JC_02952-RA, JC_15116-RA, JC_07427-RA
OG0000196	XP_039755851.1, XP_039755833.1, XP_039755840.1	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1	JC_00320-RA
OG0000198	XP_039746651.1	JC_03773-RA
OG0000198	XP_039746649.1	JC_04209-RA
OG0000199	XP_039754756.1, XP_039751300.1	JC_15024-RA, JC_05544-RA, JC_13150-RA
OG0000200	XP_039754336.1	JC_03360-RA
OG0000200	XP_039754239.1	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA
OG0000201	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1	JC_07060-RA
OG0000202	XP_039749100.1, XP_039749101.1	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA
OG0000203	XP_039754507.1, XP_039754512.1	JC_03487-RA
OG0000205	XP_039755134.1	JC_05405-RA
OG0000206	XP_039762982.1	JC_16685-RA, JC_10718-RA, JC_16686-RA
OG0000207	XP_039754537.1	JC_06478-RA, JC_06002-RA, JC_15318-RA, JC_10834-RA
OG0000208	XP_039764458.1, XP_039764457.1, XP_039764459.1, XP_039764456.1	JC_07994-RA, JC_07996-RA
OG0000208	XP_039765207.1	JC_07997-RA
OG0000209	XP_039748142.1	JC_14043-RA
OG0000209	XP_039755641.1	JC_07069-RA
OG0000210	XP_039751647.1	JC_09539-RA
OG0000210	XP_039751643.1, XP_039751732.1	JC_09537-RA
OG0000210	XP_039751592.1	JC_09538-RA
OG0000212	XP_039749219.1, XP_039749220.1	JC_05951-RA, JC_00130-RA
OG0000212	XP_039749221.1	JC_04775-RA
OG0000212	XP_039748939.1	JC_04773-RA
OG0000213	XP_039765385.1	JC_00444-RA
OG0000213	XP_039745503.1	JC_00447-RA
OG0000213	XP_039765673.1	JC_00451-RA
