Orthogroup	Pararge_aegeria	Vanessa_cardui
OG0000026	XP_039751027.1, XP_039746619.1, XP_039761421.1, XP_039762536.1, XP_039761484.1, XP_039762036.1, XP_039760445.1, XP_039762476.1, XP_039761458.1, XP_039762041.1, XP_039761285.1, XP_039762534.1	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA
OG0000029	XP_039745529.1	Vcard_DToL02471-RA
OG0000029	XP_039745528.1	Vcard_DToL02470-RA
OG0000031	XP_039753010.1	Vcard_DToL09360-RA
OG0000034	XP_039746452.1	Vcard_DToL03971-RA
OG0000034	XP_039746398.1	Vcard_DToL03370-RA
OG0000034	XP_039746268.1	Vcard_DToL03379-RA
OG0000037	XP_039754332.1	Vcard_DToL07760-RA
OG0000038	XP_039749533.1	Vcard_DToL16692-RA
OG0000039	XP_039752715.1	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA
OG0000041	XP_039759472.1	Vcard_DToL13154-RA
OG0000041	XP_039759561.1, XP_039746548.1	Vcard_DToL15605-RA
OG0000045	XP_039750219.1, XP_039750218.1	Vcard_DToL10351-RA
OG0000045	XP_039762676.1	Vcard_DToL18745-RA
OG0000045	XP_039750023.1	Vcard_DToL07613-RA
OG0000045	XP_039752690.1	Vcard_DToL07709-RA
OG0000045	XP_039760955.1	Vcard_DToL16826-RA, Vcard_DToL16821-RA, Vcard_DToL16824-RA, Vcard_DToL04855-RA, Vcard_DToL16819-RA
OG0000046	XP_039755063.1	Vcard_DToL03287-RA
OG0000046	XP_039755065.1	Vcard_DToL03286-RA
OG0000049	XP_039751487.1, XP_039751486.1	Vcard_DToL06466-RA
OG0000049	XP_039751228.1	Vcard_DToL06446-RA
OG0000049	XP_039751167.1	Vcard_DToL06451-RA
OG0000050	XP_039756635.1, XP_039756638.1, XP_039756636.1	Vcard_DToL13075-RA, Vcard_DToL13076-RA
OG0000051	XP_039749486.1, XP_039746119.1, XP_039758957.1, XP_039747708.1, XP_039751058.1, XP_039758934.1, XP_039749343.1, XP_039757086.1, XP_039745259.1, XP_039758360.1, XP_039759681.1, XP_039764323.1, XP_039764161.1, XP_039753845.1, XP_039755457.1, XP_039752827.1, XP_039763915.1, XP_039758075.1, XP_039761862.1, XP_039760130.1, XP_039761912.1, XP_039745385.1, XP_039758148.1, XP_039762600.1, XP_039747551.1, XP_039753803.1, XP_039753307.1	Vcard_DToL02196-RA
OG0000052	XP_039755855.1	Vcard_DToL12448-RA, Vcard_DToL12449-RA
OG0000053	XP_039752462.1	Vcard_DToL01328-RA
OG0000053	XP_039760715.1	Vcard_DToL01331-RA
OG0000053	XP_039761162.1	Vcard_DToL01333-RA
OG0000053	XP_039755401.1	Vcard_DToL01332-RA
OG0000053	XP_039754797.1	Vcard_DToL01335-RA
OG0000054	XP_039753385.1	Vcard_DToL09709-RA
OG0000054	XP_039753617.1, XP_039753386.1, XP_039753387.1, XP_039753618.1	Vcard_DToL09712-RA
OG0000054	XP_039753616.1	Vcard_DToL09711-RA
OG0000056	XP_039760526.1	Vcard_DToL16041-RA
OG0000056	XP_039760529.1, XP_039760686.1	Vcard_DToL16040-RA
OG0000057	XP_039759134.1, XP_039759133.1	Vcard_DToL13794-RA
OG0000057	XP_039759135.1	Vcard_DToL13796-RA
OG0000057	XP_039749078.1	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000058	XP_039764477.1	Vcard_DToL16303-RA, Vcard_DToL07362-RA
OG0000058	XP_039746435.1	Vcard_DToL02890-RA
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	Vcard_DToL04117-RA
OG0000062	XP_039749293.1	Vcard_DToL05449-RA
OG0000062	XP_039748112.1, XP_039747853.1	Vcard_DToL17485-RA
OG0000062	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA
OG0000063	XP_039751621.1, XP_039751623.1	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	XP_039751622.1	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA
OG0000063	XP_039758398.1	Vcard_DToL09866-RA
OG0000063	XP_039749990.1	Vcard_DToL07425-RA
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1, XP_039760356.1	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000067	XP_039748007.1, XP_039748182.1, XP_039748270.1, XP_039748269.1, XP_039748271.1, XP_039747710.1	Vcard_DToL15558-RA
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	Vcard_DToL16340-RA
OG0000069	XP_039752244.1, XP_039752695.1, XP_039752768.1	Vcard_DToL07819-RA, Vcard_DToL07818-RA
OG0000071	XP_039757286.1	Vcard_DToL11272-RA
OG0000073	XP_039751184.1, XP_039751183.1	Vcard_DToL06863-RA
OG0000073	XP_039751407.1, XP_039751408.1	Vcard_DToL06621-RA
OG0000073	XP_039751081.1	Vcard_DToL06614-RA
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	Vcard_DToL04138-RA
OG0000075	XP_039753889.1	Vcard_DToL04124-RA
OG0000075	XP_039754353.1	Vcard_DToL04270-RA
OG0000076	XP_039762746.1	Vcard_DToL18781-RA
OG0000078	XP_039751952.1, XP_039752453.1	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000079	XP_039749980.1, XP_039749979.1, XP_039749978.1	Vcard_DToL07660-RA, Vcard_DToL05246-RA, Vcard_DToL05221-RA
OG0000082	XP_039761740.1	Vcard_DToL17276-RA
OG0000082	XP_039764229.1, XP_039764315.1, XP_039761712.1	Vcard_DToL17266-RA
OG0000082	XP_039761433.1	Vcard_DToL17337-RA
OG0000084	XP_039749417.1	Vcard_DToL07564-RA
OG0000085	XP_039749173.1, XP_039749174.1, XP_039749175.1	Vcard_DToL03094-RA
OG0000085	XP_039755026.1, XP_039755027.1, XP_039754791.1	Vcard_DToL03096-RA, Vcard_DToL03095-RA
OG0000088	XP_039751393.1	Vcard_DToL06950-RA
OG0000088	XP_039751496.1	Vcard_DToL06952-RA
OG0000090	XP_039749186.1	Vcard_DToL04847-RA
OG0000091	XP_039761446.1	Vcard_DToL15016-RA, Vcard_DToL07340-RA
OG0000092	XP_039754570.1	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	XP_039761758.1	Vcard_DToL17257-RA
OG0000093	XP_039761603.1	Vcard_DToL17260-RA
OG0000093	XP_039761633.1, XP_039761632.1	Vcard_DToL17256-RA
OG0000094	XP_039746862.1	Vcard_DToL15547-RA
OG0000094	XP_039764606.1, XP_039764616.1, XP_039764598.1	Vcard_DToL15561-RA
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	Vcard_DToL02427-RA, Vcard_DToL02425-RA
OG0000096	XP_039751227.1	Vcard_DToL06347-RA
OG0000096	XP_039751260.1	Vcard_DToL06351-RA
OG0000096	XP_039751463.1	Vcard_DToL06349-RA
OG0000097	XP_039757158.1	Vcard_DToL11327-RA, Vcard_DToL11326-RA
OG0000098	XP_039754908.1	Vcard_DToL02960-RA
OG0000100	XP_039756542.1	Vcard_DToL12904-RA
OG0000101	XP_039758595.1	Vcard_DToL09191-RA
OG0000101	XP_039758877.1, XP_039758267.1	Vcard_DToL10113-RA
OG0000103	XP_039751968.1	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA
OG0000108	XP_039761876.1	Vcard_DToL18043-RA
OG0000110	XP_039752795.1	Vcard_DToL07723-RA
OG0000110	XP_039752305.1	Vcard_DToL07721-RA, Vcard_DToL07720-RA
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	Vcard_DToL10424-RA
OG0000111	XP_039748821.1	Vcard_DToL05296-RA
OG0000111	XP_039749055.1	Vcard_DToL05301-RA
OG0000113	XP_039762990.1	Vcard_DToL03481-RA
OG0000115	XP_039747701.1	Vcard_DToL16325-RA
OG0000115	XP_039751528.1	Vcard_DToL06773-RA
OG0000115	XP_039746102.1	Vcard_DToL16322-RA
OG0000116	XP_039748745.1	Vcard_DToL05226-RA
OG0000116	XP_039749795.1	Vcard_DToL07626-RA
OG0000116	XP_039763856.1	Vcard_DToL00399-RA
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	Vcard_DToL08239-RA
OG0000119	XP_039755254.1	Vcard_DToL03289-RA
OG0000119	XP_039755061.1	Vcard_DToL03290-RA
OG0000122	XP_039754268.1	Vcard_DToL04366-RA
OG0000124	XP_039759623.1	Vcard_DToL13182-RA
OG0000125	XP_039763370.1	Vcard_DToL15854-RA
OG0000127	XP_039753005.1	Vcard_DToL18678-RA
OG0000128	XP_039759402.1	Vcard_DToL13576-RA
OG0000128	XP_039759275.1	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	XP_039759639.1, XP_039759640.1	Vcard_DToL13581-RA
OG0000129	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1	Vcard_DToL16688-RA
OG0000131	XP_039761941.1	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA
OG0000132	XP_039758786.1	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA
OG0000133	XP_039761844.1	Vcard_DToL17871-RA
OG0000134	XP_039750230.1	Vcard_DToL15581-RA
OG0000134	XP_039748060.1	Vcard_DToL15620-RA
OG0000134	XP_039745994.1	Vcard_DToL15582-RA
OG0000138	XP_039764463.1	Vcard_DToL06226-RA, Vcard_DToL06227-RA
OG0000138	XP_039748518.1, XP_039748520.1	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	XP_039758056.1	Vcard_DToL15053-RA, Vcard_DToL14664-RA
OG0000139	XP_039760019.1	Vcard_DToL15052-RA
OG0000140	XP_039761164.1	Vcard_DToL16920-RA
OG0000140	XP_039761163.1	Vcard_DToL16917-RA
OG0000140	XP_039761161.1	Vcard_DToL16916-RA
OG0000141	XP_039755123.1	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA
OG0000142	XP_039752000.1	Vcard_DToL18406-RA
OG0000142	XP_039752666.1	Vcard_DToL18394-RA
OG0000143	XP_039752786.1	Vcard_DToL08257-RA
OG0000143	XP_039752311.1, XP_039752179.1	Vcard_DToL08259-RA
OG0000144	XP_039755210.1, XP_039758832.1, XP_039758553.1, XP_039758772.1	Vcard_DToL09834-RA
OG0000145	XP_039754348.1, XP_039754347.1, XP_039754352.1, XP_039754350.1, XP_039754351.1	Vcard_DToL04524-RA
OG0000147	XP_039758401.1, XP_039758400.1, XP_039758856.1	Vcard_DToL09992-RA, Vcard_DToL09991-RA
OG0000148	XP_039747858.1, XP_039757346.1, XP_039758592.1, XP_039748987.1	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA
OG0000149	XP_039750557.1, XP_039750556.1	Vcard_DToL10477-RA
OG0000150	XP_039764078.1	Vcard_DToL07759-RA
OG0000152	XP_039759933.1	Vcard_DToL01538-RA
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	Vcard_DToL01542-RA
OG0000153	XP_039754384.1	Vcard_DToL04556-RA, Vcard_DToL04750-RA
OG0000154	XP_039761253.1, XP_039761124.1	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	XP_039760323.1	Vcard_DToL15439-RA
OG0000156	XP_039756715.1	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA
OG0000162	XP_039759555.1	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	XP_039759097.1, XP_039759094.1	Vcard_DToL13540-RA
OG0000164	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1	Vcard_DToL18259-RA
OG0000165	XP_039746259.1	Vcard_DToL03458-RA, Vcard_DToL03457-RA
OG0000166	XP_039758552.1	Vcard_DToL10237-RA
OG0000166	XP_039758732.1	Vcard_DToL10075-RA
OG0000167	XP_039754018.1	Vcard_DToL04638-RA
OG0000167	XP_039748188.1	Vcard_DToL17484-RA
OG0000169	XP_039759316.1	Vcard_DToL13220-RA
OG0000169	XP_039759608.1	Vcard_DToL13215-RA
OG0000169	XP_039759611.1	Vcard_DToL13212-RA
OG0000170	XP_039758631.1	Vcard_DToL09757-RA
OG0000171	XP_039751440.1	Vcard_DToL06760-RA, Vcard_DToL06761-RA
OG0000171	XP_039751381.1, XP_039751687.1	Vcard_DToL06758-RA
OG0000172	XP_039751931.1	Vcard_DToL08055-RA
OG0000174	XP_039752561.1	Vcard_DToL01198-RA, Vcard_DToL01197-RA
OG0000174	XP_039763737.1	Vcard_DToL00231-RA
OG0000175	XP_039761245.1, XP_039761244.1	Vcard_DToL16841-RA
OG0000175	XP_039747028.1	Vcard_DToL08937-RA
OG0000175	XP_039753289.1	Vcard_DToL09691-RA
OG0000176	XP_039761136.1	Vcard_DToL14998-RA
OG0000178	XP_039761069.1	Vcard_DToL16798-RA
OG0000178	XP_039761230.1, XP_039761229.1, XP_039761231.1	Vcard_DToL16964-RA
OG0000179	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1	Vcard_DToL10007-RA
OG0000180	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA
OG0000180	XP_039763111.1	Vcard_DToL00694-RA
OG0000181	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	XP_039750778.1, XP_039749177.1	Vcard_DToL04801-RA
OG0000183	XP_039759299.1	Vcard_DToL13208-RA
OG0000183	XP_039751981.1	Vcard_DToL06780-RA, Vcard_DToL01715-RA
OG0000184	XP_039748948.1	Vcard_DToL04778-RA
OG0000184	XP_039750636.1	Vcard_DToL10518-RA
OG0000184	XP_039750819.1	Vcard_DToL10517-RA
OG0000185	XP_039756858.1	Vcard_DToL11157-RA
OG0000185	XP_039757372.1	Vcard_DToL11158-RA, Vcard_DToL11159-RA
OG0000186	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1	Vcard_DToL18093-RA
OG0000187	XP_039752400.1	Vcard_DToL18267-RA
OG0000187	XP_039761993.1	Vcard_DToL18153-RA
OG0000189	XP_039755832.1	Vcard_DToL12111-RA
OG0000189	XP_039755689.1	Vcard_DToL12109-RA, Vcard_DToL12110-RA
OG0000190	XP_039750365.1, XP_039750783.1	Vcard_DToL10323-RA
OG0000190	XP_039750360.1	Vcard_DToL10320-RA
OG0000191	XP_039763811.1, XP_039763810.1, XP_039763808.1, XP_039763809.1, XP_039764334.1, XP_039764296.1, XP_039764245.1, XP_039764242.1, XP_039764256.1, XP_039764257.1, XP_039764124.1, XP_039763561.1, XP_039763564.1, XP_039763563.1, XP_039763558.1, XP_039763560.1, XP_039763559.1	Vcard_DToL00710-RA, Vcard_DToL00708-RA
OG0000193	XP_039750301.1	Vcard_DToL10620-RA
OG0000193	XP_039750477.1	Vcard_DToL10410-RA, Vcard_DToL10411-RA
OG0000193	XP_039750255.1	Vcard_DToL10412-RA
OG0000194	XP_039755804.1	Vcard_DToL18679-RA
OG0000196	XP_039755851.1, XP_039755833.1, XP_039755840.1	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	XP_039758390.1, XP_039758399.1	Vcard_DToL00934-RA
OG0000197	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1	Vcard_DToL02361-RA
OG0000198	XP_039746651.1	Vcard_DToL08912-RA
OG0000200	XP_039754336.1	Vcard_DToL04305-RA
OG0000200	XP_039754239.1	Vcard_DToL04304-RA
OG0000201	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1	Vcard_DToL12096-RA, Vcard_DToL12097-RA
OG0000202	XP_039749100.1, XP_039749101.1	Vcard_DToL05319-RA, Vcard_DToL05320-RA
OG0000203	XP_039754507.1, XP_039754512.1	Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA
OG0000205	XP_039755134.1	Vcard_DToL03236-RA
OG0000205	XP_039751548.1, XP_039751547.1, XP_039751546.1, XP_039751549.1	Vcard_DToL03235-RA
OG0000206	XP_039762982.1	Vcard_DToL18698-RA
OG0000207	XP_039754537.1	Vcard_DToL17790-RA
OG0000208	XP_039765207.1	Vcard_DToL06230-RA
OG0000209	XP_039748142.1	Vcard_DToL14070-RA
OG0000209	XP_039755641.1	Vcard_DToL12081-RA
OG0000210	XP_039751647.1	Vcard_DToL06539-RA
OG0000210	XP_039751643.1, XP_039751732.1	Vcard_DToL06537-RA
OG0000210	XP_039751596.1	Vcard_DToL06540-RA
OG0000212	XP_039749220.1	Vcard_DToL05123-RA
OG0000212	XP_039749221.1, XP_039748939.1	Vcard_DToL05122-RA
OG0000213	XP_039765385.1	Vcard_DToL02226-RA
OG0000213	XP_039745503.1	Vcard_DToL02222-RA
OG0000213	XP_039765673.1	Vcard_DToL02219-RA, Vcard_DToL02218-RA
OG0000214	XP_039751434.1	Vcard_DToL06709-RA
OG0000215	XP_039747785.1	Vcard_DToL15777-RA
OG0000215	XP_039746157.1	Vcard_DToL03753-RA
OG0000215	XP_039762291.1	Vcard_DToL15776-RA
OG0000216	XP_039748667.1, XP_039748668.1, XP_039748677.1	Vcard_DToL05432-RA, Vcard_DToL05434-RA
OG0000217	XP_039756614.1	Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA, Vcard_DToL01455-RA
OG0000218	XP_039746708.1, XP_039747114.1, XP_039747112.1	Vcard_DToL08466-RA
OG0000219	XP_039751011.1	Vcard_DToL15870-RA
OG0000219	XP_039754561.1	Vcard_DToL04565-RA
OG0000219	XP_039754481.1	Vcard_DToL04562-RA
OG0000220	XP_039748629.1	Vcard_DToL05229-RA
OG0000220	XP_039748829.1	Vcard_DToL05216-RA
OG0000221	XP_039749261.1	Vcard_DToL05218-RA, Vcard_DToL05217-RA
OG0000222	XP_039762960.1	Vcard_DToL18695-RA, Vcard_DToL18696-RA
OG0000222	XP_039762818.1	Vcard_DToL18700-RA
OG0000228	XP_039747947.1, XP_039750491.1	Vcard_DToL17482-RA
OG0000229	XP_039757462.1	Vcard_DToL14725-RA
OG0000229	XP_039754103.1	Vcard_DToL00962-RA
OG0000230	XP_039749718.1	Vcard_DToL07194-RA
OG0000230	XP_039749771.1	Vcard_DToL07199-RA
OG0000232	XP_039751274.1	Vcard_DToL07956-RA
OG0000233	XP_039748541.1, XP_039748540.1	Vcard_DToL04978-RA
OG0000233	XP_039748975.1, XP_039748978.1, XP_039748977.1, XP_039748976.1, XP_039748974.1	Vcard_DToL04976-RA
OG0000234	XP_039747573.1	Vcard_DToL17522-RA
OG0000234	XP_039747922.1	Vcard_DToL17436-RA, Vcard_DToL07659-RA, Vcard_DToL07657-RA
OG0000235	XP_039746284.1	Vcard_DToL03594-RA
OG0000235	XP_039745957.1, XP_039745958.1, XP_039745960.1, XP_039745961.1, XP_039745959.1	Vcard_DToL03595-RA
OG0000236	XP_039755818.1	Vcard_DToL11988-RA
OG0000236	XP_039755425.1	Vcard_DToL11986-RA
OG0000237	XP_039758531.1	Vcard_DToL09774-RA
OG0000237	XP_039758665.1	Vcard_DToL09775-RA
OG0000238	XP_039746535.1, XP_039746539.1, XP_039746536.1, XP_039746537.1, XP_039746533.1, XP_039746538.1	Vcard_DToL08425-RA
OG0000238	XP_039751254.1	Vcard_DToL06802-RA
OG0000239	XP_039754388.1	Vcard_DToL04533-RA
OG0000239	XP_039754293.1, XP_039754294.1	Vcard_DToL04531-RA, Vcard_DToL04532-RA
OG0000245	XP_039763825.1, XP_039763064.1, XP_039763052.1	Vcard_DToL15030-RA
OG0000246	XP_039755213.1	Vcard_DToL03003-RA
OG0000247	XP_039760335.1	Vcard_DToL15273-RA
OG0000247	XP_039759915.1	Vcard_DToL15275-RA
OG0000248	XP_039752703.1, XP_039752702.1	Vcard_DToL18456-RA
OG0000248	XP_039752413.1	Vcard_DToL18500-RA
OG0000249	XP_039747911.1	Vcard_DToL13886-RA
OG0000249	XP_039747907.1, XP_039747908.1	Vcard_DToL13885-RA
OG0000250	XP_039751755.1, XP_039752482.1	Vcard_DToL18445-RA
OG0000252	XP_039751352.1, XP_039751410.1, XP_039751349.1, XP_039751348.1	Vcard_DToL06474-RA
OG0000254	XP_039748400.1	Vcard_DToL17610-RA
OG0000256	XP_039758815.1	Vcard_DToL01480-RA
OG0000257	XP_039749725.1	Vcard_DToL07238-RA
OG0000257	XP_039752276.1	Vcard_DToL08163-RA, Vcard_DToL08160-RA
OG0000258	XP_039747995.1	Vcard_DToL13978-RA, Vcard_DToL13991-RA, Vcard_DToL17041-RA, Vcard_DToL13990-RA, Vcard_DToL13992-RA
OG0000259	XP_039758830.1	Vcard_DToL09794-RA
OG0000260	XP_039747849.1	Vcard_DToL17440-RA
