Orthogroup	Pararge_aegeria	Danaus_plexippus
OG0000036	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1, XP_039750771.1, XP_039762012.1	DPOGS213885-PA
OG0000038	XP_039749533.1, XP_039747874.1	DPOGS214966-PA
OG0000039	XP_039752213.1, XP_039752212.1	DPOGS201794-PA, DPOGS201792-PA
OG0000040	XP_039761434.1, XP_039764517.1, XP_039757393.1, XP_039762474.1, XP_039755530.1, XP_039761897.1, XP_039757370.1, XP_039756682.1, XP_039746317.1, XP_039757920.1, XP_039764430.1, XP_039757341.1, XP_039759545.1, XP_039764051.1, XP_039750845.1, XP_039746162.1, XP_039764273.1, XP_039757383.1, XP_039763948.1, XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1	DPOGS211359-PA
OG0000041	XP_039759472.1	DPOGS210496-PA
OG0000041	XP_039749285.1, XP_039749003.1	DPOGS206520-PA
OG0000044	XP_039762498.1, XP_039762486.1, XP_039762637.1	DPOGS216008-PA
OG0000045	XP_039750219.1, XP_039750218.1	DPOGS210702-PA, DPOGS210700-PA
OG0000045	XP_039762676.1	DPOGS210663-PA
OG0000045	XP_039750023.1	DPOGS210250-PA
OG0000045	XP_039752690.1	DPOGS212775-PA
OG0000045	XP_039761923.1	DPOGS210048-PA
OG0000045	XP_039760955.1	DPOGS213925-PA, DPOGS213901-PA
OG0000046	XP_039755063.1	DPOGS209145-PA
OG0000046	XP_039755067.1, XP_039755066.1	DPOGS209144-PA
OG0000046	XP_039759613.1, XP_039755065.1	DPOGS209146-PA
OG0000049	XP_039751487.1, XP_039751486.1, XP_039751228.1, XP_039751167.1	DPOGS201061-PA
OG0000052	XP_039755855.1	DPOGS210331-PA
OG0000053	XP_039752462.1	DPOGS201540-PA
OG0000053	XP_039760715.1	DPOGS201419-PA
OG0000053	XP_039761162.1	DPOGS201422-PA
OG0000053	XP_039755401.1	DPOGS201421-PA
OG0000053	XP_039754797.1	DPOGS201423-PA
OG0000054	XP_039753385.1	DPOGS201193-PA
OG0000054	XP_039753617.1	DPOGS201191-PA, DPOGS201192-PA
OG0000054	XP_039753386.1, XP_039753387.1, XP_039753618.1	DPOGS201177-PA
OG0000054	XP_039753616.1	DPOGS201176-PA, DPOGS201175-PA
OG0000056	XP_039760526.1	DPOGS210281-PA
OG0000056	XP_039760529.1	DPOGS206182-PA
OG0000057	XP_039759134.1, XP_039759133.1	DPOGS209909-PA
OG0000057	XP_039759135.1	DPOGS209884-PA
OG0000057	XP_039749078.1	DPOGS209997-PA
OG0000058	XP_039755222.1	DPOGS212355-PA
OG0000058	XP_039746435.1	DPOGS215426-PA
OG0000060	XP_039758412.1	DPOGS208010-PA, DPOGS208061-PA
OG0000060	XP_039758865.1, XP_039758409.1, XP_039758410.1	DPOGS200035-PA, DPOGS208060-PA
OG0000061	XP_039753921.1, XP_039754302.1, XP_039754300.1	DPOGS201160-PA
OG0000062	XP_039749293.1	DPOGS202468-PA, DPOGS202469-PA
OG0000062	XP_039748112.1, XP_039747853.1	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA
OG0000062	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1	DPOGS207201-PA
OG0000063	XP_039751621.1, XP_039751623.1	DPOGS201994-PA
OG0000063	XP_039751622.1	DPOGS201995-PA
OG0000063	XP_039758398.1	DPOGS205397-PA
OG0000063	XP_039749990.1	DPOGS208887-PA
OG0000066	XP_039760006.1, XP_039760007.1, XP_039759907.1, XP_039760356.1	DPOGS210132-PA
OG0000067	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1	DPOGS204359-PA
OG0000067	XP_039748182.1	DPOGS204360-PA
OG0000068	XP_039750951.1, XP_039750943.1, XP_039747893.1	DPOGS213409-PA, DPOGS212680-PA
OG0000069	XP_039752244.1, XP_039752695.1, XP_039752768.1	DPOGS206989-PA
OG0000071	XP_039757286.1	DPOGS205454-PA
OG0000073	XP_039751184.1, XP_039751183.1	DPOGS205799-PA
OG0000073	XP_039751407.1, XP_039751408.1	DPOGS208534-PA
OG0000073	XP_039751081.1	DPOGS213705-PA
OG0000075	XP_039753948.1, XP_039753946.1, XP_039753947.1	DPOGS201167-PA
OG0000075	XP_039753889.1	DPOGS201162-PA
OG0000075	XP_039754353.1	DPOGS209261-PA
OG0000076	XP_039750800.1, XP_039762964.1	DPOGS206203-PA
OG0000076	XP_039762746.1	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA
OG0000078	XP_039751952.1, XP_039752453.1	DPOGS207021-PA
OG0000082	XP_039761740.1	DPOGS211069-PA
OG0000082	XP_039764229.1, XP_039764315.1, XP_039761712.1	DPOGS203867-PA
OG0000083	XP_039760604.1	DPOGS201702-PA
OG0000084	XP_039749417.1	DPOGS200123-PA
OG0000085	XP_039755091.1, XP_039749173.1, XP_039749174.1, XP_039749175.1, XP_039755026.1, XP_039755027.1, XP_039754791.1	DPOGS215579-PA
OG0000088	XP_039751393.1	DPOGS202810-PA
OG0000088	XP_039762785.1	DPOGS215149-PA
OG0000088	XP_039751496.1	DPOGS202814-PA
OG0000090	XP_039749189.1, XP_039749188.1, XP_039749187.1, XP_039751315.1, XP_039749191.1, XP_039749186.1	DPOGS210053-PA, DPOGS210052-PA
OG0000092	XP_039754570.1	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA
OG0000093	XP_039761758.1	DPOGS202427-PA
OG0000093	XP_039761603.1	DPOGS202426-PA, DPOGS203872-PA
OG0000093	XP_039761633.1, XP_039761632.1	DPOGS202424-PA
OG0000094	XP_039746862.1, XP_039764606.1, XP_039764616.1, XP_039764598.1	DPOGS213975-PA
OG0000095	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1	DPOGS204282-PA
OG0000096	XP_039751227.1	DPOGS212592-PA
OG0000096	XP_039751260.1	DPOGS212590-PA
OG0000096	XP_039751463.1	DPOGS212591-PA
OG0000097	XP_039757158.1	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	XP_039754908.1, XP_039754998.1, XP_039758854.1	DPOGS209226-PA, DPOGS209225-PA
OG0000100	XP_039756542.1	DPOGS215475-PA
OG0000101	XP_039758595.1	DPOGS200031-PA
OG0000102	XP_039752281.1, XP_039752133.1, XP_039752135.1	DPOGS206942-PA
OG0000103	XP_039751968.1	DPOGS207082-PA
OG0000108	XP_039761887.1	DPOGS212246-PA
OG0000108	XP_039761876.1	DPOGS209435-PA
OG0000109	XP_039754228.1, XP_039754267.1	DPOGS209375-PA
OG0000110	XP_039752795.1	DPOGS212705-PA
OG0000110	XP_039752379.1	DPOGS212706-PA
OG0000110	XP_039752305.1	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1	DPOGS202624-PA
OG0000111	XP_039748821.1	DPOGS215824-PA
OG0000111	XP_039749055.1	DPOGS215826-PA
OG0000112	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA
OG0000113	XP_039755044.1	DPOGS203349-PA, DPOGS203350-PA
OG0000113	XP_039762990.1	DPOGS203348-PA, DPOGS207633-PA, DPOGS205179-PA
OG0000114	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1	DPOGS206960-PA
OG0000115	XP_039747701.1	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	XP_039751528.1, XP_039746102.1	DPOGS201101-PA
OG0000116	XP_039748745.1	DPOGS211429-PA
OG0000116	XP_039761021.1	DPOGS214479-PA
OG0000116	XP_039763856.1	DPOGS203334-PA
OG0000117	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1	DPOGS206945-PA
OG0000118	XP_039761294.1, XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1, XP_039751928.1, XP_039763985.1, XP_039762514.1, XP_039749973.1, XP_039751370.1, XP_039757352.1, XP_039750860.1, XP_039754358.1, XP_039755233.1, XP_039761463.1, XP_039761855.1	DPOGS216140-PA
OG0000119	XP_039754974.1, XP_039755253.1, XP_039755251.1, XP_039755250.1, XP_039755254.1, XP_039755061.1	DPOGS203233-PA
OG0000120	XP_039758940.1	DPOGS202536-PA
OG0000122	XP_039754268.1	DPOGS200373-PA
OG0000122	XP_039745510.1, XP_039761879.1, XP_039760048.1	DPOGS200374-PA
OG0000123	XP_039758681.1	DPOGS204956-PA
OG0000124	XP_039759623.1	DPOGS206009-PA
OG0000124	XP_039748506.1	DPOGS211433-PA
OG0000125	XP_039763048.1	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	XP_039763370.1	DPOGS214825-PA
OG0000127	XP_039753005.1, XP_039755682.1	DPOGS210351-PA
OG0000128	XP_039759402.1	DPOGS210158-PA
OG0000128	XP_039759275.1	DPOGS211778-PA
OG0000128	XP_039759639.1, XP_039759640.1	DPOGS210161-PA
OG0000129	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1	DPOGS210178-PA
OG0000131	XP_039761941.1	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA
OG0000132	XP_039758016.1, XP_039758786.1	DPOGS214570-PA
OG0000133	XP_039761844.1	DPOGS204619-PA, DPOGS215001-PA
OG0000134	XP_039750230.1	DPOGS206558-PA
OG0000134	XP_039748060.1	DPOGS213998-PA
OG0000134	XP_039745994.1	DPOGS206556-PA
OG0000137	XP_039745449.1, XP_039745448.1, XP_039745446.1, XP_039745445.1, XP_039745441.1	DPOGS213158-PA
OG0000138	XP_039764463.1	DPOGS201307-PA, DPOGS201308-PA
OG0000138	XP_039748518.1, XP_039748520.1	DPOGS210044-PA
OG0000139	XP_039758056.1	DPOGS204151-PA
OG0000139	XP_039760019.1	DPOGS211466-PA
OG0000139	XP_039758138.1	DPOGS204150-PA
OG0000140	XP_039761164.1	DPOGS208587-PA
OG0000140	XP_039761163.1	DPOGS215443-PA
OG0000140	XP_039761161.1	DPOGS215439-PA
OG0000141	XP_039755123.1	DPOGS205275-PA
OG0000142	XP_039752000.1	DPOGS210763-PA
OG0000142	XP_039752666.1	DPOGS208850-PA
OG0000143	XP_039752786.1	DPOGS207066-PA
OG0000143	XP_039752311.1, XP_039752179.1	DPOGS207067-PA
OG0000147	XP_039758401.1, XP_039758400.1, XP_039758856.1	DPOGS202135-PA
OG0000148	XP_039747858.1, XP_039757346.1, XP_039758592.1, XP_039748987.1	DPOGS212460-PA
OG0000149	XP_039750557.1, XP_039750556.1	DPOGS211600-PA
OG0000149	XP_039749878.1, XP_039749877.1	DPOGS209815-PA
OG0000150	XP_039764078.1	DPOGS200229-PA
OG0000152	XP_039759912.1	DPOGS203652-PA
OG0000152	XP_039759933.1	DPOGS203849-PA
OG0000152	XP_039759890.1, XP_039759882.1, XP_039759899.1	DPOGS203651-PA
OG0000153	XP_039754384.1	DPOGS200298-PA
OG0000154	XP_039761253.1, XP_039761124.1	DPOGS203730-PA
OG0000155	XP_039760323.1, XP_039760319.1	DPOGS209068-PA
OG0000156	XP_039756715.1	DPOGS201022-PA, DPOGS201021-PA
OG0000160	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1, XP_039747895.1	DPOGS211357-PA
OG0000160	XP_039763350.1	DPOGS205216-PA
OG0000162	XP_039759555.1	DPOGS214379-PA, DPOGS212215-PA
OG0000162	XP_039759460.1	DPOGS213682-PA
OG0000163	XP_039759097.1, XP_039759094.1	DPOGS208397-PA, DPOGS208398-PA
OG0000164	XP_039752137.1	DPOGS207033-PA
OG0000164	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1	DPOGS207032-PA
OG0000165	XP_039746259.1, XP_039745987.1, XP_039745985.1, XP_039746050.1	DPOGS202039-PA
OG0000166	XP_039758552.1	DPOGS204571-PA
OG0000166	XP_039758732.1	DPOGS215383-PA
OG0000167	XP_039754018.1	DPOGS200276-PA
OG0000167	XP_039748188.1	DPOGS212517-PA, DPOGS212471-PA
OG0000168	XP_039749223.1, XP_039749128.1	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA
OG0000169	XP_039759316.1	DPOGS209399-PA
OG0000169	XP_039759608.1	DPOGS209417-PA
OG0000169	XP_039759611.1	DPOGS209416-PA, DPOGS209415-PA
OG0000170	XP_039758630.1, XP_039758628.1, XP_039758629.1, XP_039758631.1	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	XP_039751440.1	DPOGS207651-PA
OG0000171	XP_039751381.1, XP_039751687.1	DPOGS207652-PA
OG0000172	XP_039751931.1	DPOGS207109-PA
OG0000172	XP_039751930.1	DPOGS211762-PA
OG0000174	XP_039752561.1	DPOGS203785-PA
OG0000174	XP_039763737.1	DPOGS201355-PA
OG0000175	XP_039761245.1, XP_039761244.1	DPOGS213653-PA
OG0000175	XP_039747028.1	DPOGS212172-PA
OG0000175	XP_039753289.1	DPOGS201184-PA
OG0000177	XP_039754768.1	DPOGS215539-PA
OG0000178	XP_039761069.1	DPOGS213916-PA
OG0000178	XP_039761230.1, XP_039761229.1, XP_039761231.1	DPOGS202584-PA, DPOGS208620-PA
OG0000179	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1	DPOGS215238-PA, DPOGS215239-PA
OG0000180	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1	DPOGS203313-PA
OG0000180	XP_039763111.1	DPOGS202992-PA
OG0000181	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA
OG0000182	XP_039750778.1, XP_039749177.1	DPOGS210084-PA
OG0000183	XP_039759299.1	DPOGS211358-PA
OG0000183	XP_039751981.1	DPOGS210612-PA
OG0000183	XP_039746207.1	DPOGS202050-PA
OG0000184	XP_039748948.1	DPOGS210000-PA
OG0000184	XP_039750636.1	DPOGS210945-PA
OG0000184	XP_039750819.1	DPOGS211022-PA
OG0000185	XP_039756858.1	DPOGS207886-PA
OG0000185	XP_039757372.1	DPOGS207876-PA
OG0000186	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1	DPOGS200588-PA
OG0000187	XP_039752400.1	DPOGS203099-PA
OG0000187	XP_039752710.1, XP_039752711.1, XP_039752506.1, XP_039752505.1	DPOGS203100-PA, DPOGS203101-PA
OG0000187	XP_039761993.1	DPOGS205242-PA
OG0000189	XP_039755832.1	DPOGS204875-PA
OG0000189	XP_039755689.1	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	XP_039750365.1, XP_039750783.1, XP_039750360.1	DPOGS210733-PA
OG0000191	XP_039763811.1, XP_039763810.1, XP_039763808.1, XP_039763809.1, XP_039764334.1, XP_039764296.1, XP_039764245.1, XP_039764242.1, XP_039764256.1, XP_039764257.1, XP_039764124.1, XP_039763561.1, XP_039763564.1, XP_039763563.1, XP_039763558.1, XP_039763560.1, XP_039763559.1	DPOGS203394-PA, DPOGS212004-PA
OG0000192	XP_039762427.1, XP_039761859.1, XP_039752391.1, XP_039756049.1, XP_039760184.1, XP_039765284.1, XP_039750786.1, XP_039763073.1, XP_039748736.1, XP_039752769.1, XP_039763081.1, XP_039759378.1, XP_039764366.1, XP_039746203.1, XP_039754804.1, XP_039757962.1, XP_039757593.1, XP_039758946.1, XP_039764367.1, XP_039749812.1, XP_039764621.1, XP_039763708.1, XP_039763334.1, XP_039761359.1, XP_039746059.1, XP_039753463.1, XP_039764377.1	DPOGS211425-PA
OG0000193	XP_039750301.1	DPOGS208229-PA
OG0000193	XP_039750477.1, XP_039750255.1	DPOGS211597-PA
OG0000194	XP_039755804.1, XP_039751698.1	DPOGS208929-PA
OG0000196	XP_039755851.1, XP_039755833.1, XP_039755840.1	DPOGS215622-PA
OG0000197	XP_039758390.1, XP_039758399.1	DPOGS215734-PA
OG0000197	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1	DPOGS204239-PA
OG0000198	XP_039746651.1	DPOGS212099-PA
OG0000198	XP_039746649.1	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA
OG0000200	XP_039754239.1	DPOGS209916-PA
OG0000201	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1	DPOGS204865-PA, DPOGS204864-PA
OG0000202	XP_039749100.1, XP_039749101.1	DPOGS211423-PA
OG0000203	XP_039754507.1, XP_039754512.1	DPOGS210787-PA
OG0000203	XP_039751061.1, XP_039751060.1	DPOGS200479-PA
OG0000205	XP_039755134.1, XP_039751548.1, XP_039751547.1, XP_039751546.1, XP_039751549.1	DPOGS209148-PA, DPOGS209147-PA
OG0000206	XP_039762982.1	DPOGS205019-PA
OG0000207	XP_039754537.1, XP_039755305.1	DPOGS207952-PA, DPOGS207950-PA
OG0000208	XP_039764458.1, XP_039764457.1, XP_039764459.1, XP_039764456.1	DPOGS210915-PA
OG0000208	XP_039765207.1	DPOGS210914-PA, DPOGS210912-PA
OG0000209	XP_039748142.1	DPOGS214010-PA
OG0000209	XP_039755641.1	DPOGS204840-PA
OG0000210	XP_039751647.1	DPOGS208562-PA
OG0000210	XP_039751596.1	DPOGS208561-PA
OG0000212	XP_039749220.1	DPOGS207988-PA
OG0000212	XP_039749221.1	DPOGS207989-PA
OG0000212	XP_039748939.1	DPOGS207987-PA
OG0000213	XP_039765385.1	DPOGS208066-PA
OG0000213	XP_039745503.1	DPOGS208084-PA
OG0000213	XP_039765673.1	DPOGS208065-PA
OG0000214	XP_039751434.1	DPOGS214058-PA
OG0000215	XP_039747785.1	DPOGS211555-PA
OG0000215	XP_039762291.1	DPOGS211556-PA
OG0000216	XP_039748667.1, XP_039748668.1, XP_039748677.1	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	XP_039757677.1, XP_039757167.1, XP_039755434.1, XP_039756614.1	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	XP_039746708.1, XP_039747114.1, XP_039747112.1	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	XP_039751011.1	DPOGS207542-PA
OG0000219	XP_039754561.1	DPOGS200327-PA
OG0000219	XP_039754481.1	DPOGS200328-PA
OG0000220	XP_039748629.1	DPOGS211390-PA
OG0000220	XP_039748829.1	DPOGS205839-PA, DPOGS205840-PA
OG0000221	XP_039749261.1	DPOGS205842-PA
OG0000222	XP_039762960.1, XP_039762818.1	DPOGS205017-PA
OG0000225	XP_039759543.1, XP_039760433.1	DPOGS214884-PA
OG0000227	XP_039750188.1, XP_039750808.1, XP_039750976.1, XP_039750809.1, XP_039749892.1, XP_039749895.1, XP_039749894.1, XP_039749893.1	DPOGS209796-PA
OG0000228	XP_039747947.1, XP_039750491.1	DPOGS212515-PA
OG0000228	XP_039765282.1	DPOGS207206-PA
OG0000229	XP_039757462.1	DPOGS214632-PA
OG0000229	XP_039754103.1	DPOGS215746-PA
OG0000230	XP_039749718.1	DPOGS209009-PA, DPOGS209016-PA
OG0000230	XP_039749771.1, XP_039762072.1	DPOGS211996-PA
OG0000231	XP_039752292.1, XP_039756610.1	DPOGS208443-PA
OG0000232	XP_039751274.1	DPOGS207028-PA
OG0000233	XP_039748541.1, XP_039748540.1	DPOGS215920-PA
OG0000233	XP_039748975.1, XP_039748978.1, XP_039748977.1, XP_039748976.1, XP_039748974.1	DPOGS215875-PA
OG0000234	XP_039747573.1	DPOGS212240-PA
OG0000234	XP_039747922.1	DPOGS201732-PA
OG0000235	XP_039746284.1	DPOGS211850-PA
OG0000235	XP_039745957.1, XP_039745958.1, XP_039745960.1, XP_039745961.1, XP_039745959.1	DPOGS211974-PA
OG0000236	XP_039755818.1	DPOGS207247-PA
OG0000236	XP_039755425.1	DPOGS207308-PA
OG0000237	XP_039758531.1	DPOGS201064-PA
OG0000237	XP_039758665.1	DPOGS201065-PA
OG0000237	XP_039758521.1	DPOGS201066-PA
OG0000238	XP_039746535.1, XP_039746539.1, XP_039746536.1, XP_039746537.1, XP_039746533.1, XP_039746538.1	DPOGS200166-PA
OG0000238	XP_039751254.1	DPOGS200498-PA
OG0000239	XP_039754388.1	DPOGS200316-PA
OG0000239	XP_039754293.1, XP_039754294.1	DPOGS200315-PA, DPOGS200313-PA
OG0000244	XP_039761869.1	DPOGS205816-PA
OG0000245	XP_039763825.1, XP_039763064.1, XP_039763052.1	DPOGS211482-PA
OG0000246	XP_039755213.1	DPOGS212261-PA
OG0000247	XP_039760335.1	DPOGS204977-PA
OG0000247	XP_039759920.1	DPOGS204997-PA
OG0000248	XP_039752703.1, XP_039752702.1	DPOGS208848-PA, DPOGS208849-PA
OG0000248	XP_039752413.1	DPOGS210769-PA
OG0000249	XP_039747911.1, XP_039747907.1, XP_039747908.1	DPOGS204790-PA
OG0000250	XP_039751754.1, XP_039751756.1, XP_039751752.1, XP_039751753.1	DPOGS206089-PA
OG0000250	XP_039751755.1, XP_039752482.1	DPOGS206088-PA
OG0000252	XP_039751352.1, XP_039751410.1, XP_039751349.1, XP_039751348.1	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA
