Orthogroup	Heliconius_erato_lativitta	Maniola_hyperantus
OG0000013	HEL_002158-RA	XP_034833645.1, XP_034830827.1, XP_034839862.1, XP_034839913.1, XP_034830013.1, XP_034837462.1, XP_034836352.1, XP_034827825.1, XP_034832179.1, XP_034830886.1, XP_034839631.1, XP_034839971.1, XP_034839970.1, XP_034826453.1, XP_034828817.1, XP_034824838.1, XP_034838422.1, XP_034834912.1, XP_034830001.1, XP_034830006.1, XP_034836235.1, XP_034837780.1, XP_034828792.1
OG0000016	HEL_001996-RA	XP_034830832.1, XP_034830833.1, XP_034824784.1, XP_034827101.1, XP_034839614.1, XP_034833082.1, XP_034826642.1, XP_034840389.1, XP_034838757.1, XP_034833041.1
OG0000018	HEL_002556-RA	XP_034836233.1, XP_034839247.1
OG0000018	HEL_002558-RA, HEL_002871-RA	XP_034833257.1
OG0000022	HEL_013117-RA	XP_034840993.1
OG0000022	HEL_012949-RA	XP_034824108.1
OG0000022	HEL_003384-RA	XP_034826464.1
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	XP_034826667.1
OG0000024	HEL_003522-RA	XP_034831723.1
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1
OG0000025	HEL_011319-RA	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1
OG0000028	HEL_011818-RA, HEL_011811-RA	XP_034826918.1, XP_034826917.1, XP_034834764.1, XP_034834919.1, XP_034834728.1, XP_034834729.1, XP_034834730.1, XP_034834731.1, XP_034830316.1, XP_034828236.1
OG0000029	HEL_001272-RA	XP_034841164.1
OG0000031	HEL_012127-RA	XP_034832420.1
OG0000032	HEL_003341-RA	XP_034832603.1, XP_034839638.1
OG0000034	HEL_004511-RA, HEL_004512-RA	XP_034825411.1
OG0000034	HEL_004513-RA	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	HEL_003973-RA	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	HEL_003968-RA	XP_034825435.1
OG0000036	HEL_008947-RA, HEL_010219-RA	XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1
OG0000038	HEL_003342-RA	XP_034826459.1
OG0000038	HEL_003339-RA	XP_034826460.1
OG0000038	HEL_003344-RA, HEL_003333-RA	XP_034826458.1, XP_034826457.1
OG0000039	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1, XP_034827798.1
OG0000039	HEL_006829-RA	XP_034827544.1
OG0000041	HEL_014103-RA	XP_034835173.1
OG0000041	HEL_008450-RA	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1
OG0000041	HEL_014422-RA	XP_034826598.1, XP_034826593.1, XP_034826600.1
OG0000045	HEL_012373-RA	XP_034828902.1
OG0000045	HEL_010335-RA	XP_034830124.1
OG0000045	HEL_005377-RA	XP_034837040.1
OG0000046	HEL_005348-RA	XP_034829217.1, XP_034829227.1
OG0000047	HEL_009610-RA	XP_034832109.1, XP_034833557.1, XP_034839860.1, XP_034833612.1, XP_034833012.1, XP_034839910.1, XP_034840761.1, XP_034833610.1, XP_034836199.1, XP_034827777.1, XP_034840350.1, XP_034824778.1, XP_034839645.1, XP_034826550.1, XP_034833626.1, XP_034838846.1, XP_034840396.1, XP_034834203.1, XP_034840351.1, XP_034827765.1, XP_034834211.1, XP_034828875.1, XP_034831595.1, XP_034824162.1, XP_034824780.1, XP_034831554.1, XP_034827957.1, XP_034840721.1, XP_034839416.1, XP_034838794.1, XP_034840397.1, XP_034827766.1, XP_034834204.1, XP_034833613.1, XP_034836225.1, XP_034833011.1
OG0000049	HEL_008049-RA	XP_034826808.1
OG0000049	HEL_008034-RA, HEL_008036-RA, HEL_008037-RA	XP_034827036.1
OG0000050	HEL_012554-RA	XP_034834926.1
OG0000050	HEL_012564-RA	XP_034834928.1, XP_034834932.1, XP_034834931.1, XP_034834930.1, XP_034834929.1, XP_034834927.1
OG0000053	HEL_006720-RA	XP_034836873.1
OG0000053	HEL_006724-RA	XP_034836855.1, XP_034836849.1
OG0000053	HEL_006722-RA	XP_034836907.1
OG0000053	HEL_006725-RA	XP_034836863.1
OG0000054	HEL_003473-RA	XP_034831832.1
OG0000054	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA	XP_034832273.1
OG0000054	HEL_003471-RA	XP_034832263.1, XP_034832264.1
OG0000054	HEL_003470-RA	XP_034826915.1, XP_034832271.1
OG0000056	HEL_013494-RA	XP_034837121.1
OG0000057	HEL_008127-RA, HEL_008126-RA	XP_034835052.1
OG0000057	HEL_007566-RA	XP_034824341.1, XP_034824712.1
OG0000060	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA	XP_034833409.1, XP_034833592.1
OG0000061	HEL_014348-RA, HEL_014349-RA, HEL_010277-RA	XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1
OG0000062	HEL_000202-RA	XP_034824319.1
OG0000063	HEL_006297-RA	XP_034826742.1
OG0000063	HEL_011544-RA	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1
OG0000064	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA	XP_034831574.1
OG0000066	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA	XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	HEL_006896-RA	XP_034826553.1, XP_034825998.1
OG0000068	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA	XP_034826565.1, XP_034826563.1
OG0000069	HEL_013144-RA	XP_034827503.1
OG0000070	HEL_009336-RA, HEL_013576-RA, HEL_013574-RA, HEL_013575-RA, HEL_005006-RA, HEL_013212-RA, HEL_007197-RA, HEL_007198-RA, HEL_001815-RA, HEL_010209-RA, HEL_005855-RA, HEL_002271-RA, HEL_012876-RA, HEL_010210-RA, HEL_010860-RA, HEL_014588-RA, HEL_006998-RA, HEL_008874-RA, HEL_003773-RA, HEL_003774-RA, HEL_014604-RA, HEL_011249-RA, HEL_000997-RA, HEL_005856-RA, HEL_014589-RA, HEL_014587-RA, HEL_002270-RA, HEL_008600-RA, HEL_006997-RA, HEL_012877-RA, HEL_013600-RA, HEL_012768-RA, HEL_007217-RA, HEL_011898-RA, HEL_006343-RA, HEL_000998-RA, HEL_002125-RA, HEL_005004-RA, HEL_014354-RA, HEL_005005-RA, HEL_004763-RA	XP_034835112.1, XP_034825036.1
OG0000071	HEL_009006-RA	XP_034832601.1
OG0000073	HEL_007878-RA	XP_034827345.1
OG0000073	HEL_008003-RA	XP_034827002.1
OG0000073	HEL_007997-RA, HEL_007992-RA	XP_034827001.1
OG0000075	HEL_014328-RA, HEL_014331-RA	XP_034830498.1
OG0000075	HEL_014345-RA, HEL_014343-RA	XP_034830943.1
OG0000075	HEL_007561-RA	XP_034830541.1
OG0000076	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA	XP_034828827.1, XP_034838412.1, XP_034838763.1
OG0000076	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA	XP_034838983.1
OG0000077	HEL_013280-RA	XP_034824753.1
OG0000077	HEL_013282-RA	XP_034824776.1
OG0000078	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	XP_034827858.1, XP_034833688.1
OG0000079	HEL_010373-RA, HEL_010374-RA	XP_034830103.1, XP_034830100.1, XP_034830101.1
OG0000082	HEL_005977-RA	XP_034837737.1
OG0000082	HEL_002182-RA	XP_034837708.1
OG0000083	HEL_011900-RA	XP_034837077.1
OG0000083	HEL_011897-RA, HEL_011899-RA	XP_034837435.1, XP_034837073.1, XP_034837074.1
OG0000084	HEL_010679-RA	XP_034829605.1
OG0000085	HEL_005305-RA, HEL_005304-RA	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1
OG0000088	HEL_013016-RA	XP_034838855.1
OG0000088	HEL_014145-RA, HEL_012840-RA	XP_034826751.1
OG0000090	HEL_007626-RA	XP_034824729.1
OG0000093	HEL_005969-RA	XP_034837580.1
OG0000093	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA	XP_034837597.1
OG0000093	HEL_005972-RA	XP_034837561.1
OG0000094	HEL_006926-RA	XP_034826064.1, XP_034826549.1
OG0000094	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA	XP_034826299.1, XP_034826552.1
OG0000095	HEL_001292-RA	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA	XP_034826970.1, XP_034826971.1
OG0000096	HEL_010165-RA	XP_034826805.1
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	XP_034832726.1
OG0000098	HEL_005540-RA	XP_034828987.1
OG0000100	HEL_005774-RA	XP_034834955.1
OG0000100	HEL_005776-RA	XP_034834638.1
OG0000101	HEL_010134-RA, HEL_010133-RA	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000101	HEL_010135-RA	XP_034833573.1
OG0000102	HEL_013146-RA, HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA	XP_034827509.1
OG0000102	HEL_013147-RA	XP_034827511.1, XP_034827504.1
OG0000103	HEL_008320-RA	XP_034827721.1
OG0000109	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA	XP_034830617.1
OG0000110	HEL_014554-RA	XP_034828312.1
OG0000110	HEL_014551-RA	XP_034828311.1
OG0000111	HEL_004223-RA	XP_034828844.1
OG0000111	HEL_000126-RA	XP_034824425.1
OG0000111	HEL_000128-RA	XP_034824419.1
OG0000113	HEL_011798-RA, HEL_011796-RA	XP_034838911.1
OG0000113	HEL_011795-RA, HEL_011797-RA	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	HEL_014390-RA	XP_034827802.1, XP_034827577.1
OG0000115	HEL_004784-RA	XP_034825883.1
OG0000115	HEL_006264-RA	XP_034827053.1
OG0000115	HEL_004779-RA	XP_034825882.1
OG0000116	HEL_000181-RA	XP_034824340.1
OG0000116	HEL_010345-RA	XP_034830236.1
OG0000116	HEL_010451-RA	XP_034839409.1
OG0000117	HEL_013392-RA	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	HEL_013393-RA	XP_034828156.1, XP_034828155.1
OG0000124	HEL_012796-RA	XP_034835580.1
OG0000124	HEL_012799-RA	XP_034835582.1
OG0000124	HEL_000153-RA	XP_034824366.1
OG0000125	HEL_008471-RA	XP_034825845.1, XP_034826126.1, XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1
OG0000125	HEL_008470-RA	XP_034825844.1, XP_034825846.1
OG0000128	HEL_014291-RA	XP_034835222.1
OG0000128	HEL_014057-RA	XP_034835626.1, XP_034835625.1
OG0000128	HEL_014054-RA	XP_034835270.1
OG0000129	HEL_003340-RA	XP_034826462.1, XP_034826356.1
OG0000131	HEL_004142-RA	XP_034837858.1, XP_034838212.1
OG0000132	HEL_013799-RA, HEL_013798-RA	XP_034834241.1, XP_034833542.1
OG0000133	HEL_004130-RA	XP_034838137.1
OG0000134	HEL_006876-RA	XP_034825942.1
OG0000134	HEL_006825-RA	XP_034826234.1
OG0000134	HEL_006873-RA, HEL_006826-RA	XP_034825941.1
OG0000137	HEL_001689-RA, HEL_001690-RA	XP_034840849.1
OG0000138	HEL_002292-RA	XP_034840957.1, XP_034840968.1
OG0000138	HEL_007640-RA	XP_034824894.1
OG0000139	HEL_003606-RA	XP_034833832.1
OG0000139	HEL_003604-RA	XP_034833962.1
OG0000141	HEL_010839-RA, HEL_010838-RA	XP_034829113.1, XP_034829114.1
OG0000143	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA	XP_034827819.1
OG0000143	HEL_009924-RA	XP_034827875.1, XP_034827552.1
OG0000144	HEL_011567-RA	XP_034833620.1, XP_034833621.1, XP_034833240.1
OG0000144	HEL_011569-RA, HEL_011568-RA	XP_034833202.1
OG0000145	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	XP_034830807.1, XP_034830804.1, XP_034830805.1, XP_034830806.1
OG0000147	HEL_007353-RA	XP_034833225.1, XP_034833224.1
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	XP_034833227.1, XP_034830230.1
OG0000149	HEL_004261-RA, HEL_004262-RA	XP_034828465.1
OG0000149	HEL_006023-RA	XP_034829851.1
OG0000149	HEL_010670-RA	XP_034829950.1
OG0000152	HEL_002887-RA	XP_034833337.1
OG0000152	HEL_002885-RA	XP_034833675.1
OG0000154	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	XP_034836981.1
OG0000155	HEL_012316-RA	XP_034836186.1
OG0000156	HEL_013567-RA, HEL_013569-RA	XP_034835010.1
OG0000162	HEL_008231-RA	XP_034835629.1, XP_034835505.1
OG0000162	HEL_008230-RA	XP_034835633.1
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA	XP_034835691.1, XP_034835688.1
OG0000164	HEL_013352-RA	XP_034837112.1, XP_034827829.1
OG0000166	HEL_009754-RA	XP_034833378.1
OG0000166	HEL_007219-RA, HEL_007218-RA	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	HEL_011445-RA	XP_034837879.1, XP_034838019.1, XP_034830390.1
OG0000167	HEL_000604-RA	XP_034838582.1
OG0000168	HEL_010944-RA, HEL_010943-RA	XP_034824806.1
OG0000169	HEL_012759-RA	XP_034835310.1
OG0000169	HEL_014571-RA	XP_034835217.1
OG0000169	HEL_012764-RA	XP_034835563.1
OG0000170	HEL_012926-RA	XP_034833424.1, XP_034833639.1
OG0000170	HEL_012927-RA	XP_034833640.1, XP_034833641.1
OG0000171	HEL_006254-RA, HEL_006253-RA	XP_034827023.1
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	XP_034827103.1
OG0000172	HEL_008361-RA, HEL_008362-RA	XP_034827882.1, XP_034827883.1
OG0000174	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA, HEL_002710-RA	XP_034837309.1
OG0000174	HEL_007174-RA	XP_034839773.1
OG0000175	HEL_005422-RA	XP_034837022.1, XP_034837023.1
OG0000175	HEL_009048-RA	XP_034840446.1
OG0000175	HEL_003484-RA	XP_034832261.1
OG0000178	HEL_005387-RA	XP_034836827.1
OG0000178	HEL_004641-RA	XP_034836823.1
OG0000180	HEL_007079-RA, HEL_007078-RA	XP_034832218.1
OG0000181	HEL_008902-RA	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000183	HEL_012769-RA	XP_034835115.1
OG0000183	HEL_003942-RA	XP_034825260.1
OG0000184	HEL_004299-RA	XP_034828820.1
OG0000184	HEL_004298-RA	XP_034828761.1
OG0000185	HEL_011155-RA	XP_034832652.1
OG0000185	HEL_011156-RA	XP_034832653.1
OG0000185	HEL_011157-RA	XP_034832651.1
OG0000186	HEL_006287-RA, HEL_013685-RA	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	HEL_010066-RA	XP_034827454.1
OG0000187	HEL_010067-RA	XP_034827784.1, XP_034827465.1
OG0000190	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA	XP_034828878.1, XP_034828877.1
OG0000191	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA	XP_034839817.1
OG0000193	HEL_011020-RA, HEL_011022-RA	XP_034828385.1
OG0000193	HEL_011021-RA, HEL_004214-RA	XP_034828838.1
OG0000196	HEL_002689-RA	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	HEL_002519-RA	XP_034835441.1, XP_034835445.1
OG0000197	HEL_001340-RA	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	HEL_009068-RA	XP_034840531.1, XP_034840532.1
OG0000198	HEL_009067-RA	XP_034839995.1
OG0000200	HEL_007527-RA	XP_034830828.1
OG0000201	HEL_001000-RA, HEL_001001-RA	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000202	HEL_000098-RA	XP_034824228.1, XP_034824229.1
OG0000203	HEL_006322-RA	XP_034827127.1, XP_034827128.1
OG0000205	HEL_005648-RA	XP_034826972.1, XP_034826958.1, XP_034826957.1
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	XP_034838830.1, XP_034839065.1
OG0000209	HEL_000443-RA	XP_034836601.1
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	XP_034831212.1
OG0000209	HEL_001020-RA	XP_034827751.1
OG0000210	HEL_007935-RA	XP_034827269.1, XP_034827331.1
OG0000210	HEL_007938-RA	XP_034827268.1
OG0000212	HEL_010933-RA	XP_034824811.1
OG0000212	HEL_010932-RA	XP_034824810.1
OG0000212	HEL_010931-RA	XP_034824322.1
OG0000213	HEL_001448-RA	XP_034841107.1
OG0000213	HEL_001453-RA	XP_034841109.1
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	XP_034827179.1
OG0000215	HEL_008533-RA	XP_034826616.1, XP_034826619.1, XP_034826617.1
OG0000215	HEL_004541-RA	XP_034825574.1
OG0000215	HEL_011523-RA	XP_034826618.1
OG0000216	HEL_000005-RA	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1
OG0000217	HEL_006811-RA	XP_034831715.1
OG0000217	HEL_006812-RA	XP_034833550.1
OG0000218	HEL_011596-RA	XP_034840404.1, XP_034840405.1
OG0000219	HEL_008433-RA	XP_034826674.1
OG0000219	HEL_011520-RA	XP_034830712.1, XP_034830713.1
OG0000220	HEL_000160-RA, HEL_000180-RA	XP_034824239.1, XP_034832563.1, XP_034832460.1, XP_034824238.1
OG0000221	HEL_000182-RA	XP_034824881.1, XP_034824880.1
OG0000221	HEL_000184-RA	XP_034824251.1, XP_034824882.1, XP_034837734.1
OG0000222	HEL_013041-RA, HEL_013040-RA	XP_034838832.1
OG0000224	HEL_011057-RA, HEL_011056-RA, HEL_011061-RA, HEL_011062-RA	XP_034828537.1
OG0000227	HEL_013037-RA, HEL_013030-RA	XP_034828836.1
OG0000229	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA	XP_034834094.1
OG0000229	HEL_002543-RA	XP_034832472.1
OG0000230	HEL_007833-RA	XP_034830126.1
OG0000230	HEL_014523-RA	XP_034838272.1
OG0000231	HEL_013550-RA	XP_034827932.1, XP_034827787.1
OG0000231	HEL_013546-RA, HEL_013547-RA, HEL_013545-RA	XP_034827788.1
OG0000232	HEL_007965-RA	XP_034827131.1
OG0000233	HEL_013315-RA	XP_034824533.1, XP_034824532.1, XP_034824539.1, XP_034824540.1, XP_034824538.1, XP_034824537.1
OG0000234	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA	XP_034838523.1
OG0000235	HEL_008763-RA	XP_034825165.1
OG0000235	HEL_008762-RA	XP_034825698.1, XP_034825699.1, XP_034825700.1
OG0000236	HEL_001074-RA	XP_034831322.1
OG0000236	HEL_001070-RA	XP_034831587.1, XP_034831148.1
OG0000237	HEL_012911-RA	XP_034833180.1
OG0000237	HEL_012907-RA	XP_034833635.1
OG0000237	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA	XP_034833124.1
OG0000238	HEL_011638-RA	XP_034840526.1, XP_034840527.1
OG0000238	HEL_006325-RA	XP_034826156.1, XP_034826684.1
OG0000239	HEL_013433-RA	XP_034830631.1
OG0000239	HEL_013434-RA	XP_034830633.1, XP_034830635.1, XP_034830636.1, XP_034830634.1
OG0000246	HEL_005502-RA	XP_034829444.1
OG0000247	HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA	XP_034836052.1
OG0000248	HEL_013916-RA	XP_034827678.1
OG0000248	HEL_013902-RA	XP_034828141.1
OG0000249	HEL_000469-RA, HEL_000470-RA	XP_034836346.1, XP_034836347.1
OG0000252	HEL_007886-RA, HEL_007887-RA	XP_034827066.1
OG0000254	HEL_011400-RA	XP_034838643.1
OG0000255	HEL_002401-RA	XP_034826982.1, XP_034826991.1
OG0000256	HEL_009147-RA, HEL_010502-RA	XP_034836323.1, XP_034836283.1, XP_034841123.1
OG0000257	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA	XP_034829640.1
OG0000257	HEL_008254-RA, HEL_008272-RA	XP_034828074.1
OG0000258	HEL_000386-RA	XP_034836671.1
OG0000260	HEL_000638-RA	XP_034838428.1
OG0000260	HEL_000627-RA	XP_034838425.1
OG0000262	HEL_003824-RA, HEL_003830-RA, HEL_003829-RA	XP_034833708.1
OG0000262	HEL_003831-RA	XP_034834186.1
OG0000263	HEL_004884-RA	XP_034838033.1, XP_034838344.1, XP_034838028.1, XP_034838020.1, XP_034838030.1, XP_034838343.1, XP_034838031.1, XP_034838032.1
OG0000264	HEL_000152-RA	XP_034824607.1
OG0000264	HEL_000145-RA	XP_034824374.1, XP_034824373.1, XP_034824372.1
OG0000271	HEL_002185-RA	XP_034837709.1, XP_034837711.1, XP_034837710.1
OG0000272	HEL_003415-RA	XP_034825898.1, XP_034825899.1
OG0000273	HEL_004292-RA	XP_034828712.1, XP_034840815.1
OG0000273	HEL_011028-RA	XP_034828390.1, XP_034828389.1
OG0000274	HEL_008935-RA	XP_034832667.1
OG0000276	HEL_001740-RA	XP_034823994.1, XP_034823993.1
OG0000278	HEL_008176-RA	XP_034841195.1
OG0000279	HEL_011096-RA	XP_034829408.1
OG0000280	HEL_005821-RA, HEL_005819-RA	XP_034834581.1, XP_034834582.1, XP_034834964.1
OG0000281	HEL_009096-RA	XP_034840575.1, XP_034840576.1
OG0000281	HEL_005808-RA	XP_034832173.1, XP_034834590.1
OG0000283	HEL_013294-RA	XP_034824564.1
OG0000283	HEL_013295-RA	XP_034824578.1, XP_034824572.1
OG0000284	HEL_001551-RA, HEL_001550-RA	XP_034841364.1
OG0000284	HEL_001552-RA	XP_034824088.1
OG0000285	HEL_004245-RA	XP_034828604.1
OG0000285	HEL_004247-RA	XP_034828625.1
OG0000286	HEL_007502-RA, HEL_007508-RA, HEL_007503-RA	XP_034830685.1
OG0000286	HEL_007501-RA, HEL_007507-RA, HEL_007504-RA, HEL_007506-RA	XP_034830592.1
OG0000287	HEL_008585-RA	XP_034832840.1, XP_034832839.1
OG0000287	HEL_013729-RA	XP_034832744.1
OG0000289	HEL_007429-RA	XP_034830280.1
OG0000290	HEL_000067-RA	XP_034824500.1
OG0000291	HEL_013432-RA	XP_034830622.1, XP_034830620.1, XP_034830621.1, XP_034830625.1, XP_034830623.1, XP_034830624.1
OG0000292	HEL_007249-RA	XP_034833341.1
OG0000293	HEL_012051-RA	XP_034834414.1
OG0000293	HEL_012053-RA	XP_034834801.1
OG0000293	HEL_011068-RA	XP_034828581.1
OG0000294	HEL_010685-RA	XP_034829744.1, XP_034829745.1
OG0000294	HEL_010684-RA	XP_034829641.1
OG0000295	HEL_008506-RA	XP_034826039.1, XP_034826621.1
OG0000295	HEL_008507-RA	XP_034826034.1
OG0000296	HEL_011660-RA, HEL_011661-RA	XP_034839803.1, XP_034839794.1, XP_034839780.1, XP_034839786.1
OG0000300	HEL_010524-RA	XP_034837924.1, XP_034839257.1, XP_034840172.1, XP_034830914.1, XP_034828081.1, XP_034838262.1
OG0000303	HEL_000690-RA	XP_034831209.1
OG0000304	HEL_010171-RA	XP_034826811.1
OG0000305	HEL_001926-RA	XP_034836223.1
OG0000305	HEL_001925-RA	XP_034836062.1
