Orthogroup	Heliconius_erato_lativitta	Vanessa_tameamea
OG0000022	HEL_013117-RA	XP_026484827.1
OG0000022	HEL_012949-RA	XP_026484818.1
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	XP_026496869.1
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	XP_026490610.1
OG0000025	HEL_011319-RA	XP_026490616.1
OG0000028	HEL_011818-RA, HEL_011811-RA	XP_026495729.1, XP_026495795.1
OG0000029	HEL_001272-RA	XP_026485191.1, XP_026485189.1
OG0000031	HEL_012127-RA	XP_026499704.1, XP_026499703.1
OG0000032	HEL_003341-RA	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1
OG0000034	HEL_004513-RA	XP_026491689.1
OG0000034	HEL_003973-RA	XP_026491224.1
OG0000034	HEL_003968-RA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000035	HEL_014143-RA	XP_026492510.1
OG0000036	HEL_008947-RA, HEL_010219-RA	XP_026488619.1, XP_026499962.1
OG0000038	HEL_003342-RA	XP_026490184.1
OG0000038	HEL_003339-RA	XP_026490183.1
OG0000039	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA	XP_026488878.1, XP_026488879.1
OG0000039	HEL_006830-RA	XP_026488881.1
OG0000041	HEL_014103-RA	XP_026490916.1
OG0000041	HEL_008450-RA	XP_026491898.1, XP_026483601.1
OG0000041	HEL_014421-RA	XP_026497753.1, XP_026497752.1
OG0000041	HEL_014422-RA	XP_026497785.1, XP_026497751.1
OG0000045	HEL_012373-RA	XP_026485346.1
OG0000045	HEL_010335-RA	XP_026489199.1
OG0000045	HEL_013537-RA, HEL_013538-RA	XP_026488897.1
OG0000045	HEL_005377-RA	XP_026493800.1, XP_026493802.1
OG0000046	HEL_005344-RA, HEL_005346-RA, HEL_005347-RA, HEL_005345-RA	XP_026496282.1
OG0000049	HEL_008049-RA	XP_026484586.1
OG0000049	HEL_008034-RA	XP_026491363.1
OG0000050	HEL_012554-RA	XP_026501017.1
OG0000050	HEL_012564-RA	XP_026500975.1, XP_026500978.1, XP_026500979.1
OG0000052	HEL_000724-RA	XP_026487271.1
OG0000053	HEL_006720-RA	XP_026497094.1
OG0000053	HEL_006724-RA	XP_026497148.1, XP_026497147.1
OG0000053	HEL_006722-RA	XP_026497076.1, XP_026497075.1
OG0000053	HEL_006725-RA	XP_026497149.1
OG0000054	HEL_003473-RA	XP_026492237.1
OG0000055	HEL_011387-RA	XP_026491734.1
OG0000056	HEL_013494-RA	XP_026498825.1
OG0000057	HEL_008127-RA, HEL_008126-RA	XP_026496531.1
OG0000057	HEL_008125-RA	XP_026496524.1
OG0000057	HEL_007566-RA	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000061	HEL_014352-RA	XP_026488092.1
OG0000061	HEL_010281-RA	XP_026488110.1
OG0000062	HEL_000202-RA	XP_026486062.1
OG0000063	HEL_006297-RA	XP_026483335.1, XP_026483375.1
OG0000063	HEL_011544-RA	XP_026493090.1
OG0000064	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA	XP_026497737.1, XP_026491802.1
OG0000066	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA	XP_026500159.1
OG0000068	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA	XP_026494442.1
OG0000069	HEL_013143-RA, HEL_013144-RA	XP_026489035.1
OG0000071	HEL_009006-RA	XP_026492973.1
OG0000073	HEL_007878-RA	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	HEL_008003-RA	XP_026501251.1, XP_026501242.1
OG0000073	HEL_007997-RA, HEL_007992-RA	XP_026483469.1
OG0000075	HEL_014328-RA, HEL_014331-RA	XP_026487164.1
OG0000075	HEL_014345-RA, HEL_014343-RA	XP_026488107.1
OG0000075	HEL_007561-RA	XP_026488301.1, XP_026488302.1
OG0000076	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA	XP_026490686.1
OG0000077	HEL_013280-RA	XP_026485880.1
OG0000077	HEL_013279-RA	XP_026485938.1
OG0000078	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	XP_026497763.1, XP_026497768.1
OG0000082	HEL_005977-RA	XP_026484136.1
OG0000082	HEL_005961-RA	XP_026484086.1
OG0000082	HEL_002182-RA	XP_026484166.1
OG0000083	HEL_011890-RA, HEL_011891-RA, HEL_011894-RA, HEL_011893-RA, HEL_011900-RA	XP_026498756.1
OG0000083	HEL_011887-RA, HEL_011889-RA, HEL_011895-RA, HEL_011888-RA, HEL_011892-RA, HEL_011897-RA, HEL_011899-RA	XP_026498757.1
OG0000084	HEL_010679-RA	XP_026492846.1
OG0000084	HEL_010678-RA, HEL_010675-RA, HEL_010676-RA	XP_026492749.1
OG0000085	HEL_005305-RA, HEL_005304-RA	XP_026496424.1
OG0000087	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA, HEL_003935-RA, HEL_003930-RA, HEL_003927-RA, HEL_003941-RA, HEL_003938-RA, HEL_003937-RA, HEL_003936-RA	XP_026491033.1
OG0000087	HEL_003932-RA, HEL_003929-RA, HEL_003926-RA	XP_026491504.1
OG0000088	HEL_013016-RA	XP_026483148.1
OG0000088	HEL_014145-RA, HEL_012840-RA	XP_026489494.1
OG0000090	HEL_007626-RA	XP_026490095.1
OG0000093	HEL_005969-RA	XP_026483919.1, XP_026483920.1
OG0000093	HEL_005972-RA	XP_026484027.1, XP_026484028.1
OG0000094	HEL_006926-RA	XP_026488555.1
OG0000094	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA	XP_026492024.1
OG0000095	HEL_001292-RA	XP_026484614.1, XP_026484892.1
OG0000096	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA	XP_026498766.1
OG0000096	HEL_010165-RA	XP_026489765.1, XP_026489764.1
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	XP_026498905.1, XP_026498928.1
OG0000098	HEL_005540-RA	XP_026498603.1
OG0000100	HEL_005774-RA	XP_026495781.1
OG0000100	HEL_005776-RA	XP_026495693.1
OG0000101	HEL_010134-RA, HEL_010133-RA	XP_026493040.1, XP_026493038.1
OG0000102	HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA	XP_026489046.1
OG0000103	HEL_008320-RA	XP_026498404.1, XP_026498400.1, XP_026498403.1
OG0000106	HEL_014493-RA	XP_026485887.1
OG0000109	HEL_012849-RA, HEL_012847-RA	XP_026497974.1
OG0000110	HEL_014554-RA	XP_026488961.1, XP_026488962.1
OG0000110	HEL_014551-RA	XP_026488986.1
OG0000111	HEL_004223-RA	XP_026485541.1
OG0000111	HEL_000126-RA	XP_026485801.1
OG0000111	HEL_000128-RA	XP_026486121.1
OG0000113	HEL_011798-RA, HEL_011796-RA	XP_026498858.1
OG0000113	HEL_011795-RA, HEL_011797-RA	XP_026486407.1
OG0000114	HEL_014390-RA	XP_026488859.1
OG0000114	HEL_009880-RA, HEL_009885-RA	XP_026488856.1
OG0000115	HEL_004784-RA	XP_026494479.1
OG0000115	HEL_006264-RA	XP_026500251.1, XP_026500243.1
OG0000115	HEL_004779-RA	XP_026494478.1
OG0000116	HEL_000181-RA	XP_026486128.1
OG0000116	HEL_010345-RA	XP_026489146.1
OG0000116	HEL_010451-RA	XP_026496653.1
OG0000117	HEL_013392-RA	XP_026488567.1
OG0000117	HEL_013393-RA	XP_026488566.1
OG0000119	HEL_005351-RA, HEL_005350-RA	XP_026496437.1
OG0000124	HEL_012796-RA	XP_026492747.1
OG0000124	HEL_012799-RA	XP_026492758.1
OG0000125	HEL_008471-RA	XP_026491913.1
OG0000125	HEL_008470-RA	XP_026491928.1
OG0000127	HEL_013706-RA	XP_026498360.1, XP_026489582.1
OG0000128	HEL_014291-RA	XP_026494344.1
OG0000128	HEL_014057-RA	XP_026494318.1
OG0000128	HEL_014054-RA	XP_026494332.1
OG0000129	HEL_003330-RA, HEL_003340-RA	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1
OG0000131	HEL_004142-RA	XP_026490706.1, XP_026498617.1, XP_026500527.1, XP_026498661.1, XP_026498628.1, XP_026498673.1, XP_026500529.1, XP_026498692.1, XP_026500531.1, XP_026498717.1, XP_026498731.1, XP_026500532.1, XP_026498651.1, XP_026498640.1
OG0000132	HEL_013799-RA, HEL_013798-RA	XP_026489619.1, XP_026489627.1
OG0000133	HEL_004130-RA	XP_026500939.1
OG0000133	HEL_004133-RA	XP_026500315.1
OG0000134	HEL_006876-RA	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	HEL_006873-RA, HEL_006826-RA	XP_026500779.1
OG0000138	HEL_002292-RA	XP_026488759.1, XP_026488751.1
OG0000139	HEL_003606-RA	XP_026500945.1
OG0000139	HEL_003605-RA	XP_026483306.1
OG0000139	HEL_003604-RA	XP_026489675.1
OG0000141	HEL_010839-RA, HEL_010838-RA	XP_026496357.1, XP_026496430.1
OG0000142	HEL_010082-RA	XP_026485989.1
OG0000143	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA	XP_026488575.1
OG0000143	HEL_009925-RA	XP_026488573.1
OG0000143	HEL_009924-RA	XP_026488574.1
OG0000144	HEL_011567-RA	XP_026493139.1
OG0000144	HEL_011569-RA, HEL_011568-RA	XP_026493387.1
OG0000145	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	XP_026488455.1
OG0000147	HEL_007353-RA	XP_026493246.1, XP_026493247.1
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	XP_026493400.1
OG0000149	HEL_004261-RA, HEL_004262-RA	XP_026485425.1
OG0000149	HEL_006023-RA	XP_026484245.1
OG0000149	HEL_010670-RA	XP_026492839.1
OG0000152	HEL_002884-RA	XP_026493652.1
OG0000152	HEL_002887-RA	XP_026493650.1
OG0000152	HEL_002885-RA	XP_026493647.1
OG0000153	HEL_012803-RA	XP_026486667.1
OG0000154	HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	XP_026493590.1, XP_026493568.1
OG0000155	HEL_012316-RA	XP_026497534.1
OG0000156	HEL_013567-RA, HEL_013569-RA	XP_026497267.1, XP_026496199.1, XP_026499976.1
OG0000160	HEL_012101-RA	XP_026497982.1, XP_026493406.1, XP_026498527.1, XP_026487949.1, XP_026491794.1
OG0000162	HEL_008231-RA	XP_026495426.1, XP_026499500.1
OG0000162	HEL_008230-RA	XP_026499499.1
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA	XP_026494611.1
OG0000164	HEL_013352-RA	XP_026483367.1
OG0000165	HEL_014028-RA	XP_026491239.1
OG0000166	HEL_009754-RA	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000167	HEL_011445-RA	XP_026499495.1, XP_026490816.1
OG0000167	HEL_000604-RA	XP_026483730.1
OG0000169	HEL_012759-RA	XP_026493199.1
OG0000169	HEL_014571-RA	XP_026493187.1
OG0000169	HEL_012764-RA	XP_026493039.1
OG0000171	HEL_006254-RA, HEL_006253-RA	XP_026483589.1
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	XP_026483600.1
OG0000172	HEL_008361-RA, HEL_008362-RA	XP_026487122.1
OG0000174	HEL_002707-RA	XP_026487863.1
OG0000174	HEL_007174-RA	XP_026499849.1
OG0000175	HEL_005422-RA	XP_026492931.1
OG0000175	HEL_009048-RA	XP_026489948.1, XP_026489949.1
OG0000175	HEL_003484-RA	XP_026492115.1
OG0000178	HEL_005387-RA	XP_026501824.1
OG0000178	HEL_004641-RA	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000180	HEL_007077-RA	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1
OG0000180	HEL_007079-RA, HEL_007078-RA	XP_026500685.1
OG0000181	HEL_008902-RA	XP_026487965.1, XP_026487964.1, XP_026487952.1
OG0000182	HEL_012893-RA	XP_026490062.1
OG0000183	HEL_012769-RA	XP_026493134.1, XP_026493142.1
OG0000183	HEL_006620-RA	XP_026500054.1
OG0000183	HEL_003942-RA	XP_026491498.1
OG0000184	HEL_004299-RA	XP_026485414.1
OG0000184	HEL_004298-RA	XP_026485484.1
OG0000185	HEL_011155-RA	XP_026494681.1
OG0000185	HEL_011156-RA, HEL_011157-RA	XP_026494606.1, XP_026494683.1
OG0000186	HEL_006287-RA, HEL_013685-RA	XP_026488639.1
OG0000187	HEL_010066-RA	XP_026483320.1
OG0000187	HEL_010067-RA	XP_026483321.1
OG0000188	HEL_009328-RA	XP_026492468.1
OG0000191	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA	XP_026488824.1, XP_026488828.1
OG0000193	HEL_011020-RA, HEL_011022-RA	XP_026485379.1
OG0000193	HEL_011021-RA, HEL_004214-RA	XP_026485410.1
OG0000196	HEL_002689-RA	XP_026487864.1
OG0000197	HEL_002519-RA	XP_026486620.1, XP_026486619.1
OG0000197	HEL_001340-RA	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	HEL_009068-RA	XP_026494933.1
OG0000198	HEL_009067-RA, HEL_009066-RA	XP_026501551.1
OG0000200	HEL_007531-RA, HEL_007530-RA, HEL_007526-RA, HEL_007527-RA	XP_026488475.1
OG0000201	HEL_001000-RA, HEL_001001-RA	XP_026486827.1, XP_026486826.1
OG0000205	HEL_005648-RA	XP_026496328.1
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	XP_026483159.1
OG0000209	HEL_000443-RA	XP_026490392.1
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	XP_026486988.1
OG0000210	HEL_007935-RA	XP_026501168.1
OG0000210	HEL_007938-RA	XP_026501529.1
OG0000212	HEL_010933-RA	XP_026497545.1
OG0000212	HEL_010932-RA	XP_026485908.1
OG0000212	HEL_010931-RA	XP_026485827.1
OG0000213	HEL_001448-RA	XP_026485069.1
OG0000213	HEL_001453-RA	XP_026485071.1
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	XP_026483703.1, XP_026483711.1
OG0000215	HEL_008533-RA	XP_026491895.1
OG0000215	HEL_004541-RA	XP_026491785.1
OG0000215	HEL_011523-RA	XP_026491875.1
OG0000216	HEL_000005-RA	XP_026485745.1, XP_026485749.1
OG0000217	HEL_006812-RA	XP_026494731.1
OG0000218	HEL_011596-RA	XP_026494855.1
OG0000219	HEL_008433-RA	XP_026500081.1
OG0000220	HEL_000160-RA, HEL_000180-RA	XP_026486150.1, XP_026486313.1
OG0000220	HEL_000185-RA, HEL_000161-RA, HEL_000179-RA, HEL_000178-RA	XP_026486249.1
OG0000221	HEL_000182-RA	XP_026486244.1
OG0000221	HEL_000184-RA	XP_026486245.1, XP_026486247.1, XP_026486248.1
OG0000222	HEL_013041-RA, HEL_013040-RA	XP_026483160.1
OG0000229	HEL_003643-RA, HEL_003645-RA, HEL_003644-RA	XP_026489655.1
OG0000229	HEL_002543-RA	XP_026486610.1
OG0000230	HEL_007833-RA	XP_026496664.1
OG0000230	HEL_014523-RA	XP_026489382.1
OG0000231	HEL_013546-RA, HEL_013547-RA, HEL_013545-RA	XP_026488937.1
OG0000233	HEL_013315-RA	XP_026485758.1, XP_026486210.1, XP_026486211.1, XP_026486209.1
OG0000234	HEL_000576-RA	XP_026483774.1
OG0000234	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA	XP_026483729.1, XP_026489181.1
OG0000235	HEL_008763-RA	XP_026491220.1, XP_026491221.1
OG0000235	HEL_008762-RA	XP_026491492.1, XP_026491491.1
OG0000236	HEL_001074-RA	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	HEL_001070-RA	XP_026486884.1
OG0000237	HEL_012911-RA	XP_026498172.1
OG0000237	HEL_012907-RA	XP_026498184.1
OG0000237	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA	XP_026498191.1
OG0000238	HEL_011638-RA	XP_026501419.1, XP_026501420.1
OG0000238	HEL_006325-RA	XP_026500089.1
OG0000239	HEL_013433-RA	XP_026490889.1
OG0000239	HEL_013434-RA	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1
OG0000246	HEL_005502-RA	XP_026498593.1
OG0000247	HEL_001922-RA	XP_026497382.1
OG0000247	HEL_001920-RA, HEL_001919-RA, HEL_001918-RA, HEL_001921-RA	XP_026497455.1
OG0000248	HEL_013916-RA	XP_026483522.1
OG0000248	HEL_013902-RA	XP_026483488.1, XP_026483487.1
OG0000249	HEL_000469-RA, HEL_000470-RA	XP_026496131.1
OG0000250	HEL_013910-RA	XP_026483565.1
OG0000254	HEL_011399-RA, HEL_011397-RA, HEL_011398-RA	XP_026483833.1
OG0000254	HEL_011400-RA	XP_026483657.1
OG0000254	HEL_011401-RA	XP_026483658.1
OG0000255	HEL_002401-RA	XP_026500405.1
OG0000256	HEL_011704-RA	XP_026488745.1
OG0000256	HEL_009147-RA, HEL_010502-RA	XP_026496954.1
OG0000257	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA	XP_026496860.1
OG0000257	HEL_008272-RA	XP_026490754.1
OG0000258	HEL_000386-RA, HEL_000388-RA, HEL_000387-RA	XP_026491836.1
OG0000260	HEL_000640-RA, HEL_000638-RA	XP_026483812.1, XP_026483811.1
OG0000260	HEL_000627-RA	XP_026483815.1
OG0000262	HEL_003824-RA, HEL_003830-RA, HEL_003829-RA	XP_026494163.1
OG0000262	HEL_003831-RA	XP_026494162.1
OG0000263	HEL_004884-RA	XP_026499494.1
OG0000264	HEL_000152-RA	XP_026485844.1
OG0000264	HEL_000145-RA	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1
OG0000271	HEL_002185-RA	XP_026484010.1, XP_026484163.1
OG0000272	HEL_003415-RA	XP_026485265.1, XP_026492748.1
OG0000273	HEL_004292-RA	XP_026485334.1
OG0000273	HEL_011028-RA	XP_026485424.1, XP_026485332.1
OG0000274	HEL_008935-RA	XP_026487935.1
OG0000276	HEL_001740-RA	XP_026501114.1
OG0000277	HEL_010687-RA	XP_026492752.1
OG0000278	HEL_008176-RA, HEL_008178-RA, HEL_008177-RA, HEL_001763-RA	XP_026501087.1
OG0000279	HEL_011096-RA	XP_026488697.1
OG0000280	HEL_005821-RA, HEL_005819-RA	XP_026495777.1
OG0000281	HEL_009096-RA	XP_026495147.1
OG0000281	HEL_005808-RA	XP_026490252.1, XP_026495854.1
OG0000283	HEL_013294-RA	XP_026485933.1
OG0000283	HEL_013295-RA	XP_026485941.1, XP_026485936.1
OG0000284	HEL_001551-RA, HEL_001550-RA	XP_026484418.1, XP_026484863.1
OG0000284	HEL_001552-RA	XP_026484415.1
OG0000285	HEL_004245-RA	XP_026485523.1
OG0000285	HEL_004247-RA	XP_026485542.1
OG0000286	HEL_007502-RA, HEL_007508-RA, HEL_007503-RA	XP_026488393.1
OG0000286	HEL_007501-RA, HEL_007507-RA, HEL_007504-RA, HEL_007506-RA	XP_026488353.1
OG0000287	HEL_013729-RA	XP_026493886.1
OG0000289	HEL_007429-RA	XP_026488454.1
OG0000290	HEL_000158-RA	XP_026486009.1
OG0000291	HEL_013432-RA	XP_026490843.1, XP_026490846.1, XP_026490841.1, XP_026490845.1, XP_026490842.1, XP_026490840.1, XP_026490847.1
OG0000292	HEL_007249-RA	XP_026493529.1, XP_026493408.1
OG0000293	HEL_012051-RA	XP_026487992.1
OG0000293	HEL_012053-RA	XP_026487993.1
OG0000293	HEL_011068-RA	XP_026498937.1
OG0000294	HEL_010685-RA	XP_026492851.1
OG0000294	HEL_010684-RA	XP_026492855.1
OG0000295	HEL_008506-RA	XP_026489480.1
OG0000295	HEL_008507-RA	XP_026491878.1
OG0000296	HEL_011660-RA	XP_026501491.1, XP_026501488.1, XP_026501490.1, XP_026501493.1, XP_026501489.1
OG0000303	HEL_000690-RA	XP_026487247.1, XP_026487248.1, XP_026487249.1
OG0000304	HEL_010171-RA	XP_026498832.1
OG0000305	HEL_001926-RA	XP_026497357.1
OG0000305	HEL_001917-RA	XP_026497371.1
OG0000305	HEL_001925-RA	XP_026497514.1
OG0000306	HEL_005083-RA	XP_026491004.1
OG0000306	HEL_005084-RA	XP_026490984.1
OG0000307	HEL_004043-RA, HEL_004065-RA	XP_026496451.1
OG0000308	HEL_002742-RA, HEL_002740-RA, HEL_014448-RA	XP_026494056.1
OG0000308	HEL_002741-RA	XP_026493714.1, XP_026493715.1
OG0000309	HEL_005659-RA	XP_026495505.1
OG0000309	HEL_005657-RA	XP_026495504.1, XP_026495503.1
OG0000310	HEL_012424-RA	XP_026498063.1, XP_026498061.1, XP_026498062.1
OG0000311	HEL_006392-RA	XP_026494692.1, XP_026494705.1
OG0000312	HEL_006537-RA, HEL_006539-RA	XP_026491214.1
OG0000312	HEL_006536-RA	XP_026493565.1
OG0000313	HEL_004331-RA	XP_026485339.1, XP_026485340.1, XP_026485341.1
OG0000314	HEL_008306-RA	XP_026494493.1, XP_026499498.1
OG0000315	HEL_011161-RA	XP_026494682.1
OG0000315	HEL_011158-RA	XP_026494677.1
OG0000317	HEL_013326-RA	XP_026486073.1
OG0000317	HEL_000116-RA	XP_026486119.1
OG0000318	HEL_014401-RA, HEL_014400-RA, HEL_014578-RA, HEL_014582-RA, HEL_014581-RA, HEL_014583-RA, HEL_014197-RA	XP_026488591.1
OG0000319	HEL_000676-RA	XP_026483673.1
OG0000320	HEL_010924-RA	XP_026486340.1
OG0000321	HEL_004732-RA	XP_026493570.1
OG0000321	HEL_004707-RA, HEL_004706-RA	XP_026493588.1
OG0000323	HEL_014073-RA	XP_026494020.1
OG0000323	HEL_014076-RA	XP_026493893.1
OG0000324	HEL_003817-RA, HEL_003813-RA	XP_026494390.1, XP_026494394.1, XP_026494166.1, XP_026494167.1
OG0000326	HEL_012202-RA	XP_026499644.1
OG0000327	HEL_001425-RA	XP_026485171.1
OG0000328	HEL_013149-RA	XP_026489038.1, XP_026489039.1
OG0000329	HEL_000994-RA	XP_026486960.1
OG0000330	HEL_007053-RA	XP_026496977.1, XP_026496964.1, XP_026496958.1, XP_026496969.1, XP_026496952.1
OG0000331	HEL_012372-RA	XP_026485348.1
OG0000331	HEL_012872-RA	XP_026493024.1, XP_026493023.1
OG0000332	HEL_002943-RA, HEL_013998-RA, HEL_002944-RA, HEL_002945-RA, HEL_013997-RA, HEL_002947-RA	XP_026494698.1, XP_026494699.1
OG0000333	HEL_003199-RA	XP_026487498.1
OG0000333	HEL_003196-RA	XP_026487508.1, XP_026487507.1
OG0000334	HEL_013082-RA, HEL_013085-RA, HEL_013087-RA, HEL_013084-RA, HEL_013086-RA, HEL_013089-RA, HEL_013088-RA, HEL_013083-RA	XP_026498354.1, XP_026498355.1, XP_026492873.1, XP_026492874.1, XP_026492048.1
OG0000335	HEL_011961-RA	XP_026494570.1
OG0000335	HEL_011962-RA	XP_026494568.1, XP_026494571.1, XP_026494573.1, XP_026494572.1, XP_026494569.1
OG0000336	HEL_004465-RA, HEL_004464-RA	XP_026491698.1
OG0000337	HEL_008472-RA	XP_026491948.1
OG0000337	HEL_008473-RA	XP_026491949.1, XP_026491950.1
OG0000345	HEL_005334-RA	XP_026488522.1
OG0000345	HEL_006087-RA	XP_026496900.1
OG0000346	HEL_005381-RA	XP_026485662.1, XP_026485663.1, XP_026485661.1
OG0000347	HEL_013880-RA, HEL_013881-RA	XP_026493487.1, XP_026493486.1, XP_026493491.1, XP_026493488.1, XP_026493490.1, XP_026493489.1, XP_026493485.1
OG0000349	HEL_004068-RA	XP_026494117.1, XP_026494115.1
OG0000351	HEL_012430-RA	XP_026498077.1, XP_026498078.1
OG0000352	HEL_005174-RA	XP_026500377.1
OG0000353	HEL_006407-RA	XP_026494102.1, XP_026494127.1, XP_026494142.1, XP_026494157.1, XP_026494150.1, XP_026494111.1, XP_026494135.1, XP_026494119.1
OG0000354	HEL_011353-RA	XP_026490599.1
OG0000354	HEL_011354-RA	XP_026490598.1
OG0000354	HEL_011322-RA	XP_026490606.1
OG0000355	HEL_013959-RA, HEL_011239-RA	XP_026496608.1
