Orthogroup	Heliconius_erato_lativitta	Danaus_plexippus
OG0000018	HEL_002556-RA, HEL_002557-RA, HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000022	HEL_013117-RA	DPOGS202417-PA
OG0000022	HEL_012949-RA	DPOGS202403-PA
OG0000022	HEL_003385-RA, HEL_004628-RA, HEL_013111-RA, HEL_003381-RA, HEL_013019-RA	DPOGS200511-PA
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	DPOGS213385-PA
OG0000024	HEL_003522-RA, HEL_003523-RA, HEL_003520-RA, HEL_010574-RA, HEL_010573-RA, HEL_003509-RA, HEL_003510-RA, HEL_003524-RA, HEL_003511-RA, HEL_003525-RA, HEL_003526-RA, HEL_003527-RA	DPOGS200042-PA
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	DPOGS206751-PA, DPOGS206755-PA
OG0000025	HEL_011319-RA	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	HEL_011818-RA, HEL_011811-RA	DPOGS205336-PA
OG0000031	HEL_012127-RA	DPOGS212301-PA
OG0000032	HEL_003341-RA, HEL_008364-RA	DPOGS200472-PA
OG0000034	HEL_004511-RA, HEL_004512-RA	DPOGS205642-PA
OG0000034	HEL_004513-RA	DPOGS205643-PA
OG0000034	HEL_003967-RA	DPOGS202647-PA
OG0000034	HEL_003973-RA	DPOGS202676-PA
OG0000034	HEL_003968-RA	DPOGS202644-PA
OG0000035	HEL_014143-RA	DPOGS215450-PA
OG0000036	HEL_008947-RA, HEL_010219-RA	DPOGS213885-PA
OG0000038	HEL_003342-RA, HEL_003339-RA, HEL_003338-RA, HEL_003344-RA, HEL_003333-RA, HEL_003345-RA, HEL_003332-RA, HEL_003350-RA, HEL_003331-RA, HEL_003348-RA, HEL_003349-RA, HEL_003335-RA, HEL_003346-RA, HEL_003336-RA, HEL_003334-RA, HEL_003337-RA, HEL_003343-RA	DPOGS214966-PA
OG0000039	HEL_014203-RA	DPOGS201809-PA, DPOGS201793-PA, DPOGS201808-PA
OG0000039	HEL_006830-RA, HEL_006829-RA	DPOGS201794-PA, DPOGS201792-PA
OG0000041	HEL_014103-RA	DPOGS210496-PA
OG0000041	HEL_008450-RA	DPOGS206520-PA
OG0000041	HEL_014422-RA	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA
OG0000045	HEL_012373-RA	DPOGS210702-PA, DPOGS210700-PA
OG0000045	HEL_010335-RA	DPOGS210250-PA
OG0000045	HEL_013537-RA, HEL_013538-RA	DPOGS212775-PA
OG0000045	HEL_005377-RA	DPOGS213925-PA, DPOGS213901-PA
OG0000046	HEL_005348-RA	DPOGS209144-PA
OG0000048	HEL_005970-RA	DPOGS206656-PA, DPOGS212307-PA
OG0000049	HEL_008049-RA, HEL_008038-RA, HEL_008034-RA, HEL_008036-RA, HEL_008037-RA	DPOGS201061-PA
OG0000050	HEL_012554-RA	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000050	HEL_012557-RA, HEL_012556-RA, HEL_012559-RA	DPOGS205333-PA
OG0000052	HEL_000724-RA	DPOGS210331-PA
OG0000053	HEL_006721-RA	DPOGS201420-PA
OG0000053	HEL_006720-RA	DPOGS201419-PA
OG0000053	HEL_006724-RA	DPOGS201422-PA
OG0000053	HEL_006722-RA	DPOGS201421-PA
OG0000053	HEL_006725-RA	DPOGS201423-PA
OG0000054	HEL_003473-RA	DPOGS201193-PA
OG0000054	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA	DPOGS201191-PA, DPOGS201192-PA
OG0000054	HEL_003471-RA	DPOGS201177-PA
OG0000054	HEL_003470-RA	DPOGS201176-PA, DPOGS201175-PA
OG0000055	HEL_011387-RA	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA
OG0000055	HEL_004125-RA	DPOGS203178-PA
OG0000055	HEL_011388-RA, HEL_007822-RA, HEL_007824-RA, HEL_010170-RA, HEL_008266-RA, HEL_002167-RA, HEL_003943-RA, HEL_010169-RA, HEL_005219-RA	DPOGS213967-PA
OG0000056	HEL_013494-RA	DPOGS210281-PA
OG0000057	HEL_008127-RA, HEL_008126-RA	DPOGS209909-PA
OG0000057	HEL_008125-RA	DPOGS209884-PA
OG0000057	HEL_007566-RA	DPOGS209997-PA
OG0000058	HEL_011250-RA	DPOGS213962-PA
OG0000060	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA	DPOGS200035-PA, DPOGS208060-PA
OG0000061	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA, HEL_014348-RA, HEL_014349-RA, HEL_010277-RA, HEL_014346-RA, HEL_010278-RA, HEL_014350-RA, HEL_010280-RA	DPOGS201160-PA
OG0000062	HEL_000202-RA	DPOGS202468-PA, DPOGS202469-PA
OG0000063	HEL_006297-RA	DPOGS201994-PA
OG0000063	HEL_011544-RA	DPOGS205397-PA
OG0000066	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA	DPOGS210132-PA
OG0000067	HEL_006896-RA	DPOGS204359-PA
OG0000068	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA, HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA, HEL_004803-RA, HEL_004797-RA, HEL_004795-RA	DPOGS213409-PA, DPOGS212680-PA
OG0000069	HEL_013143-RA, HEL_013144-RA	DPOGS206989-PA
OG0000070	HEL_009336-RA, HEL_013576-RA, HEL_013574-RA, HEL_013575-RA, HEL_005006-RA, HEL_013212-RA, HEL_007197-RA, HEL_007198-RA, HEL_001815-RA, HEL_010209-RA, HEL_005855-RA, HEL_002271-RA, HEL_012876-RA, HEL_010210-RA, HEL_010860-RA, HEL_014588-RA, HEL_006998-RA, HEL_008874-RA, HEL_003773-RA, HEL_003774-RA, HEL_014604-RA, HEL_011249-RA, HEL_000997-RA, HEL_005856-RA, HEL_014589-RA, HEL_014587-RA, HEL_002270-RA, HEL_008600-RA, HEL_006997-RA, HEL_012877-RA, HEL_013600-RA, HEL_012768-RA, HEL_007217-RA, HEL_011898-RA, HEL_006343-RA, HEL_000998-RA, HEL_002125-RA, HEL_005004-RA, HEL_014354-RA, HEL_005005-RA, HEL_004763-RA	DPOGS205142-PA
OG0000071	HEL_009006-RA	DPOGS205454-PA
OG0000071	HEL_010983-RA, HEL_009301-RA	DPOGS200879-PA
OG0000073	HEL_007878-RA	DPOGS205799-PA
OG0000073	HEL_008003-RA	DPOGS208534-PA
OG0000073	HEL_007997-RA, HEL_007992-RA	DPOGS213705-PA
OG0000075	HEL_014328-RA, HEL_014331-RA	DPOGS201167-PA
OG0000075	HEL_014345-RA, HEL_014343-RA	DPOGS201162-PA
OG0000075	HEL_007561-RA	DPOGS209261-PA
OG0000076	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA	DPOGS206203-PA
OG0000078	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	DPOGS207021-PA
OG0000082	HEL_005977-RA	DPOGS211069-PA
OG0000082	HEL_005961-RA	DPOGS203868-PA
OG0000082	HEL_002182-RA	DPOGS212546-PA
OG0000083	HEL_011890-RA, HEL_011891-RA, HEL_011894-RA, HEL_011893-RA, HEL_011900-RA	DPOGS201702-PA
OG0000083	HEL_011889-RA, HEL_011895-RA	DPOGS212183-PA
OG0000084	HEL_010679-RA	DPOGS200123-PA
OG0000084	HEL_010678-RA, HEL_010675-RA, HEL_010676-RA	DPOGS200060-PA
OG0000085	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA, HEL_005305-RA, HEL_005304-RA	DPOGS215579-PA
OG0000088	HEL_013016-RA	DPOGS215149-PA
OG0000088	HEL_014145-RA, HEL_012840-RA	DPOGS202814-PA
OG0000088	HEL_014142-RA	DPOGS202808-PA
OG0000090	HEL_007626-RA	DPOGS210053-PA, DPOGS210052-PA
OG0000091	HEL_010012-RA	DPOGS203556-PA
OG0000092	HEL_008400-RA, HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA	DPOGS209252-PA
OG0000093	HEL_005969-RA	DPOGS202427-PA
OG0000093	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA	DPOGS202426-PA, DPOGS203872-PA
OG0000093	HEL_005972-RA	DPOGS202424-PA
OG0000094	HEL_006926-RA, HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA	DPOGS213975-PA
OG0000095	HEL_001292-RA	DPOGS204282-PA
OG0000096	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA	DPOGS212592-PA
OG0000096	HEL_010165-RA	DPOGS212590-PA
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	HEL_005540-RA	DPOGS209226-PA, DPOGS209225-PA
OG0000100	HEL_005774-RA	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	HEL_005776-RA	DPOGS215475-PA
OG0000100	HEL_005778-RA	DPOGS215477-PA
OG0000101	HEL_010134-RA, HEL_010133-RA	DPOGS200031-PA
OG0000101	HEL_010138-RA	DPOGS200026-PA
OG0000102	HEL_013146-RA, HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA	DPOGS206988-PA
OG0000102	HEL_013147-RA	DPOGS206942-PA
OG0000103	HEL_008320-RA	DPOGS207082-PA
OG0000108	HEL_013515-RA	DPOGS209435-PA
OG0000109	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA, HEL_012849-RA, HEL_012847-RA	DPOGS209375-PA
OG0000110	HEL_014554-RA	DPOGS212705-PA
OG0000110	HEL_014551-RA	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	HEL_004223-RA	DPOGS202624-PA
OG0000111	HEL_000126-RA	DPOGS215824-PA
OG0000111	HEL_000128-RA	DPOGS215826-PA
OG0000113	HEL_011798-RA, HEL_011796-RA	DPOGS203349-PA, DPOGS203350-PA
OG0000113	HEL_011795-RA, HEL_011797-RA	DPOGS203348-PA
OG0000113	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA	DPOGS207633-PA, DPOGS205179-PA
OG0000114	HEL_014390-RA, HEL_009880-RA, HEL_009885-RA	DPOGS206960-PA
OG0000115	HEL_004784-RA	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	HEL_004780-RA, HEL_004783-RA, HEL_006264-RA, HEL_004779-RA	DPOGS201101-PA
OG0000116	HEL_000181-RA	DPOGS211429-PA
OG0000116	HEL_010451-RA	DPOGS203334-PA
OG0000117	HEL_013392-RA	DPOGS206946-PA
OG0000117	HEL_013393-RA	DPOGS206945-PA
OG0000119	HEL_005351-RA, HEL_005350-RA	DPOGS203233-PA
OG0000120	HEL_011755-RA, HEL_005859-RA, HEL_001395-RA, HEL_005666-RA, HEL_012011-RA, HEL_009305-RA, HEL_013465-RA, HEL_008431-RA, HEL_011691-RA, HEL_013996-RA, HEL_010140-RA, HEL_011756-RA, HEL_004768-RA, HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA, HEL_011754-RA	DPOGS202536-PA
OG0000124	HEL_012796-RA	DPOGS206009-PA
OG0000124	HEL_000153-RA	DPOGS211433-PA
OG0000125	HEL_008471-RA	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	HEL_008470-RA	DPOGS214825-PA
OG0000127	HEL_013707-RA, HEL_013706-RA	DPOGS210351-PA
OG0000128	HEL_014291-RA	DPOGS210158-PA
OG0000128	HEL_014057-RA	DPOGS211778-PA
OG0000128	HEL_014054-RA	DPOGS210161-PA
OG0000129	HEL_003330-RA, HEL_003340-RA	DPOGS210178-PA
OG0000131	HEL_004142-RA	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA
OG0000132	HEL_005216-RA, HEL_005214-RA, HEL_005223-RA, HEL_013799-RA, HEL_013798-RA	DPOGS214570-PA
OG0000133	HEL_004130-RA	DPOGS204619-PA, DPOGS215001-PA
OG0000133	HEL_004133-RA	DPOGS201589-PA
OG0000134	HEL_006876-RA	DPOGS206558-PA
OG0000134	HEL_006825-RA	DPOGS213998-PA
OG0000134	HEL_006826-RA	DPOGS206556-PA
OG0000136	HEL_004124-RA	DPOGS203111-PA, DPOGS213873-PA, DPOGS208765-PA, DPOGS201207-PA, DPOGS208126-PA
OG0000137	HEL_001691-RA, HEL_001689-RA, HEL_001690-RA	DPOGS213158-PA
OG0000138	HEL_002292-RA	DPOGS201307-PA, DPOGS201308-PA
OG0000138	HEL_007640-RA	DPOGS210044-PA
OG0000139	HEL_003606-RA	DPOGS204151-PA
OG0000139	HEL_003604-RA	DPOGS204150-PA
OG0000141	HEL_010839-RA, HEL_010838-RA	DPOGS205275-PA
OG0000142	HEL_010081-RA	DPOGS210763-PA
OG0000142	HEL_010082-RA	DPOGS211692-PA
OG0000143	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA	DPOGS207066-PA
OG0000143	HEL_009924-RA	DPOGS207067-PA
OG0000147	HEL_007353-RA	DPOGS202135-PA
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	DPOGS216148-PA
OG0000149	HEL_004261-RA, HEL_004262-RA	DPOGS211600-PA
OG0000149	HEL_004265-RA	DPOGS211599-PA
OG0000149	HEL_006023-RA	DPOGS209815-PA
OG0000152	HEL_002887-RA	DPOGS203849-PA
OG0000152	HEL_002885-RA	DPOGS203651-PA
OG0000153	HEL_011504-RA, HEL_011498-RA, HEL_011499-RA	DPOGS200336-PA
OG0000153	HEL_012802-RA, HEL_012804-RA, HEL_012803-RA	DPOGS200298-PA
OG0000154	HEL_004719-RA	DPOGS203728-PA
OG0000154	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	DPOGS203730-PA
OG0000155	HEL_012311-RA, HEL_012316-RA	DPOGS209068-PA
OG0000156	HEL_013567-RA, HEL_013569-RA	DPOGS201022-PA, DPOGS201021-PA
OG0000157	HEL_007312-RA	DPOGS210719-PA
OG0000160	HEL_012101-RA	DPOGS211357-PA
OG0000162	HEL_008231-RA	DPOGS214379-PA, DPOGS212215-PA
OG0000162	HEL_008230-RA, HEL_008233-RA, HEL_008232-RA	DPOGS213682-PA
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA, HEL_006390-RA, HEL_014322-RA	DPOGS208397-PA, DPOGS208398-PA
OG0000164	HEL_013352-RA	DPOGS207032-PA
OG0000165	HEL_014037-RA	DPOGS214443-PA, DPOGS214442-PA
OG0000165	HEL_014028-RA	DPOGS202039-PA
OG0000166	HEL_009754-RA	DPOGS204571-PA
OG0000167	HEL_011445-RA	DPOGS207203-PA, DPOGS200276-PA
OG0000167	HEL_000604-RA	DPOGS212517-PA, DPOGS212471-PA
OG0000168	HEL_010944-RA, HEL_010943-RA	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA
OG0000168	HEL_003437-RA, HEL_010948-RA, HEL_010950-RA, HEL_003440-RA, HEL_003433-RA, HEL_010949-RA, HEL_003432-RA, HEL_003442-RA, HEL_003431-RA, HEL_003430-RA, HEL_003434-RA, HEL_003435-RA	DPOGS215588-PA
OG0000169	HEL_012759-RA	DPOGS209399-PA
OG0000169	HEL_014571-RA	DPOGS209397-PA
OG0000169	HEL_012764-RA	DPOGS209416-PA, DPOGS209415-PA
OG0000170	HEL_012926-RA, HEL_012927-RA	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	HEL_006254-RA, HEL_006253-RA	DPOGS207651-PA
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	DPOGS207652-PA
OG0000172	HEL_008361-RA, HEL_008362-RA	DPOGS207109-PA
OG0000174	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA	DPOGS203785-PA
OG0000174	HEL_002714-RA, HEL_002715-RA	DPOGS203786-PA
OG0000174	HEL_007174-RA	DPOGS201355-PA
OG0000175	HEL_005422-RA	DPOGS213653-PA
OG0000175	HEL_009048-RA	DPOGS212172-PA
OG0000175	HEL_003484-RA	DPOGS201184-PA
OG0000178	HEL_005387-RA	DPOGS213916-PA
OG0000178	HEL_004641-RA	DPOGS202584-PA, DPOGS208620-PA
OG0000179	HEL_013875-RA	DPOGS215239-PA
OG0000180	HEL_007077-RA	DPOGS203313-PA
OG0000180	HEL_007079-RA, HEL_007078-RA	DPOGS202992-PA
OG0000181	HEL_008902-RA	DPOGS204734-PA, DPOGS204733-PA
OG0000182	HEL_012893-RA	DPOGS210084-PA
OG0000183	HEL_012769-RA	DPOGS211358-PA
OG0000183	HEL_006620-RA	DPOGS210612-PA
OG0000183	HEL_003942-RA	DPOGS202050-PA
OG0000184	HEL_007564-RA	DPOGS210000-PA
OG0000184	HEL_004299-RA	DPOGS210945-PA
OG0000184	HEL_004298-RA	DPOGS211022-PA
OG0000185	HEL_011155-RA	DPOGS207886-PA
OG0000185	HEL_011157-RA	DPOGS207876-PA
OG0000186	HEL_006287-RA, HEL_013685-RA	DPOGS200588-PA
OG0000187	HEL_010066-RA	DPOGS203099-PA
OG0000187	HEL_010067-RA	DPOGS203100-PA, DPOGS203101-PA
OG0000188	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA	DPOGS200256-PA
OG0000188	HEL_009328-RA	DPOGS210269-PA, DPOGS210268-PA, DPOGS210271-PA, DPOGS210270-PA, DPOGS210265-PA
OG0000190	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA	DPOGS210733-PA
OG0000191	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA	DPOGS203394-PA, DPOGS212004-PA
OG0000193	HEL_011020-RA, HEL_011022-RA	DPOGS208229-PA
OG0000193	HEL_011021-RA, HEL_004214-RA	DPOGS211597-PA
OG0000196	HEL_002689-RA	DPOGS215622-PA
OG0000197	HEL_002519-RA	DPOGS215734-PA
OG0000197	HEL_001340-RA	DPOGS204239-PA
OG0000198	HEL_009068-RA	DPOGS212099-PA
OG0000198	HEL_009066-RA	DPOGS212164-PA
OG0000200	HEL_007531-RA, HEL_007530-RA	DPOGS209914-PA
OG0000201	HEL_001000-RA, HEL_001001-RA	DPOGS204865-PA, DPOGS204864-PA
OG0000202	HEL_000095-RA, HEL_000097-RA, HEL_000092-RA, HEL_000093-RA, HEL_006532-RA, HEL_000094-RA, HEL_003305-RA, HEL_000090-RA	DPOGS209628-PA
OG0000202	HEL_000098-RA	DPOGS211423-PA
OG0000203	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA	DPOGS210787-PA
OG0000203	HEL_006322-RA	DPOGS200479-PA
OG0000205	HEL_005648-RA	DPOGS209148-PA, DPOGS209147-PA
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	DPOGS205019-PA
OG0000209	HEL_000443-RA	DPOGS214010-PA
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	DPOGS204840-PA
OG0000209	HEL_001020-RA	DPOGS216112-PA
OG0000210	HEL_007938-RA	DPOGS208561-PA
OG0000211	HEL_012798-RA	DPOGS212986-PA
OG0000212	HEL_010933-RA	DPOGS207988-PA
OG0000212	HEL_010932-RA	DPOGS207989-PA
OG0000212	HEL_010931-RA	DPOGS207987-PA
OG0000213	HEL_001448-RA	DPOGS208066-PA
OG0000213	HEL_001453-RA	DPOGS208084-PA
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	DPOGS214058-PA
OG0000215	HEL_008533-RA	DPOGS211555-PA
OG0000215	HEL_011523-RA	DPOGS211556-PA
OG0000216	HEL_000005-RA	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	HEL_006811-RA, HEL_006812-RA	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	HEL_011596-RA	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	HEL_008433-RA	DPOGS207542-PA
OG0000219	HEL_011520-RA	DPOGS200328-PA
OG0000220	HEL_000160-RA, HEL_000180-RA	DPOGS211390-PA
OG0000220	HEL_000185-RA	DPOGS205839-PA, DPOGS205840-PA
OG0000221	HEL_000182-RA	DPOGS211394-PA
OG0000221	HEL_000184-RA	DPOGS205842-PA
OG0000222	HEL_013041-RA, HEL_013040-RA	DPOGS205017-PA
OG0000224	HEL_011061-RA	DPOGS208278-PA
OG0000224	HEL_011062-RA	DPOGS208277-PA
OG0000224	HEL_011060-RA	DPOGS208279-PA
OG0000227	HEL_013037-RA, HEL_013030-RA	DPOGS209796-PA
OG0000229	HEL_003645-RA, HEL_003644-RA	DPOGS214632-PA
OG0000229	HEL_002541-RA, HEL_006525-RA, HEL_003650-RA	DPOGS214653-PA
OG0000229	HEL_002543-RA	DPOGS215746-PA, DPOGS215748-PA
OG0000230	HEL_007833-RA	DPOGS209009-PA, DPOGS209016-PA
OG0000230	HEL_014523-RA	DPOGS205205-PA, DPOGS205235-PA
OG0000231	HEL_005797-RA, HEL_013550-RA, HEL_013546-RA, HEL_013547-RA, HEL_013545-RA, HEL_014558-RA, HEL_013548-RA	DPOGS208443-PA
OG0000232	HEL_007965-RA	DPOGS207028-PA
OG0000233	HEL_013315-RA	DPOGS215920-PA, DPOGS215875-PA
OG0000234	HEL_000576-RA	DPOGS212240-PA
OG0000234	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA	DPOGS201732-PA
OG0000235	HEL_008763-RA	DPOGS211850-PA
OG0000235	HEL_008762-RA	DPOGS211974-PA
OG0000236	HEL_001074-RA	DPOGS207247-PA
OG0000236	HEL_001070-RA	DPOGS207308-PA
OG0000237	HEL_012911-RA	DPOGS201064-PA
OG0000237	HEL_012907-RA	DPOGS201065-PA
OG0000237	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA	DPOGS201066-PA
OG0000238	HEL_011638-RA	DPOGS200166-PA
OG0000238	HEL_006325-RA	DPOGS200498-PA
OG0000239	HEL_013433-RA	DPOGS200316-PA
OG0000239	HEL_013434-RA	DPOGS200315-PA, DPOGS200313-PA
OG0000246	HEL_005502-RA	DPOGS212261-PA
OG0000246	HEL_005503-RA	DPOGS212263-PA, DPOGS212262-PA
OG0000247	HEL_001922-RA	DPOGS204998-PA
OG0000248	HEL_013916-RA	DPOGS208848-PA, DPOGS208849-PA
OG0000248	HEL_013892-RA	DPOGS202967-PA
OG0000248	HEL_013902-RA	DPOGS210769-PA
OG0000249	HEL_000469-RA, HEL_000470-RA	DPOGS204790-PA
OG0000250	HEL_013910-RA	DPOGS213894-PA
OG0000252	HEL_007886-RA, HEL_007887-RA	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA
OG0000254	HEL_011399-RA, HEL_011397-RA, HEL_011398-RA, HEL_011400-RA	DPOGS206219-PA
OG0000254	HEL_011401-RA	DPOGS206237-PA
OG0000254	HEL_011402-RA	DPOGS206218-PA
OG0000255	HEL_002401-RA	DPOGS201291-PA
OG0000257	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA	DPOGS202490-PA
OG0000257	HEL_008254-RA, HEL_008272-RA	DPOGS206965-PA
OG0000257	HEL_008257-RA, HEL_008256-RA	DPOGS204511-PA
OG0000258	HEL_000386-RA	DPOGS214473-PA
OG0000258	HEL_000387-RA	DPOGS216099-PA
OG0000259	HEL_011529-RA, HEL_011528-RA, HEL_011531-RA, HEL_011530-RA	DPOGS204809-PA
OG0000260	HEL_000640-RA, HEL_000638-RA, HEL_000627-RA	DPOGS201723-PA
