Orthogroup	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene
OG0000007	HEL_006143-RA	HMEL012825g1.t1
OG0000007	HEL_002932-RA	HMEL006689g1.t1
OG0000007	HEL_012397-RA	HMEL009008g1.t1
OG0000007	HEL_013500-RA	HMEL003519g1.t1
OG0000007	HEL_009509-RA	HMEL013136g1.t1
OG0000007	HEL_002389-RA	HMEL033385g1.t1
OG0000007	HEL_013093-RA	HMEL021694g1.t1
OG0000007	HEL_013499-RA, HEL_006142-RA, HEL_002388-RA	HMEL012399g1.t1
OG0000007	HEL_009310-RA	HMEL016981g1.t1, HMEL016980g1.t1
OG0000009	HEL_011324-RA	HMEL037374g1.t1
OG0000009	HEL_011326-RA	HMEL037375g1.t1
OG0000009	HEL_011321-RA	HMEL037371g1.t1, HMEL037370g1.t1
OG0000009	HEL_011373-RA, HEL_011374-RA, HEL_011375-RA, HEL_011366-RA, HEL_011369-RA, HEL_011381-RA, HEL_011378-RA, HEL_011320-RA, HEL_011376-RA	HMEL011209g1.t1
OG0000011	HEL_008992-RA	HMEL020065g1.t1, HMEL033667g1.t1
OG0000011	HEL_008872-RA	HMEL033610g1.t1
OG0000011	HEL_011236-RA	HMEL017520g1.t1
OG0000011	HEL_008932-RA	HMEL003019g1.t1, HMEL003018g1.t1
OG0000011	HEL_008929-RA	HMEL003020g1.t1
OG0000011	HEL_008923-RA, HEL_008921-RA, HEL_008931-RA, HEL_008925-RA, HEL_008920-RA, HEL_008926-RA	HMEL011718g1.t1
OG0000011	HEL_008927-RA	HMEL003022g1.t1
OG0000012	HEL_011034-RA	HMEL036201g1.t1
OG0000013	HEL_002158-RA	HMEL034362g1.t1, HMEL031306g1.t1, HMEL035911g1.t1, HMEL036578g1.t1, HMEL031727g1.t1, HMEL031283g1.t1
OG0000016	HEL_001996-RA	HMEL036078g1.t1, HMEL007253g1.t1, HMEL033724g1.t1, HMEL034494g1.t1, HMEL037439g1.t1, HMEL037530g1.t1, HMEL031386g1.t1, HMEL036629g1.t1, HMEL033594g1.t1, HMEL034497g1.t1, HMEL033096g1.t1, HMEL030332g1.t1, HMEL030306g1.t1, HMEL037906g1.t1, HMEL033723g1.t1, HMEL036459g1.t1, HMEL034615g1.t1, HMEL030333g1.t1, HMEL035684g1.t1, HMEL034719g1.t1, HMEL032180g1.t1, HMEL034891g1.t1, HMEL034564g1.t1, HMEL033196g1.t1, HMEL034625g1.t1, HMEL030071g1.t1, HMEL037772g1.t1, HMEL030907g1.t1, HMEL031166g1.t1, HMEL034532g1.t1, HMEL035844g1.t1, HMEL031709g1.t1, HMEL017866g1.t1, HMEL036000g1.t1, HMEL035624g1.t1
OG0000017	HEL_005435-RA, HEL_005434-RA	HMEL035047g1.t1
OG0000018	HEL_002556-RA	HMEL030430g1.t1
OG0000018	HEL_002557-RA	HMEL016357g1.t1
OG0000018	HEL_002871-RA	HMEL030844g1.t1
OG0000018	HEL_002559-RA	HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1
OG0000022	HEL_013117-RA	HMEL030997g1.t1
OG0000022	HEL_012949-RA	HMEL006280g1.t1, HMEL002897g1.t1
OG0000022	HEL_003385-RA, HEL_004628-RA, HEL_013111-RA, HEL_003381-RA, HEL_013019-RA	HMEL034470g1.t1
OG0000022	HEL_003384-RA	HMEL031458g1.t1
OG0000022	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA	HMEL031459g1.t1
OG0000024	HEL_003523-RA	HMEL012613g1.t1
OG0000024	HEL_003520-RA	HMEL012615g1.t1
OG0000024	HEL_010574-RA, HEL_010573-RA	HMEL002645g1.t1
OG0000024	HEL_003510-RA	HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1
OG0000024	HEL_003524-RA	HMEL012607g1.t1
OG0000024	HEL_003511-RA	HMEL010265g1.t1, HMEL012609g1.t1
OG0000024	HEL_003525-RA, HEL_003526-RA, HEL_003527-RA	HMEL010268g1.t1
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	HMEL037385g1.t1
OG0000025	HEL_011319-RA	HMEL037372g1.t1, HMEL011166g1.t1
OG0000028	HEL_011818-RA	HMEL004610g1.t1
OG0000028	HEL_011811-RA	HMEL014440g1.t1
OG0000029	HEL_008273-RA, HEL_008263-RA, HEL_008261-RA, HEL_008267-RA	HMEL009240g1.t1, HMEL009236g1.t1, HMEL002341g1.t1
OG0000029	HEL_008258-RA	HMEL002573g1.t1
OG0000029	HEL_001272-RA	HMEL003326g1.t1
OG0000030	HEL_009939-RA	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1
OG0000032	HEL_003341-RA	HMEL015875g1.t1
OG0000034	HEL_003967-RA	HMEL033976g1.t1
OG0000034	HEL_003973-RA	HMEL033982g1.t1
OG0000034	HEL_003968-RA	HMEL033974g1.t1
OG0000036	HEL_008947-RA, HEL_010219-RA	HMEL034344g1.t1
OG0000038	HEL_003339-RA	HMEL014479g1.t1
OG0000038	HEL_003344-RA, HEL_003333-RA	HMEL031441g1.t1
OG0000038	HEL_003348-RA, HEL_003349-RA	HMEL014488g1.t1
OG0000038	HEL_003335-RA, HEL_003346-RA	HMEL014489g1.t1
OG0000038	HEL_003336-RA	HMEL014473g1.t1
OG0000038	HEL_003334-RA	HMEL014472g1.t1
OG0000038	HEL_003337-RA	HMEL014474g1.t1
OG0000038	HEL_003343-RA	HMEL021371g1.t1, HMEL014483g1.t1, HMEL031443g1.t1
OG0000039	HEL_014203-RA	HMEL003566-RA
OG0000039	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA	HMEL026010g1.t1
OG0000039	HEL_002017-RA	HMEL026012g1.t1, HMEL026009g1.t1
OG0000039	HEL_014550-RA	HMEL018121g1.t1, HMEL010595-RA
OG0000039	HEL_006830-RA	HMEL017153-RA
OG0000039	HEL_006829-RA	HMEL017154-RA
OG0000041	HEL_014103-RA	HMEL032630g1.t1
OG0000041	HEL_008450-RA	HMEL013650g1.t1
OG0000041	HEL_014421-RA	HMEL004253g1.t1
OG0000041	HEL_014422-RA	HMEL004252g1.t1
OG0000045	HEL_012373-RA	HMEL036019g1.t1
OG0000045	HEL_010335-RA	HMEL037144g1.t1
OG0000045	HEL_013537-RA, HEL_013538-RA	HMEL014163g1.t1
OG0000045	HEL_005377-RA	HMEL034418g1.t1
OG0000046	HEL_005344-RA, HEL_005346-RA, HEL_005347-RA, HEL_005345-RA	HMEL014795g1.t1
OG0000046	HEL_005348-RA	HMEL010111g1.t1
OG0000049	HEL_008049-RA	HMEL002471-RA
OG0000049	HEL_008038-RA	HMEL034903g1.t1
OG0000049	HEL_008034-RA	HMEL008772-RA
OG0000049	HEL_008036-RA	HMEL008770-RA
OG0000049	HEL_008037-RA	HMEL003583-RA
OG0000050	HEL_012554-RA	HMEL017073-RA
OG0000050	HEL_012564-RA	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA
OG0000050	HEL_012561-RA	HMEL036604g1.t1
OG0000050	HEL_012555-RA	HMEL017071-RA
OG0000050	HEL_012557-RA	HMEL017069-RA
OG0000050	HEL_012556-RA	HMEL017066-RA, HMEL022564-RA
OG0000052	HEL_000724-RA	HMEL013845g1.t1
OG0000053	HEL_006720-RA	HMEL009070g1.t1
OG0000053	HEL_006724-RA	HMEL009072g1.t1
OG0000053	HEL_006722-RA	HMEL009071g1.t1
OG0000053	HEL_006725-RA	HMEL009073g1.t1
OG0000054	HEL_003473-RA	HMEL018015g1.t1
OG0000054	HEL_003465-RA	HMEL018012g1.t1
OG0000054	HEL_010206-RA	HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1
OG0000054	HEL_003471-RA	HMEL031506g1.t1, HMEL031507g1.t1
OG0000054	HEL_003470-RA	HMEL031505g1.t1
OG0000055	HEL_011387-RA	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1
OG0000055	HEL_004125-RA	HMEL030552g1.t1
OG0000055	HEL_004126-RA	HMEL014284g1.t1
OG0000055	HEL_007822-RA	HMEL033237g1.t1
OG0000056	HEL_013494-RA	HMEL010939-RA
OG0000057	HEL_008127-RA	HMEL003534g1.t1
OG0000057	HEL_008126-RA	HMEL032313g1.t1
OG0000057	HEL_008125-RA	HMEL032312g1.t1
OG0000057	HEL_007566-RA	HMEL006997g1.t1
OG0000060	HEL_007291-RA	HMEL036362g1.t1
OG0000060	HEL_007289-RA	HMEL036359g1.t1
OG0000060	HEL_007288-RA, HEL_007290-RA	HMEL036361g1.t1
OG0000060	HEL_007285-RA	HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1
OG0000061	HEL_014348-RA	HMEL013738-RA
OG0000061	HEL_014349-RA, HEL_010277-RA	HMEL022441g1.t1
OG0000061	HEL_014346-RA	HMEL013741-RA, HMEL013739-RA, HMEL013737-RA
OG0000063	HEL_006297-RA	HMEL034759g1.t1
OG0000063	HEL_011543-RA	HMEL036487g1.t1
OG0000064	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA	HMEL009540g1.t1, HMEL036517g1.t1
OG0000066	HEL_002081-RA, HEL_002082-RA	HMEL022604-RA
OG0000066	HEL_002071-RA, HEL_002074-RA	HMEL022648-RA
OG0000066	HEL_002075-RA	HMEL022651-RA
OG0000066	HEL_002085-RA	HMEL022625-RA, HMEL022664-RA
OG0000067	HEL_006896-RA	HMEL010779g1.t1
OG0000068	HEL_004817-RA	HMEL007507g1.t1, HMEL007505g1.t1
OG0000068	HEL_004816-RA	HMEL007506g1.t1
OG0000068	HEL_004813-RA, HEL_004812-RA	HMEL010997g1.t1
OG0000068	HEL_004809-RA, HEL_004810-RA, HEL_004818-RA	HMEL031347g1.t1
OG0000068	HEL_004807-RA	HMEL031344g1.t1, HMEL031346g1.t1
OG0000068	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA	HMEL031345g1.t1
OG0000068	HEL_004803-RA, HEL_004797-RA	HMEL031342g1.t1
OG0000068	HEL_004795-RA	HMEL031343g1.t1
OG0000069	HEL_013143-RA	HMEL033323g1.t1, HMEL011062g1.t1
OG0000070	HEL_009336-RA, HEL_013576-RA, HEL_013574-RA, HEL_013575-RA, HEL_005006-RA, HEL_013212-RA, HEL_007197-RA, HEL_007198-RA, HEL_001815-RA, HEL_010209-RA, HEL_005855-RA, HEL_002271-RA, HEL_012876-RA, HEL_010210-RA, HEL_010860-RA, HEL_014588-RA, HEL_006998-RA, HEL_008874-RA, HEL_003773-RA, HEL_003774-RA, HEL_014604-RA, HEL_011249-RA, HEL_000997-RA, HEL_005856-RA, HEL_014589-RA, HEL_014587-RA, HEL_002270-RA, HEL_008600-RA, HEL_006997-RA, HEL_012877-RA, HEL_013600-RA, HEL_012768-RA, HEL_007217-RA, HEL_011898-RA, HEL_006343-RA, HEL_000998-RA, HEL_002125-RA, HEL_005004-RA, HEL_014354-RA, HEL_005005-RA, HEL_004763-RA	HMEL036665g1.t1
OG0000071	HEL_012672-RA	HMEL034508g1.t1
OG0000071	HEL_004446-RA, HEL_002089-RA, HEL_008612-RA, HEL_007397-RA, HEL_009249-RA, HEL_013447-RA, HEL_006033-RA, HEL_011525-RA, HEL_009009-RA, HEL_009007-RA, HEL_012671-RA, HEL_004289-RA, HEL_009846-RA, HEL_010495-RA, HEL_010347-RA, HEL_010983-RA, HEL_009301-RA	HMEL031688g1.t1
OG0000071	HEL_008611-RA, HEL_009250-RA, HEL_006034-RA, HEL_011986-RA, HEL_005722-RA, HEL_001383-RA, HEL_008569-RA	HMEL036457g1.t1
OG0000071	HEL_010348-RA	HMEL031689g1.t1
OG0000071	HEL_009008-RA	HMEL037575g1.t1
OG0000073	HEL_007878-RA	HMEL012052g1.t1
OG0000073	HEL_008003-RA	HMEL015732g1.t1
OG0000073	HEL_007997-RA, HEL_007992-RA	HMEL015726g1.t1
OG0000075	HEL_014330-RA, HEL_014326-RA, HEL_014344-RA	HMEL031751g1.t1
OG0000075	HEL_014328-RA, HEL_014331-RA	HMEL002852g1.t1
OG0000075	HEL_014345-RA, HEL_014343-RA	HMEL032963g1.t1
OG0000075	HEL_007561-RA	HMEL022365g1.t1
OG0000076	HEL_011714-RA	HMEL037276g1.t1
OG0000076	HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA	HMEL002849g1.t1
OG0000076	HEL_011734-RA	HMEL037285g1.t1, HMEL037282g1.t1
OG0000076	HEL_011730-RA, HEL_011731-RA	HMEL037284g1.t1
OG0000076	HEL_011729-RA	HMEL016075g1.t1
OG0000077	HEL_013279-RA	HMEL031854g1.t1
OG0000077	HEL_013281-RA	HMEL003397g1.t1
OG0000078	HEL_008245-RA, HEL_008246-RA	HMEL010630g1.t1
OG0000078	HEL_008243-RA, HEL_008244-RA	HMEL030578g1.t1
OG0000079	HEL_010373-RA	HMEL006318-RA
OG0000079	HEL_010374-RA	HMEL037179g1.t1
OG0000082	HEL_005977-RA	HMEL007401g1.t1
OG0000082	HEL_005961-RA	HMEL010076g1.t1
OG0000082	HEL_002182-RA	HMEL014537g1.t1
OG0000083	HEL_011890-RA	HMEL034647g1.t1, HMEL013165g1.t1
OG0000083	HEL_011891-RA, HEL_011894-RA	HMEL034646g1.t1
OG0000083	HEL_011900-RA	HMEL013158g1.t1
OG0000083	HEL_011888-RA	HMEL013164g1.t1
OG0000083	HEL_011892-RA	HMEL034644g1.t1
OG0000083	HEL_011897-RA	HMEL013160g1.t1
OG0000083	HEL_011899-RA	HMEL013159g1.t1
OG0000084	HEL_010679-RA	HMEL015484g1.t1
OG0000084	HEL_010678-RA, HEL_010675-RA	HMEL037105g1.t1, HMEL037108g1.t1
OG0000084	HEL_010676-RA	HMEL037106g1.t1, HMEL037107g1.t1
OG0000085	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA	HMEL007950g1.t1
OG0000087	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA	HMEL033933g1.t1, HMEL009120g1.t1, HMEL010522g1.t1
OG0000087	HEL_003935-RA	HMEL009121g1.t1, HMEL033934g1.t1
OG0000087	HEL_003930-RA	HMEL010523g1.t1
OG0000087	HEL_003927-RA	HMEL010521g1.t1
OG0000087	HEL_003941-RA	HMEL033937g1.t1, HMEL033938g1.t1
OG0000087	HEL_003938-RA, HEL_003937-RA, HEL_003936-RA	HMEL033935g1.t1
OG0000088	HEL_013016-RA	HMEL011526g1.t1
OG0000088	HEL_014145-RA, HEL_012840-RA	HMEL003757g1.t1, HMEL003755g1.t1, HMEL003754g1.t1
OG0000088	HEL_014142-RA	HMEL003761g1.t1, HMEL003760g1.t1
OG0000090	HEL_007626-RA	HMEL010419g1.t1
OG0000091	HEL_010012-RA	HMEL035781g1.t1, HMEL035789g1.t1
OG0000092	HEL_008400-RA	HMEL009597g1.t1
OG0000092	HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA	HMEL012374g1.t1, HMEL032947g1.t1, HMEL003048g1.t1, HMEL016489g1.t1, HMEL012376g1.t1, HMEL007577g1.t1, HMEL014517g1.t1
OG0000093	HEL_005969-RA	HMEL006620g1.t1
OG0000093	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA	HMEL005989g1.t1
OG0000093	HEL_005972-RA	HMEL003398g1.t1
OG0000094	HEL_006926-RA	HMEL015375g1.t1
OG0000094	HEL_006938-RA, HEL_006942-RA	HMEL030675g1.t1
OG0000094	HEL_006905-RA	HMEL010458g1.t1
OG0000094	HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA	HMEL003276g1.t1
OG0000094	HEL_006907-RA	HMEL003277g1.t1
OG0000094	HEL_006901-RA, HEL_006897-RA	HMEL010780g1.t1
OG0000094	HEL_010220-RA, HEL_006911-RA	HMEL003278g1.t1
OG0000095	HEL_001292-RA	HMEL003312g1.t1
OG0000096	HEL_010168-RA	HMEL034898g1.t1
OG0000096	HEL_010172-RA	HMEL034900g1.t1
OG0000096	HEL_010173-RA	HMEL034901g1.t1
OG0000096	HEL_010165-RA	HMEL006028g1.t1
OG0000097	HEL_008951-RA	HMEL013001g1.t1
OG0000097	HEL_008950-RA	HMEL013003g1.t1
OG0000097	HEL_008948-RA	HMEL012997g1.t1
OG0000098	HEL_005540-RA	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1
OG0000100	HEL_005774-RA	HMEL016056g1.t1
OG0000100	HEL_005770-RA	HMEL016051g1.t1, HMEL036651g1.t1
OG0000100	HEL_005771-RA	HMEL016050g1.t1
OG0000100	HEL_005773-RA	HMEL036652g1.t1
OG0000100	HEL_005776-RA	HMEL016058g1.t1
OG0000101	HEL_010134-RA, HEL_010133-RA	HMEL013064g1.t1, HMEL035350g1.t1
OG0000102	HEL_013146-RA	HMEL003225g1.t1
OG0000102	HEL_013140-RA	HMEL033321g1.t1
OG0000102	HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA	HMEL033320g1.t1
OG0000102	HEL_013135-RA	HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1
OG0000102	HEL_013147-RA	HMEL003365g1.t1
OG0000103	HEL_008320-RA	HMEL004144g1.t1
OG0000106	HEL_014493-RA	HMEL031177g1.t1, HMEL031314g1.t1, HMEL030142g1.t1, HMEL036445g1.t1, HMEL031249g1.t1, HMEL037250g1.t1, HMEL031930g1.t1, HMEL034708g1.t1, HMEL014798g1.t1, HMEL033415g1.t1, HMEL037305g1.t1, HMEL030238g1.t1, HMEL031140g1.t1, HMEL034274g1.t1, HMEL031868g1.t1, HMEL037411g1.t1, HMEL011801g1.t1, HMEL033895g1.t1, HMEL015060g1.t1, HMEL033894g1.t1, HMEL022151g1.t1, HMEL033393g1.t1, HMEL031929g1.t1, HMEL031409g1.t1, HMEL032596g1.t1, HMEL031989g1.t1, HMEL031869g1.t1, HMEL037891g1.t1, HMEL031009g1.t1, HMEL006149g1.t1
OG0000108	HEL_009657-RA, HEL_009862-RA	HMEL013215g1.t1, HMEL010963g1.t1
OG0000108	HEL_013515-RA	HMEL017787g1.t1, HMEL031414g1.t1
OG0000109	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA	HMEL007501g1.t1
OG0000109	HEL_012849-RA, HEL_012847-RA	HMEL032662g1.t1
OG0000110	HEL_014551-RA	HMEL008599g1.t1
OG0000111	HEL_004223-RA	HMEL017867g1.t1
OG0000113	HEL_011798-RA	HMEL037320g1.t1
OG0000113	HEL_011796-RA	HMEL037318g1.t1
OG0000113	HEL_011795-RA	HMEL037317g1.t1
OG0000113	HEL_011797-RA	HMEL037316g1.t1
OG0000113	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA	HMEL033908g1.t1
OG0000114	HEL_014390-RA	HMEL015510g1.t1
OG0000114	HEL_009880-RA, HEL_009885-RA	HMEL015513g1.t1, HMEL008318g1.t1
OG0000115	HEL_004784-RA	HMEL005318g1.t1
OG0000115	HEL_004783-RA	HMEL031335g1.t1
OG0000115	HEL_006264-RA	HMEL017991g1.t1
OG0000115	HEL_004779-RA	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1
OG0000116	HEL_000181-RA	HMEL017091g1.t1
OG0000116	HEL_010345-RA	HMEL037149g1.t1
OG0000116	HEL_010451-RA	HMEL013498g1.t1
OG0000117	HEL_013392-RA	HMEL033309g1.t1
OG0000117	HEL_013393-RA	HMEL033310g1.t1, HMEL002121g1.t1
OG0000120	HEL_001395-RA	HMEL031759g1.t1, HMEL017453g1.t1
OG0000120	HEL_005666-RA	HMEL036474g1.t1
OG0000120	HEL_013465-RA	HMEL032904g1.t1
OG0000120	HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA	HMEL033195g1.t1
OG0000124	HEL_012796-RA	HMEL011266g1.t1, HMEL032622g1.t1
OG0000124	HEL_012799-RA	HMEL022333g1.t1
OG0000124	HEL_000153-RA	HMEL017507g1.t1
OG0000125	HEL_008471-RA	HMEL003538g1.t1, HMEL030582g1.t1
OG0000125	HEL_008470-RA	HMEL013672g1.t1
OG0000128	HEL_014291-RA	HMEL032417g1.t1, HMEL032418g1.t1
OG0000128	HEL_014057-RA	HMEL007085g1.t1
OG0000128	HEL_014054-RA	HMEL032421g1.t1
OG0000129	HEL_003330-RA	HMEL014468g1.t1
OG0000131	HEL_004142-RA	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA
OG0000132	HEL_005216-RA, HEL_005214-RA	HMEL037933g1.t1
OG0000132	HEL_005223-RA	HMEL037932g1.t1
OG0000132	HEL_013799-RA, HEL_013798-RA	HMEL037936g1.t1, HMEL037935g1.t1
OG0000133	HEL_004130-RA	HMEL010958g1.t1
OG0000133	HEL_004133-RA	HMEL013253g1.t1
OG0000134	HEL_006876-RA	HMEL030656g1.t1
OG0000134	HEL_006825-RA	HMEL017157g1.t1
OG0000134	HEL_006873-RA	HMEL030654g1.t1
OG0000136	HEL_004124-RA	HMEL034103g1.t1
OG0000137	HEL_001691-RA	HMEL022251g1.t1, HMEL031217g1.t1, HMEL031219g1.t1, HMEL007394g1.t1
OG0000137	HEL_001689-RA	HMEL021457g1.t1, HMEL031218g1.t1
OG0000137	HEL_001690-RA	HMEL010316g1.t1
OG0000138	HEL_002292-RA	HMEL013861g1.t1
OG0000138	HEL_007640-RA	HMEL031800g1.t1, HMEL031799g1.t1
OG0000139	HEL_003606-RA	HMEL004636g1.t1
OG0000139	HEL_003604-RA	HMEL011830g1.t1
OG0000141	HEL_010839-RA, HEL_010838-RA	HMEL016237g1.t1
OG0000142	HEL_010081-RA	HMEL013887g1.t1
OG0000142	HEL_010082-RA	HMEL013886g1.t1
OG0000143	HEL_009892-RA, HEL_009894-RA	HMEL010202g1.t1
OG0000143	HEL_009926-RA, HEL_009927-RA	HMEL010201g1.t1
OG0000143	HEL_009925-RA	HMEL033259g1.t1
OG0000143	HEL_009924-RA	HMEL010205g1.t1
OG0000144	HEL_011567-RA	HMEL009988g1.t1
OG0000144	HEL_011566-RA, HEL_011571-RA, HEL_011570-RA, HEL_011569-RA, HEL_011568-RA	HMEL009987g1.t1
OG0000145	HEL_013443-RA	HMEL032724g1.t1
OG0000145	HEL_013444-RA, HEL_013445-RA	HMEL003259g1.t1
OG0000145	HEL_013441-RA	HMEL032772g1.t1, HMEL032723g1.t1
OG0000145	HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	HMEL032722g1.t1
OG0000147	HEL_007352-RA	HMEL022638g1.t1
OG0000147	HEL_007351-RA	HMEL036387g1.t1
OG0000147	HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	HMEL036388g1.t1
OG0000149	HEL_004261-RA, HEL_004262-RA	HMEL036082g1.t1
OG0000149	HEL_006023-RA	HMEL036986g1.t1
OG0000149	HEL_010669-RA	HMEL037096g1.t1
OG0000149	HEL_010670-RA	HMEL021224g1.t1
OG0000152	HEL_002887-RA	HMEL003035g1.t1
OG0000152	HEL_002885-RA	HMEL006925g1.t1
OG0000153	HEL_011504-RA, HEL_011498-RA, HEL_011499-RA	HMEL032690g1.t1
OG0000153	HEL_012802-RA	HMEL032639g1.t1, HMEL021463g1.t1
OG0000153	HEL_012804-RA	HMEL010053g1.t1
OG0000154	HEL_004718-RA	HMEL004219g1.t1
OG0000154	HEL_004720-RA	HMEL004220g1.t1
OG0000154	HEL_004722-RA	HMEL004221g1.t1, HMEL034516g1.t1
OG0000155	HEL_012311-RA, HEL_012316-RA	HMEL005263g1.t1
OG0000157	HEL_007312-RA	HMEL013807g1.t1
