Orthogroup	Heliconius_erato_lativitta	Junonia_coenia
OG0000024	HEL_010574-RA, HEL_010573-RA, HEL_003509-RA, HEL_003510-RA, HEL_003524-RA, HEL_003511-RA, HEL_003525-RA, HEL_003526-RA, HEL_003527-RA	JC_07383-RA, JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA, JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA, JC_07384-RA, JC_07386-RA
OG0000025	HEL_011319-RA	JC_16102-RA, JC_16101-RA
OG0000028	HEL_011818-RA, HEL_011811-RA	JC_16613-RA, JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA, JC_11032-RA, JC_10533-RA, JC_13235-RA, JC_10565-RA, JC_10564-RA, JC_16342-RA, JC_10532-RA, JC_10671-RA, JC_10530-RA, JC_10529-RA, JC_10531-RA
OG0000029	HEL_008275-RA	JC_05549-RA
OG0000029	HEL_001272-RA	JC_00248-RA, JC_00251-RA
OG0000030	HEL_009939-RA	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA
OG0000031	HEL_012127-RA	JC_07638-RA
OG0000032	HEL_003341-RA	JC_08098-RA
OG0000034	HEL_004513-RA	JC_02760-RA
OG0000034	HEL_003967-RA	JC_02342-RA
OG0000034	HEL_003973-RA	JC_02354-RA
OG0000034	HEL_003968-RA	JC_02348-RA, JC_02347-RA
OG0000036	HEL_008947-RA, HEL_010219-RA	JC_14663-RA
OG0000038	HEL_003342-RA	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA
OG0000038	HEL_003339-RA	JC_14539-RA
OG0000038	HEL_003345-RA, HEL_003332-RA, HEL_003350-RA, HEL_003331-RA	JC_14546-RA
OG0000039	HEL_002018-RA	JC_12161-RA
OG0000039	HEL_002013-RA	JC_12165-RA
OG0000039	HEL_006830-RA	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA
OG0000039	HEL_006829-RA	JC_12154-RA
OG0000041	HEL_014103-RA	JC_09842-RA
OG0000045	HEL_012373-RA	JC_06642-RA
OG0000045	HEL_010335-RA	JC_09127-RA
OG0000045	HEL_005377-RA	JC_15568-RA, JC_15572-RA
OG0000046	HEL_005348-RA	JC_05581-RA, JC_05583-RA
OG0000047	HEL_009610-RA	JC_01389-RA, JC_14874-RA, JC_07380-RA, JC_01597-RA, JC_05829-RA, JC_14875-RA, JC_05828-RA, JC_16797-RA, JC_16798-RA, JC_12703-RA, JC_01390-RA, JC_17223-RA
OG0000048	HEL_005970-RA	JC_13993-RA, JC_06674-RA, JC_00792-RA, JC_03644-RA, JC_03036-RA
OG0000049	HEL_008034-RA	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA
OG0000050	HEL_012554-RA	JC_10512-RA
OG0000050	HEL_012564-RA	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA
OG0000052	HEL_000724-RA	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA
OG0000053	HEL_006721-RA	JC_00970-RA
OG0000053	HEL_006720-RA	JC_00969-RA
OG0000053	HEL_006724-RA	JC_00971-RA
OG0000053	HEL_006725-RA	JC_00972-RA
OG0000054	HEL_003473-RA	JC_07335-RA
OG0000054	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA, HEL_003471-RA	JC_07330-RA
OG0000054	HEL_003470-RA	JC_07332-RA, JC_07331-RA
OG0000055	HEL_011387-RA	JC_03957-RA
OG0000055	HEL_007822-RA	JC_14448-RA
OG0000055	HEL_007824-RA	JC_14447-RA
OG0000055	HEL_010170-RA	JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA
OG0000055	HEL_008266-RA	JC_04975-RA
OG0000057	HEL_008127-RA, HEL_008126-RA	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	HEL_008125-RA	JC_10437-RA
OG0000057	HEL_007566-RA	JC_04526-RA, JC_04525-RA
OG0000060	HEL_007291-RA	JC_05724-RA
OG0000060	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA
OG0000061	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA	JC_03624-RA
OG0000061	HEL_014348-RA, HEL_014349-RA, HEL_010277-RA	JC_03621-RA
OG0000061	HEL_014346-RA	JC_03623-RA
OG0000062	HEL_000202-RA	JC_05075-RA
OG0000063	HEL_006297-RA	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000063	HEL_011544-RA	JC_05993-RA
OG0000066	HEL_002081-RA, HEL_002082-RA	JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA
OG0000067	HEL_006896-RA	JC_13669-RA
OG0000068	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA	JC_14221-RA
OG0000068	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA, HEL_004803-RA, HEL_004797-RA, HEL_004795-RA	JC_14218-RA
OG0000069	HEL_013143-RA	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA
OG0000069	HEL_013144-RA	JC_12057-RA, JC_14470-RA
OG0000071	HEL_009006-RA	JC_11424-RA
OG0000073	HEL_007878-RA	JC_09483-RA
OG0000073	HEL_008003-RA	JC_09579-RA
OG0000073	HEL_007997-RA	JC_09593-RA
OG0000073	HEL_007992-RA	JC_09587-RA
OG0000075	HEL_014328-RA, HEL_014331-RA	JC_03636-RA
OG0000075	HEL_014345-RA, HEL_014343-RA	JC_03615-RA, JC_03617-RA, JC_03616-RA
OG0000075	HEL_007561-RA	JC_03392-RA
OG0000077	HEL_013280-RA	JC_04601-RA
OG0000077	HEL_013279-RA	JC_04595-RA, JC_04596-RA
OG0000077	HEL_013282-RA	JC_04603-RA
OG0000077	HEL_013281-RA	JC_04602-RA
OG0000078	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA	JC_13524-RA, JC_13603-RA, JC_13604-RA
OG0000078	HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000079	HEL_010373-RA	JC_09170-RA
OG0000082	HEL_005977-RA	JC_15348-RA
OG0000082	HEL_005961-RA	JC_15353-RA
OG0000082	HEL_002182-RA	JC_15230-RA
OG0000083	HEL_011887-RA, HEL_011889-RA, HEL_011895-RA, HEL_011888-RA, HEL_011892-RA, HEL_011897-RA, HEL_011899-RA	JC_14785-RA, JC_14784-RA, JC_14786-RA
OG0000084	HEL_010679-RA	JC_09083-RA
OG0000084	HEL_010678-RA, HEL_010675-RA, HEL_010676-RA	JC_09063-RA
OG0000085	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA, HEL_005305-RA, HEL_005304-RA	JC_05545-RA, JC_05548-RA
OG0000087	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA, HEL_003935-RA, HEL_003930-RA, HEL_003927-RA, HEL_003941-RA, HEL_003938-RA, HEL_003937-RA, HEL_003936-RA	JC_02443-RA, JC_02442-RA, JC_02441-RA
OG0000087	HEL_003929-RA	JC_02439-RA
OG0000087	HEL_003926-RA	JC_02444-RA
OG0000088	HEL_013016-RA	JC_16432-RA
OG0000088	HEL_014145-RA, HEL_012840-RA	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000088	HEL_014142-RA	JC_09272-RA
OG0000090	HEL_007626-RA	JC_04442-RA, JC_04443-RA
OG0000093	HEL_005969-RA	JC_15360-RA
OG0000093	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA	JC_15358-RA
OG0000093	HEL_005971-RA	JC_15362-RA
OG0000093	HEL_005972-RA	JC_15363-RA
OG0000094	HEL_006926-RA	JC_13682-RA
OG0000095	HEL_001292-RA	JC_00267-RA, JC_00268-RA, JC_00271-RA
OG0000096	HEL_010167-RA	JC_09719-RA
OG0000096	HEL_010173-RA	JC_09720-RA
OG0000096	HEL_010165-RA	JC_09724-RA
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA
OG0000098	HEL_005540-RA	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA
OG0000100	HEL_005774-RA	JC_10664-RA
OG0000100	HEL_005770-RA, HEL_005771-RA	JC_10665-RA
OG0000100	HEL_005773-RA	JC_10663-RA
OG0000100	HEL_005776-RA	JC_10662-RA
OG0000100	HEL_005778-RA	JC_10658-RA
OG0000101	HEL_010134-RA, HEL_010133-RA	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	HEL_010138-RA	JC_05755-RA, JC_05761-RA
OG0000102	HEL_013146-RA	JC_14892-RA
OG0000102	HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA	JC_12066-RA, JC_14237-RA, JC_12068-RA
OG0000102	HEL_013147-RA	JC_12048-RA
OG0000103	HEL_008320-RA	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA
OG0000106	HEL_014493-RA	JC_16716-RA, JC_07290-RA
OG0000108	HEL_013515-RA	JC_03919-RA, JC_15130-RA, JC_03918-RA
OG0000109	HEL_012849-RA, HEL_012847-RA	JC_03001-RA
OG0000110	HEL_014554-RA	JC_12230-RA
OG0000110	HEL_014551-RA	JC_12228-RA
OG0000111	HEL_004223-RA	JC_06517-RA
OG0000111	HEL_000126-RA	JC_04966-RA
OG0000111	HEL_000128-RA	JC_04964-RA
OG0000113	HEL_011795-RA, HEL_011797-RA	JC_16665-RA
OG0000113	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA	JC_16657-RA, JC_02497-RA
OG0000114	HEL_014390-RA	JC_11661-RA
OG0000114	HEL_009880-RA, HEL_009885-RA	JC_11662-RA
OG0000115	HEL_004784-RA	JC_14206-RA
OG0000115	HEL_006264-RA	JC_09318-RA
OG0000115	HEL_004779-RA	JC_14203-RA
OG0000116	HEL_000181-RA	JC_05019-RA
OG0000116	HEL_010345-RA	JC_15737-RA, JC_09136-RA
OG0000117	HEL_013392-RA	JC_11736-RA, JC_11741-RA
OG0000117	HEL_013393-RA	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000119	HEL_005351-RA	JC_05588-RA
OG0000120	HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA	JC_13575-RA
OG0000120	HEL_011754-RA	JC_15154-RA
OG0000124	HEL_012796-RA	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	HEL_008471-RA	JC_13371-RA
OG0000125	HEL_008470-RA	JC_13370-RA, JC_13369-RA
OG0000127	HEL_013707-RA	JC_14093-RA
OG0000127	HEL_013706-RA	JC_14232-RA
OG0000128	HEL_014291-RA	JC_10255-RA
OG0000128	HEL_014057-RA	JC_10263-RA
OG0000128	HEL_014054-RA	JC_10261-RA
OG0000129	HEL_003330-RA, HEL_003340-RA	JC_14536-RA, JC_14538-RA
OG0000131	HEL_004142-RA	JC_03944-RA, JC_04373-RA, JC_03943-RA
OG0000132	HEL_005216-RA, HEL_005214-RA, HEL_005223-RA	JC_12328-RA, JC_12330-RA
OG0000132	HEL_013799-RA, HEL_013798-RA	JC_16594-RA, JC_12333-RA
OG0000133	HEL_004130-RA	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000133	HEL_004131-RA	JC_17073-RA, JC_17089-RA, JC_17090-RA, JC_10207-RA, JC_05046-RA, JC_13313-RA, JC_13314-RA, JC_13312-RA, JC_17109-RA, JC_17185-RA
OG0000133	HEL_004133-RA	JC_17034-RA, JC_17035-RA
OG0000134	HEL_006876-RA	JC_13643-RA
OG0000134	HEL_006825-RA	JC_13574-RA
OG0000134	HEL_006826-RA	JC_13639-RA
OG0000137	HEL_001689-RA	JC_00691-RA
OG0000138	HEL_002292-RA	JC_08004-RA
OG0000138	HEL_007640-RA	JC_04421-RA
OG0000139	HEL_003606-RA	JC_12415-RA, JC_12416-RA
OG0000139	HEL_003604-RA	JC_12412-RA
OG0000141	HEL_010839-RA, HEL_010838-RA	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA
OG0000142	HEL_010081-RA	JC_16336-RA, JC_16253-RA
OG0000142	HEL_010082-RA	JC_04999-RA, JC_04998-RA
OG0000143	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA	JC_11705-RA
OG0000143	HEL_009925-RA	JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	HEL_009924-RA	JC_11701-RA, JC_11700-RA
OG0000144	HEL_011567-RA	JC_05956-RA, JC_05955-RA
OG0000144	HEL_011569-RA, HEL_011568-RA	JC_05954-RA
OG0000145	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	JC_03183-RA, JC_03179-RA, JC_03180-RA, JC_03178-RA, JC_03177-RA
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000149	HEL_010670-RA	JC_09057-RA
OG0000152	HEL_002884-RA	JC_01150-RA
OG0000152	HEL_002887-RA	JC_01147-RA
OG0000152	HEL_002885-RA	JC_01149-RA
OG0000153	HEL_012803-RA	JC_02950-RA
OG0000154	HEL_004719-RA	JC_05850-RA, JC_05851-RA, JC_01364-RA
OG0000154	HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA
OG0000155	HEL_012311-RA, HEL_012316-RA	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000156	HEL_013568-RA	JC_10979-RA
OG0000156	HEL_013567-RA	JC_15886-RA
OG0000156	HEL_013569-RA	JC_10973-RA
OG0000157	HEL_007312-RA	JC_06612-RA, JC_11837-RA, JC_14009-RA, JC_16489-RA, JC_16620-RA, JC_12818-RA, JC_05707-RA, JC_07926-RA, JC_17098-RA, JC_13891-RA, JC_16905-RA, JC_13706-RA, JC_07992-RA, JC_16398-RA, JC_09892-RA, JC_01960-RA, JC_15646-RA, JC_12101-RA, JC_15198-RA, JC_14746-RA, JC_08528-RA, JC_14305-RA, JC_11908-RA, JC_13220-RA, JC_11293-RA, JC_14463-RA, JC_15390-RA, JC_05552-RA
OG0000162	HEL_008231-RA	JC_10317-RA, JC_10318-RA
OG0000162	HEL_008230-RA	JC_10314-RA
OG0000162	HEL_008233-RA, HEL_008232-RA	JC_10313-RA, JC_10316-RA
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA	JC_10213-RA
OG0000164	HEL_013352-RA	JC_16411-RA
OG0000165	HEL_014028-RA	JC_02470-RA, JC_02468-RA
OG0000166	HEL_009754-RA	JC_06064-RA
OG0000166	HEL_007219-RA, HEL_007218-RA	JC_05823-RA
OG0000167	HEL_011445-RA	JC_03065-RA
OG0000169	HEL_012759-RA	JC_09918-RA
OG0000169	HEL_012764-RA	JC_09912-RA
OG0000170	HEL_012927-RA	JC_05859-RA
OG0000171	HEL_006254-RA, HEL_006253-RA	JC_09304-RA
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	JC_09303-RA
OG0000174	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA, HEL_002710-RA	JC_01298-RA
OG0000174	HEL_002715-RA	JC_01295-RA
OG0000174	HEL_007174-RA	JC_02058-RA
OG0000175	HEL_005422-RA	JC_15584-RA
OG0000175	HEL_009048-RA	JC_03752-RA
OG0000175	HEL_003484-RA	JC_07347-RA
OG0000178	HEL_005387-RA	JC_15552-RA, JC_15551-RA
OG0000178	HEL_004641-RA	JC_15684-RA
OG0000180	HEL_007077-RA	JC_01798-RA
OG0000180	HEL_007079-RA, HEL_007078-RA	JC_01797-RA
OG0000181	HEL_008902-RA	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	HEL_012893-RA	JC_06575-RA, JC_06574-RA
OG0000183	HEL_012769-RA	JC_09899-RA
OG0000183	HEL_006620-RA	JC_00847-RA
OG0000183	HEL_003942-RA	JC_02435-RA
OG0000184	HEL_007564-RA	JC_04529-RA
OG0000184	HEL_004299-RA	JC_06432-RA
OG0000184	HEL_004298-RA	JC_06434-RA
OG0000185	HEL_011155-RA	JC_11317-RA
OG0000185	HEL_011156-RA	JC_11318-RA
OG0000185	HEL_011157-RA	JC_11319-RA
OG0000186	HEL_006287-RA, HEL_013685-RA	JC_16936-RA
OG0000187	HEL_010066-RA	JC_16384-RA
OG0000188	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA	JC_14936-RA
OG0000188	HEL_009328-RA	JC_14941-RA, JC_14942-RA, JC_14943-RA, JC_14940-RA
OG0000190	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA	JC_06617-RA
OG0000193	HEL_011020-RA, HEL_011022-RA	JC_06325-RA
OG0000196	HEL_002689-RA	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	HEL_001340-RA	JC_00320-RA
OG0000198	HEL_009068-RA	JC_03773-RA
OG0000198	HEL_009066-RA	JC_04209-RA
OG0000200	HEL_007531-RA, HEL_007530-RA	JC_03361-RA, JC_03362-RA
OG0000200	HEL_007527-RA	JC_03360-RA
OG0000201	HEL_001000-RA, HEL_001001-RA	JC_07060-RA
OG0000202	HEL_000095-RA, HEL_000097-RA, HEL_000092-RA, HEL_000093-RA, HEL_006532-RA, HEL_000094-RA	JC_04947-RA
OG0000202	HEL_000098-RA	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA
OG0000203	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA	JC_03487-RA
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	JC_16685-RA, JC_10718-RA, JC_16686-RA
OG0000209	HEL_000443-RA	JC_14043-RA
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	JC_07069-RA
OG0000210	HEL_007935-RA	JC_09537-RA
OG0000211	HEL_012798-RA	JC_09945-RA, JC_09936-RA, JC_09940-RA, JC_09948-RA, JC_09951-RA, JC_10156-RA
OG0000211	HEL_012800-RA	JC_09874-RA, JC_09952-RA, JC_09934-RA, JC_09901-RA, JC_09933-RA, JC_10155-RA, JC_09941-RA, JC_09943-RA, JC_09949-RA, JC_09939-RA, JC_09946-RA, JC_09935-RA, JC_09942-RA, JC_09947-RA
OG0000212	HEL_010933-RA	JC_05951-RA, JC_00130-RA
OG0000212	HEL_010932-RA	JC_04775-RA
OG0000212	HEL_010931-RA	JC_04773-RA
OG0000213	HEL_001448-RA	JC_00444-RA
OG0000213	HEL_001453-RA	JC_00447-RA
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	JC_09415-RA
OG0000215	HEL_008533-RA	JC_13463-RA
OG0000216	HEL_000005-RA	JC_04853-RA
OG0000217	HEL_006812-RA	JC_01085-RA
OG0000218	HEL_011596-RA	JC_04203-RA, JC_04202-RA, JC_04199-RA, JC_04200-RA, JC_04201-RA
OG0000219	HEL_008433-RA	JC_13344-RA
OG0000219	HEL_011520-RA	JC_03136-RA, JC_03132-RA
OG0000221	HEL_000182-RA	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA
OG0000221	HEL_000184-RA	JC_05015-RA, JC_05016-RA, JC_05042-RA
OG0000222	HEL_013041-RA	JC_16787-RA, JC_16688-RA
OG0000222	HEL_013040-RA	JC_16687-RA
OG0000224	HEL_011056-RA	JC_06261-RA
OG0000224	HEL_011061-RA	JC_06255-RA
