Orthogroup	Maniola_hyperantus	Heliconius_melpomene_melpomene
OG0000060	XP_034833409.1, XP_034833592.1	HMEL036359g1.t1, HMEL036361g1.t1, HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1
OG0000061	XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1	HMEL013738-RA, HMEL022441g1.t1
OG0000062	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1	HMEL003604g1.t1
OG0000063	XP_034826742.1	HMEL034759g1.t1
OG0000063	XP_034826743.1	HMEL034760g1.t1
OG0000063	XP_034830217.1	HMEL008897g1.t1
OG0000064	XP_034831574.1	HMEL009540g1.t1, HMEL036517g1.t1
OG0000066	XP_034836236.1, XP_034836076.1, XP_034836075.1	HMEL022604-RA, HMEL022648-RA, HMEL022651-RA, HMEL022542-RA, HMEL022625-RA, HMEL022664-RA
OG0000067	XP_034826553.1, XP_034825998.1	HMEL010779g1.t1, HMEL003229g1.t1
OG0000068	XP_034826565.1, XP_034826563.1	HMEL007507g1.t1, HMEL007505g1.t1, HMEL007506g1.t1, HMEL010997g1.t1, HMEL031347g1.t1, HMEL031344g1.t1, HMEL031346g1.t1
OG0000070	XP_034835112.1, XP_034825036.1	HMEL036665g1.t1
OG0000073	XP_034827345.1	HMEL012052g1.t1
OG0000073	XP_034827002.1	HMEL015732g1.t1
OG0000073	XP_034827001.1	HMEL015726g1.t1
OG0000075	XP_034830498.1	HMEL002852g1.t1
OG0000075	XP_034830943.1	HMEL032963g1.t1
OG0000075	XP_034830541.1	HMEL032798g1.t1, HMEL022365g1.t1
OG0000076	XP_034828827.1, XP_034838412.1, XP_034838763.1	HMEL037276g1.t1, HMEL002849g1.t1, HMEL016088g1.t1
OG0000076	XP_034838983.1	HMEL037286g1.t1, HMEL016073g1.t1, HMEL037285g1.t1, HMEL037282g1.t1, HMEL037284g1.t1, HMEL016075g1.t1, HMEL037277g1.t1
OG0000077	XP_034824575.1	HMEL020717g1.t1, HMEL031852g1.t1
OG0000078	XP_034827858.1, XP_034833688.1	HMEL010630g1.t1, HMEL030578g1.t1
OG0000079	XP_034830103.1, XP_034830100.1, XP_034830101.1	HMEL006318-RA, HMEL032049g1.t1, HMEL020697g1.t1, HMEL037179g1.t1
OG0000080	XP_034840379.1, XP_034837725.1, XP_034827807.1, XP_034831579.1, XP_034830025.1	HMEL036909g1.t1
OG0000082	XP_034837737.1	HMEL007401g1.t1
OG0000082	XP_034837495.1	HMEL030062g1.t1
OG0000082	XP_034837708.1	HMEL014537g1.t1
OG0000083	XP_034837077.1	HMEL013158g1.t1
OG0000083	XP_034837435.1, XP_034837073.1, XP_034837074.1	HMEL013160g1.t1, HMEL013159g1.t1
OG0000084	XP_034829605.1	HMEL015484g1.t1
OG0000088	XP_034838855.1	HMEL011526g1.t1
OG0000088	XP_034826751.1	HMEL003755g1.t1
OG0000090	XP_034824729.1	HMEL010419g1.t1
OG0000091	XP_034839852.1, XP_034835586.1	HMEL032269g1.t1, HMEL036279g1.t1, HMEL033634g1.t1, HMEL036045g1.t1
OG0000093	XP_034837580.1	HMEL006620g1.t1
OG0000093	XP_034837597.1	HMEL005989g1.t1
OG0000093	XP_034837561.1	HMEL003398g1.t1
OG0000094	XP_034826064.1, XP_034826549.1	HMEL015375g1.t1
OG0000094	XP_034826299.1, XP_034826552.1	HMEL030675g1.t1, HMEL010458g1.t1, HMEL003276g1.t1, HMEL003277g1.t1, HMEL010780g1.t1, HMEL003278g1.t1
OG0000095	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1	HMEL003312g1.t1
OG0000096	XP_034826970.1, XP_034826971.1	HMEL034898g1.t1, HMEL034900g1.t1, HMEL034901g1.t1
OG0000096	XP_034826805.1	HMEL006028g1.t1
OG0000096	XP_034826807.1, XP_034826966.1	HMEL034896g1.t1
OG0000097	XP_034832726.1	HMEL013001g1.t1, HMEL013003g1.t1, HMEL012997g1.t1, HMEL033632g1.t1
OG0000098	XP_034828987.1	HMEL034286g1.t1, HMEL034287g1.t1, HMEL034288g1.t1, HMEL010981g1.t1, HMEL034285g1.t1
OG0000100	XP_034834955.1	HMEL016056g1.t1
OG0000100	XP_034834638.1	HMEL016058g1.t1
OG0000101	XP_034833305.1, XP_034833572.1, XP_034833571.1	HMEL013064g1.t1, HMEL035350g1.t1
OG0000102	XP_034827509.1	HMEL003225g1.t1, HMEL038139g1.t1, HMEL033321g1.t1, HMEL033320g1.t1, HMEL011071g1.t1, HMEL011072g1.t1, HMEL033319g1.t1
OG0000102	XP_034827511.1, XP_034827504.1	HMEL003365g1.t1
OG0000103	XP_034827721.1	HMEL004144g1.t1
OG0000109	XP_034830617.1	HMEL007501g1.t1
OG0000110	XP_034827561.1	HMEL008603g1.t1
OG0000110	XP_034828311.1	HMEL008599g1.t1
OG0000111	XP_034828844.1	HMEL017867g1.t1
OG0000111	XP_034824587.1	HMEL016755g1.t1
OG0000112	XP_034824987.1	HMEL015804g1.t1
OG0000112	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1	HMEL015803g1.t1
OG0000113	XP_034838911.1	HMEL037320g1.t1, HMEL037318g1.t1
OG0000113	XP_034838915.1, XP_034838912.1, XP_034838914.1	HMEL037317g1.t1, HMEL037316g1.t1
OG0000114	XP_034827802.1, XP_034827577.1	HMEL015510g1.t1
OG0000115	XP_034825883.1	HMEL005318g1.t1
OG0000115	XP_034827053.1	HMEL017991g1.t1
OG0000115	XP_034825882.1	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1
OG0000116	XP_034824340.1	HMEL017091g1.t1
OG0000116	XP_034830236.1	HMEL037149g1.t1
OG0000116	XP_034837001.1	HMEL034503g1.t1
OG0000116	XP_034839409.1	HMEL013498g1.t1
OG0000117	XP_034828165.1, XP_034828164.1, XP_034828166.1	HMEL033309g1.t1
OG0000117	XP_034828156.1, XP_034828155.1	HMEL033310g1.t1, HMEL002121g1.t1
OG0000118	XP_034839973.1	HMEL034064g1.t1
OG0000122	XP_034830824.1	HMEL032771g1.t1
OG0000124	XP_034835580.1	HMEL011266g1.t1, HMEL032622g1.t1
OG0000124	XP_034835582.1	HMEL022333g1.t1, HMEL011270g1.t1
OG0000124	XP_034824366.1	HMEL017507g1.t1
OG0000125	XP_034825845.1, XP_034826126.1, XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1	HMEL003538g1.t1, HMEL030582g1.t1
OG0000125	XP_034825844.1, XP_034825846.1	HMEL013672g1.t1
OG0000128	XP_034835222.1	HMEL032417g1.t1, HMEL032418g1.t1
OG0000128	XP_034835626.1, XP_034835625.1	HMEL007085g1.t1
OG0000128	XP_034835270.1	HMEL032421g1.t1
OG0000131	XP_034837858.1, XP_034838212.1	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA
OG0000132	XP_034834241.1, XP_034833542.1	HMEL037936g1.t1, HMEL037935g1.t1
OG0000133	XP_034838137.1	HMEL010958g1.t1
OG0000134	XP_034825942.1	HMEL030656g1.t1
OG0000134	XP_034826234.1	HMEL017157g1.t1
OG0000134	XP_034825941.1	HMEL030654g1.t1
OG0000137	XP_034840849.1	HMEL021457g1.t1, HMEL031218g1.t1, HMEL010316g1.t1, HMEL031220g1.t1
OG0000138	XP_034840957.1, XP_034840968.1	HMEL013861g1.t1
OG0000138	XP_034823988.1, XP_034823996.1	HMEL013862g1.t1
OG0000138	XP_034824894.1	HMEL031800g1.t1, HMEL031799g1.t1
OG0000139	XP_034833832.1	HMEL004636g1.t1
OG0000139	XP_034835919.1	HMEL009670g1.t1
OG0000139	XP_034833962.1	HMEL011830g1.t1
OG0000140	XP_034836898.1	HMEL015840g1.t1
OG0000140	XP_034836751.1, XP_034836899.1, XP_034836915.1	HMEL015842g1.t1
OG0000141	XP_034829113.1, XP_034829114.1	HMEL016237g1.t1
OG0000142	XP_034827901.1	HMEL013887g1.t1
OG0000143	XP_034827819.1	HMEL010202g1.t1, HMEL010201g1.t1, HMEL033259g1.t1
OG0000143	XP_034827875.1, XP_034827552.1	HMEL010205g1.t1
OG0000144	XP_034833620.1, XP_034833621.1, XP_034833240.1	HMEL009988g1.t1, HMEL011225g1.t1
OG0000144	XP_034833202.1	HMEL009987g1.t1
OG0000145	XP_034830807.1, XP_034830804.1, XP_034830805.1, XP_034830806.1	HMEL032724g1.t1, HMEL003259g1.t1, HMEL032772g1.t1, HMEL032723g1.t1, HMEL032722g1.t1
OG0000147	XP_034833227.1, XP_034830230.1	HMEL022638g1.t1, HMEL036387g1.t1, HMEL036388g1.t1
OG0000149	XP_034828465.1	HMEL036082g1.t1
OG0000149	XP_034829851.1	HMEL036986g1.t1
OG0000149	XP_034829950.1	HMEL021224g1.t1
OG0000150	XP_034824833.1	HMEL032164g1.t1, HMEL030981g1.t1
OG0000150	XP_034839952.1	HMEL030115g1.t1
OG0000152	XP_034832206.1	HMEL006927g1.t1
OG0000152	XP_034833337.1	HMEL003035g1.t1
OG0000152	XP_034833675.1	HMEL006925g1.t1
OG0000153	XP_034830680.1	HMEL013104g1.t1
OG0000154	XP_034836981.1	HMEL004219g1.t1, HMEL004220g1.t1, HMEL004221g1.t1, HMEL034516g1.t1, HMEL034517g1.t1
OG0000155	XP_034836186.1	HMEL005263g1.t1
OG0000161	XP_034829418.1, XP_034836848.1, XP_034836538.1	HMEL037044g1.t1
OG0000162	XP_034835629.1, XP_034835505.1	HMEL003356g1.t1, HMEL032378g1.t1
OG0000162	XP_034835633.1	HMEL005452g1.t1
OG0000163	XP_034835691.1, XP_034835688.1	HMEL018122-RA
OG0000164	XP_034837112.1, XP_034827829.1	HMEL033303g1.t1, HMEL033302g1.t1
OG0000165	XP_034825550.1	HMEL011721g1.t1
OG0000166	XP_034833378.1	HMEL008383g1.t1
OG0000166	XP_034833554.1, XP_034833679.1, XP_034833555.1	HMEL017421g1.t1
OG0000167	XP_034830390.1	HMEL000014-RA
OG0000167	XP_034838582.1	HMEL037415g1.t1
OG0000168	XP_034824806.1	HMEL021925g1.t1
OG0000169	XP_034835310.1	HMEL032591g1.t1
OG0000169	XP_034835217.1	HMEL004510g1.t1
OG0000170	XP_034833424.1, XP_034833639.1	HMEL017463-RA
OG0000170	XP_034833640.1, XP_034833641.1	HMEL036559g1.t1, HMEL017464-RA
OG0000171	XP_034827023.1	HMEL022645-RA
OG0000171	XP_034827103.1	HMEL022639-RA, HMEL022630-RA, HMEL022665-RA
OG0000172	XP_034827882.1, XP_034827883.1	HMEL013270g1.t1, HMEL013271g1.t1, HMEL013269g1.t1
OG0000172	XP_034827884.1, XP_034827893.1	HMEL009605g1.t1
OG0000174	XP_034837309.1	HMEL030801g1.t1
OG0000174	XP_034839773.1	HMEL012849g1.t1
OG0000175	XP_034837022.1, XP_034837023.1	HMEL005257g1.t1
OG0000175	XP_034840446.1	HMEL012561g1.t1
OG0000178	XP_034836827.1	HMEL015563g1.t1
OG0000178	XP_034836823.1	HMEL016583g1.t1
OG0000179	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1	HMEL036395g1.t1
OG0000180	XP_034832218.1	HMEL033120g1.t1, HMEL016637g1.t1
OG0000181	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1	HMEL011701g1.t1
OG0000182	XP_034824717.1	HMEL020366g1.t1
OG0000183	XP_034835115.1	HMEL032597g1.t1
OG0000183	XP_034825260.1	HMEL033943g1.t1
OG0000184	XP_034824593.1	HMEL006332g1.t1
OG0000184	XP_034828820.1	HMEL036118g1.t1
OG0000184	XP_034828761.1	HMEL036099g1.t1
OG0000185	XP_034832652.1	HMEL010232-RA
OG0000185	XP_034832649.1	HMEL010229-RA
OG0000185	XP_034832653.1	HMEL010231-RA
OG0000185	XP_034832651.1	HMEL010230-RA
OG0000186	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1	HMEL002921g1.t1, HMEL034749g1.t1, HMEL005230g1.t1
OG0000187	XP_034827454.1	HMEL004546g1.t1
OG0000187	XP_034827784.1, XP_034827465.1	HMEL014245g1.t1
OG0000190	XP_034828878.1, XP_034828877.1	HMEL016174g1.t1, HMEL007082g1.t1, HMEL016175g1.t1, HMEL035941g1.t1, HMEL007083g1.t1
OG0000191	XP_034839817.1	HMEL016625g1.t1
OG0000193	XP_034828385.1	HMEL008370g1.t1
OG0000193	XP_034828838.1	HMEL036059g1.t1, HMEL036064g1.t1
OG0000193	XP_034828613.1	HMEL036060g1.t1
OG0000196	XP_034838645.1, XP_034833653.1, XP_034832774.1	HMEL005932-RA
OG0000197	XP_034835441.1, XP_034835445.1	HMEL030732g1.t1
OG0000197	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1	HMEL031066g1.t1
OG0000198	XP_034839995.1	HMEL012546g1.t1
OG0000199	XP_034839171.1, XP_034837850.1	HMEL034369g1.t1, HMEL010727g1.t1
OG0000200	XP_034830828.1	HMEL021720g1.t1, HMEL021722g1.t1
OG0000201	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1	HMEL013909g1.t1, HMEL037613g1.t1, HMEL037614g1.t1, HMEL013908g1.t1
OG0000202	XP_034824228.1, XP_034824229.1	HMEL007567-RA, HMEL007568-RA
OG0000203	XP_034830571.1	HMEL021464g1.t1, HMEL032854g1.t1
OG0000203	XP_034827127.1, XP_034827128.1	HMEL005910g1.t1
OG0000205	XP_034829187.1	HMEL034317g1.t1
OG0000205	XP_034826972.1, XP_034826958.1, XP_034826957.1	HMEL034318g1.t1, HMEL022419g1.t1
OG0000206	XP_034838830.1, XP_034839065.1	HMEL022646g1.t1, HMEL022529g1.t1, HMEL022534g1.t1, HMEL037240g1.t1, HMEL037239g1.t1, HMEL022660g1.t1, HMEL022666g1.t1
OG0000207	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1	HMEL020117g1.t1, HMEL036861g1.t1, HMEL036859g1.t1
OG0000208	XP_034841203.1, XP_034841212.1	HMEL030165g1.t1, HMEL030164g1.t1, HMEL015809g1.t1
OG0000208	XP_034831041.1	HMEL015808g1.t1, HMEL015811g1.t1
OG0000209	XP_034836601.1	HMEL010718g1.t1
OG0000209	XP_034831212.1	HMEL037626g1.t1
OG0000210	XP_034827061.1	HMEL003262g1.t1
OG0000212	XP_034824811.1	HMEL006013g1.t1
OG0000212	XP_034824810.1	HMEL006014g1.t1
OG0000212	XP_034824322.1	HMEL006012g1.t1
