Orthogroup	Maniola_hyperantus	Bicyclus_anynana
OG0000019	XP_034824469.1	Bany_12599-RA, Bany_12465-RA, Bany_00014-RA, Bany_12600-RA, Bany_16259-RA, Bany_16338-RA, Bany_16344-RA, Bany_16159-RA, Bany_06732-RA, Bany_12615-RA, Bany_12617-RA, Bany_12956-RA, Bany_12943-RA, Bany_12942-RA, Bany_14960-RA, Bany_16158-RA, Bany_16067-RA, Bany_16155-RA, Bany_16168-RA, Bany_16154-RA, Bany_16275-RA, Bany_12564-RA, Bany_12509-RA, Bany_12569-RA, Bany_12518-RA, Bany_12515-RA, Bany_12511-RA, Bany_16404-RA, Bany_16336-RA, Bany_12604-RA, Bany_16324-RA, Bany_12651-RA, Bany_12650-RA, Bany_12619-RA, Bany_12563-RA, Bany_16353-RA, Bany_17487-RA, Bany_16321-RA, Bany_16320-RA, Bany_02750-RA, Bany_08880-RA, Bany_16161-RA, Bany_16066-RA, Bany_08420-RA, Bany_17817-RA, Bany_16352-RA, Bany_16068-RA, Bany_12508-RA, Bany_12461-RA, Bany_16152-RA, Bany_16153-RA, Bany_16151-RA, Bany_12543-RA, Bany_12513-RA, Bany_12496-RA, Bany_12512-RA, Bany_12514-RA, Bany_12570-RA, Bany_12608-RA, Bany_13449-RA, Bany_12618-RA, Bany_12799-RA, Bany_16277-RA, Bany_16276-RA, Bany_12562-RA, Bany_08937-RA, Bany_15553-RA, Bany_11475-RA, Bany_16160-RA, Bany_09711-RA, Bany_12601-RA, Bany_12610-RA, Bany_12950-RA, Bany_12945-RA
OG0000019	XP_034838037.1	Bany_12595-RA
OG0000020	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1	Bany_12772-RA
OG0000020	XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1	Bany_17011-RA
OG0000021	XP_034840374.1, XP_034826551.1, XP_034824262.1, XP_034830007.1	Bany_12775-RA
OG0000022	XP_034840993.1	Bany_00839-RA
OG0000022	XP_034839051.1	Bany_16283-RA
OG0000022	XP_034836910.1	Bany_17573-RA
OG0000022	XP_034826667.1	Bany_01873-RA, Bany_00842-RA, Bany_01876-RA, Bany_01804-RA, Bany_16373-RA
OG0000023	XP_034829849.1, XP_034824601.1, XP_034835749.1, XP_034826779.1	Bany_10369-RA, Bany_10129-RA
OG0000024	XP_034831723.1	Bany_07225-RA, Bany_07782-RA
OG0000025	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA
OG0000025	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000028	XP_034826918.1, XP_034826917.1	Bany_14270-RA, Bany_14337-RA
OG0000028	XP_034834764.1, XP_034834919.1, XP_034834728.1	Bany_14336-RA
OG0000028	XP_034834730.1, XP_034834731.1	Bany_14338-RA, Bany_14339-RA
OG0000028	XP_034830316.1	Bany_07987-RA
OG0000028	XP_034828236.1	Bany_01182-RA
OG0000029	XP_034827860.1	Bany_01625-RA
OG0000029	XP_034827780.1, XP_034827861.1, XP_034827854.1	Bany_01626-RA
OG0000029	XP_034841164.1	Bany_00663-RA, Bany_00664-RA
OG0000031	XP_034832420.1	Bany_03256-RA
OG0000032	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1	Bany_00996-RA
OG0000032	XP_034837854.1	Bany_08618-RA, Bany_04078-RA, Bany_12187-RA, Bany_05278-RA
OG0000032	XP_034832603.1	Bany_08457-RA, Bany_05258-RA, Bany_05674-RA
OG0000032	XP_034839638.1	Bany_14909-RA, Bany_07405-RA
OG0000032	XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1	Bany_12629-RA
OG0000034	XP_034825411.1	Bany_05845-RA
OG0000034	XP_034825410.1, XP_034825408.1, XP_034825409.1	Bany_05846-RA, Bany_05861-RA
OG0000034	XP_034825541.1	Bany_05253-RA
OG0000034	XP_034825327.1, XP_034825329.1, XP_034825328.1	Bany_05243-RA
OG0000034	XP_034825435.1	Bany_05248-RA
OG0000036	XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	XP_034826459.1	Bany_01919-RA
OG0000038	XP_034826458.1, XP_034826457.1	Bany_01918-RA
OG0000039	XP_034826947.1, XP_034826946.1, XP_034827797.1, XP_034827541.1, XP_034827538.1	Bany_05944-RA, Bany_05945-RA
OG0000039	XP_034827798.1	Bany_01125-RA
OG0000039	XP_034827544.1	Bany_01356-RA
OG0000041	XP_034835173.1	Bany_11570-RA
OG0000041	XP_034826640.1	Bany_02601-RA
OG0000041	XP_034826639.1	Bany_02598-RA, Bany_02599-RA
OG0000041	XP_034826636.1, XP_034826637.1, XP_034826638.1	Bany_02600-RA
OG0000041	XP_034826598.1	Bany_02401-RA
OG0000041	XP_034826593.1	Bany_02400-RA
OG0000042	XP_034838869.1, XP_034838771.1, XP_034837829.1, XP_034837830.1, XP_034837848.1, XP_034841248.1, XP_034837860.1, XP_034838392.1, XP_034838162.1, XP_034837827.1, XP_034837846.1, XP_034834197.1, XP_034837823.1, XP_034839101.1, XP_034838762.1, XP_034826546.1, XP_034837817.1, XP_034837842.1, XP_034838171.1, XP_034838797.1, XP_034838796.1, XP_034836850.1, XP_034837838.1, XP_034836298.1, XP_034838376.1, XP_034838066.1, XP_034835715.1, XP_034839078.1, XP_034838048.1, XP_034838049.1, XP_034838237.1, XP_034834257.1, XP_034838868.1, XP_034837845.1, XP_034838766.1, XP_034837826.1, XP_034838769.1, XP_034838770.1, XP_034838768.1, XP_034838836.1, XP_034840357.1, XP_034838035.1, XP_034838837.1, XP_034838801.1, XP_034839082.1, XP_034837729.1, XP_034837902.1	Bany_03342-RA, Bany_07772-RA
OG0000046	XP_034829217.1, XP_034829227.1	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA
OG0000046	XP_034829489.1	Bany_15459-RA
OG0000046	XP_034829216.1, XP_034829229.1, XP_034829491.1, XP_034829490.1	Bany_15457-RA, Bany_15458-RA
OG0000046	XP_034829488.1	Bany_15460-RA
OG0000046	XP_034829219.1	Bany_15455-RA
OG0000047	XP_034832109.1, XP_034833557.1	Bany_12867-RA
OG0000047	XP_034839860.1, XP_034833612.1, XP_034833012.1, XP_034839910.1, XP_034840761.1, XP_034833610.1, XP_034836199.1, XP_034827777.1, XP_034840350.1, XP_034824778.1, XP_034839645.1, XP_034826550.1, XP_034833626.1, XP_034838846.1, XP_034840396.1, XP_034834203.1, XP_034840351.1, XP_034827765.1, XP_034834211.1, XP_034828875.1, XP_034831595.1, XP_034824162.1, XP_034824780.1, XP_034831554.1, XP_034827957.1, XP_034840721.1, XP_034839416.1, XP_034838794.1, XP_034840397.1, XP_034827766.1, XP_034834204.1, XP_034833613.1, XP_034836225.1, XP_034833011.1	Bany_13545-RA
OG0000048	XP_034824744.1	Bany_12304-RA, Bany_12164-RA
OG0000049	XP_034826808.1	Bany_06008-RA
OG0000049	XP_034826796.1	Bany_05882-RA
OG0000049	XP_034826810.1	Bany_05877-RA
OG0000050	XP_034834927.1	Bany_14319-RA
OG0000051	XP_034834488.1, XP_034837258.1, XP_034835262.1, XP_034826426.1, XP_034824767.1, XP_034837020.1, XP_034825016.1, XP_034835754.1, XP_034829126.1, XP_034826839.1, XP_034825891.1, XP_034837628.1, XP_034839452.1, XP_034838312.1, XP_034837949.1, XP_034839757.1, XP_034829819.1	Bany_12773-RA, Bany_02443-RA, Bany_02332-RA
OG0000053	XP_034836880.1	Bany_05073-RA
OG0000053	XP_034836873.1	Bany_05075-RA
OG0000053	XP_034836863.1	Bany_05076-RA
OG0000054	XP_034831832.1	Bany_08678-RA
OG0000054	XP_034832263.1, XP_034832264.1	Bany_08681-RA
OG0000054	XP_034826915.1, XP_034832271.1	Bany_08680-RA
OG0000056	XP_034837121.1	Bany_17818-RA
OG0000056	XP_034837196.1	Bany_17808-RA, Bany_17810-RA
OG0000056	XP_034837120.1	Bany_17809-RA
OG0000057	XP_034835052.1	Bany_11764-RA
OG0000057	XP_034824341.1, XP_034824712.1	Bany_10000-RA
OG0000058	XP_034826643.1, XP_034830106.1	Bany_10778-RA
OG0000058	XP_034834921.1, XP_034826968.1	Bany_05192-RA, Bany_00871-RA
OG0000059	XP_034834965.1, XP_034833954.1	Bany_07470-RA
OG0000059	XP_034837745.1, XP_034824105.1, XP_034833449.1, XP_034830253.1, XP_034834958.1	Bany_10761-RA
OG0000060	XP_034833415.1	Bany_15282-RA
OG0000060	XP_034833409.1, XP_034833592.1	Bany_15285-RA, Bany_15284-RA, Bany_15425-RA, Bany_15281-RA, Bany_15283-RA
OG0000062	XP_034824319.1	Bany_10506-RA
OG0000062	XP_034838466.1	Bany_06854-RA
OG0000062	XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1	Bany_15127-RA
OG0000063	XP_034826742.1	Bany_06319-RA
OG0000063	XP_034830217.1	Bany_12190-RA
OG0000064	XP_034831574.1	Bany_03190-RA, Bany_11765-RA
OG0000066	XP_034836237.1	Bany_17013-RA
OG0000066	XP_034836074.1	Bany_17016-RA
OG0000066	XP_034836236.1, XP_034836076.1, XP_034836075.1	Bany_17015-RA
OG0000067	XP_034826553.1, XP_034825998.1	Bany_02338-RA
OG0000067	XP_034836359.1	Bany_16557-RA
OG0000067	XP_034836360.1	Bany_16558-RA, Bany_06790-RA
OG0000067	XP_034836439.1	Bany_16552-RA
OG0000068	XP_034826565.1	Bany_02228-RA
OG0000068	XP_034826563.1	Bany_02226-RA
OG0000069	XP_034827836.1, XP_034827837.1	Bany_01516-RA, Bany_01517-RA, Bany_01518-RA
OG0000069	XP_034827503.1	Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA
OG0000071	XP_034832601.1	Bany_13125-RA
OG0000073	XP_034827345.1	Bany_06221-RA
OG0000073	XP_034827002.1	Bany_06084-RA
OG0000073	XP_034827051.1	Bany_06082-RA
OG0000073	XP_034827001.1	Bany_06075-RA
OG0000075	XP_034830498.1	Bany_07998-RA
OG0000075	XP_034830943.1	Bany_08015-RA
OG0000075	XP_034830541.1	Bany_08220-RA
OG0000076	XP_034828827.1, XP_034838412.1	Bany_10910-RA
OG0000076	XP_034838763.1	Bany_16165-RA
OG0000076	XP_034838983.1	Bany_16171-RA, Bany_16169-RA
OG0000077	XP_034824753.1	Bany_10084-RA
OG0000078	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1	Bany_01615-RA
OG0000078	XP_034827858.1, XP_034833688.1	Bany_02387-RA, Bany_01616-RA
OG0000079	XP_034830103.1	Bany_12431-RA
OG0000079	XP_034830100.1, XP_034830101.1	Bany_12432-RA
OG0000080	XP_034840379.1	Bany_17050-RA, Bany_16270-RA
OG0000080	XP_034837725.1	Bany_11430-RA, Bany_10988-RA, Bany_17695-RA, Bany_15621-RA, Bany_06228-RA, Bany_12336-RA, Bany_06231-RA
OG0000080	XP_034827807.1, XP_034831579.1, XP_034830025.1	Bany_04332-RA, Bany_15063-RA, Bany_00139-RA, Bany_00782-RA, Bany_04529-RA
OG0000080	XP_034830021.1	Bany_15429-RA, Bany_08357-RA, Bany_02557-RA, Bany_12245-RA, Bany_08358-RA
OG0000081	XP_034839847.1, XP_034825621.1	Bany_08031-RA, Bany_18134-RA, Bany_17508-RA, Bany_13965-RA, Bany_07436-RA
OG0000081	XP_034831557.1	Bany_16193-RA
OG0000081	XP_034832758.1	Bany_08667-RA
OG0000082	XP_034837737.1	Bany_06988-RA
OG0000082	XP_034837493.1	Bany_06983-RA
OG0000082	XP_034837708.1	Bany_06548-RA
OG0000082	XP_034837588.1	Bany_06547-RA
OG0000083	XP_034837073.1	Bany_18006-RA
OG0000083	XP_034837074.1	Bany_18005-RA, Bany_18004-RA
OG0000084	XP_034829605.1	Bany_12323-RA, Bany_12325-RA
OG0000084	XP_034830082.1	Bany_12321-RA
OG0000084	XP_034827859.1	Bany_12318-RA
OG0000085	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000088	XP_034838855.1	Bany_16383-RA
OG0000088	XP_034826751.1	Bany_06437-RA
OG0000090	XP_034824728.1	Bany_09928-RA, Bany_09929-RA
OG0000090	XP_034824736.1, XP_034824738.1, XP_034824737.1, XP_034824740.1, XP_034824739.1	Bany_09926-RA, Bany_09927-RA, Bany_11038-RA, Bany_15880-RA, Bany_09933-RA, Bany_09930-RA, Bany_17936-RA, Bany_17933-RA, Bany_17935-RA, Bany_09932-RA, Bany_08771-RA, Bany_09931-RA
OG0000091	XP_034839852.1, XP_034835586.1	Bany_10128-RA
OG0000092	XP_034830971.1	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA
OG0000093	XP_034837580.1	Bany_07027-RA
OG0000093	XP_034837597.1	Bany_06973-RA, Bany_06974-RA
OG0000093	XP_034837561.1	Bany_07030-RA, Bany_07031-RA
OG0000094	XP_034826064.1, XP_034826549.1	Bany_02330-RA
OG0000094	XP_034826299.1, XP_034826552.1	Bany_02336-RA, Bany_02337-RA
OG0000095	XP_034841054.1	Bany_00651-RA
OG0000095	XP_034824157.1	Bany_00642-RA
OG0000095	XP_034824154.1, XP_034824155.1	Bany_00643-RA
OG0000096	XP_034826970.1, XP_034826971.1	Bany_05878-RA
OG0000096	XP_034826805.1	Bany_05883-RA
OG0000096	XP_034826807.1, XP_034826966.1	Bany_05880-RA
OG0000097	XP_034832726.1	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	XP_034828987.1	Bany_15791-RA
OG0000098	XP_034828986.1	Bany_15790-RA
OG0000098	XP_034829450.1	Bany_15793-RA, Bany_15792-RA
OG0000099	XP_034824329.1, XP_034833457.1, XP_034836471.1, XP_034829001.1, XP_034838105.1, XP_034840173.1	Bany_12826-RA
OG0000100	XP_034834955.1	Bany_14506-RA
OG0000100	XP_034834638.1	Bany_14503-RA
OG0000101	XP_034833305.1, XP_034833572.1, XP_034833571.1	Bany_15315-RA
OG0000101	XP_034833313.1	Bany_15313-RA
OG0000102	XP_034827511.1	Bany_01509-RA
OG0000102	XP_034827504.1	Bany_01511-RA
OG0000103	XP_034827721.1	Bany_01667-RA
OG0000108	XP_034839890.1, XP_034837747.1	Bany_04119-RA, Bany_10373-RA
OG0000109	XP_034830263.1	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA
OG0000109	XP_034830617.1	Bany_08600-RA
OG0000109	XP_034830465.1	Bany_11580-RA, Bany_08603-RA, Bany_08602-RA
OG0000110	XP_034828312.1	Bany_01227-RA, Bany_01228-RA
OG0000110	XP_034827561.1	Bany_01226-RA, Bany_01225-RA
OG0000110	XP_034828311.1	Bany_01235-RA
OG0000111	XP_034828844.1	Bany_10939-RA
OG0000111	XP_034824587.1	Bany_10437-RA
OG0000111	XP_034824419.1	Bany_10438-RA
OG0000112	XP_034824987.1	Bany_03560-RA
OG0000112	XP_034824550.1, XP_034825377.1	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA
OG0000112	XP_034841192.1, XP_034825391.1	Bany_03559-RA
OG0000113	XP_034838911.1	Bany_15687-RA
OG0000113	XP_034838915.1, XP_034838912.1, XP_034838914.1	Bany_16241-RA
OG0000114	XP_034827802.1	Bany_01261-RA
OG0000114	XP_034827577.1	Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA
OG0000115	XP_034825883.1	Bany_02238-RA
OG0000115	XP_034827053.1	Bany_06385-RA
OG0000115	XP_034825882.1	Bany_02241-RA
OG0000116	XP_034824340.1	Bany_10490-RA
OG0000116	XP_034837001.1	Bany_17622-RA
OG0000116	XP_034839409.1	Bany_07549-RA
OG0000117	XP_034828165.1, XP_034828164.1, XP_034828166.1	Bany_01550-RA
OG0000117	XP_034828156.1	Bany_01549-RA
OG0000117	XP_034828155.1	Bany_01548-RA
OG0000118	XP_034839973.1	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA, Bany_02158-RA
OG0000119	XP_034828935.1, XP_034829499.1, XP_034828938.1, XP_034829497.1, XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1	Bany_15451-RA
OG0000121	XP_034832172.1, XP_034830525.1, XP_034836442.1, XP_034837938.1, XP_034833715.1, XP_034838216.1, XP_034828034.1, XP_034838257.1, XP_034838160.1, XP_034825571.1, XP_034836400.1	Bany_00150-RA
OG0000122	XP_034830824.1	Bany_08302-RA
OG0000122	XP_034837883.1, XP_034825562.1, XP_034824123.1	Bany_01640-RA, Bany_17292-RA
OG0000124	XP_034835580.1	Bany_11544-RA, Bany_11546-RA
OG0000124	XP_034835582.1	Bany_11548-RA
OG0000124	XP_034824366.1	Bany_10467-RA, Bany_10468-RA
OG0000125	XP_034825845.1	Bany_02581-RA
OG0000125	XP_034826126.1	Bany_02575-RA
OG0000125	XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1	Bany_02578-RA
OG0000125	XP_034825844.1, XP_034825846.1	Bany_02582-RA
OG0000128	XP_034835222.1	Bany_11636-RA
OG0000128	XP_034835626.1, XP_034835625.1	Bany_11151-RA
OG0000128	XP_034835270.1	Bany_11631-RA
OG0000129	XP_034826356.1	Bany_03707-RA
OG0000129	XP_034826461.1	Bany_01921-RA
OG0000129	XP_034826467.1	Bany_03708-RA
OG0000131	XP_034837858.1, XP_034838212.1	Bany_12626-RA
OG0000132	XP_034834282.1	Bany_09628-RA
OG0000132	XP_034834241.1	Bany_15311-RA
OG0000132	XP_034833542.1	Bany_08048-RA
OG0000133	XP_034838137.1	Bany_12678-RA
OG0000134	XP_034825942.1	Bany_02357-RA
OG0000134	XP_034826234.1	Bany_02392-RA
OG0000134	XP_034825941.1	Bany_02358-RA
OG0000136	XP_034827804.1	Bany_01047-RA, Bany_14442-RA, Bany_15430-RA
OG0000137	XP_034840854.1	Bany_00008-RA
OG0000137	XP_034840849.1	Bany_15166-RA, Bany_00005-RA
OG0000138	XP_034840957.1, XP_034840968.1	Bany_03566-RA
OG0000138	XP_034824894.1	Bany_09914-RA
OG0000139	XP_034833832.1	Bany_09402-RA
OG0000139	XP_034835919.1	Bany_17102-RA
OG0000139	XP_034833962.1	Bany_09407-RA
OG0000140	XP_034836898.1	Bany_17563-RA
OG0000140	XP_034836751.1	Bany_17491-RA
OG0000140	XP_034836899.1	Bany_17568-RA
OG0000140	XP_034836915.1	Bany_17569-RA
OG0000141	XP_034829113.1, XP_034829114.1	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	XP_034827901.1	Bany_01108-RA
OG0000142	XP_034827778.1	Bany_01116-RA
OG0000142	XP_034827898.1	Bany_01110-RA
OG0000143	XP_034827819.1	Bany_01334-RA
OG0000143	XP_034827875.1	Bany_01332-RA
OG0000143	XP_034827552.1	Bany_01256-RA
OG0000144	XP_034833620.1, XP_034833621.1	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA
OG0000144	XP_034833202.1	Bany_15148-RA
OG0000145	XP_034830805.1	Bany_08426-RA
OG0000145	XP_034830806.1	Bany_08427-RA
OG0000147	XP_034833227.1, XP_034830230.1	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000149	XP_034828465.1	Bany_10899-RA
OG0000149	XP_034829851.1	Bany_11924-RA
OG0000149	XP_034829950.1	Bany_12305-RA
OG0000150	XP_034824833.1	Bany_15649-RA
OG0000150	XP_034839952.1	Bany_15123-RA, Bany_05527-RA
OG0000152	XP_034832206.1	Bany_04680-RA
OG0000152	XP_034833337.1	Bany_04673-RA
OG0000152	XP_034833675.1	Bany_04678-RA
OG0000153	XP_034830680.1	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	XP_034836981.1	Bany_17666-RA, Bany_17667-RA
OG0000155	XP_034836190.1	Bany_17353-RA
OG0000155	XP_034836186.1	Bany_17351-RA, Bany_17350-RA
OG0000155	XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1	Bany_17354-RA
OG0000156	XP_034835010.1	Bany_14780-RA, Bany_14779-RA
OG0000161	XP_034829418.1, XP_034836848.1, XP_034836538.1	Bany_01352-RA, Bany_01349-RA, Bany_12613-RA, Bany_18162-RA
OG0000162	XP_034835629.1, XP_034835505.1	Bany_11202-RA, Bany_11201-RA
OG0000162	XP_034835633.1	Bany_11203-RA
OG0000163	XP_034835691.1, XP_034835688.1	Bany_11267-RA
OG0000164	XP_034827405.1	Bany_01420-RA
OG0000164	XP_034837112.1	Bany_17803-RA
OG0000164	XP_034827829.1	Bany_01418-RA
OG0000165	XP_034825736.1	Bany_05348-RA, Bany_05345-RA
OG0000166	XP_034833378.1	Bany_15015-RA
OG0000166	XP_034833554.1, XP_034833679.1, XP_034833555.1	Bany_15344-RA
OG0000167	XP_034830390.1	Bany_08543-RA
OG0000167	XP_034838582.1	Bany_06853-RA
OG0000168	XP_034824806.1	Bany_10238-RA
OG0000169	XP_034835310.1	Bany_11620-RA
OG0000169	XP_034835217.1	Bany_11622-RA
OG0000169	XP_034835563.1	Bany_11612-RA
OG0000170	XP_034833424.1, XP_034833639.1	Bany_15232-RA
OG0000170	XP_034833640.1, XP_034833641.1	Bany_15234-RA, Bany_15233-RA
OG0000171	XP_034827023.1	Bany_06399-RA
OG0000171	XP_034827103.1	Bany_06401-RA
OG0000172	XP_034827882.1, XP_034827883.1	Bany_01720-RA
OG0000172	XP_034827884.1	Bany_01725-RA, Bany_01726-RA
OG0000172	XP_034827893.1	Bany_01776-RA
OG0000174	XP_034837309.1	Bany_04844-RA, Bany_18126-RA
OG0000174	XP_034839773.1	Bany_07483-RA
OG0000175	XP_034837022.1, XP_034837023.1	Bany_17401-RA
OG0000175	XP_034840446.1	Bany_02772-RA
OG0000175	XP_034832261.1	Bany_07033-RA
OG0000177	XP_034838147.1, XP_034839386.1	Bany_14912-RA, Bany_02577-RA
OG0000178	XP_034836827.1	Bany_17428-RA
OG0000178	XP_034836823.1	Bany_17535-RA
OG0000180	XP_034832218.1	Bany_09947-RA, Bany_07642-RA
OG0000181	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	XP_034824717.1	Bany_11087-RA, Bany_09984-RA
OG0000183	XP_034835115.1	Bany_11605-RA
OG0000183	XP_034825260.1	Bany_05295-RA
OG0000184	XP_034824593.1	Bany_10003-RA
OG0000184	XP_034828820.1	Bany_10868-RA
OG0000184	XP_034828761.1	Bany_10869-RA
OG0000185	XP_034832652.1	Bany_13249-RA
OG0000185	XP_034832653.1	Bany_13248-RA
OG0000185	XP_034832651.1	Bany_13247-RA
OG0000186	XP_034840943.1, XP_034838308.1, XP_034838309.1	Bany_12933-RA, Bany_12934-RA
OG0000186	XP_034838306.1	Bany_12932-RA
OG0000186	XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1	Bany_17541-RA, Bany_17540-RA
OG0000187	XP_034827454.1	Bany_01200-RA
