Orthogroup	Maniola_hyperantus	Danaus_plexippus
OG0000028	XP_034826918.1, XP_034826917.1, XP_034834764.1, XP_034834919.1, XP_034834728.1, XP_034834729.1, XP_034834730.1, XP_034834731.1, XP_034830316.1, XP_034828236.1	DPOGS205336-PA
OG0000031	XP_034832420.1	DPOGS212301-PA
OG0000032	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1, XP_034837854.1, XP_034832603.1, XP_034839638.1, XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1	DPOGS200472-PA
OG0000034	XP_034825265.1	DPOGS205641-PA
OG0000034	XP_034825411.1	DPOGS205642-PA
OG0000034	XP_034825410.1, XP_034825408.1, XP_034825409.1	DPOGS205643-PA
OG0000034	XP_034825541.1	DPOGS202647-PA
OG0000034	XP_034825327.1, XP_034825329.1, XP_034825328.1	DPOGS202676-PA
OG0000034	XP_034825435.1	DPOGS202644-PA
OG0000036	XP_034836753.1, XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1	DPOGS213885-PA
OG0000038	XP_034826459.1, XP_034826460.1, XP_034826458.1, XP_034826457.1	DPOGS214966-PA
OG0000039	XP_034827544.1	DPOGS201794-PA, DPOGS201792-PA
OG0000040	XP_034828815.1, XP_034837060.1, XP_034833564.1, XP_034837813.1, XP_034837824.1, XP_034836883.1, XP_034840797.1, XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1, XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1	DPOGS211359-PA
OG0000041	XP_034835173.1	DPOGS210496-PA
OG0000041	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1	DPOGS206520-PA
OG0000041	XP_034826600.1	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA
OG0000045	XP_034828902.1	DPOGS210702-PA, DPOGS210700-PA
OG0000045	XP_034838919.1	DPOGS210663-PA
OG0000045	XP_034830124.1	DPOGS210250-PA
OG0000045	XP_034838349.1	DPOGS210048-PA
OG0000045	XP_034837040.1	DPOGS213925-PA, DPOGS213901-PA
OG0000046	XP_034829226.1	DPOGS209145-PA
OG0000046	XP_034829217.1, XP_034829227.1	DPOGS209144-PA
OG0000046	XP_034829219.1, XP_034829225.1	DPOGS209146-PA
OG0000049	XP_034826808.1, XP_034826796.1, XP_034826810.1, XP_034827036.1	DPOGS201061-PA
OG0000050	XP_034834926.1	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000053	XP_034836880.1	DPOGS201540-PA
OG0000053	XP_034836873.1	DPOGS201419-PA
OG0000053	XP_034836855.1, XP_034836849.1	DPOGS201422-PA
OG0000053	XP_034836907.1	DPOGS201421-PA
OG0000053	XP_034836863.1	DPOGS201423-PA
OG0000054	XP_034831832.1	DPOGS201193-PA
OG0000054	XP_034832273.1	DPOGS201191-PA, DPOGS201192-PA
OG0000054	XP_034832263.1, XP_034832264.1	DPOGS201177-PA
OG0000054	XP_034826915.1, XP_034832271.1	DPOGS201176-PA, DPOGS201175-PA
OG0000056	XP_034837121.1	DPOGS210281-PA
OG0000057	XP_034835052.1	DPOGS209909-PA
OG0000057	XP_034824341.1, XP_034824712.1	DPOGS209997-PA
OG0000060	XP_034833415.1	DPOGS208010-PA, DPOGS208061-PA
OG0000060	XP_034833409.1, XP_034833592.1	DPOGS200035-PA, DPOGS208060-PA
OG0000061	XP_034830407.1, XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1	DPOGS201160-PA
OG0000062	XP_034824319.1	DPOGS202468-PA, DPOGS202469-PA
OG0000062	XP_034838466.1	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA
OG0000062	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1	DPOGS207201-PA
OG0000063	XP_034826742.1	DPOGS201994-PA
OG0000063	XP_034826743.1	DPOGS201995-PA
OG0000063	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1	DPOGS205397-PA
OG0000063	XP_034830217.1	DPOGS208887-PA
OG0000066	XP_034836237.1, XP_034836074.1, XP_034836236.1, XP_034836076.1, XP_034836075.1	DPOGS210132-PA
OG0000067	XP_034826553.1, XP_034825998.1	DPOGS204359-PA
OG0000067	XP_034836359.1, XP_034836360.1	DPOGS204360-PA
OG0000068	XP_034826565.1, XP_034826563.1	DPOGS213409-PA, DPOGS212680-PA
OG0000069	XP_034827836.1, XP_034827837.1, XP_034827503.1	DPOGS206989-PA
OG0000070	XP_034835112.1, XP_034825036.1	DPOGS205142-PA
OG0000071	XP_034832601.1	DPOGS205454-PA
OG0000073	XP_034827345.1	DPOGS205799-PA
OG0000073	XP_034827002.1	DPOGS208534-PA
OG0000073	XP_034827001.1	DPOGS213705-PA
OG0000075	XP_034830498.1	DPOGS201167-PA
OG0000075	XP_034830943.1	DPOGS201162-PA
OG0000075	XP_034830541.1	DPOGS209261-PA
OG0000076	XP_034828827.1, XP_034838412.1, XP_034838763.1	DPOGS206203-PA
OG0000076	XP_034838983.1	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA
OG0000078	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1, XP_034827858.1, XP_034833688.1	DPOGS207021-PA
OG0000082	XP_034837737.1	DPOGS211069-PA
OG0000082	XP_034837495.1	DPOGS203867-PA
OG0000082	XP_034837708.1	DPOGS212546-PA
OG0000083	XP_034837077.1	DPOGS201702-PA
OG0000084	XP_034829605.1	DPOGS200123-PA
OG0000084	XP_034827859.1	DPOGS200124-PA
OG0000085	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1, XP_034829482.1, XP_034829481.1	DPOGS215579-PA
OG0000088	XP_034838855.1	DPOGS215149-PA
OG0000088	XP_034826751.1	DPOGS202814-PA
OG0000089	XP_034833735.1, XP_034833787.1, XP_034831243.1, XP_034837631.1, XP_034837907.1, XP_034838533.1, XP_034838261.1, XP_034838260.1, XP_034831244.1, XP_034825404.1	DPOGS205237-PA
OG0000090	XP_034824728.1, XP_034824736.1, XP_034824738.1, XP_034824737.1, XP_034824740.1, XP_034824739.1, XP_034824731.1, XP_034824730.1, XP_034824729.1	DPOGS210053-PA, DPOGS210052-PA
OG0000091	XP_034839852.1, XP_034835586.1	DPOGS203557-PA, DPOGS202071-PA
OG0000092	XP_034830971.1	DPOGS209254-PA
OG0000093	XP_034837580.1	DPOGS202427-PA
OG0000093	XP_034837597.1	DPOGS202426-PA, DPOGS203872-PA
OG0000093	XP_034837561.1	DPOGS202424-PA
OG0000094	XP_034826064.1, XP_034826549.1, XP_034826299.1, XP_034826552.1	DPOGS213975-PA
OG0000095	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1	DPOGS204282-PA
OG0000096	XP_034826970.1, XP_034826971.1	DPOGS212592-PA
OG0000096	XP_034826805.1	DPOGS212590-PA
OG0000096	XP_034826807.1, XP_034826966.1	DPOGS212591-PA
OG0000097	XP_034832726.1	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA
OG0000098	XP_034828987.1, XP_034828986.1, XP_034829450.1	DPOGS209226-PA, DPOGS209225-PA
OG0000100	XP_034834955.1	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA
OG0000100	XP_034834638.1	DPOGS215475-PA
OG0000101	XP_034833305.1, XP_034833572.1, XP_034833571.1	DPOGS200031-PA
OG0000102	XP_034827509.1	DPOGS206988-PA
OG0000102	XP_034827511.1, XP_034827504.1	DPOGS206942-PA
OG0000103	XP_034827721.1	DPOGS207082-PA
OG0000108	XP_034839890.1, XP_034837747.1	DPOGS208199-PA
OG0000109	XP_034830263.1, XP_034830617.1, XP_034830465.1	DPOGS209375-PA
OG0000110	XP_034828312.1	DPOGS212705-PA
OG0000110	XP_034827561.1	DPOGS212706-PA
OG0000110	XP_034828311.1	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA
OG0000111	XP_034828844.1	DPOGS202624-PA
OG0000111	XP_034824587.1	DPOGS215827-PA
OG0000111	XP_034824425.1	DPOGS215824-PA
OG0000111	XP_034824419.1	DPOGS215826-PA
OG0000112	XP_034824987.1	DPOGS200671-PA
OG0000112	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA
OG0000113	XP_034838911.1	DPOGS203349-PA, DPOGS203350-PA
OG0000113	XP_034838915.1, XP_034838912.1, XP_034838914.1	DPOGS203348-PA
OG0000114	XP_034827802.1, XP_034827577.1	DPOGS206960-PA
OG0000115	XP_034825883.1	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	XP_034827053.1, XP_034825882.1	DPOGS201101-PA
OG0000116	XP_034824340.1	DPOGS211429-PA
OG0000116	XP_034837001.1	DPOGS214479-PA
OG0000116	XP_034839409.1	DPOGS203334-PA
OG0000117	XP_034828165.1, XP_034828164.1, XP_034828166.1	DPOGS206946-PA
OG0000117	XP_034828156.1, XP_034828155.1	DPOGS206945-PA
OG0000118	XP_034839973.1	DPOGS216140-PA
OG0000119	XP_034829501.1, XP_034829502.1, XP_034828936.1, XP_034828937.1, XP_034828935.1, XP_034829499.1, XP_034828938.1, XP_034829497.1, XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1, XP_034829500.1	DPOGS203233-PA
OG0000122	XP_034830824.1	DPOGS200373-PA
OG0000122	XP_034837883.1, XP_034825562.1, XP_034824123.1	DPOGS200374-PA
OG0000124	XP_034835580.1	DPOGS206009-PA
OG0000124	XP_034824366.1	DPOGS211433-PA
OG0000125	XP_034825845.1, XP_034826126.1, XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	XP_034825844.1, XP_034825846.1	DPOGS214825-PA
OG0000128	XP_034835222.1	DPOGS210158-PA
OG0000128	XP_034835626.1, XP_034835625.1	DPOGS211778-PA
OG0000128	XP_034835270.1	DPOGS210161-PA
OG0000129	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1	DPOGS210178-PA
OG0000131	XP_034837858.1, XP_034838212.1	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA
OG0000132	XP_034834282.1, XP_034834241.1, XP_034833542.1	DPOGS214570-PA
OG0000133	XP_034838137.1	DPOGS204619-PA, DPOGS215001-PA
OG0000134	XP_034825942.1	DPOGS206558-PA
OG0000134	XP_034826234.1	DPOGS213998-PA
OG0000134	XP_034825941.1	DPOGS206556-PA
OG0000137	XP_034840852.1, XP_034840854.1, XP_034840850.1, XP_034840851.1, XP_034840849.1	DPOGS213158-PA
OG0000138	XP_034840957.1, XP_034840968.1	DPOGS201307-PA, DPOGS201308-PA
OG0000138	XP_034823988.1, XP_034823996.1	DPOGS201306-PA
OG0000138	XP_034824894.1	DPOGS210044-PA
OG0000139	XP_034833832.1	DPOGS204151-PA
OG0000139	XP_034835919.1	DPOGS211466-PA
OG0000139	XP_034833962.1	DPOGS204150-PA
OG0000140	XP_034836898.1	DPOGS208587-PA
OG0000140	XP_034836751.1	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA
OG0000140	XP_034836899.1	DPOGS215443-PA
OG0000140	XP_034836915.1	DPOGS215439-PA
OG0000141	XP_034829113.1, XP_034829114.1	DPOGS205275-PA
OG0000142	XP_034827901.1	DPOGS210763-PA
OG0000142	XP_034827778.1	DPOGS208850-PA
OG0000142	XP_034827898.1	DPOGS211692-PA
OG0000143	XP_034827819.1	DPOGS207066-PA
OG0000143	XP_034827875.1, XP_034827552.1	DPOGS207067-PA
OG0000147	XP_034833225.1, XP_034833224.1	DPOGS202135-PA
OG0000147	XP_034833227.1, XP_034830230.1	DPOGS216148-PA
OG0000149	XP_034828465.1	DPOGS211600-PA
OG0000149	XP_034829851.1	DPOGS209815-PA
OG0000150	XP_034824833.1, XP_034839952.1	DPOGS200229-PA
OG0000152	XP_034832206.1	DPOGS203652-PA
OG0000152	XP_034833337.1	DPOGS203849-PA
OG0000152	XP_034833675.1	DPOGS203651-PA
OG0000153	XP_034830680.1	DPOGS200298-PA
OG0000154	XP_034836981.1	DPOGS203730-PA
OG0000155	XP_034836190.1, XP_034836186.1, XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1	DPOGS209068-PA
OG0000156	XP_034835010.1	DPOGS201022-PA, DPOGS201021-PA
OG0000162	XP_034835629.1, XP_034835505.1	DPOGS214379-PA, DPOGS212215-PA
OG0000162	XP_034835633.1	DPOGS213682-PA
OG0000163	XP_034835691.1, XP_034835688.1	DPOGS208397-PA, DPOGS208398-PA
OG0000164	XP_034827405.1	DPOGS207033-PA
OG0000164	XP_034837112.1, XP_034827829.1	DPOGS207032-PA
OG0000165	XP_034825339.1, XP_034825736.1, XP_034825550.1	DPOGS202039-PA
OG0000166	XP_034833378.1	DPOGS204571-PA
OG0000166	XP_034833554.1, XP_034833679.1, XP_034833555.1	DPOGS215383-PA
OG0000167	XP_034830390.1	DPOGS200276-PA
OG0000167	XP_034838582.1	DPOGS212517-PA, DPOGS212471-PA
OG0000168	XP_034824806.1	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA
OG0000169	XP_034835310.1	DPOGS209399-PA
OG0000169	XP_034835217.1	DPOGS209397-PA
OG0000169	XP_034835563.1	DPOGS209416-PA, DPOGS209415-PA
OG0000170	XP_034833424.1, XP_034833639.1, XP_034833640.1, XP_034833641.1	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
OG0000171	XP_034827023.1	DPOGS207651-PA
OG0000171	XP_034827103.1	DPOGS207652-PA
OG0000172	XP_034827882.1, XP_034827883.1	DPOGS207109-PA
OG0000172	XP_034827884.1	DPOGS211762-PA
OG0000172	XP_034827893.1	DPOGS207119-PA
OG0000174	XP_034837309.1	DPOGS203785-PA
OG0000174	XP_034839773.1	DPOGS201355-PA
OG0000175	XP_034837022.1, XP_034837023.1	DPOGS213653-PA
OG0000175	XP_034840446.1	DPOGS212172-PA
OG0000175	XP_034832261.1	DPOGS201184-PA
OG0000177	XP_034838147.1, XP_034839386.1	DPOGS213999-PA
OG0000178	XP_034836827.1	DPOGS213916-PA
OG0000178	XP_034836823.1	DPOGS202584-PA, DPOGS208620-PA
OG0000179	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1	DPOGS215238-PA
OG0000180	XP_034832218.1	DPOGS202992-PA
OG0000181	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA
OG0000182	XP_034824717.1	DPOGS210084-PA
OG0000183	XP_034835115.1	DPOGS211358-PA
OG0000183	XP_034825260.1	DPOGS202050-PA
OG0000184	XP_034824593.1	DPOGS210000-PA
OG0000184	XP_034828820.1	DPOGS210945-PA
OG0000184	XP_034828761.1	DPOGS211022-PA
OG0000185	XP_034832652.1	DPOGS207886-PA
OG0000185	XP_034832649.1	DPOGS207877-PA
OG0000185	XP_034832651.1	DPOGS207876-PA
OG0000186	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1	DPOGS200588-PA
OG0000187	XP_034827454.1	DPOGS203099-PA
OG0000187	XP_034827784.1, XP_034827465.1	DPOGS203100-PA, DPOGS203101-PA
OG0000189	XP_034831349.1	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA
OG0000190	XP_034828878.1, XP_034828877.1, XP_034828527.1	DPOGS210733-PA
OG0000191	XP_034839817.1	DPOGS203394-PA, DPOGS212004-PA
OG0000192	XP_034837865.1	DPOGS211425-PA
OG0000193	XP_034828385.1	DPOGS208229-PA
OG0000193	XP_034828838.1, XP_034828613.1	DPOGS211597-PA
OG0000194	XP_034836309.1, XP_034836913.1, XP_034836914.1, XP_034836894.1, XP_034835085.1, XP_034837912.1, XP_034825820.1, XP_034839207.1, XP_034826877.1, XP_034836912.1, XP_034835088.1, XP_034826328.1, XP_034825197.1, XP_034839208.1, XP_034827094.1, XP_034824411.1, XP_034838359.1, XP_034832156.1	DPOGS208929-PA
OG0000196	XP_034838645.1, XP_034833653.1, XP_034832774.1	DPOGS215622-PA
OG0000197	XP_034835441.1, XP_034835445.1	DPOGS215734-PA
OG0000197	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1	DPOGS204239-PA
OG0000198	XP_034840531.1, XP_034840532.1	DPOGS212099-PA
OG0000199	XP_034839636.1	DPOGS205139-PA, DPOGS200471-PA
OG0000200	XP_034830291.1	DPOGS209916-PA
OG0000201	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1	DPOGS204865-PA, DPOGS204864-PA
OG0000202	XP_034824228.1, XP_034824229.1	DPOGS211423-PA
OG0000203	XP_034830571.1	DPOGS210787-PA
OG0000203	XP_034827127.1, XP_034827128.1	DPOGS200479-PA
OG0000205	XP_034829187.1, XP_034826972.1, XP_034826958.1, XP_034826957.1	DPOGS209148-PA, DPOGS209147-PA
OG0000206	XP_034838830.1, XP_034839065.1	DPOGS205019-PA
OG0000207	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1, XP_034831527.1	DPOGS207952-PA, DPOGS207950-PA
OG0000208	XP_034841203.1, XP_034841212.1	DPOGS210915-PA
OG0000208	XP_034831041.1	DPOGS210914-PA, DPOGS210912-PA
OG0000209	XP_034836601.1	DPOGS214010-PA
OG0000209	XP_034831212.1	DPOGS204840-PA
OG0000209	XP_034827751.1	DPOGS216112-PA
OG0000210	XP_034827061.1	DPOGS208562-PA
OG0000210	XP_034827268.1	DPOGS208561-PA
OG0000212	XP_034824811.1	DPOGS207988-PA
OG0000212	XP_034824810.1	DPOGS207989-PA
OG0000212	XP_034824322.1	DPOGS207987-PA
OG0000213	XP_034841107.1	DPOGS208066-PA
OG0000213	XP_034841109.1	DPOGS208084-PA
OG0000213	XP_034841116.1	DPOGS208065-PA
OG0000214	XP_034827179.1	DPOGS214058-PA
OG0000215	XP_034826616.1, XP_034826619.1, XP_034826617.1	DPOGS211555-PA
OG0000215	XP_034826618.1	DPOGS211556-PA
OG0000216	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA
OG0000217	XP_034831715.1, XP_034833550.1, XP_034832132.1, XP_034831727.1	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA
OG0000218	XP_034840404.1, XP_034840405.1	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA
OG0000219	XP_034826674.1	DPOGS207542-PA
OG0000219	XP_034830924.1, XP_034830922.1	DPOGS200327-PA
OG0000219	XP_034830712.1, XP_034830713.1	DPOGS200328-PA
OG0000220	XP_034824239.1, XP_034832563.1, XP_034832460.1, XP_034824238.1	DPOGS211390-PA
OG0000221	XP_034824881.1, XP_034824880.1	DPOGS211394-PA
OG0000221	XP_034824251.1, XP_034824882.1, XP_034837734.1	DPOGS205842-PA
OG0000222	XP_034838829.1, XP_034838833.1, XP_034838832.1	DPOGS205017-PA
OG0000224	XP_034828537.1	DPOGS208278-PA, DPOGS208277-PA
OG0000225	XP_034832841.1, XP_034839974.1, XP_034839594.1	DPOGS214884-PA
OG0000227	XP_034828837.1, XP_034827085.1, XP_034828836.1, XP_034828834.1	DPOGS209796-PA
OG0000228	XP_034838358.1	DPOGS212515-PA
OG0000228	XP_034838346.1	DPOGS207206-PA
OG0000228	XP_034838347.1	DPOGS207204-PA, DPOGS207199-PA
OG0000229	XP_034834094.1	DPOGS214632-PA
OG0000229	XP_034832472.1	DPOGS215746-PA
OG0000230	XP_034830126.1	DPOGS209009-PA, DPOGS209016-PA
OG0000230	XP_034838272.1	DPOGS205205-PA, DPOGS205235-PA
OG0000230	XP_034830058.1	DPOGS211996-PA
OG0000231	XP_034827932.1, XP_034827787.1, XP_034827788.1	DPOGS208443-PA
OG0000232	XP_034827131.1	DPOGS207028-PA
OG0000233	XP_034824533.1, XP_034824532.1	DPOGS215920-PA
OG0000233	XP_034824539.1, XP_034824540.1, XP_034824538.1, XP_034824537.1	DPOGS215875-PA
OG0000234	XP_034838523.1	DPOGS201732-PA
OG0000235	XP_034825165.1	DPOGS211850-PA
OG0000235	XP_034825698.1, XP_034825699.1, XP_034825700.1	DPOGS211974-PA
OG0000236	XP_034831322.1	DPOGS207247-PA
OG0000236	XP_034831587.1, XP_034831148.1	DPOGS207308-PA
OG0000237	XP_034833180.1	DPOGS201064-PA
OG0000237	XP_034833635.1	DPOGS201065-PA
OG0000237	XP_034833124.1	DPOGS201066-PA
OG0000238	XP_034840526.1, XP_034840527.1	DPOGS200166-PA
OG0000238	XP_034826156.1, XP_034826684.1	DPOGS200498-PA
OG0000239	XP_034830631.1	DPOGS200316-PA
OG0000239	XP_034830633.1, XP_034830635.1, XP_034830636.1, XP_034830634.1	DPOGS200315-PA, DPOGS200313-PA
OG0000245	XP_034830815.1, XP_034832174.1, XP_034837443.1	DPOGS211482-PA
OG0000246	XP_034829444.1	DPOGS212261-PA
OG0000247	XP_034836061.1	DPOGS204977-PA
OG0000247	XP_034836067.1	DPOGS204997-PA
OG0000248	XP_034827678.1	DPOGS208848-PA, DPOGS208849-PA
OG0000248	XP_034828141.1	DPOGS210769-PA
OG0000249	XP_034836348.1, XP_034836346.1, XP_034836347.1	DPOGS204790-PA
OG0000250	XP_034827768.1	DPOGS206089-PA
OG0000250	XP_034827688.1	DPOGS205124-PA
OG0000250	XP_034827686.1	DPOGS206088-PA
OG0000252	XP_034827066.1	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA
OG0000253	XP_034839930.1	DPOGS206787-PA, DPOGS205863-PA
OG0000254	XP_034838643.1	DPOGS206219-PA
OG0000255	XP_034826982.1, XP_034826991.1	DPOGS201291-PA
OG0000255	XP_034839637.1	DPOGS203189-PA
OG0000257	XP_034829640.1	DPOGS202490-PA
OG0000257	XP_034828074.1	DPOGS206965-PA
OG0000258	XP_034836671.1	DPOGS214473-PA, DPOGS216098-PA
OG0000259	XP_034833629.1	DPOGS213276-PA
OG0000259	XP_034833614.1	DPOGS204809-PA
OG0000260	XP_034838428.1, XP_034838425.1	DPOGS201723-PA
OG0000262	XP_034834187.1	DPOGS204048-PA
OG0000262	XP_034834186.1	DPOGS211663-PA
OG0000263	XP_034838033.1, XP_034838344.1, XP_034838028.1, XP_034838020.1, XP_034838030.1, XP_034838343.1, XP_034838031.1, XP_034838032.1	DPOGS207205-PA
OG0000264	XP_034824607.1	DPOGS211375-PA
