Orthogroup	Maniola_hyperantus	Junonia_coenia
OG0000128	XP_034835222.1	JC_10255-RA
OG0000128	XP_034835626.1, XP_034835625.1	JC_10263-RA
OG0000128	XP_034835270.1	JC_10261-RA
OG0000129	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1	JC_14536-RA, JC_14538-RA
OG0000131	XP_034837858.1, XP_034838212.1	JC_03944-RA, JC_04373-RA, JC_03943-RA
OG0000132	XP_034834241.1, XP_034833542.1	JC_16594-RA, JC_12333-RA
OG0000133	XP_034838137.1	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000134	XP_034825942.1	JC_13643-RA
OG0000134	XP_034826234.1	JC_13572-RA, JC_13574-RA
OG0000134	XP_034825941.1	JC_13639-RA
OG0000136	XP_034827804.1	JC_03184-RA
OG0000137	XP_034840852.1, XP_034840854.1, XP_034840850.1, XP_034840851.1	JC_00690-RA
OG0000137	XP_034840849.1	JC_00691-RA
OG0000138	XP_034840957.1, XP_034840968.1	JC_08004-RA
OG0000138	XP_034824894.1	JC_04421-RA
OG0000139	XP_034833832.1	JC_12416-RA
OG0000139	XP_034835919.1	JC_12885-RA
OG0000139	XP_034833962.1	JC_12412-RA
OG0000140	XP_034836898.1	JC_15651-RA
OG0000140	XP_034836899.1	JC_15647-RA
OG0000141	XP_034829113.1, XP_034829114.1	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA
OG0000142	XP_034827901.1	JC_16337-RA, JC_16335-RA, JC_16334-RA
OG0000142	XP_034827898.1	JC_16332-RA
OG0000143	XP_034827819.1	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	XP_034827875.1, XP_034827552.1	JC_11701-RA, JC_11700-RA
OG0000144	XP_034833620.1, XP_034833621.1, XP_034833240.1	JC_05956-RA, JC_05955-RA
OG0000144	XP_034833202.1	JC_05954-RA
OG0000145	XP_034830807.1, XP_034830804.1, XP_034830805.1	JC_03183-RA
OG0000145	XP_034830806.1	JC_03179-RA
OG0000147	XP_034833227.1, XP_034830230.1	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000149	XP_034829950.1	JC_09057-RA
OG0000152	XP_034832206.1	JC_01151-RA
OG0000152	XP_034833337.1	JC_01147-RA
OG0000152	XP_034833675.1	JC_01149-RA
OG0000153	XP_034830680.1	JC_02953-RA
OG0000154	XP_034836981.1	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA
OG0000155	XP_034836186.1	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA
OG0000155	XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1	JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA
OG0000156	XP_034834990.1	JC_10975-RA, JC_10974-RA
OG0000156	XP_034835010.1	JC_15886-RA, JC_10973-RA
OG0000161	XP_034829418.1, XP_034836848.1, XP_034836538.1	JC_10383-RA
OG0000162	XP_034835629.1, XP_034835505.1	JC_10317-RA, JC_10318-RA
OG0000162	XP_034835633.1	JC_10314-RA
OG0000163	XP_034835691.1, XP_034835688.1	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	XP_034837112.1, XP_034827829.1	JC_16411-RA
OG0000165	XP_034825339.1	JC_02467-RA, JC_02466-RA
OG0000165	XP_034825550.1	JC_02484-RA
OG0000166	XP_034833378.1	JC_06064-RA
OG0000166	XP_034833554.1, XP_034833679.1, XP_034833555.1	JC_05823-RA, JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
OG0000167	XP_034837879.1, XP_034838019.1, XP_034830390.1	JC_03065-RA
OG0000169	XP_034835310.1	JC_09918-RA
OG0000169	XP_034835563.1	JC_09912-RA
OG0000170	XP_034833640.1, XP_034833641.1	JC_05858-RA, JC_05859-RA, JC_05861-RA
OG0000171	XP_034827023.1	JC_09304-RA
OG0000171	XP_034827103.1	JC_09303-RA
OG0000172	XP_034827884.1	JC_11633-RA, JC_11631-RA, JC_11632-RA
OG0000174	XP_034837309.1	JC_01298-RA
OG0000174	XP_034839773.1	JC_02058-RA
OG0000175	XP_034837022.1, XP_034837023.1	JC_15584-RA
OG0000175	XP_034840446.1	JC_03752-RA
OG0000175	XP_034832261.1	JC_07347-RA
OG0000177	XP_034838147.1, XP_034839386.1	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA
OG0000178	XP_034836827.1	JC_15551-RA
OG0000178	XP_034836823.1	JC_15684-RA
OG0000179	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1	JC_05652-RA
OG0000180	XP_034832218.1	JC_01797-RA
OG0000181	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	XP_034824717.1	JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	XP_034835115.1	JC_09899-RA
OG0000183	XP_034825260.1	JC_02435-RA
OG0000184	XP_034824593.1	JC_04531-RA
OG0000184	XP_034828820.1	JC_06432-RA
OG0000184	XP_034828761.1	JC_06434-RA
OG0000185	XP_034832652.1	JC_11317-RA
OG0000185	XP_034832649.1	JC_11320-RA
OG0000185	XP_034832653.1	JC_11318-RA
OG0000185	XP_034832651.1	JC_11319-RA
OG0000186	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1	JC_16936-RA
OG0000187	XP_034827454.1	JC_16384-RA
OG0000189	XP_034831348.1	JC_07045-RA
OG0000189	XP_034831349.1	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	XP_034828878.1, XP_034828877.1	JC_06617-RA
OG0000190	XP_034828527.1	JC_06615-RA
OG0000193	XP_034828385.1	JC_06325-RA
OG0000193	XP_034828838.1	JC_06528-RA
OG0000193	XP_034828613.1	JC_06527-RA
OG0000194	XP_034836309.1, XP_034836913.1, XP_034836914.1, XP_034836894.1, XP_034835085.1, XP_034837912.1, XP_034825820.1, XP_034839207.1, XP_034826877.1, XP_034836912.1, XP_034835088.1, XP_034826328.1, XP_034825197.1, XP_034839208.1, XP_034827094.1	JC_02952-RA, JC_15116-RA
OG0000194	XP_034824411.1, XP_034838359.1	JC_07427-RA
OG0000196	XP_034838645.1, XP_034833653.1, XP_034832774.1	JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1	JC_00320-RA
OG0000198	XP_034840531.1, XP_034840532.1	JC_03773-RA
OG0000199	XP_034839636.1	JC_07461-RA
OG0000199	XP_034839171.1, XP_034837850.1	JC_14665-RA, JC_13414-RA, JC_06823-RA, JC_15070-RA, JC_15024-RA, JC_05544-RA, JC_13150-RA, JC_15266-RA
OG0000200	XP_034830828.1	JC_03360-RA
OG0000200	XP_034830291.1	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA
OG0000201	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1	JC_07060-RA
OG0000202	XP_034824228.1, XP_034824229.1	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA
OG0000203	XP_034830571.1	JC_03487-RA
OG0000205	XP_034829187.1	JC_05405-RA
OG0000206	XP_034838830.1, XP_034839065.1	JC_16685-RA, JC_10718-RA, JC_16686-RA
OG0000207	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1	JC_15544-RA, JC_16805-RA, JC_15680-RA, JC_15678-RA, JC_03802-RA, JC_10588-RA, JC_05153-RA
OG0000208	XP_034841203.1, XP_034841212.1	JC_07994-RA, JC_07996-RA
OG0000208	XP_034831041.1	JC_07997-RA
OG0000209	XP_034836601.1	JC_14043-RA
OG0000209	XP_034831212.1	JC_07069-RA
OG0000210	XP_034827061.1	JC_09539-RA
OG0000210	XP_034827269.1, XP_034827331.1	JC_09537-RA
OG0000210	XP_034827270.1	JC_09538-RA
OG0000212	XP_034824811.1	JC_05951-RA, JC_00130-RA
OG0000212	XP_034824810.1	JC_04775-RA
OG0000212	XP_034824322.1	JC_04773-RA
OG0000213	XP_034841107.1	JC_00444-RA
OG0000213	XP_034841109.1	JC_00447-RA
OG0000213	XP_034841116.1	JC_00451-RA
OG0000214	XP_034827179.1	JC_09415-RA
OG0000215	XP_034826616.1, XP_034826619.1, XP_034826617.1	JC_13463-RA
OG0000216	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1	JC_04853-RA
OG0000217	XP_034833550.1	JC_01085-RA
OG0000218	XP_034840404.1, XP_034840405.1	JC_04203-RA, JC_04202-RA, JC_04199-RA, JC_04200-RA, JC_04201-RA
OG0000219	XP_034826674.1	JC_13344-RA
OG0000219	XP_034830922.1	JC_03133-RA
OG0000219	XP_034830712.1, XP_034830713.1	JC_03136-RA, JC_03132-RA
OG0000221	XP_034824881.1, XP_034824880.1	JC_06692-RA, JC_05049-RA, JC_05043-RA, JC_05017-RA
OG0000221	XP_034824251.1	JC_05015-RA
OG0000221	XP_034824882.1, XP_034837734.1	JC_05016-RA, JC_05042-RA
OG0000222	XP_034838829.1	JC_16786-RA, JC_16785-RA
OG0000222	XP_034838832.1	JC_16787-RA, JC_16688-RA, JC_16687-RA
OG0000224	XP_034828537.1	JC_06264-RA, JC_06261-RA, JC_06255-RA, JC_06252-RA, JC_06250-RA, JC_06251-RA
OG0000225	XP_034839594.1	JC_15096-RA
OG0000227	XP_034828836.1	JC_06493-RA, JC_13742-RA
OG0000229	XP_034834094.1	JC_12374-RA
OG0000229	XP_034832472.1	JC_01496-RA
OG0000230	XP_034838272.1	JC_05995-RA, JC_08759-RA
OG0000231	XP_034827788.1	JC_12205-RA, JC_12198-RA, JC_12196-RA, JC_16378-RA, JC_12194-RA, JC_12193-RA
OG0000233	XP_034824533.1, XP_034824532.1	JC_04634-RA
OG0000234	XP_034838523.1	JC_15828-RA
OG0000235	XP_034825165.1	JC_02586-RA
