Orthogroup	Maniola_hyperantus	Pararge_aegeria
OG0000083	XP_034837077.1	XP_039760604.1
OG0000083	XP_034837435.1	XP_039760601.1
OG0000083	XP_034837073.1	XP_039760603.1
OG0000084	XP_034829605.1	XP_039749417.1
OG0000084	XP_034830082.1	XP_039749412.1
OG0000085	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1	XP_039749173.1, XP_039749174.1, XP_039749175.1
OG0000085	XP_034829482.1	XP_039755026.1, XP_039755027.1
OG0000085	XP_034829481.1	XP_039754791.1
OG0000088	XP_034838855.1	XP_039762785.1
OG0000088	XP_034826751.1	XP_039751496.1
OG0000090	XP_034824728.1	XP_039749189.1
OG0000090	XP_034824736.1, XP_034824738.1, XP_034824737.1, XP_034824740.1, XP_034824739.1	XP_039749188.1, XP_039749187.1
OG0000090	XP_034824729.1	XP_039749186.1
OG0000093	XP_034837580.1	XP_039761758.1
OG0000093	XP_034837597.1	XP_039761603.1
OG0000093	XP_034837561.1	XP_039761633.1, XP_039761632.1
OG0000094	XP_034826064.1, XP_034826549.1	XP_039746862.1
OG0000094	XP_034826299.1, XP_034826552.1	XP_039764606.1, XP_039764616.1, XP_039764598.1
OG0000095	XP_034841054.1	XP_039745132.1, XP_039745133.1
OG0000095	XP_034824157.1	XP_039765917.1, XP_039765918.1, XP_039745523.1
OG0000095	XP_034824154.1, XP_034824155.1	XP_039745409.1, XP_039765705.1, XP_039765706.1
OG0000096	XP_034826970.1, XP_034826971.1	XP_039751227.1
OG0000096	XP_034826805.1	XP_039751260.1
OG0000096	XP_034826807.1, XP_034826966.1	XP_039751463.1
OG0000097	XP_034832726.1	XP_039757158.1
OG0000098	XP_034828987.1	XP_039754908.1
OG0000098	XP_034829450.1	XP_039754998.1
OG0000099	XP_034838222.1, XP_034837852.1, XP_034837363.1	XP_039756188.1
OG0000099	XP_034838220.1	XP_039764326.1
OG0000099	XP_034838201.1	XP_039751986.1
OG0000099	XP_034824329.1, XP_034833457.1, XP_034836471.1, XP_034829001.1, XP_034838105.1, XP_034840173.1	XP_039754706.1, XP_039765247.1, XP_039759156.1, XP_039755188.1, XP_039765356.1, XP_039764824.1, XP_039762710.1, XP_039758411.1, XP_039765838.1, XP_039748888.1, XP_039763199.1
OG0000100	XP_034834638.1	XP_039756542.1
OG0000101	XP_034833305.1, XP_034833572.1, XP_034833571.1	XP_039758595.1
OG0000101	XP_034833313.1	XP_039758877.1, XP_039758267.1
OG0000102	XP_034827511.1	XP_039752281.1
OG0000102	XP_034827504.1	XP_039752133.1, XP_039752135.1
OG0000103	XP_034827721.1	XP_039751968.1
OG0000109	XP_034830617.1	XP_039754228.1
OG0000109	XP_034830465.1	XP_039754267.1
OG0000110	XP_034828312.1	XP_039752795.1
OG0000110	XP_034827561.1	XP_039752379.1
OG0000110	XP_034828311.1	XP_039752305.1
OG0000111	XP_034828844.1	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1
OG0000111	XP_034824425.1	XP_039748821.1
OG0000111	XP_034824419.1	XP_039749055.1
OG0000112	XP_034824550.1, XP_034825377.1	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1
OG0000113	XP_034838911.1	XP_039755044.1
OG0000113	XP_034838915.1, XP_034838912.1, XP_034838914.1, XP_034838916.1	XP_039762990.1
OG0000114	XP_034827802.1	XP_039752504.1
OG0000114	XP_034827577.1	XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1
OG0000115	XP_034825883.1	XP_039747701.1
OG0000115	XP_034827053.1	XP_039751528.1
OG0000115	XP_034825882.1	XP_039746102.1
OG0000116	XP_034824340.1	XP_039748745.1
OG0000116	XP_034830236.1	XP_039749795.1
OG0000116	XP_034837001.1	XP_039761021.1
OG0000116	XP_034839409.1	XP_039763856.1
OG0000117	XP_034828156.1	XP_039752341.1, XP_039752160.1
OG0000117	XP_034828155.1	XP_039752073.1, XP_039752072.1, XP_039752074.1
OG0000118	XP_034839973.1	XP_039761294.1, XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1, XP_039751928.1, XP_039763985.1, XP_039762514.1, XP_039749973.1, XP_039751370.1, XP_039757352.1, XP_039750860.1, XP_039754358.1, XP_039755233.1, XP_039761463.1, XP_039761855.1
OG0000119	XP_034829501.1, XP_034829502.1, XP_034828936.1, XP_034828937.1	XP_039754974.1
OG0000119	XP_034828935.1, XP_034829499.1, XP_034828938.1	XP_039755253.1
OG0000119	XP_034829497.1	XP_039755251.1
OG0000119	XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1	XP_039755250.1
OG0000121	XP_034832172.1	XP_039764138.1, XP_039763349.1
OG0000121	XP_034830525.1, XP_034836442.1, XP_034837938.1, XP_034833715.1, XP_034838216.1, XP_034828034.1, XP_034838257.1, XP_034838160.1	XP_039761894.1, XP_039762013.1
OG0000121	XP_034825571.1, XP_034836400.1	XP_039759687.1, XP_039755990.1, XP_039754190.1, XP_039758533.1, XP_039761555.1, XP_039760227.1, XP_039762181.1, XP_039746806.1
OG0000122	XP_034830824.1	XP_039754268.1
OG0000122	XP_034837883.1, XP_034825562.1, XP_034824123.1	XP_039745510.1, XP_039761879.1, XP_039760048.1
OG0000124	XP_034835580.1	XP_039759623.1
OG0000124	XP_034835581.1	XP_039759624.1
OG0000124	XP_034824366.1	XP_039748506.1
OG0000125	XP_034826126.1	XP_039763048.1
OG0000125	XP_034825844.1, XP_034825846.1	XP_039763370.1
OG0000128	XP_034835222.1	XP_039759402.1
OG0000128	XP_034835626.1, XP_034835625.1	XP_039759275.1
OG0000128	XP_034835270.1	XP_039759639.1, XP_039759640.1
OG0000129	XP_034826462.1, XP_034826356.1	XP_039749657.1
OG0000129	XP_034826467.1	XP_039749896.1
OG0000131	XP_034837858.1, XP_034838212.1	XP_039761941.1
OG0000132	XP_034834282.1	XP_039758016.1
OG0000132	XP_034833542.1	XP_039758786.1
OG0000133	XP_034838137.1	XP_039761844.1
OG0000134	XP_034825942.1	XP_039750230.1
OG0000134	XP_034826234.1	XP_039748060.1
OG0000134	XP_034825941.1	XP_039745994.1
OG0000137	XP_034840852.1	XP_039745449.1
OG0000137	XP_034840854.1	XP_039745448.1
OG0000137	XP_034840850.1, XP_034840851.1	XP_039745446.1, XP_039745445.1
OG0000137	XP_034840849.1	XP_039745441.1
OG0000138	XP_034840957.1, XP_034840968.1	XP_039764463.1
OG0000138	XP_034824894.1	XP_039748518.1, XP_039748520.1
OG0000139	XP_034833832.1	XP_039758056.1
OG0000139	XP_034835919.1	XP_039760019.1
OG0000139	XP_034833962.1	XP_039758138.1
OG0000140	XP_034836898.1	XP_039761164.1
OG0000140	XP_034836899.1	XP_039761163.1
OG0000140	XP_034836915.1	XP_039761161.1
OG0000141	XP_034829113.1, XP_034829114.1	XP_039755123.1
OG0000142	XP_034827901.1	XP_039752000.1
OG0000142	XP_034827778.1	XP_039752666.1
OG0000143	XP_034827819.1	XP_039752786.1
OG0000143	XP_034827875.1	XP_039752311.1
OG0000143	XP_034827552.1	XP_039752179.1
OG0000144	XP_034833620.1, XP_034833621.1	XP_039755210.1, XP_039758832.1, XP_039758553.1
OG0000144	XP_034833240.1	XP_039758772.1
OG0000144	XP_034833202.1	XP_039758752.1
OG0000145	XP_034830804.1	XP_039754352.1
OG0000145	XP_034830805.1	XP_039754350.1, XP_039754351.1
OG0000147	XP_034833225.1	XP_039758401.1, XP_039758400.1
OG0000147	XP_034833224.1	XP_039758856.1
OG0000149	XP_034828465.1	XP_039750557.1, XP_039750556.1
OG0000149	XP_034829851.1	XP_039749878.1, XP_039749877.1
OG0000149	XP_034829950.1	XP_039749779.1
OG0000150	XP_034839952.1	XP_039764078.1
OG0000152	XP_034832206.1	XP_039759912.1
OG0000152	XP_034833337.1	XP_039759933.1
OG0000152	XP_034833675.1	XP_039759890.1, XP_039759882.1, XP_039759899.1
OG0000153	XP_034830680.1	XP_039754384.1
OG0000154	XP_034836981.1	XP_039761253.1, XP_039761124.1
OG0000155	XP_034836186.1	XP_039760323.1
OG0000155	XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1	XP_039760319.1
OG0000156	XP_034834990.1	XP_039756689.1
OG0000156	XP_034835010.1	XP_039756715.1
OG0000158	XP_034840914.1, XP_034841076.1, XP_034841077.1	XP_039754865.1, XP_039751813.1, XP_039757448.1, XP_039751236.1, XP_039764399.1, XP_039760573.1, XP_039765561.1, XP_039755612.1, XP_039757005.1, XP_039757467.1, XP_039757714.1, XP_039753858.1, XP_039750319.1, XP_039757709.1, XP_039757803.1, XP_039753253.1, XP_039756321.1, XP_039760225.1, XP_039751385.1, XP_039760377.1, XP_039747038.1, XP_039759166.1, XP_039762135.1, XP_039763462.1, XP_039764424.1, XP_039765825.1, XP_039757025.1, XP_039747568.1
OG0000161	XP_034829418.1, XP_034836848.1, XP_034836538.1	XP_039764266.1, XP_039755389.1, XP_039763787.1
OG0000162	XP_034835629.1, XP_034835505.1	XP_039759555.1
OG0000163	XP_034835691.1, XP_034835688.1	XP_039759097.1, XP_039759094.1
OG0000164	XP_034827405.1	XP_039752137.1
OG0000164	XP_034837112.1	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1
OG0000164	XP_034827829.1	XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1
OG0000165	XP_034825339.1	XP_039746259.1
OG0000165	XP_034825736.1	XP_039745987.1
OG0000165	XP_034825550.1	XP_039745985.1, XP_039746050.1
OG0000166	XP_034833378.1	XP_039758552.1
OG0000166	XP_034833554.1, XP_034833679.1, XP_034833555.1	XP_039758732.1
OG0000167	XP_034830390.1	XP_039754018.1
OG0000167	XP_034838582.1	XP_039748188.1
OG0000168	XP_034824806.1	XP_039749223.1
OG0000169	XP_034835310.1	XP_039759316.1
OG0000169	XP_034835563.1	XP_039759611.1
OG0000170	XP_034833424.1, XP_034833639.1	XP_039758630.1, XP_039758628.1, XP_039758629.1
OG0000170	XP_034833640.1, XP_034833641.1	XP_039758631.1
OG0000171	XP_034827023.1	XP_039751440.1
OG0000171	XP_034827103.1	XP_039751687.1
OG0000172	XP_034827882.1, XP_034827883.1	XP_039751931.1
OG0000172	XP_034827884.1	XP_039751930.1
OG0000174	XP_034837309.1	XP_039752561.1
OG0000174	XP_034839773.1	XP_039763737.1
OG0000175	XP_034837022.1, XP_034837023.1	XP_039761245.1, XP_039761244.1
OG0000175	XP_034840446.1	XP_039747028.1
OG0000175	XP_034832261.1	XP_039753289.1
OG0000178	XP_034836827.1	XP_039761069.1
OG0000178	XP_034836823.1	XP_039761230.1, XP_039761229.1, XP_039761231.1
OG0000179	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1
OG0000180	XP_034832218.1	XP_039763111.1
