Orthogroup	Danaus_plexippus	Maniola_hyperantus
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	XP_034839317.1, XP_034836233.1, XP_034839247.1, XP_034839259.1, XP_034833257.1
OG0000020	DPOGS208960-PA	XP_034825014.1, XP_034825889.1, XP_034837250.1, XP_034826425.1, XP_034826605.1, XP_034829125.1, XP_034834479.1, XP_034835259.1, XP_034835752.1, XP_034837626.1, XP_034824754.1, XP_034839451.1, XP_034838226.1, XP_034837941.1, XP_034837019.1, XP_034829818.1, XP_034824356.1, XP_034833431.1, XP_034832682.1, XP_034824989.1, XP_034836572.1, XP_034836815.1, XP_034840617.1, XP_034840619.1, XP_034839821.1, XP_034829410.1, XP_034827412.1, XP_034827428.1, XP_034825336.1, XP_034824911.1
OG0000022	DPOGS202417-PA	XP_034840993.1
OG0000022	DPOGS202402-PA	XP_034824109.1
OG0000022	DPOGS200512-PA	XP_034839051.1
OG0000022	DPOGS209862-PA	XP_034839055.1
OG0000022	DPOGS202403-PA	XP_034824108.1
OG0000022	DPOGS215440-PA	XP_034836910.1
OG0000022	DPOGS213386-PA	XP_034826465.1
OG0000022	DPOGS213385-PA	XP_034826667.1
OG0000024	DPOGS200042-PA	XP_034831723.1
OG0000025	DPOGS206751-PA, DPOGS206755-PA	XP_034838689.1, XP_034838386.1, XP_034838679.1, XP_034838388.1, XP_034838680.1, XP_034838677.1, XP_034838683.1, XP_034838681.1, XP_034838387.1
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	XP_034838401.1, XP_034838503.1, XP_034838506.1, XP_034838507.1, XP_034838505.1
OG0000028	DPOGS205336-PA	XP_034826918.1, XP_034826917.1, XP_034834764.1, XP_034834919.1, XP_034834728.1, XP_034834729.1, XP_034834730.1, XP_034834731.1, XP_034830316.1, XP_034828236.1
OG0000031	DPOGS212301-PA	XP_034832420.1
OG0000032	DPOGS200472-PA	XP_034830782.1, XP_034839978.1, XP_034824110.1, XP_034841158.1, XP_034831602.1, XP_034836303.1, XP_034827095.1, XP_034837854.1, XP_034832603.1, XP_034839638.1, XP_034828825.1, XP_034834369.1, XP_034838182.1, XP_034839086.1, XP_034837094.1
OG0000034	DPOGS205641-PA	XP_034825265.1
OG0000034	DPOGS205642-PA	XP_034825411.1
OG0000034	DPOGS205643-PA	XP_034825410.1, XP_034825408.1, XP_034825409.1
OG0000034	DPOGS202647-PA	XP_034825541.1
OG0000034	DPOGS202676-PA	XP_034825327.1, XP_034825329.1, XP_034825328.1
OG0000034	DPOGS202644-PA	XP_034825435.1
OG0000036	DPOGS213885-PA	XP_034836753.1, XP_034839925.1, XP_034833648.1, XP_034829769.1, XP_034839923.1, XP_034839931.1, XP_034833647.1, XP_034824799.1, XP_034831592.1, XP_034835733.1, XP_034839897.1, XP_034824697.1, XP_034827638.1, XP_034830008.1, XP_034824034.1, XP_034833570.1, XP_034829464.1
OG0000038	DPOGS214966-PA	XP_034826459.1, XP_034826460.1, XP_034826458.1, XP_034826457.1
OG0000039	DPOGS201794-PA, DPOGS201792-PA	XP_034827544.1
OG0000040	DPOGS211359-PA	XP_034828815.1, XP_034837060.1, XP_034833564.1, XP_034837813.1, XP_034837824.1, XP_034836883.1, XP_034840797.1, XP_034839900.1, XP_034839846.1, XP_034839848.1, XP_034839844.1, XP_034833608.1, XP_034838819.1, XP_034824831.1, XP_034833094.1, XP_034837722.1, XP_034840060.1, XP_034832776.1, XP_034833643.1
OG0000041	DPOGS210496-PA	XP_034835173.1
OG0000041	DPOGS206520-PA	XP_034826640.1, XP_034826639.1, XP_034826636.1, XP_034826637.1, XP_034826638.1
OG0000041	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA	XP_034826600.1
OG0000045	DPOGS210702-PA, DPOGS210700-PA	XP_034828902.1
OG0000045	DPOGS210663-PA	XP_034838919.1
OG0000045	DPOGS210250-PA	XP_034830124.1
OG0000045	DPOGS210048-PA	XP_034838349.1
OG0000045	DPOGS213925-PA, DPOGS213901-PA	XP_034837040.1
OG0000046	DPOGS209145-PA	XP_034829226.1
OG0000046	DPOGS209144-PA	XP_034829217.1, XP_034829227.1
OG0000046	DPOGS209146-PA	XP_034829219.1, XP_034829225.1
OG0000049	DPOGS201061-PA	XP_034826808.1, XP_034826796.1, XP_034826810.1, XP_034827036.1
OG0000050	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA	XP_034834926.1
OG0000053	DPOGS201540-PA	XP_034836880.1
OG0000053	DPOGS201419-PA	XP_034836873.1
OG0000053	DPOGS201422-PA	XP_034836855.1, XP_034836849.1
OG0000053	DPOGS201421-PA	XP_034836907.1
OG0000053	DPOGS201423-PA	XP_034836863.1
OG0000054	DPOGS201193-PA	XP_034831832.1
OG0000054	DPOGS201191-PA, DPOGS201192-PA	XP_034832273.1
OG0000054	DPOGS201177-PA	XP_034832263.1, XP_034832264.1
OG0000054	DPOGS201176-PA, DPOGS201175-PA	XP_034826915.1, XP_034832271.1
OG0000056	DPOGS210281-PA	XP_034837121.1
OG0000057	DPOGS209909-PA	XP_034835052.1
OG0000057	DPOGS209997-PA	XP_034824341.1, XP_034824712.1
OG0000060	DPOGS208010-PA, DPOGS208061-PA	XP_034833415.1
OG0000060	DPOGS200035-PA, DPOGS208060-PA	XP_034833409.1, XP_034833592.1
OG0000061	DPOGS201160-PA	XP_034830407.1, XP_034830397.1, XP_034830601.1, XP_034830408.1, XP_034830399.1, XP_034830394.1
OG0000062	DPOGS202468-PA, DPOGS202469-PA	XP_034824319.1
OG0000062	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA	XP_034838466.1
OG0000062	DPOGS207201-PA	XP_034838025.1, XP_034838341.1, XP_034838023.1, XP_034838027.1, XP_034838024.1, XP_034838026.1, XP_034838022.1, XP_034838342.1
OG0000063	DPOGS201994-PA	XP_034826742.1
OG0000063	DPOGS201995-PA	XP_034826743.1
OG0000063	DPOGS205397-PA	XP_034833681.1, XP_034833680.1, XP_034833683.1, XP_034833682.1
OG0000063	DPOGS208887-PA	XP_034830217.1
OG0000066	DPOGS210132-PA	XP_034836237.1, XP_034836074.1, XP_034836236.1, XP_034836076.1, XP_034836075.1
OG0000067	DPOGS204359-PA	XP_034826553.1, XP_034825998.1
OG0000067	DPOGS204360-PA	XP_034836359.1, XP_034836360.1
OG0000068	DPOGS213409-PA, DPOGS212680-PA	XP_034826565.1, XP_034826563.1
OG0000069	DPOGS206989-PA	XP_034827836.1, XP_034827837.1, XP_034827503.1
OG0000070	DPOGS205142-PA	XP_034835112.1, XP_034825036.1
OG0000071	DPOGS205454-PA	XP_034832601.1
OG0000073	DPOGS205799-PA	XP_034827345.1
OG0000073	DPOGS208534-PA	XP_034827002.1
OG0000073	DPOGS213705-PA	XP_034827001.1
OG0000075	DPOGS201167-PA	XP_034830498.1
OG0000075	DPOGS201162-PA	XP_034830943.1
OG0000075	DPOGS209261-PA	XP_034830541.1
OG0000076	DPOGS206203-PA	XP_034828827.1, XP_034838412.1, XP_034838763.1
OG0000076	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA	XP_034838983.1
OG0000078	DPOGS207021-PA	XP_034827852.1, XP_034827851.1, XP_034827853.1, XP_034827849.1, XP_034827858.1, XP_034833688.1
OG0000082	DPOGS211069-PA	XP_034837737.1
OG0000082	DPOGS203867-PA	XP_034837495.1
OG0000082	DPOGS212546-PA	XP_034837708.1
OG0000083	DPOGS201702-PA	XP_034837077.1
OG0000084	DPOGS200123-PA	XP_034829605.1
OG0000084	DPOGS200124-PA	XP_034827859.1
OG0000085	DPOGS215579-PA	XP_034826948.1, XP_034826962.1, XP_034826949.1, XP_034826960.1, XP_034826961.1, XP_034829482.1, XP_034829481.1
OG0000088	DPOGS215149-PA	XP_034838855.1
OG0000088	DPOGS202814-PA	XP_034826751.1
OG0000089	DPOGS205237-PA	XP_034833735.1, XP_034833787.1, XP_034831243.1, XP_034837631.1, XP_034837907.1, XP_034838533.1, XP_034838261.1, XP_034838260.1, XP_034831244.1, XP_034825404.1
OG0000090	DPOGS210053-PA, DPOGS210052-PA	XP_034824728.1, XP_034824736.1, XP_034824738.1, XP_034824737.1, XP_034824740.1, XP_034824739.1, XP_034824731.1, XP_034824730.1, XP_034824729.1
OG0000091	DPOGS203557-PA, DPOGS202071-PA	XP_034839852.1, XP_034835586.1
OG0000092	DPOGS209254-PA	XP_034830971.1
OG0000093	DPOGS202427-PA	XP_034837580.1
OG0000093	DPOGS202426-PA, DPOGS203872-PA	XP_034837597.1
OG0000093	DPOGS202424-PA	XP_034837561.1
OG0000094	DPOGS213975-PA	XP_034826064.1, XP_034826549.1, XP_034826299.1, XP_034826552.1
OG0000095	DPOGS204282-PA	XP_034841054.1, XP_034824157.1, XP_034824154.1, XP_034824155.1
OG0000096	DPOGS212592-PA	XP_034826970.1, XP_034826971.1
OG0000096	DPOGS212590-PA	XP_034826805.1
OG0000096	DPOGS212591-PA	XP_034826807.1, XP_034826966.1
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	XP_034832726.1
OG0000098	DPOGS209226-PA, DPOGS209225-PA	XP_034828987.1, XP_034828986.1, XP_034829450.1
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	XP_034834955.1
OG0000100	DPOGS215475-PA	XP_034834638.1
OG0000101	DPOGS200031-PA	XP_034833305.1, XP_034833572.1, XP_034833571.1
OG0000102	DPOGS206988-PA	XP_034827509.1
OG0000102	DPOGS206942-PA	XP_034827511.1, XP_034827504.1
OG0000103	DPOGS207082-PA	XP_034827721.1
OG0000108	DPOGS208199-PA	XP_034839890.1, XP_034837747.1
OG0000109	DPOGS209375-PA	XP_034830263.1, XP_034830617.1, XP_034830465.1
OG0000110	DPOGS212705-PA	XP_034828312.1
OG0000110	DPOGS212706-PA	XP_034827561.1
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	XP_034828311.1
OG0000111	DPOGS202624-PA	XP_034828844.1
OG0000111	DPOGS215827-PA	XP_034824587.1
OG0000111	DPOGS215824-PA	XP_034824425.1
OG0000111	DPOGS215826-PA	XP_034824419.1
OG0000112	DPOGS200671-PA	XP_034824987.1
OG0000112	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA	XP_034824550.1, XP_034825377.1, XP_034841192.1, XP_034825391.1
OG0000113	DPOGS203349-PA, DPOGS203350-PA	XP_034838911.1
OG0000113	DPOGS203348-PA	XP_034838915.1, XP_034838912.1, XP_034838914.1
OG0000114	DPOGS206960-PA	XP_034827802.1, XP_034827577.1
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	XP_034825883.1
OG0000115	DPOGS201101-PA	XP_034827053.1, XP_034825882.1
OG0000116	DPOGS211429-PA	XP_034824340.1
OG0000116	DPOGS214479-PA	XP_034837001.1
OG0000116	DPOGS203334-PA	XP_034839409.1
OG0000117	DPOGS206946-PA	XP_034828165.1, XP_034828164.1, XP_034828166.1
OG0000117	DPOGS206945-PA	XP_034828156.1, XP_034828155.1
OG0000118	DPOGS216140-PA	XP_034839973.1
OG0000119	DPOGS203233-PA	XP_034829501.1, XP_034829502.1, XP_034828936.1, XP_034828937.1, XP_034828935.1, XP_034829499.1, XP_034828938.1, XP_034829497.1, XP_034829493.1, XP_034829495.1, XP_034829494.1, XP_034829496.1, XP_034829500.1
OG0000122	DPOGS200373-PA	XP_034830824.1
OG0000122	DPOGS200374-PA	XP_034837883.1, XP_034825562.1, XP_034824123.1
OG0000124	DPOGS206009-PA	XP_034835580.1
OG0000124	DPOGS211433-PA	XP_034824366.1
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	XP_034825845.1, XP_034826126.1, XP_034825850.1, XP_034825848.1, XP_034825849.1, XP_034826317.1, XP_034826318.1
OG0000125	DPOGS214825-PA	XP_034825844.1, XP_034825846.1
OG0000128	DPOGS210158-PA	XP_034835222.1
OG0000128	DPOGS211778-PA	XP_034835626.1, XP_034835625.1
OG0000128	DPOGS210161-PA	XP_034835270.1
OG0000129	DPOGS210178-PA	XP_034826462.1, XP_034826356.1, XP_034826461.1, XP_034826467.1
OG0000131	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA	XP_034837858.1, XP_034838212.1
OG0000132	DPOGS214570-PA	XP_034834282.1, XP_034834241.1, XP_034833542.1
OG0000133	DPOGS204619-PA, DPOGS215001-PA	XP_034838137.1
OG0000134	DPOGS206558-PA	XP_034825942.1
OG0000134	DPOGS213998-PA	XP_034826234.1
OG0000134	DPOGS206556-PA	XP_034825941.1
OG0000137	DPOGS213158-PA	XP_034840852.1, XP_034840854.1, XP_034840850.1, XP_034840851.1, XP_034840849.1
OG0000138	DPOGS201307-PA, DPOGS201308-PA	XP_034840957.1, XP_034840968.1
OG0000138	DPOGS201306-PA	XP_034823988.1, XP_034823996.1
OG0000138	DPOGS210044-PA	XP_034824894.1
OG0000139	DPOGS204151-PA	XP_034833832.1
OG0000139	DPOGS211466-PA	XP_034835919.1
OG0000139	DPOGS204150-PA	XP_034833962.1
OG0000140	DPOGS208587-PA	XP_034836898.1
OG0000140	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA	XP_034836751.1
OG0000140	DPOGS215443-PA	XP_034836899.1
OG0000140	DPOGS215439-PA	XP_034836915.1
OG0000141	DPOGS205275-PA	XP_034829113.1, XP_034829114.1
OG0000142	DPOGS210763-PA	XP_034827901.1
OG0000142	DPOGS208850-PA	XP_034827778.1
OG0000142	DPOGS211692-PA	XP_034827898.1
OG0000143	DPOGS207066-PA	XP_034827819.1
OG0000143	DPOGS207067-PA	XP_034827875.1, XP_034827552.1
OG0000147	DPOGS202135-PA	XP_034833225.1, XP_034833224.1
OG0000147	DPOGS216148-PA	XP_034833227.1, XP_034830230.1
OG0000149	DPOGS211600-PA	XP_034828465.1
OG0000149	DPOGS209815-PA	XP_034829851.1
OG0000150	DPOGS200229-PA	XP_034824833.1, XP_034839952.1
OG0000152	DPOGS203652-PA	XP_034832206.1
OG0000152	DPOGS203849-PA	XP_034833337.1
OG0000152	DPOGS203651-PA	XP_034833675.1
OG0000153	DPOGS200298-PA	XP_034830680.1
OG0000154	DPOGS203730-PA	XP_034836981.1
OG0000155	DPOGS209068-PA	XP_034836190.1, XP_034836186.1, XP_034836192.1, XP_034836191.1, XP_034835787.1, XP_034836193.1
OG0000156	DPOGS201022-PA, DPOGS201021-PA	XP_034835010.1
OG0000162	DPOGS214379-PA, DPOGS212215-PA	XP_034835629.1, XP_034835505.1
OG0000162	DPOGS213682-PA	XP_034835633.1
OG0000163	DPOGS208397-PA, DPOGS208398-PA	XP_034835691.1, XP_034835688.1
OG0000164	DPOGS207033-PA	XP_034827405.1
OG0000164	DPOGS207032-PA	XP_034837112.1, XP_034827829.1
OG0000165	DPOGS202039-PA	XP_034825339.1, XP_034825736.1, XP_034825550.1
OG0000166	DPOGS204571-PA	XP_034833378.1
OG0000166	DPOGS215383-PA	XP_034833554.1, XP_034833679.1, XP_034833555.1
OG0000167	DPOGS200276-PA	XP_034830390.1
OG0000167	DPOGS212517-PA, DPOGS212471-PA	XP_034838582.1
OG0000168	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA	XP_034824806.1
OG0000169	DPOGS209399-PA	XP_034835310.1
OG0000169	DPOGS209397-PA	XP_034835217.1
OG0000169	DPOGS209416-PA, DPOGS209415-PA	XP_034835563.1
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	XP_034833424.1, XP_034833639.1, XP_034833640.1, XP_034833641.1
OG0000171	DPOGS207651-PA	XP_034827023.1
OG0000171	DPOGS207652-PA	XP_034827103.1
OG0000172	DPOGS207109-PA	XP_034827882.1, XP_034827883.1
OG0000172	DPOGS211762-PA	XP_034827884.1
OG0000172	DPOGS207119-PA	XP_034827893.1
OG0000174	DPOGS203785-PA	XP_034837309.1
OG0000174	DPOGS201355-PA	XP_034839773.1
OG0000175	DPOGS213653-PA	XP_034837022.1, XP_034837023.1
OG0000175	DPOGS212172-PA	XP_034840446.1
OG0000175	DPOGS201184-PA	XP_034832261.1
OG0000177	DPOGS213999-PA	XP_034838147.1, XP_034839386.1
OG0000178	DPOGS213916-PA	XP_034836827.1
OG0000178	DPOGS202584-PA, DPOGS208620-PA	XP_034836823.1
OG0000179	DPOGS215238-PA	XP_034833271.1, XP_034833272.1, XP_034833268.1, XP_034833270.1
OG0000180	DPOGS202992-PA	XP_034832218.1
OG0000181	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA	XP_034833016.1, XP_034833014.1, XP_034833015.1, XP_034833013.1, XP_034832827.1
OG0000182	DPOGS210084-PA	XP_034824717.1
OG0000183	DPOGS211358-PA	XP_034835115.1
OG0000183	DPOGS202050-PA	XP_034825260.1
OG0000184	DPOGS210000-PA	XP_034824593.1
OG0000184	DPOGS210945-PA	XP_034828820.1
OG0000184	DPOGS211022-PA	XP_034828761.1
OG0000185	DPOGS207886-PA	XP_034832652.1
OG0000185	DPOGS207877-PA	XP_034832649.1
OG0000185	DPOGS207876-PA	XP_034832651.1
OG0000186	DPOGS200588-PA	XP_034840943.1, XP_034838308.1, XP_034838309.1, XP_034838306.1, XP_034836870.1, XP_034836871.1, XP_034836869.1, XP_034836866.1, XP_034836868.1, XP_034836867.1
OG0000187	DPOGS203099-PA	XP_034827454.1
OG0000187	DPOGS203100-PA, DPOGS203101-PA	XP_034827784.1, XP_034827465.1
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	XP_034831349.1
OG0000190	DPOGS210733-PA	XP_034828878.1, XP_034828877.1, XP_034828527.1
OG0000191	DPOGS203394-PA, DPOGS212004-PA	XP_034839817.1
OG0000192	DPOGS211425-PA	XP_034837865.1
OG0000193	DPOGS208229-PA	XP_034828385.1
OG0000193	DPOGS211597-PA	XP_034828838.1, XP_034828613.1
OG0000194	DPOGS208929-PA	XP_034836309.1, XP_034836913.1, XP_034836914.1, XP_034836894.1, XP_034835085.1, XP_034837912.1, XP_034825820.1, XP_034839207.1, XP_034826877.1, XP_034836912.1, XP_034835088.1, XP_034826328.1, XP_034825197.1, XP_034839208.1, XP_034827094.1, XP_034824411.1, XP_034838359.1, XP_034832156.1
OG0000196	DPOGS215622-PA	XP_034838645.1, XP_034833653.1, XP_034832774.1
OG0000197	DPOGS215734-PA	XP_034835441.1, XP_034835445.1
OG0000197	DPOGS204239-PA	XP_034841518.1, XP_034841517.1, XP_034841519.1, XP_034841516.1
OG0000198	DPOGS212099-PA	XP_034840531.1, XP_034840532.1
OG0000199	DPOGS205139-PA, DPOGS200471-PA	XP_034839636.1
OG0000200	DPOGS209916-PA	XP_034830291.1
OG0000201	DPOGS204865-PA, DPOGS204864-PA	XP_034831339.1, XP_034831571.1, XP_034831344.1, XP_034831572.1, XP_034831341.1, XP_034831570.1
OG0000202	DPOGS211423-PA	XP_034824228.1, XP_034824229.1
OG0000203	DPOGS210787-PA	XP_034830571.1
OG0000203	DPOGS200479-PA	XP_034827127.1, XP_034827128.1
OG0000205	DPOGS209148-PA, DPOGS209147-PA	XP_034829187.1, XP_034826972.1, XP_034826958.1, XP_034826957.1
OG0000206	DPOGS205019-PA	XP_034838830.1, XP_034839065.1
OG0000207	DPOGS207952-PA, DPOGS207950-PA	XP_034833824.1, XP_034830799.1, XP_034837369.1, XP_034837886.1, XP_034831527.1
OG0000208	DPOGS210915-PA	XP_034841203.1, XP_034841212.1
OG0000208	DPOGS210914-PA, DPOGS210912-PA	XP_034831041.1
OG0000209	DPOGS214010-PA	XP_034836601.1
OG0000209	DPOGS204840-PA	XP_034831212.1
OG0000209	DPOGS216112-PA	XP_034827751.1
OG0000210	DPOGS208562-PA	XP_034827061.1
OG0000210	DPOGS208561-PA	XP_034827268.1
OG0000212	DPOGS207988-PA	XP_034824811.1
OG0000212	DPOGS207989-PA	XP_034824810.1
OG0000212	DPOGS207987-PA	XP_034824322.1
OG0000213	DPOGS208066-PA	XP_034841107.1
OG0000213	DPOGS208084-PA	XP_034841109.1
OG0000213	DPOGS208065-PA	XP_034841116.1
OG0000214	DPOGS214058-PA	XP_034827179.1
OG0000215	DPOGS211555-PA	XP_034826616.1, XP_034826619.1, XP_034826617.1
OG0000215	DPOGS211556-PA	XP_034826618.1
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	XP_034824424.1, XP_034824834.1, XP_034824400.1, XP_034824387.1, XP_034824386.1, XP_034824392.1, XP_034824390.1, XP_034824388.1, XP_034824398.1, XP_034824397.1
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	XP_034831715.1, XP_034833550.1, XP_034832132.1, XP_034831727.1
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	XP_034840404.1, XP_034840405.1
OG0000219	DPOGS207542-PA	XP_034826674.1
OG0000219	DPOGS200327-PA	XP_034830924.1, XP_034830922.1
OG0000219	DPOGS200328-PA	XP_034830712.1, XP_034830713.1
OG0000220	DPOGS211390-PA	XP_034824239.1, XP_034832563.1, XP_034832460.1, XP_034824238.1
OG0000221	DPOGS211394-PA	XP_034824881.1, XP_034824880.1
OG0000221	DPOGS205842-PA	XP_034824251.1, XP_034824882.1, XP_034837734.1
OG0000222	DPOGS205017-PA	XP_034838829.1, XP_034838833.1, XP_034838832.1
OG0000224	DPOGS208278-PA, DPOGS208277-PA	XP_034828537.1
OG0000225	DPOGS214884-PA	XP_034832841.1, XP_034839974.1, XP_034839594.1
OG0000227	DPOGS209796-PA	XP_034828837.1, XP_034827085.1, XP_034828836.1, XP_034828834.1
OG0000228	DPOGS212515-PA	XP_034838358.1
OG0000228	DPOGS207206-PA	XP_034838346.1
OG0000228	DPOGS207204-PA, DPOGS207199-PA	XP_034838347.1
OG0000229	DPOGS214632-PA	XP_034834094.1
OG0000229	DPOGS215746-PA	XP_034832472.1
OG0000230	DPOGS209009-PA, DPOGS209016-PA	XP_034830126.1
OG0000230	DPOGS205205-PA, DPOGS205235-PA	XP_034838272.1
OG0000230	DPOGS211996-PA	XP_034830058.1
OG0000231	DPOGS208443-PA	XP_034827932.1, XP_034827787.1, XP_034827788.1
OG0000232	DPOGS207028-PA	XP_034827131.1
OG0000233	DPOGS215920-PA	XP_034824533.1, XP_034824532.1
OG0000233	DPOGS215875-PA	XP_034824539.1, XP_034824540.1, XP_034824538.1, XP_034824537.1
OG0000234	DPOGS201732-PA	XP_034838523.1
OG0000235	DPOGS211850-PA	XP_034825165.1
OG0000235	DPOGS211974-PA	XP_034825698.1, XP_034825699.1, XP_034825700.1
OG0000236	DPOGS207247-PA	XP_034831322.1
OG0000236	DPOGS207308-PA	XP_034831587.1, XP_034831148.1
OG0000237	DPOGS201064-PA	XP_034833180.1
OG0000237	DPOGS201065-PA	XP_034833635.1
OG0000237	DPOGS201066-PA	XP_034833124.1
OG0000238	DPOGS200166-PA	XP_034840526.1, XP_034840527.1
OG0000238	DPOGS200498-PA	XP_034826156.1, XP_034826684.1
OG0000239	DPOGS200316-PA	XP_034830631.1
OG0000239	DPOGS200315-PA, DPOGS200313-PA	XP_034830633.1, XP_034830635.1, XP_034830636.1, XP_034830634.1
OG0000245	DPOGS211482-PA	XP_034830815.1, XP_034832174.1, XP_034837443.1
OG0000246	DPOGS212261-PA	XP_034829444.1
OG0000247	DPOGS204977-PA	XP_034836061.1
OG0000247	DPOGS204997-PA	XP_034836067.1
OG0000248	DPOGS208848-PA, DPOGS208849-PA	XP_034827678.1
OG0000248	DPOGS210769-PA	XP_034828141.1
OG0000249	DPOGS204790-PA	XP_034836348.1, XP_034836346.1, XP_034836347.1
OG0000250	DPOGS206089-PA	XP_034827768.1
OG0000250	DPOGS205124-PA	XP_034827688.1
OG0000250	DPOGS206088-PA	XP_034827686.1
OG0000252	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA	XP_034827066.1
OG0000253	DPOGS206787-PA, DPOGS205863-PA	XP_034839930.1
OG0000254	DPOGS206219-PA	XP_034838643.1
OG0000255	DPOGS201291-PA	XP_034826982.1, XP_034826991.1
OG0000255	DPOGS203189-PA	XP_034839637.1
OG0000257	DPOGS202490-PA	XP_034829640.1
OG0000257	DPOGS206965-PA	XP_034828074.1
OG0000258	DPOGS214473-PA, DPOGS216098-PA	XP_034836671.1
OG0000259	DPOGS213276-PA	XP_034833629.1
OG0000259	DPOGS204809-PA	XP_034833614.1
OG0000260	DPOGS201723-PA	XP_034838428.1, XP_034838425.1
OG0000262	DPOGS204048-PA	XP_034834187.1
OG0000262	DPOGS211663-PA	XP_034834186.1
OG0000263	DPOGS207205-PA	XP_034838033.1, XP_034838344.1, XP_034838028.1, XP_034838020.1, XP_034838030.1, XP_034838343.1, XP_034838031.1, XP_034838032.1
OG0000264	DPOGS211375-PA	XP_034824607.1
