Orthogroup	Danaus_plexippus	Bicyclus_anynana
OG0000067	DPOGS204359-PA	Bany_02338-RA
OG0000067	DPOGS204360-PA	Bany_16557-RA, Bany_16558-RA, Bany_06790-RA
OG0000068	DPOGS213409-PA, DPOGS212680-PA	Bany_02228-RA, Bany_02226-RA, Bany_02214-RA
OG0000069	DPOGS206989-PA	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA, Bany_01516-RA, Bany_01517-RA, Bany_01518-RA, Bany_01528-RA, Bany_01514-RA, Bany_01522-RA, Bany_01521-RA, Bany_01519-RA, Bany_01520-RA, Bany_01526-RA
OG0000071	DPOGS205454-PA	Bany_13125-RA
OG0000071	DPOGS200879-PA	Bany_13126-RA
OG0000073	DPOGS205799-PA	Bany_06221-RA
OG0000073	DPOGS208534-PA	Bany_06084-RA
OG0000073	DPOGS213705-PA	Bany_06086-RA, Bany_06085-RA, Bany_06087-RA, Bany_06075-RA
OG0000075	DPOGS201167-PA	Bany_07998-RA
OG0000075	DPOGS201162-PA	Bany_08015-RA
OG0000075	DPOGS209261-PA	Bany_08220-RA
OG0000076	DPOGS206203-PA	Bany_10910-RA, Bany_16165-RA
OG0000076	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA	Bany_16171-RA, Bany_16169-RA
OG0000078	DPOGS207021-PA	Bany_01615-RA, Bany_02387-RA, Bany_01616-RA
OG0000082	DPOGS211069-PA	Bany_06988-RA
OG0000082	DPOGS203868-PA	Bany_06982-RA
OG0000082	DPOGS212546-PA	Bany_06548-RA
OG0000084	DPOGS200123-PA	Bany_12323-RA, Bany_12325-RA
OG0000084	DPOGS200058-PA	Bany_12320-RA
OG0000084	DPOGS200124-PA	Bany_12318-RA
OG0000084	DPOGS200060-PA	Bany_12324-RA
OG0000085	DPOGS215579-PA	Bany_15468-RA, Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000088	DPOGS215149-PA	Bany_16383-RA
OG0000088	DPOGS202814-PA	Bany_06437-RA
OG0000090	DPOGS210053-PA, DPOGS210052-PA	Bany_09928-RA, Bany_09929-RA, Bany_09926-RA, Bany_09927-RA, Bany_11038-RA, Bany_15880-RA, Bany_09933-RA, Bany_09930-RA, Bany_17936-RA, Bany_17933-RA, Bany_17935-RA, Bany_09932-RA, Bany_08771-RA, Bany_09931-RA
OG0000091	DPOGS203557-PA	Bany_10128-RA
OG0000091	DPOGS213963-PA	Bany_05733-RA
OG0000091	DPOGS203556-PA	Bany_10777-RA
OG0000092	DPOGS209254-PA	Bany_08204-RA, Bany_08211-RA, Bany_08212-RA, Bany_08210-RA
OG0000092	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA	Bany_08213-RA
OG0000092	DPOGS209259-PA, DPOGS209253-PA	Bany_08203-RA
OG0000093	DPOGS202427-PA	Bany_07027-RA
OG0000093	DPOGS202426-PA, DPOGS203872-PA	Bany_06973-RA, Bany_06974-RA
OG0000093	DPOGS202424-PA	Bany_07030-RA, Bany_07031-RA
OG0000094	DPOGS213975-PA	Bany_02330-RA, Bany_02336-RA, Bany_02337-RA
OG0000095	DPOGS204282-PA	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA
OG0000096	DPOGS212592-PA	Bany_05878-RA
OG0000096	DPOGS212590-PA	Bany_05883-RA
OG0000096	DPOGS212591-PA	Bany_05880-RA
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	DPOGS209226-PA, DPOGS209225-PA	Bany_15791-RA, Bany_15790-RA, Bany_15822-RA, Bany_15823-RA, Bany_15793-RA, Bany_15792-RA, Bany_14920-RA, Bany_14950-RA, Bany_15794-RA, Bany_09166-RA, Bany_14951-RA, Bany_14952-RA, Bany_14953-RA
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA
OG0000100	DPOGS215475-PA	Bany_14503-RA
OG0000100	DPOGS215477-PA	Bany_14500-RA
OG0000101	DPOGS200031-PA	Bany_15315-RA
OG0000101	DPOGS200026-PA	Bany_06155-RA
OG0000102	DPOGS206942-PA	Bany_01509-RA, Bany_01511-RA
OG0000103	DPOGS207082-PA	Bany_01667-RA
OG0000108	DPOGS212246-PA	Bany_16502-RA
OG0000108	DPOGS208199-PA	Bany_04119-RA, Bany_10373-RA
OG0000108	DPOGS209435-PA	Bany_07404-RA
OG0000109	DPOGS209375-PA	Bany_08610-RA, Bany_08609-RA, Bany_02025-RA, Bany_08600-RA, Bany_11580-RA, Bany_08603-RA, Bany_08602-RA
OG0000110	DPOGS212705-PA	Bany_01227-RA, Bany_01228-RA
OG0000110	DPOGS212706-PA	Bany_01226-RA, Bany_01225-RA
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	Bany_01235-RA
OG0000111	DPOGS202624-PA	Bany_10939-RA
OG0000111	DPOGS215827-PA	Bany_10437-RA
OG0000111	DPOGS215826-PA	Bany_10438-RA
OG0000112	DPOGS200671-PA	Bany_03560-RA
OG0000112	DPOGS200675-PA, DPOGS200676-PA	Bany_03561-RA
OG0000112	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA	Bany_03558-RA, Bany_03554-RA, Bany_03555-RA, Bany_03559-RA
OG0000113	DPOGS203349-PA, DPOGS203350-PA	Bany_15687-RA
OG0000113	DPOGS203348-PA	Bany_16241-RA
OG0000113	DPOGS205179-PA	Bany_05360-RA
OG0000114	DPOGS206960-PA	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA, Bany_01222-RA, Bany_01450-RA, Bany_01444-RA, Bany_01446-RA
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	Bany_02238-RA
OG0000115	DPOGS201101-PA	Bany_06385-RA, Bany_02241-RA
OG0000116	DPOGS211429-PA	Bany_10490-RA
OG0000116	DPOGS214479-PA	Bany_17622-RA
OG0000116	DPOGS203334-PA	Bany_07549-RA
OG0000117	DPOGS206946-PA	Bany_01550-RA
OG0000117	DPOGS206945-PA	Bany_01547-RA, Bany_01546-RA, Bany_01549-RA, Bany_01548-RA
OG0000118	DPOGS216140-PA	Bany_18153-RA, Bany_12886-RA, Bany_12914-RA, Bany_16031-RA, Bany_16497-RA, Bany_12878-RA, Bany_02158-RA
OG0000119	DPOGS203233-PA	Bany_15451-RA, Bany_15452-RA
OG0000120	DPOGS202536-PA	Bany_09173-RA, Bany_14910-RA
OG0000122	DPOGS200373-PA	Bany_08302-RA
OG0000122	DPOGS200374-PA	Bany_01663-RA, Bany_16424-RA, Bany_01640-RA, Bany_17292-RA, Bany_17291-RA, Bany_05652-RA, Bany_15645-RA, Bany_14514-RA, Bany_16882-RA, Bany_16881-RA, Bany_00527-RA, Bany_13318-RA
OG0000123	DPOGS204956-PA	Bany_07450-RA
OG0000124	DPOGS206009-PA	Bany_11544-RA, Bany_11546-RA
OG0000124	DPOGS211433-PA	Bany_10467-RA, Bany_10468-RA
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	Bany_02581-RA, Bany_02575-RA, Bany_02580-RA, Bany_02579-RA, Bany_02576-RA, Bany_02578-RA
OG0000125	DPOGS214825-PA	Bany_02582-RA
OG0000127	DPOGS210351-PA	Bany_12868-RA, Bany_12837-RA, Bany_16156-RA, Bany_13810-RA, Bany_13611-RA
OG0000128	DPOGS210158-PA	Bany_11636-RA
OG0000128	DPOGS211778-PA	Bany_11151-RA
OG0000128	DPOGS210161-PA	Bany_11631-RA
OG0000129	DPOGS210178-PA	Bany_01924-RA, Bany_01923-RA, Bany_03707-RA, Bany_03706-RA, Bany_01921-RA, Bany_03708-RA, Bany_01929-RA, Bany_01928-RA
OG0000130	DPOGS215233-PA	Bany_17026-RA
OG0000131	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA	Bany_12626-RA
OG0000132	DPOGS214570-PA	Bany_09628-RA, Bany_03286-RA, Bany_15311-RA, Bany_08048-RA
OG0000133	DPOGS204619-PA, DPOGS215001-PA	Bany_12678-RA
OG0000133	DPOGS201589-PA	Bany_12676-RA
OG0000134	DPOGS206558-PA	Bany_02357-RA
OG0000134	DPOGS213998-PA	Bany_02392-RA
OG0000134	DPOGS206556-PA	Bany_02358-RA
OG0000136	DPOGS203111-PA, DPOGS213873-PA, DPOGS208765-PA, DPOGS201207-PA, DPOGS208126-PA	Bany_08639-RA, Bany_08641-RA
OG0000136	DPOGS203777-PA, DPOGS200805-PA, DPOGS200808-PA, DPOGS215502-PA, DPOGS201206-PA, DPOGS203467-PA, DPOGS213849-PA, DPOGS208148-PA, DPOGS209408-PA	Bany_07446-RA
OG0000137	DPOGS213158-PA	Bany_00008-RA, Bany_15166-RA, Bany_00005-RA
OG0000138	DPOGS201307-PA, DPOGS201308-PA	Bany_03566-RA
OG0000138	DPOGS210044-PA	Bany_09914-RA
OG0000139	DPOGS204151-PA	Bany_09402-RA
OG0000139	DPOGS211466-PA	Bany_17102-RA
OG0000139	DPOGS204150-PA	Bany_09407-RA
OG0000140	DPOGS208587-PA	Bany_17563-RA
OG0000140	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA	Bany_17491-RA
OG0000140	DPOGS215443-PA	Bany_17568-RA
OG0000140	DPOGS215439-PA	Bany_17569-RA
OG0000141	DPOGS205275-PA	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	DPOGS210763-PA	Bany_01108-RA, Bany_01109-RA
OG0000142	DPOGS208850-PA	Bany_01116-RA
OG0000142	DPOGS211692-PA	Bany_01110-RA
OG0000143	DPOGS207066-PA	Bany_01334-RA
OG0000143	DPOGS207067-PA	Bany_01332-RA, Bany_01256-RA
OG0000147	DPOGS216148-PA	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000148	DPOGS212460-PA	Bany_04088-RA, Bany_06072-RA, Bany_06798-RA, Bany_11576-RA, Bany_14588-RA, Bany_08968-RA, Bany_02334-RA, Bany_06116-RA, Bany_14143-RA, Bany_06375-RA, Bany_07838-RA, Bany_08434-RA, Bany_04388-RA, Bany_08363-RA
OG0000148	DPOGS211269-PA	Bany_12306-RA
OG0000149	DPOGS211600-PA	Bany_10899-RA
OG0000149	DPOGS209815-PA	Bany_11924-RA
OG0000150	DPOGS200229-PA	Bany_10410-RA, Bany_01083-RA, Bany_01082-RA, Bany_15649-RA, Bany_15123-RA, Bany_05527-RA
OG0000152	DPOGS203652-PA	Bany_04680-RA
OG0000152	DPOGS203849-PA	Bany_04673-RA
OG0000152	DPOGS203651-PA	Bany_04678-RA
OG0000153	DPOGS200298-PA	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	DPOGS203730-PA	Bany_17666-RA, Bany_17667-RA
OG0000155	DPOGS209068-PA	Bany_17353-RA, Bany_17351-RA, Bany_17350-RA, Bany_17354-RA
OG0000156	DPOGS201022-PA, DPOGS201021-PA	Bany_14780-RA, Bany_14779-RA
OG0000160	DPOGS211357-PA	Bany_02510-RA, Bany_02935-RA, Bany_09324-RA
OG0000160	DPOGS205216-PA	Bany_13021-RA
OG0000162	DPOGS214379-PA, DPOGS212215-PA	Bany_11202-RA, Bany_11201-RA
OG0000162	DPOGS213682-PA	Bany_11203-RA
OG0000163	DPOGS208397-PA, DPOGS208398-PA	Bany_11267-RA
OG0000164	DPOGS207033-PA	Bany_01420-RA
OG0000164	DPOGS207032-PA	Bany_17803-RA, Bany_01418-RA
OG0000165	DPOGS214443-PA, DPOGS214442-PA	Bany_05347-RA
OG0000165	DPOGS202039-PA	Bany_05348-RA, Bany_05345-RA, Bany_05323-RA, Bany_05322-RA
OG0000166	DPOGS204571-PA	Bany_15015-RA
OG0000166	DPOGS215383-PA	Bany_15344-RA
OG0000167	DPOGS200276-PA	Bany_08543-RA
OG0000167	DPOGS212517-PA, DPOGS212471-PA	Bany_06853-RA
OG0000168	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA	Bany_10238-RA, Bany_10241-RA
OG0000169	DPOGS209399-PA	Bany_11620-RA
OG0000169	DPOGS209397-PA	Bany_11622-RA
OG0000169	DPOGS209416-PA, DPOGS209415-PA	Bany_11612-RA
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	Bany_15232-RA, Bany_15234-RA, Bany_15233-RA
OG0000171	DPOGS207651-PA	Bany_06399-RA, Bany_06398-RA, Bany_06397-RA
OG0000171	DPOGS207652-PA	Bany_06400-RA, Bany_06401-RA
OG0000172	DPOGS207109-PA	Bany_01720-RA
OG0000172	DPOGS211762-PA	Bany_01725-RA, Bany_01726-RA
OG0000172	DPOGS207119-PA	Bany_01776-RA
OG0000174	DPOGS201355-PA	Bany_07483-RA
OG0000175	DPOGS213653-PA	Bany_17401-RA
OG0000175	DPOGS212172-PA	Bany_02772-RA
OG0000175	DPOGS201184-PA	Bany_07033-RA
OG0000176	DPOGS212237-PA	Bany_16878-RA, Bany_16877-RA
OG0000177	DPOGS215539-PA	Bany_07445-RA, Bany_07443-RA, Bany_01572-RA, Bany_14997-RA, Bany_09958-RA, Bany_12748-RA, Bany_11507-RA
OG0000177	DPOGS213999-PA	Bany_14912-RA, Bany_02577-RA
OG0000178	DPOGS213916-PA	Bany_17428-RA
OG0000178	DPOGS202584-PA, DPOGS208620-PA	Bany_17535-RA
OG0000179	DPOGS215239-PA	Bany_14923-RA
OG0000180	DPOGS202992-PA	Bany_09947-RA, Bany_07642-RA
OG0000181	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	DPOGS210084-PA	Bany_11088-RA, Bany_11086-RA, Bany_11087-RA, Bany_09984-RA
OG0000183	DPOGS211358-PA	Bany_11605-RA
OG0000183	DPOGS210612-PA	Bany_04948-RA
OG0000183	DPOGS202050-PA	Bany_05295-RA
OG0000184	DPOGS210000-PA	Bany_10003-RA
OG0000184	DPOGS210945-PA	Bany_10868-RA
OG0000184	DPOGS211022-PA	Bany_10869-RA
OG0000185	DPOGS207886-PA	Bany_13249-RA
OG0000185	DPOGS207876-PA	Bany_13247-RA
OG0000186	DPOGS200588-PA	Bany_12933-RA, Bany_12934-RA, Bany_12932-RA, Bany_17541-RA, Bany_17540-RA
OG0000187	DPOGS203099-PA	Bany_01200-RA
OG0000187	DPOGS203100-PA, DPOGS203101-PA	Bany_01201-RA
OG0000187	DPOGS205242-PA	Bany_12865-RA
OG0000188	DPOGS200256-PA	Bany_17928-RA
OG0000188	DPOGS210269-PA, DPOGS210268-PA, DPOGS210271-PA, DPOGS210270-PA, DPOGS210265-PA	Bany_17929-RA, Bany_17926-RA, Bany_17925-RA, Bany_14775-RA
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	Bany_14114-RA
OG0000190	DPOGS210733-PA	Bany_11035-RA, Bany_11034-RA, Bany_11033-RA
OG0000191	DPOGS203394-PA, DPOGS212004-PA	Bany_07730-RA
OG0000193	DPOGS208229-PA	Bany_10556-RA
OG0000193	DPOGS211597-PA	Bany_10955-RA
OG0000194	DPOGS208929-PA	Bany_15533-RA, Bany_05542-RA, Bany_12901-RA
OG0000196	DPOGS215622-PA	Bany_17044-RA, Bany_04640-RA, Bany_04860-RA
OG0000197	DPOGS215734-PA	Bany_04457-RA
OG0000197	DPOGS204239-PA	Bany_00477-RA
OG0000198	DPOGS212099-PA	Bany_02797-RA
OG0000198	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA	Bany_02793-RA, Bany_02792-RA, Bany_02791-RA
OG0000199	DPOGS200655-PA	Bany_05597-RA
OG0000200	DPOGS209916-PA	Bany_08251-RA
OG0000201	DPOGS204865-PA, DPOGS204864-PA	Bany_14127-RA, Bany_14125-RA
OG0000202	DPOGS211423-PA	Bany_10409-RA
OG0000205	DPOGS209148-PA, DPOGS209147-PA	Bany_05865-RA, Bany_05999-RA, Bany_05998-RA, Bany_05997-RA, Bany_05996-RA, Bany_05864-RA, Bany_04929-RA
OG0000206	DPOGS205019-PA	Bany_16059-RA
OG0000207	DPOGS207952-PA, DPOGS207950-PA	Bany_13641-RA
OG0000208	DPOGS210915-PA	Bany_03552-RA
OG0000208	DPOGS210914-PA, DPOGS210912-PA	Bany_03551-RA
OG0000209	DPOGS214010-PA	Bany_16584-RA
OG0000209	DPOGS204840-PA	Bany_14066-RA
OG0000209	DPOGS216112-PA	Bany_16586-RA
OG0000210	DPOGS208562-PA	Bany_06149-RA
OG0000210	DPOGS208561-PA	Bany_06148-RA
OG0000212	DPOGS207987-PA	Bany_10229-RA
OG0000213	DPOGS208066-PA	Bany_00465-RA
OG0000213	DPOGS208084-PA	Bany_00463-RA
OG0000213	DPOGS208065-PA	Bany_00461-RA
OG0000214	DPOGS214058-PA	Bany_06287-RA
OG0000215	DPOGS211555-PA	Bany_02488-RA
OG0000215	DPOGS211556-PA	Bany_02487-RA
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	Bany_10345-RA, Bany_10348-RA, Bany_10346-RA
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	Bany_04902-RA
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	Bany_03216-RA, Bany_03215-RA, Bany_03218-RA, Bany_03217-RA, Bany_03221-RA, Bany_03223-RA, Bany_03224-RA
OG0000219	DPOGS207542-PA	Bany_02621-RA
OG0000219	DPOGS200327-PA	Bany_08468-RA
OG0000219	DPOGS200328-PA	Bany_08466-RA
OG0000220	DPOGS211390-PA	Bany_10486-RA
OG0000220	DPOGS205839-PA, DPOGS205840-PA	Bany_10494-RA
OG0000221	DPOGS211394-PA	Bany_10492-RA
