Orthogroup	Danaus_plexippus	Vanessa_tameamea
OG0000013	DPOGS211040-PA	XP_026497962.1, XP_026498879.1, XP_026496138.1, XP_026497446.1, XP_026485615.1, XP_026486010.1, XP_026500024.1, XP_026496137.1, XP_026491790.1, XP_026491789.1, XP_026492509.1, XP_026492507.1, XP_026491699.1, XP_026492511.1, XP_026492512.1, XP_026487951.1, XP_026487311.1, XP_026487309.1
OG0000016	DPOGS200806-PA	XP_026487868.1, XP_026494832.1, XP_026497219.1, XP_026498863.1
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	XP_026500174.1, XP_026486406.1, XP_026486403.1, XP_026501049.1, XP_026486538.1, XP_026497909.1
OG0000020	DPOGS208960-PA	XP_026499906.1, XP_026498149.1
OG0000022	DPOGS202417-PA	XP_026484827.1
OG0000022	DPOGS202402-PA	XP_026484834.1
OG0000022	DPOGS200512-PA	XP_026486487.1
OG0000022	DPOGS209862-PA	XP_026483171.1
OG0000022	DPOGS202403-PA	XP_026484818.1
OG0000022	DPOGS215440-PA	XP_026486002.1
OG0000022	DPOGS213388-PA	XP_026489859.1
OG0000022	DPOGS213385-PA	XP_026496869.1
OG0000025	DPOGS206751-PA, DPOGS206755-PA	XP_026490610.1
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	XP_026490605.1, XP_026490616.1
OG0000028	DPOGS205336-PA	XP_026495729.1, XP_026495795.1, XP_026498861.1
OG0000031	DPOGS212301-PA	XP_026499704.1, XP_026499703.1
OG0000032	DPOGS200472-PA	XP_026483297.1, XP_026500015.1, XP_026498875.1, XP_026500132.1, XP_026499980.1
OG0000034	DPOGS205641-PA	XP_026491775.1
OG0000034	DPOGS205643-PA	XP_026491689.1
OG0000034	DPOGS202647-PA	XP_026491466.1
OG0000034	DPOGS202676-PA	XP_026491224.1
OG0000034	DPOGS202644-PA	XP_026488819.1, XP_026488805.1, XP_026488820.1, XP_026488806.1, XP_026488817.1, XP_026488809.1, XP_026488816.1, XP_026488808.1
OG0000035	DPOGS204320-PA, DPOGS215450-PA	XP_026492510.1
OG0000036	DPOGS213885-PA	XP_026487154.1, XP_026488619.1, XP_026499962.1, XP_026500896.1, XP_026496433.1
OG0000038	DPOGS214966-PA	XP_026490184.1, XP_026490183.1
OG0000039	DPOGS201794-PA, DPOGS201792-PA	XP_026488881.1
OG0000040	DPOGS211359-PA	XP_026499742.1
OG0000041	DPOGS210496-PA	XP_026490916.1
OG0000041	DPOGS206520-PA	XP_026491898.1, XP_026483601.1
OG0000041	DPOGS214077-PA, DPOGS213848-PA, DPOGS213845-PA, DPOGS202485-PA, DPOGS213847-PA	XP_026497751.1
OG0000044	DPOGS216008-PA	XP_026500138.1
OG0000045	DPOGS210702-PA, DPOGS210700-PA	XP_026485346.1
OG0000045	DPOGS210250-PA	XP_026489199.1
OG0000045	DPOGS212775-PA	XP_026488897.1
OG0000045	DPOGS213925-PA, DPOGS213901-PA	XP_026493800.1, XP_026493802.1
OG0000046	DPOGS209145-PA	XP_026496278.1
OG0000046	DPOGS209146-PA	XP_026496280.1
OG0000048	DPOGS215280-PA	XP_026494057.1
OG0000049	DPOGS201061-PA	XP_026484586.1, XP_026485111.1, XP_026491363.1
OG0000050	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA	XP_026501017.1
OG0000052	DPOGS210331-PA	XP_026487271.1
OG0000053	DPOGS201540-PA	XP_026497060.1
OG0000053	DPOGS201419-PA	XP_026497094.1
OG0000053	DPOGS201422-PA	XP_026497148.1, XP_026497147.1
OG0000053	DPOGS201421-PA	XP_026497076.1, XP_026497075.1
OG0000053	DPOGS201423-PA	XP_026497149.1
OG0000054	DPOGS201193-PA	XP_026492237.1
OG0000055	DPOGS207736-PA, DPOGS208302-PA	XP_026491734.1
OG0000056	DPOGS210281-PA	XP_026498825.1
OG0000056	DPOGS206197-PA, DPOGS206198-PA, DPOGS206183-PA, DPOGS206194-PA	XP_026498828.1
OG0000056	DPOGS206182-PA	XP_026499964.1
OG0000057	DPOGS209909-PA	XP_026496531.1
OG0000057	DPOGS209884-PA	XP_026496524.1
OG0000057	DPOGS209997-PA	XP_026499452.1, XP_026499751.1, XP_026499478.1, XP_026499470.1
OG0000058	DPOGS215426-PA	XP_026497189.1
OG0000060	DPOGS208010-PA, DPOGS208061-PA	XP_026493438.1, XP_026493441.1
OG0000061	DPOGS201160-PA	XP_026488092.1, XP_026496799.1, XP_026496786.1, XP_026488110.1, XP_026488120.1, XP_026488093.1
OG0000062	DPOGS202468-PA, DPOGS202469-PA	XP_026486062.1
OG0000062	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA	XP_026483731.1
OG0000062	DPOGS207201-PA	XP_026493052.1
OG0000063	DPOGS201994-PA	XP_026483335.1, XP_026483375.1
OG0000063	DPOGS201995-PA	XP_026483353.1
OG0000063	DPOGS205397-PA	XP_026493090.1
OG0000066	DPOGS210132-PA	XP_026500159.1
OG0000067	DPOGS204359-PA	XP_026499417.1
OG0000067	DPOGS204360-PA	XP_026492031.1
OG0000068	DPOGS213409-PA, DPOGS212680-PA	XP_026494442.1
OG0000069	DPOGS206989-PA	XP_026489035.1
OG0000071	DPOGS205454-PA	XP_026492973.1
OG0000073	DPOGS205799-PA	XP_026488168.1, XP_026488091.1, XP_026488023.1
OG0000073	DPOGS208534-PA	XP_026501251.1, XP_026501242.1
OG0000073	DPOGS213705-PA	XP_026483469.1
OG0000075	DPOGS201167-PA	XP_026487164.1
OG0000075	DPOGS201162-PA	XP_026488107.1
OG0000075	DPOGS209261-PA	XP_026488301.1, XP_026488302.1
OG0000076	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA	XP_026490686.1
OG0000078	DPOGS207021-PA	XP_026497763.1, XP_026497768.1
OG0000082	DPOGS211069-PA	XP_026484136.1
OG0000082	DPOGS203868-PA	XP_026484086.1
OG0000082	DPOGS203867-PA	XP_026484147.1
OG0000082	DPOGS212546-PA	XP_026484166.1
OG0000083	DPOGS201702-PA	XP_026498756.1
OG0000083	DPOGS212183-PA	XP_026498757.1
OG0000084	DPOGS200123-PA	XP_026492846.1
OG0000084	DPOGS200060-PA	XP_026492749.1
OG0000085	DPOGS215579-PA	XP_026496424.1, XP_026496275.1
OG0000088	DPOGS202810-PA	XP_026489493.1
OG0000088	DPOGS215149-PA	XP_026483148.1
OG0000088	DPOGS202814-PA	XP_026489494.1
OG0000090	DPOGS210053-PA, DPOGS210052-PA	XP_026490095.1
OG0000091	DPOGS203557-PA, DPOGS202071-PA	XP_026496136.1
OG0000092	DPOGS209254-PA	XP_026488296.1
OG0000093	DPOGS202427-PA	XP_026483919.1, XP_026483920.1
OG0000093	DPOGS202426-PA, DPOGS203872-PA	XP_026483917.1
OG0000093	DPOGS202424-PA	XP_026484027.1, XP_026484028.1
OG0000094	DPOGS213975-PA	XP_026488555.1, XP_026492024.1
OG0000095	DPOGS204282-PA	XP_026484614.1, XP_026484892.1
OG0000096	DPOGS212592-PA	XP_026498766.1
OG0000096	DPOGS212590-PA	XP_026489765.1, XP_026489764.1
OG0000096	DPOGS212591-PA	XP_026498776.1, XP_026498782.1
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	XP_026498905.1, XP_026498928.1
OG0000098	DPOGS209226-PA, DPOGS209225-PA	XP_026498603.1
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	XP_026495781.1
OG0000100	DPOGS215475-PA	XP_026495693.1
OG0000101	DPOGS200031-PA	XP_026493040.1, XP_026493038.1
OG0000102	DPOGS206988-PA	XP_026489046.1
OG0000103	DPOGS207082-PA	XP_026498404.1, XP_026498400.1, XP_026498403.1
OG0000109	DPOGS209375-PA	XP_026497971.1, XP_026497973.1, XP_026497974.1, XP_026497980.1
OG0000110	DPOGS212705-PA	XP_026488961.1, XP_026488962.1
OG0000110	DPOGS212706-PA	XP_026489019.1
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	XP_026488986.1, XP_026488980.1, XP_026488982.1, XP_026488981.1
OG0000111	DPOGS202624-PA	XP_026485541.1
OG0000111	DPOGS215827-PA	XP_026486198.1
OG0000111	DPOGS215824-PA	XP_026485801.1
OG0000111	DPOGS215826-PA	XP_026486121.1
OG0000112	DPOGS200671-PA	XP_026488156.1
OG0000112	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA	XP_026488169.1
OG0000113	DPOGS203349-PA, DPOGS203350-PA	XP_026498858.1
OG0000113	DPOGS203348-PA	XP_026486407.1
OG0000114	DPOGS206960-PA	XP_026488859.1, XP_026488856.1
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	XP_026494479.1
OG0000115	DPOGS201101-PA	XP_026500251.1, XP_026500243.1, XP_026494478.1
OG0000116	DPOGS211429-PA	XP_026486128.1
OG0000116	DPOGS214479-PA	XP_026494070.1
OG0000116	DPOGS203334-PA	XP_026496653.1
OG0000117	DPOGS206946-PA	XP_026488567.1
OG0000117	DPOGS206945-PA	XP_026488566.1
OG0000118	DPOGS216140-PA	XP_026501071.1, XP_026490964.1
OG0000119	DPOGS203233-PA	XP_026496437.1
OG0000122	DPOGS200373-PA	XP_026499961.1
OG0000122	DPOGS200374-PA	XP_026499981.1
OG0000123	DPOGS204956-PA	XP_026500003.1, XP_026496505.1, XP_026498408.1
OG0000124	DPOGS206009-PA	XP_026492747.1
OG0000124	DPOGS206011-PA	XP_026485988.1
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	XP_026491913.1
OG0000125	DPOGS214825-PA	XP_026491928.1
OG0000126	DPOGS206199-PA	XP_026496122.1
OG0000127	DPOGS210351-PA	XP_026498360.1, XP_026489582.1, XP_026487263.1
OG0000128	DPOGS210158-PA	XP_026494344.1
OG0000128	DPOGS211778-PA	XP_026494318.1
OG0000128	DPOGS210161-PA	XP_026494332.1
OG0000129	DPOGS210178-PA	XP_026490171.1, XP_026490170.1, XP_026489552.1, XP_026489551.1, XP_026490185.1
OG0000131	DPOGS211520-PA	XP_026490706.1
OG0000132	DPOGS214570-PA	XP_026489619.1, XP_026489627.1
OG0000133	DPOGS204619-PA, DPOGS215001-PA	XP_026500939.1
OG0000133	DPOGS201589-PA	XP_026501069.1, XP_026500315.1
OG0000134	DPOGS206558-PA	XP_026492554.1, XP_026492558.1, XP_026492555.1, XP_026492557.1
OG0000134	DPOGS213998-PA	XP_026497731.1
OG0000134	DPOGS206556-PA	XP_026500779.1
OG0000137	DPOGS213158-PA	XP_026484810.1, XP_026484812.1
OG0000138	DPOGS201307-PA	XP_026488759.1
OG0000138	DPOGS201308-PA	XP_026488751.1
OG0000138	DPOGS201306-PA	XP_026488768.1
OG0000139	DPOGS204151-PA	XP_026500945.1
OG0000139	DPOGS211466-PA	XP_026500227.1
OG0000139	DPOGS204150-PA	XP_026489675.1
OG0000140	DPOGS208587-PA	XP_026486064.1
OG0000140	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA	XP_026486773.1
OG0000140	DPOGS215443-PA	XP_026486075.1
OG0000140	DPOGS215439-PA	XP_026486054.1
OG0000141	DPOGS205275-PA	XP_026496357.1, XP_026496430.1
OG0000142	DPOGS210763-PA	XP_026483563.1
OG0000142	DPOGS208850-PA	XP_026483566.1
OG0000142	DPOGS211692-PA	XP_026483587.1, XP_026483561.1, XP_026485989.1
OG0000143	DPOGS207066-PA	XP_026488575.1, XP_026488573.1
OG0000143	DPOGS207067-PA	XP_026488574.1
OG0000147	DPOGS202135-PA	XP_026493246.1, XP_026493247.1
OG0000147	DPOGS216148-PA	XP_026493400.1
OG0000148	DPOGS212460-PA, DPOGS211269-PA	XP_026485046.1
OG0000149	DPOGS211600-PA	XP_026485425.1
OG0000149	DPOGS209815-PA	XP_026484245.1
OG0000150	DPOGS200229-PA	XP_026499967.1
OG0000152	DPOGS203849-PA	XP_026493650.1
OG0000152	DPOGS203651-PA	XP_026493647.1
OG0000153	DPOGS200298-PA	XP_026490803.1, XP_026486667.1
OG0000154	DPOGS203730-PA	XP_026493590.1, XP_026493568.1
OG0000155	DPOGS209068-PA	XP_026483193.1, XP_026497534.1
OG0000156	DPOGS201020-PA	XP_026495721.1
OG0000156	DPOGS201022-PA, DPOGS201021-PA	XP_026497267.1, XP_026496199.1, XP_026499976.1
OG0000160	DPOGS211357-PA	XP_026497982.1, XP_026493406.1, XP_026498527.1, XP_026487949.1, XP_026491794.1
OG0000160	DPOGS205216-PA	XP_026489771.1
OG0000162	DPOGS214379-PA, DPOGS212215-PA	XP_026495429.1, XP_026495426.1, XP_026499500.1
OG0000162	DPOGS213682-PA	XP_026499499.1
OG0000163	DPOGS208397-PA, DPOGS208398-PA	XP_026494611.1
OG0000164	DPOGS207032-PA	XP_026483367.1
OG0000165	DPOGS202039-PA	XP_026491300.1, XP_026491239.1
OG0000166	DPOGS204571-PA	XP_026493128.1, XP_026493127.1, XP_026493126.1, XP_026493125.1
OG0000166	DPOGS215383-PA	XP_026493524.1, XP_026493522.1, XP_026493525.1
OG0000167	DPOGS200276-PA	XP_026490816.1
OG0000167	DPOGS212517-PA, DPOGS212471-PA	XP_026483730.1
OG0000169	DPOGS209399-PA	XP_026493199.1
OG0000169	DPOGS209397-PA	XP_026493187.1
OG0000169	DPOGS209416-PA, DPOGS209415-PA	XP_026493039.1
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	XP_026489549.1, XP_026489547.1
OG0000171	DPOGS207651-PA	XP_026483589.1
OG0000171	DPOGS207652-PA	XP_026483600.1
OG0000172	DPOGS207109-PA	XP_026487122.1
OG0000172	DPOGS211762-PA	XP_026499901.1
OG0000172	DPOGS207119-PA	XP_026501368.1
OG0000174	DPOGS203785-PA	XP_026487863.1
OG0000174	DPOGS201355-PA	XP_026499849.1
OG0000175	DPOGS213653-PA	XP_026492931.1
OG0000175	DPOGS212172-PA	XP_026489948.1, XP_026489949.1
OG0000175	DPOGS201184-PA	XP_026492115.1
OG0000178	DPOGS213916-PA	XP_026501824.1
OG0000178	DPOGS202584-PA, DPOGS208620-PA	XP_026486622.1, XP_026486649.1, XP_026486640.1, XP_026486665.1, XP_026486658.1, XP_026486631.1, XP_026486614.1
OG0000179	DPOGS215238-PA	XP_026493215.1, XP_026493206.1, XP_026493209.1, XP_026493205.1, XP_026493208.1, XP_026493210.1, XP_026493212.1, XP_026493214.1, XP_026493216.1, XP_026493211.1
OG0000180	DPOGS203313-PA	XP_026500733.1, XP_026500732.1, XP_026500639.1, XP_026500737.1
OG0000180	DPOGS202992-PA	XP_026500685.1
OG0000181	DPOGS204734-PA, DPOGS204733-PA	XP_026487965.1, XP_026487964.1, XP_026487952.1
OG0000181	DPOGS204732-PA	XP_026487961.1
OG0000182	DPOGS210084-PA	XP_026490062.1
OG0000183	DPOGS211358-PA	XP_026493134.1, XP_026493142.1
OG0000183	DPOGS210612-PA	XP_026500054.1
OG0000183	DPOGS202050-PA	XP_026491498.1
OG0000184	DPOGS210000-PA	XP_026499472.1
OG0000184	DPOGS210945-PA	XP_026485414.1
OG0000184	DPOGS211022-PA	XP_026485484.1
OG0000185	DPOGS207886-PA	XP_026494681.1
OG0000185	DPOGS207876-PA	XP_026494606.1, XP_026494683.1
OG0000186	DPOGS200588-PA	XP_026488639.1
OG0000187	DPOGS203099-PA	XP_026483320.1
OG0000187	DPOGS203100-PA, DPOGS203101-PA	XP_026483321.1
OG0000188	DPOGS210265-PA	XP_026492468.1
OG0000189	DPOGS204875-PA	XP_026486864.1
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	XP_026497988.1, XP_026499315.1, XP_026497987.1, XP_026497989.1, XP_026499902.1
OG0000190	DPOGS210733-PA	XP_026485321.1
OG0000191	DPOGS203394-PA, DPOGS212004-PA	XP_026488824.1, XP_026488828.1
OG0000193	DPOGS208229-PA	XP_026485379.1
OG0000193	DPOGS211597-PA	XP_026485410.1, XP_026485291.1
OG0000196	DPOGS215622-PA	XP_026487886.1, XP_026487864.1
OG0000197	DPOGS215734-PA	XP_026486620.1, XP_026486619.1
OG0000197	DPOGS204239-PA	XP_026484969.1, XP_026484968.1, XP_026484966.1
OG0000198	DPOGS212099-PA	XP_026494933.1
OG0000198	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA	XP_026501551.1
OG0000199	DPOGS205139-PA, DPOGS200471-PA	XP_026501309.1
OG0000199	DPOGS200655-PA	XP_026486145.1
OG0000200	DPOGS209914-PA, DPOGS209916-PA, DPOGS204353-PA	XP_026488475.1
OG0000201	DPOGS204865-PA, DPOGS204864-PA	XP_026486827.1, XP_026486826.1
OG0000203	DPOGS210787-PA	XP_026487162.1
OG0000205	DPOGS209148-PA, DPOGS209147-PA	XP_026496344.1, XP_026496328.1
OG0000206	DPOGS205019-PA	XP_026483159.1
OG0000207	DPOGS207952-PA, DPOGS207950-PA	XP_026500931.1
OG0000208	DPOGS210915-PA	XP_026489321.1, XP_026498785.1
OG0000208	DPOGS210914-PA, DPOGS210912-PA	XP_026489345.1, XP_026498784.1
OG0000209	DPOGS214010-PA	XP_026490392.1
OG0000209	DPOGS204840-PA	XP_026486988.1
OG0000210	DPOGS208562-PA	XP_026492865.1
OG0000210	DPOGS208561-PA	XP_026501529.1
OG0000212	DPOGS207988-PA	XP_026497545.1
OG0000212	DPOGS207989-PA	XP_026485908.1
OG0000212	DPOGS207987-PA	XP_026485827.1
OG0000213	DPOGS208066-PA	XP_026485069.1
OG0000213	DPOGS208084-PA	XP_026485071.1
OG0000213	DPOGS208065-PA	XP_026484522.1
OG0000214	DPOGS214058-PA	XP_026483703.1, XP_026483711.1
OG0000215	DPOGS211555-PA	XP_026491895.1
OG0000215	DPOGS211556-PA	XP_026491875.1
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	XP_026485745.1, XP_026485749.1
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	XP_026494769.1, XP_026494731.1, XP_026494771.1
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	XP_026494855.1
OG0000219	DPOGS207542-PA	XP_026500081.1
OG0000220	DPOGS211390-PA	XP_026486150.1, XP_026486313.1
OG0000220	DPOGS205839-PA, DPOGS205840-PA	XP_026486249.1
OG0000221	DPOGS211394-PA	XP_026486244.1
OG0000221	DPOGS205842-PA	XP_026486245.1, XP_026486247.1, XP_026486248.1
OG0000222	DPOGS205017-PA	XP_026483158.1, XP_026483160.1
OG0000225	DPOGS214884-PA	XP_026500129.1
OG0000228	DPOGS212515-PA	XP_026483737.1
OG0000228	DPOGS207206-PA, DPOGS207204-PA, DPOGS207199-PA	XP_026499496.1
OG0000229	DPOGS214632-PA	XP_026489655.1
OG0000229	DPOGS215746-PA	XP_026486610.1
OG0000230	DPOGS209009-PA, DPOGS209016-PA	XP_026496664.1
OG0000230	DPOGS205205-PA, DPOGS205235-PA	XP_026489382.1
OG0000230	DPOGS211996-PA	XP_026496864.1
OG0000231	DPOGS208443-PA	XP_026488937.1
OG0000232	DPOGS208489-PA	XP_026484823.1
OG0000233	DPOGS215920-PA	XP_026485758.1
OG0000233	DPOGS215875-PA	XP_026486210.1, XP_026486211.1, XP_026486209.1
OG0000234	DPOGS212240-PA	XP_026483774.1
OG0000234	DPOGS201732-PA	XP_026483729.1, XP_026489181.1
OG0000235	DPOGS211850-PA	XP_026491220.1, XP_026491221.1
OG0000235	DPOGS211974-PA	XP_026491492.1, XP_026491491.1
OG0000236	DPOGS207247-PA	XP_026486956.1, XP_026486957.1, XP_026486958.1
OG0000236	DPOGS207308-PA	XP_026486884.1
OG0000237	DPOGS201064-PA	XP_026498172.1
OG0000237	DPOGS201065-PA	XP_026498184.1
OG0000237	DPOGS201066-PA	XP_026498191.1
OG0000238	DPOGS200166-PA	XP_026501419.1, XP_026501420.1
OG0000238	DPOGS200498-PA	XP_026500089.1
OG0000239	DPOGS200316-PA	XP_026490889.1
OG0000239	DPOGS200315-PA, DPOGS200313-PA	XP_026490892.1, XP_026490891.1, XP_026490894.1, XP_026490893.1
OG0000245	DPOGS211482-PA	XP_026500607.1, XP_026498589.1, XP_026494844.1, XP_026499895.1, XP_026498003.1, XP_026497986.1
OG0000246	DPOGS212261-PA	XP_026498593.1
OG0000247	DPOGS204977-PA	XP_026497474.1
OG0000247	DPOGS204998-PA	XP_026497382.1
OG0000248	DPOGS208848-PA, DPOGS208849-PA	XP_026483522.1
OG0000248	DPOGS210769-PA	XP_026483488.1, XP_026483487.1
OG0000249	DPOGS204790-PA	XP_026496110.1, XP_026496131.1
OG0000250	DPOGS205124-PA, DPOGS213894-PA	XP_026483565.1
OG0000250	DPOGS206088-PA	XP_026483536.1
OG0000253	DPOGS206787-PA, DPOGS205863-PA	XP_026496141.1
OG0000254	DPOGS206219-PA	XP_026483833.1, XP_026483657.1
OG0000254	DPOGS206237-PA	XP_026483658.1
OG0000255	DPOGS201291-PA	XP_026500405.1
OG0000257	DPOGS202490-PA	XP_026496860.1
OG0000257	DPOGS206965-PA	XP_026490765.1, XP_026490754.1
OG0000258	DPOGS214473-PA, DPOGS216098-PA, DPOGS216099-PA	XP_026491836.1
OG0000259	DPOGS213276-PA	XP_026498189.1
OG0000259	DPOGS204809-PA	XP_026493390.1
OG0000260	DPOGS201723-PA	XP_026483812.1, XP_026483811.1, XP_026483815.1
OG0000261	DPOGS214878-PA	XP_026488960.1, XP_026488869.1, XP_026488958.1
OG0000262	DPOGS211663-PA	XP_026494162.1
OG0000263	DPOGS207205-PA	XP_026499494.1
OG0000264	DPOGS211375-PA	XP_026485844.1
OG0000264	DPOGS209920-PA	XP_026486262.1, XP_026486263.1, XP_026486264.1, XP_026486261.1
OG0000271	DPOGS212531-PA	XP_026484011.1
OG0000271	DPOGS214893-PA, DPOGS212549-PA	XP_026484010.1, XP_026484163.1
OG0000272	DPOGS213393-PA, DPOGS203533-PA	XP_026485265.1, XP_026492748.1
OG0000273	DPOGS210941-PA	XP_026485334.1
OG0000273	DPOGS208288-PA	XP_026485332.1
OG0000274	DPOGS208004-PA	XP_026487935.1
OG0000274	DPOGS205883-PA	XP_026495488.1
OG0000275	DPOGS209540-PA	XP_026493303.1, XP_026493304.1
OG0000276	DPOGS208782-PA	XP_026501114.1
OG0000277	DPOGS210841-PA	XP_026498961.1
OG0000277	DPOGS210832-PA	XP_026492752.1, XP_026498960.1
OG0000278	DPOGS215318-PA	XP_026501087.1
OG0000279	DPOGS209948-PA	XP_026488697.1
OG0000279	DPOGS209986-PA	XP_026488699.1, XP_026488698.1, XP_026488700.1
OG0000280	DPOGS216062-PA, DPOGS201576-PA	XP_026495777.1
OG0000281	DPOGS212111-PA	XP_026495147.1
OG0000281	DPOGS200878-PA	XP_026490252.1
OG0000282	DPOGS212709-PA, DPOGS208444-PA, DPOGS212779-PA, DPOGS212758-PA, DPOGS215256-PA, DPOGS215255-PA, DPOGS215254-PA, DPOGS215253-PA	XP_026491674.1, XP_026491392.1
OG0000283	DPOGS215905-PA	XP_026485933.1
OG0000283	DPOGS215907-PA, DPOGS215906-PA	XP_026485941.1
OG0000284	DPOGS204496-PA	XP_026484419.1
OG0000284	DPOGS204495-PA	XP_026484415.1
OG0000285	DPOGS207611-PA	XP_026485523.1
OG0000285	DPOGS207613-PA	XP_026485542.1
OG0000286	DPOGS204332-PA	XP_026488393.1
OG0000286	DPOGS204331-PA	XP_026488353.1
OG0000287	DPOGS207226-PA	XP_026493848.1
OG0000287	DPOGS206692-PA	XP_026493886.1
OG0000289	DPOGS203613-PA	XP_026488447.1
OG0000289	DPOGS203615-PA	XP_026488454.1
OG0000290	DPOGS207577-PA	XP_026486009.1, XP_026485721.1
OG0000291	DPOGS200311-PA	XP_026490843.1, XP_026490846.1, XP_026490841.1, XP_026490845.1, XP_026490842.1, XP_026490840.1, XP_026490847.1
OG0000292	DPOGS211695-PA, DPOGS207986-PA, DPOGS215422-PA	XP_026486304.1, XP_026493529.1, XP_026493408.1
OG0000293	DPOGS215249-PA	XP_026487992.1
OG0000293	DPOGS209424-PA	XP_026498937.1
OG0000294	DPOGS209810-PA	XP_026492851.1, XP_026492855.1, XP_026492751.1
OG0000295	DPOGS212909-PA, DPOGS212917-PA, DPOGS212910-PA, DPOGS212918-PA, DPOGS212912-PA	XP_026489480.1, XP_026491878.1
OG0000296	DPOGS212453-PA, DPOGS212405-PA	XP_026501491.1, XP_026501488.1, XP_026501490.1, XP_026501493.1, XP_026501489.1
OG0000297	DPOGS205313-PA	XP_026501004.1
OG0000302	DPOGS200542-PA	XP_026494554.1, XP_026494556.1
OG0000303	DPOGS201634-PA, DPOGS210347-PA	XP_026487252.1
OG0000303	DPOGS210346-PA, DPOGS212734-PA, DPOGS210350-PA	XP_026487247.1, XP_026487248.1, XP_026487249.1
OG0000304	DPOGS206245-PA	XP_026498832.1
OG0000305	DPOGS204974-PA	XP_026497357.1
OG0000305	DPOGS204976-PA	XP_026497371.1, XP_026497514.1
OG0000306	DPOGS214704-PA	XP_026491004.1
OG0000306	DPOGS214757-PA	XP_026490984.1
OG0000307	DPOGS214986-PA	XP_026496451.1
OG0000308	DPOGS211787-PA	XP_026494056.1
OG0000308	DPOGS203791-PA	XP_026493714.1, XP_026493715.1
OG0000309	DPOGS209502-PA	XP_026495505.1
OG0000309	DPOGS209503-PA	XP_026495504.1, XP_026495503.1
OG0000310	DPOGS215703-PA	XP_026498063.1, XP_026498061.1, XP_026498062.1
OG0000310	DPOGS215714-PA	XP_026498069.1
