Orthogroup	Danaus_plexippus	Pararge_aegeria
OG0000016	DPOGS200806-PA	XP_039761457.1, XP_039760429.1, XP_039745723.1, XP_039755232.1, XP_039761274.1, XP_039762491.1, XP_039761278.1, XP_039761280.1, XP_039762479.1, XP_039759544.1, XP_039745450.1, XP_039759548.1, XP_039761445.1, XP_039760421.1
OG0000018	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA	XP_039752797.1, XP_039760351.1, XP_039752787.1, XP_039752828.1, XP_039752810.1, XP_039752824.1
OG0000020	DPOGS208960-PA	XP_039752825.1, XP_039759679.1, XP_039758358.1, XP_039764159.1, XP_039758955.1, XP_039755455.1, XP_039763909.1, XP_039746116.1, XP_039753843.1, XP_039751056.1, XP_039758930.1, XP_039764182.1, XP_039757084.1, XP_039749484.1, XP_039745257.1, XP_039749341.1, XP_039747706.1, XP_039758068.1, XP_039761310.1, XP_039758082.1, XP_039763959.1, XP_039764318.1, XP_039758011.1, XP_039758209.1
OG0000022	DPOGS202417-PA	XP_039765727.1
OG0000022	DPOGS202402-PA	XP_039765296.1
OG0000022	DPOGS200512-PA	XP_039762875.1
OG0000022	DPOGS209862-PA	XP_039762709.1
OG0000022	DPOGS202403-PA	XP_039765728.1
OG0000022	DPOGS215440-PA	XP_039761167.1
OG0000022	DPOGS213388-PA	XP_039751415.1
OG0000022	DPOGS213385-PA	XP_039750917.1, XP_039752986.1
OG0000024	DPOGS200042-PA	XP_039763211.1, XP_039753156.1, XP_039763722.1, XP_039753155.1
OG0000025	DPOGS206751-PA, DPOGS206755-PA	XP_039748248.1, XP_039748346.1, XP_039748335.1, XP_039748015.1, XP_039748250.1, XP_039748329.1, XP_039748251.1, XP_039748333.1, XP_039748334.1, XP_039748243.1, XP_039747999.1, XP_039748341.1, XP_039748343.1, XP_039748340.1, XP_039748336.1, XP_039748242.1
OG0000025	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA	XP_039747973.1, XP_039747520.1, XP_039747519.1, XP_039747516.1, XP_039747515.1
OG0000028	DPOGS205336-PA	XP_039756644.1, XP_039756364.1, XP_039756209.1, XP_039756129.1, XP_039756114.1, XP_039756115.1, XP_039754209.1, XP_039752265.1
OG0000031	DPOGS212301-PA	XP_039753010.1
OG0000032	DPOGS200472-PA	XP_039764348.1, XP_039763060.1, XP_039763054.1, XP_039761884.1, XP_039755064.1, XP_039765343.1, XP_039761432.1, XP_039754780.1, XP_039762483.1, XP_039757886.1, XP_039758874.1, XP_039764419.1, XP_039749234.1, XP_039763077.1, XP_039764294.1, XP_039757087.1
OG0000034	DPOGS205641-PA	XP_039746294.1
OG0000034	DPOGS205642-PA	XP_039746452.1
OG0000034	DPOGS202647-PA	XP_039746103.1
OG0000034	DPOGS202676-PA	XP_039746398.1
OG0000034	DPOGS202644-PA	XP_039746268.1
OG0000036	DPOGS213885-PA	XP_039758863.1, XP_039751950.1, XP_039749280.1, XP_039757876.1, XP_039761419.1, XP_039761650.1, XP_039755799.1, XP_039761284.1, XP_039761822.1, XP_039760384.1, XP_039761823.1, XP_039761824.1, XP_039760444.1, XP_039760382.1, XP_039762535.1, XP_039760387.1, XP_039762047.1, XP_039760446.1, XP_039750771.1, XP_039762012.1
OG0000038	DPOGS214966-PA	XP_039749533.1, XP_039747874.1
OG0000039	DPOGS201794-PA, DPOGS201792-PA	XP_039752213.1, XP_039752212.1
OG0000040	DPOGS211359-PA	XP_039761434.1, XP_039764517.1, XP_039757393.1, XP_039762474.1, XP_039755530.1, XP_039761897.1, XP_039757370.1, XP_039756682.1, XP_039746317.1, XP_039757920.1, XP_039764430.1, XP_039757341.1, XP_039759545.1, XP_039764051.1, XP_039750845.1, XP_039746162.1, XP_039764273.1, XP_039757383.1, XP_039763948.1, XP_039764291.1, XP_039759590.1, XP_039764310.1, XP_039764495.1, XP_039756650.1, XP_039763069.1, XP_039747900.1
OG0000041	DPOGS210496-PA	XP_039759472.1
OG0000041	DPOGS206520-PA	XP_039749285.1, XP_039749003.1
OG0000044	DPOGS216008-PA	XP_039762498.1, XP_039762486.1, XP_039762637.1
OG0000045	DPOGS210702-PA, DPOGS210700-PA	XP_039750219.1, XP_039750218.1
OG0000045	DPOGS210663-PA	XP_039762676.1
OG0000045	DPOGS210250-PA	XP_039750023.1
OG0000045	DPOGS212775-PA	XP_039752690.1
OG0000045	DPOGS210048-PA	XP_039761923.1
OG0000045	DPOGS213925-PA, DPOGS213901-PA	XP_039760955.1
OG0000046	DPOGS209145-PA	XP_039755063.1
OG0000046	DPOGS209144-PA	XP_039755067.1, XP_039755066.1
OG0000046	DPOGS209146-PA	XP_039759613.1, XP_039755065.1
OG0000049	DPOGS201061-PA	XP_039751487.1, XP_039751486.1, XP_039751228.1, XP_039751167.1
OG0000052	DPOGS210331-PA	XP_039755855.1
OG0000053	DPOGS201540-PA	XP_039752462.1
OG0000053	DPOGS201419-PA	XP_039760715.1
OG0000053	DPOGS201422-PA	XP_039761162.1
OG0000053	DPOGS201421-PA	XP_039755401.1
OG0000053	DPOGS201423-PA	XP_039754797.1
OG0000054	DPOGS201193-PA	XP_039753385.1
OG0000054	DPOGS201191-PA, DPOGS201192-PA	XP_039753617.1
OG0000054	DPOGS201177-PA	XP_039753386.1, XP_039753387.1, XP_039753618.1
OG0000054	DPOGS201176-PA, DPOGS201175-PA	XP_039753616.1
OG0000056	DPOGS210281-PA	XP_039760526.1
OG0000056	DPOGS206182-PA	XP_039760529.1
OG0000057	DPOGS209909-PA	XP_039759134.1, XP_039759133.1
OG0000057	DPOGS209884-PA	XP_039759135.1
OG0000057	DPOGS209997-PA	XP_039749078.1
OG0000058	DPOGS212355-PA	XP_039755222.1
OG0000058	DPOGS215426-PA	XP_039746435.1
OG0000060	DPOGS208010-PA, DPOGS208061-PA	XP_039758412.1
OG0000060	DPOGS200035-PA, DPOGS208060-PA	XP_039758865.1, XP_039758409.1, XP_039758410.1
OG0000061	DPOGS201160-PA	XP_039753921.1, XP_039754302.1, XP_039754300.1
OG0000062	DPOGS202468-PA, DPOGS202469-PA	XP_039749293.1
OG0000062	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA	XP_039748112.1, XP_039747853.1
OG0000062	DPOGS207201-PA	XP_039762066.1, XP_039762169.1, XP_039762064.1, XP_039762065.1, XP_039762167.1
OG0000063	DPOGS201994-PA	XP_039751621.1, XP_039751623.1
OG0000063	DPOGS201995-PA	XP_039751622.1
OG0000063	DPOGS205397-PA	XP_039758398.1
OG0000063	DPOGS208887-PA	XP_039749990.1
OG0000066	DPOGS210132-PA	XP_039760006.1, XP_039760007.1, XP_039759907.1, XP_039760356.1
OG0000067	DPOGS204359-PA	XP_039764637.1, XP_039764562.1, XP_039764553.1, XP_039764569.1
OG0000067	DPOGS204360-PA	XP_039748182.1
OG0000068	DPOGS213409-PA, DPOGS212680-PA	XP_039750951.1, XP_039750943.1, XP_039747893.1
OG0000069	DPOGS206989-PA	XP_039752244.1, XP_039752695.1, XP_039752768.1
OG0000071	DPOGS205454-PA	XP_039757286.1
OG0000073	DPOGS205799-PA	XP_039751184.1, XP_039751183.1
OG0000073	DPOGS208534-PA	XP_039751407.1, XP_039751408.1
OG0000073	DPOGS213705-PA	XP_039751081.1
OG0000075	DPOGS201167-PA	XP_039753948.1, XP_039753946.1, XP_039753947.1
OG0000075	DPOGS201162-PA	XP_039753889.1
OG0000075	DPOGS209261-PA	XP_039754353.1
OG0000076	DPOGS206203-PA	XP_039750800.1, XP_039762964.1
OG0000076	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA	XP_039762746.1
OG0000078	DPOGS207021-PA	XP_039751952.1, XP_039752453.1
OG0000082	DPOGS211069-PA	XP_039761740.1
OG0000082	DPOGS203867-PA	XP_039764229.1, XP_039764315.1, XP_039761712.1
OG0000083	DPOGS201702-PA	XP_039760604.1
OG0000084	DPOGS200123-PA	XP_039749417.1
OG0000085	DPOGS215579-PA	XP_039755091.1, XP_039749173.1, XP_039749174.1, XP_039749175.1, XP_039755026.1, XP_039755027.1, XP_039754791.1
OG0000088	DPOGS202810-PA	XP_039751393.1
OG0000088	DPOGS215149-PA	XP_039762785.1
OG0000088	DPOGS202814-PA	XP_039751496.1
OG0000090	DPOGS210053-PA, DPOGS210052-PA	XP_039749189.1, XP_039749188.1, XP_039749187.1, XP_039751315.1, XP_039749191.1, XP_039749186.1
OG0000092	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA	XP_039754570.1
OG0000093	DPOGS202427-PA	XP_039761758.1
OG0000093	DPOGS202426-PA, DPOGS203872-PA	XP_039761603.1
OG0000093	DPOGS202424-PA	XP_039761633.1, XP_039761632.1
OG0000094	DPOGS213975-PA	XP_039746862.1, XP_039764606.1, XP_039764616.1, XP_039764598.1
OG0000095	DPOGS204282-PA	XP_039745132.1, XP_039745133.1, XP_039765732.1, XP_039765917.1, XP_039765918.1, XP_039745523.1, XP_039745409.1, XP_039765705.1, XP_039765706.1, XP_039765396.1, XP_039765395.1, XP_039765394.1, XP_039765776.1, XP_039765778.1, XP_039745524.1
OG0000096	DPOGS212592-PA	XP_039751227.1
OG0000096	DPOGS212590-PA	XP_039751260.1
OG0000096	DPOGS212591-PA	XP_039751463.1
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	XP_039757158.1
OG0000098	DPOGS209226-PA, DPOGS209225-PA	XP_039754908.1, XP_039754998.1, XP_039758854.1
OG0000100	DPOGS215475-PA	XP_039756542.1
OG0000101	DPOGS200031-PA	XP_039758595.1
OG0000102	DPOGS206942-PA	XP_039752281.1, XP_039752133.1, XP_039752135.1
OG0000103	DPOGS207082-PA	XP_039751968.1
OG0000108	DPOGS212246-PA	XP_039761887.1
OG0000108	DPOGS209435-PA	XP_039761876.1
OG0000109	DPOGS209375-PA	XP_039754228.1, XP_039754267.1
OG0000110	DPOGS212705-PA	XP_039752795.1
OG0000110	DPOGS212706-PA	XP_039752379.1
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	XP_039752305.1
OG0000111	DPOGS202624-PA	XP_039750513.1, XP_039750515.1, XP_039750514.1, XP_039750510.1, XP_039750512.1, XP_039750509.1, XP_039750511.1
OG0000111	DPOGS215824-PA	XP_039748821.1
OG0000111	DPOGS215826-PA	XP_039749055.1
OG0000112	DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA	XP_039764736.1, XP_039764737.1, XP_039764735.1, XP_039764739.1
OG0000113	DPOGS203349-PA, DPOGS203350-PA	XP_039755044.1
OG0000113	DPOGS203348-PA, DPOGS207633-PA, DPOGS205179-PA	XP_039762990.1
OG0000114	DPOGS206960-PA	XP_039752504.1, XP_039751984.1, XP_039751985.1, XP_039751988.1, XP_039751983.1
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	XP_039747701.1
OG0000115	DPOGS201101-PA	XP_039751528.1, XP_039746102.1
OG0000116	DPOGS211429-PA	XP_039748745.1
OG0000116	DPOGS214479-PA	XP_039761021.1
OG0000116	DPOGS203334-PA	XP_039763856.1
OG0000117	DPOGS206945-PA	XP_039752341.1, XP_039752160.1, XP_039752073.1, XP_039752072.1, XP_039752074.1
OG0000118	DPOGS216140-PA	XP_039761294.1, XP_039761878.1, XP_039745227.1, XP_039750776.1, XP_039757073.1, XP_039762731.1, XP_039763251.1, XP_039755856.1, XP_039762247.1, XP_039751928.1, XP_039763985.1, XP_039762514.1, XP_039749973.1, XP_039751370.1, XP_039757352.1, XP_039750860.1, XP_039754358.1, XP_039755233.1, XP_039761463.1, XP_039761855.1
OG0000119	DPOGS203233-PA	XP_039754974.1, XP_039755253.1, XP_039755251.1, XP_039755250.1, XP_039755254.1, XP_039755061.1
OG0000120	DPOGS202536-PA	XP_039758940.1
OG0000122	DPOGS200373-PA	XP_039754268.1
OG0000122	DPOGS200374-PA	XP_039745510.1, XP_039761879.1, XP_039760048.1
OG0000123	DPOGS204956-PA	XP_039758681.1
OG0000124	DPOGS206009-PA	XP_039759623.1
OG0000124	DPOGS211433-PA	XP_039748506.1
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	XP_039763048.1
OG0000125	DPOGS214825-PA	XP_039763370.1
OG0000127	DPOGS210351-PA	XP_039753005.1, XP_039755682.1
OG0000128	DPOGS210158-PA	XP_039759402.1
OG0000128	DPOGS211778-PA	XP_039759275.1
OG0000128	DPOGS210161-PA	XP_039759639.1, XP_039759640.1
OG0000129	DPOGS210178-PA	XP_039749784.1, XP_039750553.1, XP_039749657.1, XP_039749896.1, XP_039746608.1
OG0000131	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA	XP_039761941.1
OG0000132	DPOGS214570-PA	XP_039758016.1, XP_039758786.1
OG0000133	DPOGS204619-PA, DPOGS215001-PA	XP_039761844.1
OG0000134	DPOGS206558-PA	XP_039750230.1
OG0000134	DPOGS213998-PA	XP_039748060.1
OG0000134	DPOGS206556-PA	XP_039745994.1
OG0000137	DPOGS213158-PA	XP_039745449.1, XP_039745448.1, XP_039745446.1, XP_039745445.1, XP_039745441.1
OG0000138	DPOGS201307-PA, DPOGS201308-PA	XP_039764463.1
OG0000138	DPOGS210044-PA	XP_039748518.1, XP_039748520.1
OG0000139	DPOGS204151-PA	XP_039758056.1
OG0000139	DPOGS211466-PA	XP_039760019.1
OG0000139	DPOGS204150-PA	XP_039758138.1
OG0000140	DPOGS208587-PA	XP_039761164.1
OG0000140	DPOGS215443-PA	XP_039761163.1
OG0000140	DPOGS215439-PA	XP_039761161.1
OG0000141	DPOGS205275-PA	XP_039755123.1
OG0000142	DPOGS210763-PA	XP_039752000.1
OG0000142	DPOGS208850-PA	XP_039752666.1
OG0000143	DPOGS207066-PA	XP_039752786.1
OG0000143	DPOGS207067-PA	XP_039752311.1, XP_039752179.1
OG0000147	DPOGS202135-PA	XP_039758401.1, XP_039758400.1, XP_039758856.1
OG0000148	DPOGS212460-PA	XP_039747858.1, XP_039757346.1, XP_039758592.1, XP_039748987.1
OG0000149	DPOGS211600-PA	XP_039750557.1, XP_039750556.1
OG0000149	DPOGS209815-PA	XP_039749878.1, XP_039749877.1
OG0000150	DPOGS200229-PA	XP_039764078.1
OG0000152	DPOGS203652-PA	XP_039759912.1
OG0000152	DPOGS203849-PA	XP_039759933.1
OG0000152	DPOGS203651-PA	XP_039759890.1, XP_039759882.1, XP_039759899.1
OG0000153	DPOGS200298-PA	XP_039754384.1
OG0000154	DPOGS203730-PA	XP_039761253.1, XP_039761124.1
OG0000155	DPOGS209068-PA	XP_039760323.1, XP_039760319.1
OG0000156	DPOGS201022-PA, DPOGS201021-PA	XP_039756715.1
OG0000160	DPOGS211357-PA	XP_039753324.1, XP_039754310.1, XP_039763745.1, XP_039764146.1, XP_039763757.1, XP_039761853.1, XP_039747895.1
OG0000160	DPOGS205216-PA	XP_039763350.1
OG0000162	DPOGS214379-PA, DPOGS212215-PA	XP_039759555.1
OG0000162	DPOGS213682-PA	XP_039759460.1
OG0000163	DPOGS208397-PA, DPOGS208398-PA	XP_039759097.1, XP_039759094.1
OG0000164	DPOGS207033-PA	XP_039752137.1
OG0000164	DPOGS207032-PA	XP_039760477.1, XP_039760476.1, XP_039760473.1, XP_039760478.1, XP_039760474.1, XP_039760479.1, XP_039760481.1, XP_039760480.1, XP_039760483.1, XP_039760685.1, XP_039752618.1, XP_039752624.1, XP_039752623.1, XP_039752622.1, XP_039752621.1
OG0000165	DPOGS202039-PA	XP_039746259.1, XP_039745987.1, XP_039745985.1, XP_039746050.1
OG0000166	DPOGS204571-PA	XP_039758552.1
OG0000166	DPOGS215383-PA	XP_039758732.1
OG0000167	DPOGS200276-PA	XP_039754018.1
OG0000167	DPOGS212517-PA, DPOGS212471-PA	XP_039748188.1
OG0000168	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA	XP_039749223.1, XP_039749128.1
OG0000169	DPOGS209399-PA	XP_039759316.1
OG0000169	DPOGS209417-PA	XP_039759608.1
OG0000169	DPOGS209416-PA, DPOGS209415-PA	XP_039759611.1
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	XP_039758630.1, XP_039758628.1, XP_039758629.1, XP_039758631.1
OG0000171	DPOGS207651-PA	XP_039751440.1
OG0000171	DPOGS207652-PA	XP_039751381.1, XP_039751687.1
OG0000172	DPOGS207109-PA	XP_039751931.1
OG0000172	DPOGS211762-PA	XP_039751930.1
OG0000174	DPOGS203785-PA	XP_039752561.1
OG0000174	DPOGS201355-PA	XP_039763737.1
OG0000175	DPOGS213653-PA	XP_039761245.1, XP_039761244.1
OG0000175	DPOGS212172-PA	XP_039747028.1
OG0000175	DPOGS201184-PA	XP_039753289.1
OG0000177	DPOGS215539-PA	XP_039754768.1
OG0000178	DPOGS213916-PA	XP_039761069.1
OG0000178	DPOGS202584-PA, DPOGS208620-PA	XP_039761230.1, XP_039761229.1, XP_039761231.1
OG0000179	DPOGS215238-PA, DPOGS215239-PA	XP_039758372.1, XP_039758374.1, XP_039758368.1, XP_039758371.1, XP_039758369.1, XP_039758370.1, XP_039758376.1, XP_039758373.1
OG0000180	DPOGS203313-PA	XP_039764001.1, XP_039764002.1, XP_039763999.1, XP_039763998.1, XP_039764003.1
OG0000180	DPOGS202992-PA	XP_039763111.1
OG0000181	DPOGS204734-PA, DPOGS204733-PA, DPOGS204732-PA	XP_039757420.1, XP_039757424.1, XP_039757421.1, XP_039757423.1
OG0000182	DPOGS210084-PA	XP_039750778.1, XP_039749177.1
OG0000183	DPOGS211358-PA	XP_039759299.1
OG0000183	DPOGS210612-PA	XP_039751981.1
OG0000183	DPOGS202050-PA	XP_039746207.1
OG0000184	DPOGS210000-PA	XP_039748948.1
OG0000184	DPOGS210945-PA	XP_039750636.1
OG0000184	DPOGS211022-PA	XP_039750819.1
OG0000185	DPOGS207886-PA	XP_039756858.1
OG0000185	DPOGS207876-PA	XP_039757372.1
OG0000186	DPOGS200588-PA	XP_039765598.1, XP_039761916.1, XP_039761917.1, XP_039761915.1, XP_039761304.1
OG0000187	DPOGS203099-PA	XP_039752400.1
OG0000187	DPOGS203100-PA, DPOGS203101-PA	XP_039752710.1, XP_039752711.1, XP_039752506.1, XP_039752505.1
OG0000187	DPOGS205242-PA	XP_039761993.1
OG0000189	DPOGS204875-PA	XP_039755832.1
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	XP_039755689.1
OG0000190	DPOGS210733-PA	XP_039750365.1, XP_039750783.1, XP_039750360.1
OG0000191	DPOGS203394-PA, DPOGS212004-PA	XP_039763811.1, XP_039763810.1, XP_039763808.1, XP_039763809.1, XP_039764334.1, XP_039764296.1, XP_039764245.1, XP_039764242.1, XP_039764256.1, XP_039764257.1, XP_039764124.1, XP_039763561.1, XP_039763564.1, XP_039763563.1, XP_039763558.1, XP_039763560.1, XP_039763559.1
OG0000192	DPOGS211425-PA	XP_039762427.1, XP_039761859.1, XP_039752391.1, XP_039756049.1, XP_039760184.1, XP_039765284.1, XP_039750786.1, XP_039763073.1, XP_039748736.1, XP_039752769.1, XP_039763081.1, XP_039759378.1, XP_039764366.1, XP_039746203.1, XP_039754804.1, XP_039757962.1, XP_039757593.1, XP_039758946.1, XP_039764367.1, XP_039749812.1, XP_039764621.1, XP_039763708.1, XP_039763334.1, XP_039761359.1, XP_039746059.1, XP_039753463.1, XP_039764377.1
OG0000193	DPOGS208229-PA	XP_039750301.1
OG0000193	DPOGS211597-PA	XP_039750477.1, XP_039750255.1
OG0000194	DPOGS208929-PA	XP_039755804.1, XP_039751698.1
OG0000196	DPOGS215622-PA	XP_039755851.1, XP_039755833.1, XP_039755840.1
OG0000197	DPOGS215734-PA	XP_039758390.1, XP_039758399.1
OG0000197	DPOGS204239-PA	XP_039745335.1, XP_039745336.1, XP_039745334.1, XP_039745333.1
OG0000198	DPOGS212099-PA	XP_039746651.1
OG0000198	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA	XP_039746649.1
OG0000200	DPOGS209916-PA	XP_039754239.1
OG0000201	DPOGS204865-PA, DPOGS204864-PA	XP_039755729.1, XP_039755656.1, XP_039755827.1, XP_039755826.1, XP_039755685.1, XP_039755725.1, XP_039755691.1
OG0000202	DPOGS211423-PA	XP_039749100.1, XP_039749101.1
OG0000203	DPOGS210787-PA	XP_039754507.1, XP_039754512.1
OG0000203	DPOGS200479-PA	XP_039751061.1, XP_039751060.1
OG0000205	DPOGS209148-PA, DPOGS209147-PA	XP_039755134.1, XP_039751548.1, XP_039751547.1, XP_039751546.1, XP_039751549.1
OG0000206	DPOGS205019-PA	XP_039762982.1
OG0000207	DPOGS207952-PA, DPOGS207950-PA	XP_039754537.1, XP_039755305.1
OG0000208	DPOGS210915-PA	XP_039764458.1, XP_039764457.1, XP_039764459.1, XP_039764456.1
OG0000208	DPOGS210914-PA, DPOGS210912-PA	XP_039765207.1
OG0000209	DPOGS214010-PA	XP_039748142.1
OG0000209	DPOGS204840-PA	XP_039755641.1
OG0000210	DPOGS208562-PA	XP_039751647.1
OG0000210	DPOGS208561-PA	XP_039751596.1
OG0000212	DPOGS207988-PA	XP_039749220.1
OG0000212	DPOGS207989-PA	XP_039749221.1
OG0000212	DPOGS207987-PA	XP_039748939.1
OG0000213	DPOGS208066-PA	XP_039765385.1
OG0000213	DPOGS208084-PA	XP_039745503.1
OG0000213	DPOGS208065-PA	XP_039765673.1
OG0000214	DPOGS214058-PA	XP_039751434.1
OG0000215	DPOGS211555-PA	XP_039747785.1
OG0000215	DPOGS211556-PA	XP_039762291.1
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	XP_039748667.1, XP_039748668.1, XP_039748677.1
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	XP_039757677.1, XP_039757167.1, XP_039755434.1, XP_039756614.1
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	XP_039746708.1, XP_039747114.1, XP_039747112.1
OG0000219	DPOGS207542-PA	XP_039751011.1
OG0000219	DPOGS200327-PA	XP_039754561.1
OG0000219	DPOGS200328-PA	XP_039754481.1
OG0000220	DPOGS211390-PA	XP_039748629.1
OG0000220	DPOGS205839-PA, DPOGS205840-PA	XP_039748829.1
OG0000221	DPOGS205842-PA	XP_039749261.1
OG0000222	DPOGS205017-PA	XP_039762960.1, XP_039762818.1
OG0000225	DPOGS214884-PA	XP_039759543.1, XP_039760433.1
OG0000227	DPOGS209796-PA	XP_039750188.1, XP_039750808.1, XP_039750976.1, XP_039750809.1, XP_039749892.1, XP_039749895.1, XP_039749894.1, XP_039749893.1
OG0000228	DPOGS212515-PA	XP_039747947.1, XP_039750491.1
OG0000228	DPOGS207206-PA	XP_039765282.1
OG0000229	DPOGS214632-PA	XP_039757462.1
OG0000229	DPOGS215746-PA	XP_039754103.1
OG0000230	DPOGS209009-PA, DPOGS209016-PA	XP_039749718.1
OG0000230	DPOGS211996-PA	XP_039749771.1, XP_039762072.1
OG0000231	DPOGS208443-PA	XP_039752292.1, XP_039756610.1
OG0000232	DPOGS207028-PA	XP_039751274.1
OG0000233	DPOGS215920-PA	XP_039748541.1, XP_039748540.1
OG0000233	DPOGS215875-PA	XP_039748975.1, XP_039748978.1, XP_039748977.1, XP_039748976.1, XP_039748974.1
OG0000234	DPOGS212240-PA	XP_039747573.1
OG0000234	DPOGS201732-PA	XP_039747922.1
OG0000235	DPOGS211850-PA	XP_039746284.1
OG0000235	DPOGS211974-PA	XP_039745957.1, XP_039745958.1, XP_039745960.1, XP_039745961.1, XP_039745959.1
OG0000236	DPOGS207247-PA	XP_039755818.1
OG0000236	DPOGS207308-PA	XP_039755425.1
OG0000237	DPOGS201064-PA	XP_039758531.1
OG0000237	DPOGS201065-PA	XP_039758665.1
OG0000237	DPOGS201066-PA	XP_039758521.1
OG0000238	DPOGS200166-PA	XP_039746535.1, XP_039746539.1, XP_039746536.1, XP_039746537.1, XP_039746533.1, XP_039746538.1
OG0000238	DPOGS200498-PA	XP_039751254.1
OG0000239	DPOGS200316-PA	XP_039754388.1
OG0000239	DPOGS200315-PA, DPOGS200313-PA	XP_039754293.1, XP_039754294.1
OG0000244	DPOGS205816-PA	XP_039761869.1
OG0000245	DPOGS211482-PA	XP_039763825.1, XP_039763064.1, XP_039763052.1
OG0000246	DPOGS212261-PA	XP_039755213.1
OG0000247	DPOGS204977-PA	XP_039760335.1
OG0000247	DPOGS204997-PA	XP_039759920.1
OG0000248	DPOGS208848-PA, DPOGS208849-PA	XP_039752703.1, XP_039752702.1
OG0000248	DPOGS210769-PA	XP_039752413.1
OG0000249	DPOGS204790-PA	XP_039747911.1, XP_039747907.1, XP_039747908.1
OG0000250	DPOGS206089-PA	XP_039751754.1, XP_039751756.1, XP_039751752.1, XP_039751753.1
OG0000250	DPOGS206088-PA	XP_039751755.1, XP_039752482.1
OG0000252	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA	XP_039751352.1, XP_039751410.1, XP_039751349.1, XP_039751348.1
