Orthogroup	Danaus_plexippus	Junonia_coenia
OG0000052	DPOGS210331-PA	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA
OG0000053	DPOGS201540-PA	JC_00967-RA
OG0000053	DPOGS201420-PA	JC_00970-RA
OG0000053	DPOGS201419-PA	JC_00969-RA
OG0000053	DPOGS201422-PA	JC_00971-RA
OG0000053	DPOGS201423-PA	JC_00972-RA
OG0000054	DPOGS201193-PA	JC_07335-RA
OG0000054	DPOGS201191-PA, DPOGS201192-PA, DPOGS201177-PA	JC_07330-RA
OG0000054	DPOGS201176-PA, DPOGS201175-PA	JC_07332-RA, JC_07331-RA
OG0000055	DPOGS208420-PA	JC_03957-RA
OG0000055	DPOGS213967-PA	JC_14448-RA, JC_14447-RA, JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA, JC_04975-RA
OG0000056	DPOGS206182-PA	JC_14900-RA
OG0000057	DPOGS209909-PA	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA
OG0000057	DPOGS209884-PA	JC_10437-RA
OG0000057	DPOGS209997-PA	JC_04526-RA, JC_04525-RA
OG0000057	DPOGS209996-PA, DPOGS209998-PA	JC_10434-RA
OG0000058	DPOGS212355-PA	JC_15097-RA
OG0000060	DPOGS208010-PA, DPOGS208061-PA	JC_05725-RA, JC_05737-RA, JC_05736-RA
OG0000060	DPOGS200035-PA, DPOGS208060-PA	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA
OG0000061	DPOGS201160-PA	JC_03626-RA, JC_03622-RA, JC_03625-RA, JC_03624-RA, JC_03621-RA, JC_03619-RA, JC_03623-RA, JC_03620-RA
OG0000062	DPOGS202468-PA, DPOGS202469-PA	JC_05075-RA
OG0000062	DPOGS207201-PA	JC_17016-RA, JC_17018-RA, JC_17015-RA
OG0000063	DPOGS201994-PA	JC_09389-RA, JC_09388-RA, JC_09387-RA
OG0000063	DPOGS201995-PA	JC_09784-RA, JC_09386-RA
OG0000063	DPOGS205397-PA	JC_05993-RA
OG0000066	DPOGS210132-PA	JC_12980-RA, JC_12976-RA, JC_12972-RA, JC_12915-RA, JC_12971-RA, JC_12979-RA
OG0000067	DPOGS204359-PA	JC_13669-RA, JC_13668-RA
OG0000068	DPOGS213409-PA, DPOGS212680-PA	JC_14221-RA, JC_14218-RA
OG0000069	DPOGS206989-PA	JC_12062-RA, JC_12238-RA, JC_12239-RA, JC_12055-RA, JC_12059-RA, JC_12132-RA, JC_12060-RA, JC_12056-RA, JC_12058-RA, JC_12069-RA, JC_12061-RA, JC_12064-RA, JC_12057-RA, JC_14470-RA, JC_12053-RA, JC_12791-RA, JC_12073-RA
OG0000071	DPOGS205454-PA	JC_11424-RA
OG0000073	DPOGS205799-PA	JC_09483-RA
OG0000073	DPOGS208534-PA	JC_09579-RA
OG0000073	DPOGS213705-PA	JC_05260-RA, JC_09589-RA, JC_09588-RA, JC_09593-RA, JC_09587-RA
OG0000075	DPOGS201167-PA	JC_03636-RA
OG0000075	DPOGS201162-PA	JC_03615-RA, JC_03617-RA, JC_03616-RA
OG0000075	DPOGS209261-PA	JC_03392-RA
OG0000076	DPOGS204602-PA	JC_16781-RA
OG0000076	DPOGS213290-PA, DPOGS213292-PA	JC_16784-RA
OG0000078	DPOGS207021-PA	JC_13524-RA, JC_13603-RA, JC_13604-RA, JC_13602-RA, JC_13601-RA, JC_13525-RA, JC_13523-RA, JC_09868-RA, JC_13598-RA, JC_03795-RA, JC_13635-RA, JC_13606-RA, JC_13636-RA, JC_13637-RA, JC_14550-RA, JC_13600-RA, JC_13599-RA
OG0000082	DPOGS211069-PA	JC_15348-RA
OG0000082	DPOGS203868-PA	JC_15353-RA
OG0000082	DPOGS203867-PA	JC_15354-RA
OG0000082	DPOGS212546-PA	JC_15230-RA
OG0000083	DPOGS212183-PA	JC_14785-RA, JC_14784-RA, JC_14786-RA
OG0000084	DPOGS200123-PA	JC_09083-RA
OG0000084	DPOGS200060-PA	JC_09063-RA
OG0000084	DPOGS209897-PA	JC_09086-RA, JC_09085-RA, JC_09087-RA, JC_09088-RA, JC_09084-RA, JC_09089-RA, JC_09064-RA
OG0000085	DPOGS215579-PA	JC_05550-RA, JC_05545-RA, JC_05548-RA, JC_05547-RA, JC_05546-RA
OG0000088	DPOGS202810-PA	JC_09259-RA, JC_09269-RA
OG0000088	DPOGS215149-PA	JC_16432-RA
OG0000088	DPOGS202814-PA	JC_09263-RA, JC_09271-RA, JC_09267-RA, JC_09273-RA, JC_09262-RA, JC_09274-RA, JC_09260-RA, JC_09264-RA
OG0000088	DPOGS202808-PA	JC_09272-RA
OG0000089	DPOGS205237-PA	JC_13927-RA, JC_10950-RA, JC_03949-RA, JC_14794-RA, JC_15101-RA
OG0000089	DPOGS215500-PA	JC_03956-RA
OG0000089	DPOGS204954-PA	JC_02698-RA, JC_03955-RA
OG0000090	DPOGS210053-PA, DPOGS210052-PA	JC_04442-RA, JC_04443-RA
OG0000091	DPOGS213963-PA	JC_11192-RA
OG0000092	DPOGS209254-PA	JC_03404-RA, JC_03406-RA
OG0000092	DPOGS209259-PA, DPOGS209253-PA	JC_03407-RA
OG0000093	DPOGS202427-PA	JC_15360-RA
OG0000093	DPOGS202426-PA, DPOGS203872-PA	JC_15357-RA, JC_15358-RA
OG0000093	DPOGS202424-PA	JC_15363-RA
OG0000094	DPOGS213975-PA	JC_13682-RA
OG0000095	DPOGS204282-PA	JC_00267-RA, JC_00268-RA, JC_00271-RA
OG0000096	DPOGS212592-PA	JC_09719-RA, JC_09720-RA
OG0000096	DPOGS212590-PA	JC_09724-RA
OG0000096	DPOGS212591-PA	JC_09722-RA, JC_09721-RA
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	JC_08741-RA, JC_11495-RA, JC_11494-RA, JC_12150-RA, JC_12186-RA, JC_12185-RA, JC_12151-RA, JC_11492-RA, JC_11491-RA, JC_11146-RA, JC_16410-RA, JC_11493-RA, JC_11490-RA
OG0000098	DPOGS209226-PA, DPOGS209225-PA	JC_05281-RA, JC_05286-RA, JC_05284-RA, JC_05283-RA, JC_05290-RA, JC_05289-RA, JC_16086-RA, JC_16084-RA
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	JC_10664-RA
OG0000100	DPOGS215475-PA	JC_10662-RA
OG0000100	DPOGS215477-PA	JC_10658-RA
OG0000101	DPOGS200031-PA	JC_05763-RA, JC_05759-RA, JC_05754-RA, JC_05762-RA, JC_05757-RA, JC_05758-RA
OG0000101	DPOGS200027-PA	JC_05760-RA
OG0000101	DPOGS200026-PA	JC_05755-RA, JC_05761-RA
OG0000102	DPOGS206988-PA	JC_14892-RA, JC_12066-RA, JC_14237-RA, JC_12068-RA
OG0000102	DPOGS206942-PA	JC_12048-RA
OG0000103	DPOGS207082-PA	JC_11864-RA, JC_11856-RA, JC_11852-RA, JC_11853-RA, JC_11857-RA, JC_11862-RA, JC_11863-RA, JC_11861-RA, JC_11850-RA, JC_11854-RA, JC_11859-RA, JC_11849-RA, JC_11851-RA, JC_11860-RA
OG0000104	DPOGS200657-PA	JC_06675-RA
OG0000108	DPOGS212246-PA	JC_12701-RA
OG0000108	DPOGS208199-PA	JC_16471-RA
OG0000108	DPOGS209435-PA	JC_03919-RA, JC_15130-RA, JC_03918-RA
OG0000109	DPOGS209375-PA	JC_02996-RA, JC_02995-RA, JC_02993-RA, JC_02992-RA, JC_02994-RA, JC_03001-RA
OG0000110	DPOGS212705-PA	JC_12230-RA
OG0000110	DPOGS212706-PA	JC_12232-RA, JC_12231-RA
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	JC_12228-RA, JC_12227-RA, JC_12226-RA
OG0000111	DPOGS202624-PA	JC_06517-RA
OG0000111	DPOGS215824-PA	JC_04966-RA
OG0000111	DPOGS215826-PA	JC_04964-RA
OG0000112	DPOGS200671-PA	JC_08001-RA
OG0000112	DPOGS200675-PA, DPOGS200676-PA, DPOGS200677-PA, DPOGS200672-PA, DPOGS200674-PA, DPOGS200678-PA, DPOGS210781-PA	JC_07998-RA, JC_07999-RA, JC_08000-RA, JC_07995-RA
OG0000113	DPOGS203348-PA	JC_16665-RA
OG0000113	DPOGS207633-PA	JC_16657-RA
OG0000113	DPOGS205179-PA	JC_02497-RA
OG0000114	DPOGS206960-PA	JC_11661-RA, JC_11662-RA
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	JC_14206-RA
OG0000115	DPOGS201101-PA	JC_09318-RA, JC_14203-RA
OG0000116	DPOGS211429-PA	JC_05019-RA
OG0000117	DPOGS206946-PA	JC_11736-RA, JC_11741-RA
OG0000117	DPOGS206945-PA	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000118	DPOGS216140-PA	JC_15186-RA, JC_03928-RA
OG0000119	DPOGS203233-PA	JC_05589-RA, JC_11803-RA, JC_05582-RA, JC_05587-RA, JC_05588-RA
OG0000120	DPOGS202536-PA	JC_16881-RA, JC_13575-RA, JC_15154-RA, JC_13596-RA, JC_01356-RA, JC_13017-RA
OG0000122	DPOGS200373-PA	JC_03302-RA
OG0000122	DPOGS200374-PA	JC_15261-RA, JC_00884-RA
OG0000123	DPOGS204956-PA	JC_00053-RA
OG0000124	DPOGS206009-PA	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	JC_13371-RA
OG0000125	DPOGS214825-PA	JC_13370-RA, JC_13369-RA
OG0000127	DPOGS210351-PA	JC_14455-RA, JC_14093-RA, JC_00089-RA, JC_14232-RA, JC_02393-RA, JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA
OG0000128	DPOGS210158-PA	JC_10255-RA
OG0000128	DPOGS211778-PA	JC_10263-RA
OG0000128	DPOGS210161-PA	JC_10261-RA
OG0000129	DPOGS210178-PA	JC_14536-RA, JC_14538-RA, JC_14867-RA, JC_14534-RA, JC_14537-RA, JC_14535-RA
OG0000131	DPOGS211520-PA	JC_03944-RA
OG0000131	DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA	JC_04373-RA
OG0000132	DPOGS214570-PA	JC_12332-RA, JC_12331-RA, JC_12328-RA, JC_12330-RA, JC_16594-RA, JC_12333-RA
OG0000133	DPOGS204619-PA, DPOGS215001-PA	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000133	DPOGS201589-PA	JC_17034-RA, JC_17035-RA
OG0000134	DPOGS206558-PA	JC_13643-RA
OG0000134	DPOGS213998-PA	JC_13572-RA, JC_13574-RA
OG0000134	DPOGS206556-PA	JC_13639-RA
OG0000136	DPOGS215350-PA	JC_01650-RA
OG0000137	DPOGS213158-PA	JC_00690-RA, JC_00691-RA, JC_00692-RA
OG0000138	DPOGS201307-PA, DPOGS201308-PA	JC_08004-RA
OG0000138	DPOGS210044-PA	JC_04421-RA
OG0000139	DPOGS204151-PA	JC_12416-RA
OG0000139	DPOGS211466-PA	JC_12885-RA
OG0000139	DPOGS204150-PA	JC_12412-RA
OG0000140	DPOGS208587-PA	JC_15651-RA
OG0000140	DPOGS215443-PA	JC_15647-RA
OG0000141	DPOGS205275-PA	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA
OG0000142	DPOGS210763-PA	JC_16337-RA, JC_16335-RA, JC_16334-RA, JC_16336-RA, JC_16253-RA
OG0000142	DPOGS211692-PA	JC_16332-RA, JC_04999-RA, JC_04998-RA
OG0000143	DPOGS207066-PA	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	DPOGS207067-PA	JC_11701-RA, JC_11700-RA
OG0000147	DPOGS216148-PA	JC_05667-RA, JC_05669-RA, JC_05666-RA
OG0000152	DPOGS203652-PA	JC_01151-RA
OG0000152	DPOGS203849-PA	JC_01147-RA
OG0000152	DPOGS203651-PA	JC_01149-RA
OG0000153	DPOGS200298-PA	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA
OG0000154	DPOGS203728-PA	JC_05850-RA, JC_05851-RA, JC_01364-RA
OG0000154	DPOGS203730-PA	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA
OG0000155	DPOGS209068-PA	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA, JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA
OG0000156	DPOGS201020-PA	JC_10982-RA, JC_10978-RA
OG0000156	DPOGS201022-PA, DPOGS201021-PA	JC_15886-RA, JC_10973-RA
OG0000157	DPOGS210719-PA	JC_06612-RA, JC_11837-RA, JC_14009-RA, JC_16489-RA, JC_16620-RA, JC_12818-RA, JC_05707-RA, JC_07926-RA, JC_17098-RA, JC_13891-RA, JC_16905-RA, JC_13706-RA, JC_07992-RA, JC_16398-RA, JC_09892-RA, JC_01960-RA, JC_15646-RA, JC_12101-RA, JC_15198-RA, JC_14746-RA, JC_08528-RA, JC_14305-RA, JC_11908-RA, JC_13220-RA, JC_11293-RA, JC_14463-RA, JC_15390-RA, JC_05552-RA
OG0000162	DPOGS214379-PA, DPOGS212215-PA	JC_10317-RA, JC_10318-RA
OG0000162	DPOGS213682-PA	JC_10314-RA, JC_10313-RA, JC_10316-RA
OG0000163	DPOGS208397-PA, DPOGS208398-PA	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA
OG0000164	DPOGS207032-PA	JC_16411-RA
OG0000165	DPOGS202039-PA	JC_02467-RA, JC_02466-RA, JC_02484-RA, JC_02470-RA, JC_02468-RA
OG0000166	DPOGS204571-PA	JC_06064-RA
OG0000166	DPOGS215383-PA	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA
OG0000167	DPOGS207203-PA, DPOGS200276-PA	JC_03065-RA
OG0000169	DPOGS209399-PA	JC_09918-RA
OG0000169	DPOGS209417-PA	JC_09913-RA
OG0000169	DPOGS209416-PA, DPOGS209415-PA	JC_09912-RA
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	JC_05858-RA, JC_05859-RA, JC_05861-RA, JC_05857-RA, JC_05860-RA
OG0000171	DPOGS207651-PA	JC_09304-RA, JC_09306-RA, JC_09305-RA
OG0000171	DPOGS207652-PA	JC_09303-RA
OG0000172	DPOGS211762-PA	JC_11633-RA, JC_11631-RA, JC_11632-RA
OG0000174	DPOGS203785-PA	JC_01298-RA
OG0000174	DPOGS203786-PA	JC_01295-RA
OG0000174	DPOGS201355-PA	JC_02058-RA
OG0000175	DPOGS213653-PA	JC_15584-RA
OG0000175	DPOGS212172-PA	JC_03752-RA
OG0000175	DPOGS201184-PA	JC_07347-RA
OG0000177	DPOGS215539-PA	JC_01037-RA, JC_16807-RA, JC_03373-RA, JC_12881-RA
OG0000177	DPOGS213999-PA	JC_15090-RA, JC_15171-RA, JC_15065-RA, JC_15061-RA, JC_05135-RA, JC_13829-RA, JC_11108-RA, JC_15062-RA, JC_16605-RA, JC_13926-RA
OG0000178	DPOGS213916-PA	JC_15551-RA
OG0000178	DPOGS202584-PA, DPOGS208620-PA	JC_15684-RA
OG0000179	DPOGS215238-PA	JC_05652-RA
OG0000180	DPOGS203313-PA	JC_01798-RA
OG0000180	DPOGS202992-PA	JC_01797-RA
OG0000181	DPOGS204734-PA, DPOGS204733-PA	JC_11533-RA, JC_11539-RA, JC_11535-RA, JC_11537-RA, JC_11538-RA, JC_11534-RA
OG0000182	DPOGS210084-PA	JC_06575-RA, JC_06574-RA, JC_04497-RA, JC_04499-RA, JC_04506-RA, JC_04504-RA, JC_04507-RA, JC_04500-RA, JC_04502-RA, JC_04503-RA, JC_04505-RA, JC_04501-RA
OG0000183	DPOGS211358-PA	JC_09899-RA
OG0000183	DPOGS210612-PA	JC_00847-RA
OG0000183	DPOGS202050-PA	JC_02435-RA
OG0000184	DPOGS210000-PA	JC_04529-RA, JC_04531-RA
OG0000184	DPOGS210945-PA	JC_06432-RA
OG0000184	DPOGS211022-PA	JC_06434-RA
OG0000185	DPOGS207886-PA	JC_11317-RA
OG0000185	DPOGS207877-PA	JC_11320-RA
OG0000185	DPOGS207876-PA	JC_11319-RA
OG0000186	DPOGS200588-PA	JC_16936-RA
OG0000187	DPOGS203099-PA	JC_16384-RA
OG0000187	DPOGS205242-PA	JC_16906-RA, JC_16385-RA
OG0000188	DPOGS200256-PA	JC_14936-RA
OG0000188	DPOGS210268-PA	JC_14941-RA, JC_14942-RA
OG0000188	DPOGS210271-PA, DPOGS210270-PA	JC_14943-RA
OG0000188	DPOGS210265-PA	JC_14940-RA
OG0000189	DPOGS204875-PA	JC_07046-RA
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	JC_07049-RA, JC_07048-RA, JC_07047-RA, JC_07050-RA
OG0000190	DPOGS210733-PA	JC_06617-RA, JC_06615-RA, JC_06614-RA
OG0000193	DPOGS208229-PA	JC_06325-RA
OG0000193	DPOGS211597-PA	JC_06528-RA, JC_06527-RA
OG0000194	DPOGS208929-PA	JC_02952-RA, JC_15116-RA, JC_07427-RA
OG0000196	DPOGS215622-PA	JC_06588-RA, JC_09820-RA, JC_11738-RA, JC_11737-RA, JC_06587-RA, JC_01320-RA, JC_01322-RA, JC_01318-RA, JC_01316-RA, JC_01319-RA, JC_01323-RA, JC_01321-RA
OG0000197	DPOGS204239-PA	JC_00320-RA
OG0000198	DPOGS212099-PA	JC_03773-RA
OG0000198	DPOGS212166-PA, DPOGS212165-PA, DPOGS212098-PA, DPOGS212164-PA	JC_04209-RA
OG0000199	DPOGS205139-PA, DPOGS200471-PA	JC_07461-RA
OG0000200	DPOGS209914-PA	JC_03361-RA, JC_03362-RA
OG0000200	DPOGS209916-PA, DPOGS204353-PA	JC_03371-RA, JC_03359-RA, JC_03365-RA, JC_03369-RA
OG0000201	DPOGS204865-PA, DPOGS204864-PA	JC_07060-RA
OG0000202	DPOGS209628-PA	JC_04947-RA
OG0000202	DPOGS211423-PA	JC_04951-RA, JC_04950-RA, JC_04948-RA, JC_04949-RA
OG0000203	DPOGS210787-PA	JC_03487-RA
