Orthogroup	Danaus_plexippus	Vanessa_cardui
OG0000052	DPOGS210331-PA	Vcard_DToL12448-RA, Vcard_DToL12449-RA
OG0000053	DPOGS201540-PA	Vcard_DToL01328-RA
OG0000053	DPOGS201420-PA	Vcard_DToL01334-RA
OG0000053	DPOGS201419-PA	Vcard_DToL01331-RA
OG0000053	DPOGS201422-PA	Vcard_DToL01333-RA
OG0000053	DPOGS201421-PA	Vcard_DToL01332-RA
OG0000053	DPOGS201423-PA	Vcard_DToL01335-RA
OG0000054	DPOGS201193-PA	Vcard_DToL09709-RA
OG0000054	DPOGS201191-PA, DPOGS201192-PA, DPOGS201177-PA	Vcard_DToL09712-RA
OG0000054	DPOGS201176-PA, DPOGS201175-PA	Vcard_DToL09711-RA
OG0000055	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA	Vcard_DToL13935-RA, Vcard_DToL18184-RA
OG0000055	DPOGS213967-PA	Vcard_DToL18025-RA
OG0000056	DPOGS210281-PA	Vcard_DToL16041-RA
OG0000056	DPOGS206182-PA	Vcard_DToL16040-RA
OG0000057	DPOGS209909-PA	Vcard_DToL13794-RA
OG0000057	DPOGS209884-PA	Vcard_DToL13796-RA
OG0000057	DPOGS209997-PA, DPOGS209996-PA, DPOGS209998-PA	Vcard_DToL04780-RA, Vcard_DToL04783-RA, Vcard_DToL04784-RA
OG0000058	DPOGS215426-PA	Vcard_DToL02890-RA
OG0000058	DPOGS213962-PA	Vcard_DToL07050-RA, Vcard_DToL15938-RA
OG0000061	DPOGS201160-PA	Vcard_DToL04117-RA
OG0000062	DPOGS202468-PA, DPOGS202469-PA	Vcard_DToL05449-RA
OG0000062	DPOGS212518-PA, DPOGS212516-PA, DPOGS212473-PA	Vcard_DToL17485-RA
OG0000062	DPOGS207201-PA	Vcard_DToL18013-RA, Vcard_DToL18008-RA, Vcard_DToL18004-RA
OG0000063	DPOGS201994-PA	Vcard_DToL06735-RA, Vcard_DToL06751-RA, Vcard_DToL06743-RA, Vcard_DToL06750-RA, Vcard_DToL06742-RA
OG0000063	DPOGS201995-PA	Vcard_DToL06752-RA, Vcard_DToL06736-RA, Vcard_DToL06744-RA
OG0000063	DPOGS205397-PA	Vcard_DToL09866-RA
OG0000063	DPOGS208887-PA	Vcard_DToL07425-RA
OG0000066	DPOGS210132-PA	Vcard_DToL15093-RA, Vcard_DToL15095-RA, Vcard_DToL15092-RA, Vcard_DToL15090-RA, Vcard_DToL15089-RA, Vcard_DToL15088-RA
OG0000067	DPOGS204359-PA	Vcard_DToL15559-RA, Vcard_DToL15557-RA
OG0000067	DPOGS204361-PA, DPOGS204360-PA	Vcard_DToL15558-RA
OG0000068	DPOGS213409-PA, DPOGS212680-PA	Vcard_DToL16340-RA, Vcard_DToL16337-RA
OG0000069	DPOGS206989-PA	Vcard_DToL07820-RA, Vcard_DToL07819-RA, Vcard_DToL07818-RA
OG0000071	DPOGS205454-PA	Vcard_DToL11272-RA
OG0000071	DPOGS200879-PA	Vcard_DToL15245-RA
OG0000073	DPOGS205799-PA	Vcard_DToL06863-RA
OG0000073	DPOGS208534-PA	Vcard_DToL06621-RA
OG0000073	DPOGS213705-PA	Vcard_DToL06614-RA
OG0000075	DPOGS201167-PA	Vcard_DToL04138-RA
OG0000075	DPOGS201162-PA	Vcard_DToL04124-RA
OG0000075	DPOGS209261-PA	Vcard_DToL04270-RA
OG0000076	DPOGS204602-PA, DPOGS213290-PA, DPOGS213292-PA	Vcard_DToL18781-RA
OG0000078	DPOGS207021-PA	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000082	DPOGS211069-PA	Vcard_DToL17276-RA
OG0000082	DPOGS203867-PA	Vcard_DToL17266-RA
OG0000084	DPOGS200123-PA	Vcard_DToL07564-RA
OG0000085	DPOGS215579-PA	Vcard_DToL03094-RA, Vcard_DToL03096-RA, Vcard_DToL03095-RA
OG0000088	DPOGS202810-PA	Vcard_DToL06950-RA
OG0000088	DPOGS202814-PA	Vcard_DToL06952-RA
OG0000089	DPOGS205237-PA	Vcard_DToL17977-RA
OG0000089	DPOGS215500-PA, DPOGS204954-PA	Vcard_DToL04008-RA, Vcard_DToL18811-RA, Vcard_DToL12624-RA, Vcard_DToL09485-RA, Vcard_DToL06496-RA, Vcard_DToL06859-RA, Vcard_DToL06310-RA, Vcard_DToL08080-RA, Vcard_DToL12125-RA, Vcard_DToL09462-RA, Vcard_DToL15284-RA, Vcard_DToL15224-RA, Vcard_DToL17560-RA, Vcard_DToL08537-RA, Vcard_DToL01821-RA
OG0000090	DPOGS210053-PA, DPOGS210052-PA	Vcard_DToL04847-RA
OG0000092	DPOGS209254-PA	Vcard_DToL04259-RA
OG0000092	DPOGS209255-PA, DPOGS209257-PA, DPOGS209256-PA, DPOGS209258-PA, DPOGS209259-PA, DPOGS209253-PA, DPOGS209252-PA	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	DPOGS202427-PA	Vcard_DToL17257-RA
OG0000093	DPOGS202426-PA, DPOGS203872-PA	Vcard_DToL17260-RA
OG0000093	DPOGS202424-PA	Vcard_DToL17256-RA
OG0000094	DPOGS213975-PA	Vcard_DToL15547-RA, Vcard_DToL15561-RA
OG0000095	DPOGS204282-PA	Vcard_DToL02427-RA, Vcard_DToL02425-RA
OG0000096	DPOGS212592-PA	Vcard_DToL06347-RA
OG0000096	DPOGS212590-PA	Vcard_DToL06351-RA
OG0000096	DPOGS212591-PA	Vcard_DToL06349-RA
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	Vcard_DToL11327-RA, Vcard_DToL11326-RA
OG0000098	DPOGS209226-PA, DPOGS209225-PA	Vcard_DToL02960-RA
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	Vcard_DToL12906-RA
OG0000100	DPOGS215475-PA	Vcard_DToL12904-RA
OG0000100	DPOGS215477-PA	Vcard_DToL12899-RA
OG0000101	DPOGS200031-PA	Vcard_DToL09191-RA
OG0000102	DPOGS206988-PA	Vcard_DToL07821-RA, Vcard_DToL07817-RA
OG0000103	DPOGS207082-PA	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA
OG0000104	DPOGS200657-PA	Vcard_DToL07071-RA, Vcard_DToL05168-RA, Vcard_DToL10371-RA, Vcard_DToL13900-RA, Vcard_DToL17254-RA, Vcard_DToL01566-RA, Vcard_DToL02964-RA, Vcard_DToL04908-RA, Vcard_DToL07304-RA, Vcard_DToL15931-RA, Vcard_DToL03327-RA, Vcard_DToL11937-RA, Vcard_DToL15171-RA, Vcard_DToL13575-RA, Vcard_DToL07670-RA, Vcard_DToL10926-RA, Vcard_DToL09586-RA, Vcard_DToL11935-RA, Vcard_DToL07869-RA, Vcard_DToL08421-RA, Vcard_DToL14533-RA, Vcard_DToL13107-RA, Vcard_DToL07049-RA, Vcard_DToL12377-RA, Vcard_DToL07310-RA, Vcard_DToL05779-RA, Vcard_DToL00871-RA, Vcard_DToL18176-RA, Vcard_DToL04307-RA, Vcard_DToL09178-RA, Vcard_DToL06774-RA, Vcard_DToL12274-RA, Vcard_DToL00149-RA, Vcard_DToL07658-RA, Vcard_DToL04397-RA
OG0000108	DPOGS209435-PA	Vcard_DToL18043-RA
OG0000109	DPOGS209375-PA	Vcard_DToL04718-RA, Vcard_DToL04719-RA, Vcard_DToL04721-RA, Vcard_DToL04712-RA
OG0000110	DPOGS212705-PA	Vcard_DToL07723-RA
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	Vcard_DToL07721-RA, Vcard_DToL07720-RA
OG0000111	DPOGS202624-PA	Vcard_DToL10424-RA
OG0000111	DPOGS215827-PA	Vcard_DToL05298-RA
OG0000111	DPOGS215824-PA	Vcard_DToL05296-RA
OG0000111	DPOGS215826-PA	Vcard_DToL05301-RA
OG0000113	DPOGS207633-PA, DPOGS205179-PA	Vcard_DToL03481-RA
OG0000114	DPOGS206960-PA	Vcard_DToL07873-RA, Vcard_DToL07876-RA, Vcard_DToL09470-RA
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	Vcard_DToL16325-RA
OG0000115	DPOGS201101-PA	Vcard_DToL06773-RA, Vcard_DToL16322-RA
OG0000116	DPOGS211429-PA	Vcard_DToL05226-RA
OG0000116	DPOGS203334-PA	Vcard_DToL00399-RA
OG0000117	DPOGS206946-PA	Vcard_DToL08238-RA
OG0000117	DPOGS206945-PA	Vcard_DToL08239-RA
OG0000119	DPOGS203233-PA	Vcard_DToL03289-RA, Vcard_DToL03290-RA, Vcard_DToL03291-RA
OG0000122	DPOGS200373-PA	Vcard_DToL04366-RA
OG0000122	DPOGS200374-PA	Vcard_DToL04368-RA, Vcard_DToL14073-RA, Vcard_DToL17995-RA
OG0000124	DPOGS206009-PA	Vcard_DToL13182-RA
OG0000124	DPOGS206011-PA	Vcard_DToL05255-RA
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	Vcard_DToL15852-RA
OG0000125	DPOGS214825-PA	Vcard_DToL15854-RA
OG0000126	DPOGS203947-PA	Vcard_DToL17960-RA
OG0000126	DPOGS206199-PA	Vcard_DToL14118-RA, Vcard_DToL16612-RA, Vcard_DToL17399-RA, Vcard_DToL17398-RA, Vcard_DToL02711-RA, Vcard_DToL02706-RA, Vcard_DToL16282-RA, Vcard_DToL00001-RA, Vcard_DToL02707-RA, Vcard_DToL00004-RA, Vcard_DToL15887-RA, Vcard_DToL16275-RA, Vcard_DToL00002-RA, Vcard_DToL02703-RA, Vcard_DToL15886-RA, Vcard_DToL00005-RA, Vcard_DToL00003-RA, Vcard_DToL02709-RA, Vcard_DToL02712-RA, Vcard_DToL15884-RA, Vcard_DToL02704-RA, Vcard_DToL16606-RA, Vcard_DToL17402-RA, Vcard_DToL14950-RA, Vcard_DToL10247-RA, Vcard_DToL09748-RA, Vcard_DToL16278-RA, Vcard_DToL14952-RA, Vcard_DToL16279-RA, Vcard_DToL17400-RA
OG0000127	DPOGS210351-PA	Vcard_DToL18678-RA, Vcard_DToL18689-RA
OG0000128	DPOGS210158-PA	Vcard_DToL13576-RA
OG0000128	DPOGS211778-PA	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	DPOGS210161-PA	Vcard_DToL13581-RA
OG0000129	DPOGS210178-PA	Vcard_DToL16688-RA
OG0000130	DPOGS215233-PA	Vcard_DToL07751-RA
OG0000131	DPOGS211520-PA	Vcard_DToL17922-RA
OG0000132	DPOGS214570-PA	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA
OG0000133	DPOGS204619-PA, DPOGS215001-PA	Vcard_DToL17871-RA
OG0000133	DPOGS201589-PA	Vcard_DToL17888-RA
OG0000134	DPOGS206558-PA	Vcard_DToL15581-RA
OG0000134	DPOGS213998-PA	Vcard_DToL15620-RA
OG0000134	DPOGS206556-PA	Vcard_DToL15582-RA
OG0000137	DPOGS213158-PA	Vcard_DToL01909-RA
OG0000138	DPOGS201307-PA	Vcard_DToL06226-RA
OG0000138	DPOGS201308-PA	Vcard_DToL06227-RA
OG0000138	DPOGS201306-PA	Vcard_DToL06225-RA
OG0000138	DPOGS210044-PA	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	DPOGS204151-PA	Vcard_DToL14664-RA
OG0000139	DPOGS211466-PA	Vcard_DToL15052-RA
OG0000140	DPOGS208587-PA	Vcard_DToL16920-RA
OG0000140	DPOGS216186-PA, DPOGS216207-PA, DPOGS216183-PA, DPOGS216184-PA	Vcard_DToL16881-RA
OG0000140	DPOGS215443-PA	Vcard_DToL16917-RA
OG0000140	DPOGS215439-PA	Vcard_DToL16916-RA
OG0000141	DPOGS205275-PA	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA
OG0000142	DPOGS210763-PA	Vcard_DToL18406-RA
OG0000142	DPOGS208850-PA	Vcard_DToL18394-RA
OG0000142	DPOGS211692-PA	Vcard_DToL18404-RA
OG0000143	DPOGS207066-PA	Vcard_DToL08257-RA
OG0000143	DPOGS207067-PA	Vcard_DToL08259-RA
OG0000147	DPOGS202135-PA	Vcard_DToL09992-RA, Vcard_DToL09991-RA
OG0000147	DPOGS216148-PA	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000148	DPOGS212460-PA	Vcard_DToL00793-RA, Vcard_DToL09982-RA, Vcard_DToL17295-RA, Vcard_DToL18000-RA, Vcard_DToL15207-RA, Vcard_DToL13917-RA, Vcard_DToL13920-RA, Vcard_DToL11321-RA, Vcard_DToL16042-RA
OG0000149	DPOGS211600-PA	Vcard_DToL10477-RA
OG0000150	DPOGS200229-PA	Vcard_DToL07740-RA, Vcard_DToL11857-RA, Vcard_DToL15677-RA, Vcard_DToL00173-RA, Vcard_DToL02895-RA, Vcard_DToL09110-RA, Vcard_DToL16167-RA, Vcard_DToL15721-RA, Vcard_DToL14117-RA, Vcard_DToL03918-RA, Vcard_DToL06180-RA, Vcard_DToL15661-RA, Vcard_DToL08401-RA, Vcard_DToL07759-RA, Vcard_DToL15404-RA
OG0000152	DPOGS203849-PA	Vcard_DToL01538-RA
OG0000152	DPOGS203651-PA	Vcard_DToL01542-RA
OG0000153	DPOGS200298-PA	Vcard_DToL04556-RA, Vcard_DToL04750-RA
OG0000154	DPOGS203728-PA	Vcard_DToL05463-RA
OG0000154	DPOGS203730-PA	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	DPOGS209068-PA	Vcard_DToL15443-RA, Vcard_DToL15439-RA
OG0000156	DPOGS201020-PA	Vcard_DToL12566-RA
OG0000156	DPOGS201022-PA, DPOGS201021-PA	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA
OG0000162	DPOGS214379-PA, DPOGS212215-PA	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	DPOGS208397-PA, DPOGS208398-PA	Vcard_DToL13540-RA
OG0000164	DPOGS207032-PA	Vcard_DToL18259-RA
OG0000165	DPOGS202039-PA	Vcard_DToL03458-RA, Vcard_DToL03457-RA, Vcard_DToL03464-RA
OG0000166	DPOGS204571-PA	Vcard_DToL10237-RA
OG0000166	DPOGS215383-PA	Vcard_DToL10075-RA
OG0000167	DPOGS200276-PA	Vcard_DToL04638-RA
OG0000167	DPOGS212517-PA, DPOGS212471-PA	Vcard_DToL17484-RA
OG0000169	DPOGS209399-PA	Vcard_DToL13220-RA
OG0000169	DPOGS209417-PA	Vcard_DToL13215-RA
OG0000169	DPOGS209397-PA	Vcard_DToL13222-RA
OG0000169	DPOGS209416-PA, DPOGS209415-PA	Vcard_DToL13212-RA
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	Vcard_DToL09757-RA, Vcard_DToL09758-RA, Vcard_DToL09756-RA
OG0000171	DPOGS207651-PA	Vcard_DToL06760-RA, Vcard_DToL06761-RA
OG0000171	DPOGS207652-PA	Vcard_DToL06758-RA
OG0000172	DPOGS207109-PA	Vcard_DToL08055-RA
OG0000172	DPOGS207119-PA	Vcard_DToL08028-RA
OG0000174	DPOGS203785-PA	Vcard_DToL01198-RA, Vcard_DToL01197-RA
OG0000174	DPOGS203786-PA	Vcard_DToL01201-RA
OG0000174	DPOGS201355-PA	Vcard_DToL00231-RA
OG0000175	DPOGS213653-PA	Vcard_DToL16841-RA
OG0000175	DPOGS212172-PA	Vcard_DToL08937-RA
OG0000175	DPOGS201184-PA	Vcard_DToL09691-RA
OG0000176	DPOGS213964-PA, DPOGS212067-PA	Vcard_DToL13587-RA
OG0000177	DPOGS213999-PA	Vcard_DToL18686-RA
OG0000178	DPOGS213916-PA	Vcard_DToL16798-RA
OG0000178	DPOGS202584-PA, DPOGS208620-PA	Vcard_DToL16964-RA
OG0000179	DPOGS215239-PA	Vcard_DToL10007-RA
OG0000180	DPOGS203313-PA	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA
OG0000180	DPOGS202992-PA	Vcard_DToL00694-RA
OG0000181	DPOGS204734-PA, DPOGS204733-PA	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	DPOGS210084-PA	Vcard_DToL04801-RA
OG0000183	DPOGS211358-PA	Vcard_DToL13208-RA
OG0000183	DPOGS210612-PA	Vcard_DToL01715-RA
OG0000184	DPOGS210000-PA	Vcard_DToL04778-RA
OG0000184	DPOGS210945-PA	Vcard_DToL10518-RA
OG0000184	DPOGS211022-PA	Vcard_DToL10517-RA
OG0000185	DPOGS207886-PA	Vcard_DToL11157-RA
OG0000185	DPOGS207876-PA	Vcard_DToL11159-RA
OG0000186	DPOGS200588-PA	Vcard_DToL18093-RA
OG0000187	DPOGS203099-PA	Vcard_DToL18267-RA
OG0000187	DPOGS205242-PA	Vcard_DToL18153-RA, Vcard_DToL18155-RA
OG0000188	DPOGS210268-PA	Vcard_DToL16002-RA
OG0000188	DPOGS210265-PA	Vcard_DToL16003-RA, Vcard_DToL16004-RA
OG0000189	DPOGS204875-PA	Vcard_DToL12111-RA
OG0000189	DPOGS204874-PA, DPOGS204870-PA, DPOGS204872-PA, DPOGS204871-PA, DPOGS204873-PA	Vcard_DToL12109-RA, Vcard_DToL12110-RA
OG0000190	DPOGS210733-PA	Vcard_DToL10323-RA, Vcard_DToL10320-RA
OG0000191	DPOGS203394-PA, DPOGS212004-PA	Vcard_DToL00710-RA, Vcard_DToL00708-RA
OG0000193	DPOGS208229-PA	Vcard_DToL10620-RA
OG0000193	DPOGS211597-PA	Vcard_DToL10410-RA, Vcard_DToL10411-RA, Vcard_DToL10412-RA
OG0000194	DPOGS208929-PA	Vcard_DToL18679-RA
OG0000196	DPOGS215622-PA	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	DPOGS215734-PA	Vcard_DToL00934-RA
OG0000197	DPOGS204239-PA	Vcard_DToL02361-RA
OG0000198	DPOGS212099-PA	Vcard_DToL08912-RA
OG0000200	DPOGS209914-PA	Vcard_DToL04306-RA
OG0000200	DPOGS209916-PA, DPOGS204353-PA	Vcard_DToL04304-RA
OG0000201	DPOGS204865-PA, DPOGS204864-PA	Vcard_DToL12096-RA, Vcard_DToL12097-RA
OG0000202	DPOGS211423-PA	Vcard_DToL05319-RA, Vcard_DToL05320-RA
OG0000203	DPOGS210787-PA	Vcard_DToL04165-RA, Vcard_DToL04159-RA, Vcard_DToL04158-RA, Vcard_DToL04161-RA, Vcard_DToL04162-RA
OG0000205	DPOGS209148-PA, DPOGS209147-PA	Vcard_DToL03236-RA, Vcard_DToL03235-RA
OG0000206	DPOGS205019-PA	Vcard_DToL18698-RA
OG0000207	DPOGS207952-PA, DPOGS207950-PA	Vcard_DToL17790-RA
OG0000208	DPOGS210914-PA, DPOGS210912-PA	Vcard_DToL06230-RA
OG0000209	DPOGS214010-PA	Vcard_DToL14070-RA
OG0000209	DPOGS204840-PA	Vcard_DToL12081-RA
OG0000209	DPOGS216112-PA	Vcard_DToL14068-RA
OG0000210	DPOGS208562-PA	Vcard_DToL06539-RA
OG0000210	DPOGS208561-PA	Vcard_DToL06540-RA
OG0000212	DPOGS207988-PA	Vcard_DToL05123-RA
OG0000212	DPOGS207989-PA, DPOGS207987-PA	Vcard_DToL05122-RA
OG0000213	DPOGS208066-PA	Vcard_DToL02226-RA
OG0000213	DPOGS208084-PA	Vcard_DToL02222-RA
OG0000213	DPOGS208065-PA	Vcard_DToL02218-RA
OG0000214	DPOGS214058-PA	Vcard_DToL06709-RA
OG0000215	DPOGS211555-PA	Vcard_DToL15777-RA
OG0000215	DPOGS211556-PA	Vcard_DToL15776-RA
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	Vcard_DToL05432-RA, Vcard_DToL05434-RA
OG0000217	DPOGS201473-PA	Vcard_DToL01447-RA
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	Vcard_DToL01448-RA, Vcard_DToL01449-RA, Vcard_DToL01453-RA, Vcard_DToL01454-RA, Vcard_DToL01456-RA, Vcard_DToL01455-RA
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	Vcard_DToL08466-RA, Vcard_DToL08468-RA, Vcard_DToL08465-RA, Vcard_DToL08470-RA
OG0000219	DPOGS207542-PA	Vcard_DToL15870-RA
OG0000219	DPOGS200327-PA	Vcard_DToL04565-RA
OG0000219	DPOGS200328-PA	Vcard_DToL04562-RA
OG0000220	DPOGS211390-PA	Vcard_DToL05227-RA, Vcard_DToL05229-RA
OG0000220	DPOGS205839-PA, DPOGS205840-PA	Vcard_DToL05216-RA
OG0000221	DPOGS211394-PA	Vcard_DToL05219-RA
OG0000221	DPOGS205842-PA	Vcard_DToL05218-RA, Vcard_DToL05217-RA
OG0000222	DPOGS205017-PA	Vcard_DToL18695-RA, Vcard_DToL18696-RA, Vcard_DToL18700-RA
OG0000224	DPOGS208278-PA, DPOGS208277-PA	Vcard_DToL10645-RA
OG0000228	DPOGS212515-PA	Vcard_DToL17482-RA
OG0000228	DPOGS207204-PA	Vcard_DToL18011-RA, Vcard_DToL18017-RA
OG0000228	DPOGS207199-PA	Vcard_DToL18005-RA
OG0000229	DPOGS214632-PA	Vcard_DToL14725-RA
OG0000229	DPOGS215746-PA	Vcard_DToL00962-RA
OG0000230	DPOGS209009-PA, DPOGS209016-PA	Vcard_DToL07194-RA
OG0000230	DPOGS205205-PA, DPOGS205235-PA	Vcard_DToL18167-RA
OG0000230	DPOGS211996-PA	Vcard_DToL07199-RA
OG0000232	DPOGS207028-PA	Vcard_DToL07956-RA
OG0000232	DPOGS208489-PA	Vcard_DToL06567-RA
OG0000233	DPOGS215920-PA	Vcard_DToL04978-RA
