Orthogroup	Danaus_plexippus	Heliconius_erato_lativitta
OG0000050	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA	HEL_012554-RA
OG0000050	DPOGS205333-PA	HEL_012557-RA, HEL_012556-RA, HEL_012559-RA
OG0000052	DPOGS210331-PA	HEL_000724-RA
OG0000053	DPOGS201420-PA	HEL_006721-RA
OG0000053	DPOGS201419-PA	HEL_006720-RA
OG0000053	DPOGS201422-PA	HEL_006724-RA
OG0000053	DPOGS201421-PA	HEL_006722-RA
OG0000053	DPOGS201423-PA	HEL_006725-RA
OG0000054	DPOGS201193-PA	HEL_003473-RA
OG0000054	DPOGS201191-PA, DPOGS201192-PA	HEL_010205-RA, HEL_003469-RA, HEL_003468-RA, HEL_003466-RA, HEL_003465-RA, HEL_010206-RA
OG0000054	DPOGS201177-PA	HEL_003471-RA
OG0000054	DPOGS201176-PA, DPOGS201175-PA	HEL_003470-RA
OG0000055	DPOGS214011-PA, DPOGS207736-PA, DPOGS208302-PA, DPOGS208420-PA, DPOGS205138-PA	HEL_011387-RA
OG0000055	DPOGS203178-PA	HEL_004125-RA
OG0000055	DPOGS213967-PA	HEL_011388-RA, HEL_007822-RA, HEL_007824-RA, HEL_010170-RA, HEL_008266-RA, HEL_002167-RA, HEL_003943-RA, HEL_010169-RA, HEL_005219-RA
OG0000056	DPOGS210281-PA	HEL_013494-RA
OG0000057	DPOGS209909-PA	HEL_008127-RA, HEL_008126-RA
OG0000057	DPOGS209884-PA	HEL_008125-RA
OG0000057	DPOGS209997-PA	HEL_007566-RA
OG0000058	DPOGS213962-PA	HEL_011250-RA
OG0000060	DPOGS200035-PA, DPOGS208060-PA	HEL_007287-RA, HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA
OG0000061	DPOGS201160-PA	HEL_014352-RA, HEL_010281-RA, HEL_014351-RA, HEL_014348-RA, HEL_014349-RA, HEL_010277-RA, HEL_014346-RA, HEL_010278-RA, HEL_014350-RA, HEL_010280-RA
OG0000062	DPOGS202468-PA, DPOGS202469-PA	HEL_000202-RA
OG0000063	DPOGS201994-PA	HEL_006297-RA
OG0000063	DPOGS205397-PA	HEL_011544-RA
OG0000066	DPOGS210132-PA	HEL_002081-RA, HEL_002082-RA, HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA, HEL_002071-RA, HEL_002074-RA, HEL_002075-RA, HEL_002085-RA
OG0000067	DPOGS204359-PA	HEL_006896-RA
OG0000068	DPOGS213409-PA, DPOGS212680-PA	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA, HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA, HEL_004803-RA, HEL_004797-RA, HEL_004795-RA
OG0000069	DPOGS206989-PA	HEL_013143-RA, HEL_013144-RA
OG0000070	DPOGS205142-PA	HEL_009336-RA, HEL_013576-RA, HEL_013574-RA, HEL_013575-RA, HEL_005006-RA, HEL_013212-RA, HEL_007197-RA, HEL_007198-RA, HEL_001815-RA, HEL_010209-RA, HEL_005855-RA, HEL_002271-RA, HEL_012876-RA, HEL_010210-RA, HEL_010860-RA, HEL_014588-RA, HEL_006998-RA, HEL_008874-RA, HEL_003773-RA, HEL_003774-RA, HEL_014604-RA, HEL_011249-RA, HEL_000997-RA, HEL_005856-RA, HEL_014589-RA, HEL_014587-RA, HEL_002270-RA, HEL_008600-RA, HEL_006997-RA, HEL_012877-RA, HEL_013600-RA, HEL_012768-RA, HEL_007217-RA, HEL_011898-RA, HEL_006343-RA, HEL_000998-RA, HEL_002125-RA, HEL_005004-RA, HEL_014354-RA, HEL_005005-RA, HEL_004763-RA
OG0000071	DPOGS205454-PA	HEL_009006-RA
OG0000071	DPOGS200879-PA	HEL_010983-RA, HEL_009301-RA
OG0000073	DPOGS205799-PA	HEL_007878-RA
OG0000073	DPOGS208534-PA	HEL_008003-RA
OG0000073	DPOGS213705-PA	HEL_007997-RA, HEL_007992-RA
OG0000075	DPOGS201167-PA	HEL_014328-RA, HEL_014331-RA
OG0000075	DPOGS201162-PA	HEL_014345-RA, HEL_014343-RA
OG0000075	DPOGS209261-PA	HEL_007561-RA
OG0000076	DPOGS206203-PA	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA
OG0000078	DPOGS207021-PA	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA
OG0000082	DPOGS211069-PA	HEL_005977-RA
OG0000082	DPOGS203868-PA	HEL_005961-RA
OG0000082	DPOGS212546-PA	HEL_002182-RA
OG0000083	DPOGS201702-PA	HEL_011890-RA, HEL_011891-RA, HEL_011894-RA, HEL_011893-RA, HEL_011900-RA
OG0000083	DPOGS212183-PA	HEL_011889-RA, HEL_011895-RA
OG0000084	DPOGS200123-PA	HEL_010679-RA
OG0000084	DPOGS200060-PA	HEL_010678-RA, HEL_010675-RA, HEL_010676-RA
OG0000085	DPOGS215579-PA	HEL_005303-RA, HEL_010296-RA, HEL_005234-RA, HEL_005305-RA, HEL_005304-RA
OG0000088	DPOGS215149-PA	HEL_013016-RA
OG0000088	DPOGS202814-PA	HEL_014145-RA, HEL_012840-RA
OG0000088	DPOGS202808-PA	HEL_014142-RA
OG0000090	DPOGS210053-PA, DPOGS210052-PA	HEL_007626-RA
OG0000091	DPOGS203556-PA	HEL_010012-RA
OG0000092	DPOGS209252-PA	HEL_008400-RA, HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA
OG0000093	DPOGS202427-PA	HEL_005969-RA
OG0000093	DPOGS202426-PA, DPOGS203872-PA	HEL_005967-RA, HEL_005968-RA, HEL_005966-RA
OG0000093	DPOGS202424-PA	HEL_005972-RA
OG0000094	DPOGS213975-PA	HEL_006926-RA, HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA
OG0000095	DPOGS204282-PA	HEL_001292-RA
OG0000096	DPOGS212592-PA	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA
OG0000096	DPOGS212590-PA	HEL_010165-RA
OG0000097	DPOGS214707-PA, DPOGS205467-PA, DPOGS205466-PA, DPOGS205476-PA, DPOGS210395-PA, DPOGS201831-PA, DPOGS201830-PA, DPOGS209913-PA	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA
OG0000098	DPOGS209226-PA, DPOGS209225-PA	HEL_005540-RA
OG0000100	DPOGS215471-PA, DPOGS215470-PA, DPOGS215472-PA, DPOGS215473-PA	HEL_005774-RA
OG0000100	DPOGS215475-PA	HEL_005776-RA
OG0000100	DPOGS215477-PA	HEL_005778-RA
OG0000101	DPOGS200031-PA	HEL_010134-RA, HEL_010133-RA
OG0000101	DPOGS200026-PA	HEL_010138-RA
OG0000102	DPOGS206988-PA	HEL_013146-RA, HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA
OG0000102	DPOGS206942-PA	HEL_013147-RA
OG0000103	DPOGS207082-PA	HEL_008320-RA
OG0000108	DPOGS209435-PA	HEL_013515-RA
OG0000109	DPOGS209375-PA	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA, HEL_012849-RA, HEL_012847-RA
OG0000110	DPOGS212705-PA	HEL_014554-RA
OG0000110	DPOGS212753-PA, DPOGS212754-PA, DPOGS212755-PA	HEL_014551-RA
OG0000111	DPOGS202624-PA	HEL_004223-RA
OG0000111	DPOGS215824-PA	HEL_000126-RA
OG0000111	DPOGS215826-PA	HEL_000128-RA
OG0000113	DPOGS203349-PA, DPOGS203350-PA	HEL_011798-RA, HEL_011796-RA
OG0000113	DPOGS203348-PA	HEL_011795-RA, HEL_011797-RA
OG0000113	DPOGS207633-PA, DPOGS205179-PA	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	DPOGS206960-PA	HEL_014390-RA, HEL_009880-RA, HEL_009885-RA
OG0000115	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA	HEL_004784-RA
OG0000115	DPOGS201101-PA	HEL_004780-RA, HEL_004783-RA, HEL_006264-RA, HEL_004779-RA
OG0000116	DPOGS211429-PA	HEL_000181-RA
OG0000116	DPOGS203334-PA	HEL_010451-RA
OG0000117	DPOGS206946-PA	HEL_013392-RA
OG0000117	DPOGS206945-PA	HEL_013393-RA
OG0000119	DPOGS203233-PA	HEL_005351-RA, HEL_005350-RA
OG0000120	DPOGS202536-PA	HEL_011755-RA, HEL_005859-RA, HEL_001395-RA, HEL_005666-RA, HEL_012011-RA, HEL_009305-RA, HEL_013465-RA, HEL_008431-RA, HEL_011691-RA, HEL_013996-RA, HEL_010140-RA, HEL_011756-RA, HEL_004768-RA, HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA, HEL_011754-RA
OG0000124	DPOGS206009-PA	HEL_012796-RA
OG0000124	DPOGS211433-PA	HEL_000153-RA
OG0000125	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA	HEL_008471-RA
OG0000125	DPOGS214825-PA	HEL_008470-RA
OG0000127	DPOGS210351-PA	HEL_013707-RA, HEL_013706-RA
OG0000128	DPOGS210158-PA	HEL_014291-RA
OG0000128	DPOGS211778-PA	HEL_014057-RA
OG0000128	DPOGS210161-PA	HEL_014054-RA
OG0000129	DPOGS210178-PA	HEL_003330-RA, HEL_003340-RA
OG0000131	DPOGS211520-PA, DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA	HEL_004142-RA
OG0000132	DPOGS214570-PA	HEL_005216-RA, HEL_005214-RA, HEL_005223-RA, HEL_013799-RA, HEL_013798-RA
OG0000133	DPOGS204619-PA, DPOGS215001-PA	HEL_004130-RA
OG0000133	DPOGS201589-PA	HEL_004133-RA
OG0000134	DPOGS206558-PA	HEL_006876-RA
OG0000134	DPOGS213998-PA	HEL_006825-RA
OG0000134	DPOGS206556-PA	HEL_006826-RA
OG0000136	DPOGS203111-PA, DPOGS213873-PA, DPOGS208765-PA, DPOGS201207-PA, DPOGS208126-PA	HEL_004124-RA
OG0000137	DPOGS213158-PA	HEL_001691-RA, HEL_001689-RA, HEL_001690-RA
OG0000138	DPOGS201307-PA, DPOGS201308-PA	HEL_002292-RA
OG0000138	DPOGS210044-PA	HEL_007640-RA
OG0000139	DPOGS204151-PA	HEL_003606-RA
OG0000139	DPOGS204150-PA	HEL_003604-RA
OG0000141	DPOGS205275-PA	HEL_010839-RA, HEL_010838-RA
OG0000142	DPOGS210763-PA	HEL_010081-RA
OG0000142	DPOGS211692-PA	HEL_010082-RA
OG0000143	DPOGS207066-PA	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA
OG0000143	DPOGS207067-PA	HEL_009924-RA
OG0000147	DPOGS202135-PA	HEL_007353-RA
OG0000147	DPOGS216148-PA	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA
OG0000149	DPOGS211600-PA	HEL_004261-RA, HEL_004262-RA
OG0000149	DPOGS211599-PA	HEL_004265-RA
OG0000149	DPOGS209815-PA	HEL_006023-RA
OG0000152	DPOGS203849-PA	HEL_002887-RA
OG0000152	DPOGS203651-PA	HEL_002885-RA
OG0000153	DPOGS200336-PA	HEL_011504-RA, HEL_011498-RA, HEL_011499-RA
OG0000153	DPOGS200298-PA	HEL_012802-RA, HEL_012804-RA, HEL_012803-RA
OG0000154	DPOGS203728-PA	HEL_004719-RA
OG0000154	DPOGS203730-PA	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA
OG0000155	DPOGS209068-PA	HEL_012311-RA, HEL_012316-RA
OG0000156	DPOGS201022-PA, DPOGS201021-PA	HEL_013567-RA, HEL_013569-RA
OG0000157	DPOGS210719-PA	HEL_007312-RA
OG0000160	DPOGS211357-PA	HEL_012101-RA
OG0000162	DPOGS214379-PA, DPOGS212215-PA	HEL_008231-RA
OG0000162	DPOGS213682-PA	HEL_008230-RA, HEL_008233-RA, HEL_008232-RA
OG0000163	DPOGS208397-PA, DPOGS208398-PA	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA, HEL_006390-RA, HEL_014322-RA
OG0000164	DPOGS207032-PA	HEL_013352-RA
OG0000165	DPOGS214443-PA, DPOGS214442-PA	HEL_014037-RA
OG0000165	DPOGS202039-PA	HEL_014028-RA
OG0000166	DPOGS204571-PA	HEL_009754-RA
OG0000167	DPOGS207203-PA, DPOGS200276-PA	HEL_011445-RA
OG0000167	DPOGS212517-PA, DPOGS212471-PA	HEL_000604-RA
OG0000168	DPOGS207925-PA, DPOGS215589-PA, DPOGS215590-PA	HEL_010944-RA, HEL_010943-RA
OG0000168	DPOGS215588-PA	HEL_003437-RA, HEL_010948-RA, HEL_010950-RA, HEL_003440-RA, HEL_003433-RA, HEL_010949-RA, HEL_003432-RA, HEL_003442-RA, HEL_003431-RA, HEL_003430-RA, HEL_003434-RA, HEL_003435-RA
OG0000169	DPOGS209399-PA	HEL_012759-RA
OG0000169	DPOGS209397-PA	HEL_014571-RA
OG0000169	DPOGS209416-PA, DPOGS209415-PA	HEL_012764-RA
OG0000170	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA	HEL_012926-RA, HEL_012927-RA
OG0000171	DPOGS207651-PA	HEL_006254-RA, HEL_006253-RA
OG0000171	DPOGS207652-PA	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA
OG0000172	DPOGS207109-PA	HEL_008361-RA, HEL_008362-RA
OG0000174	DPOGS203785-PA	HEL_002709-RA, HEL_002708-RA, HEL_002707-RA
OG0000174	DPOGS203786-PA	HEL_002714-RA, HEL_002715-RA
OG0000174	DPOGS201355-PA	HEL_007174-RA
OG0000175	DPOGS213653-PA	HEL_005422-RA
OG0000175	DPOGS212172-PA	HEL_009048-RA
OG0000175	DPOGS201184-PA	HEL_003484-RA
OG0000178	DPOGS213916-PA	HEL_005387-RA
OG0000178	DPOGS202584-PA, DPOGS208620-PA	HEL_004641-RA
OG0000179	DPOGS215239-PA	HEL_013875-RA
OG0000180	DPOGS203313-PA	HEL_007077-RA
OG0000180	DPOGS202992-PA	HEL_007079-RA, HEL_007078-RA
OG0000181	DPOGS204734-PA, DPOGS204733-PA	HEL_008902-RA
OG0000182	DPOGS210084-PA	HEL_012893-RA
OG0000183	DPOGS211358-PA	HEL_012769-RA
OG0000183	DPOGS210612-PA	HEL_006620-RA
OG0000183	DPOGS202050-PA	HEL_003942-RA
OG0000184	DPOGS210000-PA	HEL_007564-RA
OG0000184	DPOGS210945-PA	HEL_004299-RA
OG0000184	DPOGS211022-PA	HEL_004298-RA
OG0000185	DPOGS207886-PA	HEL_011155-RA
OG0000185	DPOGS207876-PA	HEL_011157-RA
OG0000186	DPOGS200588-PA	HEL_006287-RA, HEL_013685-RA
OG0000187	DPOGS203099-PA	HEL_010066-RA
OG0000187	DPOGS203100-PA, DPOGS203101-PA	HEL_010067-RA
OG0000188	DPOGS200256-PA	HEL_009331-RA, HEL_009330-RA, HEL_009332-RA, HEL_009329-RA
OG0000188	DPOGS210269-PA, DPOGS210268-PA, DPOGS210271-PA, DPOGS210270-PA, DPOGS210265-PA	HEL_009328-RA
OG0000190	DPOGS210733-PA	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA
OG0000191	DPOGS203394-PA, DPOGS212004-PA	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA
OG0000193	DPOGS208229-PA	HEL_011020-RA, HEL_011022-RA
OG0000193	DPOGS211597-PA	HEL_011021-RA, HEL_004214-RA
OG0000196	DPOGS215622-PA	HEL_002689-RA
OG0000197	DPOGS215734-PA	HEL_002519-RA
OG0000197	DPOGS204239-PA	HEL_001340-RA
OG0000198	DPOGS212099-PA	HEL_009068-RA
OG0000198	DPOGS212164-PA	HEL_009066-RA
OG0000200	DPOGS209914-PA	HEL_007531-RA, HEL_007530-RA
OG0000201	DPOGS204865-PA, DPOGS204864-PA	HEL_001000-RA, HEL_001001-RA
OG0000202	DPOGS209628-PA	HEL_000095-RA, HEL_000097-RA, HEL_000092-RA, HEL_000093-RA, HEL_006532-RA, HEL_000094-RA, HEL_003305-RA, HEL_000090-RA
OG0000202	DPOGS211423-PA	HEL_000098-RA
OG0000203	DPOGS210787-PA	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA
OG0000203	DPOGS200479-PA	HEL_006322-RA
OG0000205	DPOGS209148-PA, DPOGS209147-PA	HEL_005648-RA
OG0000206	DPOGS205019-PA	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA
OG0000209	DPOGS214010-PA	HEL_000443-RA
OG0000209	DPOGS204840-PA	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA
OG0000209	DPOGS216112-PA	HEL_001020-RA
OG0000210	DPOGS208561-PA	HEL_007938-RA
OG0000211	DPOGS212986-PA	HEL_012798-RA
OG0000212	DPOGS207988-PA	HEL_010933-RA
OG0000212	DPOGS207989-PA	HEL_010932-RA
OG0000212	DPOGS207987-PA	HEL_010931-RA
OG0000213	DPOGS208066-PA	HEL_001448-RA
OG0000213	DPOGS208084-PA	HEL_001453-RA
OG0000214	DPOGS214058-PA	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA
OG0000215	DPOGS211555-PA	HEL_008533-RA
OG0000215	DPOGS211556-PA	HEL_011523-RA
OG0000216	DPOGS202455-PA, DPOGS202453-PA, DPOGS202454-PA	HEL_000005-RA
OG0000217	DPOGS201481-PA, DPOGS201472-PA, DPOGS201482-PA	HEL_006811-RA, HEL_006812-RA
OG0000218	DPOGS200146-PA, DPOGS202095-PA, DPOGS202096-PA	HEL_011596-RA
OG0000219	DPOGS207542-PA	HEL_008433-RA
OG0000219	DPOGS200328-PA	HEL_011520-RA
OG0000220	DPOGS211390-PA	HEL_000160-RA, HEL_000180-RA
OG0000220	DPOGS205839-PA, DPOGS205840-PA	HEL_000185-RA
OG0000221	DPOGS211394-PA	HEL_000182-RA
OG0000221	DPOGS205842-PA	HEL_000184-RA
OG0000222	DPOGS205017-PA	HEL_013041-RA, HEL_013040-RA
OG0000224	DPOGS208278-PA	HEL_011061-RA
OG0000224	DPOGS208277-PA	HEL_011062-RA
OG0000224	DPOGS208279-PA	HEL_011060-RA
OG0000227	DPOGS209796-PA	HEL_013037-RA, HEL_013030-RA
OG0000229	DPOGS214632-PA	HEL_003645-RA, HEL_003644-RA
OG0000229	DPOGS214653-PA	HEL_002541-RA, HEL_006525-RA, HEL_003650-RA
OG0000229	DPOGS215746-PA, DPOGS215748-PA	HEL_002543-RA
OG0000230	DPOGS209009-PA, DPOGS209016-PA	HEL_007833-RA
OG0000230	DPOGS205205-PA, DPOGS205235-PA	HEL_014523-RA
OG0000231	DPOGS208443-PA	HEL_005797-RA, HEL_013550-RA, HEL_013546-RA, HEL_013547-RA, HEL_013545-RA, HEL_014558-RA, HEL_013548-RA
OG0000232	DPOGS207028-PA	HEL_007965-RA
OG0000233	DPOGS215920-PA, DPOGS215875-PA	HEL_013315-RA
OG0000234	DPOGS212240-PA	HEL_000576-RA
OG0000234	DPOGS201732-PA	HEL_000815-RA, HEL_000816-RA, HEL_000265-RA
OG0000235	DPOGS211850-PA	HEL_008763-RA
OG0000235	DPOGS211974-PA	HEL_008762-RA
OG0000236	DPOGS207247-PA	HEL_001074-RA
OG0000236	DPOGS207308-PA	HEL_001070-RA
OG0000237	DPOGS201064-PA	HEL_012911-RA
OG0000237	DPOGS201065-PA	HEL_012907-RA
OG0000237	DPOGS201066-PA	HEL_012910-RA, HEL_012909-RA, HEL_012908-RA
OG0000238	DPOGS200166-PA	HEL_011638-RA
OG0000238	DPOGS200498-PA	HEL_006325-RA
OG0000239	DPOGS200316-PA	HEL_013433-RA
OG0000239	DPOGS200315-PA, DPOGS200313-PA	HEL_013434-RA
OG0000246	DPOGS212261-PA	HEL_005502-RA
OG0000246	DPOGS212263-PA, DPOGS212262-PA	HEL_005503-RA
OG0000247	DPOGS204998-PA	HEL_001922-RA
OG0000248	DPOGS208848-PA, DPOGS208849-PA	HEL_013916-RA
OG0000248	DPOGS202967-PA	HEL_013892-RA
OG0000248	DPOGS210769-PA	HEL_013902-RA
OG0000249	DPOGS204790-PA	HEL_000469-RA, HEL_000470-RA
OG0000250	DPOGS213894-PA	HEL_013910-RA
OG0000252	DPOGS205025-PA, DPOGS205024-PA, DPOGS205777-PA, DPOGS205776-PA	HEL_007886-RA, HEL_007887-RA
OG0000254	DPOGS206219-PA	HEL_011399-RA, HEL_011397-RA, HEL_011398-RA, HEL_011400-RA
OG0000254	DPOGS206237-PA	HEL_011401-RA
OG0000254	DPOGS206218-PA	HEL_011402-RA
OG0000255	DPOGS201291-PA	HEL_002401-RA
OG0000257	DPOGS202490-PA	HEL_006039-RA, HEL_006037-RA, HEL_006036-RA
OG0000257	DPOGS206965-PA	HEL_008254-RA, HEL_008272-RA
OG0000257	DPOGS204511-PA	HEL_008257-RA, HEL_008256-RA
OG0000258	DPOGS214473-PA	HEL_000386-RA
OG0000258	DPOGS216099-PA	HEL_000387-RA
OG0000259	DPOGS204809-PA	HEL_011529-RA, HEL_011528-RA, HEL_011531-RA, HEL_011530-RA
OG0000260	DPOGS201723-PA	HEL_000640-RA, HEL_000638-RA, HEL_000627-RA
